gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
lowly_expressed	lowly_expressed	?|100133144	6.2314
?|100134869	6.0178	lowly_expressed	lowly_expressed
?|10357	98.9433	?|10357	82.6116
?|10431	902.6696	?|10431	654.4794
?|155060	109.5662	?|155060	283.4109
?|57714	696.3293	?|57714	679.9137
?|645851	7.7864	?|645851	12.7172
?|652919	5.5617	?|652919	87.3169
?|653553	611.2347	?|653553	135.8011
lowly_expressed	lowly_expressed	?|729884	188.9406
?|8225	503.8932	?|8225	524.1285
?|90288	51.7241	?|90288	17.259
A1BG|1	177.1079	A1BG|1	66.8014
A2LD1|87769	86.2458	A2LD1|87769	72.8602
lowly_expressed	lowly_expressed	A2ML1|144568	9.0837
A2M|2	14395.3949	A2M|2	27514.4272
A4GALT|53947	389.3215	A4GALT|53947	367.8892
AAAS|8086	604.5606	AAAS|8086	648.1208
AACS|65985	691.3237	AACS|65985	11771.9995
lowly_expressed	lowly_expressed	AADAC|13	52.6854
AADAT|51166	29.4772	AADAT|51166	145.7931
AAGAB|79719	1218.02	AAGAB|79719	1083.2292
AAK1|22848	735.2614	AAK1|22848	1566.027
AAMP|14	2274.1935	AAMP|14	2061.0878
AARS2|57505	421.0178	AARS2|57505	523.2065
AARSD1|80755	611.2347	AARSD1|80755	405.1323
AARS|16	1971.079	AARS|16	2490.746
AASDHPPT|60496	951.6129	AASDHPPT|60496	852.9579
AASDH|132949	251.3904	AASDH|132949	436.471
AASS|10157	250.8343	AASS|10157	589.5311
AATF|26574	1348.7208	AATF|26574	855.683
AATK|9625	31.7186	AATK|9625	61.769
ABAT|18	3163.515	ABAT|18	794.3681
ABCA10|10349	6.6741	ABCA10|10349	388.3275
ABCA11P|79963	80.9066	ABCA11P|79963	132.6218
ABCA12|26154	1043.9377	ABCA12|26154	3164.3011
ABCA13|154664	5.0056	ABCA13|154664	15.4423
ABCA17P|650655	9.4549	lowly_expressed	lowly_expressed
ABCA1|19	770.8565	ABCA1|19	1325.7454
ABCA2|20	1421.0234	ABCA2|20	1641.8758
ABCA3|21	2437.1524	ABCA3|21	4540.025
ABCA4|24	94.5495	ABCA4|24	47.6893
ABCA5|23461	176.8632	ABCA5|23461	1007.8347
ABCA6|23460	56.1735	ABCA6|23460	381.0605
ABCA7|10347	130.7008	ABCA7|10347	436.9252
lowly_expressed	lowly_expressed	ABCA8|10351	853.4121
ABCA9|10350	16.6852	ABCA9|10350	812.0813
ABCB10|23456	567.8532	ABCB10|23456	456.9093
ABCB1|5243	39.4883	ABCB1|5243	535.029
ABCB4|5244	64.5161	ABCB4|5244	14.5339
lowly_expressed	lowly_expressed	ABCB5|340273	171.6816
ABCB6|10058	436.218	ABCB6|10058	1130.2509
ABCB7|22	473.8598	ABCB7|22	477.8017
ABCB8|11194	649.0545	ABCB8|11194	517.3158
ABCB9|23457	117.9143	ABCB9|23457	184.6577
ABCC10|89845	362.6251	ABCC10|89845	478.2559
ABCC11|85320	934.3715	ABCC11|85320	19325.5365
ABCC12|94160	11.6796	ABCC12|94160	149.4266
ABCC13|150000	113.4594	lowly_expressed	lowly_expressed
ABCC1|4363	1850.3893	ABCC1|4363	2265.0165
ABCC2|1244	7.7864	ABCC2|1244	1136.823
ABCC3|8714	474.416	ABCC3|8714	789.3721
ABCC4|10257	169.6329	ABCC4|10257	849.7786
ABCC5|10057	1100.1112	ABCC5|10057	900.6472
ABCC6P1|653190	6.6741	ABCC6P1|653190	9.9921
ABCC6P2|730013	25.584	ABCC6P2|730013	28.6136
ABCC6|368	149.0545	ABCC6|368	759.3959
ABCC8|6833	45.6062	ABCC8|6833	143.9764
ABCC9|10060	570.0779	ABCC9|10060	346.5425
ABCD1|215	516.6852	ABCD1|215	455.5467
lowly_expressed	lowly_expressed	ABCD2|225	24.9801
ABCD3|5825	2063.96	ABCD3|5825	1891.6771
ABCD4|5826	464.4049	ABCD4|5826	718.9735
ABCE1|6059	1382.6474	ABCE1|6059	1625.9793
ABCF1|23	1389.3215	ABCF1|23	1697.2862
ABCF2|10061	1081.7575	ABCF2|10061	1147.2692
ABCF3|55324	1075.6396	ABCF3|55324	1051.8905
ABCG1|9619	884.8721	ABCG1|9619	845.2367
ABCG2|9429	67.297	ABCG2|9429	297.0364
ABCG4|64137	6.1179	lowly_expressed	lowly_expressed
ABHD10|55347	454.3938	ABHD10|55347	494.6066
ABHD11|83451	569.5217	ABHD11|83451	777.1091
ABHD12B|145447	5.5617	lowly_expressed	lowly_expressed
ABHD12|26090	1779.7553	ABHD12|26090	1202.2255
ABHD13|84945	462.7364	ABHD13|84945	603.6108
ABHD14A|25864	244.1602	ABHD14A|25864	173.0169
ABHD14B|84836	2085.0945	ABHD14B|84836	1970.7051
ABHD15|116236	430.4783	ABHD15|116236	236.1758
ABHD1|84696	23.3593	ABHD1|84696	10.4462
ABHD2|11057	3375.9733	ABHD2|11057	2608.3797
ABHD3|171586	229.6997	ABHD3|171586	728.9656
ABHD4|63874	1332.0356	ABHD4|63874	1252.1858
ABHD5|51099	528.3648	ABHD5|51099	964.6872
ABHD6|57406	92.3248	ABHD6|57406	316.1122
ABHD8|79575	226.3626	ABHD8|79575	158.0561
ABI1|10006	1482.7586	ABI1|10006	1729.5333
ABI2|10152	1264.7386	ABI2|10152	1649.5969
ABI3BP|25890	354.8387	ABI3BP|25890	1549.6764
ABI3|51225	117.3526	ABI3|51225	196.2076
ABL1|25	2105.1168	ABL1|25	3110.2532
ABL2|27	1556.1735	ABL2|27	1110.0261
ABLIM1|3983	1793.1034	ABLIM1|3983	5246.7356
ABLIM2|84448	71.7464	ABLIM2|84448	81.299
ABLIM3|22885	488.8765	ABLIM3|22885	1057.3408
ABO|28	21.1346	ABO|28	33.6096
ABP1|26	6.1179	lowly_expressed	lowly_expressed
ABR|29	1333.7041	ABR|29	2437.1523
ABT1|29777	489.9889	ABT1|29777	468.7181
ABTB1|80325	463.2925	ABTB1|80325	554.1047
ABTB2|25841	117.3526	ABTB2|25841	256.1599
ACAA1|30	1349.277	ACAA1|30	1897.1273
ACAA2|10449	884.3159	ACAA2|10449	742.1369
ACACA|31	1706.8966	ACACA|31	9195.4127
ACACB|32	144.6051	ACACB|32	999.2052
ACAD10|80724	568.9655	ACAD10|80724	598.1606
ACAD11|84129	337.5973	ACAD11|84129	464.6304
ACAD8|27034	320.9121	ACAD8|27034	735.3242
ACAD9|28976	744.1602	ACAD9|28976	740.3202
lowly_expressed	lowly_expressed	ACADL|33	173.4984
ACADM|34	676.8632	ACADM|34	2658.7941
ACADSB|36	1982.7586	ACADSB|36	2360.8493
ACADS|35	171.3014	ACADS|35	413.3076
ACADVL|37	2823.1313	ACADVL|37	4773.4439
ACAN|176	247.4972	ACAN|176	14.0797
ACAP1|9744	21.1346	ACAP1|9744	104.4624
ACAP2|23527	1041.713	ACAP2|23527	1458.3854
ACAP3|116983	446.0512	ACAP3|116983	668.709
ACAT1|38	951.0567	ACAT1|38	764.392
ACAT2|39	334.6218	ACAT2|39	682.8205
ACBD3|64746	1875.9733	ACBD3|64746	1447.0308
ACBD4|79777	319.2436	ACBD4|79777	235.7216
ACBD5|91452	715.7953	ACBD5|91452	810.2646
ACBD6|84320	644.6051	ACBD6|84320	274.3272
ACBD7|414149	12.792	ACBD7|414149	41.7849
lowly_expressed	lowly_expressed	ACCN1|40	11.3546
ACCN2|41	64.5161	ACCN2|41	136.2553
ACCN3|9311	6.6741	ACCN3|9311	9.5379
ACCS|84680	110.6785	ACCS|84680	418.3036
ACD|65057	285.8732	ACD|65057	351.9927
lowly_expressed	lowly_expressed	ACE2|59272	72.2153
lowly_expressed	lowly_expressed	ACER1|125981	6.3586
ACER2|340485	119.5773	ACER2|340485	245.2595
ACER3|55331	548.3871	ACER3|55331	364.2557
ACE|1636	636.8187	ACE|1636	1469.2858
ACHE|43	8.3426	ACHE|43	49.0519
ACIN1|22985	2757.5083	ACIN1|22985	3535.3696
ACLY|47	4546.7186	ACLY|47	8292.4946
ACMSD|130013	59.5106	lowly_expressed	lowly_expressed
ACN9|57001	136.8187	ACN9|57001	136.7094
ACO1|48	961.624	ACO1|48	950.1533
ACO2|50	2060.1502	ACO2|50	2471.9246
ACOT11|26027	36.1513	ACOT11|26027	28.6136
ACOT13|55856	432.8309	ACOT13|55856	490.7051
ACOT1|641371	483.871	ACOT1|641371	401.4988
ACOT2|10965	355.3949	ACOT2|10965	313.3871
ACOT4|122970	470.5228	ACOT4|122970	80.8448
ACOT6|641372	6.1179	lowly_expressed	lowly_expressed
ACOT7|11332	423.8042	ACOT7|11332	314.2954
ACOT8|10005	337.6752	ACOT8|10005	249.4062
ACOT9|23597	458.8432	ACOT9|23597	446.0089
ACOX1|51	1182.9811	ACOX1|51	1694.0706
ACOX2|8309	1418.7987	ACOX2|8309	179.8569
ACOX3|8310	581.2013	ACOX3|8310	1219.4845
ACP1|52	1419.911	ACP1|52	1196.3211
ACP2|53	1116.2403	ACP2|53	1115.0221
ACP5|54	893.2147	ACP5|54	2172.3629
ACP6|51205	515.0167	ACP6|51205	701.2604
ACPL2|92370	426.0289	ACPL2|92370	392.8693
ACPP|55	7.7864	ACPP|55	106.7333
ACRBP|84519	17.7976	ACRBP|84519	21.8008
ACRC|93953	7.2303	ACRC|93953	21.3467
lowly_expressed	lowly_expressed	ACR|49	7.2669
lowly_expressed	lowly_expressed	ACSBG1|23205	7.7211
lowly_expressed	lowly_expressed	ACSBG2|81616	5.4502
ACSF2|80221	823.693	ACSF2|80221	1682.7524
ACSF3|197322	319.2436	ACSF3|197322	511.4114
ACSL1|2180	899.8888	ACSL1|2180	17170.8868
ACSL3|2181	3364.2937	ACSL3|2181	24445.1005
ACSL4|2182	920.4672	ACSL4|2182	1379.3573
ACSL5|51703	222.4694	ACSL5|51703	791.643
ACSL6|23305	13.3482	ACSL6|23305	11.8088
ACSM1|116285	25.584	ACSM1|116285	2846.8264
ACSM3|6296	8.9043	ACSM3|6296	3528.2389
ACSM5|54988	15.5729	ACSM5|54988	15.4423
ACSS1|84532	203.5595	ACSS1|84532	1256.2734
ACSS2|55902	1289.2102	ACSS2|55902	3290.5643
ACSS3|79611	137.3749	ACSS3|79611	941.978
ACTA1|58	73.9711	ACTA1|58	46.781
ACTA2|59	17042.3359	ACTA2|59	20611.5181
lowly_expressed	lowly_expressed	ACTBL2|345651	9.5379
ACTB|60	134114.5717	ACTB|60	77536.5051
ACTC1|70	76.7519	ACTC1|70	6.8128
ACTG1|71	108768.6318	ACTG1|71	54760.9856
ACTG2|72	610.1224	ACTG2|72	4152.1517
ACTL6A|86	877.6418	ACTL6A|86	710.7982
ACTL8|81569	7.7864	lowly_expressed	lowly_expressed
ACTN1|87	11627.9199	ACTN1|87	10975.3605
ACTN3|89	5.0056	lowly_expressed	lowly_expressed
ACTN4|81	12606.3515	ACTN4|81	11845.9271
ACTR10|55860	1270.8565	ACTR10|55860	920.1771
ACTR1A|10121	2676.307	ACTR1A|10121	2452.1403
ACTR1B|10120	1209.1212	ACTR1B|10120	1388.441
ACTR2|10097	6760.2892	ACTR2|10097	5190.8709
ACTR3B|57180	190.7675	ACTR3B|57180	181.6737
ACTR3C|653857	14.4605	ACTR3C|653857	51.777
ACTR3|10096	4401.5573	ACTR3|10096	3243.7834
ACTR5|79913	286.9855	ACTR5|79913	226.1837
ACTR6|64431	471.079	ACTR6|64431	537.2999
ACTR8|93973	441.0456	ACTR8|93973	503.6902
ACVR1B|91	1105.673	ACVR1B|91	1176.337
ACVR1C|130399	7.2303	ACVR1C|130399	48.1435
ACVR1|90	1444.3826	ACVR1|90	1367.0944
ACVR2A|92	527.8087	ACVR2A|92	679.4595
ACVR2B|93	467.1858	ACVR2B|93	319.2915
ACVRL1|94	854.2825	ACVRL1|94	596.3438
ACY1|95	737.4861	ACY1|95	862.523
lowly_expressed	lowly_expressed	ACY3|91703	35.8805
ACYP1|97	48.9433	ACYP1|97	63.5858
ACYP2|98	56.1735	ACYP2|98	117.1795
ADAL|161823	170.7453	ADAL|161823	180.7653
ADAM10|102	1991.6574	ADAM10|102	2218.6897
ADAM11|4185	6.6741	ADAM11|4185	19.0757
ADAM12|8038	5416.574	ADAM12|8038	1740.4337
ADAM15|8751	5296.4572	ADAM15|8751	3500.9969
ADAM17|6868	764.1824	ADAM17|6868	938.3445
ADAM19|8728	479.4216	ADAM19|8728	168.9565
ADAM21|8747	5.0056	lowly_expressed	lowly_expressed
ADAM22|53616	22.8031	ADAM22|53616	47.6893
ADAM23|8745	28.3648	ADAM23|8745	20.8925
ADAM28|10863	73.9711	ADAM28|10863	130.805
lowly_expressed	lowly_expressed	ADAM29|11086	8.1753
lowly_expressed	lowly_expressed	ADAM2|2515	20.8925
lowly_expressed	lowly_expressed	ADAM32|203102	9.5379
ADAM33|80332	126.8076	ADAM33|80332	616.396
ADAM6|8755	642.7642	ADAM6|8755	35569.8149
ADAM8|101	709.6774	ADAM8|101	370.1601
ADAM9|8754	2573.4149	ADAM9|8754	2693.7663
ADAMDEC1|27299	9.4549	ADAMDEC1|27299	165.323
ADAMTS10|81794	156.2848	ADAMTS10|81794	181.2195
ADAMTS12|81792	657.9533	ADAMTS12|81792	210.7415
ADAMTS13|11093	54.505	ADAMTS13|11093	89.9285
ADAMTS14|140766	185.2058	ADAMTS14|140766	20.8925
ADAMTS15|170689	951.0567	ADAMTS15|170689	422.8455
ADAMTS16|170690	401.0011	ADAMTS16|170690	364.7099
ADAMTS17|170691	107.3415	ADAMTS17|170691	103.554
ADAMTS18|170692	9.4549	ADAMTS18|170692	89.9285
lowly_expressed	lowly_expressed	ADAMTS19|171019	25.8885
ADAMTS1|9510	1692.9922	ADAMTS1|9510	4027.7052
ADAMTS2|9509	1107.8977	ADAMTS2|9509	592.2562
ADAMTS3|9508	29.4772	ADAMTS3|9508	84.0241
ADAMTS4|9507	1899.8888	ADAMTS4|9507	295.2197
ADAMTS5|11096	472.7475	ADAMTS5|11096	1511.0707
ADAMTS6|11174	168.5206	ADAMTS6|11174	38.1515
ADAMTS7|11173	621.802	ADAMTS7|11173	77.2113
ADAMTS8|11095	11.6796	ADAMTS8|11095	179.4027
ADAMTS9|56999	385.9844	ADAMTS9|56999	736.6867
ADAMTSL1|92949	439.3771	ADAMTSL1|92949	399.6821
ADAMTSL2|9719	388.7653	ADAMTSL2|9719	64.4942
ADAMTSL3|57188	172.4138	ADAMTSL3|57188	113.546
ADAMTSL4|54507	384.3159	ADAMTSL4|54507	505.507
ADAMTSL5|339366	250.8343	ADAMTSL5|339366	100.8289
ADAP1|11033	180.7842	ADAP1|11033	124.3602
ADAP2|55803	449.9444	ADAP2|55803	192.5741
ADARB1|104	813.6819	ADARB1|104	783.9219
lowly_expressed	lowly_expressed	ADARB2|105	24.5259
ADAR|103	12790.8788	ADAR|103	6497.1046
ADAT1|23536	149.6107	ADAT1|23536	499.1484
ADAT2|134637	43.3815	ADAT2|134637	183.4904
ADAT3|113179	32.2581	ADAT3|113179	34.518
ADA|100	183.5373	ADA|100	84.0241
ADCK1|57143	132.3693	ADCK1|57143	176.6776
ADCK2|90956	1006.6741	ADCK2|90956	745.3162
ADCK4|79934	682.4249	ADCK4|79934	581.3557
ADCK5|203054	145.1613	ADCK5|203054	141.7055
lowly_expressed	lowly_expressed	ADCY10|55811	45.4184
ADCY1|107	1086.7631	ADCY1|107	172.1358
ADCY2|108	148.4983	ADCY2|108	148.064
ADCY3|109	985.1057	ADCY3|109	1341.3784
ADCY4|196883	197.4416	ADCY4|196883	548.2003
ADCY5|111	8.8988	ADCY5|111	289.3153
ADCY6|112	869.2992	ADCY6|112	2321.7895
ADCY7|113	798.6652	ADCY7|113	449.6423
lowly_expressed	lowly_expressed	ADCY8|114	13.6255
ADCY9|115	1632.9255	ADCY9|115	817.9857
lowly_expressed	lowly_expressed	ADCYAP1R1|117	11.3546
ADCYAP1|116	45.6062	ADCYAP1|116	54.9563
ADC|113451	250.2781	ADC|113451	130.805
ADD1|118	4908.2314	ADD1|118	5229.4766
ADD2|119	6.6741	ADD2|119	47.6893
ADD3|120	933.2592	ADD3|120	9172.7035
lowly_expressed	lowly_expressed	ADH1B|125	1196.7753
lowly_expressed	lowly_expressed	ADH1C|126	307.9369
ADH5|128	1568.9655	ADH5|128	2212.7853
ADHFE1|137872	85.0945	ADHFE1|137872	228.4546
ADI1|55256	837.0412	ADI1|55256	1843.5336
lowly_expressed	lowly_expressed	ADIPOQ|9370	434.2001
ADIPOR1|51094	4423.8042	ADIPOR1|51094	2411.2638
ADIPOR2|79602	3142.3804	ADIPOR2|79602	1920.7449
ADK|132	439.3771	ADK|132	282.9567
ADM2|79924	135.7063	ADM2|79924	124.4465
ADM|133	1078.9766	ADM|133	516.4074
ADNP2|22850	567.8532	ADNP2|22850	675.3719
ADNP|23394	3147.9422	ADNP|23394	2631.9973
ADORA1|134	502.7809	ADORA1|134	401.0446
ADORA2A|135	276.9744	ADORA2A|135	91.8633
ADORA2B|136	26.6963	ADORA2B|136	111.2751
ADORA3|140	352.614	ADORA3|140	100.8289
ADO|84890	603.4483	ADO|84890	747.133
ADPGK|83440	888.376	ADPGK|83440	921.4716
ADPRHL1|113622	167.9644	ADPRHL1|113622	93.1078
ADPRHL2|54936	859.2881	ADPRHL2|54936	686.2723
ADPRH|141	302.0022	ADPRH|141	372.8852
lowly_expressed	lowly_expressed	ADRA1A|148	7.7211
ADRA1B|147	58.9544	ADRA1B|147	8.1753
ADRA1D|146	12.792	ADRA1D|146	7.7211
ADRA2A|150	910.4561	ADRA2A|150	1051.4364
ADRA2B|151	11.6796	ADRA2B|151	34.0638
ADRA2C|152	12.792	ADRA2C|152	81.7532
ADRB1|153	7.7864	ADRB1|153	6.3586
ADRB2|154	33.3704	ADRB2|154	221.6419
ADRBK1|156	1506.1179	ADRBK1|156	1763.143
ADRBK2|157	276.9744	ADRBK2|157	602.7024
ADRM1|11047	1487.7642	ADRM1|11047	1297.6042
ADSL|158	615.6841	ADSL|158	645.3957
ADSSL1|122622	83.9822	ADSSL1|122622	85.8408
ADSS|159	3137.3749	ADSS|159	1295.7874
AEBP1|165	70040.6007	AEBP1|165	7028.9542
AEBP2|121536	534.4828	AEBP2|121536	869.3085
AEN|64782	523.3593	AEN|64782	519.1325
AES|166	6008.3426	AES|166	4883.8424
AFAP1L1|134265	503.8932	AFAP1L1|134265	308.3911
AFAP1L2|84632	328.6986	AFAP1L2|84632	1097.309
AFAP1|60312	1361.5072	AFAP1|60312	1743.5767
AFF1|4299	2276.9744	AFF1|4299	2797.7745
AFF2|2334	20.0222	AFF2|2334	48.1435
AFF3|3899	215.7953	AFF3|3899	2551.6067
AFF4|27125	3353.7264	AFF4|27125	4543.6585
AFG3L1|172	147.9422	AFG3L1|172	390.5984
AFG3L2|10939	1192.6307	AFG3L2|10939	1640.3497
AFMID|125061	593.9933	AFMID|125061	4132.6218
lowly_expressed	lowly_expressed	AFP|174	125.809
AFTPH|54812	2622.3582	AFTPH|54812	1838.9917
AG2|387763	265.2948	AG2|387763	216.1917
AGAP11|119385	27.3971	AGAP11|119385	139.9069
AGAP1|116987	823.693	AGAP1|116987	614.5112
AGAP2|116986	49.5829	AGAP2|116986	172.4356
AGAP3|116988	1204.6719	AGAP3|116988	1653.2304
AGAP4|119016	156.2848	AGAP4|119016	267.0603
AGAP5|729092	25.584	AGAP5|729092	80.763
AGAP6|414189	73.4149	AGAP6|414189	158.5103
AGAP7|653268	6.1179	AGAP7|653268	11.8088
AGAP8|728404	28.3648	AGAP8|728404	40.4224
AGA|175	623.4705	AGA|175	743.4995
AGBL2|79841	14.4605	AGBL2|79841	22.255
AGBL3|340351	5.5617	lowly_expressed	lowly_expressed
AGBL4|84871	16.6852	AGBL4|84871	9.0837
AGBL5|60509	535.6007	AGBL5|60509	679.0144
AGER|177	14.4605	AGER|177	62.2232
AGFG1|3267	1521.1346	AGFG1|3267	1977.9721
AGFG2|3268	532.8142	AGFG2|3268	589.0769
AGGF1|55109	857.6196	AGGF1|55109	817.5315
AGK|55750	575.6396	AGK|55750	566.3677
AGL|178	531.1457	AGL|178	991.9382
AGMAT|79814	23.3593	AGMAT|79814	10.9004
AGPAT1|10554	1648.1313	AGPAT1|10554	1348.7362
AGPAT2|10555	912.6808	AGPAT2|10555	633.1327
AGPAT3|56894	1685.2058	AGPAT3|56894	2762.8023
AGPAT4|56895	205.7842	AGPAT4|56895	359.2597
AGPAT5|55326	733.5929	AGPAT5|55326	1177.6996
AGPAT6|137964	1553.9488	AGPAT6|137964	1832.6331
AGPAT9|84803	36.7075	AGPAT9|84803	126.2632
AGPHD1|123688	38.376	AGPHD1|123688	36.7889
AGPS|8540	533.9266	AGPS|8540	799.3641
AGR2|10551	7580.089	AGR2|10551	916.5437
AGR3|155465	1526.1402	AGR3|155465	277.9607
AGRN|375790	6281.4238	AGRN|375790	5966.1633
AGTPBP1|23287	183.5373	AGTPBP1|23287	443.7379
AGTR1|185	340.3782	AGTR1|185	291.1321
AGTRAP|57085	1039.4883	AGTRAP|57085	941.978
AGT|183	78.9766	AGT|183	51.777
AGXT2L2|85007	351.4905	AGXT2L2|85007	432.2017
AHCTF1|25909	1664.6274	AHCTF1|25909	1574.6565
AHCYL1|10768	3964.9611	AHCYL1|10768	3961.8485
AHCYL2|23382	543.3815	AHCYL2|23382	669.9217
AHCY|191	3998.3315	AHCY|191	3015.3287
AHDC1|27245	921.5795	AHDC1|27245	1638.2423
AHI1|54806	229.6997	AHI1|54806	460.5428
AHNAK2|113146	1976.6407	AHNAK2|113146	1250.8232
AHNAK|79026	45129.5884	AHNAK|79026	64366.5266
AHRR|57491	37.8198	AHRR|57491	26.7969
AHR|196	1897.6641	AHR|196	3477.234
AHSA1|10598	1527.2525	AHSA1|10598	1318.4967
AHSA2|130872	301.4461	AHSA2|130872	728.9656
AIDA|64853	1805.406	AIDA|64853	745.348
AIF1L|83543	77.3081	AIF1L|83543	1817.1909
AIF1|199	559.5106	AIF1|199	317.9289
AIFM1|9131	725.8065	AIFM1|9131	1007.3805
AIFM2|84883	245.8287	AIFM2|84883	284.7735
AIFM3|150209	13.7931	AIFM3|150209	8.6295
AIG1|51390	487.7642	AIG1|51390	625.4116
AIM1L|55057	48.9433	lowly_expressed	lowly_expressed
AIM1|202	952.1691	AIM1|202	4276.5982
AIM2|9447	8.3426	AIM2|9447	7.7211
AIMP1|9255	1005.1446	AIMP1|9255	956.5119
AIMP2|7965	369.5161	AIMP2|7965	286.1406
AIP|9049	1063.4038	AIP|9049	635.4037
AJAP1|55966	26.6963	AJAP1|55966	30.8845
AK1|203	629.5884	AK1|203	407.4032
AK2|204	2377.0857	AK2|204	1789.9398
AK3L1|205	452.7253	AK3L1|205	677.6428
AK3|50808	983.871	AK3|50808	1322.5843
AK5|26289	68.4093	AK5|26289	1614.6247
AK7|122481	38.376	AK7|122481	39.9682
AKAP10|11216	293.1034	AKAP10|11216	576.8139
AKAP11|11215	1288.0979	AKAP11|11215	1862.1551
AKAP12|9590	742.4917	AKAP12|9590	1830.3622
AKAP13|11214	2801.4461	AKAP13|11214	4243.4427
AKAP1|8165	1568.9655	AKAP1|8165	2186.8968
AKAP2|11217	649.0489	AKAP2|11217	1468.8089
AKAP3|10566	44.4939	AKAP3|10566	59.0439
AKAP5|9495	54.505	AKAP5|9495	89.0201
AKAP6|9472	75.6396	AKAP6|9472	189.3948
AKAP7|9465	90.1001	AKAP7|9465	172.1358
AKAP8L|26993	964.9611	AKAP8L|26993	891.5635
AKAP8|10270	798.6652	AKAP8|10270	777.1091
AKAP9|10142	2731.9244	AKAP9|10142	2751.9019
AKD1|221264	105.673	AKD1|221264	144.8848
AKIRIN1|79647	630.1446	AKIRIN1|79647	1249.4607
AKIRIN2|55122	460.5117	AKIRIN2|55122	565.0051
AKNA|80709	542.8254	AKNA|80709	791.1888
AKR1A1|10327	2004.4494	AKR1A1|10327	5219.4845
lowly_expressed	lowly_expressed	AKR1B10|57016	25.8885
AKR1B15|441282	12.792	AKR1B15|441282	2110.1397
AKR1B1|231	849.2769999999999	AKR1B1|231	1003.2928
AKR1C1|1645	8.3426	AKR1C1|1645	1577.8358
AKR1C2|1646	6.6741	AKR1C2|1646	6228.6817
AKR1C3|8644	91.2125	AKR1C3|8644	1283.5245
lowly_expressed	lowly_expressed	AKR1D1|6718	1015.1016
AKR1E2|83592	9.4549	AKR1E2|83592	25.8885
AKR7A2|8574	1077.3081	AKR7A2|8574	748.0413
AKR7A3|22977	635.1502	AKR7A3|22977	212.104
AKR7L|246181	37.8198	AKR7L|246181	20.4383
AKT1S1|84335	1065.6285	AKT1S1|84335	739.4118
AKT1|207	3809.2325	AKT1|207	3083.4563
AKT2|208	2145.7175	AKT2|208	2134.6656
AKT3|10000	1880.4227	AKT3|10000	881.1173
AKTIP|64400	524.2325	AKTIP|64400	477.4429
ALAD|210	1340.9344	ALAD|210	1372.9988
ALAS1|211	680.7564	ALAS1|211	837.9698
lowly_expressed	lowly_expressed	ALAS2|212	14.0797
ALB|213	22.2469	ALB|213	5114.1138
ALCAM|214	4636.8187	ALCAM|214	9923.9242
ALDH16A1|126133	418.2425	ALDH16A1|126133	748.9497
ALDH18A1|5832	2357.0634	ALDH18A1|5832	1556.4892
ALDH1A1|216	373.1924	ALDH1A1|216	979.6753
ALDH1A2|8854	20.5784	ALDH1A2|8854	1014.1933
ALDH1A3|220	380.1835	ALDH1A3|220	2822.4094
ALDH1B1|219	1774.7497	ALDH1B1|219	421.4829
ALDH1L1|10840	8.8988	ALDH1L1|10840	59.4981
ALDH1L2|160428	740.2669999999999	ALDH1L2|160428	201.2036
