gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
C7orf36|57002	326.8703	C7orf36|57002	167.9104
C7orf40|285958	373.2625	C7orf40|285958	221.5485
C7orf41|222166	728.1098	C7orf41|222166	3160.9142
C7orf42|55069	3718.4595	C7orf42|55069	2942.6306
C7orf43|55262	628.5967	C7orf43|55262	216.4179
C7orf44|55744	740.8588	C7orf44|55744	599.347
C7orf46|340277	106.2417	C7orf46|340277	115.6716
C7orf47|221908	337.1403	C7orf47|221908	114.2724
C7orf49|78996	537.8132	C7orf49|78996	507.1735
C7orf50|84310	1298.9819	C7orf50|84310	420.709
lowly_expressed	lowly_expressed	C7orf51|222950	48.5075
C7orf53|286006	24.4356	C7orf53|286006	17.2575
C7orf55|154791	173.8822	C7orf55|154791	204.1231
C7orf57|136288	11.3324	lowly_expressed	lowly_expressed
C7orf58|79974	123.5945	C7orf58|79974	978.0784
C7orf59|389541	1037.9814	C7orf59|389541	656.7164
C7orf60|154743	247.5432	C7orf60|154743	417.444
lowly_expressed	lowly_expressed	C7orf61|402573	16.791
C7orf63|79846	172.8198	C7orf63|79846	196.3619
C7orf64|84060	296.4143	C7orf64|84060	362.4067
C7orf68|29923	689.1545	C7orf68|29923	325.5597
C7orf70|84792	641.3457	C7orf70|84792	385.2612
C7|730	178.4861	C7|730	557.8358
C8orf30A|51236	1239.8406	C8orf30A|51236	408.1157
lowly_expressed	lowly_expressed	C8orf31|286122	6.9963
C8orf33|65265	999.0261	C8orf33|65265	1088.6194
C8orf34|116328	5.6662	C8orf34|116328	40.5784
C8orf37|157657	54.8915	C8orf37|157657	120.8022
C8orf38|137682	279.7698	C8orf38|137682	182.8358
lowly_expressed	lowly_expressed	C8orf39|55472	12.5933
C8orf40|114926	389.5529	C8orf40|114926	510.7276
C8orf41|80185	224.4887	C8orf41|80185	239.445
C8orf42|157695	155.8212	C8orf42|157695	427.7052
C8orf44|56260	34.8189	C8orf44|56260	58.138999999999996
C8orf45|157777	46.3922	C8orf45|157777	45.2425
C8orf46|254778	10.9783	C8orf46|254778	37.3134
lowly_expressed	lowly_expressed	C8orf47|203111	6.0634
C8orf48|157773	34.7056	C8orf48|157773	33.5821
C8orf4|56892	784.7719999999999	C8orf4|56892	2226.6791
C8orf51|78998	61.6202	C8orf51|78998	45.708999999999996
C8orf55|51337	1320.5843	C8orf55|51337	868.0037
C8orf58|541565	190.5268	C8orf58|541565	213.153
C8orf59|401466	997.0075	C8orf59|401466	347.3974
C8orf73|642475	169.6326	C8orf73|642475	74.1604
C8orf76|84933	463.2138	C8orf76|84933	226.32
C8orf77|286103	7.4369	C8orf77|286103	14.9254
C8orf79|57604	35.4139	C8orf79|57604	797.1082
lowly_expressed	lowly_expressed	C8orf80|389643	6.5299
C8orf83|286144	731.6512	C8orf83|286144	602.1455
C8orf84|157869	154.0505	C8orf84|157869	906.25
C8orf85|441376	121.1155	C8orf85|441376	211.7537
C9orf100|84904	131.6476	C9orf100|84904	26.0728
C9orf102|375748	64.2585	C9orf102|375748	237.8405
C9orf103|414328	121.8238	C9orf103|414328	88.15299999999999
C9orf109|286333	47.8088	C9orf109|286333	16.3246
C9orf110|100128385	167.8619	C9orf110|100128385	106.8097
C9orf114|51490	413.1952	C9orf114|51490	539.0578
C9orf116|138162	254.6259	C9orf116|138162	36.847
C9orf117|286207	37.5387	C9orf117|286207	8.8619
C9orf119|375757	468.88	C9orf119|375757	263.9925
C9orf122|158228	8.1452	C9orf122|158228	38.7127
C9orf123|90871	707.9239	C9orf123|90871	587.2201
C9orf125|84302	30.456	C9orf125|84302	50.8396
C9orf128|392307	8.8535	lowly_expressed	lowly_expressed
C9orf129|445577	60.5188	C9orf129|445577	86.7677
C9orf130|100128782	72.1487	C9orf130|100128782	262.4347
lowly_expressed	lowly_expressed	C9orf139|401563	5.1306
C9orf140|89958	248.9597	C9orf140|89958	89.0858
C9orf142|286257	381.4077	C9orf142|286257	142.2575
C9orf150|286343	547.1448	C9orf150|286343	577.4254
C9orf152|401546	737.3174	C9orf152|401546	1075.0933
C9orf156|51531	147.3218	C9orf156|51531	270.056
C9orf163|158055	17.7069	C9orf163|158055	14.9254
C9orf167|54863	88.5347	C9orf167|54863	71.8284
C9orf169|375791	74.9216	lowly_expressed	lowly_expressed
C9orf16|79095	784.4179	C9orf16|79095	363.806
lowly_expressed	lowly_expressed	C9orf170|401535	5.597
C9orf171|389799	7.0828	C9orf171|389799	6.5299
C9orf172|389813	9.2076	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C9orf173|441476	6.0634
C9orf21|195827	177.4236	C9orf21|195827	173.041
C9orf23|138716	439.1324	C9orf23|138716	365.2052
C9orf25|203259	277.9991	C9orf25|203259	396.4552
C9orf30|91283	246.9093	C9orf30|91283	154.93
C9orf37|85026	129.969	C9orf37|85026	109.1418
C9orf3|84909	335.9681	C9orf3|84909	395.2146
C9orf40|55071	118.6366	C9orf40|55071	98.8806
C9orf41|138199	115.4493	C9orf41|138199	224.8088
C9orf43|257169	9.5618	C9orf43|257169	8.3955
C9orf45|81571	98.0965	C9orf45|81571	259.3284
C9orf46|55848	807.7911	C9orf46|55848	272.8545
C9orf47|286223	9.9265	C9orf47|286223	54.6782
lowly_expressed	lowly_expressed	C9orf4|23732	6.5299
C9orf5|23731	1334.3958	C9orf5|23731	3827.4254
C9orf64|84267	333.2448	C9orf64|84267	430.0373
C9orf66|157983	37.1846	C9orf66|157983	56.4366
C9orf68|55064	23.019000000000002	C9orf68|55064	57.8358
C9orf69|90120	827.6228	C9orf69|90120	641.3246
C9orf6|54942	684.9048	C9orf6|54942	486.4739
C9orf72|203228	175.6529	C9orf72|203228	318.5634
C9orf78|51759	1093.9354	C9orf78|51759	1121.2687
C9orf7|11094	1389.2873	C9orf7|11094	545.2425
C9orf80|58493	284.7278	C9orf80|58493	255.1306
C9orf82|79886	438.4241	C9orf82|79886	357.2761
C9orf84|158401	6.3745	lowly_expressed	lowly_expressed
C9orf85|138241	112.2621	C9orf85|138241	174.4403
C9orf86|55684	1234.5286	C9orf86|55684	1373.1343
C9orf89|84270	562.3727	C9orf89|84270	123.1343
C9orf91|203197	1659.4954	C9orf91|203197	692.1642
C9orf93|203238	45.3298	C9orf93|203238	113.3396
C9orf95|54981	275.5201	C9orf95|54981	428.6381
lowly_expressed	lowly_expressed	C9orf96|169436	21.9216
C9orf98|158067	149.4467	C9orf98|158067	58.3022
C9orf9|11092	181.3192	C9orf9|11092	217.8172
CA11|770	34.7056	CA11|770	301.7724
CA12|771	7725.8964	CA12|771	2907.1828
CA13|377677	19.5414	CA13|377677	123.7733
CA14|23632	8.4993	CA14|23632	10.2612
CA2|760	661.5317	CA2|760	272.3881
CA3|761	28.2674	CA3|761	211.5812
lowly_expressed	lowly_expressed	CA4|762	352.1455
CA5BP|340591	361.9301	CA5BP|340591	166.0448
CA5B|11238	366.2576	CA5B|11238	481.7817
lowly_expressed	lowly_expressed	CA6|765	10.2612
CA8|767	71.5361	CA8|767	222.9478
CA9|768	59.5485	lowly_expressed	lowly_expressed
CAB39L|81617	603.4529	CAB39L|81617	1841.8843
CAB39|51719	1816.7331	CAB39|51719	2184.7015
CABC1|56997	778.3196	CABC1|56997	2184.5336
CABIN1|23523	2136.5206	CABIN1|23523	1901.5858
CABLES1|91768	705.0907	CABLES1|91768	878.7313
CABLES2|81928	423.1961	CABLES2|81928	181.903
CABP1|9478	6.7286	CABP1|9478	42.443999999999996
CABP4|57010	31.1642	CABP4|57010	49.4403
lowly_expressed	lowly_expressed	CABP7|164633	5.9748
CABYR|26256	190.1726	CABYR|26256	102.1455
CACHD1|57685	155.1129	CACHD1|57685	1216.4179
CACNA1A|773	25.498	CACNA1A|773	14.9254
CACNA1C|775	174.5834	CACNA1C|775	997.6679
CACNA1D|776	53.8291	CACNA1D|776	311.1007
CACNA1F|778	17.3528	CACNA1F|778	17.2575
CACNA1G|8913	19.4776	CACNA1G|8913	47.1082
CACNA1H|8912	1345.9832	CACNA1H|8912	122.2015
CACNA1I|8911	19.4776	CACNA1I|8911	14.9254
CACNA2D1|781	47.8088	CACNA2D1|781	284.9813
CACNA2D2|9254	210.3586	CACNA2D2|9254	244.403
CACNA2D3|55799	15.228	CACNA2D3|55799	8.3955
CACNA2D4|93589	63.0367	CACNA2D4|93589	49.4403
CACNB1|782	55.95399999999999	CACNB1|782	135.2612
CACNB2|783	19.1235	CACNB2|783	53.1716
CACNB3|784	971.0491	CACNB3|784	487.4067
CACNB4|785	21.6025	CACNB4|785	378.7313
CACNG4|27092	511.7309	CACNG4|27092	911.3806
CACNG6|59285	9.5618	lowly_expressed	lowly_expressed
CACYBP|27101	2447.1005	CACYBP|27101	855.8769
CADM1|23705	720.3187	CADM1|23705	897.8545
CADM2|253559	8.8535	CADM2|253559	27.5187
CADM3|57863	24.1062	CADM3|57863	375.9095
CADM4|199731	878.9730000000001	CADM4|199731	848.8806
CADPS2|93664	980.2568	CADPS2|93664	1809.7015
CAD|790	1069.8539	CAD|790	1390.3918
CALB2|794	92.7844	CALB2|794	733.209
CALCOCO1|57658	1278.7959	CALCOCO1|57658	4136.194
CALCOCO2|10241	2463.745	CALCOCO2|10241	2922.5746
CALCRL|10203	791.5007	CALCRL|10203	1241.1381
CALCR|799	115.8035	lowly_expressed	lowly_expressed
CALD1|800	8333.2448	CALD1|800	9234.1418
CALHM2|51063	547.8530000000001	CALHM2|51063	578.8246
CALM1|801	9683.5768	CALM1|801	5037.7799
CALM2|805	16189.8185	CALM2|805	6410.9142
CALM3|808	3462.0629	CALM3|808	3791.9776
CALML3|810	149.0925	CALML3|810	1555.5037
CALML4|91860	384.2408	CALML4|91860	259.3284
CALML5|51806	1167.2421	CALML5|51806	185.6343
lowly_expressed	lowly_expressed	CALML6|163688	6.5299
CALN1|83698	14.5197	CALN1|83698	5.597
CALR|811	21833.3776	CALR|811	7588.6194
CALU|813	5501.5494	CALU|813	2316.2313
CAMK1D|57118	71.5361	CAMK1D|57118	64.8321
CAMK1|8536	222.1479	CAMK1|8536	420.597
CAMK2A|815	18.0611	lowly_expressed	lowly_expressed
CAMK2B|816	6.7286	CAMK2B|816	140.8582
CAMK2D|817	1041.8769	CAMK2D|817	1211.2873
CAMK2G|818	597.0784	CAMK2G|818	761.6604
CAMK2N1|55450	1575.2103	CAMK2N1|55450	1364.2724
CAMK2N2|94032	15.9363	lowly_expressed	lowly_expressed
CAMK4|814	14.5197	CAMK4|814	6.9963
CAMKK1|84254	403.3643	CAMKK1|84254	236.0075
CAMKK2|10645	1622.3108	CAMKK2|10645	1525.6529999999998
CAMLG|819	1345.0199	CAMLG|819	940.2985
CAMSAP1L1|23271	1610.6242	CAMSAP1L1|23271	1531.7164
CAMSAP1|157922	699.4245	CAMSAP1|157922	1184.2351
CAMTA1|23261	469.5883	CAMTA1|23261	515.8582
CAMTA2|23125	1296.857	CAMTA2|23125	1493.9366
CAND1|55832	4103.4086	CAND1|55832	3185.1679
CAND2|23066	118.9907	CAND2|23066	87.6866
CANT1|124583	3151.1288	CANT1|124583	1660.9142
CANX|821	18304.3825	CANX|821	14765.3918
CAP1|10487	12467.4635	CAP1|10487	5174.4403
CAP2|10486	1312.4391	CAP2|10486	655.3172
CAPG|822	3731.9168	CAPG|822	1271.4552
CAPN10|11132	175.7946	CAPN10|11132	263.6054
CAPN11|11131	10.27	CAPN11|11131	204.291
CAPN12|147968	53.1633	CAPN12|147968	108.7733
CAPN13|92291	276.2284	CAPN13|92291	501.8657
CAPN1|823	3884.1965	CAPN1|823	3328.8246
CAPN2|824	9347.853000000001	CAPN2|824	3958.9552
CAPN3|825	24.3435	CAPN3|825	192.9104
CAPN5|726	166.4453	CAPN5|726	291.0448
CAPN6|827	24.0815	CAPN6|827	818.097
CAPN7|23473	834.7056	CAPN7|23473	1093.2836
CAPN8|388743	390.2612	CAPN8|388743	142.7239
CAPN9|10753	661.8858	lowly_expressed	lowly_expressed
CAPNS1|826	11118.548	CAPNS1|826	4759.7948
CAPRIN1|4076	7664.2762	CAPRIN1|4076	6420.709
CAPRIN2|65981	283.6653	CAPRIN2|65981	440.7649
CAPS2|84698	23.3732	CAPS2|84698	74.1604
CAPSL|133690	29.0394	lowly_expressed	lowly_expressed
CAPS|828	186.2771	CAPS|828	175.3731
CAPZA1|829	3730.8544	CAPZA1|829	1965.0187
CAPZA2|830	2096.5029	CAPZA2|830	1770.5224
lowly_expressed	lowly_expressed	CAPZA3|93661	14.9254
CAPZB|832	6187.1625	CAPZB|832	2853.5448
CARD10|29775	258.5215	CARD10|29775	478.5448
CARD11|84433	33.9973	CARD11|84433	73.2276
CARD14|79092	505.7105	CARD14|79092	298.041
CARD16|114769	117.22	CARD16|114769	62.5
CARD6|84674	207.1713	CARD6|84674	216.4179
CARD8|22900	503.9398	CARD8|22900	917.9104
CARD9|64170	40.726	CARD9|64170	59.7015
CARHSP1|23589	1376.6729	CARHSP1|23589	795.653
CARKD|55739	1007.1713	CARKD|55739	1302.7052
CARM1|10498	1041.8769	CARM1|10498	644.1231
CARNS1|57571	15.9363	CARNS1|57571	39.6455
CARS2|79587	562.2665	CARS2|79587	582.7332
CARS|833	947.3112	CARS|833	811.1007
CASC1|55259	74.7233	CASC1|55259	47.1082
CASC2|255082	54.1833	CASC2|255082	59.7015
CASC3|22794	1873.7494	CASC3|22794	3477.6119
CASC4|113201	2702.0806	CASC4|113201	2646.9216
CASC5|57082	138.4683	CASC5|57082	13.5261
CASD1|64921	1080.4781	CASD1|64921	1107.7425
CASKIN1|57524	22.2683	CASKIN1|57524	17.2201
CASKIN2|57513	643.3254	CASKIN2|57513	1121.292
CASK|8573	1415.8477	CASK|8573	1291.9776
CASP10|843	148.7384	CASP10|843	203.8246
CASP1|834	191.2351	CASP1|834	521.9216
CASP2|835	1139.6193	CASP2|835	1004.6642
CASP3|836	834.3515	CASP3|836	416.9776
CASP4|837	714.2984	CASP4|837	713.153
CASP6|839	662.2399	CASP6|839	375.9328
CASP7|840	1335.4582	CASP7|840	744.8694
CASP8AP2|9994	338.2027	CASP8AP2|9994	781.25
CASP8|841	568.3931	CASP8|841	570.4291
CASP9|842	281.8946	CASP9|842	380.1306
CASQ1|844	52.4126	CASQ1|844	30.3172
CASQ2|845	32.5808	CASQ2|845	254.6642
lowly_expressed	lowly_expressed	CASS4|57091	17.7239
CAST|831	5009.4591	CAST|831	6220.4478
CASZ1|54897	798.5834	CASZ1|54897	1326.4925
CATSPER2P1|440278	25.243000000000002	CATSPER2P1|440278	29.9674
CATSPER2|117155	29.0394	CATSPER2|117155	46.9356
CATSPER3|347732	17.7919	CATSPER3|347732	9.7948
CATSPERB|79820	62.3285	CATSPERB|79820	23.7873
CATSPERG|57828	17.3528	CATSPERG|57828	29.8507
CAT|847	1398.849	CAT|847	4782.6493
CAV1|857	1754.4046	CAV1|857	8150.1866
CAV2|858	545.0199	CAV2|858	2655.7836
CBARA1|10367	1575.5644	CBARA1|10367	1189.3657
CBFA2T2|9139	803.5414	CBFA2T2|9139	1169.7761
CBFA2T3|863	162.5498	CBFA2T3|863	126.8657
CBFB|865	1025.2324	CBFB|865	695.4291
CBLB|868	358.7428	CBLB|868	646.4552
CBLC|23624	542.5409	CBLC|23624	135.2612
CBLL1|79872	914.0328	CBLL1|79872	1116.6045
CBLN1|869	25.8521	CBLN1|869	49.4403
CBLN2|147381	7.0828	lowly_expressed	lowly_expressed
CBLN3|643866	43.9132	CBLN3|643866	93.75
CBLN4|140689	8.1452	CBLN4|140689	13.9925
CBL|867	736.6091	CBL|867	1514.9254
CBR1|873	709.8504	CBR1|873	729.3377
CBR3|874	467.8176	CBR3|874	195.8955
CBR4|84869	354.139	CBR4|84869	712.6866
CBS|875	33.6432	CBS|875	101.6791
CBWD1|55871	1014.2541	CBWD1|55871	946.8284
CBWD2|150472	955.1129	CBWD2|150472	421.6418
CBWD3|445571	1741.3015	CBWD3|445571	438.8993
CBWD6|644019	269.1456	CBWD6|644019	123.1343
CBX1|10951	2027.0916	CBX1|10951	1401.1194
CBX2|84733	135.2811	CBX2|84733	130.1306
CBX3|11335	5405.9318	CBX3|11335	2158.1157
CBX4|8535	687.0297	CBX4|8535	423.5075
CBX5|23468	3349.4467	CBX5|23468	3954.7575
CBX6|23466	213.9	CBX6|23466	1103.5448
CBX7|23492	348.4728	CBX7|23492	2405.7836
CBX8|57332	106.95	CBX8|57332	149.2537
CBY1|25776	461.9743	CBY1|25776	608.806
CC2D1A|54862	589.2873	CC2D1A|54862	844.2164
CC2D1B|200014	559.8938	CC2D1B|200014	736.9403
CC2D2A|57545	237.9814	CC2D2A|57545	588.153
CC2D2B|387707	6.7286	CC2D2B|387707	6.5299
CCAR1|55749	1893.5812	CCAR1|55749	1332.0896
CCBE1|147372	6.3745	CCBE1|147372	46.1754
CCBL1|883	79.6813	CCBL1|883	145.5224
CCBL2|56267	311.2351	CCBL2|56267	514.1465
CCBP2|1238	164.6746	CCBP2|1238	48.9739
CCDC101|112869	310.2258	CCDC101|112869	331.6231
CCDC102A|92922	97.3882	CCDC102A|92922	166.5112
CCDC102B|79839	106.95	CCDC102B|79839	52.2388
CCDC103|388389	236.919	CCDC103|388389	184.2351
CCDC104|112942	814.1656	CCDC104|112942	694.4963
CCDC106|29903	544.6658	CCDC106|29903	200.0933
CCDC107|203260	355.9486	CCDC107|203260	387.6399
CCDC109A|90550	649.8451	CCDC109A|90550	426.306
CCDC109B|55013	475.6087	CCDC109B|55013	141.3246
CCDC110|256309	99.5131	CCDC110|256309	67.1642
CCDC111|201973	190.5197	CCDC111|201973	234.445
CCDC112|153733	331.8282	CCDC112|153733	180.0373
CCDC113|29070	316.9544	CCDC113|29070	362.4067
CCDC114|93233	21.2483	CCDC114|93233	11.6604
CCDC115|84317	1429.6591	CCDC115|84317	877.7985
CCDC117|150275	690.571	CCDC117|150275	866.1381
CCDC11|220136	50.996	CCDC11|220136	36.847
CCDC120|90060	477.7335	CCDC120|90060	442.1642
CCDC121|79635	117.5741	CCDC121|79635	186.5672
CCDC122|160857	11.3324	CCDC122|160857	82.556
CCDC123|84902	1604.9579	CCDC123|84902	417.444
CCDC124|115098	782.2931	CCDC124|115098	485.0746
CCDC125|202243	1169.367	CCDC125|202243	607.2761
CCDC126|90693	312.3506	CCDC126|90693	208.4888
CCDC127|133957	526.2506	CCDC127|133957	354.944
lowly_expressed	lowly_expressed	CCDC129|223075	11.194
CCDC12|151903	530.1461	CCDC12|151903	376.3993
CCDC130|81576	263.1253	CCDC130|81576	350.7463
CCDC132|55610	594.5994	CCDC132|55610	666.0448
CCDC134|79879	49.2253	CCDC134|79879	63.8993
CCDC136|64753	16.2904	CCDC136|64753	161.847
CCDC137|339230	422.842	CCDC137|339230	280.3172
CCDC138|165055	69.0571	CCDC138|165055	45.2425
CCDC13|152206	9.2076	CCDC13|152206	14.459000000000001
lowly_expressed	lowly_expressed	CCDC141|285025	13.0597
CCDC142|84865	180.6109	CCDC142|84865	166.6838
CCDC144A|9720	59.6901	CCDC144A|9720	215.0326
CCDC144B|284047	36.4763	CCDC144B|284047	198.2276
lowly_expressed	lowly_expressed	CCDC144NL|339184	8.3955
CCDC146|57639	146.9677	CCDC146|57639	191.2313
lowly_expressed	lowly_expressed	CCDC147|159686	12.1269
CCDC148|130940	25.8521	CCDC148|130940	50.3731
CCDC149|91050	469.9425	CCDC149|91050	613.3396
CCDC14|64770	717.1315	CCDC14|64770	1366.6045
CCDC150|284992	11.6866	CCDC150|284992	7.9291
CCDC151|115948	10.27	CCDC151|115948	10.7276
CCDC152|100129792	44.8198	CCDC152|100129792	142.4534
CCDC153|283152	22.6649	lowly_expressed	lowly_expressed
CCDC154|645811	9.9159	CCDC154|645811	12.5933
CCDC155|147872	6.3745	lowly_expressed	lowly_expressed
CCDC157|550631	34.3656	CCDC157|550631	62.0476
lowly_expressed	lowly_expressed	CCDC158|339965	92.3507
CCDC159|126075	171.4033	CCDC159|126075	161.847
CCDC15|80071	167.8619	CCDC15|80071	74.1604
CCDC160|347475	208.2337	CCDC160|347475	48.5075
CCDC163P|126661	35.768	CCDC163P|126661	41.9776
CCDC17|149483	24.7897	CCDC17|149483	11.194
CCDC18|343099	59.1412	CCDC18|343099	47.5746
CCDC19|25790	213.5458	CCDC19|25790	8.3955
CCDC21|64793	295.3519	CCDC21|64793	250.0
CCDC22|28952	558.9624	CCDC22|28952	412.3274
CCDC23|374969	338.5569	CCDC23|374969	245.3358
CCDC24|149473	829.3404	CCDC24|149473	176.6231
CCDC25|55246	446.5693	CCDC25|55246	1062.9664
CCDC28A|25901	329.3493	CCDC28A|25901	464.5522
CCDC28B|79140	106.2417	CCDC28B|79140	34.9813
CCDC30|728621	259.2297	CCDC30|728621	138.5261
CCDC34|91057	331.8282	CCDC34|91057	326.959
CCDC36|339834	24.0815	CCDC36|339834	38.2463
CCDC39|339829	10.9783	CCDC39|339829	46.6418
CCDC3|83643	225.9407	CCDC3|83643	751.3993
CCDC40|55036	194.0682	CCDC40|55036	166.5112
CCDC41|51134	422.4878	CCDC41|51134	202.4254
CCDC42B|387885	10.27	lowly_expressed	lowly_expressed
CCDC43|124808	712.5277	CCDC43|124808	390.8582
CCDC45|90799	399.8229	CCDC45|90799	671.1754
CCDC46|201134	97.0341	CCDC46|201134	229.94400000000002
CCDC47|57003	2703.8513	CCDC47|57003	2604.0112
CCDC48|79825	183.7981	CCDC48|79825	83.4888
CCDC50|152137	956.5294	CCDC50|152137	2548.5075
CCDC51|79714	363.7008	CCDC51|79714	247.2015
CCDC52|152185	651.9699	CCDC52|152185	434.7015
CCDC53|51019	603.0987	CCDC53|51019	319.9627
CCDC55|84081	738.0257	CCDC55|84081	847.4813
CCDC56|28958	1693.7406	CCDC56|28958	616.7491
CCDC57|284001	391.6777	CCDC57|284001	709.4216
CCDC58|131076	295.3519	CCDC58|131076	115.6716
CCDC59|29080	569.1014	CCDC59|29080	315.2985
CCDC60|160777	32.5808	lowly_expressed	lowly_expressed
CCDC61|729440	146.2594	CCDC61|729440	115.6716
CCDC64B|146439	469.2342	CCDC64B|146439	454.291
CCDC64|92558	367.9504	CCDC64|92558	111.0075
CCDC65|85478	70.1195	CCDC65|85478	17.7239
CCDC66|285331	399.1642	CCDC66|285331	429.5756
CCDC68|80323	29.3935	CCDC68|80323	119.8694
CCDC69|26112	234.44	CCDC69|26112	1877.3321
CCDC6|8030	3649.4024	CCDC6|8030	2847.4813
CCDC71|64925	618.3267	CCDC71|64925	472.4813
CCDC72|51372	1559.6282	CCDC72|51372	635.2612
CCDC73|493860	31.0013	CCDC73|493860	51.888999999999996
CCDC74A|90557	391.3236	CCDC74A|90557	311.5672
CCDC74B|91409	184.8606	CCDC74B|91409	147.3881
CCDC75|253635	51.7043	CCDC75|253635	208.9552
CCDC76|54482	258.7092	CCDC76|54482	333.722
CCDC77|84318	155.8212	CCDC77|84318	167.4907
CCDC78|124093	94.5551	CCDC78|124093	21.9216
CCDC7|221016	35.0598	CCDC7|221016	28.4515
CCDC80|151887	3621.4254	CCDC80|151887	2502.3321
lowly_expressed	lowly_expressed	CCDC81|60494	10.2612
CCDC82|79780	177.0695	CCDC82|79780	497.2015
CCDC84|338657	111.5538	CCDC84|338657	86.2873
CCDC85A|114800	21.2483	CCDC85A|114800	177.6679
CCDC85B|11007	139.5308	CCDC85B|11007	78.3582
CCDC85C|317762	1164.0053	CCDC85C|317762	712.2808
CCDC86|79080	1204.7384	CCDC86|79080	536.3619
CCDC87|55231	83.9309	CCDC87|55231	13.0597
CCDC88A|55704	428.1541	CCDC88A|55704	790.5784
CCDC88B|283234	88.1806	CCDC88B|283234	139.9254
CCDC88C|440193	2192.1204	CCDC88C|440193	999.5336
CCDC89|220388	21.2483	CCDC89|220388	41.0448
CCDC8|83987	348.1186	CCDC8|83987	2006.9963
CCDC90A|63933	579.0173	CCDC90A|63933	274.7201
CCDC90B|60492	807.0757	CCDC90B|60492	634.7388
CCDC91|55297	684.9048	CCDC91|55297	560.1679
CCDC92|80212	1142.0983	CCDC92|80212	1096.0821
CCDC93|54520	526.2506	CCDC93|54520	1320.8955
CCDC94|55702	244.3559	CCDC94|55702	325.0933
CCDC96|257236	156.5294	CCDC96|257236	56.903
CCDC97|90324	688.8004	CCDC97|90324	964.0858
CCDC99|54908	357.3263	CCDC99|54908	153.4515
CCDC9|26093	209.2961	CCDC9|26093	326.959
CCHCR1|54535	484.108	CCHCR1|54535	389.459
CCIN|881	18.0611	lowly_expressed	lowly_expressed
CCL11|6356	30.456	lowly_expressed	lowly_expressed
CCL14|6358	173.174	CCL14|6358	1150.1772
CCL18|6362	17.3528	lowly_expressed	lowly_expressed
CCL19|6363	68.3488	CCL19|6363	26.1194
CCL20|6364	6.3745	lowly_expressed	lowly_expressed
CCL21|6366	74.3692	CCL21|6366	573.2276
CCL22|6367	121.1155	CCL22|6367	41.9776
lowly_expressed	lowly_expressed	CCL23|6368	5.1306
CCL26|10344	7.0828	lowly_expressed	lowly_expressed
CCL28|56477	302.4347	CCL28|56477	1012.5933
CCL2|6347	349.1811	CCL2|6347	152.9851
CCL3L1|6349	22.8136	CCL3L1|6349	8.1343
lowly_expressed	lowly_expressed	CCL3L3|414062	6.3246
CCL3|6348	92.4303	CCL3|6348	23.7873
CCL4L2|388372	40.726	CCL4L2|388372	13.0597
CCL4|6351	57.3705	CCL4|6351	22.8545
CCL5|6352	218.1496	CCL5|6352	212.6866
CCL8|6355	25.498	CCL8|6355	20.055999999999997
CCM2|83605	860.9119	CCM2|83605	720.6157
CCNA1|8900	6.0204	CCNA1|8900	10.2612
CCNA2|890	454.8915	CCNA2|890	48.9132
CCNB1IP1|57820	598.849	CCNB1IP1|57820	693.5634
CCNB1|891	1686.7641	CCNB1|891	161.847
CCNB2|9133	335.3696	CCNB2|9133	20.055999999999997
CCNB3|85417	22.3108	CCNB3|85417	18.1903
CCNC|892	1237.0075	CCNC|892	1005.597
CCND1|595	3335.2457	CCND1|595	3002.7332
CCND2|894	787.6051	CCND2|894	1129.1978
CCND3|896	1634.3515	CCND3|896	2057.8358
CCNDBP1|23582	526.6047	CCNDBP1|23582	1200.0933
CCNE1|898	166.0912	CCNE1|898	12.5933
CCNE2|9134	161.498	CCNE2|9134	22.4067
CCNF|899	654.0947	CCNF|899	223.8806
CCNG1|900	3359.7167	CCNG1|900	3121.2687
CCNG2|901	2146.4365	CCNG2|901	4765.3918
CCNH|902	621.8822	CCNH|902	564.2304
CCNI2|645121	26.6313	CCNI2|645121	5.2612
CCNI|10983	5150.9517	CCNI|10983	7707.0896
CCNJL|79616	85.7016	CCNJL|79616	181.4366
CCNJ|54619	243.2935	CCNJ|54619	199.6269
CCNK|8812	1552.9491	CCNK|8812	681.8424
CCNL1|57018	881.452	CCNL1|57018	1440.2985
CCNL2|81669	1168.6587	CCNL2|81669	2930.0373
CCNO|10309	881.0978	CCNO|10309	37.7799
CCNT1|904	48.1629	CCNT1|904	383.8619
CCNT2|905	754.3161	CCNT2|905	1193.097
CCNYL1|151195	371.4918	CCNYL1|151195	304.5709
CCNY|219771	1842.2311	CCNY|219771	1588.1529999999998
CCPG1|9236	1742.9128	CCPG1|9236	2503.181
CCR10|2826	6.0204	CCR10|2826	10.2612
CCR1|1230	187.3395	CCR1|1230	69.0299
CCR2|729230	24.7897	CCR2|729230	97.9478
CCR4|1233	13.1031	lowly_expressed	lowly_expressed
CCR5|1234	83.9309	CCR5|1234	97.9478
CCR6|1235	623.9929	CCR6|1235	51.9729
CCR7|1236	34.3515	CCR7|1236	16.3246
CCR8|1237	5.6662	lowly_expressed	lowly_expressed
CCRL1|51554	178.8402	CCRL1|51554	77.4254
CCRL2|9034	49.9336	CCRL2|9034	25.1866
