gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ACAD9|28976	882.8154	ACAD9|28976	944.0299
lowly_expressed	lowly_expressed	ACADL|33	278.4515
ACADM|34	1050.0221	ACADM|34	1816.6978
ACADSB|36	1453.7406	ACADSB|36	3131.5299
ACADS|35	311.6423	ACADS|35	1241.6045
ACADVL|37	3702.8597	ACADVL|37	6875.4058
ACAN|176	144.4887	ACAN|176	12.5933
ACAP1|9744	39.3094	ACAP1|9744	34.9813
ACAP2|23527	905.8876	ACAP2|23527	1641.791
ACAP3|116983	597.4325	ACAP3|116983	552.7052
ACAT1|38	1045.0642	ACAT1|38	1506.0634
ACAT2|39	520.595	ACAT2|39	406.1847
ACBD3|64746	2475.0775	ACBD3|64746	1173.5075
ACBD4|79777	184.1523	ACBD4|79777	373.1343
ACBD5|91452	730.9429	ACBD5|91452	766.3246
ACBD6|84320	734.1301	ACBD6|84320	302.2388
ACBD7|414149	27.6228	ACBD7|414149	23.7873
ACCN2|41	76.1399	ACCN2|41	107.2761
ACCN3|9311	8.1452	ACCN3|9311	7.9291
ACCS|84680	107.6583	ACCS|84680	537.7799
ACD|65057	267.0208	ACD|65057	347.4813
lowly_expressed	lowly_expressed	ACE2|59272	9.7948
lowly_expressed	lowly_expressed	ACER1|125981	6.5299
ACER2|340485	139.1766	ACER2|340485	278.9179
ACER3|55331	209.2961	ACER3|55331	515.3918
ACE|1636	582.9128	ACE|1636	610.541
lowly_expressed	lowly_expressed	ACHE|43	37.7799
ACIN1|22985	3382.7357	ACIN1|22985	3916.5112
ACLY|47	4804.2497	ACLY|47	11717.8172
ACN9|57001	197.2554	ACN9|57001	111.9403
ACO1|48	940.9473	ACO1|48	2597.4813
ACO2|50	1785.4413	ACO2|50	3658.9179
ACOT11|26027	26.5604	ACOT11|26027	25.1166
ACOT13|55856	775.1465	ACOT13|55856	584.3983
ACOT1|641371	1391.058	ACOT1|641371	1340.4851
ACOT2|10965	645.2413	ACOT2|10965	835.3545
ACOT4|122970	442.3196	ACOT4|122970	109.6082
ACOT6|641372	12.0407	ACOT6|641372	6.9963
ACOT7|11332	369.7211	ACOT7|11332	244.8694
ACOT8|10005	618.4613	ACOT8|10005	238.666
ACOT9|23597	592.4745	ACOT9|23597	361.0075
ACOX1|51	1148.6109	ACOX1|51	2156.7164
