gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
EIF2S3|1968	4764.8240000000005	EIF2S3|1968	4739.3899
EIF3A|8661	4862.7334	EIF3A|8661	9363.0637
EIF3B|8662	3039.6548	EIF3B|8662	3215.5172
EIF3CL|728689	15218.2576	EIF3CL|728689	11555.2387
EIF3C|8663	420.7574	EIF3C|8663	302.1883
EIF3D|8664	4893.6835	EIF3D|8664	5484.0849
EIF3E|3646	5945.391	EIF3E|3646	7852.4536
EIF3F|8665	2686.4073	EIF3F|8665	2159.1512
EIF3G|8666	2425.0993	EIF3G|8666	2247.6625
EIF3H|8667	4428.8371	EIF3H|8667	4201.2599
EIF3I|8668	4189.2716	EIF3I|8668	3584.5491
EIF3J|8669	1280.2619	EIF3J|8669	1793.435
EIF3K|27335	3295.8857	EIF3K|27335	2500.0
EIF3L|51386	8611.264000000001	EIF3L|51386	11789.1247
EIF3M|10480	2373.874	EIF3M|10480	2705.4244
EIF4A1|1973	8958.1609	EIF4A1|1973	9232.5332
EIF4A2|1974	5655.8292	EIF4A2|1974	9456.565
EIF4A3|9775	2138.5314	EIF4A3|9775	1878.3156
EIF4B|1975	8907.3551	EIF4B|1975	12384.0053
EIF4E2|9470	1248.7166	EIF4E2|9470	1052.7188
EIF4E3|317649	954.9885	EIF4E3|317649	1320.9549
EIF4EBP1|1978	397.2919	EIF4EBP1|1978	310.6764
EIF4EBP2|1979	4138.9778	EIF4EBP2|1979	4756.2997
EIF4EBP3|8637	229.1258	EIF4EBP3|8637	252.5763
EIF4ENIF1|56478	664.8315	EIF4ENIF1|56478	836.2069
EIF4E|1977	416.9333	EIF4E|1977	782.8249
EIF4G1|1981	7786.3254	EIF4G1|1981	8721.817
EIF4G2|1982	18259.3557	EIF4G2|1982	19176.061
EIF4G3|8672	2069.7865	EIF4G3|8672	2069.9602
EIF4H|7458	4383.3048	EIF4H|7458	5320.9549
EIF5A2|56648	156.536	EIF5A2|56648	203.5809
EIF5AL1|143244	1158.2472	EIF5AL1|143244	993.7003
EIF5A|1984	4505.9147	EIF5A|1984	3371.0212
EIF5B|9669	2961.0892	EIF5B|9669	3874.0053
EIF5|1983	2083.4759	EIF5|1983	4049.7347
EIF6|3692	2034.67	EIF6|3692	1467.1751
ELAC1|55520	95.6715	ELAC1|55520	144.9901
ELAC2|60528	1446.0234	ELAC2|60528	1343.8329
ELAVL1|1994	1719.5149	ELAVL1|1994	1573.9389999999999
ELAVL2|1993	36.3068	ELAVL2|1993	12.2679
ELF1|1997	2051.0379	ELF1|1997	3185.0133
ELF2|1998	853.8055	ELF2|1998	987.4005
ELF3|1999	5933.7847	ELF3|1999	6155.504
ELF4|2000	752.6226	ELF4|2000	425.7294
ELF5|2001	42.2588	ELF5|2001	1164.4562
ELFN1|392617	96.719	ELFN1|392617	18.8992
ELFN2|114794	20.5342	lowly_expressed	lowly_expressed
ELK1|2002	724.9461	ELK1|2002	648.2095
ELK3|2004	1446.0234	ELK3|2004	982.7586
ELK4|2005	195.2236	ELK4|2005	226.4589
ELL2|22936	898.1475	ELL2|22936	2550.7294
ELL3|80237	189.2538	ELL3|80237	151.9595
ELL|8178	414.5525	ELL|8178	438.6605
ELMO1|9844	911.2417	ELMO1|9844	378.9788
ELMO2|63916	1227.2896	ELMO2|63916	1078.2493
ELMO3|79767	348.7836	ELMO3|79767	459.8806
ELMOD1|55531	18.1534	lowly_expressed	lowly_expressed
ELMOD2|255520	244.0295	ELMOD2|255520	221.4854
ELMOD3|84173	318.4287	ELMOD3|84173	415.1194
ELN|2006	18482.851000000002	ELN|2006	1061.008
ELOF1|84337	824.9386	ELOF1|84337	546.4191
ELOVL1|64834	1873.6701	ELOVL1|64834	1258.6207
ELOVL2|54898	372.8889	ELOVL2|54898	122.0159
ELOVL4|6785	63.3881	ELOVL4|6785	54.3767
ELOVL5|60481	6828.0634	ELOVL5|60481	11556.6976
ELOVL6|79071	140.4657	ELOVL6|79071	125.3316
ELOVL7|79993	207.425	ELOVL7|79993	799.4032
ELP2P|100131454	7.1423	ELP2P|100131454	7.9576
ELP2|55250	1991.5185	ELP2|55250	2247.3475
ELP3|55140	770.4784	ELP3|55140	754.3103
ELP4|26610	238.6727	ELP4|26610	260.9416
ELTD1|64123	2481.6606	ELTD1|64123	1334.8806
EMB|133418	799.9405	EMB|133418	676.3926
EMCN|51705	1622.4983	EMCN|51705	1023.5411
EMD|2010	845.1752	EMD|2010	942.6393
EME1|146956	11.886	EME1|146956	8.4085
lowly_expressed	lowly_expressed	EME2|197342	6.6313
EMG1|10436	475.2623	EMG1|10436	474.1379
EMID1|129080	77.3752	EMID1|129080	57.3607
EMILIN1|11117	3205.7139	EMILIN1|11117	566.9761
EMILIN2|84034	516.9258	EMILIN2|84034	226.7905
EMILIN3|90187	13.8799	EMILIN3|90187	189.0484
EML1|2009	662.7483	EML1|2009	322.9443
EML2|24139	1009.4695	EML2|24139	804.0418
EML3|256364	1035.6372	EML3|256364	671.4191
EML4|27436	1140.9865	EML4|27436	1692.3077
EML5|161436	24.9981	EML5|161436	143.2361
EML6|400954	8.6303	EML6|400954	26.8568
EMP1|2012	11285.7674	EMP1|2012	18263.5942
EMP2|2013	4172.6062	EMP2|2013	3710.2122
EMP3|2014	853.2103	EMP3|2014	263.9257
EMR1|2015	35.1164	EMR1|2015	6.6313
EMR2|30817	99.695	EMR2|30817	48.7401
EMX1|2016	5.0591	lowly_expressed	lowly_expressed
EMX2OS|196047	186.5933	EMX2OS|196047	105.1061
EMX2|2018	80.3512	EMX2|2018	20.557
EN1|2019	79.1608	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	EN2|2020	8.9523
ENAH|55740	6066.8105	ENAH|55740	5091.8435
ENC1|8507	2269.096	ENC1|8507	972.0822
ENDOD1|23052	1586.4891	ENDOD1|23052	2290.1194
ENDOG|2021	155.7295	ENDOG|2021	97.1054
ENDOU|8909	12.2015	ENDOU|8909	12.5995
ENGASE|64772	166.6543	ENGASE|64772	433.0239
ENG|2022	7651.8116	ENG|2022	1601.7905
ENHO|375704	9.8207	ENHO|375704	49.0716
ENKUR|219670	6.8447	lowly_expressed	lowly_expressed
ENO1|2023	12152.072	ENO1|2023	13532.1618
ENO2|2026	333.0109	ENO2|2026	397.2149
ENO3|2027	227.364	ENO3|2027	32.4934
ENOPH1|58478	677.6282	ENOPH1|58478	749.3369
ENOSF1|55556	296.2399	ENOSF1|55556	600.7825
ENOX1|55068	159.2143	ENOX1|55068	19.2308
ENOX2|10495	311.2864	ENOX2|10495	339.191
ENPEP|2028	657.3916	ENPEP|2028	182.3607
ENPP1|5167	2005.5055	ENPP1|5167	980.4377
ENPP2|5168	1900.7514	ENPP2|5168	2230.7692
ENPP3|5169	17.8558	ENPP3|5169	204.9072
ENPP4|22875	705.6023	ENPP4|22875	682.3607
ENPP5|59084	2406.9638	ENPP5|59084	651.5252
ENPP6|133121	35.414	ENPP6|133121	41.1141
ENSA|2029	4737.7427	ENSA|2029	3973.8064
ENTPD1|953	3457.7784	ENTPD1|953	1488.3952
ENTPD2|954	271.1108	ENTPD2|954	323.6074
ENTPD3|956	301.7633	ENTPD3|956	84.5491
ENTPD4|9583	506.8075	ENTPD4|9583	543.7666
ENTPD5|957	898.6921	ENTPD5|957	807.3607
ENTPD6|955	1123.7259	ENTPD6|955	1200.5968
ENTPD7|57089	597.0032	ENTPD7|57089	336.4224
ENTPD8|377841	30.6525	ENTPD8|377841	12.5995
ENY2|56943	417.8261	ENY2|56943	369.695
EOMES|8320	15.1774	EOMES|8320	7.9576
EP300|2033	3024.4773	EP300|2033	3815.3183
EP400NL|347918	72.6136	EP400NL|347918	170.4244
EP400|57634	1527.8625	EP400|57634	2069.2971
EPAS1|2034	9133.5466	EPAS1|2034	8642.9045
EPB41L1|2036	1818.0195	EPB41L1|2036	1750.6631
EPB41L2|2037	2624.2095	EPB41L2|2037	2613.3952
EPB41L3|23136	1039.8036	EPB41L3|23136	577.9178
EPB41L4A|64097	886.8388	EPB41L4A|64097	879.6419
EPB41L4B|54566	843.3896	EPB41L4B|54566	979.7745
EPB41L5|57669	493.4157	EPB41L5|57669	793.1034
EPB41|2035	719.4643	EPB41|2035	1367.4967
EPB49|2039	319.3215	EPB49|2039	459.8806
EPC1|80314	449.6689	EPC1|80314	1165.7825
EPC2|26122	633.5838	EPC2|26122	1416.4456
EPCAM|4072	1665.3523	EPCAM|4072	2426.3926
EPDR1|54749	458.0016	EPDR1|54749	333.2228
EPHA10|284656	52.6747	EPHA10|284656	60.6764
EPHA1|2041	160.9999	EPHA1|2041	349.4695
EPHA2|1969	511.5691	EPHA2|1969	699.2706
EPHA3|2042	554.1254	EPHA3|2042	86.5385
EPHA4|2043	479.4286	EPHA4|2043	541.7772
EPHA5|2044	6.8447	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	EPHA6|285220	8.9523
EPHA7|2045	30.0573	EPHA7|2045	73.939
EPHB1|2047	99.3974	EPHB1|2047	621.3528
EPHB2|2048	409.1957	EPHB2|2048	37.1353
EPHB3|2049	746.6706	EPHB3|2049	604.443
EPHB4|2050	2540.5848	EPHB4|2050	1884.2838
EPHB6|2051	109.2181	EPHB6|2051	453.9125
EPHX1|2052	4208.3178	EPHX1|2052	1547.7454
EPHX2|2053	1200.8035	EPHX2|2053	1130.9682
EPHX3|79852	13.3919	lowly_expressed	lowly_expressed
EPHX4|253152	32.4381	EPHX4|253152	23.5411
EPM2AIP1|9852	698.1623	EPM2AIP1|9852	1757.9576
EPM2A|7957	146.1201	EPM2A|7957	199.9337
EPN1|29924	1712.075	EPN1|29924	977.7851
EPN2|22905	1196.3396	EPN2|22905	1309.3501
EPN3|55040	348.7836	EPN3|55040	233.50799999999998
EPOR|2057	123.2021	EPOR|2057	60.5405
EPPK1|83481	504.1292	EPPK1|83481	1280.8355
EPR1|8475	60.927	EPR1|8475	49.1512
EPRS|2058	4318.7263	EPRS|2058	3415.4509
EPS15L1|58513	936.5375	EPS15L1|58513	744.695
EPS15|2060	1721.5981	EPS15|2060	2098.8064
EPS8L1|54869	660.6651	EPS8L1|54869	467.5066
EPS8L2|64787	925.824	EPS8L2|64787	1351.1273
EPS8|2059	1791.8310000000001	EPS8|2059	2404.1777
EPSTI1|94240	118.146	EPSTI1|94240	28.8462
EPT1|85465	633.8814	EPT1|85465	1242.0292
EPYC|1833	43.1516	lowly_expressed	lowly_expressed
ERAL1|26284	1013.9127	ERAL1|26284	861.4058
ERAP1|51752	1990.6584	ERAP1|51752	1990.2885
ERAP2|64167	1436.5003	ERAP2|64167	728.7798
ERBB2IP|55914	2208.169	ERBB2IP|55914	2863.7268
ERBB2|2064	7247.3774	ERBB2|2064	7076.9231
ERBB3|2065	4982.0698	ERBB3|2065	6744.3634
ERBB4|2066	766.9072	ERBB4|2066	1561.3395
ERC1|23085	2077.524	ERC1|23085	1797.4138
ERC2|26059	8.3327	ERC2|26059	19.8939
ERCC1|2067	1204.3747	ERCC1|2067	791.9861
ERCC2|2068	485.3806	ERCC2|2068	299.4861
ERCC3|2071	746.0754	ERCC3|2071	1061.008
ERCC4|2072	316.3455	ERCC4|2072	391.9098
ERCC5|2073	1112.4172	ERCC5|2073	1431.366
ERCC6L|54821	22.0222	ERCC6L|54821	17.5729
ERCC6|2074	287.0709	ERCC6|2074	495.7129
ERCC8|1161	127.9667	ERCC8|1161	170.75599999999997
lowly_expressed	lowly_expressed	EREG|2069	12.5995
ERF|2077	863.6262	ERF|2077	1088.5279
ERGIC1|57222	7793.7653	ERGIC1|57222	4155.1724
ERGIC2|51290	685.6633	ERGIC2|51290	762.5995
ERGIC3|51614	4308.3104	ERGIC3|51614	3261.6048
ERG|2078	1052.8978	ERG|2078	648.8727
ERH|2079	1283.2379	ERH|2079	1229.7745
ERI1|90459	308.9056	ERI1|90459	379.9735
ERI2|112479	351.1852	ERI2|112479	459.75800000000004
ERI3|79033	909.7537	ERI3|79033	622.0159
ERICH1|157697	167.2495	ERICH1|157697	308.0239
ERLEC1|27248	1786.1766	ERLEC1|27248	1496.6844
ERLIN1|10613	1269.5484	ERLIN1|10613	1148.5411
ERLIN2|11160	2123.6515	ERLIN2|11160	2746.0212
ERMAP|114625	447.2881	ERMAP|114625	479.44300000000004
ERMN|57471	44.3419	lowly_expressed	lowly_expressed
ERMP1|79956	2416.3678	ERMP1|79956	1616.7838
ERN1|2081	147.6081	ERN1|2081	398.8727
ERO1LB|56605	267.8372	ERO1LB|56605	584.5491
ERO1L|30001	577.9332	ERO1L|30001	609.748
ERP27|121506	1318.6519	ERP27|121506	462.5332
ERP29|10961	3236.0687	ERP29|10961	2712.2016
ERP44|23071	1538.576	ERP44|23071	1475.4642
ERRFI1|54206	1549.8847	ERRFI1|54206	8265.252
ERVFRDE1|405754	7.4399	lowly_expressed	lowly_expressed
ESAM|90952	2887.5828	ESAM|90952	860.0796
ESCO1|114799	348.486	ESCO1|114799	667.4403
ESCO2|157570	33.0333	ESCO2|157570	8.9523
ESD|2098	2114.7236	ESD|2098	2237.7321
ESF1|51575	331.523	ESF1|51575	755.305
ESM1|11082	259.8021	ESM1|11082	23.2095
ESPL1|9700	24.9981	ESPL1|9700	24.2042
ESPN|83715	444.3122	ESPN|83715	122.679
ESR1|2099	6940.8526	ESR1|2099	4379.6419
ESR2|2100	5.3567	ESR2|2100	9.2838
ESRP1|54845	1215.6834	ESRP1|54845	1569.6286
ESRP2|80004	647.8685	ESRP2|80004	1122.3475
ESRRA|2101	323.1902	ESRRA|2101	409.1512
lowly_expressed	lowly_expressed	ESRRB|2103	10.2785
ESRRG|2104	82.7319	ESRRG|2104	259.9469
ESYT1|23344	3755.9705	ESYT1|23344	4900.8621
ESYT2|57488	3506.8819	ESYT2|57488	5421.7507
ESYT3|83850	8.9279	ESYT3|83850	113.3952
ETAA1|54465	265.4564	ETAA1|54465	378.3156
ETF1|2107	2374.5257	ETF1|2107	4264.2573
ETFA|2108	1391.5631	ETFA|2108	1290.1194
ETFB|2109	666.6171	ETFB|2109	665.4509
ETFDH|2110	498.4748	ETFDH|2110	576.9231
ETHE1|23474	646.9757	ETHE1|23474	456.8966
ETNK1|55500	1315.0807	ETNK1|55500	1824.9337
ETNK2|55224	657.0939999999999	ETNK2|55224	880.9682
ETS1|2113	5973.0675	ETS1|2113	3860.7427
ETS2|2114	4163.0831	ETS2|2114	3797.0822
ETV1|2115	379.4361	ETV1|2115	753.6472
ETV2|2116	11.6063	ETV2|2116	5.9682
ETV3L|440695	7.4399	ETV3L|440695	10.2785
ETV3|2117	332.1181	ETV3|2117	367.0424
ETV4|2118	20.5342	ETV4|2118	68.3024
ETV5|2119	437.765	ETV5|2119	882.2944
ETV6|2120	1733.7996	ETV6|2120	2256.9629
ETV7|51513	50.8891	ETV7|51513	15.5836
EVC2|132884	221.7097	EVC2|132884	262.931
EVC|2121	1194.7623	EVC|2121	1186.7938
EVI2A|2123	441.9314	EVI2A|2123	87.2016
EVI2B|2124	426.754	EVI2B|2124	173.7401
EVI5L|115704	387.1736	EVI5L|115704	277.5199
EVI5|7813	343.1292	EVI5|7813	565.6499
EVL|51466	3243.5087	EVL|51466	1053.7135
EVPL|2125	591.6226	EVPL|2125	442.9708
EWSR1|2130	2712.2982	EWSR1|2130	3769.5623
EXD2|55218	847.556	EXD2|55218	958.2228
EXD3|54932	136.597	EXD3|54932	183.3554
EXO1|9156	49.9963	EXO1|9156	5.9682
EXOC1|55763	789.8222	EXOC1|55763	1110.0796
EXOC2|55770	1139.4985	EXOC2|55770	1092.5066
EXOC3L2|90332	174.6894	EXOC3L2|90332	18.5676
EXOC3L|283849	147.0129	EXOC3L|283849	41.1737
EXOC3|11336	1260.6205	EXOC3|11336	1145.557
EXOC4|60412	1948.0693	EXOC4|60412	1729.1114
EXOC5|10640	1246.0382	EXOC5|10640	1582.2281
EXOC6B|23233	183.3197	EXOC6B|23233	373.0106
EXOC6|54536	827.3194	EXOC6|54536	676.061
EXOC7|23265	2622.2275	EXOC7|23265	3248.5146
EXOC8|149371	484.1902	EXOC8|149371	511.9363
EXOG|9941	81.8391	EXOG|9941	111.7374
EXOSC10|5394	1413.2877	EXOSC10|5394	1763.2626
EXOSC1|51013	402.9462	EXOSC1|51013	269.5623
EXOSC2|23404	281.8243	EXOSC2|23404	467.1751
EXOSC3|51010	263.9685	EXOSC3|51010	270.8886
EXOSC4|54512	215.1626	EXOSC4|54512	170.75599999999997
EXOSC5|56915	250.5766	EXOSC5|56915	226.7905
EXOSC6|118460	251.767	EXOSC6|118460	368.0371
EXOSC7|23016	407.1126	EXOSC7|23016	464.191
EXOSC8|11340	266.0754	EXOSC8|11340	240.9416
EXOSC9|5393	338.9659	EXOSC9|5393	497.7321
EXPH5|23086	213.6746	EXPH5|23086	485.0796
EXT1|2131	1215.0882	EXT1|2131	964.191
EXT2|2132	2926.8656	EXT2|2132	2119.3634
EXTL1|2134	17.2606	EXTL1|2134	72.6127
EXTL2|2135	313.0719	EXTL2|2135	410.809
EXTL3|2137	985.0458	EXTL3|2137	1201.5915
lowly_expressed	lowly_expressed	EYA1|2138	9.9469
EYA2|2139	485.083	EYA2|2139	935.3448
EYA3|2140	142.8465	EYA3|2140	239.0584
EYA4|2070	57.1386	lowly_expressed	lowly_expressed
EYS|346007	7.7375	EYS|346007	25.5305
EZH1|2145	942.7869999999999	EZH1|2145	1490.0531
EZH2|2146	96.4214	EZH2|2146	95.4907
EZR|7430	6671.825	EZR|7430	7743.0371
F10|2159	241.3511	F10|2159	128.3156
F11R|50848	5694.5168	F11R|50848	3951.9231
F12|2161	127.3715	F12|2161	19.2308
F13A1|2162	2771.52	F13A1|2162	285.1459
F2RL1|2150	312.1792	F2RL1|2150	360.0796
F2RL2|2151	1977.2338	F2RL2|2151	171.7507
F2RL3|9002	402.351	F2RL3|9002	118.0371
F2R|2149	4040.1756	F2R|2149	922.0822
F3|2152	2056.6922	F3|2152	4170.0928
F5|2153	41.6636	F5|2153	12.931
F7|2155	197.0092	F7|2155	28.183000000000003
F8A1|8263	107.7301	F8A1|8263	55.7029
F8|2157	877.0181	F8|2157	1002.9841
FA2H|79152	49.1035	FA2H|79152	59.3501
FAAH2|158584	246.7078	FAAH2|158584	309.6817
FAAH|2166	677.9257	FAAH|2166	458.8859
FABP3|2170	159.2143	FABP3|2170	177.0557
FABP4|2167	4260.3973	FABP4|2167	3330.2387
FABP5|2171	195.2236	FABP5|2171	71.9496
FABP7|2173	16.3678	FABP7|2173	250.6631
FADD|8772	455.0257	FADD|8772	475.7958
FADS1|3992	275.2771	FADS1|3992	232.7586
FADS2|9415	594.0034	FADS2|9415	1764.9204
FADS3|3995	275.5747	FADS3|3995	249.6684
FAF1|11124	868.6854	FAF1|11124	1028.8462
FAF2|23197	1865.9326	FAF2|23197	1773.8727
FAHD1|81889	474.9647	FAHD1|81889	386.6015
FAHD2A|51011	285.0978	FAHD2A|51011	313.3289
FAHD2B|151313	277.6579	FAHD2B|151313	323.6074
FAH|2184	1152.2952	FAH|2184	865.7162
FAIM2|23017	171.4158	FAIM2|23017	80.5703
FAIM3|9214	157.2889	FAIM3|9214	126.2334
FAIM|55179	187.4861	FAIM|55179	248.3422
FAM100A|124402	350.8668	FAM100A|124402	252.321
FAM100B|283991	488.6541	FAM100B|283991	322.2812
FAM101A|144347	117.8484	FAM101A|144347	140.5836
FAM101B|359845	1134.1418	FAM101B|359845	446.61800000000005
FAM102A|399665	3347.6676	FAM102A|399665	3435.6764
FAM102B|284611	872.5541	FAM102B|284611	1193.634
FAM103A1|83640	227.6616	FAM103A1|83640	361.9231
FAM104A|84923	682.4373	FAM104A|84923	669.0584
FAM104B|90736	206.2347	FAM104B|90736	204.5756
FAM105A|54491	375.5673	FAM105A|54491	497.67900000000003
FAM105B|90268	408.30300000000005	FAM105B|90268	660.1459
lowly_expressed	lowly_expressed	FAM106C|100129396	16.5782
FAM107A|11170	791.6078	FAM107A|11170	1247.6789999999999
FAM107B|83641	2417.0821	FAM107B|83641	4591.8435
FAM108A1|81926	339.5581	FAM108A1|81926	206.2334
FAM108B1|51104	337.1773	FAM108B1|51104	337.8647
FAM108C1|58489	482.4046	FAM108C1|58489	267.5729
FAM109A|144717	278.5507	FAM109A|144717	213.8594
FAM109B|150368	595.4914	FAM109B|150368	185.6764
FAM10A4|145165	307.4176	FAM10A4|145165	398.2095
FAM110A|83541	396.9943	FAM110A|83541	261.2732
FAM110B|90362	554.1254	FAM110B|90362	315.6499
FAM110C|642273	9.2255	FAM110C|642273	26.5252
FAM111A|63901	847.8536	FAM111A|63901	820.9549
FAM111B|374393	85.4103	FAM111B|374393	46.7507
FAM113A|64773	310.3936	FAM113A|64773	341.1804
FAM113B|91523	108.3253	FAM113B|91523	148.5444
FAM114A1|92689	1005.2823	FAM114A1|92689	543.1034
FAM114A2|10827	663.9387	FAM114A2|10827	574.2706
FAM115A|9747	577.3380000000001	FAM115A|9747	687.6658
FAM115C|285966	282.3659	FAM115C|285966	621.6346
FAM116A|201627	608.8833	FAM116A|201627	1118.3687
FAM116B|414918	278.8483	FAM116B|414918	167.4403
FAM117A|81558	419.9092	FAM117A|81558	471.1538
FAM117B|150864	349.974	FAM117B|150864	350.7958
FAM118A|55007	257.4213	FAM118A|55007	630.6366
FAM118B|79607	338.6653	FAM118B|79607	244.3634
FAM119A|151194	188.3788	FAM119A|151194	199.9337
FAM119B|25895	293.7281	FAM119B|25895	381.6313
FAM120AOS|158293	1243.1754	FAM120AOS|158293	1137.8813
FAM120A|23196	4335.5762	FAM120A|23196	4145.9383
FAM120B|84498	1057.0642	FAM120B|84498	1392.5729
FAM120C|54954	313.0719	FAM120C|54954	380.6366
FAM122A|116224	566.3269	FAM122A|116224	1493.3687
FAM122B|159090	461.5728	FAM122B|159090	733.0902
FAM122C|159091	19.0462	FAM122C|159091	34.1512
FAM123B|139285	128.5619	FAM123B|139285	195.9549
FAM124A|220108	60.1146	FAM124A|220108	48.0769
FAM124B|79843	230.6376	FAM124B|79843	115.0531
FAM125A|93343	595.1938	FAM125A|93343	368.0371
FAM125B|89853	272.0036	FAM125B|89853	325.5968
FAM126A|84668	642.8093	FAM126A|84668	2659.1512
FAM126B|285172	277.9555	FAM126B|285172	735.4111
FAM127A|8933	1974.2579	FAM127A|8933	892.5729
FAM127B|26071	729.1124	FAM127B|26071	577.9178
FAM127C|441518	387.7688	FAM127C|441518	335.8753
FAM128A|653784	428.2419	FAM128A|653784	175.0663
FAM128B|80097	780.0015	FAM128B|80097	440.9814
FAM129A|116496	3348.5604	FAM129A|116496	7474.8011
FAM129B|64855	4253.255	FAM129B|64855	4072.2812
FAM131A|131408	265.754	FAM131A|131408	556.366
FAM131B|9715	75.292	FAM131B|9715	62.0027
FAM133A|286499	9.8207	FAM133A|286499	11.9363
FAM133B|257415	51.4843	FAM133B|257415	207.5597
FAM134A|79137	2915.2593	FAM134A|79137	2454.9072
FAM134B|54463	339.8557	FAM134B|54463	592.5066
FAM134C|162427	1864.7422	FAM134C|162427	1443.3024
FAM135A|57579	172.9038	FAM135A|57579	454.9072
FAM135B|51059	20.2366	lowly_expressed	lowly_expressed
FAM136A|84908	527.3417	FAM136A|84908	487.4005
FAM13AOS|285512	11.9426	FAM13AOS|285512	52.9078
FAM13A|10144	518.0775	FAM13A|10144	1242.5166
FAM13B|51306	471.0959	FAM13B|51306	1997.2977
FAM13C|220965	350.9144	FAM13C|220965	309.3137
FAM149A|25854	94.3382	FAM149A|25854	60.6764
FAM149B1|317662	535.0792	FAM149B1|317662	591.1804
lowly_expressed	lowly_expressed	FAM150B|285016	33.1565
FAM151B|167555	23.8078	FAM151B|167555	21.5517
lowly_expressed	lowly_expressed	FAM153A|285596	13.5942
FAM154B|283726	25.2957	FAM154B|283726	59.3501
FAM155A|728215	108.3253	FAM155A|728215	24.5358
FAM155B|27112	50.5915	FAM155B|27112	63.3289
FAM156A|29057	271.70599999999996	FAM156A|29057	403.18300000000005
lowly_expressed	lowly_expressed	FAM157A|728262	17.9045
FAM158A|51016	77.3752	FAM158A|51016	46.7507
FAM159A|348378	13.3919	FAM159A|348378	5.305
FAM160A1|729830	72.6136	FAM160A1|729830	288.13
FAM160A2|84067	690.1272	FAM160A2|84067	857.7586
FAM160B1|57700	825.2362	FAM160B1|57700	851.4589
FAM160B2|64760	915.7057	FAM160B2|64760	1068.9655
FAM161A|84140	67.5545	FAM161A|84140	116.0477
FAM161B|145483	320.5119	FAM161B|145483	446.50199999999995
FAM162A|26355	1104.3821	FAM162A|26355	660.4775
FAM162B|221303	52.6747	FAM162B|221303	28.183000000000003
FAM164A|51101	185.1053	FAM164A|51101	671.0875
FAM164C|79696	25.2957	FAM164C|79696	91.1804
FAM165B|54065	277.3603	FAM165B|54065	350.7958
FAM166B|730112	18.7486	FAM166B|730112	21.5517
FAM167A|83648	66.9593	FAM167A|83648	92.1751
FAM167B|84734	158.6192	FAM167B|84734	38.4615
FAM168A|23201	404.7318	FAM168A|23201	427.3873
FAM168B|130074	1988.5425	FAM168B|130074	3843.8329
FAM169A|26049	110.4085	FAM169A|26049	248.0106
FAM171A1|221061	877.0181	FAM171A1|221061	615.3846
FAM171A2|284069	57.1386	lowly_expressed	lowly_expressed
FAM171B|165215	443.1218	FAM171B|165215	412.7984
FAM172A|83989	451.4545	FAM172A|83989	749.0053
FAM173A|65990	151.1792	FAM173A|65990	39.4562
FAM173B|134145	221.7097	FAM173B|134145	218.8329
FAM174A|345757	286.8834	FAM174A|345757	333.2228
FAM174B|400451	1552.8607	FAM174B|400451	1507.626
FAM175A|84142	280.1667	FAM175A|84142	340.0962
FAM175B|23172	470.7983	FAM175B|23172	606.1008
FAM176A|84141	128.8595	FAM176A|84141	71.618
FAM176B|55194	328.3	FAM176B|55194	95.2918
FAM177A1|283635	653.2252	FAM177A1|283635	1076.9231
FAM177B|400823	5.0591	lowly_expressed	lowly_expressed
FAM178A|55719	614.5376	FAM178A|55719	817.6393
FAM178B|51252	5.6543	FAM178B|51252	6.9629
FAM179B|23116	568.1125	FAM179B|23116	966.5119
FAM180A|389558	121.1219	FAM180A|389558	299.0716
FAM180B|399888	82.1367	FAM180B|399888	14.5889
FAM181B|220382	14.5822	FAM181B|220382	11.9363
FAM182B|728882	41.36600000000001	FAM182B|728882	27.1883
FAM184A|79632	42.2588	FAM184A|79632	342.5066
FAM184B|27146	27.9979	FAM184B|27146	53.1267
FAM185A|222234	94.3382	FAM185A|222234	106.7639
lowly_expressed	lowly_expressed	FAM186B|84070	17.2414
FAM188A|80013	470.5007	FAM188A|80013	647.2149
FAM188B|84182	336.6297	FAM188B|84182	332.1386
FAM189A1|23359	175.2846	FAM189A1|23359	6.6313
FAM189A2|9413	188.0812	FAM189A2|9413	1154.1777
FAM189B|10712	859.1623	FAM189B|10712	403.18300000000005
FAM18A|780776	15.2518	FAM18A|780776	17.8382
FAM18B2|201158	196.7383	FAM18B2|201158	292.6326
FAM18B|51030	660.0699	FAM18B|51030	731.1008
FAM190A|401145	32.7357	FAM190A|401145	207.5597
FAM190B|54462	1280.8571	FAM190B|54462	1928.382
FAM192A|80011	877.3157	FAM192A|80011	1010.6101
FAM193A|8603	815.7131	FAM193A|8603	1080.2387
FAM193B|54540	249.0886	FAM193B|54540	662.1353
FAM195A|84331	201.4731	FAM195A|84331	87.2016
FAM195B|348262	1321.3303	FAM195B|348262	739.7215
FAM196A|642938	14.5822	FAM196A|642938	8.2891
FAM196B|100131897	24.4029	FAM196B|100131897	337.2016
FAM198A|729085	438.0626	FAM198A|729085	170.75599999999997
FAM198B|51313	5795.4021	FAM198B|51313	7030.8355
FAM199X|139231	441.6338	FAM199X|139231	897.878
