gene_id	TCGA-BH-A0E1-01A-11R-A056-07	gene_id	TCGA-BH-A0E1-11A-13R-A089-07
lowly_expressed	lowly_expressed	?|100133144	8.1676
lowly_expressed	lowly_expressed	?|100134869	6.0412
?|10357	111.1848	?|10357	70.9358
?|10431	946.6664	?|10431	814.7967
?|155060	39.9888	?|155060	151.3964
?|390284	6.3349	?|390284	5.8795
?|57714	340.8949	?|57714	191.0828
?|652919	36.4255	?|652919	53.856
?|653553	209.0505	?|653553	69.5737
?|729884	155.996	?|729884	14.2087
?|8225	362.671	?|8225	530.1323
?|90288	21.7761	?|90288	10.779
A1BG|1	187.7535	A1BG|1	127.4816
A2LD1|87769	76.735	A2LD1|87769	82.9054
lowly_expressed	lowly_expressed	A2ML1|144568	15.1886
A2M|2	13887.9798	A2M|2	19977.3591
A4GALT|53947	570.5338	A4GALT|53947	215.0906
AAAS|8086	677.8305	AAAS|8086	764.3312
AACS|65985	1794.3505	AACS|65985	2245.4679
AADAT|51166	34.8418	AADAT|51166	71.5336
AAGAB|79719	1630.4359	AAGAB|79719	932.3861
AAK1|22848	1013.9743	AAK1|22848	537.9716
AAMP|14	2540.2808	AAMP|14	2832.4351
AARS2|57505	386.4268	AARS2|57505	569.319
AARSD1|80755	467.9881	AARSD1|80755	693.2876
AARS|16	2050.1207	AARS|16	2854.9731
AASDHPPT|60496	760.9756	AASDHPPT|60496	909.3582
AASDH|132949	256.1661	AASDH|132949	449.7795
AASS|10157	240.7249	AASS|10157	346.8888
AATF|26574	1264.2015	AATF|26574	1211.661
AATK|9625	36.8214	AATK|9625	66.144
ABAT|18	1478.3991	ABAT|18	438.5105
lowly_expressed	lowly_expressed	ABCA10|10349	104.8506
ABCA11P|79963	118.6481	ABCA11P|79963	122.8221
ABCA12|26154	679.4143	ABCA12|26154	34.7869
lowly_expressed	lowly_expressed	ABCA13|154664	18.6183
lowly_expressed	lowly_expressed	ABCA17P|650655	13.2288
ABCA1|19	262.497	ABCA1|19	282.2146
ABCA2|20	1603.1168	ABCA2|20	1350.3185
ABCA3|21	4108.5558	ABCA3|21	1246.4478
lowly_expressed	lowly_expressed	ABCA4|24	22.538
ABCA5|23461	242.3086	ABCA5|23461	952.9642
ABCA6|23460	58.5975	ABCA6|23460	398.3341
ABCA7|10347	208.2587	ABCA7|10347	116.6095
ABCA8|10351	63.3486	ABCA8|10351	374.8163
ABCA9|10350	38.0092	ABCA9|10350	196.9623
ABCB10|23456	561.4274	ABCB10|23456	358.6477
ABCB1|5243	113.2357	ABCB1|5243	277.805
ABCB4|5244	20.5883	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCB5|340273	34.2969
ABCB6|10058	689.8787	ABCB6|10058	671.3278
ABCB7|22	524.606	ABCB7|22	681.5287
ABCB8|11194	1085.2415	ABCB8|11194	313.0818
ABCB9|23457	173.1081	ABCB9|23457	194.1891
ABCC10|89845	281.1096	ABCC10|89845	405.1935
ABCC11|85320	138.9711	ABCC11|85320	33.317
ABCC13|150000	5.9389	lowly_expressed	lowly_expressed
ABCC1|4363	830.2632	ABCC1|4363	803.5277
lowly_expressed	lowly_expressed	ABCC2|1244	7.8393
ABCC3|8714	594.2895	ABCC3|8714	434.1009
ABCC4|10257	356.3362	ABCC4|10257	73.9833
ABCC5|10057	327.4333	ABCC5|10057	625.6737
lowly_expressed	lowly_expressed	ABCC6P2|730013	10.2891
ABCC6|368	7.9186	ABCC6|368	24.4978
ABCC8|6833	612.8982	ABCC8|6833	59.7746
ABCC9|10060	241.9127	ABCC9|10060	124.4488
ABCD1|215	452.9428	ABCD1|215	151.3964
lowly_expressed	lowly_expressed	ABCD2|225	7.8393
ABCD3|5825	720.5909	ABCD3|5825	2084.7624
ABCD4|5826	315.5555	ABCD4|5826	563.9392
ABCE1|6059	1389.3151	ABCE1|6059	2171.4846
ABCF1|23	1818.8981	ABCF1|23	1814.7967
ABCF2|10061	1249.1562	ABCF2|10061	1348.8486
ABCF3|55324	1178.2849	ABCF3|55324	1089.172
ABCG1|9619	1012.3906	ABCG1|9619	464.4782
ABCG2|9429	140.9507	ABCG2|9429	316.0216
ABHD10|55347	891.6322	ABHD10|55347	655.561
ABHD11|83451	964.4832	ABHD11|83451	794.7085
ABHD12|26090	1303.0025	ABHD12|26090	832.4351
ABHD13|84945	311.9921	ABHD13|84945	510.0441
ABHD14A|25864	737.6158	ABHD14A|25864	270.4557
ABHD14B|84836	1241.6335	ABHD14B|84836	3484.0764
ABHD15|116236	397.1168	ABHD15|116236	206.2714
ABHD1|84696	35.6336	ABHD1|84696	12.2489
ABHD2|11057	4512.4035	ABHD2|11057	3077.903
ABHD3|171586	691.2921	ABHD3|171586	167.5649
ABHD4|63874	787.8988	ABHD4|63874	740.8133
ABHD5|51099	779.1884	ABHD5|51099	1652.6213
ABHD6|57406	114.4235	ABHD6|57406	100.441
ABHD8|79575	332.5804	ABHD8|79575	221.4601
ABI1|10006	1069.8003	ABI1|10006	1682.9299
ABI2|10152	1677.9473	ABI2|10152	1930.4263
ABI3BP|25890	101.3578	ABI3BP|25890	286.6242
ABI3|51225	163.1228	ABI3|51225	101.4209
ABL1|25	1752.382	ABL1|25	1984.3214
ABL2|27	1496.6118	ABL2|27	836.8447
ABLIM1|3983	2308.2664	ABLIM1|3983	4239.5884
ABLIM2|84448	210.2383	ABLIM2|84448	36.2567
ABLIM3|22885	547.174	ABLIM3|22885	485.5463
ABO|28	9.5023	ABO|28	38.2166
lowly_expressed	lowly_expressed	ABP1|26	5.3895
ABR|29	2384.2848	ABR|29	1722.685
ABT1|29777	473.1352	ABT1|29777	831.9451
ABTB1|80325	603.7918	ABTB1|80325	603.1357
ABTB2|25841	20.5883	ABTB2|25841	249.3876
ACAA1|30	1520.7635	ACAA1|30	1295.9334
ACAA2|10449	1080.4904	ACAA2|10449	1346.8888
ACACA|31	2183.5488	ACACA|31	1505.6345
ACACB|32	197.5686	ACACB|32	853.0132
ACAD10|80724	348.0216	ACAD10|80724	622.734
ACAD11|84129	149.2653	ACAD11|84129	272.4155
ACAD8|27034	436.3138	ACAD8|27034	698.6771
ACAD9|28976	957.7445	ACAD9|28976	981.3817
lowly_expressed	lowly_expressed	ACADL|33	16.1685
ACADM|34	1162.8436	ACADM|34	1141.5973
ACADSB|36	2444.8619	ACADSB|36	1981.8716
ACADS|35	437.5016	ACADS|35	657.5208
ACADVL|37	7991.4083	ACADVL|37	6006.3057
ACAN|176	83.541	lowly_expressed	lowly_expressed
ACAP1|9744	9.5023	ACAP1|9744	66.634
ACAP2|23527	857.5823	ACAP2|23527	1066.634
ACAP3|116983	567.79	ACAP3|116983	399.3288
ACAT1|38	1984.7924	ACAT1|38	1238.6085
ACAT2|39	544.5292	ACAT2|39	450.8721
ACBD3|64746	2727.9512	ACBD3|64746	1387.5551
ACBD4|79777	208.6546	ACBD4|79777	377.756
ACBD5|91452	742.7629	ACBD5|91452	519.3533
ACBD6|84320	999.3249	ACBD6|84320	595.2964
ACBD7|414149	60.5771	ACBD7|414149	134.7379
ACCN2|41	140.9507	ACCN2|41	438.0206
ACCN3|9311	15.8372	lowly_expressed	lowly_expressed
ACCS|84680	106.5049	ACCS|84680	425.2817
ACD|65057	207.0709	ACD|65057	420.8721
ACE2|59272	5.543	ACE2|59272	15.1886
ACER2|340485	91.0637	ACER2|340485	90.6418
ACER3|55331	283.8811	ACER3|55331	211.171
ACE|1636	671.0998	ACE|1636	254.7771
lowly_expressed	lowly_expressed	ACHE|43	30.3773
ACIN1|22985	3047.466	ACIN1|22985	2891.7197
ACLY|47	4739.6667	ACLY|47	2865.2621
ACMSD|130013	9.8982	lowly_expressed	lowly_expressed
ACN9|57001	97.7945	ACN9|57001	157.7658
ACO1|48	1663.6939	ACO1|48	883.3905
ACO2|50	3236.5221	ACO2|50	2906.0069
ACOT11|26027	56.6179	ACOT11|26027	29.3239
ACOT13|55856	670.4346	ACOT13|55856	475.1788
ACOT1|641371	260.9172	ACOT1|641371	298.3831
ACOT2|10965	327.0374	ACOT2|10965	330.2303
ACOT4|122970	403.0558	ACOT4|122970	87.2122
ACOT7|11332	719.799	ACOT7|11332	299.3631
ACOT8|10005	324.1234	ACOT8|10005	231.2641
ACOT9|23597	177.7721	ACOT9|23597	219.0103
ACOX1|51	1527.8902	ACOX1|51	1119.8089
ACOX2|8309	35.2377	ACOX2|8309	122.489
ACOX3|8310	611.7104	ACOX3|8310	689.368
ACP1|52	1464.1457	ACP1|52	1872.6115
ACP2|53	1372.686	ACP2|53	726.1098
ACP5|54	7980.742	ACP5|54	637.9226
ACP6|51205	470.3637	ACP6|51205	413.0328
ACPL2|92370	612.8982	ACPL2|92370	405.1935
ACPP|55	8.3145	ACPP|55	24.4978
ACRBP|84519	30.0906	ACRBP|84519	11.269
ACRC|93953	5.9389	ACRC|93953	8.8192
lowly_expressed	lowly_expressed	ACR|49	13.7188
ACSBG1|23205	7.1267	ACSBG1|23205	19.5982
ACSF2|80221	1064.6612	ACSF2|80221	815.7766
ACSF3|197322	258.5417	ACSF3|197322	550.2205
ACSL1|2180	1225.7964	ACSL1|2180	2551.2004
ACSL3|2181	2930.271	ACSL3|2181	3955.904
ACSL4|2182	468.78	ACSL4|2182	881.9206
ACSL5|51703	254.1865	ACSL5|51703	683.9784
ACSM1|116285	15.8372	ACSM1|116285	72.0235
ACSM3|6296	35.4436	ACSM3|6296	247.2709
lowly_expressed	lowly_expressed	ACSM5|54988	27.9275
ACSS1|84532	432.7505	ACSS1|84532	1049.9755
ACSS2|55902	721.3827	ACSS2|55902	1530.6222
ACSS3|79611	334.1641	ACSS3|79611	144.047
ACTA1|58	10.2942	ACTA1|58	9.3092
ACTA2|59	7507.0842	ACTA2|59	27933.5571
ACTB|60	60615.5509	ACTB|60	71682.0186
ACTG1|71	66166.0804	ACTG1|71	64899.0691
ACTG2|72	766.5187	ACTG2|72	4681.5287
ACTL6A|86	1145.0268	ACTL6A|86	961.2935
ACTN1|87	5087.6884	ACTN1|87	8372.3665
ACTN2|88	9.8982	lowly_expressed	lowly_expressed
ACTN4|81	8197.2004	ACTN4|81	12461.6707
ACTR10|55860	982.6959	ACTR10|55860	1080.8427
ACTR1A|10121	2589.376	ACTR1A|10121	1929.4463
ACTR1B|10120	1292.3124	ACTR1B|10120	1729.0544
ACTR2|10097	5581.4119	ACTR2|10097	3848.1137
ACTR3B|57180	173.8129	ACTR3B|57180	587.9471
ACTR3C|653857	51.0748	ACTR3C|653857	49.4855
ACTR3|10096	3914.9465	ACTR3|10096	2787.3591
ACTR5|79913	145.7019	ACTR5|79913	235.1788
ACTR6|64431	490.952	ACTR6|64431	718.7653
ACTR8|93973	539.2554	ACTR8|93973	487.5061
ACVR1B|91	907.8653	ACVR1B|91	1564.4292
lowly_expressed	lowly_expressed	ACVR1C|130399	7.8393
ACVR1|90	770.4779	ACVR1|90	891.2298
ACVR2A|92	118.7787	ACVR2A|92	552.1803
ACVR2B|93	428.7912	ACVR2B|93	384.1254
ACVRL1|94	403.8476	ACVRL1|94	504.1646
ACY1|95	895.1956	ACY1|95	781.4797
lowly_expressed	lowly_expressed	ACY3|91703	42.1362
ACYP1|97	57.4097	ACYP1|97	56.3449
ACYP2|98	150.453	ACYP2|98	227.8295
lowly_expressed	lowly_expressed	ADAD2|161931	6.3694
ADAL|161823	176.5844	ADAL|161823	172.4645
ADAM10|102	1596.7819	ADAM10|102	1407.6433
lowly_expressed	lowly_expressed	ADAM11|4185	13.2288
ADAM12|8038	1758.3209	ADAM12|8038	177.364
ADAM15|8751	10579.4026	ADAM15|8751	2341.0289
ADAM17|6868	562.6152	ADAM17|6868	909.3582
ADAM19|8728	264.0847	ADAM19|8728	27.4375
ADAM22|53616	29.6947	ADAM22|53616	24.9878
ADAM23|8745	32.4662	ADAM23|8745	19.1083
ADAM28|10863	502.8299	ADAM28|10863	52.4253
ADAM29|11086	152.4327	lowly_expressed	lowly_expressed
ADAM32|203102	5.543	ADAM32|203102	44.096
ADAM33|80332	22.9639	ADAM33|80332	177.364
ADAM6|8755	5466.0976	ADAM6|8755	91957.5992
ADAM8|101	617.6493	ADAM8|101	54.8751
ADAM9|8754	707.1293	ADAM9|8754	989.7109
ADAMDEC1|27299	92.6474	lowly_expressed	lowly_expressed
ADAMTS10|81794	54.6382	ADAMTS10|81794	66.144
ADAMTS12|81792	444.6283	ADAMTS12|81792	43.1161
ADAMTS13|11093	24.5476	ADAMTS13|11093	58.7947
ADAMTS14|140766	101.3578	ADAMTS14|140766	5.8795
ADAMTS15|170689	135.8037	ADAMTS15|170689	269.9657
ADAMTS16|170690	12.6697	ADAMTS16|170690	32.3371
ADAMTS17|170691	53.8464	ADAMTS17|170691	35.7668
