gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
ACAD8|27034	487.3379	ACAD8|27034	692.8166
ACAD9|28976	1637.446	ACAD9|28976	921.8589
lowly_expressed	lowly_expressed	ACADL|33	128.8595
ACADM|34	1557.7517	ACADM|34	1073.4089
ACADSB|36	403.0266	ACADSB|36	1485.5072
ACADS|35	196.4175	ACADS|35	683.995
ACADVL|37	1843.113	ACADVL|37	6170.712
ACAN|176	68.5608	ACAN|176	33.0813
ACAP1|9744	229.4626	ACAP1|9744	169.1871
ACAP2|23527	1275.4787	ACAP2|23527	1750.1575
ACAP3|116983	1374.6541	ACAP3|116983	489.3321
ACAT1|38	392.5263	ACAT1|38	1228.7335
ACAT2|39	588.8017	ACAT2|39	269.1556
ACBD3|64746	3165.8431	ACBD3|64746	1353.1821
ACBD4|79777	132.4892	ACBD4|79777	292.3756
ACBD5|91452	914.7622	ACBD5|91452	691.5564
ACBD6|84320	568.5608	ACBD6|84320	342.155
ACBD7|414149	79.9876	ACBD7|414149	53.8752
lowly_expressed	lowly_expressed	ACCN1|40	8.1916
ACCN2|41	17.6035	ACCN2|41	153.1191
lowly_expressed	lowly_expressed	ACCN3|9311	12.9175
ACCN4|55515	5.8678	lowly_expressed	lowly_expressed
ACCS|84680	131.8715	ACCS|84680	424.7007
ACD|65057	369.3638	ACD|65057	281.3485
ACE2|59272	115.1946	ACE2|59272	22.3693
ACER2|340485	26.8684	ACER2|340485	266.5406
ACER3|55331	435.1452	ACER3|55331	557.3409
ACE|1636	578.1347	ACE|1636	993.3837
ACHE|43	19.4565	ACHE|43	30.5608
ACIN1|22985	3436.0716	ACIN1|22985	3530.2457
ACLY|47	2146.0778	ACLY|47	2469.7543
ACN9|57001	312.2298	ACN9|57001	125.0788
ACO1|48	560.84	ACO1|48	2298.0466
ACO2|50	3946.7542	ACO2|50	2159.5684
ACOT11|26027	409.512	ACOT11|26027	61.0113
ACOT13|55856	594.3298	ACOT13|55856	490.2993
ACOT1|641371	187.4614	ACOT1|641371	772.2117
ACOT2|10965	134.3422	ACOT2|10965	470.6994
ACOT4|122970	61.7665	ACOT4|122970	88.2168
ACOT7|11332	1056.5164	ACOT7|11332	238.5003
ACOT8|10005	282.1526	ACOT8|10005	213.2105
ACOT9|23597	260.9636	ACOT9|23597	483.6169
ACOX1|51	1693.1532	ACOX1|51	2455.293
ACOX2|8309	6.7943	ACOX2|8309	266.8557
