gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
BMP8A|353500	160.2841	BMP8A|353500	56.7108
BMP8B|656	20.6918	BMP8B|656	47.8891
BMPER|168667	5.2502	BMPER|168667	200.063
BMPR1A|657	422.483	BMPR1A|657	989.6030000000001
BMPR1B|658	6.4855	BMPR1B|658	203.5287
BMPR2|659	2876.467	BMPR2|659	4560.4915
BMS1P4|729096	26.3836	BMS1P4|729096	59.8897
BMS1P5|399761	49.4132	BMS1P5|399761	141.1468
BMS1|9790	1697.0352	BMS1|9790	1418.7146
BMX|660	11.7356	BMX|660	315.0599
BNC1|646	1387.2761	BNC1|646	43.4783
BNC2|54796	82.7671	BNC2|54796	521.7391
BNIP1|662	223.9036	BNIP1|662	139.5715
BNIP2|663	862.2607	BNIP2|663	1239.7606
BNIP3L|665	2479.9259	BNIP3L|665	3669.1871
BNIP3|664	1182.5201	BNIP3|664	728.1033
BNIPL|149428	635.8863	BNIPL|149428	374.6062
BOC|91653	402.7177	BOC|91653	2109.9559
BOD1L|259282	1539.8394	BOD1L|259282	2253.6232
BOD1|91272	1275.4787	BOD1|91272	935.4127
BOK|666	1222.0506	BOK|666	1287.9647
BOLA1|51027	398.3941	BOLA1|51027	170.7624
BOLA2|552900	1023.3447	BOLA2|552900	378.9635
BOLA3|388962	168.3138	BOLA3|388962	135.7908
BOP1|23246	497.8382	BOP1|23246	201.9534
BPGM|669	1076.8993	BPGM|669	382.1676
BPHL|670	403.3354	BPHL|670	334.9086
lowly_expressed	lowly_expressed	BPIL1|80341	63.9572
lowly_expressed	lowly_expressed	BPI|671	31.820999999999998
BPNT1|10380	1830.1421	BPNT1|10380	594.2029
BPTF|2186	1671.4021	BPTF|2186	2744.4865
BRAF|673	258.4929	BRAF|673	228.4184
BRAP|8315	565.1637	BRAP|8315	674.2281
BRCA1|672	709.0797	BRCA1|672	251.1027
BRCA2|675	360.7165	BRCA2|675	92.3125
BRCC3|79184	1142.6807	BRCC3|79184	577.8198
BRD1|23774	466.9549	BRD1|23774	1074.0391
BRD2|6046	3977.1464	BRD2|6046	4973.85
BRD3|8019	765.7721	BRD3|8019	1121.005
BRD4|23476	1988.5732	BRD4|23476	1558.9162
BRD7|29117	2001.2353	BRD7|29117	1247.6371
BRD8|10902	885.1143	BRD8|10902	1254.8834
BRD9|65980	836.3187	BRD9|65980	698.1727
BRE|9577	843.113	BRE|9577	580.0095
BRF1|2972	709.0797	BRF1|2972	601.4556
BRF2|55290	242.3348	BRF2|55290	327.0321
BRI3BP|140707	88.3261	BRI3BP|140707	54.8204
BRI3|25798	1552.5015	BRI3|25798	951.4808
BRIP1|83990	188.0791	BRIP1|83990	41.903
BRIX1|55299	716.4917	BRIX1|55299	453.3711
BRMS1L|84312	373.6875	BRMS1L|84312	226.528
BRMS1|25855	1004.3237	BRMS1|25855	548.8343
BRP44L|51660	363.8048	BRP44L|51660	464.7133
BRP44|25874	1022.2359	BRP44|25874	647.7631
BRPF1|7862	508.0296	BRPF1|7862	593.2577
BRPF3|27154	687.1526	BRPF3|27154	1252.678
BRSK1|84446	10.5003	BRSK1|84446	49.1493
BRWD1|54014	1137.7393	BRWD1|54014	2112.7914
BRWD3|254065	511.11800000000005	BRWD3|254065	343.7303
BSCL2|26580	1728.2736	BSCL2|26580	1181.0681
BSDC1|55108	2935.1452	BSDC1|55108	2037.8072
BSG|682	6268.9932	BSG|682	5304.9779
BSN|8927	8.0296	BSN|8927	63.9572
BSPRY|54836	618.9006	BSPRY|54836	561.4367
BST1|683	84.6201	BST1|683	189.9811
BST2|684	5527.1773	BST2|684	2424.7007
BTAF1|9044	1054.9722	BTAF1|9044	1943.6043
BTBD10|84280	505.559	BTBD10|84280	589.1619
BTBD11|121551	806.9796	BTBD11|121551	277.8828
BTBD12|84464	286.5967	BTBD12|84464	243.2262
BTBD19|149478	7.412000000000001	BTBD19|149478	22.9994
BTBD1|53339	1925.5713	BTBD1|53339	1415.5639999999999
BTBD2|55643	907.9679	BTBD2|55643	1382.1676
BTBD3|22903	1832.9216	BTBD3|22903	1177.0636
BTBD6|90135	1995.0587	BTBD6|90135	1063.9509
BTBD7|55727	1043.2366	BTBD7|55727	1516.3831
BTBD8|284697	5.2502	BTBD8|284697	18.5885
BTBD9|114781	245.8308	BTBD9|114781	503.1506
BTC|685	122.9154	BTC|685	20.4789
BTD|686	168.3138	BTD|686	575.9294
BTF3L4|91408	2052.1927	BTF3L4|91408	756.4587
BTF3|689	5987.3379	BTF3|689	9023.9445
BTG1|694	9450.2779	BTG1|694	5229.0485
BTG2|7832	1683.1377	BTG2|7832	4353.1821
BTG3|10950	636.504	BTG3|10950	408.3176
BTK|695	394.0704	BTK|695	200.063
BTLA|151888	40.7659	BTLA|151888	47.8891
BTN2A1|11120	226.3743	BTN2A1|11120	653.4342
BTN2A2|10385	247.0661	BTN2A2|10385	382.7977
BTN2A3|54718	12.6621	BTN2A3|54718	44.7385
BTN3A1|11119	525.6331	BTN3A1|11119	1443.9193
BTN3A2|11118	1092.3410000000001	BTN3A2|11118	2261.1846
BTN3A3|10384	360.0988	BTN3A3|10384	950.2205
BTNL9|153579	37.3687	BTNL9|153579	2180.5293
BTRC|8945	541.0747	BTRC|8945	834.9086
BUB1B|701	921.0902	BUB1B|701	65.6868
BUB1|699	909.8209	BUB1|699	54.5054
BUB3|9184	1819.0241	BUB3|9184	1624.1336
BUD13|84811	528.4126	BUD13|84811	451.7958
BUD31|8896	1329.7437	BUD31|8896	664.9527
BVES|11149	29.9568	BVES|11149	246.3768
BYSL|705	423.1007	BYSL|705	318.5255
BZRAP1|9256	61.7665	BZRAP1|9256	622.2432
BZW1|9689	3745.2131	BZW1|9689	3724.0076
BZW2|28969	2483.323	BZW2|28969	1118.1474
C10orf105|414152	12.0445	C10orf105|414152	28.8847
lowly_expressed	lowly_expressed	C10orf107|219621	6.9313
lowly_expressed	lowly_expressed	C10orf108|414235	15.4379
C10orf10|11067	2105.3119	C10orf10|11067	6503.4657
C10orf110|55853	6.399	C10orf110|55853	12.867
lowly_expressed	lowly_expressed	C10orf111|221060	6.3012
C10orf114|399726	28.1038	C10orf114|399726	32.4512
C10orf116|10974	214.0395	C10orf116|10974	3042.1014
C10orf118|55088	705.6825	C10orf118|55088	1085.0662
C10orf119|79892	1620.7536	C10orf119|79892	1525.5198
C10orf11|83938	30.2656	C10orf11|83938	77.5047
C10orf125|282969	135.8863	C10orf125|282969	85.6963
C10orf128|170371	15.1328	C10orf128|170371	73.4089
C10orf12|26148	135.6918	C10orf12|26148	142.4701
C10orf137|26098	382.3348	C10orf137|26098	472.5898
C10orf140|387640	5.2502	C10orf140|387640	44.4234
C10orf18|54906	1423.7183	C10orf18|54906	1787.9647
C10orf25|220979	27.4861	C10orf25|220979	92.3125
C10orf26|54838	1212.9833	C10orf26|54838	2149.3384
C10orf28|27291	441.6306	C10orf28|27291	419.9748
C10orf2|56652	398.3941	C10orf2|56652	380.5923
C10orf32|119032	192.7116	C10orf32|119032	661.0618
C10orf35|219738	211.8592	C10orf35|219738	148.7083
C10orf41|100131213	109.4441	C10orf41|100131213	35.6963
C10orf46|143384	2161.5195	C10orf46|143384	1907.3724
C10orf47|254427	8.6473	C10orf47|254427	141.4619
C10orf4|118924	228.2273	C10orf4|118924	458.7272
C10orf54|64115	1290.9203	C10orf54|64115	1704.7889
C10orf55|414236	84.1167	C10orf55|414236	20.1386
C10orf57|80195	1803.8481	C10orf57|80195	860.4379
C10orf58|84293	1984.2495	C10orf58|84293	2827.0321
lowly_expressed	lowly_expressed	C10orf68|79741	9.6503
C10orf72|196740	174.1816	C10orf72|196740	881.8526
C10orf75|90271	122.6065	C10orf75|90271	50.0945
C10orf76|79591	542.3101	C10orf76|79591	675.1733
C10orf78|119392	122.6065	C10orf78|119392	116.5721
lowly_expressed	lowly_expressed	C10orf79|80217	74.9842
C10orf81|79949	1104.3854	C10orf81|79949	1943.9193
lowly_expressed	lowly_expressed	C10orf82|143379	18.2735
C10orf84|63877	444.1013	C10orf84|63877	621.298
C10orf88|80007	188.0791	C10orf88|80007	192.5016
lowly_expressed	lowly_expressed	C10orf90|118611	71.5186
lowly_expressed	lowly_expressed	C10orf93|255352	11.0271
lowly_expressed	lowly_expressed	C10orf95|79946	5.8286
C10orf99|387695	157.8135	lowly_expressed	lowly_expressed
C11orf10|746	606.5473	C11orf10|746	771.8967
C11orf17|56672	331.6862	C11orf17|56672	258.6641
C11orf1|64776	369.9815	C11orf1|64776	275.9105
C11orf21|29125	19.7653	C11orf21|29125	28.0403
C11orf24|53838	1133.4157	C11orf24|53838	579.3951
C11orf2|738	1108.0914	C11orf2|738	1973.2199
C11orf30|56946	387.8938	C11orf30|56946	648.3932
C11orf31|280636	4328.5979	C11orf31|280636	624.4486
C11orf35|256329	11.0377	C11orf35|256329	23.8185
C11orf41|25758	99.7529	C11orf41|25758	283.8689
C11orf45|219833	60.84	C11orf45|219833	92.9427
C11orf46|120534	256.6399	C11orf46|120534	753.9382
C11orf48|79081	490.3027	C11orf48|79081	313.6515
C11orf49|79096	149.7838	C11orf49|79096	360.1134
C11orf51|25906	394.7838	C11orf51|25906	310.8601
C11orf52|91894	99.7529	C11orf52|91894	299.4203
C11orf53|341032	31.5009	lowly_expressed	lowly_expressed
C11orf54|28970	338.1717	C11orf54|28970	578.1348
C11orf57|55216	769.6109	C11orf57|55216	902.6465
C11orf58|10944	2071.958	C11orf58|10944	3159.4203
C11orf59|55004	1641.4453	C11orf59|55004	1287.9647
C11orf61|79684	152.8721	C11orf61|79684	314.1147
C11orf63|79864	26.8684	C11orf63|79864	224.6377
C11orf65|160140	9.8826	C11orf65|160140	8.1947
lowly_expressed	lowly_expressed	C11orf66|220004	34.0265
C11orf67|28971	110.5621	C11orf67|28971	301.1972
C11orf68|83638	513.2798	C11orf68|83638	715.5009
C11orf70|85016	10.5003	C11orf70|85016	36.861999999999995
C11orf71|54494	311.3033	C11orf71|54494	194.707
C11orf73|51501	405.8061	C11orf73|51501	411.1531
C11orf74|119710	97.5911	C11orf74|119710	161.3106
C11orf75|56935	691.1674	C11orf75|56935	228.7335
C11orf80|79703	866.2755	C11orf80|79703	213.6106
C11orf82|220042	293.39099999999996	C11orf82|220042	77.5047
C11orf83|790955	339.0982	C11orf83|790955	145.8727
C11orf84|144097	594.8116	C11orf84|144097	322.6213
lowly_expressed	lowly_expressed	C11orf90|387804	5.041
C11orf92|399948	990.1637	C11orf92|399948	186.2004
C11orf93|120376	189.5769	C11orf93|120376	35.2867
C11orf95|65998	530.8833	C11orf95|65998	687.4606
C11orf9|745	5.8678	C11orf9|745	44.7385
C12orf10|60314	394.0704	C12orf10|60314	630.1197
C12orf11|55726	570.7227	C12orf11|55726	500.3151
C12orf23|90488	492.2792	C12orf23|90488	1190.6112
C12orf24|29902	43.5454	C12orf24|29902	91.6824
C12orf26|84190	56.2075	C12orf26|84190	135.1607
C12orf29|91298	396.8067	C12orf29|91298	435.8097
C12orf32|83695	1249.2279	C12orf32|83695	431.63199999999995
C12orf34|84915	66.7078	C12orf34|84915	146.5028
C12orf35|55196	1017.2946	C12orf35|55196	1991.1783
C12orf36|283422	44.4719	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C12orf39|80763	16.3831
C12orf41|54934	617.0476	C12orf41|54934	503.4657
C12orf43|64897	215.2563	C12orf43|64897	281.6635
C12orf44|60673	833.2304	C12orf44|60673	530.8759
C12orf45|121053	201.3589	C12orf45|121053	125.7089
C12orf47|51275	335.769	C12orf47|51275	307.0636
C12orf48|55010	206.7295	C12orf48|55010	60.8066
C12orf49|79794	672.0198	C12orf49|79794	552.615
C12orf4|57102	615.5034	C12orf4|57102	418.3995
C12orf51|283450	932.3657	C12orf51|283450	1825.4568
C12orf52|84934	407.3502	C12orf52|84934	317.8954
lowly_expressed	lowly_expressed	C12orf53|196500	6.3012
C12orf56|115749	55.5899	lowly_expressed	lowly_expressed
C12orf57|113246	1778.2582	C12orf57|113246	1178.3239
C12orf59|120939	50.6485	C12orf59|120939	12.6024
C12orf5|57103	490.735	C12orf5|57103	298.3617
C12orf60|144608	26.2508	C12orf60|144608	20.1638
C12orf61|283416	7.412000000000001	C12orf61|283416	7.2464
C12orf62|84987	455.2193	C12orf62|84987	464.3982
C12orf65|91574	339.7159	C12orf65|91574	278.5129
C12orf66|144577	123.2242	C12orf66|144577	131.0649
C12orf68|387856	7.1032	C12orf68|387856	39.3825
lowly_expressed	lowly_expressed	C12orf69|440087	34.0265
C12orf70|341346	13.2798	lowly_expressed	lowly_expressed
C12orf72|254013	38.2952	C12orf72|254013	78.765
C12orf73|728568	117.6652	C12orf73|728568	84.12100000000001
C12orf75|387882	1374.9228	C12orf75|387882	316.005
C12orf76|400073	138.0482	C12orf76|400073	141.1468
C12orf77|196415	8.3385	lowly_expressed	lowly_expressed
C13orf15|28984	318.7153	C13orf15|28984	611.5312
C13orf18|80183	87.3996	C13orf18|80183	287.0195
C13orf1|57213	170.7844	C13orf1|57213	210.775
C13orf23|80209	614.2681	C13orf23|80209	959.0422
C13orf27|93081	145.1513	C13orf27|93081	102.7095
C13orf29|283487	27.4861	C13orf29|283487	95.7782
C13orf31|144811	255.4046	C13orf31|144811	356.9628
C13orf33|84935	44.7807	C13orf33|84935	664.1462
C13orf34|79866	234.3422	C13orf34|79866	141.4209
C13orf37|440145	335.0834	C13orf37|440145	240.3907
C14orf101|54916	379.5553	C14orf101|54916	549.4644
C14orf102|55051	268.3755	C14orf102|55051	386.2634
C14orf104|55172	336.9364	C14orf104|55172	221.172
C14orf106|55320	789.3762	C14orf106|55320	611.2161
C14orf109|26175	361.0253	C14orf109|26175	223.0624
C14orf115|55237	10.5003	lowly_expressed	lowly_expressed
C14orf118|55668	177.2699	C14orf118|55668	288.5948
C14orf119|55017	1118.5917	C14orf119|55017	888.1537
C14orf126|112487	484.2001	C14orf126|112487	335.48199999999997
C14orf128|84837	80.9141	C14orf128|84837	91.3674
C14orf129|51527	671.4021	C14orf129|51527	398.5507
C14orf132|56967	134.651	C14orf132|56967	870.8255
C14orf135|64430	557.7517	C14orf135|64430	909.2628
C14orf138|79609	317.7888	C14orf138|79609	144.2974
C14orf139|79686	71.0315	C14orf139|79686	672.6528
C14orf142|84520	276.4052	C14orf142|84520	161.3106
C14orf143|90141	125.38600000000001	C14orf143|90141	73.4089
C14orf145|145508	210.9327	C14orf145|145508	164.4612
C14orf147|171546	2503.0883	C14orf147|171546	1173.598
C14orf148|122945	7.412000000000001	C14orf148|122945	10.0819
C14orf149|112849	70.105	C14orf149|112849	138.9414
C14orf153|84334	606.8159	C14orf153|84334	362.4638
C14orf156|81892	641.1365	C14orf156|81892	337.1141
C14orf159|80017	1248.9191	C14orf159|80017	1068.683
C14orf162|56936	9.5738	lowly_expressed	lowly_expressed
C14orf166|51637	2635.2687	C14orf166|51637	1959.9874
C14orf167|55449	360.2471	C14orf167|55449	743.4877
C14orf169|79697	333.2304	C14orf169|79697	300.5671
C14orf174|161394	19.1476	C14orf174|161394	35.2867
C14orf176|643382	10.1915	C14orf176|643382	15.753
C14orf179|112752	282.8907	C14orf179|112752	182.4197
lowly_expressed	lowly_expressed	C14orf180|400258	206.9943
C14orf181|400223	40.7659	C14orf181|400223	39.6975
C14orf182|283551	24.0889	C14orf182|283551	15.4379
C14orf184|650662	6.4855	lowly_expressed	lowly_expressed
C14orf1|11161	1175.4169	C14orf1|11161	601.7643
C14orf21|161424	384.4966	C14orf21|161424	347.51099999999997
C14orf28|122525	71.958	C14orf28|122525	189.666
C14orf2|9556	1048.7956	C14orf2|9556	713.6106
C14orf33|100129075	83.6936	C14orf33|100129075	77.1897
C14orf37|145407	59.6047	C14orf37|145407	124.4486
C14orf43|91748	1152.2545	C14orf43|91748	1498.1096
C14orf45|80127	147.3224	C14orf45|80127	242.2936
C14orf49|161176	9.265	C14orf49|161176	244.8015
C14orf4|64207	1368.1285	C14orf4|64207	1662.5709
C14orf50|145376	5.559	C14orf50|145376	16.0681
C14orf64|388011	66.0902	C14orf64|388011	38.1222
C14orf73|91828	90.488	C14orf73|91828	5.356
C14orf79|122616	311.3033	C14orf79|122616	217.0762
C14orf80|283643	260.9636	C14orf80|283643	75.6144
C14orf93|60686	186.8437	C14orf93|60686	208.2546
C15orf17|57184	1131.5627	C15orf17|57184	1351.6068
C15orf21|283651	113.0327	C15orf21|283651	43.4783
C15orf23|90417	810.6856	C15orf23|90417	134.5306
C15orf24|56851	1357.0105	C15orf24|56851	792.6906
C15orf26|161502	8.6473	lowly_expressed	lowly_expressed
C15orf27|123591	16.9858	C15orf27|123591	22.0542
lowly_expressed	lowly_expressed	C15orf28|80035	16.3831
C15orf29|79768	519.7653	C15orf29|79768	438.5633
C15orf33|196951	32.2668	C15orf33|196951	26.5784
C15orf34|80072	37.0599	C15orf34|80072	24.8897
C15orf37|283687	72.727	C15orf37|283687	53.8784
C15orf38|348110	1171.4608	C15orf38|348110	399.9149
C15orf39|56905	1137.7393	C15orf39|56905	684.9401
C15orf40|123207	341.26	C15orf40|123207	261.3422
C15orf41|84529	249.2279	C15orf41|84529	165.7215
C15orf42|90381	496.0469	C15orf42|90381	49.4014
C15orf44|81556	1408.2767	C15orf44|81556	879.9622
C15orf48|84419	2939.16	C15orf48|84419	109.9559
lowly_expressed	lowly_expressed	C15orf51|196968	9.7669
C15orf52|388115	1924.9537	C15orf52|388115	1092.3125
lowly_expressed	lowly_expressed	C15orf56|644809	6.6163
C15orf57|90416	411.8993	C15orf57|90416	531.4398
C15orf58|390637	113.3416	C15orf58|390637	35.6018
C15orf59|388135	5.2502	C15orf59|388135	19.5337
C15orf61|145853	111.1797	C15orf61|145853	86.3264
C15orf62|643338	116.7387	C15orf62|643338	77.1897
C15orf63|25764	969.1167	C15orf63|25764	481.7265
C16orf13|84326	437.30699999999996	C16orf13|84326	342.155
C16orf42|115939	931.7295	C16orf42|115939	519.9118
C16orf45|89927	63.0019	C16orf45|89927	560.4915
C16orf46|123775	33.9716	C16orf46|123775	52.9301
C16orf48|84080	68.5608	C16orf48|84080	293.6358
C16orf52|730094	289.685	C16orf52|730094	397.6055
C16orf53|79447	818.0667	C16orf53|79447	613.5381
C16orf54|283897	85.5466	C16orf54|283897	94.2029
C16orf55|124045	129.7097	C16orf55|124045	84.12100000000001
C16orf57|79650	1227.3008	C16orf57|79650	689.9811
C16orf58|64755	1402.7177	C16orf58|64755	1551.9849
C16orf59|80178	233.1686	C16orf59|80178	19.8488
C16orf5|29965	429.2773	C16orf5|29965	750.1575
C16orf61|56942	585.6424	C16orf61|56942	186.3516
C16orf62|57020	815.6269	C16orf62|57020	1197.8576
C16orf63|123811	890.0556	C16orf63|123811	825.1418
C16orf68|79091	168.0049	C16orf68|79091	158.7902
C16orf70|80262	861.8530000000001	C16orf70|80262	467.6969
C16orf71|146562	7.412000000000001	C16orf71|146562	8.8217
C16orf72|29035	1448.425	C16orf72|29035	1171.0775
C16orf74|404550	204.4472	C16orf74|404550	53.5602
C16orf75|116028	626.9302	C16orf75|116028	99.5589
C16orf79|283870	27.2359	C16orf79|283870	13.0214
C16orf7|9605	678.74	C16orf7|9605	232.7914
C16orf80|29105	621.0624	C16orf80|29105	420.6049
C16orf86|388284	22.5448	C16orf86|388284	60.8066
C16orf87|388272	125.0772	C16orf87|388272	86.3264
C16orf88|400506	728.5361	C16orf88|400506	325.4568
lowly_expressed	lowly_expressed	C16orf89|146556	715.5009
C16orf91|283951	282.8907	C16orf91|283951	126.0239
C16orf93|90835	46.0161	C16orf93|90835	27.0951
C17orf100|388327	42.9277	C17orf100|388327	62.6969
C17orf101|79701	263.7245	C17orf101|79701	316.298
C17orf103|256302	132.4892	C17orf103|256302	956.2067
C17orf104|284071	12.6621	C17orf104|284071	15.4379
C17orf106|100134934	250.0371	C17orf106|100134934	221.1878
C17orf107|100130311	55.4509	C17orf107|100130311	131.1657
C17orf108|201229	109.3267	C17orf108|201229	275.3623
C17orf28|283987	71.6492	C17orf28|283987	1026.15
C17orf37|84299	584.6201	C17orf37|84299	367.9899
C17orf39|79018	247.3749	C17orf39|79018	542.2180000000001
C17orf42|79736	117.6652	C17orf42|79736	134.8456
C17orf44|284029	48.1779	C17orf44|284029	73.0939
C17orf48|56985	95.4293	C17orf48|56985	138.3113
C17orf49|124944	734.5398	C17orf49|124944	735.8948
C17orf51|339263	67.3255	C17orf51|339263	328.6074
C17orf53|78995	160.593	C17orf53|78995	37.4921
C17orf55|284185	14.2063	C17orf55|284185	22.3693
C17orf56|146705	310.1977	C17orf56|146705	296.8368
C17orf57|124989	37.0599	C17orf57|124989	91.3674
C17orf58|284018	185.9172	C17orf58|284018	528.0403
C17orf59|54785	179.7406	C17orf59|54785	244.8015
C17orf60|284021	21.9271	C17orf60|284021	18.2735
C17orf61|254863	381.7233	C17orf61|254863	336.9786
C17orf62|79415	1096.0469	C17orf62|79415	918.3995
C17orf63|55731	851.1427	C17orf63|55731	717.7064
C17orf65|339201	72.168	C17orf65|339201	127.1771
C17orf67|339210	37.3687	C17orf67|339210	44.1084
C17orf68|80169	418.1594	C17orf68|80169	857.908
C17orf69|147081	36.4422	C17orf69|147081	77.1897
C17orf70|80233	631.5627	C17orf70|80233	589.1619
C17orf71|55181	416.3064	C17orf71|55181	497.7946
C17orf72|92340	5.8091	C17orf72|92340	56.0176
C17orf75|64149	189.6232	C17orf75|64149	183.3648
C17orf76|388341	11.118	C17orf76|388341	44.7385
C17orf77|146723	41.6924	lowly_expressed	lowly_expressed
C17orf79|55352	301.1118	C17orf79|55352	603.9698
C17orf80|55028	375.5405	C17orf80|55028	587.5866
C17orf81|23587	296.4793	C17orf81|23587	490.2331
C17orf85|55421	421.5565	C17orf85|55421	822.6213
C17orf86|654434	90.1791	C17orf86|654434	126.6541
C17orf87|388325	69.441	C17orf87|388325	31.316999999999997
C17orf89|284184	271.7727	C17orf89|284184	189.0359
C17orf90|339229	360.0988	C17orf90|339229	216.7612
C17orf91|84981	127.5479	C17orf91|84981	202.8986
C17orf95|124512	364.1137	C17orf95|124512	303.7177
C17orf96|100170841	232.551	C17orf96|100170841	117.8324
C17orf97|400566	37.9864	C17orf97|400566	84.7511
C18orf10|25941	1217.7269999999999	C18orf10|25941	996.8494
C18orf18|147525	50.6485	C18orf18|147525	48.8343
C18orf19|125228	283.1995	C18orf19|125228	263.075
C18orf1|753	640.21	C18orf1|753	1659.7353
C18orf21|83608	269.302	C18orf21|83608	210.46
C18orf22|79863	459.5429	C18orf22|79863	361.6887
C18orf25|147339	781.3465	C18orf25|147339	740.3907
C18orf32|497661	1087.5479	C18orf32|497661	819.2155
lowly_expressed	lowly_expressed	C18orf34|374864	96.7234
C18orf45|85019	261.5812	C18orf45|85019	326.7171
C18orf54|162681	98.2088	C18orf54|162681	137.6812
C18orf55|29090	361.9518	C18orf55|29090	283.2388
C18orf56|494514	36.8098	lowly_expressed	lowly_expressed
C18orf8|29919	395.0525	C18orf8|29919	364.2533
C19orf10|56005	1078.1347	C19orf10|56005	915.564
C19orf12|83636	485.4849	C19orf12|83636	801.1972
C19orf18|147685	6.4855	C19orf18|147685	13.2325
C19orf20|91978	29.9568	C19orf20|91978	68.683
lowly_expressed	lowly_expressed	C19orf21|126353	78.1348
C19orf22|91300	1289.9938	C19orf22|91300	874.9212
C19orf23|148046	12.970999999999998	C19orf23|148046	11.3422
C19orf24|55009	328.5979	C19orf24|55009	253.9382
C19orf25|148223	160.2841	C19orf25|148223	319.4707
C19orf26|255057	21.6183	lowly_expressed	lowly_expressed
C19orf28|126321	1074.7375	C19orf28|126321	669.5022
C19orf29|58509	295.5528	C19orf29|58509	424.0706
C19orf2|8725	1265.596	C19orf2|8725	1507.8765
C19orf33|64073	52.3564	C19orf33|64073	48.3869
C19orf35|374872	8.0296	C19orf35|374872	5.356
C19orf36|113177	14.824000000000002	C19orf36|113177	8.1916
C19orf38|255809	46.0161	C19orf38|255809	15.753
C19orf39|126074	54.6634	C19orf39|126074	51.3548
C19orf40|91442	81.5318	C19orf40|91442	39.0674
C19orf42|79086	956.4546	C19orf42|79086	1168.242
C19orf43|79002	1998.1470000000002	C19orf43|79002	1259.6093
C19orf44|84167	137.341	C19orf44|84167	205.71200000000002
C19orf46|163183	17.6035	C19orf46|163183	110.586
C19orf47|126526	284.7437	C19orf47|126526	219.5967
C19orf48|84798	936.3805	C19orf48|84798	441.7139
C19orf50|79036	1018.2211	C19orf50|79036	1009.1367
lowly_expressed	lowly_expressed	C19orf51|352909	22.0542
C19orf52|90580	371.5256	C19orf52|90580	191.2413
C19orf53|28974	1035.8246	C19orf53|28974	726.8431
C19orf54|284325	171.0933	C19orf54|284325	186.2004
C19orf55|148137	72.2668	C19orf55|148137	91.9975
C19orf56|51398	1533.3508	C19orf56|51398	1393.5098
C19orf57|79173	165.8431	C19orf57|79173	63.9572
C19orf59|199675	22.2359	lowly_expressed	lowly_expressed
C19orf60|55049	278.2582	C19orf60|55049	257.719
C19orf61|56006	604.0766	C19orf61|56006	512.6024
C19orf62|29086	1114.0828	C19orf62|29086	888.6074
C19orf63|284361	2097.8104	C19orf63|284361	1507.7284
C19orf66|55337	842.9494	C19orf66|55337	563.5696
C19orf6|91304	1384.4966	C19orf6|91304	1492.7536
C19orf70|125988	294.9351	C19orf70|125988	397.9206
lowly_expressed	lowly_expressed	C19orf71|100128569	11.0271
C19orf73|55150	14.824000000000002	C19orf73|55150	16.6982
lowly_expressed	lowly_expressed	C19orf76|199800	88.2168
C1D|10438	183.4466	C1D|10438	146.8179
C1GALT1C1|29071	824.8919	C1GALT1C1|29071	522.3693
C1GALT1|56913	465.1019	C1GALT1|56913	235.3497
C1QA|712	6818.7153	C1QA|712	2283.5539
C1QBP|708	1157.9463	C1QBP|708	1317.9994
C1QB|713	6688.6967	C1QB|713	2074.9842
C1QC|714	5344.0395	C1QC|714	1974.1651
C1QL1|10882	5.559	C1QL1|10882	12.2873
C1QL2|165257	22.5448	C1QL2|165257	48.8343
C1QL3|389941	8.6473	C1QL3|389941	38.4373
C1QTNF1|114897	381.4083	C1QTNF1|114897	1454.6314
C1QTNF2|114898	9.8826	C1QTNF2|114898	35.6018
C1QTNF3|114899	201.6677	C1QTNF3|114899	133.2703
lowly_expressed	lowly_expressed	C1QTNF4|114900	13.2325
C1QTNF6|114904	340.0247	C1QTNF6|114904	248.5822
C1QTNF7|114905	6.4855	C1QTNF7|114905	110.586
lowly_expressed	lowly_expressed	C1QTNF9B|387911	22.719
lowly_expressed	lowly_expressed	C1QTNF9|338872	56.0807
C1RL|51279	1381.9518	C1RL|51279	2306.3422
C1R|715	5037.0599	C1R|715	14891.6194
C1S|716	6212.8382	C1S|716	16898.9225
lowly_expressed	lowly_expressed	C1orf101|257044	10.0819
C1orf103|55791	837.554	C1orf103|55791	394.1399
C1orf104|284618	93.3972	C1orf104|284618	85.0126
C1orf105|92346	9.265	lowly_expressed	lowly_expressed
C1orf106|55765	6528.7214	C1orf106|55765	221.4871
C1orf107|27042	1302.0383	C1orf107|27042	810.0189
C1orf109|54955	705.9914	C1orf109|54955	402.6465
lowly_expressed	lowly_expressed	C1orf111|284680	5.041
C1orf112|55732	487.4676	C1orf112|55732	131.5658
C1orf113|79729	241.8036	C1orf113|79729	139.6597
C1orf115|79762	394.3792	C1orf115|79762	2451.4808
C1orf116|79098	1811.3033	C1orf116|79098	1021.1089999999999
C1orf122|127687	676.6924	C1orf122|127687	347.5173
C1orf123|54987	559.6047	C1orf123|54987	600.5041
C1orf124|83932	459.2341	C1orf124|83932	240.3907
C1orf126|200197	226.3712	C1orf126|200197	119.1777
C1orf127|148345	9.5738	C1orf127|148345	5.9861
