gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
EP400|57634	2644.958	EP400|57634	1548.1353
EPAS1|2034	1221.2885	EPAS1|2034	30158.2827
EPB41L1|2036	1737.395	EPB41L1|2036	4000.8673
EPB41L2|2037	522.0588	EPB41L2|2037	8673.8942
EPB41L3|23136	1354.6919	EPB41L3|23136	2457.9358
EPB41L4A|64097	443.6275	EPB41L4A|64097	719.4276
EPB41L4B|54566	472.6891	EPB41L4B|54566	2843.4519
EPB41L5|57669	1025.2101	EPB41L5|57669	846.4874
EPB41|2035	1223.9146	EPB41|2035	1724.9003
lowly_expressed	lowly_expressed	EPB42|2038	117.0859
EPB49|2039	562.3249	EPB49|2039	2578.0572
EPC1|80314	582.2829	EPC1|80314	589.7658
EPC2|26122	737.395	EPC2|26122	743.7121
EPCAM|4072	3721.9888	EPCAM|4072	62.0121
EPDR1|54749	293.7675	EPDR1|54749	2148.7424
EPHA10|284656	403.7115	EPHA10|284656	6.0711
EPHA1|2041	471.9888	EPHA1|2041	6.0711
EPHA2|1969	85.7843	EPHA2|1969	665.2212
EPHA3|2042	58.8235	EPHA3|2042	293.1483
EPHA4|2043	45.1681	EPHA4|2043	667.8231
EPHA6|285220	12.9552	EPHA6|285220	5.6375
EPHA7|2045	336.8347	EPHA7|2045	60.7112
EPHB1|2047	6.3025	EPHB1|2047	38.595
EPHB2|2048	261.9048	EPHB2|2048	281.4397
EPHB3|2049	605.7423	EPHB3|2049	106.6782
EPHB4|2050	2604.3417	EPHB4|2050	2123.5906
EPHB6|2051	21.0084	EPHB6|2051	281.8734
EPHX1|2052	1046.5686	EPHX1|2052	10821.3356
EPHX2|2053	158.6134	EPHX2|2053	661.752
lowly_expressed	lowly_expressed	EPHX3|79852	23.8508
EPHX4|253152	23.4594	EPHX4|253152	7.8057
EPM2AIP1|9852	1010.8543	EPM2AIP1|9852	768.8638
EPM2A|7957	156.5126	EPM2A|7957	522.9835
EPN1|29924	1883.4034	EPN1|29924	1653.9462
EPN2|22905	631.6527	EPN2|22905	977.4501
EPN3|55040	1860.2941	EPN3|55040	18.2134
EPOR|2057	102.9412	EPOR|2057	98.0052
EPPK1|83481	827.0308	EPPK1|83481	20.3816
EPR1|8475	586.8382	EPR1|8475	10.1127
EPRS|2058	6377.451	EPRS|2058	3095.4033
EPS15L1|58513	1247.8992	EPS15L1|58513	639.2021
EPS15|2060	1762.2549	EPS15|2060	3006.0711
EPS8L1|54869	188.7255	EPS8L1|54869	9.1067
EPS8L2|64787	690.8263	EPS8L2|64787	167.3894
EPS8|2059	1369.3978	EPS8|2059	4720.7285
EPSTI1|94240	238.0952	EPSTI1|94240	159.15
EPT1|85465	2177.1569	EPT1|85465	316.5568
EPYC|1833	60.2241	lowly_expressed	lowly_expressed
ERAL1|26284	1145.6583	ERAL1|26284	737.6409
ERAP1|51752	957.0098	ERAP1|51752	4238.7207
ERAP2|64167	1753.8515	ERAP2|64167	2934.5186
ERBB2IP|55914	3892.507	ERBB2IP|55914	1709.8873
ERBB2|2064	36488.0952	ERBB2|2064	1558.9766
ERBB3|2065	9167.3669	ERBB3|2065	157.8491
ERBB4|2066	2170.5182	ERBB4|2066	71.5525
ERC1|23085	2474.4398	ERC1|23085	2607.5455
ERCC1|2067	895.3081	ERCC1|2067	746.2056
ERCC2|2068	428.5714	ERCC2|2068	287.5108
ERCC3|2071	1153.0112	ERCC3|2071	977.0165
ERCC4|2072	552.521	ERCC4|2072	373.3738
ERCC5|2073	327.8291	ERCC5|2073	1695.1431
ERCC6L|54821	398.8095	ERCC6L|54821	7.8057
ERCC6|2074	366.0329	ERCC6|2074	295.9931
ERCC8|1161	193.9776	ERCC8|1161	194.2758
EREG|2069	71.0784	lowly_expressed	lowly_expressed
ERF|2077	1025.9104	ERF|2077	602.3417
ERGIC1|57222	5459.7339	ERGIC1|57222	5190.8066
ERGIC2|51290	731.4426	ERGIC2|51290	663.0529
ERGIC3|51614	4295.5182	ERGIC3|51614	2414.5707
ERG|2078	75.2801	ERG|2078	1493.9289
ERH|2079	1678.5714	ERH|2079	891.5872
ERI1|90459	575.2801	ERI1|90459	398.0919
ERI2|112479	693.8375	ERI2|112479	303.9115
ERI3|79033	795.5182	ERI3|79033	764.5273
ERICH1|157697	226.1905	ERICH1|157697	370.3382
ERLEC1|27248	1480.0420000000001	ERLEC1|27248	1565.4814
ERLIN1|10613	1205.1821	ERLIN1|10613	1473.5473
ERLIN2|11160	1887.2549	ERLIN2|11160	1765.3946
ERMAP|114625	282.563	ERMAP|114625	803.1223
ERMN|57471	18.9076	lowly_expressed	lowly_expressed
ERMP1|79956	3183.3193	ERMP1|79956	900.8369
ERN1|2081	461.8347	ERN1|2081	141.804
lowly_expressed	lowly_expressed	ERN2|10595	9.1067
ERO1LB|56605	1031.1625	ERO1LB|56605	338.6817
ERO1L|30001	617.6471	ERO1L|30001	549.0026
ERP27|121506	92.7871	ERP27|121506	6.9384
ERP29|10961	2057.0728	ERP29|10961	1413.2697
ERP44|23071	719.888	ERP44|23071	1554.6401
ERRFI1|54206	845.5882	ERRFI1|54206	1808.7598
lowly_expressed	lowly_expressed	ERVFRDE1|405754	11.7086
ESAM|90952	203.0812	ESAM|90952	2787.0772
ESCO1|114799	937.3249	ESCO1|114799	359.9306
ESCO2|157570	479.3417	ESCO2|157570	7.8057
ESD|2098	620.0980000000001	ESD|2098	2338.6817
ESF1|51575	816.5266	ESF1|51575	475.7155
ESM1|11082	58.1232	ESM1|11082	5.2038
ESPL1|9700	975.8403	ESPL1|9700	10.8413
ESPN|83715	104.6919	lowly_expressed	lowly_expressed
ESR1|2099	17545.5182	ESR1|2099	731.5698
lowly_expressed	lowly_expressed	ESR2|2100	110.1474
ESRP1|54845	4732.4929999999995	ESRP1|54845	43.3651
ESRP2|80004	1607.1429	ESRP2|80004	137.0338
ESRRA|2101	266.8067	ESRRA|2101	468.7771
ESRRG|2104	301.4706	ESRRG|2104	19.948
ESYT1|23344	2943.6275	ESYT1|23344	10936.6869
ESYT2|57488	3547.9692	ESYT2|57488	5834.7788
ETAA1|54465	399.1597	ETAA1|54465	224.6314
ETF1|2107	2380.2521	ETF1|2107	3445.7936
ETFA|2108	832.9832	ETFA|2108	1782.7407
ETFB|2109	674.3697	ETFB|2109	2463.1396
ETFDH|2110	293.4174	ETFDH|2110	1227.667
ETHE1|23474	296.5686	ETHE1|23474	312.6626
ETNK1|55500	1741.5966	ETNK1|55500	650.477
ETNK2|55224	2567.2269	ETNK2|55224	159.5837
ETS1|2113	788.1653	ETS1|2113	5544.6661
ETS2|2114	489.1457	ETS2|2114	3372.0729
ETV1|2115	376.0504	ETV1|2115	157.8491
ETV2|2116	7.7031	ETV2|2116	19.948
ETV3L|440695	5.2521	ETV3L|440695	8.673
ETV3|2117	301.1204	ETV3|2117	508.2394
ETV4|2118	392.1569	ETV4|2118	9.974
ETV5|2119	175.07	ETV5|2119	230.7025
ETV6|2120	1220.5882	ETV6|2120	493.9289
ETV7|51513	139.7059	ETV7|51513	16.0451
EVC2|132884	39.916	EVC2|132884	224.1977
EVC|2121	590.8894	EVC|2121	1400.0781
EVI2A|2123	119.3978	EVI2A|2123	236.7736
EVI2B|2124	182.7731	EVI2B|2124	342.5846
EVI5L|115704	533.2633	EVI5L|115704	367.7363
EVI5|7813	358.5434	EVI5|7813	593.6687
EVL|51466	3025.9104	EVL|51466	1011.7086
lowly_expressed	lowly_expressed	EVPLL|645027	6.0711
EVPL|2125	553.5714	EVPL|2125	19.948
EWSR1|2130	4287.465	EWSR1|2130	2957.0685
EXD2|55218	918.0672	EXD2|55218	970.9454
EXD3|54932	134.8039	EXD3|54932	169.9913
EXO1|9156	901.9608	EXO1|9156	9.5403
EXOC1|55763	864.8459	EXOC1|55763	1144.8395
EXOC2|55770	2045.5182	EXOC2|55770	839.1154
EXOC3L2|90332	17.507	EXOC3L2|90332	85.4293
EXOC3L|283849	26.1029	EXOC3L|283849	93.9636
EXOC3|11336	856.0924	EXOC3|11336	1517.3461
EXOC4|60412	2033.2633	EXOC4|60412	1813.0963
EXOC5|10640	1459.7339	EXOC5|10640	1906.765
EXOC6B|23233	252.451	EXOC6B|23233	426.7129
EXOC6|54536	1346.6387	EXOC6|54536	374.6748
EXOC7|23265	1874.1036	EXOC7|23265	3701.6479
EXOC8|149371	773.1092	EXOC8|149371	467.0425
EXOG|9941	93.4874	EXOG|9941	136.1665
EXOSC10|5394	1125.0	EXOSC10|5394	1158.2827
EXOSC1|51013	266.8067	EXOSC1|51013	261.9254
EXOSC2|23404	599.0896	EXOSC2|23404	289.2454
EXOSC3|51010	234.5938	EXOSC3|51010	217.69299999999998
EXOSC4|54512	326.6807	EXOSC4|54512	131.83
EXOSC5|56915	385.1541	EXOSC5|56915	160.8846
EXOSC6|118460	313.7255	EXOSC6|118460	243.2784
EXOSC7|23016	410.7143	EXOSC7|23016	335.6461
EXOSC8|11340	83.5294	EXOSC8|11340	204.8265
EXOSC9|5393	513.2633	EXOSC9|5393	288.673
EXPH5|23086	357.8431	EXPH5|23086	50.3036
EXT1|2131	1190.1261	EXT1|2131	1377.2767
EXT2|2132	4601.5406	EXT2|2132	2495.6635
EXTL1|2134	14.3557	lowly_expressed	lowly_expressed
EXTL2|2135	256.3025	EXTL2|2135	448.3955
EXTL3|2137	1024.1597	EXTL3|2137	1173.0269
EYA1|2138	35.3641	EYA1|2138	39.8959
EYA2|2139	893.2073	EYA2|2139	480.05199999999996
EYA3|2140	173.3193	EYA3|2140	144.4059
EYA4|2070	5.2521	EYA4|2070	209.8873
EYS|346007	23.1092	EYS|346007	73.2871
EZH1|2145	688.3754	EZH1|2145	3091.5004
EZH2|2146	873.2493	EZH2|2146	39.4623
EZR|7430	6839.6359	EZR|7430	1137.9011
F10|2159	7.0028	F10|2159	465.3079
F11R|50848	3402.6611	F11R|50848	3791.8474
F12|2161	88.5854	lowly_expressed	lowly_expressed
F13A1|2162	802.8711	F13A1|2162	4895.9237
F2RL1|2150	176.8207	F2RL1|2150	6.0711
F2RL2|2151	268.9076	lowly_expressed	lowly_expressed
F2RL3|9002	20.6583	F2RL3|9002	63.7467
F2R|2149	980.0419999999999	F2R|2149	482.2203
F3|2152	58.8235	F3|2152	1735.4727
F5|2153	29.7619	F5|2153	131.83
F7|2155	30.4622	lowly_expressed	lowly_expressed
F8A1|8263	86.1345	F8A1|8263	146.5742
F8|2157	271.3585	F8|2157	2309.2021
FA2H|79152	95.2381	lowly_expressed	lowly_expressed
FAAH2|158584	349.7899	lowly_expressed	lowly_expressed
FAAH|2166	546.5686	FAAH|2166	203.8161
FABP3|2170	29.7619	FABP3|2170	160.8846
lowly_expressed	lowly_expressed	FABP4|2167	81925.412
FABP5|2171	25.2101	FABP5|2171	523.8508
FABP6|2172	96.2885	lowly_expressed	lowly_expressed
FADD|8772	2552.8711	FADD|8772	430.1821
FADS1|3992	2277.9307	FADS1|3992	508.673
FADS2|9415	5685.6548	FADS2|9415	484.3886
FADS3|3995	277.6611	FADS3|3995	2417.1726
FAF1|11124	932.423	FAF1|11124	797.9185
FAF2|23197	1651.6106	FAF2|23197	1317.4328
FAHD1|81889	520.6478	FAHD1|81889	366.4354
FAHD2A|51011	126.7507	FAHD2A|51011	612.3157
FAHD2B|151313	94.88799999999999	FAHD2B|151313	145.2732
FAH|2184	417.0168	FAH|2184	4454.4666
FAIM2|23017	36.7647	FAIM2|23017	57.6756
FAIM3|9214	832.507	FAIM3|9214	168.4172
FAIM|55179	230.042	FAIM|55179	373.3738
FAM100A|124402	288.1653	FAM100A|124402	213.3565
FAM100B|283991	433.8235	FAM100B|283991	514.3105
FAM101A|144347	8.4034	lowly_expressed	lowly_expressed
FAM101B|359845	92.7871	FAM101B|359845	828.2741
FAM102A|399665	2753.5014	FAM102A|399665	696.0104
FAM102B|284611	1764.7059	FAM102B|284611	661.3183
FAM103A1|83640	283.6134	FAM103A1|83640	153.5126
FAM104A|84923	2040.8473	FAM104A|84923	754.7615
FAM104B|90736	236.6947	FAM104B|90736	192.5412
FAM105A|54491	78.7815	FAM105A|54491	208.1526
FAM105B|90268	585.0840000000001	FAM105B|90268	480.4857
lowly_expressed	lowly_expressed	FAM106A|80039	9.5403
lowly_expressed	lowly_expressed	FAM106C|100129396	7.3721
FAM107A|11170	19.2577	FAM107A|11170	3078.4909
FAM107B|83641	2316.8768	FAM107B|83641	3859.0633
FAM108A1|81926	243.3473	FAM108A1|81926	335.6461
FAM108B1|51104	251.4006	FAM108B1|51104	254.987
FAM108C1|58489	890.7563	FAM108C1|58489	61.1448
FAM109A|144717	369.3978	FAM109A|144717	282.7407
FAM109B|150368	360.6443	FAM109B|150368	331.7433
FAM10A4|145165	313.7255	FAM10A4|145165	424.5447
FAM110A|83541	473.0392	FAM110A|83541	110.5811
FAM110B|90362	947.1289	FAM110B|90362	267.5629
FAM111A|63901	964.9860000000001	FAM111A|63901	558.9766
FAM111B|374393	875.3501	FAM111B|374393	19.948
FAM113A|64773	475.4902	FAM113A|64773	379.4449
FAM113B|91523	175.07	FAM113B|91523	137.4675
FAM114A1|92689	625.0	FAM114A1|92689	1335.2125
FAM114A2|10827	440.4762	FAM114A2|10827	513.0095
FAM115A|9747	632.3529	FAM115A|9747	1076.7563
FAM115C|285966	143.1092	FAM115C|285966	168.209
FAM116A|201627	1034.3137	FAM116A|201627	640.503
FAM116B|414918	156.8627	FAM116B|414918	78.4909
FAM117A|81558	256.3025	FAM117A|81558	456.6349
FAM117B|150864	695.028	FAM117B|150864	303.1223
FAM118A|55007	379.5518	FAM118A|55007	369.9046
FAM118B|79607	204.8319	FAM118B|79607	404.1631
FAM119A|151194	186.6246	FAM119A|151194	163.9202
FAM119B|25895	133.7535	FAM119B|25895	258.8899
FAM120AOS|158293	1791.194	FAM120AOS|158293	1378.4085
FAM120A|23196	7510.9769	FAM120A|23196	3859.6661
FAM120B|84498	670.5182	FAM120B|84498	964.8742
FAM120C|54954	310.2241	FAM120C|54954	497.8317
FAM122A|116224	629.2017	FAM122A|116224	762.7927
FAM122B|159090	1288.8655	FAM122B|159090	463.1396
FAM122C|159091	18.5574	FAM122C|159091	28.1873
FAM123B|139285	375.0	FAM123B|139285	279.2715
FAM124A|220108	8.7535	FAM124A|220108	133.131
FAM124B|79843	20.3081	FAM124B|79843	286.2099
FAM125A|93343	617.6471	FAM125A|93343	489.1587
FAM125B|89853	362.7451	FAM125B|89853	460.1041
FAM126A|84668	133.7535	FAM126A|84668	850.8239
FAM126B|285172	717.7871	FAM126B|285172	628.3608
FAM127A|8933	870.0980000000001	FAM127A|8933	2825.6722
FAM127B|26071	699.93	FAM127B|26071	772.3330000000001
FAM127C|441518	343.1373	FAM127C|441518	407.1986
FAM128A|653784	641.1064	FAM128A|653784	202.0815
FAM128B|80097	1403.0112	FAM128B|80097	548.1353
FAM129A|116496	211.1345	FAM129A|116496	1784.0416
FAM129B|64855	3171.5686	FAM129B|64855	1993.0616
FAM131A|131408	262.605	FAM131A|131408	320.4683
FAM131B|9715	70.028	FAM131B|9715	34.2585
FAM133B|257415	128.8515	FAM133B|257415	66.3487
FAM134A|79137	2882.7031	FAM134A|79137	2380.7459
FAM134B|54463	804.972	FAM134B|54463	599.3062
FAM134C|162427	1828.4314	FAM134C|162427	1648.7424
FAM135A|57579	116.5966	FAM135A|57579	366.869
lowly_expressed	lowly_expressed	FAM135B|51059	8.2394
FAM136A|84908	712.535	FAM136A|84908	442.75800000000004
FAM13AOS|285512	15.1856	FAM13AOS|285512	58.2177
FAM13A|10144	184.7444	FAM13A|10144	4006.3964
FAM13B|51306	941.5021	FAM13B|51306	1078.3651
FAM13C|220965	31.5301	FAM13C|220965	527.1032
lowly_expressed	lowly_expressed	FAM149A|25854	512.5759
FAM149B1|317662	544.8179	FAM149B1|317662	627.9271
lowly_expressed	lowly_expressed	FAM150B|285016	22.1162
FAM151B|167555	36.0644	FAM151B|167555	30.7892
lowly_expressed	lowly_expressed	FAM153A|285596	9.5403
FAM154B|283726	32.9132	lowly_expressed	lowly_expressed
FAM155A|728215	28.3613	FAM155A|728215	45.5334
lowly_expressed	lowly_expressed	FAM155B|27112	49.0026
FAM156A|29057	412.8151	FAM156A|29057	789.2454
lowly_expressed	lowly_expressed	FAM157A|728262	10.4076
FAM158A|51016	176.4706	FAM158A|51016	71.1188
FAM160A1|729830	370.4482	FAM160A1|729830	6.5048
FAM160A2|84067	561.2745	FAM160A2|84067	752.3851
FAM160B1|57700	727.591	FAM160B1|57700	1405.0304
FAM160B2|64760	1074.2297	FAM160B2|64760	1136.6002
FAM161A|84140	258.0532	FAM161A|84140	72.8534
FAM161B|145483	123.3754	FAM161B|145483	147.7363
FAM162A|26355	369.7479	FAM162A|26355	553.3391
lowly_expressed	lowly_expressed	FAM162B|221303	55.941
FAM164A|51101	291.6667	FAM164A|51101	216.8257
FAM164C|79696	50.07	FAM164C|79696	12.5759
FAM165B|54065	204.8319	FAM165B|54065	275.3686
lowly_expressed	lowly_expressed	FAM166B|730112	13.8768
FAM167A|83648	5.9524	lowly_expressed	lowly_expressed
FAM167B|84734	22.0588	FAM167B|84734	75.4553
FAM168A|23201	673.6695	FAM168A|23201	374.6748
FAM168B|130074	2221.2885	FAM168B|130074	4126.6262
FAM169A|26049	51.8207	FAM169A|26049	29.9219
FAM171A1|221061	70.028	FAM171A1|221061	1271.8994
FAM171A2|284069	38.8655	FAM171A2|284069	63.7467
FAM171B|165215	338.9356	FAM171B|165215	198.6123
FAM172A|83989	358.8936	FAM172A|83989	798.3521
FAM173A|65990	91.7367	FAM173A|65990	68.9506
FAM173B|134145	150.2101	FAM173B|134145	361.6652
FAM174A|345757	247.549	FAM174A|345757	212.4892
FAM174B|400451	714.2857	FAM174B|400451	130.9627
FAM175A|84142	533.2213	FAM175A|84142	329.7355
FAM175B|23172	564.0756	FAM175B|23172	516.0451
FAM176A|84141	45.8683	FAM176A|84141	13.0095
FAM176B|55194	137.6155	FAM176B|55194	88.1006
FAM177A1|283635	758.4034	FAM177A1|283635	915.0043
FAM178A|55719	1817.5770000000002	FAM178A|55719	881.1795
FAM178B|51252	22.0588	FAM178B|51252	58.5429
lowly_expressed	lowly_expressed	FAM179A|165186	6.5048
FAM179B|23116	664.5658	FAM179B|23116	613.6167
FAM180A|389558	24.5098	FAM180A|389558	107.1119
lowly_expressed	lowly_expressed	FAM180B|399888	230.2689
lowly_expressed	lowly_expressed	FAM181B|220382	5.6375
lowly_expressed	lowly_expressed	FAM182B|728882	8.2394
FAM184A|79632	139.0056	FAM184A|79632	217.69299999999998
FAM184B|27146	11.1835	lowly_expressed	lowly_expressed
FAM185A|222234	86.4846	FAM185A|222234	102.3417
FAM186B|84070	11.2045	FAM186B|84070	9.5403
FAM188A|80013	317.577	FAM188A|80013	534.2585
FAM188B|84182	23.1092	FAM188B|84182	284.7138
FAM189A1|23359	7.0028	FAM189A1|23359	16.4788
FAM189A2|9413	598.0392	FAM189A2|9413	93.6687
FAM189B|10712	725.8403	FAM189B|10712	446.6609
FAM18A|780776	6.1134	FAM18A|780776	10.7069
FAM18B2|201158	63.3754	FAM18B2|201158	129.8395
FAM18B|51030	223.0392	FAM18B|51030	653.5126
FAM190A|401145	274.1597	FAM190A|401145	58.1093
FAM190B|54462	1346.6387	FAM190B|54462	2212.0555
FAM192A|80011	1308.1232	FAM192A|80011	1127.9271
FAM193A|8603	946.4286	FAM193A|8603	800.0867
FAM193B|54540	558.1232	FAM193B|54540	640.0694
FAM195A|84331	250.7003	FAM195A|84331	146.1405
FAM195B|348262	1141.1064	FAM195B|348262	1292.7147
FAM196A|642938	146.7087	lowly_expressed	lowly_expressed
FAM196B|100131897	37.8151	lowly_expressed	lowly_expressed
FAM198A|729085	166.6667	FAM198A|729085	141.804
FAM198B|51313	1687.3249	FAM198B|51313	4236.34
FAM199X|139231	1163.1653	FAM199X|139231	537.7277
FAM19A2|338811	45.1681	FAM19A2|338811	18.2134
FAM19A5|25817	52.521	FAM19A5|25817	10.4076
FAM200A|221786	329.1317	FAM200A|221786	102.7754
FAM200B|285550	279.4118	FAM200B|285550	508.673
FAM20A|54757	103.9916	FAM20A|54757	275.3686
FAM20B|9917	2971.2885	FAM20B|9917	2660.4509999999996
FAM20C|56975	436.2745	FAM20C|56975	1267.5629
FAM21A|387680	438.3754	FAM21A|387680	434.5186
FAM21B|55747	346.2885	FAM21B|55747	883.7814
FAM21C|253725	1148.1092	FAM21C|253725	1895.0564
FAM22A|728118	73.1793	FAM22A|728118	35.9931
FAM22D|728130	115.8964	FAM22D|728130	75.889
FAM23A|653567	7.3529	FAM23A|653567	20.3816
FAM24B|196792	26.4111	FAM24B|196792	5.1865
FAM25A|643161	5.2521	lowly_expressed	lowly_expressed
FAM26E|254228	71.4286	FAM26E|254228	499.1327
FAM26F|441168	42.0168	FAM26F|441168	25.5854
FAM27A|548321	8.7535	lowly_expressed	lowly_expressed
FAM27C|100132948	7.3529	lowly_expressed	lowly_expressed
FAM32A|26017	1475.1401	FAM32A|26017	1586.2966
FAM35A|54537	1387.605	FAM35A|54537	793.582
FAM35B2|439965	106.4426	FAM35B2|439965	58.5429
FAM35B|414241	391.4566	FAM35B|414241	245.8803
FAM36A|116228	1175.3957	FAM36A|116228	465.6028
FAM38A|9780	2739.7759	FAM38A|9780	5129.7615
FAM38B|63895	2178.9216	FAM38B|63895	157.8491
FAM3A|60343	550.07	FAM3A|60343	584.562
lowly_expressed	lowly_expressed	FAM3B|54097	25.5854
FAM3C|10447	928.2213	FAM3C|10447	673.0269
FAM40A|85369	348.3894	FAM40A|85369	810.928
FAM40B|57464	39.5658	FAM40B|57464	5.2038
FAM41C|284593	7.3529	FAM41C|284593	14.7441
FAM43A|131583	41.6667	FAM43A|131583	504.7702
lowly_expressed	lowly_expressed	FAM43B|163933	45.5334
FAM45A|404636	365.1961	FAM45A|404636	615.3513
FAM45B|55855	215.3361	FAM45B|55855	339.54900000000004
FAM46A|55603	803.9216	FAM46A|55603	614.0503
FAM46B|115572	106.0924	FAM46B|115572	15.6114
FAM46C|54855	1068.6275	FAM46C|54855	131.3964
FAM47E|100129583	139.3067	FAM47E|100129583	143.9159
FAM48A|55578	393.0112	FAM48A|55578	642.5282
FAM49A|81553	31.1625	FAM49A|81553	258.4562
FAM49B|51571	1225.4902	FAM49B|51571	987.8578
FAM50A|9130	881.6527	FAM50A|9130	1219.4276
FAM50B|26240	198.8796	FAM50B|26240	188.2047
FAM53A|152877	37.8151	FAM53A|152877	16.9124
FAM53B|9679	1055.1751	FAM53B|9679	1327.8491
FAM53C|51307	1138.3053	FAM53C|51307	1181.6956
FAM54A|113115	156.5126	FAM54A|113115	6.5048
FAM54B|56181	553.6975	FAM54B|56181	1443.5516
FAM55C|91775	947.1289	FAM55C|91775	693.4085
FAM57A|79850	231.0924	FAM57A|79850	147.0078
FAM57B|83723	100.04899999999999	lowly_expressed	lowly_expressed
FAM58A|92002	205.5322	FAM58A|92002	241.5438
FAM59A|64762	128.1513	FAM59A|64762	324.3712
FAM5B|57795	125.0	FAM5B|57795	10.8413
FAM60A|58516	1267.8571	FAM60A|58516	181.2663
FAM63A|55793	689.7759	FAM63A|55793	767.5629
FAM63B|54629	293.7675	FAM63B|54629	393.3218
FAM64A|54478	157.9132	lowly_expressed	lowly_expressed
FAM65A|79567	1066.5266	FAM65A|79567	2477.8838
FAM65B|9750	92.43700000000001	FAM65B|9750	160.451
FAM65C|140876	96.6387	FAM65C|140876	196.0104
FAM66C|440078	9.4538	FAM66C|440078	12.5759
lowly_expressed	lowly_expressed	FAM66D|100132923	5.2038
FAM69A|388650	247.549	FAM69A|388650	1093.6687
FAM69B|138311	164.3662	FAM69B|138311	343.8031
lowly_expressed	lowly_expressed	FAM69C|125704	11.2749
FAM70A|55026	23.4594	FAM70A|55026	37.294000000000004
lowly_expressed	lowly_expressed	FAM70B|348013	49.4363
FAM71D|161142	22.0588	FAM71D|161142	6.5048
FAM71E1|112703	58.2283	FAM71E1|112703	7.3938
FAM71F2|346653	14.7059	lowly_expressed	lowly_expressed
FAM72A|729533	120.098	FAM72A|729533	7.8057
FAM72B|653820	403.3613	FAM72B|653820	33.8248
FAM72D|728833	196.4286	FAM72D|728833	16.0451
FAM73A|374986	446.4286	FAM73A|374986	737.6409
FAM73B|84895	348.0392	FAM73B|84895	482.2203
FAM76A|199870	186.6246	FAM76A|199870	300.0867
FAM76B|143684	364.4958	FAM76B|143684	201.2142
FAM78A|286336	76.3305	FAM78A|286336	151.778
FAM78B|149297	23.4594	FAM78B|149297	29.9219
lowly_expressed	lowly_expressed	FAM7A3|89837	9.5403
FAM81A|145773	47.619	FAM81A|145773	6.5048
FAM82A1|151393	35.7143	FAM82A1|151393	127.0598
FAM82A2|55177	742.9972	FAM82A2|55177	1246.7476
FAM82B|51115	1241.9468	FAM82B|51115	1571.5525
FAM83A|84985	7.3529	lowly_expressed	lowly_expressed
FAM83B|222584	274.8599	lowly_expressed	lowly_expressed
FAM83D|81610	1084.7339	FAM83D|81610	19.948
FAM83E|54854	31.5126	lowly_expressed	lowly_expressed
FAM83F|113828	142.1569	FAM83F|113828	41.1969
FAM83G|644815	96.1099	FAM83G|644815	60.2775
FAM83H|286077	2989.1457	FAM83H|286077	152.6453
FAM84A|151354	480.7423	FAM84A|151354	39.8959
FAM84B|157638	4491.2465	FAM84B|157638	730.7025
FAM86A|196483	350.0455	FAM86A|196483	193.63400000000001
FAM86B1|85002	97.6891	FAM86B1|85002	41.1969
lowly_expressed	lowly_expressed	FAM86B2|653333	7.3721
FAM86C|55199	382.7031	FAM86C|55199	118.3868
FAM86D|692099	85.4342	FAM86D|692099	139.2021
FAM89A|375061	20.3081	FAM89A|375061	1132.6973
FAM89B|23625	985.6443	FAM89B|23625	905.4639999999999
FAM8A1|51439	1227.5910000000001	FAM8A1|51439	1647.8751
FAM90A1|55138	8.7535	FAM90A1|55138	8.673
FAM91A1|157769	2722.6891	FAM91A1|157769	776.6696
FAM92A1|137392	42.0168	FAM92A1|137392	287.0772
FAM95B1|100133036	12.605	FAM95B1|100133036	13.4432
FAM96A|84191	865.5462	FAM96A|84191	309.6271
FAM96B|51647	457.2829	FAM96B|51647	484.8222
FAM98A|25940	703.4314	FAM98A|25940	1387.6843
FAM98B|283742	406.5126	FAM98B|283742	349.0893
FAM98C|147965	178.9216	FAM98C|147965	138.3348
FANCA|2175	801.6842	FANCA|2175	21.9644
FANCB|2187	84.3838	FANCB|2187	13.0095
FANCC|2176	571.7787	FANCC|2176	147.8751
FANCD2|2177	1093.8375	FANCD2|2177	60.2775
FANCE|2178	171.5686	FANCE|2178	157.4154
FANCF|2188	683.4734	FANCF|2188	136.1665
FANCG|2189	566.1765	FANCG|2189	177.7971
FANCI|55215	1944.2402	FANCI|55215	220.49
FANCL|55120	264.3137	FANCL|55120	157.1596
FANCM|57697	321.0784	FANCM|57697	159.15
FANK1|92565	126.4006	FANK1|92565	22.5499
FAP|2191	762.2549	FAP|2191	496.0971
FAR1|84188	2218.4874	FAR1|84188	1342.5846
FAR2|55711	600.077	FAR2|55711	199.4232
FARP1|10160	1391.8067	FARP1|10160	844.3192
FARP2|9855	405.4622	FARP2|9855	379.4449
FARS2|10667	209.7339	FARS2|10667	202.5152
FARSA|2193	1384.4538	FARSA|2193	560.7112
FARSB|10056	1087.535	FARSB|10056	667.3894
FASLG|356	9.1036	FASLG|356	8.673
FASN|2194	11574.5798	FASN|2194	20249.7832
FASTKD1|79675	240.5462	FASTKD1|79675	227.2333
FASTKD2|22868	841.3866	FASTKD2|22868	882.9141
FASTKD3|79072	175.4202	FASTKD3|79072	100.6071
FASTKD5|60493	534.3137	FASTKD5|60493	314.8309
