gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
ACAD8|27034	264.7059	ACAD8|27034	475.7155
ACAD9|28976	565.4762	ACAD9|28976	1603.2047
lowly_expressed	lowly_expressed	ACADL|33	726.366
ACADM|34	665.6162	ACADM|34	1722.4631
ACADSB|36	2231.4426	ACADSB|36	1145.2732
ACADS|35	283.9636	ACADS|35	1641.804
ACADVL|37	1697.1289	ACADVL|37	9378.9766
ACAN|176	19.2577	lowly_expressed	lowly_expressed
ACAP1|9744	68.9776	ACAP1|9744	30.3556
ACAP2|23527	976.5406	ACAP2|23527	1650.477
ACAP3|116983	372.549	ACAP3|116983	471.379
ACAT1|38	786.7647	ACAT1|38	3238.0746
ACAT2|39	651.1064	ACAT2|39	269.974
ACBD3|64746	2662.8151	ACBD3|64746	1305.2905
ACBD4|79777	120.7983	ACBD4|79777	375.5421
ACBD5|91452	1359.2437	ACBD5|91452	1059.8439
ACBD6|84320	489.1457	ACBD6|84320	296.6175
ACBD7|414149	134.1036	lowly_expressed	lowly_expressed
ACCN1|40	72.8291	lowly_expressed	lowly_expressed
ACCN2|41	109.2437	ACCN2|41	99.3062
ACCN3|9311	56.7227	lowly_expressed	lowly_expressed
ACCS|84680	214.986	ACCS|84680	347.3547
ACD|65057	439.0756	ACD|65057	239.3755
lowly_expressed	lowly_expressed	ACE2|59272	27.32
ACER2|340485	172.619	ACER2|340485	338.6817
ACER3|55331	747.1989	ACER3|55331	1211.1882
ACE|1636	177.8711	ACE|1636	1084.562
lowly_expressed	lowly_expressed	ACHE|43	12.5759
ACIN1|22985	2658.9636	ACIN1|22985	2715.0911
ACLY|47	2894.6078	ACLY|47	3176.0624
ACMSD|130013	81.5826	lowly_expressed	lowly_expressed
ACN9|57001	203.7815	ACN9|57001	108.4128
ACO1|48	642.1569	ACO1|48	11919.7745
ACO2|50	2430.8333	ACO2|50	4176.1015
ACOT11|26027	82.9832	ACOT11|26027	26.5091
ACOT13|55856	658.687	ACOT13|55856	713.9939
ACOT1|641371	468.8375	ACOT1|641371	2348.222
ACOT2|10965	339.6359	ACOT2|10965	1342.5846
ACOT4|122970	380.9524	ACOT4|122970	232.4371
ACOT6|641372	5.9524	ACOT6|641372	19.5143
ACOT7|11332	377.8011	ACOT7|11332	196.4441
ACOT8|10005	291.9853	ACOT8|10005	230.3599
ACOT9|23597	175.4202	ACOT9|23597	637.4675
ACOX1|51	607.493	ACOX1|51	4598.8725
ACOX2|8309	52.521	ACOX2|8309	649.6097
ACOX3|8310	389.7059	ACOX3|8310	433.2177
ACP1|52	1364.8459	ACP1|52	904.1631
ACP2|53	574.93	ACP2|53	1042.4978
ACP5|54	498.9496	ACP5|54	1032.9575
ACP6|51205	112.395	ACP6|51205	188.2047
ACPL2|92370	492.2969	ACPL2|92370	253.2524
ACPP|55	16.8067	ACPP|55	10.8413
ACRBP|84519	64.7759	ACRBP|84519	31.6565
ACRC|93953	22.409	ACRC|93953	45.5334
lowly_expressed	lowly_expressed	ACR|49	9.1067
lowly_expressed	lowly_expressed	ACSBG1|23205	10.4076
ACSF2|80221	994.0476	ACSF2|80221	1083.6947
ACSF3|197322	226.8908	ACSF3|197322	297.9185
ACSL1|2180	1627.1008	ACSL1|2180	37237.6409
ACSL3|2181	3522.7591	ACSL3|2181	1937.9879
ACSL4|2182	316.5266	ACSL4|2182	2708.5863
ACSL5|51703	424.0196	ACSL5|51703	1078.0572
ACSL6|23305	10.5042	lowly_expressed	lowly_expressed
ACSM1|116285	13.6555	lowly_expressed	lowly_expressed
ACSM3|6296	36.9048	ACSM3|6296	10.4857
ACSM5|54988	7.7031	ACSM5|54988	1325.2385
ACSS1|84532	480.7423	ACSS1|84532	409.3669
ACSS2|55902	557.423	ACSS2|55902	5777.5369
ACSS3|79611	632.7031	ACSS3|79611	1260.6245
ACTA2|59	1592.8291	ACTA2|59	2715.6895
ACTB|60	52212.535	ACTB|60	62104.9436
ACTG1|71	79343.4874	ACTG1|71	33522.1162
ACTG2|72	16.1064	ACTG2|72	60.2775
ACTL6A|86	1375.3501	ACTL6A|86	526.0191
ACTN1|87	4832.2829	ACTN1|87	5851.6912
ACTN2|88	58.8235	lowly_expressed	lowly_expressed
ACTN4|81	7268.1127	ACTN4|81	8309.6964
ACTR10|55860	972.3389	ACTR10|55860	1056.8083
ACTR1A|10121	2371.8487	ACTR1A|10121	3567.216
ACTR1B|10120	1078.7815	ACTR1B|10120	1513.4432
ACTR2|10097	5914.2157	ACTR2|10097	5500.8673
ACTR3B|57180	221.2885	ACTR3B|57180	67.216
ACTR3C|653857	22.0588	ACTR3C|653857	8.673
ACTR3|10096	3038.5154	ACTR3|10096	2549.4363
ACTR5|79913	229.3417	ACTR5|79913	118.8205
ACTR6|64431	765.7563	ACTR6|64431	369.0373
ACTR8|93973	443.9776	ACTR8|93973	472.68
ACVR1B|91	1283.2633	ACVR1B|91	810.0607
ACVR1C|130399	10.1541	ACVR1C|130399	3782.7407
ACVR1|90	731.4426	ACVR1|90	1094.9696
ACVR2A|92	191.1765	ACVR2A|92	431.0494
ACVR2B|93	797.619	ACVR2B|93	273.2003
ACVRL1|94	157.2129	ACVRL1|94	1930.6158
ACY1|95	614.4713	ACY1|95	622.7233
ACYP1|97	64.0756	ACYP1|97	49.4363
ACYP2|98	40.2661	ACYP2|98	227.2333
lowly_expressed	lowly_expressed	ADAD2|161931	11.6132
ADAL|161823	213.2353	ADAL|161823	266.6956
ADAM10|102	2008.7535	ADAM10|102	1247.6149
ADAM11|4185	9.8039	ADAM11|4185	8.2394
ADAM12|8038	779.7619	ADAM12|8038	2016.0451
ADAM15|8751	2320.4272	ADAM15|8751	4272.0252
ADAM17|6868	726.8908	ADAM17|6868	683.4345
ADAM19|8728	484.944	ADAM19|8728	191.2402
ADAM22|53616	61.2745	ADAM22|53616	280.5724
ADAM23|8745	12.605	ADAM23|8745	55.5074
ADAM28|10863	65.1261	ADAM28|10863	31.2229
ADAM29|11086	7.7031	lowly_expressed	lowly_expressed
ADAM32|203102	16.4566	ADAM32|203102	39.8959
ADAM33|80332	35.014	ADAM33|80332	677.9575
ADAM6|8755	3779.5903	ADAM6|8755	670.5898
ADAM8|101	172.2689	ADAM8|101	39.4623
ADAM9|8754	1978.2913	ADAM9|8754	2656.9818
ADAMDEC1|27299	304.6218	ADAMDEC1|27299	10.4076
ADAMTS10|81794	38.5154	ADAMTS10|81794	578.9245
ADAMTS12|81792	324.93	ADAMTS12|81792	769.7311
ADAMTS13|11093	86.1345	ADAMTS13|11093	40.3296
ADAMTS14|140766	157.563	ADAMTS14|140766	8.673
ADAMTS15|170689	538.1653	ADAMTS15|170689	511.2749
ADAMTS16|170690	8.7535	ADAMTS16|170690	225.9324
ADAMTS17|170691	7.3529	ADAMTS17|170691	29.9219
ADAMTS18|170692	11.5546	ADAMTS18|170692	432.3504
ADAMTS1|9510	844.1877	ADAMTS1|9510	12690.3729
ADAMTS2|9509	315.8263	ADAMTS2|9509	1135.7329
ADAMTS3|9508	9.1036	ADAMTS3|9508	244.5794
ADAMTS4|9507	253.1513	ADAMTS4|9507	1551.6045
ADAMTS5|11096	29.4118	ADAMTS5|11096	2761.9254
ADAMTS6|11174	71.0784	ADAMTS6|11174	48.569
ADAMTS7|11173	75.2801	ADAMTS7|11173	343.4519
lowly_expressed	lowly_expressed	ADAMTS8|11095	6.5048
ADAMTS9|56999	108.5434	ADAMTS9|56999	1464.0069
ADAMTSL1|92949	258.0532	ADAMTSL1|92949	322.6366
ADAMTSL2|9719	42.7171	ADAMTSL2|9719	141.3703
ADAMTSL3|57188	186.6246	ADAMTSL3|57188	760.1908
ADAMTSL4|54507	74.2297	ADAMTSL4|54507	2016.4788
ADAMTSL5|339366	9.1036	ADAMTSL5|339366	11.2749
ADAP1|11033	61.7577	ADAP1|11033	102.2463
ADAP2|55803	187.3249	ADAP2|55803	357.7624
ADARB1|104	315.4762	ADARB1|104	915.8716
ADARB2|105	10.8543	ADARB2|105	12.5759
ADAR|103	18380.9524	ADAR|103	5496.9644
ADAT1|23536	585.4342	ADAT1|23536	284.4753
ADAT2|134637	99.4398	ADAT2|134637	91.0668
lowly_expressed	lowly_expressed	ADAT3|113179	8.673
ADA|100	104.3417	ADA|100	219.4276
ADCK1|57143	146.3585	ADCK1|57143	231.1362
ADCK2|90956	758.0532	ADCK2|90956	548.1353
ADCK4|79934	509.8039	ADCK4|79934	495.6635
ADCK5|203054	222.6891	ADCK5|203054	66.7823
ADCY10|55811	9.1036	lowly_expressed	lowly_expressed
ADCY1|107	3508.0532	ADCY1|107	239.8092
lowly_expressed	lowly_expressed	ADCY2|108	73.7207
ADCY3|109	942.7381	ADCY3|109	1996.4831
ADCY4|196883	50.4202	ADCY4|196883	1336.0798
lowly_expressed	lowly_expressed	ADCY5|111	1068.9506
ADCY6|112	2418.0672	ADCY6|112	6579.7918
ADCY7|113	607.1429	ADCY7|113	1248.4822
ADCY9|115	1121.1485	ADCY9|115	807.0252
lowly_expressed	lowly_expressed	ADCYAP1R1|117	138.3348
lowly_expressed	lowly_expressed	ADCYAP1|116	9.974
ADC|113451	177.521	ADC|113451	83.2611
ADD1|118	4581.5826	ADD1|118	8843.8855
ADD2|119	12.9552	ADD2|119	83.2611
ADD3|120	1316.1765	ADD3|120	3437.5542
lowly_expressed	lowly_expressed	ADH1A|124	569.8179
lowly_expressed	lowly_expressed	ADH1B|125	71247.6149
ADH1C|126	38.1653	ADH1C|126	613.6167
lowly_expressed	lowly_expressed	ADH4|127	10.8413
ADH5|128	1581.9328	ADH5|128	4434.9523
ADHFE1|137872	29.0616	ADHFE1|137872	598.0052
ADI1|55256	809.5238	ADI1|55256	2439.2888
lowly_expressed	lowly_expressed	ADIPOQ|9370	117839.9827
ADIPOR1|51094	4598.0392	ADIPOR1|51094	2254.987
ADIPOR2|79602	6976.5406	ADIPOR2|79602	4921.9428
ADK|132	467.0868	ADK|132	345.1865
ADM2|79924	271.0084	ADM2|79924	13.8768
ADM|133	116.9468	ADM|133	1702.9488
ADNP2|22850	1641.1064	ADNP2|22850	529.9219
ADNP|23394	4854.3417	ADNP|23394	1895.0564
ADORA1|134	208.3333	ADORA1|134	305.7242
ADORA2A|135	1168.4139	ADORA2A|135	73.7207
ADORA2B|136	32.2129	ADORA2B|136	34.6921
ADORA3|140	57.423	ADORA3|140	55.0737
ADO|84890	656.1625	ADO|84890	550.7372
ADPGK|83440	702.6015	ADPGK|83440	672.732
ADPRHL1|113622	43.0672	ADPRHL1|113622	54.6401
ADPRHL2|54936	526.2605	ADPRHL2|54936	477.8838
