gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ACAD10|80724	700.3198	ACAD10|80724	520.5819
ACAD11|84129	482.4121	ACAD11|84129	523.745
ACAD8|27034	324.349	ACAD8|27034	744.9706
ACAD9|28976	1279.5751	ACAD9|28976	774.7787
lowly_expressed	lowly_expressed	ACADL|33	209.8422
ACADM|34	808.5884	ACADM|34	1255.6484
ACADSB|36	1940.1553	ACADSB|36	4123.4912
ACADS|35	170.3974	ACADS|35	480.0371
ACADVL|37	3658.2229	ACADVL|37	4944.528
ACAN|176	30.1508	ACAN|176	10.8326
ACAP1|9744	454.5455	ACAP1|9744	79.8514
ACAP2|23527	1502.5126	ACAP2|23527	1755.4937
ACAP3|116983	1088.2595	ACAP3|116983	393.7604
ACAT1|38	840.1096	ACAT1|38	1008.3565
ACAT2|39	527.0123	ACAT2|39	421.3154
ACBD3|64746	1732.2979	ACBD3|64746	1442.5874
ACBD4|79777	238.0082	ACBD4|79777	354.0699
ACBD5|91452	826.8616	ACBD5|91452	688.3318
ACBD6|84320	376.8844	ACBD6|84320	311.6682
ACBD7|414149	71.7222	ACBD7|414149	23.2126
ACCN2|41	108.2686	ACCN2|41	203.9616
ACCN3|9311	64.413	ACCN3|9311	8.666
ACCS|84680	129.7396	ACCS|84680	472.2996
ACD|65057	278.2092	ACD|65057	341.9994
lowly_expressed	lowly_expressed	ACE2|59272	26.3076
ACER2|340485	216.9941	ACER2|340485	249.4584
ACER3|55331	243.4902	ACER3|55331	304.5497
ACE|1636	589.767	ACE|1636	446.9205
ACHE|43	89.0818	ACHE|43	56.0198
ACIN1|22985	2572.8643	ACIN1|22985	3551.2225
ACLY|47	6038.3737	ACLY|47	3690.1888
lowly_expressed	lowly_expressed	ACMSD|130013	10.5231
ACN9|57001	48.8808	ACN9|57001	168.6784
ACO1|48	799.4518	ACO1|48	1048.9013
ACO2|50	3337.9306	ACO2|50	1992.9774
