gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
C12orf65|91574	278.677	C12orf65|91574	205.9061
C12orf66|144577	327.9381	C12orf66|144577	120.1456
C12orf68|387856	13.7227	C12orf68|387856	32.766999999999996
removed	removed	C12orf69|440087	5.6634
C12orf72|254013	84.4476	C12orf72|254013	88.1877
C12orf73|728568	232.2308	C12orf73|728568	82.5243
C12orf75|387882	173.4694	C12orf75|387882	384.7087
C12orf76|400073	68.6137	C12orf76|400073	79.288
C13orf15|28984	187.544	C13orf15|28984	916.2621
C13orf18|80183	15.1302	C13orf18|80183	144.0129
C13orf1|57213	423.6453	C13orf1|57213	250.0
C13orf23|80209	2491.2034	C13orf23|80209	856.3916
removed	removed	C13orf26|122046	26.699
C13orf27|93081	191.4145	C13orf27|93081	106.3916
C13orf29|283487	132.6531	C13orf29|283487	91.8285
C13orf31|144811	335.3272	C13orf31|144811	531.5534
C13orf33|84935	64.0394	C13orf33|84935	1687.2977
C13orf34|79866	326.3863	C13orf34|79866	127.4272
removed	removed	C13orf36|400120	94.2557
C13orf37|440145	1119.6341	C13orf37|440145	262.5405
C14orf101|54916	815.9747	C14orf101|54916	453.47900000000004
C14orf102|55051	257.91700000000003	C14orf102|55051	275.0809
C14orf104|55172	485.2217	C14orf104|55172	181.2298
C14orf106|55320	1033.779	C14orf106|55320	830.0971
C14orf109|26175	124.5602	C14orf109|26175	219.6602
C14orf118|55668	168.8951	C14orf118|55668	316.7476
C14orf119|55017	947.2203	C14orf119|55017	796.1165
C14orf126|112487	408.2512	C14orf126|112487	452.77099999999996
C14orf128|84837	22.8712	C14orf128|84837	81.7152
C14orf129|51527	486.6291	C14orf129|51527	420.712
C14orf132|56967	136.8754	C14orf132|56967	1241.1003
C14orf135|64430	1319.8452	C14orf135|64430	865.2913
C14orf138|79609	106.9669	C14orf138|79609	89.4013
C14orf139|79686	74.2435	C14orf139|79686	2070.7929
C14orf142|84520	134.4124	C14orf142|84520	128.2362
C14orf143|90141	71.0767	C14orf143|90141	60.2751
C14orf145|145508	58.0577	C14orf145|145508	119.3366
C14orf147|171546	670.6545	C14orf147|171546	711.165
C14orf148|122945	5.6298	removed	removed
C14orf149|112849	32.3716	C14orf149|112849	184.0615
C14orf153|84334	153.0753	C14orf153|84334	484.4134
C14orf156|81892	255.4539	C14orf156|81892	342.6375
C14orf159|80017	126.3195	C14orf159|80017	975.3236
C14orf166|51637	2450.3871	C14orf166|51637	2219.2557
C14orf167|55449	803.9444	C14orf167|55449	734.4822
C14orf169|79697	364.1802	C14orf169|79697	171.9256
C14orf174|161394	38.3533	C14orf174|161394	15.7767
C14orf176|643382	8.7966	C14orf176|643382	25.0809
C14orf179|112752	92.5405	C14orf179|112752	172.3301
removed	removed	C14orf180|400258	613.2686
removed	removed	C14orf181|400223	14.1586
removed	removed	C14orf182|283551	7.6861
C14orf1|11161	439.1274	C14orf1|11161	439.7249
C14orf21|161424	330.0493	C14orf21|161424	274.2718
C14orf28|122525	99.5778	C14orf28|122525	229.7735
C14orf2|9556	431.7382	C14orf2|9556	629.4498
C14orf33|100129075	115.7635	C14orf33|100129075	50.9709
C14orf37|145407	88.3181	C14orf37|145407	184.8706
C14orf43|91748	623.1527	C14orf43|91748	1398.0583
C14orf45|80127	110.1478	C14orf45|80127	266.2298
C14orf49|161176	21.8156	C14orf49|161176	832.5243
C14orf4|64207	645.3202	C14orf4|64207	1107.2006
removed	removed	C14orf50|145376	67.5566
removed	removed	C14orf64|388011	58.2524
C14orf79|122616	525.6861	C14orf79|122616	91.4239
C14orf80|283643	88.3181	C14orf80|283643	20.2265
C14orf93|60686	157.9873	C14orf93|60686	154.5307
C15orf17|57184	795.2146	C15orf17|57184	1636.3269
C15orf21|283651	72.836	C15orf21|283651	19.4175
C15orf23|90417	430.6826	C15orf23|90417	179.2071
C15orf24|56851	879.3103	C15orf24|56851	1055.4207
C15orf27|123591	6.3336	C15orf27|123591	8.0906
C15orf28|80035	5.9817	C15orf28|80035	12.1359
C15orf29|79768	340.2533	C15orf29|79768	425.9709
C15orf33|196951	38.0718	C15orf33|196951	13.7864
removed	removed	C15orf34|80072	12.1359
C15orf37|283687	36.2702	C15orf37|283687	29.8786
C15orf38|348110	228.4518	C15orf38|348110	505.3155
C15orf39|56905	459.5355	C15orf39|56905	513.754
C15orf40|123207	119.15899999999999	C15orf40|123207	234.2233
C15orf41|84529	133.7087	C15orf41|84529	135.1133
C15orf42|90381	97.171	C15orf42|90381	24.1909
C15orf44|81556	1568.2618	C15orf44|81556	698.2201
C15orf48|84419	2435.9606	C15orf48|84419	14.9676
removed	removed	C15orf51|196968	12.945
C15orf52|388115	415.2006	C15orf52|388115	373.3819
C15orf57|90416	496.8297	C15orf57|90416	432.1278
C15orf58|390637	86.2069	C15orf58|390637	25.89
C15orf59|388135	52.4279	C15orf59|388135	57.8479
C15orf61|145853	75.65100000000001	C15orf61|145853	72.8155
C15orf62|643338	6.6854	C15orf62|643338	39.644
C15orf63|25764	669.5989	C15orf63|25764	449.0291
C16orf13|84326	245.9536	C16orf13|84326	184.8706
C16orf42|115939	482.7797	C16orf42|115939	418.2322
C16orf45|89927	275.8621	C16orf45|89927	796.9256
C16orf46|123775	47.8536	C16orf46|123775	29.1262
C16orf48|84080	10.2041	C16orf48|84080	137.945
C16orf52|730094	487.3329	C16orf52|730094	451.4563
C16orf53|79447	1723.7016	C16orf53|79447	407.32199999999995
C16orf54|283897	14.4265	C16orf54|283897	76.0518
C16orf55|124045	83.0401	C16orf55|124045	50.1618
C16orf57|79650	503.1668	C16orf57|79650	735.0324
C16orf58|64755	2464.4616	C16orf58|64755	1109.9798
C16orf59|80178	105.5595	removed	removed
C16orf5|29965	70.7248	C16orf5|29965	707.5243
C16orf61|56942	194.3878	C16orf61|56942	214.3042
C16orf62|57020	2273.7509	C16orf62|57020	1576.0518
C16orf63|123811	1740.6756	C16orf63|123811	898.0583
C16orf68|79091	120.3378	C16orf68|79091	145.6311
C16orf70|80262	818.3322	C16orf70|80262	421.7152
C16orf71|146562	28.8529	C16orf71|146562	9.7087
C16orf72|29035	2272.3434	C16orf72|29035	1427.9935
C16orf74|404550	88.3181	C16orf74|404550	25.89
C16orf75|116028	214.6376	C16orf75|116028	36.0032
removed	removed	C16orf79|283870	5.271
C16orf7|9605	74.0887	C16orf7|9605	98.2605
C16orf80|29105	262.1393	C16orf80|29105	338.9968
removed	removed	C16orf86|388284	52.1845
C16orf87|388272	76.0028	C16orf87|388272	97.8964
C16orf88|400506	1305.0669	C16orf88|400506	260.5178
removed	removed	C16orf89|146556	266.1812
C16orf91|283951	180.5067	C16orf91|283951	78.0744
C16orf93|90835	30.2604	C16orf93|90835	8.4951
C17orf100|388327	8.7966	C17orf100|388327	18.2039
C17orf101|79701	319.1414	C17orf101|79701	225.3236
C17orf103|256302	150.2463	C17orf103|256302	1483.8188
C17orf104|284071	47.8536	C17orf104|284071	8.0906
C17orf106|100134934	214.6376	C17orf106|100134934	173.0704
C17orf107|100130311	72.0127	C17orf107|100130311	42.5607
C17orf108|201229	270.936	C17orf108|201229	338.9523
C17orf28|283987	2664.6728	C17orf28|283987	519.4175
C17orf37|84299	1745.2498	C17orf37|84299	381.4725
C17orf39|79018	215.6932	C17orf39|79018	930.0162
C17orf42|79736	235.7495	C17orf42|79736	133.8997
C17orf44|284029	13.3709	C17orf44|284029	55.0162
C17orf46|124783	11.6115	removed	removed
C17orf48|56985	66.1506	C17orf48|56985	158.9806
C17orf49|124944	400.4222	C17orf49|124944	482.8681
C17orf51|339263	57.0021	C17orf51|339263	456.7152
C17orf53|78995	81.2808	C17orf53|78995	31.1489
removed	removed	C17orf55|284185	14.1586
C17orf56|146705	183.3146	C17orf56|146705	173.1351
C17orf57|124989	22.5194	C17orf57|124989	82.1197
C17orf58|284018	393.3849	C17orf58|284018	615.2913
C17orf59|54785	67.5581	C17orf59|54785	159.7896
removed	removed	C17orf60|284021	22.2492
C17orf61|254863	203.6172	C17orf61|254863	407.6294
C17orf62|79415	1207.9521	C17orf62|79415	614.0777
C17orf63|55731	1515.1302	C17orf63|55731	573.2201
C17orf65|339201	319.2189	C17orf65|339201	91.3794
C17orf67|339210	31.316	C17orf67|339210	32.3625
C17orf68|80169	294.5109	C17orf68|80169	612.4595
C17orf69|147081	91.133	C17orf69|147081	40.4531
C17orf70|80233	596.0591	C17orf70|80233	288.0259
C17orf71|55181	1385.9958	C17orf71|55181	474.5146
C17orf72|92340	157.9381	C17orf72|92340	44.5752
C17orf75|64149	583.0401	C17orf75|64149	144.822
C17orf76|388341	22.1675	C17orf76|388341	94.2557
C17orf77|146723	5.9817	removed	removed
C17orf79|55352	685.0809	C17orf79|55352	842.2330000000001
C17orf80|55028	1102.0408	C17orf80|55028	614.0777
C17orf81|23587	241.0274	C17orf81|23587	381.06800000000004
C17orf85|55421	344.4757	C17orf85|55421	704.288
C17orf86|654434	65.7987	C17orf86|654434	49.7573
removed	removed	C17orf87|388325	30.3398
C17orf89|284184	314.5672	C17orf89|284184	197.0065
C17orf90|339229	304.0113	C17orf90|339229	118.12299999999999
C17orf91|84981	52.076	C17orf91|84981	447.0065
C17orf95|124512	538.3533	C17orf95|124512	270.2265
C17orf96|100170841	178.0436	C17orf96|100170841	36.0032
C17orf97|400566	48.9092	C17orf97|400566	91.8285
C18orf10|25941	976.0732	C18orf10|25941	2055.0162
C18orf18|147525	12.3153	C18orf18|147525	59.8706
C18orf19|125228	425.7565	C18orf19|125228	262.5405
C18orf1|753	2518.297	C18orf1|753	1788.4304
C18orf21|83608	191.7664	C18orf21|83608	184.46599999999998
C18orf22|79863	292.3997	C18orf22|79863	316.7476
C18orf25|147339	1223.0823	C18orf25|147339	632.2816
C18orf32|497661	2326.6502	C18orf32|497661	1075.5299
C18orf34|374864	5.278	C18orf34|374864	125.0
C18orf45|85019	510.5559	C18orf45|85019	207.1197
C18orf54|162681	101.3371	C18orf54|162681	163.4304
C18orf55|29090	328.9937	C18orf55|29090	392.7994
C18orf56|494514	13.7227	removed	removed
C18orf8|29919	527.7657	C18orf8|29919	344.9798
C19orf10|56005	1507.741	C19orf10|56005	665.8576
C19orf12|83636	234.6939	C19orf12|83636	2216.8285
C19orf18|147685	28.5011	C19orf18|147685	7.6861
C19orf20|91978	26.7417	C19orf20|91978	22.6537
C19orf21|126353	1800.1407	C19orf21|126353	16.9903
C19orf22|91300	1576.0028	C19orf22|91300	444.9838
C19orf23|148046	19.7044	C19orf23|148046	5.6634
C19orf24|55009	315.9747	C19orf24|55009	177.1845
C19orf25|148223	406.7558	C19orf25|148223	152.5081
C19orf26|255057	9.1485	removed	removed
C19orf28|126321	533.0753	C19orf28|126321	361.6505
C19orf29|58509	428.5714	C19orf29|58509	256.068
C19orf2|8725	1463.7579	C19orf2|8725	1686.0841
C19orf33|64073	89.2153	C19orf33|64073	8.9927
removed	removed	C19orf35|374872	6.877000000000001
C19orf36|113177	5.6298	C19orf36|113177	8.8997
C19orf38|255809	5.278	C19orf38|255809	12.1359
C19orf39|126074	92.5405	C19orf39|126074	26.2945
C19orf40|91442	38.7051	C19orf40|91442	23.8673
C19orf42|79086	2327.2343	C19orf42|79086	1233.8188
C19orf43|79002	1648.487	C19orf43|79002	977.3463
C19orf44|84167	242.8431	C19orf44|84167	174.2961
C19orf45|374877	7.0373	removed	removed
C19orf46|163183	87.2625	C19orf46|163183	15.7767
C19orf47|126526	100.2815	C19orf47|126526	117.3139
C19orf48|84798	192.4701	C19orf48|84798	147.2492
C19orf50|79036	1167.1358	C19orf50|79036	978.9644
C19orf51|352909	5.9817	removed	removed
C19orf52|90580	245.9536	C19orf52|90580	137.5405
C19orf53|28974	752.2871	C19orf53|28974	568.7702
C19orf54|284325	109.7818	C19orf54|284325	169.9029
C19orf55|148137	48.2055	C19orf55|148137	45.3074
C19orf56|51398	1671.7101	C19orf56|51398	1076.0518
C19orf57|79173	15.8339	C19orf57|79173	12.1359
C19orf60|55049	88.3181	C19orf60|55049	140.7767
C19orf61|56006	273.399	C19orf61|56006	372.9773
C19orf62|29086	1380.7178	C19orf62|29086	727.3463
C19orf63|284361	1001.3125	C19orf63|284361	864.4782
C19orf66|55337	214.7748	C19orf66|55337	334.4539
removed	removed	C19orf69|100170765	10.9223
C19orf6|91304	1155.8761	C19orf6|91304	932.4434
C19orf70|125988	427.8677	C19orf70|125988	311.8932
C19orf76|199800	6.6854	C19orf76|199800	37.6214
C1D|10438	281.4919	C1D|10438	139.1586
C1GALT1C1|29071	552.076	C1GALT1C1|29071	664.2395
C1GALT1|56913	279.3807	C1GALT1|56913	313.1068
C1QA|712	248.0647	C1QA|712	4259.7087
C1QBP|708	749.8241	C1QBP|708	930.3439
C1QB|713	280.7882	C1QB|713	4042.0712
C1QC|714	258.6207	C1QC|714	3358.0097
C1QL3|389941	6.3336	removed	removed
C1QTNF1|114897	103.0964	C1QTNF1|114897	3715.6149
removed	removed	C1QTNF2|114898	85.7605
C1QTNF3|114899	65.7987	C1QTNF3|114899	628.6408
C1QTNF4|114900	6.3336	C1QTNF4|114900	6.4725
C1QTNF6|114904	290.9923	C1QTNF6|114904	114.4822
C1QTNF7|114905	30.2604	C1QTNF7|114905	533.9806
removed	removed	C1QTNF9B|387911	53.6408
removed	removed	C1QTNF9|338872	59.8706
C1RL|51279	815.9324	C1RL|51279	1587.2492
C1R|715	864.8839	C1R|715	14965.2104
C1S|716	1989.7959	C1S|716	26074.8382
C1orf101|257044	25.6861	C1orf101|257044	14.1586
C1orf103|55791	1003.1668	C1orf103|55791	400.89
C1orf104|284618	26.0767	C1orf104|284618	50.6675
C1orf106|55765	5139.6904	C1orf106|55765	72.411
C1orf107|27042	2492.6108	C1orf107|27042	639.1586
C1orf109|54955	274.4546	C1orf109|54955	383.0906
C1orf112|55732	503.1809	C1orf112|55732	111.7557
C1orf113|79729	288.3709	C1orf113|79729	36.8285
C1orf114|57821	6.3336	removed	removed
C1orf115|79762	2864.1802	C1orf115|79762	2923.5437
C1orf116|79098	49.9648	C1orf116|79098	394.4175
C1orf122|127687	171.0063	C1orf122|127687	269.4175
C1orf123|54987	755.8058	C1orf123|54987	882.2816
C1orf124|83932	1282.5475	C1orf124|83932	226.9417
C1orf126|200197	65.2674	C1orf126|200197	29.2638
C1orf128|57095	610.1337	C1orf128|57095	1069.9838
C1orf130|400746	9.1485	C1orf130|400746	59.466
C1orf131|128061	958.8318	C1orf131|128061	177.1845
C1orf133|574036	17.2414	C1orf133|574036	60.2751
C1orf135|79000	28.1492	C1orf135|79000	12.945
C1orf144|26099	1679.0992	C1orf144|26099	2535.5987
removed	removed	C1orf150|148823	24.2718
C1orf151|440574	733.2864	C1orf151|440574	1036.4078
C1orf152|767846	15.1302	C1orf152|767846	18.2039
C1orf156|92342	343.772	C1orf156|92342	186.8932
C1orf157|284573	15.8339	removed	removed
C1orf159|54991	134.4124	C1orf159|54991	46.9256
C1orf162|128346	48.5574	C1orf162|128346	323.2201
C1orf163|65260	586.9106	C1orf163|65260	210.356
C1orf168|199920	61.5764	C1orf168|199920	17.7994
C1orf170|84808	17.5932	removed	removed
C1orf172|126695	214.9894	C1orf172|126695	44.9029
C1orf173|127254	4240.6756	C1orf173|127254	34.7896
C1orf174|339448	662.9134	C1orf174|339448	336.9741
removed	removed	C1orf175|374977	18.9644
C1orf182|128229	11.2597	removed	removed
C1orf183|55924	16.5376	C1orf183|55924	174.7573
removed	removed	C1orf186|440712	23.0583
C1orf190|541468	7.2027	C1orf190|541468	77.9328
C1orf192|257177	75.2991	C1orf192|257177	38.4304
C1orf198|84886	3856.4391	C1orf198|84886	4490.6958
C1orf201|90529	166.0802	C1orf201|90529	205.0971
C1orf203|84852	46.4532	C1orf203|84852	50.979
C1orf204|284677	15.9817	C1orf204|284677	33.4304
C1orf210|149466	631.5975	C1orf210|149466	42.0712
C1orf212|113444	534.4828	C1orf212|113444	483.8188
C1orf213|148898	9.905	C1orf213|148898	108.39399999999999
C1orf216|127703	277.6214	C1orf216|127703	539.2395
C1orf21|81563	236.8051	C1orf21|81563	2819.5793
C1orf220|400798	9.5004	C1orf220|400798	6.877000000000001
C1orf226|400793	1020.4082	C1orf226|400793	375.4045
C1orf229|388759	7.7410000000000005	removed	removed
C1orf230|284485	5.278	removed	removed
C1orf25|81627	1415.5524	C1orf25|81627	782.3625
C1orf26|54823	216.7488	C1orf26|54823	275.0809
C1orf27|54953	3015.8339	C1orf27|54953	805.4207
C1orf31|388753	690.7108	C1orf31|388753	157.3625
C1orf35|79169	486.2773	C1orf35|79169	108.4142
C1orf38|9473	35.8902	C1orf38|9473	418.2848
C1orf43|25912	7776.9177	C1orf43|25912	4024.2718
C1orf50|79078	379.3103	C1orf50|79078	144.4175
removed	removed	C1orf51|148523	66.7476
C1orf52|148423	144.6165	C1orf52|148423	283.9806
C1orf53|388722	97.8184	C1orf53|388722	9.7087
C1orf54|79630	43.6312	C1orf54|79630	127.8317
C1orf55|163859	3149.5426	C1orf55|163859	584.1424
C1orf56|54964	333.1633	C1orf56|54964	95.2468
C1orf57|84284	1374.3842	C1orf57|84284	505.6634
C1orf58|148362	3554.0816	C1orf58|148362	550.5421
C1orf59|113802	32.7234	C1orf59|113802	170.71200000000002
C1orf63|57035	187.8958	C1orf63|57035	458.3333
C1orf64|149563	126.3195	C1orf64|149563	33.5761
C1orf65|164127	27.7973	removed	removed
C1orf66|51093	457.4243	C1orf66|51093	262.1359
C1orf69|200205	452.8501	C1orf69|200205	278.3172
C1orf74|148304	287.4736	C1orf74|148304	46.1165
C1orf77|26097	1668.1914	C1orf77|26097	1229.7735
C1orf83|127428	888.8107	C1orf83|127428	350.3236
C1orf84|149469	24.3702	C1orf84|149469	16.0316
C1orf85|112770	719.5637	C1orf85|112770	707.9288
C1orf86|199990	197.2977	C1orf86|199990	115.5461
C1orf87|127795	13.019	removed	removed
C1orf88|128344	95.7072	C1orf88|128344	90.2104
C1orf89|79363	34.1309	C1orf89|79363	31.9579
C1orf91|56063	48.9092	C1orf91|56063	98.2565
C1orf93|127281	1150.5102	C1orf93|127281	418.5639
C1orf95|375057	162.9134	C1orf95|375057	66.7476
C1orf96|126731	1170.6545	C1orf96|126731	370.1456
C1orf97|84791	646.7277	C1orf97|84791	87.3786
C1orf9|51430	11850.1056	C1orf9|51430	1233.4142
C20orf103|24141	269.1766	C20orf103|24141	6.4725
C20orf108|116151	1054.1872	C20orf108|116151	3859.2233
C20orf111|51526	574.9472	C20orf111|51526	798.1392
C20orf112|140688	2008.0929	C20orf112|140688	831.3107
C20orf114|92747	449.6833	C20orf114|92747	25.0809
C20orf117|140710	884.5883	C20orf117|140710	458.7379
removed	removed	C20orf118|140711	39.6157
C20orf11|54994	2550.3167	C20orf11|54994	1354.7735
C20orf12|55184	100.9852	C20orf12|55184	80.5016
C20orf132|140699	7.7410000000000005	C20orf132|140699	70.7929
C20orf134|170487	17.9451	removed	removed
C20orf135|140701	9.1485	C20orf135|140701	28.3172
C20orf151|140893	100.2815	removed	removed
C20orf160|140706	37.6495	C20orf160|140706	246.7638
C20orf177|63939	981.0908	C20orf177|63939	393.2039
C20orf194|25943	515.4821	C20orf194|25943	1899.6764
C20orf196|149840	38.0014	C20orf196|149840	44.4984
C20orf199|441951	1398.6629	C20orf199|441951	994.7411
removed	removed	C20orf200|253868	5.2589
C20orf202|400831	146.3758	C20orf202|400831	8.0906
C20orf20|55257	362.7727	C20orf20|55257	156.1489
C20orf24|55969	1480.3026	C20orf24|55969	832.3382
C20orf26|26074	23.2231	C20orf26|26074	12.1359
C20orf27|54976	413.4412	C20orf27|54976	336.5696
C20orf29|55317	235.7495	C20orf29|55317	145.6311
C20orf30|29058	2674.525	C20orf30|29058	4083.7379
C20orf3|57136	3811.7523	C20orf3|57136	3917.0712
C20orf43|51507	1744.5461	C20orf43|51507	2259.3042
C20orf46|55321	1823.0120000000002	C20orf46|55321	18.6084
C20orf4|25980	1117.8747	C20orf4|25980	918.2848
C20orf54|113278	482.7586	C20orf54|113278	70.7929
C20orf72|92667	380.0141	C20orf72|92667	380.6634
C20orf7|79133	137.5792	C20orf7|79133	143.2039
C20orf94|128710	93.9479	C20orf94|128710	26.2945
C20orf96|140680	146.7277	C20orf96|140680	127.4272
C21orf119|84996	22.5194	C21orf119|84996	36.0032
C21orf122|728039	11.9634	C21orf122|728039	26.2945
removed	removed	C21orf130|284835	7.2816
removed	removed	C21orf15|54094	12.5405
C21orf29|54084	32.7234	removed	removed
C21orf2|755	240.3237	C21orf2|755	225.7282
C21orf33|8209	1539.4089	C21orf33|8209	1843.8511
C21orf34|388815	19.7044	C21orf34|388815	184.0615
C21orf45|54069	397.2555	C21orf45|54069	124.1909
C21orf49|54067	16.8895	C21orf49|54067	13.3495
C21orf56|84221	131.9493	C21orf56|84221	31.9579
C21orf57|54059	201.6186	C21orf57|54059	177.58900000000003
C21orf58|54058	45.3906	C21orf58|54058	17.7994
C21orf59|56683	882.5827	C21orf59|56683	396.0356
removed	removed	C21orf62|56245	8.8997
C21orf63|59271	30.9641	C21orf63|59271	400.89
C21orf67|84536	81.9845	C21orf67|84536	19.822
C21orf70|85395	111.5412	C21orf70|85395	63.5113
C21orf7|56911	37.2977	C21orf7|56911	71.6019
C21orf82|114036	5.9817	C21orf82|114036	29.1262
removed	removed	C21orf88|114041	8.4951
C21orf91|54149	311.7523	C21orf91|54149	669.9029
C22orf13|83606	3501.0943	C22orf13|83606	1978.5518
C22orf23|84645	55.9465	C22orf23|84645	59.0615
C22orf25|128989	408.1633	C22orf25|128989	601.1327
C22orf26|55267	6.3336	C22orf26|55267	13.3495
C22orf27|150291	64.0394	C22orf27|150291	85.7605
C22orf28|51493	1319.8452	C22orf28|51493	1552.1845
C22orf29|79680	462.6918	C22orf29|79680	455.3843
C22orf30|253143	1562.2801	C22orf30|253143	1129.4498
C22orf32|91689	449.6833	C22orf32|91689	556.6343
removed	removed	C22orf34|348645	8.8997
C22orf36|388886	286.7699	C22orf36|388886	63.1068
C22orf39|128977	601.689	C22orf39|128977	1099.11
C22orf40|150383	89.3737	C22orf40|150383	106.3916
C22orf41|644186	30.2604	removed	removed
C22orf46|79640	447.2203	C22orf46|79640	887.5405
C22orf9|23313	1885.6439	C22orf9|23313	2157.3625
C2CD2L|9854	201.9001	C2CD2L|9854	246.335
C2CD2|25966	1755.4539	C2CD2|25966	6020.6311
C2CD3|26005	1351.513	C2CD3|26005	671.9256
removed	removed	C2CD4B|388125	18.6084
C2CD4C|126567	5.278	C2CD4C|126567	59.0615
C2CD4D|100191040	5.9817	removed	removed
C2orf15|150590	53.3322	C2orf15|150590	21.9984
C2orf16|84226	54.1872	C2orf16|84226	41.2621
C2orf18|54978	1231.1752	C2orf18|54978	1468.4466
C2orf24|27013	1214.9894	C2orf24|27013	1530.7443
C2orf27A|29798	106.6151	C2orf27A|29798	10.5178
C2orf28|51374	1284.5813	C2orf28|51374	1891.7759
C2orf29|55571	2488.0366	C2orf29|55571	691.3430000000001
C2orf34|79823	106.6151	C2orf34|79823	96.2783
C2orf3|6936	859.9578	C2orf3|6936	560.6796
C2orf40|84417	7.7410000000000005	C2orf40|84417	370.9547
C2orf42|54980	287.4736	C2orf42|54980	252.4272
C2orf43|60526	625.6158	C2orf43|60526	433.657
C2orf44|80304	361.0134	C2orf44|80304	292.8803
C2orf47|79568	407.3962	C2orf47|79568	248.3819
C2orf49|79074	237.8607	C2orf49|79074	187.2977
C2orf50|130813	16.1858	removed	removed
C2orf54|79919	110.1337	removed	removed
C2orf55|343990	300.4926	C2orf55|343990	134.7087
C2orf56|55471	168.5433	C2orf56|55471	187.2977
removed	removed	C2orf58|285154	18.2039
C2orf60|129450	322.0197	C2orf60|129450	201.8608
C2orf63|130162	115.7635	C2orf63|130162	39.2395
C2orf64|493753	623.8564	C2orf64|493753	527.5081
C2orf65|130951	83.39200000000001	C2orf65|130951	33.9806
C2orf67|151050	544.6763	C2orf67|151050	724.3285
C2orf68|388969	624.2083	C2orf68|388969	756.877
C2orf69|205327	687.1921	C2orf69|205327	537.6214
removed	removed	C2orf71|388939	9.7087
C2orf72|257407	27.0936	C2orf72|257407	32.3625
removed	removed	C2orf73|129852	5.6634
C2orf74|339804	26.3899	C2orf74|339804	323.6246
C2orf76|130355	72.4842	C2orf76|130355	96.2783
C2orf77|129881	79.5215	C2orf77|129881	31.9579
C2orf79|391356	296.974	C2orf79|391356	173.5437
C2orf7|84279	176.2843	C2orf7|84279	305.8252
C2orf81|388963	27.0373	C2orf81|388963	30.3398
removed	removed	C2orf82|389084	26.2945
removed	removed	C2orf84|653140	13.754000000000001
C2orf86|51057	126.3195	C2orf86|51057	283.9806
C2orf88|84281	25.6861	C2orf88|84281	427.1845
removed	removed	C2orf89|129293	101.9417
C2|717	121.9036	C2|717	1262.6254
C3AR1|719	64.7431	C3AR1|719	890.7767
C3orf10|55845	2969.0359	C3orf10|55845	3332.9288
C3orf14|57415	257.91700000000003	C3orf14|57415	97.8964
C3orf15|89876	131.2456	C3orf15|89876	67.1521
C3orf17|25871	1021.4638	C3orf17|25871	1104.7735
C3orf18|51161	136.5236	C3orf18|51161	207.5243
C3orf19|51244	466.9247	C3orf19|51244	525.4854
C3orf1|51300	1273.399	C3orf1|51300	1076.4563
C3orf21|152002	328.2899	C3orf21|152002	235.0324
C3orf23|285343	260.0281	C3orf23|285343	584.1424
C3orf26|84319	267.7692	C3orf26|84319	411.8123
C3orf31|132001	90.7811	C3orf31|132001	131.4725
removed	removed	C3orf32|51066	6.877000000000001
C3orf33|285315	228.3603	C3orf33|285315	96.6828
C3orf34|84984	100.2815	C3orf34|84984	113.6731
C3orf36|80111	5.278	removed	removed
C3orf37|56941	858.1985	C3orf37|56941	1067.5566
C3orf38|285237	419.0676	C3orf38|285237	489.02099999999996
C3orf39|84892	190.7108	C3orf39|84892	401.699
C3orf42|84657	11.9634	C3orf42|84657	8.4951
C3orf47|339942	15.1302	C3orf47|339942	61.0841
C3orf52|79669	614.3561	C3orf52|79669	44.9029
C3orf54|389119	11.9634	C3orf54|389119	45.711999999999996
C3orf55|152078	29.5567	C3orf55|152078	252.0227
C3orf57|165679	149.1907	C3orf57|165679	67.9612
C3orf58|205428	672.7657	C3orf58|205428	769.822
C3orf59|151963	355.3835	C3orf59|151963	166.6667
C3orf62|375341	76.0028	C3orf62|375341	151.69899999999998
C3orf63|23272	2560.5419	C3orf63|23272	2581.6424
C3orf64|285203	479.9437	C3orf64|285203	1195.7929
C3orf67|200844	36.2421	C3orf67|200844	9.7087
C3orf70|285382	94.6517	C3orf70|285382	205.9061
removed	removed	C3orf71|646450	19.4741
C3orf75|54859	196.6925	C3orf75|54859	271.4401
C3|718	1607.6707	C3|718	44888.3495
C4A|720	3361.9916	C4A|720	2887.0429
removed	removed	C4BPA|722	34.3851
C4BPB|725	5.278	C4BPB|725	15.7767
C4orf10|317648	96.988	C4orf10|317648	279.5672
C4orf12|404201	39.4089	C4orf12|404201	92.23299999999999
C4orf14|84273	510.5559	C4orf14|84273	548.5437
C4orf19|55286	74.9472	C4orf19|55286	308.5922
C4orf21|55345	71.7804	C4orf21|55345	73.6246
C4orf23|152992	232.9346	C4orf23|152992	186.4887
C4orf27|54969	307.8818	C4orf27|54969	446.6019
C4orf29|80167	274.8065	C4orf29|80167	128.6408
C4orf31|79625	318.7896	C4orf31|79625	628.6408
C4orf32|132720	537.2977	C4orf32|132720	1577.6699
C4orf33|132321	302.6038	C4orf33|132321	173.1392
C4orf34|201895	2403.2372	C4orf34|201895	1293.6893
C4orf36|132989	21.8156	C4orf36|132989	9.3042
removed	removed	C4orf38|152641	23.0583
removed	removed	C4orf39|152756	12.1359
