gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
ACADSB|36	7877.551	ACADSB|36	1619.3366
ACADS|35	127.3751	ACADS|35	892.3948
ACADVL|37	1415.5243	ACADVL|37	6277.8843
ACAN|176	16.8895	removed	removed
ACAP1|9744	13.3709	ACAP1|9744	39.2395
ACAP2|23527	1954.2576	ACAP2|23527	2013.754
ACAP3|116983	661.988	ACAP3|116983	309.8706
ACAT1|38	384.5883	ACAT1|38	3528.3172
ACAT2|39	652.8255	ACAT2|39	253.9765
ACBD3|64746	8796.2702	ACBD3|64746	1358.0097
ACBD4|79777	278.677	ACBD4|79777	236.246
ACBD5|91452	1909.5707	ACBD5|91452	1058.2524
ACBD6|84320	750.1759	ACBD6|84320	286.0032
ACBD7|414149	53.4835	ACBD7|414149	18.2039
removed	removed	ACCN1|40	5.6634
ACCN2|41	259.3244	ACCN2|41	98.301
ACCN3|9311	17.2414	removed	removed
ACCS|84680	306.1224	ACCS|84680	430.8252
ACD|65057	96.0591	ACD|65057	168.6893
removed	removed	ACE2|59272	34.7896
ACER2|340485	309.2892	ACER2|340485	345.0647
ACER3|55331	574.2435	ACER3|55331	1125.4045
ACE|1636	654.4687	ACE|1636	756.877
removed	removed	ACHE|43	10.5178
ACIN1|22985	3268.121	ACIN1|22985	2506.068
ACLY|47	9931.7382	ACLY|47	2796.521
ACN9|57001	109.0781	ACN9|57001	117.3139
ACO1|48	664.6728	ACO1|48	8151.2945
ACO2|50	2401.9141	ACO2|50	2656.1772
ACOT11|26027	297.8571	ACOT11|26027	19.4984
ACOT13|55856	1174.1133	ACOT13|55856	696.9984
ACOT1|641371	491.2034	ACOT1|641371	1089.8058
ACOT2|10965	274.1027	ACOT2|10965	666.2621
ACOT4|122970	255.8058	ACOT4|122970	182.8479
removed	removed	ACOT6|641372	5.6634
ACOT7|11332	152.7094	ACOT7|11332	175.5663
ACOT8|10005	149.1942	ACOT8|10005	156.3592
ACOT9|23597	361.7171	ACOT9|23597	809.8706
ACOX1|51	2758.6207	ACOX1|51	4630.6634
ACOX2|8309	920.1267	ACOX2|8309	341.0194
ACOX3|8310	1500	ACOX3|8310	374.1909
ACP1|52	1588.67	ACP1|52	1040.0485
ACP2|53	964.8135	ACP2|53	786.4078
