gene_id	TCGA-BH-A18V-06A-11R-A213-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
DCTN1|1639	4122.9686	DCTN1|1639	4163.2466
DCTN2|10540	1529.0493	DCTN2|10540	3395.2834
DCTN3|11258	1045.886	DCTN3|11258	1794.7686
DCTN4|51164	950.6471	DCTN4|51164	1143.0151
DCTN5|84516	2026.1501	DCTN5|84516	965.8869
DCTN6|10671	297.3313	DCTN6|10671	697.2588
DCTPP1|79077	1204.4182	DCTPP1|79077	916.4672
DCT|1638	5.5169	lowly_expressed	lowly_expressed
DCUN1D1|54165	636.1844	DCUN1D1|54165	125.2619
DCUN1D2|55208	356.8556	DCUN1D2|55208	270.096
DCUN1D3|123879	155.9247	DCUN1D3|123879	235.3554
DCUN1D4|23142	683.5135	DCUN1D4|23142	661.0503
DCUN1D5|84259	520.3297	DCUN1D5|84259	295.0506
DCXR|51181	466.0319	DCXR|51181	2069.2684
lowly_expressed	lowly_expressed	DCX|1641	135.5373
DDA1|79016	1442.2309	DDA1|79016	782.8871
DDAH1|23576	221.5466	DDAH1|23576	999.1596
DDAH2|23564	1492.4636	DDAH2|23564	4610.2262
DDB1|1642	7376.3709	DDB1|1642	4038.7187
DDB2|1643	639.0880000000001	DDB2|1643	1070.5981
DDHD1|80821	486.93800000000005	DDHD1|80821	297.4971
DDHD2|23259	898.9625	DDHD2|23259	765.7614
DDI2|84301	105.4248	lowly_expressed	lowly_expressed
DDIT3|1649	186.9528	DDIT3|1649	802.7479
DDIT4L|115265	12.776	DDIT4L|115265	87.0962
DDIT4|54541	2074.0599	DDIT4|54541	1293.7209
DDN|23109	16.9543	lowly_expressed	lowly_expressed
DDOST|1650	4750.0414	DDOST|1650	4427.2264
DDO|8528	20.3254	DDO|8528	69.4812
DDR1|780	11552.0751	DDR1|780	4037.74
DDR2|4921	260.7456	DDR2|4921	58.7165
DDRGK1|65992	519.1683	DDRGK1|65992	1705.7152
DDTL|100037417	210.1267	DDTL|100037417	178.6353
DDT|1652	476.7841	DDT|1652	930.2460000000001
DDX10|1662	382.9882	DDX10|1662	869.4939
DDX11L2|84771	13.3567	DDX11L2|84771	27.401
DDX11|1663	2133.2938	DDX11|1663	381.1681
DDX12|440081	315.6241	DDX12|440081	41.5909
DDX17|10521	12574.7321	DDX17|10521	13356.5427
DDX18|8886	2275.2811	DDX18|8886	1305.4642
DDX19A|55308	1190.7769	DDX19A|55308	937.018
DDX19B|11269	1032.1402	DDX19B|11269	998.1517
DDX1|1653	988.9749	DDX1|1653	2176.9154
DDX20|11218	310.688	DDX20|11218	378.7216
DDX21|9188	1894.3254	DDX21|9188	396.3366
DDX23|9416	2175.1061	DDX23|9416	2789.5245
DDX24|57062	3831.3342	DDX24|57062	3426.5988
DDX26B|203522	519.1683	DDX26B|203522	365.0211
DDX27|55661	1633.2895	DDX27|55661	1934.2204
DDX28|55794	315.0434	DDX28|55794	400.251
DDX31|64794	432.3499	DDX31|64794	336.6414
DDX39|10212	2799.9663	DDX39|10212	937.9966
DDX3X|1654	7043.325	DDX3X|1654	5080.4478
DDX41|51428	1760.7587	DDX41|51428	1379.3492
DDX42|11325	2081.6093	DDX42|11325	3791.6199
DDX43|55510	83.5025	lowly_expressed	lowly_expressed
DDX46|9879	1232.0084	DDX46|9879	796.5876
DDX47|51202	1523.2159	DDX47|51202	997.6917
DDX49|54555	1606.8665	DDX49|54555	1327.9722
DDX50|79009	773.8163	DDX50|79009	1404.3037
DDX51|317781	317.3663	DDX51|317781	719.7668
DDX52|11056	319.1085	DDX52|11056	393.8901
DDX54|79039	1591.8286	DDX54|79039	2111.285
DDX55|57696	392.2798	DDX55|57696	480.9862
DDX56|54606	3044.742	DDX56|54606	1830.9771
DDX58|23586	989.846	DDX58|23586	483.9221
DDX59|83479	529.9117	DDX59|83479	533.3418
DDX5|1655	6989.8983	DDX5|1655	18268.1804
DDX60L|91351	486.06699999999995	DDX60L|91351	326.8554
DDX60|55601	1192.8095	DDX60|55601	197.679
DDX6|1656	2639.9765	DDX6|1656	3112.9547
DEAF1|10522	434.5305	DEAF1|10522	1406.7502
DECR1|1666	860.3443	DECR1|1666	1551.095
DECR2|26063	394.022	DECR2|26063	513.2803
DEDD2|162989	559.2383	DEDD2|162989	779.4619
DEDD|9191	1378.8767	DEDD|9191	869.4793
DEF6|50619	888.7998	DEF6|50619	541.1707
DEF8|54849	1608.0279	DEF8|54849	930.6569999999999
DEFA1B|728358	8.1302	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DEFB132|400830	50.3984
DEFB1|1672	138.2126	DEFB1|1672	262.2672
DEGS1|8560	3599.3345	DEGS1|8560	2058.0144
DEGS2|123099	504.0694	DEGS2|123099	496.1547
DEK|7913	3051.1299	DEK|7913	1800.6403
DEM1|64789	175.6694	DEM1|64789	157.0667
DENND1A|57706	1017.4305	DENND1A|57706	797.5662
DENND1B|163486	194.2526	DENND1B|163486	11.254000000000001
DENND1C|79958	535.719	DENND1C|79958	131.1336
DENND2A|27147	72.3003	DENND2A|27147	503.9835
DENND2C|163259	16.0164	DENND2C|163259	6.361000000000001
DENND2D|79961	921.6108	DENND2D|79961	599.3979
DENND3|22898	1338.2811	DENND3|22898	383.1254
DENND4A|10260	448.3663	DENND4A|10260	227.9963
DENND4B|9909	2230.1646	DENND4B|9909	1033.8709
DENND4C|55667	1482.0106	DENND4C|55667	769.1865
DENND5A|23258	1680.3282	DENND5A|23258	1195.86
DENND5B|160518	182.9284	DENND5B|160518	213.3367
DENR|8562	892.8649	DENR|8562	1368.5845
DEPDC1B|55789	185.5417	lowly_expressed	lowly_expressed
DEPDC1|55635	349.3062	DEPDC1|55635	5.8717
DEPDC4|120863	10.4531	lowly_expressed	lowly_expressed
DEPDC5|9681	281.07099999999997	DEPDC5|9681	264.7137
DEPDC6|64798	213.4165	DEPDC6|64798	968.8227
DEPDC7|91614	35.7146	DEPDC7|91614	9.7861
DERA|51071	1088.2789	DERA|51071	398.7831
DERL1|79139	2820.2917	DERL1|79139	1864.2498
DERL2|51009	433.221	DERL2|51009	803.4379
DERL3|91319	355.4038	DERL3|91319	703.1304
DES|1674	8.7109	DES|1674	265.203
DET1|55070	96.9811	DET1|55070	249.0559
DEXI|28955	649.5411	DEXI|28955	920.8709
DFFA|1676	439.0282	DFFA|1676	290.6468
DFFB|1677	322.3025	DFFB|1677	171.7459
DFNA5|1687	97.5618	DFNA5|1687	504.9622
DFNB31|25861	467.1934	DFNB31|25861	511.8124
DFNB59|494513	35.4242	DFNB59|494513	107.1577
DGAT1|8694	520.8756	DGAT1|8694	968.7298
DGAT2|84649	363.5339	DGAT2|84649	2516.9819
DGCR11|25786	16.840999999999998	DGCR11|25786	36.6978
DGCR14|8220	314.1723	DGCR14|8220	690.8978
DGCR2|9993	2057.5092	DGCR2|9993	3870.8872
DGCR5|26220	68.5256	DGCR5|26220	15.6577
DGCR6L|85359	550.2371	DGCR6L|85359	1212.9856
DGCR6|8214	278.7481	DGCR6|8214	519.1519999999999
DGCR8|54487	808.3694	DGCR8|54487	1028.5179
DGCR9|25787	13.0663	DGCR9|25787	9.2968
DGKA|1606	717.1956	DGKA|1606	468.7536
DGKB|1607	419.5739	DGKB|1607	5.3823
DGKD|8527	1182.6468	DGKD|8527	1100.4456
DGKE|8526	189.3164	DGKE|8526	167.8314
DGKG|1608	23.229	DGKG|1608	15.6577
DGKH|160851	110.0474	DGKH|160851	10.2754
lowly_expressed	lowly_expressed	DGKI|9162	10.2754
DGKQ|1609	882.1215	DGKQ|1609	466.7964
DGKZ|8525	1710.5259	DGKZ|8525	972.2479
DGUOK|1716	1120.5092	DGUOK|1716	1218.8573
DHCR24|1718	11676.931	DHCR24|1718	5657.826999999999
DHCR7|1717	1108.0236	DHCR7|1717	942.4003
DHDDS|79947	515.9743	DHDDS|79947	905.2132
DHDH|27294	24.3905	DHDH|27294	10.7647
lowly_expressed	lowly_expressed	DHDPSL|112817	29.8476
DHFRL1|200895	110.6281	DHFRL1|200895	204.0399
DHFR|1719	584.5696	DHFR|1719	225.77
lowly_expressed	lowly_expressed	DHH|50846	8.8075
DHODH|1723	247.6793	DHODH|1723	209.9116
DHPS|1725	1166.3865	DHPS|1725	1539.3517
DHRS11|79154	189.02599999999998	DHRS11|79154	416.8874
DHRS12|79758	268.295	DHRS12|79758	627.2883
DHRS13|147015	203.5267	DHRS13|147015	304.91
DHRS1|115817	317.3663	DHRS1|115817	1080.8735
lowly_expressed	lowly_expressed	DHRS2|10202	852.8576
DHRS3|9249	613.2458	DHRS3|9249	1862.2926
DHRS4L1|728635	7.2591	DHRS4L1|728635	51.8663
DHRS4L2|317749	269.1051	DHRS4L2|317749	930.3732
DHRS4|10901	472.7596	DHRS4|10901	1269.8086
DHRS7B|25979	272.6505	DHRS7B|25979	860.1972
DHRS7|51635	890.2517	DHRS7|51635	1219.3466
DHRS9|10170	16.5507	DHRS9|10170	41.5909
DHRSX|207063	288.0397	DHRSX|207063	465.3285
DHTKD1|55526	2376.0370000000003	DHTKD1|55526	426.1841
DHX15|1665	2461.1132	DHX15|1665	1226.6862
DHX16|8449	1494.4962	DHX16|8449	1034.8788
DHX29|54505	873.9914	DHX29|54505	697.2588
DHX30|22907	1383.5777	DHX30|22907	1774.2178
DHX32|55760	566.5148	DHX32|55760	1315.6124
DHX33|56919	334.2073	DHX33|56919	42.0802
DHX34|9704	429.7366	DHX34|9704	594.9942
DHX35|60625	225.6117	DHX35|60625	221.1656
DHX36|170506	1382.4162	DHX36|170506	407.1013
DHX37|57647	554.0118	DHX37|57647	407.5906
DHX38|9785	1679.7475	DHX38|9785	1412.1325
DHX40|79665	741.2957	DHX40|79665	1112.1889
DHX57|90957	513.0707	DHX57|90957	506.9194
DHX58|79132	667.8339	DHX58|79132	490.7723
DHX8|1659	1724.1729999999998	DHX8|1659	890.0447
DHX9|1660	4896.0938	DHX9|1660	2824.7544
DIABLO|56616	498.9678	DIABLO|56616	1255.4279
DIAPH1|1729	3371.3999	DIAPH1|1729	1927.3701
DIAPH2|1730	881.5408	DIAPH2|1730	121.8368
DIAPH3|81624	1277.0146	DIAPH3|81624	12.7219
DICER1|23405	1977.6595	DICER1|23405	896.4057
DIDO1|11083	2356.0019	DIDO1|11083	1971.8968
DIMT1L|27292	373.4063	DIMT1L|27292	482.4542
lowly_expressed	lowly_expressed	DIO1|1733	5.3823
DIO2|1734	66.2027	DIO2|1734	274.9891
DIO3OS|64150	14.5181	lowly_expressed	lowly_expressed
DIO3|1735	234.613	DIO3|1735	23.4866
DIP2A|23181	584.2095	DIP2A|23181	557.807
DIP2B|57609	857.4407	DIP2B|57609	1022.1569
DIP2C|22982	1272.0784	DIP2C|22982	736.8925
DIRAS1|148252	6.388	DIRAS1|148252	255.9062
lowly_expressed	lowly_expressed	DIRAS2|54769	9.7861
DIRAS3|9077	8.4205	DIRAS3|9077	251.9918
DIRC2|84925	298.5682	DIRC2|84925	231.8422
lowly_expressed	lowly_expressed	DIRC3|729582	10.7647
DIS3L2|129563	442.8029	DIS3L2|129563	451.1387
DIS3L|115752	519.749	DIS3L|115752	603.8017
DIS3|22894	2361.9457	DIS3|22894	854.9029
DISC1|27185	249.0904	DISC1|27185	104.2218
DISP1|84976	169.8621	DISP1|84976	283.7966
DISP2|85455	8.7109	DISP2|85455	15.1684
DIXDC1|85458	204.99599999999998	DIXDC1|85458	640.9888
DKC1|1736	3053.4528	DKC1|1736	1225.7076
lowly_expressed	lowly_expressed	DKFZP434L187|26082	15.5843
DKFZP586I1420|222161	218.643	DKFZP586I1420|222161	366.48900000000003
DKFZP686I15217|401232	51.1038	DKFZP686I15217|401232	95.9037
lowly_expressed	lowly_expressed	DKFZp566F0947|94023	6.361000000000001
DKFZp686O24166|374383	51.9749	lowly_expressed	lowly_expressed
DKFZp761E198|91056	1380.674	DKFZp761E198|91056	332.727
DKFZp779M0652|374387	9.2916	DKFZp779M0652|374387	9.2968
DKK1|22943	6.9687	DKK1|22943	8.3182
DKK2|27123	51.6845	DKK2|27123	45.9946
DKK3|27122	178.8633	DKK3|27122	2321.2602
DKKL1|27120	11.0338	DKKL1|27120	5.3823
DLAT|1737	702.4945	DLAT|1737	506.4301
DLC1|10395	265.6818	DLC1|10395	2150.4929
DLD|1738	2101.9347	DLD|1738	1329.9294
DLEC1|9940	7.2591	DLEC1|9940	23.9759
DLEU1|10301	101.3685	DLEU1|10301	76.3315
DLEU2L|79469	7.5494	lowly_expressed	lowly_expressed
DLEU2|8847	77.8607	DLEU2|8847	18.2119
DLEU7|220107	8.7109	lowly_expressed	lowly_expressed
DLG1|1739	1603.9513	DLG1|1739	755.4860000000001
DLG2|1740	11.0338	DLG2|1740	53.8235
DLG3|1741	998.2665	DLG3|1741	1264.8519
DLG4|1742	274.4826	DLG4|1742	427.1725
DLG5|9231	3005.2527	DLG5|9231	1681.25
lowly_expressed	lowly_expressed	DLGAP1|9229	11.254000000000001
lowly_expressed	lowly_expressed	DLGAP2|9228	9.2968
DLGAP3|58512	40.3604	lowly_expressed	lowly_expressed
DLGAP4|22839	855.1178	DLGAP4|22839	1902.9049
DLGAP5|9787	471.2585	DLGAP5|9787	9.2968
DLK1|8788	97.8522	DLK1|8788	1181.1809
DLK2|65989	8.4205	DLK2|65989	294.5613
DLL1|28514	102.7884	DLL1|28514	300.4329
DLL4|54567	283.9746	DLL4|54567	346.9168
DLST|1743	2504.3772	DLST|1743	2778.7598
lowly_expressed	lowly_expressed	DLX1|1745	9.2968
lowly_expressed	lowly_expressed	DLX2|1746	13.2112
DLX3|1747	130.9535	DLX3|1747	58.2272
DLX4|1748	27.5844	DLX4|1748	6.361000000000001
DLX5|1749	91.7546	lowly_expressed	lowly_expressed
DLX6AS|285987	57.4918	lowly_expressed	lowly_expressed
DLX6|1750	83.6244	lowly_expressed	lowly_expressed
DMAP1|55929	448.3198	DMAP1|55929	1466.9346
lowly_expressed	lowly_expressed	DMBT1|1755	27.8904
DMBX1|127343	25.5519	lowly_expressed	lowly_expressed
DMC1|11144	85.3666	DMC1|11144	13.7005
DMD|1756	761.0403	DMD|1756	758.9112
DMGDH|29958	7.8398	DMGDH|29958	32.2941
DMKN|93099	603.3734	DMKN|93099	964.9083
DMPK|1760	433.8017	DMPK|1760	747.6571
DMRT2|10655	74.9135	DMRT2|10655	61.6524
DMRT3|58524	41.5218	DMRT3|58524	51.376999999999995
DMRTA1|63951	151.2789	DMRTA1|63951	22.0187
lowly_expressed	lowly_expressed	DMRTC1B|728656	51.8663
DMTF1|9988	1185.8437	DMTF1|9988	987.9056
DMWD|1762	610.0518	DMWD|1762	576.8899
DMXL1|1657	619.3434	DMXL1|1657	438.9061
DMXL2|23312	1087.4078	DMXL2|23312	187.4036
DNA2|1763	170.1525	DNA2|1763	21.0401
DNAH10|196385	25.5519	lowly_expressed	lowly_expressed
DNAH11|8701	274.8253	lowly_expressed	lowly_expressed
DNAH12|201625	6.388	DNAH12|201625	10.7647
DNAH14|127602	258.4227	DNAH14|127602	50.3984
DNAH17|8632	30.5258	DNAH17|8632	58.2272
DNAH1|25981	189.02599999999998	DNAH1|25981	155.1095
DNAH2|146754	208.7707	DNAH2|146754	33.2727
DNAH3|55567	70.8485	lowly_expressed	lowly_expressed
DNAH5|1767	29.0363	DNAH5|1767	120.3689
DNAH6|1768	55.7496	DNAH6|1768	36.6978
DNAH8|1769	9.582	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DNAH9|1770	29.3583
lowly_expressed	lowly_expressed	DNAI1|27019	27.401
DNAJA1|3301	5145.8056	DNAJA1|3301	2833.5619
DNAJA2|10294	1420.1634	DNAJA2|10294	1473.7849
DNAJA3|9093	1592.3484	DNAJA3|9093	894.4485
DNAJA4|55466	715.4534	DNAJA4|55466	751.0823
DNAJB11|51726	1627.1919	DNAJB11|51726	1164.5445
DNAJB12|54788	835.3731	DNAJB12|54788	1821.6803
DNAJB14|79982	302.8482	DNAJB14|79982	57.7379
DNAJB1|3337	3144.6267	DNAJB1|3337	4169.3629
DNAJB2|3300	1826.9613	DNAJB2|3300	3827.8285
DNAJB4|11080	225.03099999999998	DNAJB4|11080	411.505
DNAJB5|25822	132.6957	DNAJB5|25822	245.6308
DNAJB6|10049	1169.5805	DNAJB6|10049	2181.8084
lowly_expressed	lowly_expressed	DNAJB7|150353	6.1408
DNAJB9|4189	537.1708	DNAJB9|4189	580.315
DNAJC10|54431	2239.2762	DNAJC10|54431	1064.7264
DNAJC11|55735	856.9848	DNAJC11|55735	714.3747
DNAJC12|56521	7.8398	DNAJC12|56521	289.1789
DNAJC13|23317	1881.2591	lowly_expressed	lowly_expressed
DNAJC14|85406	828.7325	DNAJC14|85406	997.2171
DNAJC15|29103	681.4810000000001	DNAJC15|29103	530.406
DNAJC16|23341	366.1472	DNAJC16|23341	520.1306
DNAJC17|55192	311.8494	DNAJC17|55192	530.8953
DNAJC18|202052	53.7171	DNAJC18|202052	179.0854
DNAJC19|131118	364.9858	DNAJC19|131118	569.061
DNAJC1|64215	590.5975	DNAJC1|64215	1345.5871
DNAJC21|134218	727.939	DNAJC21|134218	1034.3895
DNAJC22|79962	124.8559	DNAJC22|79962	13.7005
DNAJC24|120526	199.2207	DNAJC24|120526	259.5613
DNAJC25|548645	196.8658	DNAJC25|548645	312.1762
DNAJC27|51277	258.1323	DNAJC27|51277	240.7378
DNAJC28|54943	17.1314	DNAJC28|54943	32.7834
DNAJC2|27000	813.0559	DNAJC2|27000	906.6664
DNAJC30|84277	396.6353	DNAJC30|84277	510.3445
DNAJC3|5611	3900.7308	DNAJC3|5611	1564.7955
DNAJC4|3338	2268.1295	DNAJC4|3338	1417.0745
DNAJC5B|85479	27.5844	lowly_expressed	lowly_expressed
DNAJC5|80331	3310.7141	DNAJC5|80331	1919.0519
DNAJC6|9829	18.8736	DNAJC6|9829	25.4438
DNAJC7|7266	1444.818	DNAJC7|7266	2190.792
DNAJC8|22826	1860.3529999999998	DNAJC8|22826	2266.9474
DNAJC9|23234	616.8288	DNAJC9|23234	741.8589
DNAL1|83544	206.7382	DNAL1|83544	271.564
DNAL4|10126	809.5309	DNAL4|10126	802.9485
DNALI1|7802	17.4218	DNALI1|7802	824.4779
DNASE1L1|1774	2096.1594	DNASE1L1|1774	355.0001
DNASE1L2|1775	17.4218	DNASE1L2|1775	23.4866
DNASE1L3|1776	46.1676	DNASE1L3|1776	244.1629
DNASE1|1773	112.95100000000001	DNASE1|1773	95.4144
DNASE2|1777	3547.3596	DNASE2|1777	1433.6619
DND1|373863	71.5163	DND1|373863	135.7379
lowly_expressed	lowly_expressed	DNER|92737	12.7219
DNHD1|144132	806.0465	DNHD1|144132	176.1496
DNLZ|728489	128.921	DNLZ|728489	203.0613
DNM1L|10059	2536.3171	DNM1L|10059	779.9512
DNM1P35|100128285	64.7509	DNM1P35|100128285	60.6737
DNM1|1759	204.1249	DNM1|1759	446.7349
DNM2|1785	5084.4084	DNM2|1785	1508.3885
DNM3|26052	29.0363	DNM3|26052	68.0133
DNMBP|23268	128.921	DNMBP|23268	722.2133
DNMT1|1786	3755.8399	DNMT1|1786	581.2936
DNMT3A|1788	1127.1875	DNMT3A|1788	348.874
DNMT3B|1789	183.7995	DNMT3B|1789	67.0347
DNPEP|23549	2450.0794	DNPEP|23549	1515.8651
DNTTIP1|116092	783.1079	DNTTIP1|116092	919.403
DNTTIP2|30836	938.1615	DNTTIP2|30836	2233.6747
DOC2A|8448	269.471	DOC2A|8448	86.6705
DOC2B|8447	51.9749	DOC2B|8447	15.6577
DOCK10|55619	1313.8907	DOCK10|55619	177.1282
DOCK11|139818	538.6226	DOCK11|139818	534.3204
DOCK1|1793	1203.2625	DOCK1|1793	1188.0311
DOCK2|1794	1608.6087	DOCK2|1794	236.8233
DOCK3|1795	15.6796	DOCK3|1795	14.1898
DOCK4|9732	758.7174	DOCK4|9732	175.6603
DOCK5|80005	702.9678	DOCK5|80005	85.5744
DOCK6|57572	1128.6393	DOCK6|57572	824.4779
DOCK7|85440	1529.9204	DOCK7|85440	587.6546
DOCK8|81704	2815.855	DOCK8|81704	577.8685
DOCK9|23348	2367.6164	DOCK9|23348	741.7855
DOHH|83475	182.6381	DOHH|83475	281.8393
DOK1|1796	336.2399	DOK1|1796	444.2884
DOK2|9046	389.0859	DOK2|9046	233.8875
DOK3|79930	513.9418	DOK3|79930	84.1604
DOK4|55715	684.675	DOK4|55715	639.5209
DOK5|55816	15.0989	DOK5|55816	91.9892
DOK6|220164	12.4856	DOK6|220164	17.615
lowly_expressed	lowly_expressed	DOK7|285489	98.8395
DOLK|22845	316.2048	DOLK|22845	464.3499
DOLPP1|57171	574.3372	DOLPP1|57171	451.1387
DOM3Z|1797	344.3584	DOM3Z|1797	616.9542
DONSON|29980	432.4312	DONSON|29980	174.1777
DOPEY1|23033	519.1741	DOPEY1|23033	558.1447
DOPEY2|9980	371.0834	DOPEY2|9980	427.1628
DOT1L|84444	828.3957	DOT1L|84444	480.9862
DPAGT1|1798	758.8365	DPAGT1|1798	976.6565
DPCD|25911	150.0245	DPCD|25911	355.7732
DPEP1|1800	7.2591	DPEP1|1800	8.3182
DPEP2|64174	53.7171	DPEP2|64174	98.3502
lowly_expressed	lowly_expressed	DPF1|8193	6.361000000000001
DPF2|5977	1257.27	DPF2|5977	1082.8307
DPF3|8110	10.4531	DPF3|8110	13.2112
DPH1|1801	425.3579	DPH1|1801	700.6644
DPH2|1802	802.2718	DPH2|1802	375.7858
DPH3B|100132911	28.1652	DPH3B|100132911	10.7647
DPH3|285381	311.8494	DPH3|285381	644.9032
DPH5|51611	181.2821	DPH5|51611	623.3836
DPM1|8813	654.7676	DPM1|8813	524.045
DPM2|8818	828.9852	DPM2|8818	1188.0311
DPM3|54344	887.9288	DPM3|54344	530.406
DPP3|10072	1688.4584	DPP3|10072	644.9032
DPP4|1803	85.3666	DPP4|1803	426.1841
lowly_expressed	lowly_expressed	DPP6|1804	23.9759
DPP7|29952	2961.9886	DPP7|29952	2918.2115
DPP8|54878	339.7242	DPP8|54878	56.7593
DPP9|91039	1100.1838	DPP9|91039	888.5768
DPT|1805	726.7775	DPT|1805	4760.4427
DPY19L1|23333	483.7441	DPY19L1|23333	314.1334
DPY19L2P1|554236	6.388	lowly_expressed	lowly_expressed
DPY19L2P2|349152	50.2327	DPY19L2P2|349152	5.3823
DPY19L2P4|442523	7.2591	DPY19L2P4|442523	11.7433
DPY19L2|283417	15.3892	DPY19L2|283417	72.9064
DPY19L3|147991	312.7205	DPY19L3|147991	75.3529
DPY19L4|286148	329.8519	DPY19L4|286148	483.9221
DPY30|84661	962.038	DPY30|84661	636.9569
DPYD|1806	1492.4636	DPYD|1806	402.6975
DPYSL2|1808	3475.64	DPYSL2|1808	4189.9137
DPYSL3|1809	947.4531	DPYSL3|1809	3236.7487
DPYSL4|10570	8.4205	DPYSL4|10570	17.1257
DPYSL5|56896	72.5906	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DPYS|1807	10.2754
DQX1|165545	153.0211	lowly_expressed	lowly_expressed
DR1|1810	855.6985	DR1|1810	456.0317
DRAM1|55332	942.5169	DRAM1|55332	557.3177
DRAM2|128338	1311.8581	DRAM2|128338	1609.3222
DRAP1|10589	1706.4609	DRAP1|10589	1449.3197
lowly_expressed	lowly_expressed	DRD1|1812	5.3823
lowly_expressed	lowly_expressed	DRD2|1813	174.6817
lowly_expressed	lowly_expressed	DRD4|1815	8.3182
DRG1|4733	662.0267	DRG1|4733	1495.8036
DRG2|1819	507.5538	DRG2|1819	1108.7638
DRGX|644168	39.4893	lowly_expressed	lowly_expressed
DRP2|1821	58.3629	lowly_expressed	lowly_expressed
DSC2|1824	2449.4987	DSC2|1824	1220.3252
DSC3|1825	2407.9768	DSC3|1825	493.7082
lowly_expressed	lowly_expressed	DSCAML1|57453	12.7219
DSCC1|79075	301.106	DSCC1|79075	53.8235
DSCR3|10311	745.0704	DSCR3|10311	723.6812
DSCR6|53820	74.3328	DSCR6|53820	10.2754
DSEL|92126	27.0037	DSEL|92126	380.6788
DSE|29940	963.545	DSE|29940	519.1862
lowly_expressed	lowly_expressed	DSG1|1828	133.5801
DSG2|1829	4719.5068	DSG2|1829	1328.4517
DSG3|1830	3188.7618	DSG3|1830	548.9996
DSN1|79980	382.9882	DSN1|79980	388.5077
DSP|1832	16120.3495	DSP|1832	5145.0359
DSTN|11034	2620.2319	DSTN|11034	12482.1557
DSTYK|25778	707.6136	DSTYK|25778	809.7988
DST|667	1077.8259	DST|667	9977.4064
DTD1|92675	366.1472	DTD1|92675	616.5236
DTHD1|401124	26.423000000000002	lowly_expressed	lowly_expressed
DTL|51514	2006.4054	DTL|51514	14.1898
DTNA|1837	26.7134	DTNA|1837	201.5934
DTNBP1|84062	321.4314	DTNBP1|84062	590.5904
DTNB|1838	756.3945	DTNB|1838	1296.1674
DTWD1|56986	392.5702	DTWD1|56986	667.4112
DTWD2|285605	68.8159	DTWD2|285605	72.9064
DTX1|1840	53.1364	DTX1|1840	475.6039
DTX2|113878	2233.4689	DTX2|113878	503.0049
DTX3L|151636	5177.7977	DTX3L|151636	688.4366
DTX3|196403	457.3211	DTX3|196403	1131.2718
DTX4|23220	1080.4391	DTX4|23220	517.1948
DTYMK|1841	379.7942	DTYMK|1841	548.0209
DULLARD|23399	1765.6948	DULLARD|23399	2706.3427
DUOX1|53905	472.1295	DUOX1|53905	181.0426
DUOX2|50506	105.1113	DUOX2|50506	26.9117
DUOXA1|90527	83.4996	DUOXA1|90527	22.3367
DUOXA2|405753	8.255	DUOXA2|405753	5.0643
DUS1L|64118	1169.2901	DUS1L|64118	1848.5921
DUS2L|54920	315.6241	DUS2L|54920	271.564
DUS3L|56931	274.9734	DUS3L|56931	439.8847
DUS4L|11062	179.2147	DUS4L|11062	151.1951
DUSP10|11221	171.0236	DUSP10|11221	543.6172
DUSP11|8446	488.0995	DUSP11|8446	497.1333
DUSP12|11266	356.2749	DUSP12|11266	265.203
DUSP14|11072	118.7583	DUSP14|11072	914.51
DUSP15|128853	8.4205	DUSP15|128853	22.508000000000003
DUSP16|80824	1610.3508	DUSP16|80824	1828.5306
DUSP18|150290	96.0432	DUSP18|150290	95.3263
DUSP19|142679	117.0161	DUSP19|142679	84.6497
DUSP1|1843	905.9312	DUSP1|1843	15514.3752
DUSP22|56940	625.1506	DUSP22|56940	1122.9536
DUSP23|54935	1645.7751	DUSP23|54935	1063.2585
lowly_expressed	lowly_expressed	DUSP26|78986	16.6364
lowly_expressed	lowly_expressed	DUSP27|92235	10.7647
DUSP28|285193	90.5931	DUSP28|285193	103.7325
DUSP2|1844	169.8621	DUSP2|1844	1067.1729
DUSP3|1845	2100.7732	DUSP3|1845	1732.1376
DUSP4|1846	280.7806	DUSP4|1846	663.9861
DUSP5P|574029	13.0663	lowly_expressed	lowly_expressed
DUSP5|1847	278.1673	DUSP5|1847	2140.2175
DUSP6|1848	545.3009	DUSP6|1848	4778.5469
DUSP7|1849	461.0958	DUSP7|1849	568.0824
DUSP8|1850	108.5956	DUSP8|1850	905.2132
DUSP9|1852	137.3415	DUSP9|1852	32.7834
DUT|1854	2069.8758	DUT|1854	1286.5868
DVL1|1855	2532.5424	DVL1|1855	1274.638
DVL2|1856	640.5398	DVL2|1856	782.3978
DVL3|1857	3101.9434	DVL3|1857	1632.3195
DYDC2|84332	7.8398	lowly_expressed	lowly_expressed
DYM|54808	684.9653	DYM|54808	542.1493
DYNC1H1|1778	13767.8319	DYNC1H1|1778	6198.5084
DYNC1I1|1780	63.8798	DYNC1I1|1780	72.9064
DYNC1I2|1781	1512.2083	DYNC1I2|1781	1882.3541
DYNC1LI1|51143	531.6539	DYNC1LI1|51143	790.2266
