gene_id	TCGA-BH-A18V-06A-11R-A213-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
ACAD9|28976	1063.7114	ACAD9|28976	958.5474
ACADL|33	19.1639	ACADL|33	60.6737
ACADM|34	496.8104	ACADM|34	609.6733
ACADSB|36	237.2262	ACADSB|36	1203.1996
ACADS|35	507.8441	ACADS|35	1016.7746
ACADVL|37	3299.8807	ACADVL|37	13788.5887
ACAN|176	10.1627	lowly_expressed	lowly_expressed
ACAP1|9744	661.1556	ACAP1|9744	144.8341
ACAP2|23527	2103.9672	ACAP2|23527	438.9061
ACAP3|116983	1561.2912	lowly_expressed	lowly_expressed
ACAT1|38	610.3421	ACAT1|38	1863.2712
ACAT2|39	402.7794	ACAT2|39	337.3314
ACBD3|64746	2943.4054	ACBD3|64746	758.4218
ACBD4|79777	305.4614	ACBD4|79777	678.6652
ACBD5|91452	811.5634	ACBD5|91452	418.8446
ACBD6|84320	308.6554	ACBD6|84320	522.0878
ACBD7|414149	58.9436	ACBD7|414149	27.401
ACCN2|41	67.9448	ACCN2|41	292.604
ACCN3|9311	15.9699	ACCN3|9311	13.2112
ACCS|84680	719.5185	ACCS|84680	951.6971
ACD|65057	620.2145	ACD|65057	794.6304
ACE2|59272	35.4242	ACE2|59272	36.2085
ACER2|340485	32.2302	ACER2|340485	24.9545
ACER3|55331	367.599	ACER3|55331	233.8875
ACE|1636	980.5544	ACE|1636	400.7403
ACHE|43	375.4388	ACHE|43	34.2513
ACIN1|22985	2735.5058	ACIN1|22985	3505.8661
ACLY|47	4809.2753	ACLY|47	1990.0011
ACN9|57001	266.8432	ACN9|57001	150.7058
ACO1|48	1352.5089	ACO1|48	1486.0175
ACO2|50	2928.7305	ACO2|50	2909.9814
ACOT11|26027	73.7608	ACOT11|26027	22.9973
ACOT13|55856	751.9723	ACOT13|55856	606.6983
ACOT1|641371	212.255	ACOT1|641371	683.069
ACOT2|10965	173.6368	ACOT2|10965	307.2832
ACOT4|122970	123.4041	ACOT4|122970	135.048
ACOT7|11332	367.8894	ACOT7|11332	377.743
ACOT8|10005	415.6802	ACOT8|10005	356.3213
ACOT9|23597	510.167	ACOT9|23597	380.6788
ACOX1|51	798.7874	lowly_expressed	lowly_expressed
ACOX2|8309	16.5507	ACOX2|8309	306.3046
ACOX3|8310	477.9368	ACOX3|8310	777.5047
ACP1|52	1416.9694	ACP1|52	1363.6914
ACP2|53	1577.2495	ACP2|53	1091.1489
ACP5|54	1263.9483	ACP5|54	1111.6996
ACP6|51205	253.4865	ACP6|51205	284.7752
ACPL2|92370	324.6254	ACPL2|92370	309.7297
ACPP|55	31.9399	ACPP|55	21.5294
ACRBP|84519	69.1063	ACRBP|84519	28.3797
ACRC|93953	17.7121	ACRC|93953	36.6978
ACR|49	10.1627	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSBG1|23205	28.869
lowly_expressed	lowly_expressed	ACSBG2|81616	24.4652
ACSF2|80221	310.688	ACSF2|80221	1652.8703
ACSF3|197322	155.344	ACSF3|197322	635.6064
ACSL1|2180	1183.5179	ACSL1|2180	2719.0646
ACSL3|2181	1504.6589	ACSL3|2181	2821.3293
ACSL4|2182	1931.7822	ACSL4|2182	628.7562
ACSL5|51703	1843.8024	ACSL5|51703	691.8764
ACSL6|23305	41.2315	lowly_expressed	lowly_expressed
ACSM1|116285	6.6783	ACSM1|116285	388.997
ACSM3|6296	15.8799	ACSM3|6296	151.6795
ACSM5|54988	15.9699	ACSM5|54988	110.0935
ACSS1|84532	754.9427	ACSS1|84532	1208.5819
ACSS2|55902	677.7063	ACSS2|55902	2292.3912
ACSS3|79611	52.2653	ACSS3|79611	130.6443
ACTA1|58	19.1639	ACTA1|58	11.7433
ACTA2|59	4297.2238	ACTA2|59	32193.334
lowly_expressed	lowly_expressed	ACTBL2|345651	6.361
ACTB|60	109879.5866	ACTB|60	103994.3143
ACTG1|71	37293.8789	ACTG1|71	99867.5208
ACTG2|72	42.6833	ACTG2|72	9048.2173
ACTL6A|86	2003.7921	ACTL6A|86	405.1441
ACTL8|81569	21.1965	lowly_expressed	lowly_expressed
ACTN1|87	5103.4126	ACTN1|87	6820.4143
ACTN4|81	11784.2867	lowly_expressed	lowly_expressed
ACTR10|55860	596.9855	ACTR10|55860	1538.8624
ACTR1A|10121	1725.3344	ACTR1A|10121	3008.7329
ACTR1B|10120	2456.7578	ACTR1B|10120	1694.4612
ACTR2|10097	10216.1169	ACTR2|10097	2000.7658
ACTR3B|57180	288.0397	ACTR3B|57180	545.5744
ACTR3C|653857	80.7208	ACTR3C|653857	32.7834
ACTR3|10096	6894.9497	ACTR3|10096	1487.4854
ACTR5|79913	141.4066	ACTR5|79913	298.965
ACTR6|64431	375.7292	ACTR6|64431	706.5556
ACTR8|93973	329.2712	ACTR8|93973	392.4221
ACVR1B|91	626.6024	ACVR1B|91	856.772
ACVR1C|130399	9.582	ACVR1C|130399	199.1469
ACVR1|90	574.3372	ACVR1|90	1021.1783
ACVR2A|92	201.802	ACVR2A|92	495.6654
ACVR2B|93	199.1887	ACVR2B|93	233.8875
ACVRL1|94	649.5411	ACVRL1|94	946.804
ACY1|95	833.3406	ACY1|95	954.5106
ACY3|91703	61.8472	ACY3|91703	61.6524
ACYP1|97	156.5054	ACYP1|97	128.1978
ACYP2|98	127.7595	ACYP2|98	286.7324
ADAL|161823	197.1562	ADAL|161823	157.556
ADAM10|102	3110.6543	ADAM10|102	367.9569
ADAM11|4185	21.1965	ADAM11|4185	30.3369
ADAM12|8038	993.3304	ADAM12|8038	616.0343
ADAM15|8751	5383.0812	ADAM15|8751	2721.0219
ADAM17|6868	555.1732	ADAM17|6868	249.0559
ADAM19|8728	722.1317	ADAM19|8728	103.2432
ADAM22|53616	22.9386	ADAM22|53616	7.3396
ADAM28|10863	277.0059	ADAM28|10863	114.4972
ADAM32|203102	44.7158	ADAM32|203102	67.524
ADAM33|80332	13.3567	ADAM33|80332	1326.7979
ADAM6|8755	29427.5357	ADAM6|8755	146056.0131
ADAM8|101	833.631	ADAM8|101	146.302
ADAM9|8754	1767.7274	ADAM9|8754	525.5129
ADAMDEC1|27299	731.7137	lowly_expressed	lowly_expressed
ADAMTS10|81794	313.3012	ADAMTS10|81794	166.3635
ADAMTS12|81792	166.0874	ADAMTS12|81792	74.3743
ADAMTS13|11093	283.9746	ADAMTS13|11093	121.8368
ADAMTS14|140766	44.4255	ADAMTS14|140766	24.4652
ADAMTS15|170689	16.2603	ADAMTS15|170689	43.0588
lowly_expressed	lowly_expressed	ADAMTS16|170690	121.3475
ADAMTS17|170691	20.035	ADAMTS17|170691	42.5695
lowly_expressed	lowly_expressed	ADAMTS18|170692	66.5454
ADAMTS1|9510	461.9669	ADAMTS1|9510	4028.4433
ADAMTS2|9509	337.4013	ADAMTS2|9509	334.6842
ADAMTS3|9508	48.2002	ADAMTS3|9508	35.2299
ADAMTS4|9507	2609.4885	ADAMTS4|9507	818.117
ADAMTS5|11096	67.3641	ADAMTS5|11096	920.8709
ADAMTS6|11174	83.3341	ADAMTS6|11174	14.1898
ADAMTS7|11173	135.5993	ADAMTS7|11173	53.3342
ADAMTS8|11095	23.5194	ADAMTS8|11095	122.8154
ADAMTS9|56999	111.2089	ADAMTS9|56999	349.8527
ADAMTSL1|92949	43.5544	ADAMTSL1|92949	96.8823
ADAMTSL2|9719	173.3465	ADAMTSL2|9719	32.2941
ADAMTSL3|57188	69.687	ADAMTSL3|57188	81.7138
ADAMTSL4|54507	524.1044	ADAMTSL4|54507	811.756
ADAMTSL5|339366	7.5494	ADAMTSL5|339366	111.0721
ADAP1|11033	276.3584	ADAP1|11033	154.3021
ADAP2|55803	682.6424	ADAP2|55803	319.0265
ADARB1|104	341.7568	ADARB1|104	648.8177
lowly_expressed	lowly_expressed	ADARB2|105	9.7861
ADAR|103	17636.6229	ADAR|103	4209.9752
ADAT1|23536	609.1807	ADAT1|23536	110.0935
ADAT2|134637	161.1512	ADAT2|134637	131.6229
ADAT3|113179	99.8847	ADAT3|113179	39.6337
ADA|100	435.2535	ADA|100	127.7085
ADCK1|57143	208.4803	ADCK1|57143	262.2672
ADCK2|90956	1509.8854	ADCK2|90956	1226.6862
ADCK4|79934	1794.4407	ADCK4|79934	1097.9991
ADCK5|203054	211.384	ADCK5|203054	174.1924
ADCY1|107	265.6818	ADCY1|107	302.3901
ADCY2|108	421.0257	ADCY2|108	180.064
ADCY3|109	5952.7145	ADCY3|109	1208.807
ADCY4|196883	58.3629	ADCY4|196883	689.4299
ADCY5|111	66.493	ADCY5|111	131.6229
ADCY6|112	1379.2222	ADCY6|112	1624.0014
ADCY7|113	1757.855	ADCY7|113	245.6308
ADCY9|115	858.3118	ADCY9|115	545.5744
lowly_expressed	lowly_expressed	ADCYAP1|116	39.1444
ADC|113451	192.8008	ADC|113451	211.8688
ADD1|118	6183.2711	ADD1|118	5191.5199
ADD2|119	71.1388	ADD2|119	28.869
ADD3|120	1483.7528	ADD3|120	1777.6429
lowly_expressed	lowly_expressed	ADH1A|124	41.5909
ADH1B|125	171.8946	ADH1B|125	6619.7995
lowly_expressed	lowly_expressed	ADH1C|126	519.152
ADH5|128	1284.564	ADH5|128	3112.4654
ADHFE1|137872	99.0136	ADHFE1|137872	251.0132
ADI1|55256	846.1165	ADI1|55256	2406.3991
ADIPOQ|9370	151.8596	ADIPOQ|9370	4902.341
ADIPOR1|51094	3233.4776	ADIPOR1|51094	2497.899
ADIPOR2|79602	1828.1228	ADIPOR2|79602	1979.7257
ADK|132	348.4351	ADK|132	246.1201
ADM2|79924	1054.0161	ADM2|79924	93.4571
ADM|133	268.5854	ADM|133	754.5074
ADNP2|22850	680.3195	ADNP2|22850	406.612
ADNP|23394	3435.57	ADNP|23394	1360.7556
ADORA1|134	274.9734	lowly_expressed	lowly_expressed
ADORA2A|135	338.2695	ADORA2A|135	100.3074
ADORA2B|136	185.5417	ADORA2B|136	95.9037
ADORA3|140	273.8119	ADORA3|140	76.3315
ADO|84890	757.8463	ADO|84890	464.3499
ADPGK|83440	1207.5076	ADPGK|83440	946.1826
ADPRHL1|113622	1365.2848	ADPRHL1|113622	214.3153
ADPRHL2|54936	994.7822	ADPRHL2|54936	1219.3466
ADPRH|141	254.648	ADPRH|141	358.1708
ADRA1A|148	186.4128	ADRA1A|148	24.4652
ADRA1B|147	5.8073	ADRA1B|147	28.3797
ADRA2A|150	213.4165	ADRA2A|150	793.6518
ADRA2B|151	24.3905	ADRA2B|151	26.4224
ADRA2C|152	17.1314	ADRA2C|152	100.7967
