gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
BUB1B|701	511.5617	BUB1B|701	79.0585
BUB1|699	481.9982	BUB1|699	77.8255
BUB3|9184	2801.0801	BUB3|9184	2692.7057
BUD13|84811	337.0837	BUD13|84811	426.1459
BUD31|8896	1433.1143	BUD31|8896	782.7472
BVES|11149	77.8578	BVES|11149	105.5163
BYSL|705	501.8002	BYSL|705	340.1589
BZRAP1|9256	49.955	BZRAP1|9256	327.9166
BZW1|9689	8961.2961	BZW1|9689	5871.8939
BZW2|28969	2146.7147	BZW2|28969	1431.7569
C10orf105|414152	8.5509	C10orf105|414152	11.6593
lowly_expressed	lowly_expressed	C10orf107|219621	7.87
C10orf108|414235	9.0009	C10orf108|414235	7.287000000000001
C10orf10|11067	4277.6778	C10orf10|11067	3011.0034
lowly_expressed	lowly_expressed	C10orf110|55853	82.70200000000001
lowly_expressed	lowly_expressed	C10orf111|221060	6.1211
C10orf114|399726	11.7012	C10orf114|399726	11.0763
C10orf116|10974	935.9946	C10orf116|10974	1093.3848
C10orf118|55088	504.0504	C10orf118|55088	1345.1869
C10orf119|79892	1754.7255	C10orf119|79892	1486.2639
C10orf11|83938	37.8038	C10orf11|83938	29.7311
C10orf125|282969	55.8056	C10orf125|282969	33.5204
C10orf128|170371	18.0018	C10orf128|170371	16.0315
lowly_expressed	lowly_expressed	C10orf129|142827	6.1211
C10orf12|26148	119.4374	C10orf12|26148	188.4836
C10orf137|26098	238.5239	C10orf137|26098	411.2803
C10orf140|387640	5.4005	C10orf140|387640	9.6189
C10orf18|54906	1353.7354	C10orf18|54906	1841.5798
C10orf25|220979	32.8533	C10orf25|220979	39.6415
C10orf26|54838	2810.0809999999997	C10orf26|54838	1935.4369
C10orf28|27291	397.8398	C10orf28|27291	383.8811
C10orf2|56652	340.23400000000004	C10orf2|56652	314.8
C10orf32|119032	551.2736	C10orf32|119032	792.2466
C10orf35|219738	175.5176	C10orf35|219738	164.9785
C10orf41|100131213	11.7012	C10orf41|100131213	26.8717
C10orf46|143384	1295.2295	C10orf46|143384	2107.7024
C10orf47|254427	207.4707	C10orf47|254427	198.4989
C10orf4|118924	373.5374	C10orf4|118924	317.1318
C10orf54|64115	1029.2529	C10orf54|64115	611.2366
C10orf55|414236	7.2997	C10orf55|414236	22.1701
C10orf57|80195	1431.1431	C10orf57|80195	1946.1809
C10orf58|84293	2319.982	C10orf58|84293	1897.2528
lowly_expressed	lowly_expressed	C10orf68|79741	10.0998
C10orf72|196740	565.2565	C10orf72|196740	306.0555
C10orf75|90271	103.9604	C10orf75|90271	220.36
C10orf76|79591	544.1044	C10orf76|79591	760.4751
C10orf78|119392	90.9091	C10orf78|119392	116.8841
C10orf79|80217	9.0009	C10orf79|80217	83.9467
C10orf81|79949	291.6292	C10orf81|79949	1817.3869
lowly_expressed	lowly_expressed	C10orf82|143379	11.0763
C10orf84|63877	702.0702	C10orf84|63877	673.3222
C10orf88|80007	234.0234	C10orf88|80007	212.7815
C10orf90|118611	6.3006	C10orf90|118611	53.3411
lowly_expressed	lowly_expressed	C10orf93|255352	23.026999999999997
C10orf95|79946	40.2565	lowly_expressed	lowly_expressed
C10orf99|387695	11.2511	lowly_expressed	lowly_expressed
C11orf10|746	1179.568	C11orf10|746	731.0355
C11orf17|56672	212.4212	C11orf17|56672	272.2437
C11orf1|64776	210.171	C11orf1|64776	397.9013
lowly_expressed	lowly_expressed	C11orf20|25858	8.1615
C11orf21|29125	18.4518	lowly_expressed	lowly_expressed
C11orf24|53838	1676.8677	C11orf24|53838	534.2855
C11orf2|738	1576.0576	C11orf2|738	1383.6625
C11orf30|56946	378.4878	C11orf30|56946	601.6177
C11orf31|280636	710.6211	C11orf31|280636	794.2869999999999
C11orf35|256329	12.7183	C11orf35|256329	30.4161
C11orf41|25758	278.5779	C11orf41|25758	138.4537
C11orf45|219833	42.3042	C11orf45|219833	38.1841
C11orf46|120534	469.3969	C11orf46|120534	609.1962
C11orf48|79081	621.4941	C11orf48|79081	584.8925
C11orf49|79096	475.6976	C11orf49|79096	438.3881
C11orf51|25906	373.4293	C11orf51|25906	395.1235
C11orf52|91894	214.2214	C11orf52|91894	675.4908
C11orf53|341032	5.4005	C11orf53|341032	5.2467
C11orf54|28970	325.3825	C11orf54|28970	863.951
C11orf57|55216	581.9082	C11orf57|55216	794.2869999999999
C11orf58|10944	2157.9658	C11orf58|10944	3157.3271
C11orf59|55004	1575.1575	C11orf59|55004	1704.2921
C11orf61|79684	194.4194	C11orf61|79684	139.3281
C11orf63|79864	159.766	C11orf63|79864	196.4585
lowly_expressed	lowly_expressed	C11orf65|160140	6.7041
C11orf66|220004	6.7507	C11orf66|220004	18.0719
C11orf67|28971	170.5671	C11orf67|28971	268.7459
C11orf68|83638	489.649	C11orf68|83638	419.4418
C11orf70|85016	14.4014	C11orf70|85016	30.6056
C11orf71|54494	135.9136	C11orf71|54494	299.6429
C11orf73|51501	341.5842	C11orf73|51501	294.6878
C11orf74|119710	100.8101	C11orf74|119710	125.337
C11orf75|56935	166.9667	C11orf75|56935	353.2755
C11orf80|79703	311.4311	C11orf80|79703	295.8537
C11orf82|220042	117.0117	C11orf82|220042	56.2559
C11orf83|790955	385.2385	C11orf83|790955	215.1133
C11orf84|144097	545.9046	C11orf84|144097	297.6026
C11orf92|399948	42.3042	C11orf92|399948	169.6422
C11orf93|120376	18.4518	C11orf93|120376	26.2333
C11orf95|65998	307.3807	C11orf95|65998	527.29
C11orf9|745	21.6022	C11orf9|745	14.5741
C12orf10|60314	955.8956	C12orf10|60314	483.8592
C12orf11|55726	537.8038	C12orf11|55726	455.5855
C12orf23|90488	1752.0252	C12orf23|90488	1537.5647
C12orf24|29902	42.7543	C12orf24|29902	42.5563
C12orf26|84190	73.8074	C12orf26|84190	188.297
C12orf29|91298	296.3906	C12orf29|91298	463.5255
C12orf32|83695	703.4203	C12orf32|83695	550.8999
C12orf34|84915	383.4383	C12orf34|84915	214.5304
C12orf35|55196	1749.3249	C12orf35|55196	981.1266
C12orf41|54934	518.4518	C12orf41|54934	479.1955
C12orf43|64897	325.8326	C12orf43|64897	231.1448
C12orf44|60673	896.4896	C12orf44|60673	788.4573
C12orf45|121053	261.0261	C12orf45|121053	154.7767
C12orf47|51275	363.6589	C12orf47|51275	212.4113
C12orf48|55010	168.5644	C12orf48|55010	39.933
C12orf49|79794	435.1935	C12orf49|79794	638.9273
C12orf4|57102	258.7759	C12orf4|57102	396.7063
C12orf51|283450	1504.0504	C12orf51|283450	1803.1043
C12orf52|84934	547.2547	C12orf52|84934	337.244
C12orf53|196500	6.7507	C12orf53|196500	23.026999999999997
C12orf57|113246	1751.5752	C12orf57|113246	949.0636
C12orf59|120939	22.5023	lowly_expressed	lowly_expressed
C12orf5|57103	216.9217	C12orf5|57103	394.0829
C12orf60|144608	15.3015	C12orf60|144608	14.5741
C12orf61|283416	6.7507	C12orf61|283416	9.6189
C12orf62|84987	586.4086	C12orf62|84987	575.9674
C12orf63|374467	7.2007	lowly_expressed	lowly_expressed
C12orf65|91574	360.9361	C12orf65|91574	176.0548
C12orf66|144577	95.8596	C12orf66|144577	171.0996
C12orf68|387856	32.4032	C12orf68|387856	37.3096
C12orf69|440087	6.7507	C12orf69|440087	5.5381
C12orf72|254013	51.7552	C12orf72|254013	74.9107
C12orf73|728568	221.4221	C12orf73|728568	91.8167
lowly_expressed	lowly_expressed	C12orf74|338809	5.8296
C12orf75|387882	687.2187	C12orf75|387882	249.7996
C12orf76|400073	152.8533	C12orf76|400073	124.7541
C13orf15|28984	861.8362	C13orf15|28984	619.9811
C13orf18|80183	112.0612	C13orf18|80183	113.3863
C13orf1|57213	147.6148	C13orf1|57213	257.3781
C13orf23|80209	891.0891	C13orf23|80209	935.6555
C13orf27|93081	55.8056	C13orf27|93081	115.7181
C13orf29|283487	71.5572	C13orf29|283487	123.5881
C13orf31|144811	265.5266	C13orf31|144811	313.9255
C13orf33|84935	203.8704	C13orf33|84935	430.5181
C13orf34|79866	121.6832	C13orf34|79866	103.0678
C13orf37|440145	219.622	C13orf37|440145	278.3648
lowly_expressed	lowly_expressed	C13orf38|728591	14.7023
C14orf101|54916	397.3897	C14orf101|54916	492.6037
C14orf102|55051	257.4257	C14orf102|55051	319.4637
C14orf104|55172	218.7219	C14orf104|55172	325.2933
C14orf106|55320	568.8569	C14orf106|55320	445.3837
C14orf109|26175	321.3321	C14orf109|26175	311.8852
C14orf118|55668	187.2187	C14orf118|55668	290.8985
C14orf119|55017	1027.0027	C14orf119|55017	853.1662
C14orf126|112487	256.4851	C14orf126|112487	339.1737
C14orf128|84837	16.6517	C14orf128|84837	94.1485
C14orf129|51527	409.0909	C14orf129|51527	747.6499
C14orf132|56967	457.6958	C14orf132|56967	819.0629
C14orf135|64430	639.0639	C14orf135|64430	910.8795
C14orf138|79609	78.3078	C14orf138|79609	99.1037
C14orf139|79686	76.5077	C14orf139|79686	92.1081
C14orf142|84520	200.27	C14orf142|84520	206.0774
C14orf143|90141	65.7066	C14orf143|90141	120.6733
C14orf145|145508	141.7642	C14orf145|145508	306.6385
C14orf147|171546	690.8191	C14orf147|171546	1295.6351
lowly_expressed	lowly_expressed	C14orf148|122945	9.3274
C14orf149|112849	55.3555	C14orf149|112849	66.7493
C14orf153|84334	500.5806	C14orf153|84334	361.7168
C14orf156|81892	950.045	C14orf156|81892	471.9085
C14orf159|80017	536.9037	C14orf159|80017	784.3766
lowly_expressed	lowly_expressed	C14orf162|56936	11.0763
C14orf166|51637	3296.5797	C14orf166|51637	2161.9179
C14orf167|55449	785.5266	C14orf167|55449	1040.8016
C14orf169|79697	358.2358	C14orf169|79697	334.0377
C14orf174|161394	55.8056	C14orf174|161394	103.1844
C14orf176|643382	11.2511	C14orf176|643382	16.9059
C14orf179|112752	257.4257	C14orf179|112752	256.5037
C14orf180|400258	17.1017	lowly_expressed	lowly_expressed
C14orf181|400223	19.802	C14orf181|400223	35.8522
C14orf182|283551	7.6508	C14orf182|283551	6.4126
lowly_expressed	lowly_expressed	C14orf184|650662	6.4126
lowly_expressed	lowly_expressed	C14orf19|280655	5.2467
C14orf1|11161	1274.5275	C14orf1|11161	1512.7887
C14orf21|161424	207.4707	C14orf21|161424	377.76
C14orf28|122525	58.9559	C14orf28|122525	76.9511
C14orf2|9556	1329.4329	C14orf2|9556	841.7984
C14orf33|100129075	36.0036	C14orf33|100129075	84.8211
C14orf37|145407	180.018	C14orf37|145407	81.9063
C14orf43|91748	1368.5869	C14orf43|91748	1676.6013
C14orf45|80127	319.73900000000003	C14orf45|80127	407.2433
C14orf49|161176	50.405	C14orf49|161176	49.8433
C14orf4|64207	1760.126	C14orf4|64207	1430.2995
C14orf50|145376	6.7507	C14orf50|145376	19.8207
C14orf64|388011	22.0522	C14orf64|388011	28.2737
C14orf73|91828	5.8506	lowly_expressed	lowly_expressed
C14orf79|122616	198.9199	C14orf79|122616	321.2126
C14orf80|283643	242.5743	C14orf80|283643	95.3144
C14orf93|60686	225.0225	C14orf93|60686	160.8978
C15orf17|57184	703.4203	C15orf17|57184	896.8884
C15orf21|283651	16.6517	C15orf21|283651	49.2604
C15orf23|90417	489.649	C15orf23|90417	875.0273
C15orf24|56851	1466.2466	C15orf24|56851	1015.8129
C15orf27|123591	20.252	C15orf27|123591	12.5337
C15orf29|79768	227.2727	C15orf29|79768	364.0603
C15orf33|196951	34.2034	C15orf33|196951	44.4276
lowly_expressed	lowly_expressed	C15orf34|80072	81.9063
C15orf37|283687	51.4221	C15orf37|283687	48.1527
C15orf38|348110	164.64	C15orf38|348110	282.9702
C15orf39|56905	980.6481	C15orf39|56905	654.9588
C15orf40|123207	171.4671	C15orf40|123207	248.6337
C15orf41|84529	55.3555	C15orf41|84529	95.8974
C15orf42|90381	140.8641	C15orf42|90381	28.4865
lowly_expressed	lowly_expressed	C15orf43|145645	53.0496
C15orf44|81556	1088.6589	C15orf44|81556	972.0907
C15orf48|84419	1460.8461	C15orf48|84419	254.1718
lowly_expressed	lowly_expressed	C15orf51|196968	8.453
C15orf52|388115	97.6598	C15orf52|388115	636.304
lowly_expressed	lowly_expressed	C15orf56|644809	10.2019
C15orf57|90416	430.6031	C15orf57|90416	298.1972
C15orf58|390637	31.0531	C15orf58|390637	42.8478
C15orf59|388135	9.0009	C15orf59|388135	7.5785
C15orf61|145853	104.4104	C15orf61|145853	104.6418
C15orf62|643338	14.4014	C15orf62|643338	23.9015
C15orf63|25764	1826.3816	C15orf63|25764	713.8381
C16orf13|84326	1091.3591	C16orf13|84326	258.2526
C16orf42|115939	832.5293	C16orf42|115939	504.671
C16orf45|89927	246.1746	C16orf45|89927	426.7288
C16orf46|123775	25.6526	C16orf46|123775	64.1259
C16orf48|84080	128.7129	C16orf48|84080	222.9833
C16orf52|730094	159.3159	C16orf52|730094	317.1318
C16orf53|79447	840.0675	C16orf53|79447	783.645
C16orf54|283897	199.82	C16orf54|283897	28.2737
C16orf55|124045	105.3105	C16orf55|124045	94.7315
C16orf57|79650	702.0702	C16orf57|79650	747.6499
C16orf58|64755	2559.4059	C16orf58|64755	1983.2398
C16orf59|80178	149.4149	C16orf59|80178	31.1885
C16orf5|29965	367.6868	C16orf5|29965	527.5814
C16orf61|56942	279.4239	C16orf61|56942	222.3421
C16orf62|57020	826.7327	C16orf62|57020	1510.4569
C16orf63|123811	594.5095	C16orf63|123811	726.9547
C16orf68|79091	170.5671	C16orf68|79091	117.1755
C16orf70|80262	607.8218	C16orf70|80262	572.0761
C16orf71|146562	18.0018	C16orf71|146562	31.7715
C16orf72|29035	1005.4005	C16orf72|29035	1308.7517
C16orf74|404550	149.865	C16orf74|404550	93.2741
C16orf75|116028	384.3384	C16orf75|116028	52.4667
C16orf79|283870	16.3816	C16orf79|283870	5.8646
C16orf7|9605	153.0378	C16orf7|9605	195.1935
C16orf80|29105	535.5536	C16orf80|29105	472.7829
C16orf86|388284	20.252	C16orf86|388284	28.5652
C16orf87|388272	103.9604	C16orf87|388272	85.6955
C16orf88|400506	482.8983	C16orf88|400506	476.8637
C16orf89|146556	46.3546	C16orf89|146556	550.0255
C16orf91|283951	247.0747	C16orf91|283951	138.7452
C16orf93|90835	15.3015	C16orf93|90835	29.7311
C17orf100|388327	35.1035	C17orf100|388327	44.0137
C17orf101|79701	363.1728	C17orf101|79701	427.3118
C17orf103|256302	290.279	C17orf103|256302	564.5996
lowly_expressed	lowly_expressed	C17orf104|284071	6.7041
C17orf106|100134934	406.0216	C17orf106|100134934	226.2625
C17orf107|100130311	71.5662	C17orf107|100130311	219.3106
C17orf108|201229	97.0882	C17orf108|201229	177.8037
C17orf28|283987	2849.2349	C17orf28|283987	2316.9861
C17orf37|84299	683.1683	C17orf37|84299	718.2103
C17orf39|79018	308.2808	C17orf39|79018	363.7689
C17orf42|79736	110.7111	C17orf42|79736	176.3463
C17orf44|284029	57.1557	C17orf44|284029	48.9689
C17orf48|56985	107.5608	C17orf48|56985	156.817
C17orf49|124944	935.8236	C17orf49|124944	620.8176
C17orf51|339263	171.0171	C17orf51|339263	167.8933
C17orf53|78995	82.8083	C17orf53|78995	36.7267
C17orf55|284185	17.1017	lowly_expressed	lowly_expressed
C17orf56|146705	206.4176	C17orf56|146705	224.4699
C17orf57|124989	11.7012	C17orf57|124989	44.8881
C17orf58|284018	669.6669999999999	C17orf58|284018	551.7744
C17orf59|54785	178.6679	C17orf59|54785	166.4359
C17orf60|284021	40.054	C17orf60|284021	10.2019
C17orf61|254863	226.1926	C17orf61|254863	379.9665
C17orf62|79415	1488.2988	C17orf62|79415	870.3636
C17orf63|55731	783.5284	C17orf63|55731	873.2784
C17orf65|339201	121.5122	C17orf65|339201	131.4232
C17orf67|339210	50.405	C17orf67|339210	14.5741
C17orf68|80169	435.6436	C17orf68|80169	875.0273
C17orf69|147081	30.6031	C17orf69|147081	68.4981
C17orf70|80233	891.5392	C17orf70|80233	600.1603
C17orf71|55181	935.6436	C17orf71|55181	502.8055
C17orf72|92340	36.4356	C17orf72|92340	47.1821
C17orf75|64149	133.2133	C17orf75|64149	248.0507
C17orf76|388341	62.1062	C17orf76|388341	36.1437
lowly_expressed	lowly_expressed	C17orf77|146723	33.8118
C17orf79|55352	373.0873	C17orf79|55352	402.8274
C17orf80|55028	418.5419	C17orf80|55028	663.7033
C17orf81|23587	360.036	C17orf81|23587	475.4063
C17orf82|388407	34.6535	lowly_expressed	lowly_expressed
C17orf85|55421	351.9352	C17orf85|55421	826.9329
C17orf86|654434	56.2556	C17orf86|654434	98.2293
C17orf87|388325	24.3024	C17orf87|388325	5.8675
C17orf89|284184	251.1251	C17orf89|284184	197.3329
C17orf90|339229	356.4356	C17orf90|339229	255.6292
C17orf91|84981	121.5122	C17orf91|84981	242.8041
C17orf95|124512	300.6301	C17orf95|124512	339.8674
C17orf96|100170841	95.4095	C17orf96|100170841	133.207
C17orf97|400566	284.4284	C17orf97|400566	229.9789
C18orf10|25941	1630.5131	C18orf10|25941	1017.2703
lowly_expressed	lowly_expressed	C18orf16|147429	5.8296
C18orf18|147525	41.8542	C18orf18|147525	29.4396
C18orf19|125228	351.4851	C18orf19|125228	288.2752
C18orf1|753	2105.3105	C18orf1|753	1084.3110000000001
C18orf21|83608	416.7417	C18orf21|83608	149.2385
C18orf22|79863	390.189	C18orf22|79863	493.7696
C18orf25|147339	641.3141	C18orf25|147339	859.2873
C18orf32|497661	1280.0	C18orf32|497661	1403.4482
C18orf34|374864	9.0009	C18orf34|374864	14.5741
C18orf45|85019	568.8569	C18orf45|85019	821.1033
C18orf54|162681	139.964	C18orf54|162681	59.1707
C18orf55|29090	352.3852	C18orf55|29090	319.7552
C18orf56|494514	34.6535	lowly_expressed	lowly_expressed
C18orf8|29919	472.0657	C18orf8|29919	465.9506
C19orf10|56005	2599.0099	C19orf10|56005	1402.9002
C19orf12|83636	440.5941	C19orf12|83636	452.9622
C19orf18|147685	11.2511	C19orf18|147685	23.3185
C19orf20|91978	184.0684	C19orf20|91978	31.1885
C19orf21|126353	1549.505	C19orf21|126353	211.0326
C19orf22|91300	1773.1773	C19orf22|91300	1097.4277
C19orf23|148046	20.252	C19orf23|148046	10.7848
C19orf24|55009	965.3465	C19orf24|55009	372.8048
C19orf25|148223	468.9469	C19orf25|148223	332.2889
lowly_expressed	lowly_expressed	C19orf26|255057	8.7444
C19orf28|126321	1036.4536	C19orf28|126321	696.3492
C19orf29|58509	540.9541	C19orf29|58509	399.9126
C19orf2|8725	1178.6679	C19orf2|8725	1632.5876
C19orf33|64073	1355.036	C19orf33|64073	122.4455
C19orf35|374872	14.8515	lowly_expressed	lowly_expressed
C19orf36|113177	21.1521	C19orf36|113177	14.8656
C19orf38|255809	28.8029	C19orf38|255809	6.9956
C19orf39|126074	83.7084	C19orf39|126074	111.3459
C19orf40|91442	64.3564	C19orf40|91442	27.3993
C19orf42|79086	1843.3843	C19orf42|79086	1347.2273
C19orf43|79002	2180.468	C19orf43|79002	1050.4992
C19orf44|84167	105.5671	C19orf44|84167	145.9885
C19orf46|163183	279.928	C19orf46|163183	297.3111
C19orf47|126526	289.3789	C19orf47|126526	299.3515
C19orf48|84798	1200.27	C19orf48|84798	407.4911
C19orf50|79036	1261.9262	C19orf50|79036	1049.3332
C19orf51|352909	76.9577	C19orf51|352909	81.3233
C19orf52|90580	247.0747	C19orf52|90580	214.2389
C19orf53|28974	2198.0198	C19orf53|28974	907.0903
C19orf54|284325	357.3357	C19orf54|284325	296.1452
C19orf55|148137	65.2565	C19orf55|148137	117.1755
C19orf56|51398	2301.0801	C19orf56|51398	1437.2951
C19orf57|79173	62.5563	C19orf57|79173	86.57
C19orf60|55049	374.8875	C19orf60|55049	216.5707
C19orf61|56006	594.0594	C19orf61|56006	445.6751
C19orf62|29086	1570.207	C19orf62|29086	871.821
C19orf63|284361	3803.3978	C19orf63|284361	2560.035
C19orf66|55337	794.622	C19orf66|55337	323.3316
C19orf6|91304	1952.7453	C19orf6|91304	1238.7962
C19orf70|125988	657.9658	C19orf70|125988	403.1189
C19orf73|55150	22.9523	C19orf73|55150	31.48
C19orf76|199800	20.7021	C19orf76|199800	13.6996
lowly_expressed	lowly_expressed	C19orf77|284422	9.0359
C1D|10438	110.7111	C1D|10438	139.6196
C1GALT1C1|29071	656.1656	C1GALT1C1|29071	732.2014
C1GALT1|56913	122.4122	C1GALT1|56913	327.9166
C1QA|712	4689.4689	C1QA|712	457.0429
C1QBP|708	2635.4770000000003	C1QBP|708	1659.0133
C1QB|713	4799.2799	C1QB|713	540.1151
C1QC|714	4664.2664	C1QC|714	518.5455
C1QL1|10882	13.5014	C1QL1|10882	13.4081
C1QL2|165257	5.8506	C1QL2|165257	7.5785
C1QL3|389941	13.5014	C1QL3|389941	30.0226
lowly_expressed	lowly_expressed	C1QL4|338761	7.5785
C1QTNF1|114897	801.0801	C1QTNF1|114897	376.3026
C1QTNF2|114898	18.4518	C1QTNF2|114898	23.61
C1QTNF3|114899	362.7363	C1QTNF3|114899	89.1933
C1QTNF4|114900	7.6508	lowly_expressed	lowly_expressed
C1QTNF6|114904	1202.0702	C1QTNF6|114904	277.4903
C1QTNF7|114905	35.1035	C1QTNF7|114905	18.0719
lowly_expressed	lowly_expressed	C1QTNF9B|387911	9.9862
C1QTNF9|338872	8.0018	C1QTNF9|338872	8.52
C1RL|51279	759.1809	C1RL|51279	1158.8807
C1R|715	7844.7345	C1R|715	3794.7971
C1S|716	11995.4995	C1S|716	3848.9951
lowly_expressed	lowly_expressed	C1orf101|257044	11.9507
C1orf103|55791	557.1557	C1orf103|55791	507.1777
C1orf104|284618	27.1737	C1orf104|284618	43.4366
C1orf106|55765	94.9595	C1orf106|55765	234.6426
C1orf107|27042	588.6589	C1orf107|27042	738.3225
C1orf109|54955	292.0792	C1orf109|54955	308.0959
C1orf110|339512	35.1035	lowly_expressed	lowly_expressed
C1orf112|55732	223.8164	C1orf112|55732	160.6646
C1orf113|79729	122.4437	C1orf113|79729	299.8994
C1orf114|57821	9.4509	C1orf114|57821	6.7041
C1orf115|79762	1495.0495	C1orf115|79762	1799.315
C1orf116|79098	1128.2628	C1orf116|79098	2187.8598
C1orf122|127687	566.2556	C1orf122|127687	413.0613
C1orf123|54987	770.477	C1orf123|54987	464.9129
C1orf124|83932	226.3726	C1orf124|83932	278.3648
C1orf126|200197	25.7651	C1orf126|200197	60.5757
C1orf127|148345	7.2007	lowly_expressed	lowly_expressed
C1orf128|57095	667.4167	C1orf128|57095	1012.0236
C1orf130|400746	24.7525	C1orf130|400746	557.604
C1orf131|128061	304.2304	C1orf131|128061	192.6692
C1orf133|574036	9.4509	C1orf133|574036	39.0585
C1orf135|79000	30.6031	C1orf135|79000	19.5293
C1orf144|26099	2740.324	C1orf144|26099	2841.6527
C1orf150|148823	12.6013	C1orf150|148823	12.5337
C1orf151|440574	1024.3024	C1orf151|440574	885.2612
C1orf152|767846	7.2007	C1orf152|767846	6.4126
C1orf156|92342	126.4626	C1orf156|92342	154.4852
C1orf159|54991	111.1611	C1orf159|54991	137.5792
lowly_expressed	lowly_expressed	C1orf161|126868	44.8881
C1orf162|128346	367.6868	C1orf162|128346	82.4893
C1orf163|65260	161.1161	C1orf163|65260	283.0285
C1orf168|199920	270.47700000000003	C1orf168|199920	106.6822
C1orf170|84808	18.4518	C1orf170|84808	24.4844
C1orf172|126695	231.3231	C1orf172|126695	1056.9118
C1orf173|127254	6.7507	C1orf173|127254	295.5622
C1orf174|339448	343.3843	C1orf174|339448	315.0915
lowly_expressed	lowly_expressed	C1orf175|374977	16.9059
C1orf183|55924	97.6598	C1orf183|55924	87.7359
C1orf186|440712	14.4014	C1orf186|440712	6.9956
lowly_expressed	lowly_expressed	C1orf187|374946	6.7041
C1orf190|541468	24.9955	C1orf190|541468	43.4978
C1orf192|257177	13.0513	C1orf192|257177	39.6415
C1orf198|84886	2102.1602	C1orf198|84886	2063.9802
C1orf201|90529	108.4608	C1orf201|90529	221.8174
C1orf203|84852	44.5725	C1orf203|84852	67.3526
C1orf204|284677	67.1602	C1orf204|284677	80.9386
C1orf210|149466	211.9712	C1orf210|149466	346.8629
C1orf212|113444	752.9253	C1orf212|113444	535.16
C1orf213|148898	18.4563	C1orf213|148898	26.3703
C1orf216|127703	461.7462	C1orf216|127703	367.8496
C1orf21|81563	2409.0909	C1orf21|81563	2808.7153
C1orf220|400798	5.8506	lowly_expressed	lowly_expressed
C1orf226|400793	3054.0054	C1orf226|400793	1521.2417
C1orf228|339541	8.1008	C1orf228|339541	7.87
C1orf229|388759	9.901	C1orf229|388759	8.7444
C1orf25|81627	483.3483	C1orf25|81627	566.9314
C1orf26|54823	111.6112	C1orf26|54823	172.2655
C1orf27|54953	922.5923	C1orf27|54953	1305.5454
C1orf31|388753	451.3951	C1orf31|388753	203.7455
C1orf35|79169	375.3375	C1orf35|79169	173.7229
C1orf38|9473	459.94599999999997	C1orf38|9473	145.4492
C1orf43|25912	6890.189	C1orf43|25912	4088.6104
C1orf50|79078	215.1215	C1orf50|79078	142.2429
C1orf51|148523	47.2547	C1orf51|148523	74.0363
C1orf52|148423	203.4203	C1orf52|148423	257.0866
C1orf53|388722	74.7075	C1orf53|388722	21.5696
C1orf54|79630	242.1242	C1orf54|79630	53.0496
C1orf55|163859	784.8785	C1orf55|163859	781.7533
C1orf56|54964	210.468	C1orf56|54964	152.0163
C1orf57|84284	363.1863	C1orf57|84284	417.11
C1orf58|148362	489.91900000000004	C1orf58|148362	600.6879
C1orf59|113802	126.0126	C1orf59|113802	226.4811
lowly_expressed	lowly_expressed	C1orf61|10485	7.287000000000001
C1orf63|57035	138.6139	C1orf63|57035	285.0689
C1orf64|149563	982.4482	C1orf64|149563	408.3655
C1orf66|51093	357.3357	C1orf66|51093	578.2992
C1orf69|200205	139.0639	C1orf69|200205	249.2166
C1orf74|148304	89.1089	C1orf74|148304	124.7541
C1orf77|26097	1880.7381	C1orf77|26097	1529.4032
C1orf83|127428	164.7165	C1orf83|127428	214.5304
C1orf84|149469	11.5392	C1orf84|149469	19.3835
C1orf85|112770	1073.3573	C1orf85|112770	628.7255
C1orf86|199990	558.0063	C1orf86|199990	215.2008
C1orf88|128344	29.703000000000003	C1orf88|128344	141.3685
C1orf89|79363	23.4023	C1orf89|79363	62.6685
C1orf91|56063	103.4698	C1orf91|56063	161.9354
C1orf93|127281	1069.3744	C1orf93|127281	798.1462
C1orf95|375057	23.4023	C1orf95|375057	33.8118
C1orf96|126731	514.4014	C1orf96|126731	384.1726
C1orf97|84791	179.1179	C1orf97|84791	139.6196
C1orf9|51430	2226.3726	C1orf9|51430	2094.8772
C20orf103|24141	696.2196	C20orf103|24141	64.1259
C20orf108|116151	2618.3618	C20orf108|116151	4796.6188
C20orf111|51526	886.5887	C20orf111|51526	764.2644
C20orf112|140688	1356.8857	C20orf112|140688	710.0488
C20orf114|92747	868.5869	C20orf114|92747	61.5026
C20orf117|140710	409.541	C20orf117|140710	646.2144
C20orf118|140711	17.9613	C20orf118|140711	13.2653
C20orf11|54994	1953.6454	C20orf11|54994	1848.2839
C20orf12|55184	51.3051	C20orf12|55184	145.1578
C20orf132|140699	23.8524	C20orf132|140699	29.4484
C20orf134|170487	30.6031	C20orf134|170487	42.2648
C20orf135|140701	99.0099	C20orf135|140701	62.96
C20orf151|140893	132.3132	C20orf151|140893	90.9422
C20orf160|140706	176.4176	C20orf160|140706	66.7493
C20orf177|63939	209.72099999999998	C20orf177|63939	224.7497
C20orf194|25943	385.2385	C20orf194|25943	745.6096
C20orf195|79025	8.5509	lowly_expressed	lowly_expressed
C20orf196|149840	47.7048	C20orf196|149840	81.0318
lowly_expressed	lowly_expressed	C20orf197|284756	7.287000000000001
