gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
ACAD8|27034	228.6229	ACAD8|27034	753.771
ACAD9|28976	940.135	ACAD9|28976	790.4919
ACADL|33	6.7507	ACADL|33	278.9478
ACADM|34	781.2781	ACADM|34	4198.2074
ACADSB|36	1740.7741	ACADSB|36	3117.3942
ACADS|35	207.4707	ACADS|35	283.6115
ACADVL|37	2164.703	ACADVL|37	5888.1323
ACAN|176	193.0693	ACAN|176	6.1211
ACAP1|9744	259.676	ACAP1|9744	17.4889
ACAP2|23527	1011.2511	ACAP2|23527	1253.0788
ACAP3|116983	302.4302	ACAP3|116983	361.1892
ACAT1|38	931.5932	ACAT1|38	951.6869
ACAT2|39	740.7381	ACAT2|39	1197.9188
ACBD3|64746	1793.8794	ACBD3|64746	1776.8709
ACBD4|79777	126.4626	ACBD4|79777	181.5929
ACBD5|91452	1093.1593	ACBD5|91452	1001.5303
ACBD6|84320	648.5149	ACBD6|84320	380.3833
ACBD7|414149	38.2538	ACBD7|414149	33.2289
lowly_expressed	lowly_expressed	ACCN1|40	44.5967
ACCN2|41	63.4563	ACCN2|41	49.8433
ACCN3|9311	49.505	ACCN3|9311	6.1211
ACCS|84680	59.4059	ACCS|84680	230.8533
ACD|65057	306.9307	ACD|65057	244.2615
lowly_expressed	lowly_expressed	ACE2|59272	80.4489
lowly_expressed	lowly_expressed	ACER1|125981	83.6552
ACER2|340485	110.7111	ACER2|340485	232.8937
ACER3|55331	218.7219	ACER3|55331	258.8355
ACE|1636	847.4347	ACE|1636	919.3325
ACHE|43	44.5545	ACHE|43	20.1122
ACIN1|22985	3181.8182	ACIN1|22985	3181.8116
ACLY|47	2823.1323	ACLY|47	8192.0863
lowly_expressed	lowly_expressed	ACMSD|130013	17.7804
ACN9|57001	54.9055	ACN9|57001	147.4896
ACO1|48	808.7309	ACO1|48	1233.5495
ACO2|50	4720.8821	ACO2|50	2859.162
ACOT11|26027	32.3087	ACOT11|26027	16.0315
ACOT13|55856	699.8875	ACOT13|55856	626.484
ACOT1|641371	435.6436	ACOT1|641371	828.9733
ACOT2|10965	413.5914	ACOT2|10965	559.6444
ACOT4|122970	100.8101	ACOT4|122970	273.9926
ACOT7|11332	848.7849	ACOT7|11332	266.414
ACOT8|10005	262.3492	ACOT8|10005	218.101
ACOT9|23597	492.7993	ACOT9|23597	420.6077
ACOX1|51	1581.9082	ACOX1|51	1947.8394
ACOX2|8309	45.9046	ACOX2|8309	151.5704
ACOX3|8310	871.2871	ACOX3|8310	1252.2043
ACP1|52	1894.2394	ACP1|52	1433.7973
ACP2|53	1127.3627	ACP2|53	1194.491
ACP5|54	1490.9991	ACP5|54	1493.8425
ACP6|51205	195.7696	ACP6|51205	1355.6802
ACPL2|92370	301.5302	ACPL2|92370	618.5236
ACPP|55	57.6058	ACPP|55	114.5522
ACRBP|84519	29.703	ACRBP|84519	7.87
ACRC|93953	5.4005	ACRC|93953	8.1615
ACSBG1|23205	7.6508	ACSBG1|23205	10.2019
ACSF2|80221	1139.0864	ACSF2|80221	2295.4165
ACSF3|197322	361.8362	ACSF3|197322	432.5585
ACSL1|2180	1831.2331	ACSL1|2180	17230.9262
ACSL3|2181	2550.405	ACSL3|2181	33101.2169
ACSL4|2182	1158.4158	ACSL4|2182	1354.8058
ACSL5|51703	574.7075	ACSL5|51703	944.9829
ACSL6|23305	22.5023	ACSL6|23305	12.8252
ACSM1|116285	5.8506	ACSM1|116285	2929.0971
ACSM3|6296	17.5653	ACSM3|6296	206.879
ACSM5|54988	44.1044	ACSM5|54988	34.6863
ACSS1|84532	955.4455	ACSS1|84532	1664.0676
ACSS2|55902	852.3852	ACSS2|55902	2705.8223
ACSS3|79611	127.8128	ACSS3|79611	1339.3573
lowly_expressed	lowly_expressed	ACTA1|58	7.87
ACTA2|59	10681.7507	ACTA2|59	18253.9153
ACTB|60	123935.1935	ACTB|60	71519.6386
ACTC1|70	14.8515	lowly_expressed	lowly_expressed
ACTG1|71	90401.8902	ACTG1|71	54815.7109
ACTG2|72	462.1962	ACTG2|72	6706.4053
ACTL6A|86	1595.4095	ACTL6A|86	914.3773
ACTL8|81569	14.8515	lowly_expressed	lowly_expressed
ACTN1|87	6729.973	ACTN1|87	8825.184
ACTN4|81	13508.6589	ACTN4|81	10051.7438
ACTR10|55860	1031.5032	ACTR10|55860	1104.1317
ACTR1A|10121	3006.3006	ACTR1A|10121	2999.3442
ACTR1B|10120	1088.6589	ACTR1B|10120	1265.904
ACTR2|10097	6397.8398	ACTR2|10097	6292.7931
ACTR3B|57180	107.1107	ACTR3B|57180	145.1578
ACTR3C|653857	29.2529	ACTR3C|653857	92.1081
ACTR3|10096	4615.2115	ACTR3|10096	3410.6245
ACTR5|79913	193.0693	ACTR5|79913	192.3778
ACTR6|64431	354.1854	ACTR6|64431	835.9688
ACTR8|93973	452.7453	ACTR8|93973	564.3081
ACVR1B|91	1139.514	ACVR1B|91	1142.0243
ACVR1C|130399	72.4572	ACVR1C|130399	49.2604
ACVR1|90	1052.6553	ACVR1|90	1365.5906
ACVR2A|92	418.5419	ACVR2A|92	547.6937
ACVR2B|93	197.1197	ACVR2B|93	297.0196
ACVRL1|94	859.1359	ACVRL1|94	327.0422
ACY1|95	278.5779	ACY1|95	950.897
ACY3|91703	8.5509	ACY3|91703	37.0181
ACYP1|97	36.0036	ACYP1|97	53.6326
ACYP2|98	136.8137	ACYP2|98	146.6152
ADAL|161823	160.216	ADAL|161823	183.3418
ADAM10|102	1378.9379	ADAM10|102	2257.8153
ADAM11|4185	8.1008	ADAM11|4185	8.453
ADAM12|8038	2568.8569	ADAM12|8038	518.837
ADAM15|8751	5064.856	ADAM15|8751	3439.28
ADAM17|6868	648.5149	ADAM17|6868	1074.1092
ADAM19|8728	619.2619	ADAM19|8728	60.6281
ADAM21|8747	5.4005	lowly_expressed	lowly_expressed
ADAM22|53616	87.7588	ADAM22|53616	47.22
ADAM23|8745	108.0108	ADAM23|8745	32.6459
ADAM28|10863	131.4131	ADAM28|10863	115.4267
ADAM29|11086	56.2556	ADAM29|11086	6.7041
lowly_expressed	lowly_expressed	ADAM2|2515	31.7715
lowly_expressed	lowly_expressed	ADAM32|203102	6.7041
ADAM33|80332	30.6031	ADAM33|80332	222.8055
ADAM6|8755	53400.0225	ADAM6|8755	9364.276
ADAM8|101	552.2052	ADAM8|101	112.5118
ADAM9|8754	1116.1116	ADAM9|8754	3324.6375
ADAMDEC1|27299	305.5806	ADAMDEC1|27299	76.3681
ADAMTS10|81794	144.9145	ADAMTS10|81794	51.8837
ADAMTS12|81792	697.1197	ADAMTS12|81792	94.44
ADAMTS13|11093	8.1008	lowly_expressed	lowly_expressed
ADAMTS14|140766	136.3636	ADAMTS14|140766	7.287
ADAMTS15|170689	227.7228	ADAMTS15|170689	821.9777
ADAMTS16|170690	20.252	ADAMTS16|170690	76.9511
ADAMTS17|170691	26.5527	ADAMTS17|170691	88.9018
ADAMTS18|170692	13.9514	ADAMTS18|170692	90.6507
lowly_expressed	lowly_expressed	ADAMTS19|171019	11.3678
ADAMTS1|9510	2090.9091	ADAMTS1|9510	4572.1781
ADAMTS2|9509	669.667	ADAMTS2|9509	338.1185
ADAMTS3|9508	34.2034	ADAMTS3|9508	93.857
ADAMTS4|9507	1058.9559	ADAMTS4|9507	375.7196
ADAMTS5|11096	216.0216	ADAMTS5|11096	1856.4454
ADAMTS6|11174	60.7561	ADAMTS6|11174	17.1974
ADAMTS7|11173	308.7309	ADAMTS7|11173	36.1437
ADAMTS8|11095	67.5068	ADAMTS8|11095	254.1718
ADAMTS9|56999	639.514	ADAMTS9|56999	425.8544
ADAMTSL1|92949	234.0234	ADAMTSL1|92949	134.0815
ADAMTSL2|9719	311.4311	ADAMTSL2|9719	19.2378
ADAMTSL3|57188	174.6175	ADAMTSL3|57188	220.0685
ADAMTSL4|54507	102.6103	ADAMTSL4|54507	305.764
ADAMTSL5|339366	64.3564	ADAMTSL5|339366	107.8481
ADAP1|11033	92.5878	ADAP1|11033	111.171
ADAP2|55803	544.1044	ADAP2|55803	105.2248
ADARB1|104	703.4203	ADARB1|104	559.9359
lowly_expressed	lowly_expressed	ADARB2|105	18.6548
ADAR|103	12928.8929	ADAR|103	7324.0545
ADAT1|23536	181.3681	ADAT1|23536	454.4196
ADAT2|134637	67.9568	ADAT2|134637	82.1978
ADAT3|113179	30.6031	ADAT3|113179	38.767
ADA|100	192.6193	ADA|100	42.5563
ADCK1|57143	146.7147	ADCK1|57143	223.2748
ADCK2|90956	940.5941	ADCK2|90956	783.2107
ADCK4|79934	506.3006	ADCK4|79934	463.164
ADCK5|203054	99.4599	ADCK5|203054	90.6507
lowly_expressed	lowly_expressed	ADCY10|55811	78.7
ADCY1|107	368.1368	ADCY1|107	1060.9925
ADCY2|108	65.7066	ADCY2|108	183.3418
ADCY3|109	1169.3519	ADCY3|109	834.0917
ADCY4|196883	283.0783	ADCY4|196883	150.1129
ADCY5|111	67.9568	ADCY5|111	246.0103
ADCY6|112	778.1278	ADCY6|112	2056.1102
ADCY7|113	482.4482	ADCY7|113	244.8444
ADCY9|115	688.1188	ADCY9|115	963.9292
ADCYAP1R1|117	11.2511	ADCYAP1R1|117	7.87
ADCYAP1|116	18.0018	ADCYAP1|116	18.3633
ADC|113451	184.5185	ADC|113451	91.2337
ADD1|118	5678.6679	ADD1|118	5312.2495
ADD2|119	38.2538	ADD2|119	18.6548
ADD3|120	2151.2151	ADD3|120	9499.9636
ADH1A|124	13.9514	ADH1A|124	8.453
ADH1B|125	1404.5905	ADH1B|125	625.8107
ADH1C|126	133.2133	ADH1C|126	372.5133
lowly_expressed	lowly_expressed	ADH4|127	6.1211
ADH5|128	2172.8173	ADH5|128	2356.0446
ADH7|131	243.4743	ADH7|131	13.1167
ADHFE1|137872	22.0522	ADHFE1|137872	176.9292
ADI1|55256	2059.856	ADI1|55256	2017.3431
ADIPOQ|9370	1484.2484	ADIPOQ|9370	288.8581
ADIPOR1|51094	6150.7651	ADIPOR1|51094	2925.0164
ADIPOR2|79602	4783.9784	ADIPOR2|79602	2154.3394
ADK|132	223.6724	ADK|132	386.2129
ADM2|79924	290.7291	ADM2|79924	125.0455
ADM|133	333.9334	ADM|133	133.79
ADNP2|22850	686.3186	ADNP2|22850	694.0173
ADNP|23394	3044.1044	ADNP|23394	2940.7564
ADORA1|134	249.775	ADORA1|134	317.4233
ADORA2A|135	701.1701	ADORA2A|135	55.0842
ADORA2B|136	23.4023	ADORA2B|136	52.4667
ADORA3|140	267.3267	ADORA3|140	115.7181
ADO|84890	683.1683	ADO|84890	747.6499
ADPGK|83440	1082.1512	ADPGK|83440	799.4957
ADPRHL1|113622	81.4581	ADPRHL1|113622	135.2474
ADPRHL2|54936	981.0981	ADPRHL2|54936	619.1066
ADPRH|141	360.9361	ADPRH|141	296.4366
ADRA1A|148	5.8506	ADRA1A|148	9.9104
ADRA1B|147	42.3042	ADRA1B|147	17.1974
ADRA1D|146	6.7507	lowly_expressed	lowly_expressed
ADRA2A|150	259.676	ADRA2A|150	1247.5406
ADRA2B|151	19.802	ADRA2B|151	27.1078
ADRA2C|152	59.4059	ADRA2C|152	30.3141
ADRB1|153	6.7507	ADRB1|153	9.3274
ADRB2|154	99.91	ADRB2|154	119.5074
ADRBK1|156	3603.5104	ADRBK1|156	1388.3262
