gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
ACAD11|84129	476.4095	ACAD11|84129	1185.5067
ACAD8|27034	281.9761	ACAD8|27034	720.268
ACAD9|28976	1366.2612	ACAD9|28976	1303.5972
lowly_expressed	lowly_expressed	ACADL|33	600.5025
ACADM|34	3179.4465	ACADM|34	2865.1591
ACADSB|36	438.3475	ACADSB|36	2028.8945
ACADS|35	47.8947	ACADS|35	2020.5193
ACADVL|37	2520.019	ACADVL|37	7645.268
ACAN|176	41.551	ACAN|176	6.2814
ACAP1|9744	28.5465	ACAP1|9744	25.1256
ACAP2|23527	4598.2079	ACAP2|23527	1993.7186
ACAP3|116983	168.4276	ACAP3|116983	380.2345
ACAT1|38	736.1827	ACAT1|38	4719.8492
ACAT2|39	292.8015	ACAT2|39	370.6742
ACBD3|64746	3635.2391	ACBD3|64746	1313.2328
ACBD4|79777	125.6046	ACBD4|79777	313.2328
ACBD5|91452	1355.9591	ACBD5|91452	1092.9648
ACBD6|84320	286.0994	ACBD6|84320	276.8007
ACBD7|414149	69.4632	ACBD7|414149	10.469
ACCN2|41	83.7364	ACCN2|41	134.0034
ACCN3|9311	6.3437	ACCN3|9311	8.794
ACCS|84680	30.4496	ACCS|84680	304.4389
ACD|65057	272.1434	ACD|65057	193.8861
ACE2|59272	1016.5728	ACE2|59272	19.6817
ACER2|340485	202.6802	ACER2|340485	283.0821
ACER3|55331	274.998	ACER3|55331	1862.6466
ACE|1636	180.7945	ACE|1636	1339.196
ACHE|43	200.4599	ACHE|43	17.5879
ACIN1|22985	3351.0427	ACIN1|22985	2192.2111
ACLY|47	5799.0643	ACLY|47	2989.9497
ACMSD|130013	45.04	lowly_expressed	lowly_expressed
ACN9|57001	284.8307	ACN9|57001	167.9229
ACO1|48	1239.2356	ACO1|48	10633.5846
ACO2|50	2446.3532	ACO2|50	5067.1231
ACOT11|26027	102.6342	ACOT11|26027	16.6583
ACOT13|55856	831.2648	ACOT13|55856	883.0318
ACOT1|641371	646.4198	ACOT1|641371	2009.2127
ACOT2|10965	620.0936	ACOT2|10965	1450.5863
ACOT4|122970	636.2699	ACOT4|122970	206.8677
ACOT6|641372	72.9522	ACOT6|641372	13.8191
ACOT7|11332	271.8262	ACOT7|11332	182.5796
ACOT8|10005	285.1542	ACOT8|10005	214.0452
ACOT9|23597	275.3152	ACOT9|23597	620.1843
ACOX1|51	9580.5123	ACOX1|51	4293.5511
ACOX2|8309	27.9121	ACOX2|8309	560.3015
ACOX3|8310	575.3707	ACOX3|8310	420.8543
ACP1|52	2537.4673	ACP1|52	1130.2345
ACP2|53	503.0529	ACP2|53	886.9347
ACP5|54	641.9792	ACP5|54	444.3049
ACP6|51205	189.0413	ACP6|51205	245.8124
ACPL2|92370	1663.9442	ACPL2|92370	337.1022
ACPP|55	458.33	ACPP|55	10.0503
lowly_expressed	lowly_expressed	ACRBP|84519	28.057
ACRC|93953	8.8811	ACRC|93953	30.9883
ACSBG1|23205	13.3217	ACSBG1|23205	16.3317
ACSF2|80221	2455.634	ACSF2|80221	1488.6935
ACSF3|197322	263.5794	ACSF3|197322	298.995
ACSL1|2180	11715.8037	ACSL1|2180	54802.7638
ACSL3|2181	843.3907	ACSL3|2181	2411.6415
ACSL4|2182	1088.5735	ACSL4|2182	3401.5913
ACSL5|51703	561.4146	ACSL5|51703	996.2312
ACSM1|116285	86.2739	ACSM1|116285	17.1692
ACSM3|6296	163.9584	ACSM3|6296	29.309
ACSM5|54988	5.7093	ACSM5|54988	747.0687
ACSS1|84532	273.7293	ACSS1|84532	451.4238
ACSS2|55902	1366.7433	ACSS2|55902	6427.9732
ACSS3|79611	169.0588	ACSS3|79611	2820.3518
ACTA1|58	972.4843	ACTA1|58	62.8141
ACTA2|59	2871.9879	ACTA2|59	10482.8266
ACTB|60	205622.3931	ACTB|60	58129.397
ACTG1|71	120207.438	ACTG1|71	32668.3417
ACTG2|72	46.9431	ACTG2|72	4092.5461
ACTL6A|86	3526.128	ACTL6A|86	572.4456
ACTN1|87	14907.6203	ACTN1|87	7119.3467
ACTN2|88	58.9961	ACTN2|88	6.7002
ACTN4|81	25793.8086	ACTN4|81	7102.5419
ACTR10|55860	1012.7666	ACTR10|55860	1255.4439
ACTR1A|10121	1799.0643	ACTR1A|10121	2938.4422
ACTR1B|10120	1514.868	ACTR1B|10120	1216.0804
ACTR2|10097	16693.6801	ACTR2|10097	6445.5611
ACTR3B|57180	159.5433	ACTR3B|57180	116.4154
ACTR3C|653857	101.4987	ACTR3C|653857	25.9631
ACTR3|10096	10608.5164	ACTR3|10096	3038.526
ACTR5|79913	319.7209	ACTR5|79913	143.2161
ACTR6|64431	516.3746	ACTR6|64431	538.9447
ACTR8|93973	716.5173	ACTR8|93973	482.8308
ACVR1B|91	1765.1257	ACVR1B|91	772.6131
ACVR1C|130399	32.3527	ACVR1C|130399	8261.7253
ACVR1|90	1943.3828	ACVR1|90	1536.0134
ACVR2A|92	318.135	ACVR2A|92	676.7169
ACVR2B|93	163.6666	ACVR2B|93	409.129
ACVRL1|94	185.8695	ACVRL1|94	1416.6667
ACY1|95	714.297	ACY1|95	877.1859
ACY3|91703	9.5155	ACY3|91703	5.8626
ACYP1|97	68.8288	ACYP1|97	44.8074
ACYP2|98	136.7061	ACYP2|98	252.0938
ADAL|161823	238.5219	ADAL|161823	306.5327
ADAM10|102	2589.1682	ADAM10|102	1275.9631
ADAM11|4185	13.0045	ADAM11|4185	7.1189
ADAM12|8038	2273.5707	ADAM12|8038	653.2663
ADAM15|8751	2419.4782	ADAM15|8751	2886.0972
ADAM17|6868	2793.4343	ADAM17|6868	573.7018
ADAM19|8728	341.6065	ADAM19|8728	95.8961
lowly_expressed	lowly_expressed	ADAM21|8747	8.3752
ADAM22|53616	13.0045	ADAM22|53616	94.6399
lowly_expressed	lowly_expressed	ADAM23|8745	34.3384
ADAM28|10863	56.7758	ADAM28|10863	38.1072
lowly_expressed	lowly_expressed	ADAM32|203102	39.3635
ADAM33|80332	14.5904	ADAM33|80332	999.7781
ADAM6|8755	14498.4315	ADAM6|8755	21360.6868
ADAM8|101	373.3249	ADAM8|101	26.3819
ADAM9|8754	6376.0209	ADAM9|8754	2355.9464
ADAMDEC1|27299	126.5562	ADAMDEC1|27299	5.8626
ADAMTS10|81794	20.6169	ADAMTS10|81794	184.2546
ADAMTS12|81792	690.5083	ADAMTS12|81792	337.9397
ADAMTS13|11093	21.5685	ADAMTS13|11093	28.4757
ADAMTS14|140766	42.5026	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAMTS15|170689	167.9229
ADAMTS16|170690	7.6124	ADAMTS16|170690	244.9749
ADAMTS17|170691	6.978	ADAMTS17|170691	23.4506
lowly_expressed	lowly_expressed	ADAMTS18|170692	114.3216
ADAMTS1|9510	165.5697	ADAMTS1|9510	1942.6298
ADAMTS2|9509	700.0238	ADAMTS2|9509	871.0218
ADAMTS3|9508	134.4858	ADAMTS3|9508	482.4121
ADAMTS4|9507	292.4431	ADAMTS4|9507	69.5142
ADAMTS5|11096	177.9399	ADAMTS5|11096	3060.3015
ADAMTS6|11174	25.3747	ADAMTS6|11174	43.1323
ADAMTS7|11173	154.7855	ADAMTS7|11173	150.7538
lowly_expressed	lowly_expressed	ADAMTS8|11095	20.938
ADAMTS9|56999	164.6182	ADAMTS9|56999	731.1558
ADAMTSL1|92949	21.5685	ADAMTSL1|92949	623.5343
ADAMTSL2|9719	78.3443	ADAMTSL2|9719	146.1474
ADAMTSL3|57188	6.3437	ADAMTSL3|57188	648.2412
ADAMTSL4|54507	106.5736	ADAMTSL4|54507	1741.6248
ADAMTSL5|339366	75.8068	ADAMTSL5|339366	18.4255
ADAP1|11033	199.3656	ADAP1|11033	86.5327
ADAP2|55803	185.8695	ADAP2|55803	322.0268
ADARB1|104	566.1724	ADARB1|104	981.1558
ADAR|103	7550.2339	ADAR|103	6180.4858
ADAT1|23536	728.2531	ADAT1|23536	252.9313
ADAT2|134637	29.4981	ADAT2|134637	124.3719
ADAT3|113179	7.9296	ADAT3|113179	8.794
ADA|100	675.9178	ADA|100	278.8945
ADCK1|57143	84.688	ADCK1|57143	128.9782
ADCK2|90956	649.5916	ADCK2|90956	552.7638
ADCK4|79934	278.1699	ADCK4|79934	331.6583
ADCK5|203054	43.4541	ADCK5|203054	56.5327
ADCY1|107	36.4761	ADCY1|107	220.268
ADCY2|108	26.9606	ADCY2|108	147.4037
ADCY3|109	1632.3146	ADCY3|109	1938.7228
lowly_expressed	lowly_expressed	ADCY4|196883	660.804
lowly_expressed	lowly_expressed	ADCY5|111	798.995
ADCY6|112	953.4533	ADCY6|112	5033.9196
ADCY7|113	614.0671	ADCY7|113	1080.8208
ADCY9|115	1136.7853	ADCY9|115	817.4204
ADCYAP1R1|117	13.3217	ADCYAP1R1|117	132.3283
lowly_expressed	lowly_expressed	ADCYAP1|116	12.1441
ADC|113451	42.1854	ADC|113451	78.3082
ADD1|118	3869.6376	ADD1|118	8384.0034
ADD2|119	17.7623	ADD2|119	76.6332
ADD3|120	429.4663	ADD3|120	4841.2898
lowly_expressed	lowly_expressed	ADH1A|124	1178.3752
ADH1B|125	38.3792	ADH1B|125	124896.5662
lowly_expressed	lowly_expressed	ADH1C|126	470.6868
lowly_expressed	lowly_expressed	ADH4|127	12.5628
ADH5|128	2094.6792	ADH5|128	5847.5712
ADHFE1|137872	160.812	ADHFE1|137872	935.9296
ADI1|55256	2278.6456	ADI1|55256	2394.0536
ADIPOQ|9370	36.4761	ADIPOQ|9370	138779.732
ADIPOR1|51094	2158.4331	ADIPOR1|51094	2348.8275
ADIPOR2|79602	1385.14	ADIPOR2|79602	5472.3618
ADK|132	2282.769	ADK|132	475.2931
ADM2|79924	201.0943	ADM2|79924	19.6817
ADM|133	2094.9964	ADM|133	1665.4104
ADNP2|22850	752.6762	ADNP2|22850	572.0268
ADNP|23394	5267.1477	ADNP|23394	2353.8526
ADORA1|134	437.7131	ADORA1|134	323.2831
ADORA2A|135	564.2693	ADORA2A|135	58.6265
ADORA2B|136	519.2292	ADORA2B|136	67.4204
ADORA3|140	58.3617	ADORA3|140	118.928
ADO|84890	875.109	ADO|84890	615.5779
ADPGK|83440	838.1857	ADPGK|83440	673.2203
ADPRHL1|113622	242.0109	ADPRHL1|113622	122.6968
ADPRHL2|54936	662.5961	ADPRHL2|54936	371.4405
ADPRH|141	230.2752	ADPRH|141	515.4941
lowly_expressed	lowly_expressed	ADRA1A|148	118.5092
lowly_expressed	lowly_expressed	ADRA1B|147	148.66
ADRA2A|150	91.3488	ADRA2A|150	2831.6583
ADRA2B|151	17.1279	ADRA2B|151	64.4891
ADRA2C|152	156.6886	ADRA2C|152	96.3149
lowly_expressed	lowly_expressed	ADRB1|153	359.2965
lowly_expressed	lowly_expressed	ADRB2|154	545.6449
lowly_expressed	lowly_expressed	ADRB3|155	18.0067
ADRBK1|156	1178.3364	ADRBK1|156	1148.2412
ADRBK2|157	278.487	ADRBK2|157	6931.3233
ADRM1|11047	2751.8833	ADRM1|11047	958.9615
ADSL|158	915.3913	ADSL|158	698.4925
ADSSL1|122622	199.1912	ADSSL1|122622	304.8576
ADSS|159	2410.2767	ADSS|159	889.0285
AEBP1|165	13147.5696	AEBP1|165	14606.3652
AEBP2|121536	941.4004	AEBP2|121536	669.598
AEN|64782	239.7907	AEN|64782	202.2613
AES|166	2061.0578	AES|166	6083.3333
AFAP1L1|134265	104.3533	AFAP1L1|134265	1298.995
AFAP1L2|84632	1143.7634	AFAP1L2|84632	513.4003
AFAP1|60312	2387.116	AFAP1|60312	1378.124
AFARP1|246182	5.0749	lowly_expressed	lowly_expressed
AFF1|4299	1826.3421	AFF1|4299	4139.0285
AFF2|2334	18.7138	AFF2|2334	105.5276
AFF3|3899	38.062	AFF3|3899	689.6985
AFF4|27125	3764.9671	AFF4|27125	3167.5042
AFG3L1|172	84.3708	AFG3L1|172	161.2228
AFG3L2|10939	1893.2741	AFG3L2|10939	1434.933
AFMID|125061	601.3797	AFMID|125061	317.8392
lowly_expressed	lowly_expressed	AFP|174	7.9564
