gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
ACAD9|28976	831.2628	ACAD9|28976	762.3036
ACADL|33	22.0678	ACADL|33	17.988
ACADM|34	829.1786	ACADM|34	1448.3209
ACADSB|36	1563.9559	ACADSB|36	4820.4831
ACADS|35	639.5586	ACADS|35	697.1785
ACADVL|37	4841.4344	ACADVL|37	5315.9527
ACAN|176	113.6085	lowly_expressed	lowly_expressed
ACAP1|9744	35.1451	ACAP1|9744	81.2359
ACAP2|23527	1404.1684	ACAP2|23527	1599.1876
ACAP3|116983	552.9301	ACAP3|116983	404.8451
ACAT1|38	879.0356	ACAT1|38	1260.6078
ACAT2|39	513.3347	ACAT2|39	378.693
ACBD3|64746	1961.177	ACBD3|64746	1674.621
ACBD4|79777	210.0531	ACBD4|79777	226.8804
ACBD5|91452	988.9661	ACBD5|91452	1034.3077
ACBD6|84320	364.528	ACBD6|84320	371.9446
ACBD7|414149	94.4013	ACBD7|414149	40.9081
ACCN1|40	27.7891	ACCN1|40	8.994
ACCN2|41	55.5783	ACCN2|41	138.6814
ACCN3|9311	39.2317	ACCN3|9311	10.1545
ACCS|84680	179.4034	ACCS|84680	423.0072
ACD|65057	256.2321	ACD|65057	281.7147
lowly_expressed	lowly_expressed	ACE2|59272	13.9262
ACER2|340485	129.1377	ACER2|340485	190.9045
ACER3|55331	436.0441	ACER3|55331	309.8571
ACE|1636	604.8222	ACE|1636	573.5838
ACHE|43	7.3559	ACHE|43	12.7656
ACIN1|22985	2951.7777	ACIN1|22985	3482.7011
ACLY|47	3503.065	ACLY|47	4447.0878
ACN9|57001	87.0454	ACN9|57001	165.9534
ACO1|48	1201.8799	ACO1|48	1258.2868
ACO2|50	1938.3081	ACO2|50	2265.9462
ACOT11|26027	36.7797	ACOT11|26027	28.1018
ACOT13|55856	750.1226	ACOT13|55856	548.1279
ACOT1|641371	1052.7176	ACOT1|641371	561.9787
ACOT2|10965	807.1107	ACOT2|10965	454.0509
ACOT4|122970	559.0519	ACOT4|122970	218.1765
ACOT6|641372	8.1733	lowly_expressed	lowly_expressed
ACOT7|11332	543.5227	ACOT7|11332	184.5217
ACOT8|10005	365.6477	ACOT8|10005	191.0408
ACOT9|23597	471.5979	ACOT9|23597	391.9634
ACOX1|51	1238.2509	ACOX1|51	1839.4517
ACOX2|8309	141.3976	ACOX2|8309	241.0967
ACOX3|8310	391.0911	ACOX3|8310	710.8145
ACP1|52	1170.0041	ACP1|52	1277.4353
ACP2|53	1189.2113	ACP2|53	1015.7395
ACP5|54	1214.1398	ACP5|54	651.0481
ACP6|51205	118.9211	ACP6|51205	295.0606
ACPL2|92370	342.0515	ACPL2|92370	761.0067
ACPP|55	28.1978	ACPP|55	48.1613
ACRBP|84519	15.5292	ACRBP|84519	18.8583
ACRC|93953	11.8512	ACRC|93953	24.951
lowly_expressed	lowly_expressed	ACR|49	5.2223
ACSBG1|23205	5.3126	ACSBG1|23205	10.7348
ACSF2|80221	629.7507	ACSF2|80221	1132.403
ACSF3|197322	281.1606	ACSF3|197322	324.9438
ACSL1|2180	3800.1635	ACSL1|2180	1442.2282
ACSL3|2181	3123.0078	ACSL3|2181	3861.8989
ACSL4|2182	963.6289	ACSL4|2182	990.4983
ACSL5|51703	238.2509	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSL6|23305	12.7656
ACSM1|116285	10.6253	ACSM1|116285	70.5012
ACSM3|6296	36.0033	ACSM3|6296	303.2596
ACSM5|54988	35.9624	ACSM5|54988	47.5811
ACSS1|84532	651.4099	ACSS1|84532	870.6753
ACSS2|55902	1224.3564	ACSS2|55902	1414.3759
ACSS3|79611	627.2987	ACSS3|79611	447.9582
ACTA1|58	26.5631	lowly_expressed	lowly_expressed
ACTA2|59	18240.6171	ACTA2|59	14669.7469
ACTB|60	97733.96	ACTB|60	40298.5421
ACTC1|70	62.1169	lowly_expressed	lowly_expressed
ACTG1|71	76385.3698	ACTG1|71	39998.2592
ACTG2|72	646.5059	ACTG2|72	1987.3794
ACTL6A|86	1953.821	ACTL6A|86	932.1825
ACTN1|87	8254.1888	ACTN1|87	5995.7931
lowly_expressed	lowly_expressed	ACTN2|88	7.5433
ACTN4|81	9718.0752	ACTN4|81	8043.1421
ACTR10|55860	1124.2338	ACTR10|55860	1050.5549
ACTR1A|10121	3739.6812	ACTR1A|10121	2075.8686
ACTR1B|10120	1319.1663	ACTR1B|10120	1276.5649
ACTR2|10097	7714.7528	ACTR2|10097	5773.8449
ACTR3B|57180	119.3298	ACTR3B|57180	215.2753
ACTR3C|653857	24.1112	ACTR3C|653857	35.3957
ACTR3|10096	4384.9612	ACTR3|10096	2859.5053
ACTR5|79913	254.5975	ACTR5|79913	206.8615
ACTR6|64431	798.5288	ACTR6|64431	679.1905
ACTR8|93973	477.7278	ACTR8|93973	568.9418
ACVR1B|91	1092.358	ACVR1B|91	1346.4858
ACVR1C|130399	132.407	ACVR1C|130399	39.4575
ACVR1|90	1221.087	ACVR1|90	1066.8021
ACVR2A|92	495.3004	ACVR2A|92	819.0324
ACVR2B|93	448.304	ACVR2B|93	818.162
ACVRL1|94	978.7495	ACVRL1|94	598.2447
ACY1|95	556.0727	ACY1|95	553.8899
lowly_expressed	lowly_expressed	ACY3|91703	13.9262
ACYP1|97	69.4728	ACYP1|97	61.5072
ACYP2|98	111.1565	ACYP2|98	144.4839
lowly_expressed	lowly_expressed	ADAD2|161931	5.2223
ADAL|161823	161.0135	ADAL|161823	178.1388
ADAM10|102	1215.3658	ADAM10|102	2227.0255
ADAM11|4185	15.1206	ADAM11|4185	17.988
ADAM12|8038	4949.7344	ADAM12|8038	2151.0118
ADAM15|8751	2751.5325	ADAM15|8751	2215.3913
ADAM17|6868	651.8186	ADAM17|6868	893.8855
ADAM19|8728	964.0376	ADAM19|8728	164.5028
ADAM21|8747	5.3126	ADAM21|8747	6.673
ADAM22|53616	46.179	ADAM22|53616	98.9338
ADAM23|8745	81.3241	ADAM23|8745	45.8403
ADAM28|10863	140.5803	ADAM28|10863	142.453
ADAM29|11086	25.3371	ADAM29|11086	84.7175
ADAM32|203102	11.8512	ADAM32|203102	19.7287
ADAM33|80332	123.7066	ADAM33|80332	524.6304
ADAM6|8755	18837.1884	ADAM6|8755	39328.7532
ADAM8|101	186.7593	ADAM8|101	59.7664
ADAM9|8754	1577.0331	ADAM9|8754	2740.2626
ADAMDEC1|27299	31.0584	ADAMDEC1|27299	8.1236
ADAMTS10|81794	186.3506	ADAMTS10|81794	124.4651
ADAMTS12|81792	778.5043	ADAMTS12|81792	220.7877
ADAMTS13|11093	41.275	ADAMTS13|11093	78.3347
ADAMTS14|140766	241.1116	ADAMTS14|140766	22.9201
ADAMTS15|170689	66.2035	ADAMTS15|170689	562.2688
ADAMTS16|170690	270.1267	ADAMTS16|170690	111.1192
ADAMTS17|170691	42.0924	ADAMTS17|170691	56.575
ADAMTS18|170692	28.1978	ADAMTS18|170692	46.7107
ADAMTS19|171019	29.0151	ADAMTS19|171019	14.7965
ADAMTS1|9510	1297.0985	ADAMTS1|9510	1368.5356
ADAMTS2|9509	1395.9951	ADAMTS2|9509	536.1572
ADAMTS3|9508	31.4671	ADAMTS3|9508	66.7295
ADAMTS4|9507	774.009	ADAMTS4|9507	68.1802
ADAMTS5|11096	438.0875	ADAMTS5|11096	1692.609
ADAMTS6|11174	116.8778	ADAMTS6|11174	19.7287
ADAMTS7|11173	478.1365	ADAMTS7|11173	73.1124
ADAMTS8|11095	22.4765	ADAMTS8|11095	544.571
ADAMTS9|56999	457.2946	ADAMTS9|56999	687.6043
ADAMTSL1|92949	192.8893	ADAMTSL1|92949	266.9181
ADAMTSL2|9719	372.7013	ADAMTSL2|9719	20.0189
ADAMTSL3|57188	131.5897	ADAMTSL3|57188	165.6633
ADAMTSL4|54507	176.5427	ADAMTSL4|54507	271.27
ADAMTSL5|339366	166.7348	ADAMTSL5|339366	91.3904
ADAP1|11033	205.5374	ADAP1|11033	100.8747
ADAP2|55803	346.5468	ADAP2|55803	147.6753
ADARB1|104	512.8729	ADARB1|104	708.7836
lowly_expressed	lowly_expressed	ADARB2|105	6.9631
ADAR|103	8194.5239	ADAR|103	7498.0779
ADAT1|23536	351.8594	ADAT1|23536	387.6115
ADAT2|134637	58.4389	ADAT2|134637	154.6384
ADAT3|113179	58.8476	ADAT3|113179	48.1613
ADA|100	163.0568	ADA|100	45.8403
ADCK1|57143	177.7687	ADCK1|57143	132.0084
ADCK2|90956	758.8884	ADCK2|90956	751.1424
ADCK4|79934	425.4189	ADCK4|79934	423.8776
ADCK5|203054	205.9665	ADCK5|203054	80.6557
ADCY1|107	4717.2047	ADCY1|107	3798.0706
ADCY2|108	27.7891	ADCY2|108	121.5638
ADCY3|109	801.0217	ADCY3|109	1195.0823
ADCY4|196883	303.6371	ADCY4|196883	280.264
ADCY5|111	84.5934	ADCY5|111	220.2074
ADCY6|112	2251.7368	ADCY6|112	2444.9119
ADCY7|113	577.8504	ADCY7|113	366.7223
lowly_expressed	lowly_expressed	ADCY8|114	8.1236
ADCY9|115	1480.5885	ADCY9|115	1060.9995
lowly_expressed	lowly_expressed	ADCYAP1R1|117	18.8583
ADCYAP1|116	14.7119	ADCYAP1|116	12.7656
ADC|113451	261.5447	ADC|113451	123.8848
ADD1|118	5873.3143	ADD1|118	6046.5656
ADD2|119	46.9963	ADD2|119	37.7167
ADD3|120	1798.9375	ADD3|120	6476.2457
ADH1A|124	9.3993	ADH1A|124	10.4446
ADH1B|125	1885.5742	ADH1B|125	1112.0621
ADH1C|126	55.5783	ADH1C|126	144.1938
ADH5|128	2744.1765	ADH5|128	2934.9387
lowly_expressed	lowly_expressed	ADH7|131	16.2472
ADHFE1|137872	65.3862	ADHFE1|137872	173.7869
ADI1|55256	1557.8259	ADI1|55256	1638.355
ADIPOQ|9370	3459.7466	ADIPOQ|9370	813.2299
ADIPOR1|51094	3604.0049	ADIPOR1|51094	2290.5636
ADIPOR2|79602	1591.3363	ADIPOR2|79602	2819.1775
ADK|132	323.253	ADK|132	378.9077
ADM2|79924	49.0396	ADM2|79924	212.0838
ADM|133	145.8929	ADM|133	158.7002
ADNP2|22850	550.0613	ADNP2|22850	765.6488
ADNP|23394	3263.1794	ADNP|23394	3459.781
ADORA1|134	1060.8909	ADORA1|134	293.9001
ADORA2A|135	125.0511	ADORA2A|135	74.1655
ADORA2B|136	21.6592	ADORA2B|136	52.2231
ADORA3|140	294.2378	ADORA3|140	74.8531
ADO|84890	644.8713	ADO|84890	805.6865
ADPGK|83440	945.3739	ADPGK|83440	909.5322
ADPRHL1|113622	47.8136	ADPRHL1|113622	83.2668
ADPRHL2|54936	742.5419	ADPRHL2|54936	500.4715
ADPRH|141	328.5656	ADPRH|141	327.5549
ADRA1A|148	7.7646	ADRA1A|148	5.2223
ADRA1B|147	26.1545	ADRA1B|147	8.4137
ADRA1D|146	13.0772	ADRA1D|146	7.2532
ADRA2A|150	390.6825	ADRA2A|150	1252.1941
ADRA2B|151	16.7552	ADRA2B|151	30.1734
ADRA2C|152	59.2562	ADRA2C|152	43.2291
ADRB1|153	7.7646	ADRB1|153	30.7536
ADRB2|154	52.3089	ADRB2|154	94.5819
ADRBK1|156	2007.7646	ADRBK1|156	1724.8132
ADRBK2|157	487.5358	ADRBK2|157	1140.2045
ADRM1|11047	2123.8251	ADRM1|11047	757.5252
ADSL|158	655.4965	ADSL|158	824.835
ADSSL1|122622	155.2922	ADSSL1|122622	126.2058
ADSS|159	1718.8394	ADSS|159	1428.302
AEBP1|165	39602.7789	AEBP1|165	3928.3383
AEBP2|121536	385.3698	AEBP2|121536	818.162
AEN|64782	431.9575	AEN|64782	413.4329
AES|166	7227.217	AES|166	5502.2848
AFAP1L1|134265	506.3343	AFAP1L1|134265	315.3696
