gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ACADL|33	9.2886	ACADL|33	82.3108
ACADM|34	1207.2142	ACADM|34	1165.1329
ACADSB|36	1984.9834	ACADSB|36	1479.0389
ACADS|35	263.1783	ACADS|35	506.6462
ACADVL|37	2225.5345	ACADVL|37	4513.7832
ACAN|176	92.8864	ACAN|176	7.6687
ACAP1|9744	65.6398	ACAP1|9744	98.6708
ACAP2|23527	2044.7403	ACAP2|23527	1562.3722
ACAP3|116983	494.1559	ACAP3|116983	435.6084
ACAT1|38	890.781	ACAT1|38	1607.362
ACAT2|39	326.8488	ACAT2|39	348.3078
ACBD3|64746	2332.9979	ACBD3|64746	1435.0716
ACBD4|79777	137.4719	ACBD4|79777	283.2311
ACBD5|91452	1094.8216	ACBD5|91452	720.8589
ACBD6|84320	424.8007	ACBD6|84320	387.5256
ACBD7|414149	37.4642	ACBD7|414149	66.4622
ACCN2|41	148.9279	ACCN2|41	89.9796
ACCN3|9311	33.1295	ACCN3|9311	6.135
ACCS|84680	197.5385	ACCS|84680	290.3885
ACD|65057	276.8016	ACD|65057	454.499
ACE2|59272	8.979	ACE2|59272	31.1861
ACER2|340485	268.7515	ACER2|340485	104.2945
ACER3|55331	592.6155	ACER3|55331	401.3292
ACE|1636	917.0988	ACE|1636	858.3845
ACHE|43	17.6484	ACHE|43	11.2474
ACIN1|22985	2936.1406	ACIN1|22985	2497.4438
ACLY|47	4000	ACLY|47	2214.7239
ACMSD|130013	5.8828	lowly_expressed	lowly_expressed
ACN9|57001	156.9781	ACN9|57001	165.6442
ACO1|48	1020.822	ACO1|48	1857.8732
ACO2|50	2294.6637	ACO2|50	1859.4479
ACOT11|26027	73.2905	ACOT11|26027	29.1871
ACOT13|55856	546.4881	ACOT13|55856	549.8773
ACOT1|641371	358.5417	ACOT1|641371	561.3497
ACOT2|10965	275.5631	ACOT2|10965	388.5481
ACOT4|122970	93.8153	ACOT4|122970	75.1534
ACOT7|11332	346.1568	ACOT7|11332	257.6687
ACOT8|10005	206.6445	ACOT8|10005	194.1462
ACOT9|23597	490.4404	ACOT9|23597	690.6953
ACOX1|51	1544.392	ACOX1|51	1970.3476
ACOX2|8309	153.5723	ACOX2|8309	266.8712
ACOX3|8310	1198.8544	ACOX3|8310	511.2474
ACP1|52	1436.3341	ACP1|52	1376.2781
ACP2|53	571.5613	ACP2|53	861.4519
ACP5|54	546.7915	ACP5|54	970.8589
ACP6|51205	192.5846	ACP6|51205	245.91
