gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
ACAD9|28976	1620.9747	ACAD9|28976	800.7797
lowly_expressed	lowly_expressed	ACADL|33	251.3471
ACADM|34	1737.89	ACADM|34	1492.8685
ACADSB|36	1575.9287	ACADSB|36	3585.7369
ACADS|35	923.9227	ACADS|35	902.6941
ACADVL|37	6643.3016	ACADVL|37	5252.5895
ACAN|176	14.8588	ACAN|176	15.8479
ACAP1|9744	85.2897	ACAP1|9744	103.645
ACAP2|23527	1341.159	ACAP2|23527	1822.504
ACAP3|116983	398.2585	ACAP3|116983	437.4358
ACAT1|38	731.055	ACAT1|38	1860.5388
ACAT2|39	496.6924	ACAT2|39	343.4105
ACBD3|64746	3643.9822	ACBD3|64746	1417.4326
ACBD4|79777	51.1144	ACBD4|79777	315.3724
ACBD5|91452	1565.2303	ACBD5|91452	821.5531
ACBD6|84320	683.8039	ACBD6|84320	313.1537
ACBD7|414149	142.3477	ACBD7|414149	36.4501
ACCN2|41	134.9183	ACCN2|41	212.9952
ACCN3|9311	20.8024	ACCN3|9311	12.9952
ACCS|84680	94.5022	ACCS|84680	318.225
ACD|65057	242.1991	ACD|65057	363.233
lowly_expressed	lowly_expressed	ACE2|59272	14.58
ACER1|125981	5.052	lowly_expressed	lowly_expressed
ACER2|340485	179.4948	ACER2|340485	283.9937
ACER3|55331	520.0594	ACER3|55331	491.9176
ACE|1636	1416.6419	ACE|1636	562.599
ACHE|43	53.4918	ACHE|43	37.084
ACIN1|22985	2972.6597	ACIN1|22985	3385.42
ACLY|47	3234.1753	ACLY|47	3867.5119
ACN9|57001	178.0089	ACN9|57001	144.2155
ACO1|48	371.471	ACO1|48	4342.3138
ACO2|50	4143.3343	ACO2|50	2819.4897
ACOT11|26027	18.0565	ACOT11|26027	34.3803
ACOT13|55856	353.1738	ACOT13|55856	575.3154
ACOT1|641371	665.6761	ACOT1|641371	979.7147
ACOT2|10965	475.4829	ACOT2|10965	639.6197
ACOT4|122970	34.4725	ACOT4|122970	121.0777
lowly_expressed	lowly_expressed	ACOT6|641372	6.3391
ACOT7|11332	472.5111	ACOT7|11332	174.0095
ACOT8|10005	278.8707	ACOT8|10005	207.2044
ACOT9|23597	363.1501	ACOT9|23597	418.7005
ACOX1|51	3532.5557	ACOX1|51	2314.9319
ACOX2|8309	43.0906	ACOX2|8309	356.5769
ACOX3|8310	489.7474	ACOX3|8310	821.5531
ACP1|52	1842.4963	ACP1|52	1200.6339
ACP2|53	440.7132	ACP2|53	639.9366
ACP5|54	485.2897	ACP5|54	453.5658
ACP6|51205	124.5171	ACP6|51205	232.3296
ACPL2|92370	515.899	ACPL2|92370	397.4643
ACPP|55	30.9064	ACPP|55	26.3074
ACRBP|84519	18.1278	ACRBP|84519	20.9192
ACRC|93953	22.5854	ACRC|93953	31.6957
lowly_expressed	lowly_expressed	ACR|49	6.3391
lowly_expressed	lowly_expressed	ACSBG1|23205	20.2853
ACSF2|80221	758.6924	ACSF2|80221	947.0681
ACSF3|197322	463.0015	ACSF3|197322	288.1141
ACSL1|2180	917.9792	ACSL1|2180	14622.504
ACSL3|2181	6769.688	ACSL3|2181	3197.4643
ACSL4|2182	471.6196	ACSL4|2182	1739.4612
ACSL5|51703	173.8484	ACSL5|51703	857.0523
lowly_expressed	lowly_expressed	ACSL6|23305	13.3122
ACSM1|116285	20.208	ACSM1|116285	35.4992
ACSM3|6296	95.156	ACSM3|6296	146.019
ACSM5|54988	9.5097	ACSM5|54988	374.6434
ACSS1|84532	742.3477	ACSS1|84532	956.2599
ACSS2|55902	520.0594	ACSS2|55902	3238.9857
ACSS3|79611	1574.4428	ACSS3|79611	1017.7496
lowly_expressed	lowly_expressed	ACTA1|58	29.1601
ACTA2|59	3910.4933	ACTA2|59	20370.0412
ACTB|60	55202.6746	ACTB|60	54798.7322
lowly_expressed	lowly_expressed	ACTC1|70	5.3883
ACTG1|71	81079.3462	ACTG1|71	39462.1236
ACTG2|72	211.5899	ACTG2|72	3068.4628
ACTL6A|86	1316.1961	ACTL6A|86	753.0903
ACTL8|81569	117.0877	lowly_expressed	lowly_expressed
ACTN1|87	3716.4933	ACTN1|87	6165.7686
ACTN2|88	444.2793	lowly_expressed	lowly_expressed
ACTN4|81	7539.3551	ACTN4|81	8490.9414
ACTR10|55860	853.4918	ACTR10|55860	1050.0792
ACTR1A|10121	3622.8826	ACTR1A|10121	1874.4849
ACTR1B|10120	1626.4487	ACTR1B|10120	1422.504
ACTR2|10097	7159.8811	ACTR2|10097	4352.1395
ACTR3B|57180	167.6077	ACTR3B|57180	215.8479
ACTR3C|653857	54.0862	ACTR3C|653857	29.477
ACTR3|10096	3217.8306	ACTR3|10096	2158.4786
ACTR5|79913	158.0981	ACTR5|79913	192.71
