gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
FAM120A|23196	7402.1226	FAM120A|23196	4312.1203
FAM120B|84498	1333.6204	FAM120B|84498	1207.4414
FAM120C|54954	935.5794	FAM120C|54954	428.8991
FAM122A|116224	837.4146	FAM122A|116224	1043.578
FAM122B|159090	816.3177	FAM122B|159090	744.9032
FAM122C|159091	20.2357	FAM122C|159091	34.1488
FAM123B|139285	167.4829	FAM123B|139285	273.9551
FAM124A|220108	10.1179	FAM124A|220108	104.9949
FAM124B|79843	57.2628	FAM124B|79843	163.0989
FAM125A|93343	450.9983	FAM125A|93343	344.5464
FAM125B|89853	232.2803	FAM125B|89853	507.6453
FAM126A|84668	484.1505	FAM126A|84668	1621.0499
FAM126B|285172	841.5048	FAM126B|285172	1000.0
FAM127A|8933	739.8956	FAM127A|8933	1109.5821
FAM127B|26071	362.5209	FAM127B|26071	635.5759
FAM127C|441518	297.5082	FAM127C|441518	348.369
FAM128A|653784	192.2394	FAM128A|653784	95.3109
FAM128B|80097	920.7255	FAM128B|80097	400.3568
FAM129A|116496	2096.7655	FAM129A|116496	4697.7574
FAM129B|64855	1834.7775	FAM129B|64855	2765.0357
FAM131A|131408	200.8503	FAM131A|131408	378.4404
FAM131B|9715	30.3536	FAM131B|9715	57.8491
lowly_expressed	lowly_expressed	FAM133A|286499	6.1162
FAM133B|257415	142.7264	FAM133B|257415	132.7727
FAM134A|79137	2361.5521	FAM134A|79137	2538.2263
FAM134B|54463	1918.7342	FAM134B|54463	622.5790000000001
FAM134C|162427	2178.7848	FAM134C|162427	1857.5433
FAM135A|57579	201.4962	FAM135A|57579	565.4944
FAM135B|51059	23.4648	FAM135B|51059	7.1356
FAM136A|84908	786.3947	FAM136A|84908	502.8033
FAM13AOS|285512	27.4818	FAM13AOS|285512	108.8634
FAM13A|10144	347.7402	FAM13A|10144	2099.8522
FAM13B|51306	1414.1069	FAM13B|51306	1808.6570000000002
FAM13C|220965	75.1779	FAM13C|220965	532.3573
FAM149A|25854	78.3596	FAM149A|25854	229.8675
FAM149B1|317662	493.8378	FAM149B1|317662	600.1529
lowly_expressed	lowly_expressed	FAM150B|285016	75.9429
FAM151B|167555	43.9158	FAM151B|167555	24.4648
FAM154B|283726	23.2496	FAM154B|283726	36.6972
FAM155A|728215	13.7775	FAM155A|728215	23.9551
FAM155B|27112	73.193	FAM155B|27112	35.6779
FAM156A|29057	305.6886	FAM156A|29057	670.7441
FAM157A|728262	23.0343	FAM157A|728262	21.4067
FAM158A|51016	109.359	FAM158A|51016	64.475
FAM159A|348378	9.0415	lowly_expressed	lowly_expressed
FAM160A1|729830	100.3175	lowly_expressed	lowly_expressed
FAM160A2|84067	660.8902	FAM160A2|84067	885.8308
FAM160B1|57700	1281.5241	FAM160B1|57700	1261.9776
FAM160B2|64760	757.7633	FAM160B2|64760	1043.3231
FAM161A|84140	48.4366	FAM161A|84140	113.9144
FAM161B|145483	214.0811	FAM161B|145483	323.6493
FAM162A|26355	2649.1577	FAM162A|26355	476.5545
FAM162B|221303	14.6386	FAM162B|221303	68.2977
FAM164A|51101	116.2478	FAM164A|51101	626.4016
FAM164C|79696	73.8389	FAM164C|79696	59.8879
FAM165B|54065	420.4295	FAM165B|54065	292.3038
lowly_expressed	lowly_expressed	FAM166B|730112	16.3099
FAM167A|83648	33.1521	FAM167A|83648	79.5107
FAM167B|84734	39.1798	FAM167B|84734	49.949
FAM168A|23201	337.5491	FAM168A|23201	411.8247
FAM168B|130074	1964.5875	FAM168B|130074	3816.7686
FAM169A|26049	462.6231	FAM169A|26049	116.9725
FAM171A1|221061	246.0578	FAM171A1|221061	791.2844
FAM171A2|284069	7.7499	FAM171A2|284069	14.526
FAM171B|165215	316.4523	FAM171B|165215	680.1733
FAM172A|83989	540.7675	FAM172A|83989	911.315
FAM173A|65990	117.3241	FAM173A|65990	37.9715
FAM173B|134145	467.3591	FAM173B|134145	187.3089
FAM174A|345757	459.1787	FAM174A|345757	279.8165
FAM174B|400451	2326.2472	FAM174B|400451	1006.8807
FAM175A|84142	271.0791	FAM175A|84142	451.6259
FAM175B|23172	596.3081	FAM175B|23172	610.6014
FAM176A|84141	67.3807	FAM176A|84141	38.2263
FAM176B|55194	181.0387	FAM176B|55194	130.0688
FAM177A1|283635	892.0941	FAM177A1|283635	957.9511
FAM177B|400823	7.5346	lowly_expressed	lowly_expressed
FAM178A|55719	1207.0394	FAM178A|55719	1295.8716
FAM178B|51252	5.1666	FAM178B|51252	6.371
lowly_expressed	lowly_expressed	FAM179A|165186	5.6065
FAM179B|23116	1084.3335	FAM179B|23116	1107.7982
FAM180A|389558	46.0686	FAM180A|389558	93.527
lowly_expressed	lowly_expressed	FAM180B|399888	32.1101
lowly_expressed	lowly_expressed	FAM181B|220382	16.5647
FAM182B|728882	11.6248	FAM182B|728882	22.9358
FAM183A|440585	5.1666	lowly_expressed	lowly_expressed
FAM184A|79632	20.6663	FAM184A|79632	222.2222
FAM184B|27146	10.640999999999998	FAM184B|27146	17.709
FAM185A|222234	173.08	FAM185A|222234	100.4077
FAM186B|84070	7.5346	FAM186B|84070	17.3293
FAM188A|80013	615.6827	FAM188A|80013	644.2406
FAM188B|84182	35.4728	FAM188B|84182	167.6606
FAM189A1|23359	14.4233	FAM189A1|23359	8.6646
FAM189A2|9413	80.0818	FAM189A2|9413	903.6697
FAM189B|10712	585.1138	FAM189B|10712	412.3344
FAM18A|780776	15.7279	FAM18A|780776	34.5973
FAM18B2|201158	486.1095	FAM18B2|201158	314.8318
FAM18B|51030	1329.5302	FAM18B|51030	850.9174
FAM190A|401145	29.2772	FAM190A|401145	150.6116
FAM190B|54462	1665.1418	FAM190B|54462	1987.2579
FAM192A|80011	731.9305	FAM192A|80011	972.2222
FAM193A|8603	857.6503	FAM193A|8603	1049.6942
FAM193B|54540	350.8961	FAM193B|54540	911.315
FAM195A|84331	327.0007	FAM195A|84331	95.0561
FAM195B|348262	484.7963	FAM195B|348262	714.8318
FAM196A|642938	556.0519	FAM196A|642938	38.2263
FAM196B|100131897	7.7499	FAM196B|100131897	233.1804
FAM198A|729085	128.3031	FAM198A|729085	136.0856
FAM198B|51313	9750.6055	FAM198B|51313	4681.9572
FAM199X|139231	956.0304	FAM199X|139231	695.7187
FAM19A2|338811	12.2706	FAM19A2|338811	22.1713
FAM19A5|25817	17.8677	FAM19A5|25817	15.8002
FAM200A|221786	275.9808	FAM200A|221786	248.2161
FAM200B|285550	537.7536	FAM200B|285550	483.4353
FAM20A|54757	48.6518	FAM20A|54757	255.3517
FAM20B|9917	1695.2801	FAM20B|9917	2352.7013
FAM20C|56975	379.5275	FAM20C|56975	688.0734
FAM21A|387680	816.1025	FAM21A|387680	728.3384
FAM21B|55747	455.7344	FAM21B|55747	637.8695
FAM21C|253725	1666.2182	FAM21C|253725	2385.3211
FAM22A|728118	68.6723	FAM22A|728118	39.2457
FAM22D|728130	181.2604	FAM22D|728130	117.2273
lowly_expressed	lowly_expressed	FAM23A|653567	26.5036
FAM24B|196792	13.6354	FAM24B|196792	16.0525
FAM26E|254228	188.5797	FAM26E|254228	276.7584
FAM26F|441168	118.6158	FAM26F|441168	60.6524
lowly_expressed	lowly_expressed	FAM27A|548321	5.0968
lowly_expressed	lowly_expressed	FAM27C|100132948	7.3904
FAM32A|26017	1255.476	FAM32A|26017	1199.5413
FAM35A|54537	1492.7076	FAM35A|54537	842.5076
FAM35B2|439965	101.1786	FAM35B2|439965	68.2977
FAM35B|414241	381.2497	FAM35B|414241	231.9062
FAM36A|116228	1253.7517	FAM36A|116228	766.1086
FAM38A|9780	797.9183	FAM38A|9780	3038.1244
FAM38B|63895	210.7529	FAM38B|63895	180.9378
FAM3A|60343	311.9315	FAM3A|60343	402.3955
FAM3B|54097	30.9994	FAM3B|54097	385.3211
FAM3C|10447	1018.4597	FAM3C|10447	1139.9083
FAM3D|131177	6.0277	FAM3D|131177	76.1978
FAM40A|85369	740.972	FAM40A|85369	863.9144
FAM40B|57464	36.166	FAM40B|57464	32.3649
FAM41C|284593	19.5899	FAM41C|284593	25.739
FAM43A|131583	95.15100000000001	FAM43A|131583	411.0601
FAM43B|163933	23.0343	FAM43B|163933	13.7615
FAM45A|404636	512.5666	FAM45A|404636	449.0316
FAM45B|55855	209.0307	FAM45B|55855	220.1835
FAM46A|55603	343.792	FAM46A|55603	1051.4781
FAM46B|115572	411.6033	FAM46B|115572	436.7992
FAM46C|54855	1904.5261	FAM46C|54855	772.9358
FAM47E|100129583	251.8637	FAM47E|100129583	192.342
FAM48A|55578	1191.219	FAM48A|55578	1121.9648
FAM49A|81553	68.6723	FAM49A|81553	212.2834
FAM49B|51571	1988.0523	FAM49B|51571	656.2181
FAM50A|9130	493.19199999999995	FAM50A|9130	566.2589
FAM50B|26240	114.7409	FAM50B|26240	169.7248
FAM53A|152877	23.0343	FAM53A|152877	14.526
FAM53B|9679	420.1087	FAM53B|9679	880.1147
FAM53C|51307	944.4056	FAM53C|51307	1439.0928
FAM54A|113115	15.4997	FAM54A|113115	5.3517
FAM54B|56181	1083.3949	FAM54B|56181	1051.3965
FAM55C|91775	2158.1357	FAM55C|91775	965.6091
lowly_expressed	lowly_expressed	FAM55D|54827	5.3517
FAM57A|79850	153.0596	FAM57A|79850	189.3476
FAM57B|83723	20.1841	FAM57B|83723	16.027
FAM58A|92002	185.3506	FAM58A|92002	197.5025
FAM59A|64762	151.9832	FAM59A|64762	198.7768
FAM5B|57795	19.8052	FAM5B|57795	11.9776
FAM5C|339479	1104.1386	lowly_expressed	lowly_expressed
FAM60A|58516	337.9797	FAM60A|58516	1277.2681
FAM63A|55793	1362.6823	FAM63A|55793	766.5647
FAM63B|54629	460.6856	FAM63B|54629	712.0285
FAM64A|54478	9.9026	lowly_expressed	lowly_expressed
FAM65A|79567	865.1849	FAM65A|79567	1983.6901
FAM65B|9750	86.1095	FAM65B|9750	273.4455
FAM65C|140876	26.0481	FAM65C|140876	189.3476
lowly_expressed	lowly_expressed	FAM66A|100133172	7.1356
FAM66C|440078	19.3746	FAM66C|440078	46.3812
lowly_expressed	lowly_expressed	FAM66D|100132923	6.371
FAM69A|388650	537.1207	FAM69A|388650	478.8558
FAM69B|138311	59.2132	FAM69B|138311	276.4781
FAM69C|125704	5.1666	FAM69C|125704	9.684
FAM70A|55026	64.1516	FAM70A|55026	357.0336
FAM70B|348013	13.1317	FAM70B|348013	49.949
lowly_expressed	lowly_expressed	FAM71A|149647	7.5204
FAM71D|161142	11.8401	FAM71D|161142	16.3099
FAM71E1|112703	31.0188	FAM71E1|112703	17.3904
FAM71F1|84691	5.8124	lowly_expressed	lowly_expressed
FAM71F2|346653	7.7499	FAM71F2|346653	10.7034
FAM72A|729533	5.1666	lowly_expressed	lowly_expressed
FAM72B|653820	18.2983	FAM72B|653820	17.0744
FAM72D|728833	9.2568	FAM72D|728833	5.3517
FAM73A|374986	1443.6252	FAM73A|374986	1035.6779
FAM73B|84895	260.6964	FAM73B|84895	372.0693
FAM76A|199870	297.5082	FAM76A|199870	448.5219
FAM76B|143684	454.8733	FAM76B|143684	619.5209
FAM78A|286336	125.2893	FAM78A|286336	143.2212
FAM78B|149297	11.4095	FAM78B|149297	19.1131
lowly_expressed	lowly_expressed	FAM7A2|100288380	8.6646
lowly_expressed	lowly_expressed	FAM7A3|89837	20.1325
FAM81A|145773	22.819000000000003	FAM81A|145773	29.3068
FAM81B|153643	21.3121	lowly_expressed	lowly_expressed
FAM82A1|151393	132.8239	FAM82A1|151393	115.6983
FAM82A2|55177	954.5234	FAM82A2|55177	850.4077
FAM82B|51115	968.5162	FAM82B|51115	911.315
FAM83B|222584	59.2003	FAM83B|222584	143.2212
FAM83D|81610	36.166	FAM83D|81610	14.0163
FAM83E|54854	302.2442	FAM83E|54854	26.5036
FAM83F|113828	78.1443	FAM83F|113828	129.9694
FAM83G|644815	78.9193	FAM83G|644815	117.73700000000001
FAM83H|286077	1487.3258	FAM83H|286077	691.3863
FAM84A|151354	69.3181	FAM84A|151354	184.5056
FAM84B|157638	3651.6872	FAM84B|157638	2623.8532
FAM86A|196483	566.7704	FAM86A|196483	262.0336
FAM86B1|85002	76.6374	FAM86B1|85002	95.5657
FAM86B2|653333	8.6109	lowly_expressed	lowly_expressed
FAM86C|55199	210.9682	FAM86C|55199	92.2528
FAM86D|692099	88.0469	FAM86D|692099	167.4312
FAM89A|375061	41.7631	FAM89A|375061	409.2762
FAM89B|23625	607.9328	FAM89B|23625	532.6198
FAM8A1|51439	2198.8052	FAM8A1|51439	2008.1549
lowly_expressed	lowly_expressed	FAM90A1|55138	12.2324
FAM91A1|157769	1528.2278	FAM91A1|157769	1456.1672
FAM92A1|137392	117.97	FAM92A1|137392	124.8726
lowly_expressed	lowly_expressed	FAM95B1|100133036	26.2487
FAM96A|84191	1061.945	FAM96A|84191	456.42199999999997
FAM96B|51647	227.5443	FAM96B|51647	336.9011
FAM98A|25940	1206.3936	FAM98A|25940	787.9715
FAM98B|283742	475.3243	FAM98B|283742	341.4883
FAM98C|147965	164.4691	FAM98C|147965	147.8084
FANCA|2175	54.9163	FANCA|2175	28.866
FANCB|2187	12.9164	FANCB|2187	25.739
FANCC|2176	175.6633	FANCC|2176	211.7737
FANCD2|2177	266.9393	FANCD2|2177	186.0347
FANCE|2178	107.2063	FANCE|2178	187.5637
FANCF|2188	673.1608	FANCF|2188	310.9072
FANCG|2189	221.7319	FANCG|2189	182.9766
FANCI|55215	571.7087	FANCI|55215	265.9659
FANCL|55120	236.4329	FANCL|55120	286.7788
FANCM|57697	263.495	FANCM|57697	374.6177
FANK1|92565	324.2021	FANK1|92565	119.7757
FAP|2191	1340.2938	FAP|2191	410.2956
FAR1|84188	2128.4107	FAR1|84188	2058.8685
FAR2|55711	78.9172	FAR2|55711	117.1407
FARP1|10160	2398.7945	FARP1|10160	1940.3670000000002
FARP2|9855	446.4776	FARP2|9855	379.4597
FARS2|10667	263.0644	FARS2|10667	189.8573
FARSA|2193	819.9774	FARSA|2193	580.5301
FARSB|10056	1035.8969	FARSB|10056	752.0387
FASLG|356	21.3121	FASLG|356	18.0938
FASN|2194	9973.4137	FASN|2194	4768.6035
FASTKD1|79675	880.4693	FASTKD1|79675	296.8909
FASTKD2|22868	1131.0478	FASTKD2|22868	1120.5403
FASTKD3|79072	321.8341	FASTKD3|79072	172.7829
FASTKD5|60493	449.92199999999997	FASTKD5|60493	397.5535
FASTK|10922	675.0982	FASTK|10922	558.6137
FAS|355	289.9736	FAS|355	401.3761
FAT1|2195	1637.1562	FAT1|2195	5391.1825
FAT2|2196	162.7469	FAT2|2196	1230.632
FAT3|120114	40.6867	FAT3|120114	68.5525
FAT4|79633	495.9905	FAT4|79633	1252.8033
FAU|2197	2520.6394	FAU|2197	3793.0683
FBF1|85302	121.5005	FBF1|85302	99.8904
FBLIM1|54751	1117.9162	FBLIM1|54751	969.9286
lowly_expressed	lowly_expressed	FBLL1|345630	9.684
FBLN1|2192	2268.5539	FBLN1|2192	5772.9358
FBLN2|2199	2262.7415	FBLN2|2199	5781.6004
FBLN5|10516	948.4958	FBLN5|10516	3910.5505
FBLN7|129804	153.4901	FBLN7|129804	389.1437
FBL|2091	1162.6931	FBL|2091	1967.8899
FBN1|2200	9096.8193	FBN1|2200	6094.8012
FBN2|2201	76.8527	FBN2|2201	14.2712
lowly_expressed	lowly_expressed	FBN3|84467	16.8196
FBP1|2203	3168.6131	FBP1|2203	1012.4873
FBRSL1|57666	221.9472	FBRSL1|57666	480.63199999999995
FBRS|64319	1438.2434	FBRS|64319	1050.2039
FBXL12|54850	225.6068	FBXL12|54850	350.6626
FBXL13|222235	18.9441	FBXL13|222235	11.213
FBXL14|144699	854.6365	FBXL14|144699	745.4128
FBXL15|79176	78.3596	FBXL15|79176	73.1397
FBXL16|146330	1050.9660000000001	FBXL16|146330	276.7584
FBXL17|64839	1270.7605	FBXL17|64839	930.4281
FBXL18|80028	90.8455	FBXL18|80028	337.156
FBXL19|54620	427.7488	FBXL19|54620	225.0255
FBXL20|84961	220.6555	FBXL20|84961	208.4608
FBXL22|283807	37.5308	FBXL22|283807	37.2069
FBXL2|25827	224.7457	FBXL2|25827	191.6412
FBXL3|26224	1985.0385	FBXL3|26224	2767.0744
FBXL4|26235	298.3693	FBXL4|26235	461.7737
FBXL5|26234	4596.7386	FBXL5|26234	3709.4801
FBXL6|26233	263.6241	FBXL6|26233	169.9567
FBXL7|23194	500.9418	FBXL7|23194	772.1713
FBXL8|55336	32.5386	FBXL8|55336	40.976000000000006
FBXO10|26267	165.3388	FBXO10|26267	166.422
FBXO11|80204	2034.7667	FBXO11|80204	2049.4393
FBXO15|201456	121.6296	FBXO15|201456	17.3293
FBXO16|157574	144.8792	FBXO16|157574	31.8552
FBXO17|115290	57.4781	FBXO17|115290	237.2579
FBXO18|84893	1519.0894	FBXO18|84893	1657.0234
FBXO21|23014	1431.7852	FBXO21|23014	1330.0204
FBXO22OS|692224	62.2335	FBXO22OS|692224	42.1814
FBXO22|26263	507.3807	FBXO22|26263	420.8665
FBXO24|26261	13.9627	FBXO24|26261	8.5321
FBXO25|26260	622.5714	FBXO25|26260	606.7788
FBXO27|126433	136.9141	FBXO27|126433	165.9021
FBXO28|23219	1310.5861	FBXO28|23219	1362.1305
FBXO2|26232	17.8677	FBXO2|26232	220.6932
FBXO30|84085	667.1331	FBXO30|84085	724.2610000000001
FBXO31|79791	279.2099	FBXO31|79791	1129.2049
FBXO32|114907	571.7669	FBXO32|114907	1629.9694
FBXO33|254170	264.3561	FBXO33|254170	538.2263
FBXO34|55030	815.8872	FBXO34|55030	889.9083
FBXO36|130888	534.094	FBXO36|130888	181.7023
FBXO38|81545	1323.2872	FBXO38|81545	1066.7686
FBXO39|162517	6.2429	FBXO39|162517	10.7034
FBXO3|26273	1151.2836	FBXO3|26273	1114.6789
FBXO41|150726	210.9682	FBXO41|150726	190.8767
FBXO42|54455	553.8991	FBXO42|54455	567.788
FBXO43|286151	11.1942	lowly_expressed	lowly_expressed
FBXO44|93611	190.5172	FBXO44|93611	339.1947
FBXO45|200933	786.8253	FBXO45|200933	562.6911
FBXO46|23403	523.3303	FBXO46|23403	315.7492
FBXO48|554251	48.2213	FBXO48|554251	79.5107
FBXO4|26272	351.7572	FBXO4|26272	231.9062
FBXO5|26271	173.7258	FBXO5|26271	158.5117
FBXO6|26270	416.124	FBXO6|26270	128.9501
FBXO7|25793	1271.4063	FBXO7|25793	2185.2701
FBXO8|26269	586.2677	FBXO8|26269	566.7712
FBXO9|26268	1188.9565	FBXO9|26268	1207.4414
FBXW11|23291	1485.8188	FBXW11|23291	1568.0428
FBXW2|26190	2289.0049	FBXW2|26190	2335.3721
FBXW4|6468	1267.9619	FBXW4|6468	1157.4924
FBXW5|54461	826.6509	FBXW5|54461	917.4312
FBXW7|55294	399.3327	FBXW7|55294	795.6167
FBXW8|26259	728.9166	FBXW8|26259	547.6555
FBXW9|84261	179.2778	FBXW9|84261	111.6667
FCER1A|2205	107.6368	FCER1A|2205	115.6983
FCER1G|2207	367.4721	FCER1G|2207	252.5484
lowly_expressed	lowly_expressed	FCER2|2208	11.7227
FCF1|51077	913.8367	FCF1|51077	905.4536
FCGBP|8857	494.9142	FCGBP|8857	769.1131
FCGR1A|2209	70.3945	FCGR1A|2209	23.4276
FCGR1B|2210	63.0752	FCGR1B|2210	27.0133
FCGR1C|100132417	22.3885	FCGR1C|100132417	5.8614
FCGR2A|2212	851.1921	FCGR2A|2212	435.2701
FCGR2B|2213	159.7331	FCGR2B|2213	286.6972
FCGR2C|9103	77.068	FCGR2C|9103	99.3884
FCGR3A|2214	2128.4107	FCGR3A|2214	716.6157
lowly_expressed	lowly_expressed	FCGR3B|2215	7.6453
FCGRT|2217	1683.4401	FCGRT|2217	3391.1825
FCHO1|23149	17.6524	FCHO1|23149	33.3843
FCHO2|115548	1237.8236	FCHO2|115548	1559.1233
FCHSD1|89848	156.8333	FCHSD1|89848	384.6814
FCHSD2|9873	847.132	FCHSD2|9873	1258.4888
FCN1|2219	9.472000000000001	FCN1|2219	47.1458
FCN3|8547	10.3331	FCN3|8547	33.6391
lowly_expressed	lowly_expressed	FCRL2|79368	5.8614
lowly_expressed	lowly_expressed	FCRL3|115352	7.6453
FCRL5|83416	24.5412	FCRL5|83416	42.0489
FCRL6|343413	16.1455	FCRL6|343413	35.6779
FCRLA|84824	11.8401	FCRLA|84824	5.0968
FCRLB|127943	128.3031	FCRLB|127943	8.4098
FDFT1|2222	3029.3309999999997	FDFT1|2222	2249.4903
FDPSL2A|619190	5.3818	lowly_expressed	lowly_expressed
FDPS|2224	1209.711	FDPS|2224	1213.6009
FDX1L|112812	82.5962	FDX1L|112812	107.054
FDX1|2230	607.5023	FDX1|2230	436.7992
FDXACB1|91893	267.7208	FDXACB1|91893	105.0178
FDXR|2232	138.2057	FDXR|2232	86.6463
FECH|2235	1163.3389	FECH|2235	620.0306
FEM1A|55527	874.0111	FEM1A|55527	954.6381
FEM1B|10116	2952.4783	FEM1B|10116	3583.0785
FEM1C|56929	1604.2194	FEM1C|56929	1304.0265
FEN1|2237	325.4938	FEN1|2237	228.0836
FER1L4|80307	21.9579	FER1L4|80307	51.7329
FER1L5|90342	16.5761	FER1L5|90342	52.4975
FERMT1|55612	22.6037	FERMT1|55612	175.3313
FERMT2|10979	1129.5409	FERMT2|10979	2635.5759
FERMT3|83706	155.2123	FERMT3|83706	208.2059
FER|2241	81.804	FER|2241	172.528
FES|2242	80.0818	FES|2242	406.2181
FEZ1|9638	57.6933	FEZ1|9638	233.945
FEZ2|9637	751.9509	FEZ2|9637	1376.1468
lowly_expressed	lowly_expressed	FFAR2|2867	22.9358
lowly_expressed	lowly_expressed	FFAR3|2865	17.0744
FGD1|2245	263.495	FGD1|2245	280.0714
FGD2|221472	67.1654	FGD2|221472	150.3568
FGD3|89846	2127.3344	FGD3|89846	187.5637
FGD4|121512	297.7235	FGD4|121512	1096.3303
FGD5|152273	423.0128	FGD5|152273	1953.8736
FGD6|55785	1074.6461	FGD6|55785	741.3354
FGF10|2255	9.472000000000001	FGF10|2255	91.2334
FGF11|2256	43.9158	FGF11|2256	180.4281
FGF12|2257	15.2844	FGF12|2257	61.9266
FGF13|2258	70.825	FGF13|2258	260.1937
FGF14|2259	176.5244	FGF14|2259	179.1539
FGF18|8817	20.2357	FGF18|8817	7.6453
FGF1|2246	249.2869	FGF1|2246	1113.6595
FGF2|2247	170.3052	FGF2|2247	1585.7951
FGF7|2252	160.1636	FGF7|2252	683.7411
lowly_expressed	lowly_expressed	FGF9|2254	13.5066
lowly_expressed	lowly_expressed	FGFBP1|9982	57.8491
lowly_expressed	lowly_expressed	FGFBP2|83888	49.1845
FGFBP3|143282	6.4582	FGFBP3|143282	48.9297
FGFR1OP2|26127	591.572	FGFR1OP2|26127	956.1672
FGFR1OP|11116	530.5333	FGFR1OP|11116	212.4618
FGFR1|2260	1300.2529	FGFR1|2260	4431.9572
FGFR2|2263	757.1175	FGFR2|2263	1283.6391
FGFR3|2261	538.83	FGFR3|2261	250.5097
FGFR4|2264	103.7619	FGFR4|2264	62.4363
FGFRL1|53834	562.0795	FGFRL1|53834	488.5321
FGGY|55277	157.7956	FGGY|55277	85.1172
FGL2|10875	1422.7437	FGL2|10875	2251.2742
FGR|2268	143.157	FGR|2268	207.9511
FHAD1|114827	21.1872	FHAD1|114827	17.342
FHDC1|85462	941.8223	FHDC1|85462	212.2834
FHIT|2272	354.77099999999996	FHIT|2272	60.1427
FHL1|2273	523.5456	FHL1|2273	14254.5872
FHL2|2274	815.8872	FHL2|2274	1181.4475
FHL3|2275	258.5437	FHL3|2275	310.6524
FHL5|9457	80.9429	FHL5|9457	377.9307
FHOD1|29109	477.2617	FHOD1|29109	536.4424
FHOD3|80206	169.2051	FHOD3|80206	460.7543
FH|2271	1492.9229	FH|2271	911.0601
FIBIN|387758	316.237	FIBIN|387758	525.739
FIBP|9158	870.5667	FIBP|9158	481.3965
FICD|11153	86.3247	FICD|11153	85.3721
FIG4|9896	624.0784	FIG4|9896	561.1621
lowly_expressed	lowly_expressed	FIGF|2277	810.9072
FIGNL1|63979	249.7175	FIGNL1|63979	390.1631
FIGNL2|401720	17.6524	FIGNL2|401720	75.9429
FIGN|55137	49.0824	FIGN|55137	126.6565
FILIP1L|11259	834.4007	FILIP1L|11259	2063.4557
FILIP1|27145	182.9826	FILIP1|27145	344.5464
FIP1L1|81608	718.5835	FIP1L1|81608	692.0133
FIS1|51024	1035.2489	FIS1|51024	1083.7742
FITM1|161247	5.8124	FITM1|161247	9.4292
FITM2|128486	63.2905	FITM2|128486	73.6493
FIZ1|84922	334.32	FIZ1|84922	306.5749
FJX1|24147	50.5893	FJX1|24147	109.0724
FKBP10|60681	2875.6256	FKBP10|60681	912.3344
FKBP11|51303	347.8822	FKBP11|51303	226.2997
FKBP14|55033	259.8353	FKBP14|55033	237.2579
FKBP15|23307	1123.7285	FKBP15|23307	1045.1707
FKBP1AP1|2282	15.0692	FKBP1AP1|2282	15.2905
FKBP1A|2280	4312.2545	FKBP1A|2280	3720.8818
FKBP1B|2281	62.6446	FKBP1B|2281	58.6137
FKBP2|2286	311.501	FKBP2|2286	354.9949
FKBP3|2287	1661.0516	FKBP3|2287	736.7482
FKBP4|2288	7612.7227	FKBP4|2288	2526.2487
FKBP5|2289	1905.8178	FKBP5|2289	2036.1876
FKBP7|51661	370.7013	FKBP7|51661	367.9918
FKBP8|23770	1370.4322	FKBP8|23770	2626.9113
FKBP9L|360132	38.3187	FKBP9L|360132	71.1009
FKBP9|11328	2570.7981	FKBP9|11328	3800.4587
FKBPL|63943	173.5106	FKBPL|63943	114.6789
FKRP|79147	189.6561	FKRP|79147	217.6351
FKTN|2218	683.0633	FKTN|2218	676.8603
FLAD1|80308	700.07	FLAD1|80308	407.4924
FLCN|201163	543.7813	FLCN|201163	861.2971
FLG|2312	21.5424	FLG|2312	60.0892
FLI1|2313	370.9165	FLI1|2313	1390.1631
FLII|2314	2484.0428	FLII|2314	2826.4526
FLJ10038|55056	264.0504	FLJ10038|55056	476.2232
FLJ10213|55096	18.9441	FLJ10213|55096	52.2426
FLJ10357|55701	804.2624	FLJ10357|55701	1821.1009
FLJ10661|286042	15.715	FLJ10661|286042	36.9521
FLJ11235|54508	30.5689	FLJ11235|54508	24.7197
FLJ12825|440101	7.104	FLJ12825|440101	7.6453
FLJ13197|79667	14.8582	FLJ13197|79667	79.7655
FLJ22536|401237	25.4023	FLJ22536|401237	67.0234
FLJ23867|200058	756.9022	FLJ23867|200058	523.4455
lowly_expressed	lowly_expressed	FLJ33360|401172	9.1743
FLJ33630|644873	919.8644	FLJ33630|644873	561.6718
FLJ34503|285759	17.8677	FLJ34503|285759	52.2426
lowly_expressed	lowly_expressed	FLJ35024|401491	24.4648
FLJ35220|284131	181.2604	FLJ35220|284131	239.8063
FLJ35390|255031	41.5543	FLJ35390|255031	73.8456
FLJ35776|649446	126.3656	FLJ35776|649446	110.6014
FLJ36031|168455	176.955	FLJ36031|168455	406.9827
FLJ36777|730971	16.1455	FLJ36777|730971	10.9582
FLJ37201|283011	10.1179	FLJ37201|283011	16.8196
FLJ37307|283521	12.2706	lowly_expressed	lowly_expressed
FLJ37453|729614	88.2622	FLJ37453|729614	94.8012
FLJ39582|439931	38.5491	FLJ39582|439931	55.8716
FLJ39653|202020	121.1991	FLJ39653|202020	122.8338
FLJ40330|645784	34.2285	FLJ40330|645784	94.5464
FLJ40852|285962	55.8721	FLJ40852|285962	56.8145
FLJ42289|388182	15.0692	FLJ42289|388182	25.9939
FLJ42627|645644	63.5057	FLJ42627|645644	100.4077
