gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
lowly_expressed	lowly_expressed	ACADL|33	62.946
ACADM|34	2265.1095	ACADM|34	1241.5902
ACADSB|36	3973.0908	ACADSB|36	3137.105
ACADS|35	91.276	ACADS|35	606.7788
ACADVL|37	2700.5974	ACADVL|37	5210.2294
ACAN|176	37.2423	ACAN|176	15.0357
ACAP1|9744	48.006	ACAP1|9744	71.6106
ACAP2|23527	1863.8394	ACAP2|23527	2208.2059
ACAP3|116983	419.4371	ACAP3|116983	399.368
ACAT1|38	1389.3762	ACAT1|38	1277.5229
ACAT2|39	317.1153	ACAT2|39	271.5877
ACBD3|64746	2410.6345	ACBD3|64746	1600.9174
ACBD4|79777	234.6483	ACBD4|79777	259.4292
ACBD5|91452	1300.2529	ACBD5|91452	1014.2712
ACBD6|84320	355.4168	ACBD6|84320	290.7747
ACBD7|414149	17.2219	ACBD7|414149	42.0489
ACCN1|40	24.5412	lowly_expressed	lowly_expressed
ACCN2|41	83.0956	ACCN2|41	97.0948
ACCN3|9311	17.6524	ACCN3|9311	8.6646
ACCS|84680	119.2616	ACCS|84680	492.3547
ACD|65057	138.6362	ACD|65057	294.5973
lowly_expressed	lowly_expressed	ACE2|59272	22.4261
ACER2|340485	162.1011	ACER2|340485	254.842
ACER3|55331	527.851	ACER3|55331	610.8563
ACE|1636	802.5402	ACE|1636	696.9929
lowly_expressed	lowly_expressed	ACHE|43	16.8196
ACIN1|22985	3246.7574	ACIN1|22985	3530.0714
ACLY|47	5585.2753	ACLY|47	2739.5515
ACN9|57001	117.3241	ACN9|57001	129.2049
ACO1|48	1070.3407	ACO1|48	1750.7645
ACO2|50	1515.335	ACO2|50	1783.8252
ACOT11|26027	10.6001	ACOT11|26027	32.1993
ACOT13|55856	837.2768	ACOT13|55856	462.077
ACOT1|641371	712.9864	ACOT1|641371	427.1152
ACOT2|10965	433.3459	ACOT2|10965	259.9388
ACOT4|122970	589.8498	ACOT4|122970	80.0204
ACOT6|641372	9.0415	lowly_expressed	lowly_expressed
ACOT7|11332	111.9423	ACOT7|11332	120.0306
ACOT8|10005	287.9565	ACOT8|10005	186.1876
ACOT9|23597	188.795	ACOT9|23597	485.7288
ACOX1|51	2337.8182	ACOX1|51	1761.6208
ACOX2|8309	478.7686	ACOX2|8309	260.7034
ACOX3|8310	465.6369	ACOX3|8310	587.6656
ACP1|52	1906.2483	ACP1|52	1106.2691
ACP2|53	2048.5442	ACP2|53	677.8797
ACP5|54	1289.7045	ACP5|54	517.3293
ACP6|51205	396.3188	ACP6|51205	225.5352
ACPL2|92370	911.2534	ACPL2|92370	429.9185
ACPP|55	65.4432	ACPP|55	52.2426
ACRBP|84519	15.4997	ACRBP|84519	21.9164
ACRC|93953	12.2706	ACRC|93953	47.1458
lowly_expressed	lowly_expressed	ACR|49	17.5841
lowly_expressed	lowly_expressed	ACSBG1|23205	8.6646
lowly_expressed	lowly_expressed	ACSBG2|81616	6.371
ACSF2|80221	811.6398	ACSF2|80221	643.476
ACSF3|197322	154.5665	ACSF3|197322	273.9551
ACSL1|2180	754.3189	ACSL1|2180	4300.2039
ACSL3|2181	4991.7658	ACSL3|2181	3078.2365
ACSL4|2182	848.8241	ACSL4|2182	1735.2192
ACSL5|51703	279.2099	ACSL5|51703	1102.4465
