gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
ACADM|34	903.7336	ACADM|34	1448.1752
ACADSB|36	330.166	ACADSB|36	2891.1979
ACADS|35	305.2116	ACADS|35	901.331
ACADVL|37	3364.9986	ACADVL|37	5705.7312
ACAN|176	138.209	ACAN|176	13.3963
ACAP1|9744	163.9313	ACAP1|9744	180.3349
ACAP2|23527	1161.7238	ACAP2|23527	1686.5608
ACAP3|116983	717.1782	ACAP3|116983	403.9948
ACAT1|38	1167.0986	ACAT1|38	1512.4088
ACAT2|39	897.8328	ACAT2|39	343.392
ACBD3|64746	2198.2916	ACBD3|64746	1463.976
ACBD4|79777	87.1485	ACBD4|79777	307.0846
ACBD5|91452	529.8013	ACBD5|91452	967.2821
ACBD6|84320	780.8811	ACBD6|84320	379.9055
ACBD7|414149	151.646	ACBD7|414149	58.7377
ACCN2|41	37.6236	ACCN2|41	85.5303
lowly_expressed	lowly_expressed	ACCN3|9311	15.4573
ACCS|84680	59.1228	ACCS|84680	304.6801
ACD|65057	396.9671	ACD|65057	272.0481
ACE2|59272	115.1742	ACE2|59272	40.8759
ACER2|340485	17.2761	ACER2|340485	178.6174
ACER3|55331	396.9671	ACER3|55331	412.1941
ACE|1636	479.5086	ACE|1636	492.2284
ACHE|43	34.9362	ACHE|43	55.3027
ACIN1|22985	2631.3466	ACIN1|22985	3384.8003
ACLY|47	3722.0463	ACLY|47	2670.6741
ACN9|57001	114.0225	ACN9|57001	144.6114
ACO1|48	868.0296	ACO1|48	1465.3499
ACO2|50	1920.6373	ACO2|50	1855.7492
ACOT11|26027	48.7571	ACOT11|26027	35.0365
ACOT13|55856	560.5989	ACOT13|55856	468.2799
ACOT1|641371	181.5913	ACOT1|641371	413.5681
ACOT2|10965	51.0606	ACOT2|10965	228.7677
ACOT4|122970	162.0117	ACOT4|122970	115.4143
ACOT7|11332	808.139	ACOT7|11332	155.9468
ACOT8|10005	213.364	ACOT8|10005	176.8313
ACOT9|23597	1157.8846	ACOT9|23597	417.69
ACOX1|51	1127.8203	ACOX1|51	1750.389
ACOX2|8309	49.141	ACOX2|8309	217.0889
ACOX3|8310	805.4516	ACOX3|8310	676.6853
ACP1|52	1321.432	ACP1|52	1244.1391
ACP2|53	1669.2581	ACP2|53	794.1606
ACP5|54	1657.3568	ACP5|54	666.7239
ACP6|51205	221.9023	ACP6|51205	277.544
ACPL2|92370	814.6655	ACPL2|92370	441.7347
ACPP|55	18.8118	ACPP|55	52.8982
ACRBP|84519	22.267	ACRBP|84519	26.1056
ACRC|93953	10.7496	ACRC|93953	32.2885
lowly_expressed	lowly_expressed	ACR|49	6.1829
ACSBG1|23205	7.6783	ACSBG1|23205	8.2439
ACSF2|80221	559.7466	ACSF2|80221	929.4976
ACSF3|197322	310.2025	ACSF3|197322	276.17
ACSL1|2180	1834.3411	ACSL1|2180	6252.2971
ACSL3|2181	2456.2818	ACSL3|2181	2901.1593
ACSL4|2182	1599.3857	ACSL4|2182	1224.5599
ACSL5|51703	844.6108	ACSL5|51703	1187.1189
ACSL6|23305	28.4096	ACSL6|23305	21.6402
lowly_expressed	lowly_expressed	ACSM1|116285	16.1443
lowly_expressed	lowly_expressed	ACSM3|6296	137.6591
lowly_expressed	lowly_expressed	ACSM5|54988	177.2435
ACSS1|84532	246.8567	ACSS1|84532	1033.2331
ACSS2|55902	680.2956	ACSS2|55902	1372.2628
ACSS3|79611	97.8981	ACSS3|79611	528.6389
