gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
EBNA1BP2|10969	2028.9855	EBNA1BP2|10969	866.9815
EBPL|84650	481.0442	EBPL|84650	495.6634
EBP|10682	805.8355	EBP|10682	335.2512
ECD|11319	567.4249	ECD|11319	678.7462
ECE1|1889	4542.4705	ECE1|1889	6192.1855
ECE2|9718	550.5327	ECE2|9718	49.4633
ECEL1|9427	23.4188	ECEL1|9427	11.3353
ECH1|1891	3484.4035	ECH1|1891	2323.4006
ECHDC1|55862	731.3562	ECHDC1|55862	1375.6977
ECHDC2|55268	559.7466	ECHDC2|55268	1454.0146
ECHDC3|79746	697.9557	ECHDC3|79746	351.7389
ECHS1|1892	1819.3685	ECHS1|1892	1895.4058
ECM1|1893	1830.5020000000002	ECM1|1893	207.8145
ECM2|1842	159.7082	ECM2|1842	1608.9309
ECSCR|641700	49.5249	ECSCR|641700	258.3083
ECSIT|51295	350.1296	ECSIT|51295	592.8725
lowly_expressed	lowly_expressed	ECT2L|345930	13.7398
ECT2|1894	2297.3414	ECT2|1894	295.4058
EDA2R|60401	21.1153	EDA2R|60401	183.4264
EDARADD|128178	63.3458	EDARADD|128178	613.4822
lowly_expressed	lowly_expressed	EDAR|10913	30.2276
EDA|1896	29.1775	EDA|1896	265.8652
EDC3|80153	716.3835	EDC3|80153	705.1954
EDC4|23644	1410.8341	EDC4|23644	1137.5423
lowly_expressed	lowly_expressed	EDDM3B|64184	7.5569
EDEM1|9695	1656.9728	EDEM1|9695	2245.7707
EDEM2|55741	950.5711	EDEM2|55741	458.5659
EDEM3|80267	983.9716	EDEM3|80267	1503.4779
EDF1|8721	3509.3579	EDF1|8721	2360.4981
EDIL3|10085	156.6369	EDIL3|10085	309.1456
EDN1|1906	664.5551	EDN1|1906	546.1571
EDN2|1907	1600.9214	EDN2|1907	39.1584
lowly_expressed	lowly_expressed	EDN3|1908	183.7699
EDNRA|1909	608.5037	EDNRA|1909	611.4212
EDNRB|1910	99.8176	EDNRB|1910	974.1519999999999
EEA1|8411	573.5675	EEA1|8411	1202.5762
EED|8726	471.0625	EED|8726	422.8424
EEF1A1P9|441032	3815.3374	EEF1A1P9|441032	6062.0009
EEF1A1|1915	44373.5483	EEF1A1|1915	113662.5161
EEF1A2|1917	9.5979	EEF1A2|1917	73.8514
EEF1B2|1933	3164.987	EEF1B2|1933	3476.5135
EEF1D|1936	9761.3974	EEF1D|1936	5248.2611
EEF1E1|9521	376.6196	EEF1E1|9521	264.4912
EEF1G|1937	14459.737	EEF1G|1937	18562.4732
EEF2K|29904	856.1282	EEF2K|29904	1850.7514
EEF2|1938	27026.3941	EEF2|1938	42230.3134
EEFSEC|60678	379.3646	EEFSEC|60678	284.0017
EEPD1|80820	226.8932	EEPD1|80820	462.3444
lowly_expressed	lowly_expressed	EFCAB1|79645	95.8351
EFCAB2|84288	83.3093	EFCAB2|84288	167.9691
EFCAB4A|283229	1027.7378	EFCAB4A|283229	1292.5719
EFCAB4B|84766	92.5233	EFCAB4B|84766	194.0747
lowly_expressed	lowly_expressed	EFCAB6|64800	66.2945
EFCAB7|84455	106.3442	EFCAB7|84455	179.6479
EFEMP1|2202	5381.3226	EFEMP1|2202	4976.213
EFEMP2|30008	1069.5844	EFEMP2|30008	971.0605
EFHA1|221154	723.6779	EFHA1|221154	992.3572
EFHA2|286097	15.3566	EFHA2|286097	156.6337
lowly_expressed	lowly_expressed	EFHB|151651	24.0447
EFHC1|114327	217.6792	EFHC1|114327	514.2121
lowly_expressed	lowly_expressed	EFHC2|80258	11.3353
EFHD1|80303	6014.7807	EFHD1|80303	5575.9553
EFHD2|79180	1261.9253	EFHD2|79180	710.0043
EFNA1|1942	4722.9101	EFNA1|1942	2280.8072
EFNA3|1944	906.8049	EFNA3|1944	154.9163
EFNA4|1945	858.0478	EFNA4|1945	249.3774
EFNA5|1946	1045.3978	EFNA5|1946	735.4229
EFNB1|1947	332.8534	EFNB1|1947	649.2057
EFNB2|1948	620.405	EFNB2|1948	1169.2572
EFNB3|1949	46.8375	EFNB3|1949	261.7432
EFR3A|23167	3271.7151	EFR3A|23167	1996.0498
EFR3B|22979	80.6219	EFR3B|22979	35.38
EFS|10278	1236.2031	EFS|10278	1050.7514
EFTUD1|79631	699.8752	EFTUD1|79631	652.6406
EFTUD2|9343	3325.0101	EFTUD2|9343	1473.9373
EGFL6|25975	466.8394	EGFL6|25975	40.1889
EGFL7|51162	263.7489	EGFL7|51162	589.781
EGFL8|80864	30.406	EGFL8|80864	116.565
EGFLAM|133584	93.2911	EGFLAM|133584	431.4298
EGFR|1956	942.125	EGFR|1956	1322.4422
EGF|1950	38.7753	EGF|1950	353.7999
EGLN1|54583	1939.9175	EGLN1|54583	1568.7419
EGLN2|112398	1433.366	EGLN2|112398	949.9939999999999
EGLN3|112399	1727.6129999999998	EGLN3|112399	509.4032
EGOT|100126791	6.9105	EGOT|100126791	55.9897
EGR1|1958	1143.6798	EGR1|1958	14834.5213
EGR2|1959	175.0648	EGR2|1959	1076.5135
EGR3|1960	58.3549	EGR3|1960	815.8008
EHBP1L1|254102	2182.935	EHBP1L1|254102	1083.7269
EHBP1|23301	968.9989	EHBP1|23301	1456.7488
EHD1|10938	2398.3108	EHD1|10938	926.7497
EHD2|30846	1978.3089	EHD2|30846	3068.0979
EHD3|30845	263.365	EHD3|30845	429.3688
EHD4|30844	1223.9178	EHD4|30844	1410.0472
EHF|26298	1047.7013	EHF|26298	4691.4556
EHHADH|1962	168.5382	EHHADH|1962	367.5397
EHMT1|79813	1210.0969	EHMT1|79813	1319.021
EHMT2|10919	2242.0578	EHMT2|10919	1088.5359
EI24|9538	4208.4653	EI24|9538	2583.0829
EID1|23741	1536.8078	EID1|23741	4568.8278
EID2B|126272	32.2488	EID2B|126272	48.4328
EID2|163126	357.8079	EID2|163126	248.0034
EID3|493861	18.044	EID3|493861	54.6157
EIF1AD|84285	782.8007	EIF1AD|84285	537.5698
EIF1AX|1964	1490.3542	EIF1AX|1964	1837.0116
EIF1B|10289	731.7401	EIF1B|10289	955.2598
EIF1|10209	9804.7797	EIF1|10209	10566.9386
EIF2AK1|27102	5192.6788	EIF2AK1|27102	3266.5213
EIF2AK2|5610	1592.8592	EIF2AK2|5610	722.0266
EIF2AK3|9451	839.6199	EIF2AK3|9451	993.7312
EIF2AK4|440275	1524.1386	EIF2AK4|440275	1418.6346
EIF2A|83939	2830.9819	EIF2A|83939	2195.9639
EIF2B1|1967	1258.854	EIF2B1|1967	1170.2877
EIF2B2|8892	417.3145	EIF2B2|8892	418.0335
EIF2B3|8891	679.9117	EIF2B3|8891	518.3340000000001
EIF2B4|8890	1486.1311	EIF2B4|8890	768.3985
EIF2B5|8893	1339.092	EIF2B5|8893	1293.9459
EIF2C1|26523	914.0992	EIF2C1|26523	1335.5088
EIF2C2|27161	616.5659	EIF2C2|27161	162.4732
EIF2C3|192669	153.9495	EIF2C3|192669	175.1825
EIF2C4|192670	361.2631	EIF2C4|192670	704.8519
EIF2S1|1965	2066.993	EIF2S1|1965	1320.395
EIF2S2|8894	2338.8041	EIF2S2|8894	1151.3954
EIF2S3|1968	6238.2186	EIF2S3|1968	4692.8295
EIF3A|8661	5592.8592	EIF3A|8661	6645.9425
EIF3B|8662	7721.6623	EIF3B|8662	3186.2602
EIF3CL|728689	12997.7004	EIF3CL|728689	7085.8051
EIF3C|8663	542.9465	EIF3C|8663	168.1237
EIF3D|8664	4203.4744	EIF3D|8664	4728.553
EIF3E|3646	6717.7272	EIF3E|3646	6300.7299
EIF3F|8665	2247.8165	EIF3F|8665	2839.3302
EIF3G|8666	1611.264	EIF3G|8666	2257.3225
EIF3H|8667	5561.7622	EIF3H|8667	3876.3418
EIF3I|8668	3300.9195	EIF3I|8668	2998.4508
EIF3J|8669	1720.7026	EIF3J|8669	1457.793
EIF3K|27335	3469.4308	EIF3K|27335	2284.2422
EIF3L|51386	3841.0596	EIF3L|51386	9647.4023
EIF3M|10480	2557.1897	EIF3M|10480	2337.3671
EIF4A1|1973	11989.8301	EIF4A1|1973	6934.365
EIF4A2|1974	4324.7912	EIF4A2|1974	9299.7853
EIF4A3|9775	5074.9592	EIF4A3|9775	1603.435
EIF4B|1975	3540.4396	EIF4B|1975	12431.55
EIF4E2|9470	1425.0888	EIF4E2|9470	1167.1962
EIF4E3|317649	965.1598	EIF4E3|317649	1342.3787
EIF4EBP1|1978	1871.5808	EIF4EBP1|1978	257.9648
EIF4EBP2|1979	3381.1306	EIF4EBP2|1979	6005.6677
EIF4EBP3|8637	191.6076	EIF4EBP3|8637	344.7454
EIF4ENIF1|56478	591.9954	EIF4ENIF1|56478	892.0567
EIF4E|1977	421.9215	EIF4E|1977	397.7673
EIF4G1|1981	15303.1961	EIF4G1|1981	5747.7029
EIF4G2|1982	23285.1521	EIF4G2|1982	16623.4435
EIF4G3|8672	1033.8804	EIF4G3|8672	1547.7888
EIF4H|7458	5830.8859	EIF4H|7458	4990.2963
EIF5A2|56648	284.8642	EIF5A2|56648	152.1683
EIF5AL1|143244	2143.3919	EIF5AL1|143244	793.8171
EIF5A|1984	8773.9706	EIF5A|1984	2925.204
EIF5B|9669	6622.1326	EIF5B|9669	3153.6282
EIF5|1983	4062.578	EIF5|1983	5572.1769
EIF6|3692	2970.7266	EIF6|3692	1300.8158
ELAC1|55520	178.3818	ELAC1|55520	144.7763
ELAC2|60528	2523.4667	ELAC2|60528	1257.8789
ELAVL1|1994	2587.5804	ELAVL1|1994	1443.7097
ELAVL2|1993	241.09799999999998	lowly_expressed	lowly_expressed
ELF1|1997	1225.0696	ELF1|1997	2210.0472
ELF2|1998	777.4259	ELF2|1998	1255.131
ELF3|1999	5296.0937	ELF3|1999	4276.857
ELF4|2000	2077.7426	ELF4|2000	460.9704
ELF5|2001	413.0915	ELF5|2001	1849.0339
ELFN1|392617	33.4005	ELFN1|392617	19.5792
ELFN2|114794	5.7587	lowly_expressed	lowly_expressed
ELK1|2002	869.1813	ELK1|2002	537.9133
ELK3|2004	447.2598	ELK3|2004	670.5024
ELK4|2005	130.1468	ELK4|2005	195.7922
ELL2|22936	1124.4841	ELL2|22936	1325.8909
ELL3|80237	190.5634	ELL3|80237	112.6767
ELL|8178	503.6952	ELL|8178	488.7935
ELMO1|9844	236.8749	ELMO1|9844	485.3585
ELMO2|63916	894.5196	ELMO2|63916	997.1662
ELMO3|79767	485.2673	ELMO3|79767	357.2349
ELMOD2|255520	140.5125	ELMOD2|255520	227.3937
ELMOD3|84173	163.1635	ELMOD3|84173	921.9407
ELN|2006	61466.9354	ELN|2006	805.8394
ELOF1|84337	581.6297	ELOF1|84337	435.5517
ELOVL1|64834	2933.103	ELOVL1|64834	1193.9888
ELOVL2|54898	117.8616	ELOVL2|54898	624.1305
ELOVL3|83401	111.719	ELOVL3|83401	39.5019
ELOVL4|6785	31.4809	ELOVL4|6785	35.0365
ELOVL5|60481	3047.5094	ELOVL5|60481	5117.7329
ELOVL6|79071	221.9023	ELOVL6|79071	129.1541
ELOVL7|79993	181.9752	ELOVL7|79993	361.0133
ELP2P|100131454	8.4461	ELP2P|100131454	10.3049
ELP2|55250	1129.8589	ELP2|55250	1928.3813
ELP3|55140	1026.97	ELP3|55140	859.7681
ELP4|26610	227.66099999999997	ELP4|26610	209.8755
ELTD1|64123	259.142	ELTD1|64123	1644.9979
EMB|133418	214.6079	EMB|133418	864.9206
EMCN|51705	84.4611	EMCN|51705	1388.7505
EMD|2010	1873.8842	EMD|2010	805.8394
EME1|146956	160.5797	EME1|146956	16.1099
EME2|197342	9.2139	EME2|197342	12.3658
EMG1|10436	821.933	EMG1|10436	434.8373
EMID1|129080	26.874000000000002	EMID1|129080	117.1318
EMID2|136227	9.5979	lowly_expressed	lowly_expressed
EMILIN1|11117	1689.9894	EMILIN1|11117	685.6161
EMILIN2|84034	626.5477	EMILIN2|84034	481.2366
EMILIN3|90187	14.0129	EMILIN3|90187	48.5393
EML1|2009	426.9124	EML1|2009	343.8386
EML2|24139	742.0635	EML2|24139	642.9094
EML3|256364	940.9732	EML3|256364	846.3718
EML4|27436	1316.825	EML4|27436	1615.8008
EML5|161436	26.1062	EML5|161436	224.9893
EML6|400954	6.1426	EML6|400954	51.5243
EMP1|2012	3742.7776	EMP1|2012	5491.7991
EMP2|2013	5321.432	EMP2|2013	4086.2173
EMP3|2014	955.178	EMP3|2014	338.3426
EMR1|2015	16.5083	EMR1|2015	13.0528
EMR2|30817	313.2738	EMR2|30817	153.1988
lowly_expressed	lowly_expressed	EMR4P|326342	9.9614
EMX2OS|196047	19.5796	EMX2OS|196047	111.9794
EMX2|2018	13.0531	EMX2|2018	35.38
EN1|2019	2352.2411	EN1|2019	62.5161
ENAH|55740	13590.9396	ENAH|55740	3430.8287
ENC1|8507	1899.0114	ENC1|8507	1397.1112
ENDOD1|23052	2480.0845	ENDOD1|23052	1973.3791
ENDOG|2021	198.7331	ENDOG|2021	82.3907
ENDOU|8909	8.83	ENDOU|8909	23.3577
ENGASE|64772	359.7274	ENGASE|64772	464.7488
ENG|2022	2385.6378	ENG|2022	2316.8742
ENHO|375704	62.9619	ENHO|375704	80.0343
ENKUR|219670	5.3748	lowly_expressed	lowly_expressed
ENO1|2023	50547.2694	ENO1|2023	11800.0859
ENO2|2026	1431.9992	ENO2|2026	463.3748
ENO3|2027	21.4992	ENO3|2027	37.441
ENOPH1|58478	934.8306	ENOPH1|58478	696.9515
ENOSF1|55556	229.1429	ENOSF1|55556	642.3323
ENOX1|55068	28.4096	ENOX1|55068	47.7458
ENOX2|10495	465.3038	ENOX2|10495	432.8038
ENPEP|2028	146.6551	ENPEP|2028	265.5217
ENPP1|5167	289.4712	ENPP1|5167	916.1013
ENPP2|5168	221.5184	ENPP2|5168	2751.7389
lowly_expressed	lowly_expressed	ENPP3|5169	32.9755
ENPP4|22875	256.8385	ENPP4|22875	738.5144
ENPP5|59084	254.535	ENPP5|59084	748.1322
ENPP6|133121	27.6418	ENPP6|133121	39.5019
ENSA|2029	8975.5255	ENSA|2029	3567.5397
ENTHD1|150350	24.5705	lowly_expressed	lowly_expressed
ENTPD1|953	1046.9296	ENTPD1|953	1288.103
ENTPD2|954	310.2025	ENTPD2|954	154.5728
ENTPD3|956	44.1501	ENTPD3|956	110.0627
ENTPD4|9583	444.5724	ENTPD4|9583	451.3525
ENTPD5|957	107.6073	ENTPD5|957	519.5294
ENTPD6|955	1121.0289	ENTPD6|955	1053.1559
ENTPD7|57089	421.3533	ENTPD7|57089	232.9034
lowly_expressed	lowly_expressed	ENTPD8|377841	17.1748
ENY2|56943	1469.6228	ENY2|56943	462.3444
EOMES|8320	9.2139	EOMES|8320	25.4186
EP300|2033	1924.1770000000001	EP300|2033	3207.2134
EP400NL|347918	132.0664	EP400NL|347918	140.833
EP400|57634	1692.6768	EP400|57634	1725.3757
EPAS1|2034	2619.0613	EPAS1|2034	7806.2688
EPB41L1|2036	1047.7013	EPB41L1|2036	1807.8145
EPB41L2|2037	3088.2042	EPB41L2|2037	2947.8746
EPB41L3|23136	550.1488	EPB41L3|23136	694.8905
EPB41L4A|64097	474.9016	EPB41L4A|64097	862.1726
EPB41L4B|54566	547.8453	EPB41L4B|54566	1265.4358
EPB41L5|57669	283.7124	EPB41L5|57669	849.1198
EPB41|2035	1000.4799	EPB41|2035	2041.082
lowly_expressed	lowly_expressed	EPB42|2038	8.9309
EPB49|2039	819.6564	EPB49|2039	766.681
EPC1|80314	423.4571	EPC1|80314	877.6299
EPC2|26122	476.8212	EPC2|26122	1092.3143
EPCAM|4072	3991.17	EPCAM|4072	2564.5341
EPDR1|54749	227.66099999999997	EPDR1|54749	468.8708
EPHA10|284656	43.3823	EPHA10|284656	114.0404
EPHA1|2041	406.9488	EPHA1|2041	323.5723
EPHA2|1969	622.7085	EPHA2|1969	515.2426
EPHA3|2042	23.4188	EPHA3|2042	121.2538
EPHA4|2043	160.86	EPHA4|2043	343.1516
lowly_expressed	lowly_expressed	EPHA6|285220	18.8922
EPHA7|2045	10.3657	EPHA7|2045	34.693000000000005
EPHB1|2047	63.3458	EPHB1|2047	353.7999
EPHB2|2048	397.351	EPHB2|2048	103.39200000000001
EPHB3|2049	2091.5635	EPHB3|2049	1287.076
EPHB4|2050	2470.8705	EPHB4|2050	2170.8888
EPHB6|2051	454.9381	EPHB6|2051	247.6599
EPHX1|2052	3340.4357	EPHX1|2052	2541.1765
EPHX2|2053	499.4721	EPHX2|2053	1072.3916
EPHX3|79852	23.4188	EPHX3|79852	12.0223
EPHX4|253152	39.9271	EPHX4|253152	27.8231
EPM2AIP1|9852	446.1081	EPM2AIP1|9852	1597.9389999999999
EPM2A|7957	114.0225	EPM2A|7957	298.8407
EPN1|29924	4534.0244	EPN1|29924	1153.7999
EPN2|22905	1347.5382	EPN2|22905	1108.1151
EPN3|55040	545.4919	EPN3|55040	228.7231
EPOR|2057	32.2488	EPOR|2057	110.9489
EPPK1|83481	2079.2782	EPPK1|83481	354.4869
EPR1|8475	1635.4084	EPR1|8475	26.8167
EPRS|2058	10063.1539	EPRS|2058	2755.5174
EPS15L1|58513	705.25	EPS15L1|58513	603.5208
EPS15|2060	1802.8602	EPS15|2060	2246.1142
EPS8L1|54869	532.8726	EPS8L1|54869	316.7024
EPS8L2|64787	2599.4817	EPS8L2|64787	1000.9446
EPS8|2059	714.8479	EPS8|2059	1965.8222
EPSTI1|94240	487.1869	EPSTI1|94240	388.4929
EPT1|85465	1578.6429	EPT1|85465	1137.3018
EPYC|1833	8.83	lowly_expressed	lowly_expressed
ERAL1|26284	1152.1259	ERAL1|26284	733.0185
ERAP1|51752	1441.4358	ERAP1|51752	2576.9652
ERAP2|64167	2996.4488	ERAP2|64167	2211.4212
ERBB2IP|55914	1239.2744	ERBB2IP|55914	2473.8514
ERBB2|2064	4373.1644	ERBB2|2064	5449.5492
ERBB3|2065	1638.545	ERBB3|2065	6795.0193
ERBB4|2066	21.4992	ERBB4|2066	3432.8897
ERC1|23085	1553.7	ERC1|23085	1522.0266
ERC2|26059	22.6509	ERC2|26059	12.3658
ERCC1|2067	1145.6301	ERCC1|2067	652.6990000000001
ERCC2|2068	650.7342	ERCC2|2068	288.7454
ERCC3|2071	1070.3522	ERCC3|2071	1071.7046
ERCC4|2072	245.321	ERCC4|2072	331.8162
ERCC5|2073	1058.8348	ERCC5|2073	1666.638
ERCC6L|54821	289.4712	ERCC6L|54821	24.3881
ERCC6|2074	200.4261	ERCC6|2074	421.7055
ERCC8|1161	105.5764	ERCC8|1161	185.1438
lowly_expressed	lowly_expressed	EREG|2069	7.2134
ERF|2077	1156.7329	ERF|2077	741.2623
ERGIC1|57222	3153.4696	ERGIC1|57222	4035.38
ERGIC2|51290	893.3679	ERGIC2|51290	731.301
ERGIC3|51614	4132.0664	ERGIC3|51614	3496.7797
ERG|2078	135.9056	ERG|2078	1114.298
ERH|2079	2052.7882	ERH|2079	1417.6041
ERI1|90459	707.5535	ERI1|90459	396.7368
ERI2|112479	340.5279	ERI2|112479	436.3212
ERI3|79033	1264.2288	ERI3|79033	594.2465
ERICH1|157697	242.6337	ERICH1|157697	232.2027
ERLEC1|27248	1183.223	ERLEC1|27248	1622.6707
ERLIN1|10613	1405.8931	ERLIN1|10613	1258.5659
ERLIN2|11160	1229.6766	ERLIN2|11160	2636.2216
ERMAP|114625	272.5789	ERMAP|114625	593.5595
ERMN|57471	49.9088	ERMN|57471	20.6097
ERMP1|79956	1266.6859	ERMP1|79956	1202.5419
ERN1|2081	101.3533	ERN1|2081	348.6475
ERO1LB|56605	69.8723	ERO1LB|56605	544.4397
ERO1L|30001	1486.8989	ERO1L|30001	563.6754
ERP27|121506	78.3185	ERP27|121506	104.079
ERP29|10961	3161.1479	ERP29|10961	2867.4968
ERP44|23071	1969.8628	ERP44|23071	1368.1408
ERRFI1|54206	1249.6401	ERRFI1|54206	1931.1292
lowly_expressed	lowly_expressed	ERVFRDE1|405754	12.0223
ESAM|90952	347.8261	ESAM|90952	932.9326
ESCO1|114799	470.2947	ESCO1|114799	688.0206
ESCO2|157570	222.2862	ESCO2|157570	15.8008
ESD|2098	1840.8676	ESD|2098	2239.9313
ESF1|51575	385.8336	ESF1|51575	583.2546
ESM1|11082	191.1892	ESM1|11082	36.4105
ESPL1|9700	337.8443	ESPL1|9700	40.5324
lowly_expressed	lowly_expressed	ESPNL|339768	13.3963
ESPN|83715	189.2696	ESPN|83715	151.4813
ESR1|2099	139.3608	ESR1|2099	8472.9927
ESR2|2100	15.3566	ESR2|2100	21.6402
ESRP1|54845	4670.3138	ESRP1|54845	1490.0816
ESRP2|80004	1021.2112	ESRP2|80004	1039.4161
ESRRA|2101	565.8892	ESRRA|2101	414.255
ESRRG|2104	11.9013	ESRRG|2104	220.1803
ESX1|80712	8.4461	lowly_expressed	lowly_expressed
ESYT1|23344	3826.4709	ESYT1|23344	4296.7797
ESYT2|57488	7019.0997	ESYT2|57488	4239.0726
ESYT3|83850	164.3152	ESYT3|83850	45.6848
ETAA1|54465	239.5623	ETAA1|54465	480.5496
ETF1|2107	2390.2486	ETF1|2107	2852.0395
ETFA|2108	844.9947	ETFA|2108	1139.7166
ETFB|2109	276.802	ETFB|2109	863.2031
ETFDH|2110	337.0765	ETFDH|2110	596.6509
ETHE1|23474	523.6587	ETHE1|23474	358.6088
ETNK1|55500	484.4995	ETNK1|55500	1857.6213
ETNK2|55224	167.3865	ETNK2|55224	370.2877
ETS1|2113	3432.1912	ETS1|2113	3308.2009
ETS2|2114	1640.0806	ETS2|2114	1610.6483
ETV1|2115	147.423	ETV1|2115	491.1979
ETV2|2116	11.9013	ETV2|2116	5.4959
ETV3L|440695	12.2852	ETV3L|440695	12.7093
ETV3|2117	434.5907	ETV3|2117	364.4483
ETV4|2118	109.4155	ETV4|2118	70.4165
ETV5|2119	411.1719	ETV5|2119	619.3216
ETV6|2120	2362.6068	ETV6|2120	2594.7617
ETV7|51513	322.4878	ETV7|51513	56.3332
EVC2|132884	215.7597	EVC2|132884	187.2048
EVC|2121	799.4203	EVC|2121	932.6647
EVI2A|2123	223.8219	EVI2A|2123	229.7982
EVI2B|2124	520.2035	EVI2B|2124	421.1249
EVI5L|115704	353.5848	EVI5L|115704	243.53799999999998
EVI5|7813	319.8004	EVI5|7813	507.6857
EVL|51466	1018.9078	EVL|51466	2390.0386
EVPLL|645027	17.66	lowly_expressed	lowly_expressed
EVPL|2125	1368.6534	EVPL|2125	466.1228
EWSR1|2130	4598.5219	EWSR1|2130	4217.0889
EXD2|55218	595.4506	EXD2|55218	801.0305
EXD3|54932	106.7281	EXD3|54932	148.7334
EXO1|9156	873.4044	EXO1|9156	17.1748
EXOC1|55763	667.2425	EXOC1|55763	1220.438
EXOC2|55770	1012.3812	EXOC2|55770	1212.1941
EXOC3L2|90332	44.9179	EXOC3L2|90332	16.1443
EXOC3L|283849	74.8632	EXOC3L|283849	49.4633
EXOC3|11336	1766.3883	EXOC3|11336	1152.4259
EXOC4|60412	1076.4949	EXOC4|60412	1580.0773
EXOC5|10640	957.8654	EXOC5|10640	1481.1507
EXOC6B|23233	162.0117	EXOC6B|23233	257.2778
EXOC6|54536	267.972	EXOC6|54536	489.824
EXOC7|23265	2731.1642	EXOC7|23265	3382.9455
EXOC8|149371	462.2325	EXOC8|149371	658.1365
EXOG|9941	119.0133	EXOG|9941	129.4976
EXOSC10|5394	1784.4323	EXOSC10|5394	1632.2885
EXOSC1|51013	406.181	EXOSC1|51013	252.4689
EXOSC2|23404	573.1836	EXOSC2|23404	462.6878
EXOSC3|51010	436.1263	EXOSC3|51010	269.9871
EXOSC4|54512	553.2201	EXOSC4|54512	127.4367
EXOSC5|56915	515.9804	EXOSC5|56915	203.3491
EXOSC6|118460	352.4331	EXOSC6|118460	276.857
EXOSC7|23016	557.4431	EXOSC7|23016	457.5354
EXOSC8|11340	504.2403	EXOSC8|11340	385.0202
EXOSC9|5393	500.2399	EXOSC9|5393	447.0039
EXPH5|23086	425.7606	EXPH5|23086	519.3645
EXT1|2131	2607.16	EXT1|2131	950.7943
EXT2|2132	3433.3429	EXT2|2132	1891.2838
EXTL1|2134	20.7314	EXTL1|2134	38.4714
EXTL2|2135	190.8053	EXTL2|2135	375.4401
EXTL3|2137	1761.0135	EXTL3|2137	1105.7106
EYA1|2138	19.5796	EYA1|2138	10.9918
EYA2|2139	328.2465	EYA2|2139	489.824
EYA3|2140	137.0573	EYA3|2140	226.0198
lowly_expressed	lowly_expressed	EYA4|2070	16.1443
lowly_expressed	lowly_expressed	EYS|346007	17.1748
EZH1|2145	449.9472	EZH1|2145	1916.0155
EZH2|2146	938.2858	EZH2|2146	81.0648
EZR|7430	7931.2794	EZR|7430	3419.8368
F10|2159	8.4461	F10|2159	127.7802
F11R|50848	13465.3998	F11R|50848	3691.5483
F12|2161	242.2497	F12|2161	16.1443
F13A1|2162	699.4913	F13A1|2162	968.9996
F2RL1|2150	164.6991	F2RL1|2150	293.0013
F2RL2|2151	370.477	F2RL2|2151	203.0056
F2RL3|9002	53.364	F2RL3|9002	27.8231
F2R|2149	1164.0273	F2R|2149	854.6157
F3|2152	492.1778	F3|2152	1180.249
F5|2153	42.6145	F5|2153	12.7093
lowly_expressed	lowly_expressed	F7|2155	26.4491
F8A1|8263	237.2589	F8A1|8263	86.2173
F8|2157	312.506	F8|2157	1049.0339
FA2H|79152	26.874000000000002	FA2H|79152	42.2499
FAAH2|158584	201.9388	FAAH2|158584	288.8793
FAAH|2166	251.4637	FAAH|2166	357.9219
FABP3|2170	203.8583	FABP3|2170	96.8656
FABP4|2167	329.3982	FABP4|2167	10462.5161
FABP5|2171	292.9264	FABP5|2171	75.9124
FABP7|2173	96.3624	FABP7|2173	401.2022
FADD|8772	767.0602	FADD|8772	551.6531
FADS1|3992	1607.8318	FADS1|3992	436.2387
FADS2|9415	7049.4289	FADS2|9415	272.0481
FADS3|3995	463.7681	FADS3|3995	420.43800000000005
FAF1|11124	1956.0418	FAF1|11124	857.3637
FAF2|23197	1677.3203	FAF2|23197	1511.3783
FAHD1|81889	394.0647	FAHD1|81889	354.4732
FAHD2A|51011	322.8717	FAHD2A|51011	388.8364
FAHD2B|151313	104.4246	FAHD2B|151313	222.2413
FAH|2184	618.4855	FAH|2184	1031.5157
FAIM2|23017	6.5265	FAIM2|23017	39.1584
FAIM3|9214	165.9123	FAIM3|9214	173.78099999999998
FAIM|55179	850.3695	FAIM|55179	275.1395
FAM100A|124402	382.3783	FAM100A|124402	200.9446
FAM100B|283991	905.6531	FAM100B|283991	464.7488
FAM101A|144347	50.2927	FAM101A|144347	82.7823
FAM101B|359845	787.0237	FAM101B|359845	445.8566
FAM102A|399665	1534.5043	FAM102A|399665	1859.3388
FAM102B|284611	960.9368	FAM102B|284611	1222.4989
FAM103A1|83640	300.9502	FAM103A1|83640	340.0601
FAM104A|84923	984.1904	FAM104A|84923	745.7689999999999
FAM104B|90736	211.5366	FAM104B|90736	219.1498
FAM105A|54491	436.1263	FAM105A|54491	357.2349
FAM105B|90268	1208.9452	FAM105B|90268	526.5779
FAM106C|100129396	19.1957	FAM106C|100129396	7.2134
FAM107A|11170	824.6473	FAM107A|11170	781.1078
FAM107B|83641	1611.671	FAM107B|83641	2830.0558
FAM108A1|81926	429.9837	FAM108A1|81926	284.4139
FAM108B1|51104	284.4803	FAM108B1|51104	400.5152
FAM108C1|58489	321.7199	FAM108C1|58489	268.9566
FAM109A|144717	355.8883	FAM109A|144717	247.6599
FAM109B|150368	436.5102	FAM109B|150368	302.9626
FAM10A4|145165	206.5457	FAM10A4|145165	452.38300000000004
FAM110A|83541	506.3826	FAM110A|83541	304.3366
FAM110B|90362	297.1494	FAM110B|90362	464.0618
