gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
ACAD8|27034	645.2725	ACAD8|27034	478.866
ACAD9|28976	1150.2979	ACAD9|28976	922.1495
ACADL|33	14.1776	ACADL|33	374.2268
ACADM|34	1192.4514	ACADM|34	1282.9897
ACADSB|36	1670.2749	ACADSB|36	695.3608
ACADS|35	391.9916	ACADS|35	1665.9794
ACADVL|37	3653.9362	ACADVL|37	7596.9072
ACAN|176	18.7757	ACAN|176	14.433
ACAP1|9744	28.7384	ACAP1|9744	34.5361
ACAP2|23527	1349.5546	ACAP2|23527	1702.0619
ACAP3|116983	414.5991	ACAP3|116983	387.1598
ACAT1|38	1378.6761	ACAT1|38	2849.4845
ACAT2|39	468.497	ACAT2|39	188.9948
ACBD3|64746	3055.4651	ACBD3|64746	1272.1649
ACBD4|79777	200.4023	ACBD4|79777	234.0206
ACBD5|91452	629.5622	ACBD5|91452	910.8247
ACBD6|84320	711.5624	ACBD6|84320	319.0722
ACBD7|414149	27.2057	ACBD7|414149	6.1856
ACCN2|41	123.0003	ACCN2|41	155.1546
ACCN3|9311	6.8972	lowly_expressed	lowly_expressed
ACCS|84680	114.1872	ACCS|84680	247.4227
ACD|65057	183.1593	ACD|65057	190.2062
ACER2|340485	137.5611	ACER2|340485	258.2474
ACER3|55331	182.7761	ACER3|55331	955.6701
ACE|1636	547.562	ACE|1636	1840.7216
ACIN1|22985	3308.746	ACIN1|22985	2717.5258
ACLY|47	4214.9631	ACLY|47	3127.8351
ACMSD|130013	13.0281	lowly_expressed	lowly_expressed
ACN9|57001	200.0192	ACN9|57001	116.4948
ACO1|48	1748.8265	ACO1|48	7382.9897
ACO2|50	1613.7331	ACO2|50	2837.8402
ACOT11|26027	32.9533	ACOT11|26027	27.8351
ACOT13|55856	399.59	ACOT13|55856	825.0567
ACOT1|641371	1099.339	ACOT1|641371	1508.7629
ACOT2|10965	637.9921	ACOT2|10965	930.4124
ACOT4|122970	512.3096	ACOT4|122970	158.2474
lowly_expressed	lowly_expressed	ACOT6|641372	9.7938
ACOT7|11332	204.2341	ACOT7|11332	353.0928
ACOT8|10005	451.2463	ACOT8|10005	197.6237
ACOT9|23597	412.6832	ACOT9|23597	808.2474
ACOX1|51	1314.8616	ACOX1|51	3326.2887
ACOX2|8309	205.3837	ACOX2|8309	355.6701
ACOX3|8310	778.2355	ACOX3|8310	381.4433
ACP1|52	1501.6764	ACP1|52	954.1237
ACP2|53	1581.7607	ACP2|53	1552.0619
ACP5|54	3316.0264	ACP5|54	2448.4536
ACP6|51205	457.5151	ACP6|51205	113.9175
ACPL2|92370	908.133	ACPL2|92370	331.9588
ACPP|55	72.0376	ACPP|55	51.5464
ACRBP|84519	16.0935	ACRBP|84519	56.701
ACRC|93953	16.8599	ACRC|93953	26.8041
lowly_expressed	lowly_expressed	ACR|49	9.2784
lowly_expressed	lowly_expressed	ACSBG1|23205	12.8866
ACSF2|80221	1309.704	ACSF2|80221	1087.1134
ACSF3|197322	246.7669	ACSF3|197322	267.0103
ACSL1|2180	4066.6731	ACSL1|2180	28717.0103
ACSL3|2181	4665.581	ACSL3|2181	2411.3402
ACSL4|2182	770.1887	ACSL4|2182	3653.0928
ACSL5|51703	511.9264	ACSL5|51703	1175.2577
ACSL6|23305	8.4299	lowly_expressed	lowly_expressed
ACSM1|116285	79.3179	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	15.4639
lowly_expressed	lowly_expressed	ACSM2B|348158	9.7938
ACSM3|6296	69.1369	ACSM3|6296	5.4536
ACSM5|54988	101.5423	ACSM5|54988	1585.0515
ACSS1|84532	1033.8155	ACSS1|84532	559.7938
ACSS2|55902	990.5163	ACSS2|55902	5257.732
ACSS3|79611	286.2343	ACSS3|79611	1074.7423
ACTA1|58	14.944	lowly_expressed	lowly_expressed
ACTA2|59	8002.8738	ACTA2|59	4907.3711
ACTB|60	100255.1969	ACTB|60	83073.1959
ACTG1|71	78003.257	ACTG1|71	41863.9175
ACTG2|72	833.4132	ACTG2|72	215.9794
ACTL6A|86	1237.2833	ACTL6A|86	577.8351
ACTN1|87	5099.7222	ACTN1|87	3022.6804
ACTN4|81	10707.2861	ACTN4|81	7088.1031
ACTR10|55860	1352.62	ACTR10|55860	1159.2784
ACTR1A|10121	2676.1184	ACTR1A|10121	3491.2371
ACTR1B|10120	931.89	ACTR1B|10120	1221.134
ACTR2|10097	6867.7076	ACTR2|10097	7565.4639
ACTR3B|57180	310.3746	ACTR3B|57180	56.1856
ACTR3C|653857	20.6916	ACTR3C|653857	23.7113
ACTR3|10096	3898.0745	ACTR3|10096	4159.7938
ACTR5|79913	247.1501	ACTR5|79913	125.7732
ACTR6|64431	527.2536	ACTR6|64431	362.8866
ACTR8|93973	520.7395	ACTR8|93973	373.7113
ACVR1B|91	995.4977	ACVR1B|91	776.8041
ACVR1C|130399	147.1405	ACVR1C|130399	2986.0825
ACVR1|90	804.6748	ACVR1|90	1519.5876
ACVR2A|92	246.7669	ACVR2A|92	514.9485
ACVR2B|93	487.0198	ACVR2B|93	333.5052
ACVRL1|94	460.1973	ACVRL1|94	2409.2784
ACY1|95	899.6494	ACY1|95	505.5876
ACY3|91703	27.972	lowly_expressed	lowly_expressed
ACYP1|97	74.3366	ACYP1|97	56.701
ACYP2|98	151.3555	ACYP2|98	215.4639
ADAL|161823	202.7014	ADAL|161823	271.134
ADAM10|102	1492.0969	ADAM10|102	1762.3711
ADAM11|4185	6.1309	lowly_expressed	lowly_expressed
ADAM12|8038	2042.3412	ADAM12|8038	1125.2577
ADAM15|8751	8672.1257	ADAM15|8751	3077.8351
ADAM17|6868	632.2445	ADAM17|6868	792.7835
ADAM19|8728	155.5705	ADAM19|8728	180.9278
lowly_expressed	lowly_expressed	ADAM20|8748	6.701
ADAM21P1|145241	17.243	lowly_expressed	lowly_expressed
ADAM21|8747	49.8132	lowly_expressed	lowly_expressed
ADAM22|53616	65.5235	ADAM22|53616	82.4742
ADAM23|8745	21.458	ADAM23|8745	106.1856
ADAM28|10863	74.3366	ADAM28|10863	7.732
ADAM32|203102	38.3178	ADAM32|203102	26.8041
ADAM33|80332	99.7528	ADAM33|80332	648.2938
ADAM6|8755	6543.5655	ADAM6|8755	410.0567
ADAM8|101	126.4489	ADAM8|101	31.9588
ADAM9|8754	2333.1737	ADAM9|8754	4081.9588
ADAMDEC1|27299	21.0748	lowly_expressed	lowly_expressed
ADAMTS10|81794	85.0656	ADAMTS10|81794	150
ADAMTS12|81792	239.1034	ADAMTS12|81792	363.9175
ADAMTS13|11093	70.1217	ADAMTS13|11093	25.2577
ADAMTS14|140766	106.1404	ADAMTS14|140766	132.4742
ADAMTS15|170689	1072.1333	ADAMTS15|170689	411.8557
ADAMTS16|170690	362.1036	ADAMTS16|170690	538.1443
ADAMTS17|170691	73.9534	ADAMTS17|170691	55.1546
ADAMTS18|170692	42.916	ADAMTS18|170692	211.8557
ADAMTS19|171019	32.5702	ADAMTS19|171019	36.0825
ADAMTS1|9510	471.3095	ADAMTS1|9510	4331.9588
ADAMTS2|9509	470.9263	ADAMTS2|9509	1796.9072
ADAMTS3|9508	30.6543	ADAMTS3|9508	81.4433
ADAMTS4|9507	421.8795	ADAMTS4|9507	240.2062
ADAMTS5|11096	353.2905	ADAMTS5|11096	8410.8247
ADAMTS6|11174	47.8973	ADAMTS6|11174	117.5258
ADAMTS7|11173	98.4769	ADAMTS7|11173	195.8763
ADAMTS8|11095	6.8972	ADAMTS8|11095	13.9175
ADAMTS9|56999	155.1873	ADAMTS9|56999	784.0206
ADAMTSL1|92949	124.1498	ADAMTSL1|92949	688.6598
ADAMTSL2|9719	132.1966	ADAMTSL2|9719	63.4021
ADAMTSL3|57188	103.075	ADAMTSL3|57188	827.3196
ADAMTSL4|54507	189.2902	ADAMTSL4|54507	2386.0825
ADAMTSL5|339366	60.9254	ADAMTSL5|339366	52.5773
ADAP1|11033	208.1042	ADAP1|11033	167.3247
ADAP2|55803	317.2718	ADAP2|55803	855.1546
ADARB1|104	444.8702	ADARB1|104	789.1753
lowly_expressed	lowly_expressed	ADARB2|105	7.2165
ADAR|103	11895.7755	ADAR|103	5496.9072
ADAT1|23536	229.5239	ADAT1|23536	348.9691
ADAT2|134637	50.1964	ADAT2|134637	132.4742
ADAT3|113179	40.6169	ADAT3|113179	14.433
ADA|100	127.5984	ADA|100	263.9175
ADCK1|57143	223.0099	ADCK1|57143	217.5258
ADCK2|90956	1475.2371	ADCK2|90956	560.3093
ADCK4|79934	628.4127	ADCK4|79934	312.3711
ADCK5|203054	87.3647	ADCK5|203054	53.6082
ADCY1|107	297.3465	ADCY1|107	212.8866
ADCY2|108	623.4314	ADCY2|108	85.0515
ADCY3|109	539.4885	ADCY3|109	2383.5
ADCY4|196883	100.0096	ADCY4|196883	577.3196
ADCY5|111	102.6918	ADCY5|111	601.0309
ADCY6|112	1621.6113	ADCY6|112	3053.6082
ADCY7|113	402.7206	ADCY7|113	1377.8351
lowly_expressed	lowly_expressed	ADCY8|114	48.4536
ADCY9|115	1291.3114	ADCY9|115	944.8454
lowly_expressed	lowly_expressed	ADCYAP1R1|117	34.0206
ADC|113451	151.7387	ADC|113451	53.6082
ADD1|118	4959.8621	ADD1|118	8071.134
ADD2|119	23.3739	ADD2|119	76.8041
ADD3|120	1682.5366	ADD3|120	5347.4227
ADH1A|124	32.187	ADH1A|124	848.6598
ADH1B|125	5025.7688	ADH1B|125	91436.5979
ADH1C|126	19.9253	ADH1C|126	295.8763
lowly_expressed	lowly_expressed	ADH4|127	16.4948
