gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
CCDC53|51019	325.3185	CCDC53|51019	474.7423
CCDC55|84081	627.6463	CCDC55|84081	700.0
CCDC56|28958	1178.9367	CCDC56|28958	714.433
CCDC57|284001	247.5333	CCDC57|284001	156.701
CCDC58|131076	241.4024	CCDC58|131076	109.2784
CCDC59|29080	225.3089	CCDC59|29080	311.3402
CCDC61|729440	172.4303	CCDC61|729440	94.8454
CCDC64B|146439	382.4121	lowly_expressed	lowly_expressed
CCDC64|92558	182.3929	CCDC64|92558	5.6701
CCDC65|85478	102.6918	lowly_expressed	lowly_expressed
CCDC66|285331	330.38800000000003	CCDC66|285331	215.433
CCDC67|159989	7.2804	lowly_expressed	lowly_expressed
CCDC68|80323	14.944	CCDC68|80323	72.1649
CCDC69|26112	644.5062	CCDC69|26112	6310.3093
CCDC6|8030	3076.5399	CCDC6|8030	1800.0
CCDC71|64925	562.506	CCDC71|64925	299.4845
CCDC72|51372	1623.144	CCDC72|51372	1036.0825
CCDC73|493860	25.055999999999997	CCDC73|493860	44.6649
CCDC74A|90557	643.7398	CCDC74A|90557	44.3299
CCDC74B|91409	70.888	CCDC74B|91409	12.8866
CCDC75|253635	62.8413	CCDC75|253635	151.5464
CCDC76|54482	222.8106	CCDC76|54482	208.0825
CCDC77|84318	113.0376	CCDC77|84318	150.0
CCDC78|124093	83.5329	lowly_expressed	lowly_expressed
CCDC7|221016	18.0094	CCDC7|221016	21.4072
CCDC80|151887	3645.1767	CCDC80|151887	31401.5464
lowly_expressed	lowly_expressed	CCDC81|60494	7.2165
CCDC82|79780	157.4863	CCDC82|79780	714.433
CCDC84|338657	80.0843	CCDC84|338657	72.1649
CCDC85A|114800	47.131	CCDC85A|114800	421.5206
CCDC85B|11007	208.8323	CCDC85B|11007	210.3093
CCDC85C|317762	1080.6974	CCDC85C|317762	172.7216
CCDC86|79080	382.0098	CCDC86|79080	360.2732
CCDC87|55231	43.6823	lowly_expressed	lowly_expressed
CCDC88A|55704	567.8705	CCDC88A|55704	1569.0722
CCDC88B|283234	127.9816	CCDC88B|283234	181.4433
CCDC88C|440193	2165.3415	CCDC88C|440193	459.7938
CCDC89|220388	16.8599	CCDC89|220388	51.0309
CCDC8|83987	361.7205	CCDC8|83987	231.4433
CCDC90A|63933	255.1969	CCDC90A|63933	475.7732
CCDC90B|60492	632.2406	CCDC90B|60492	715.4639
CCDC91|55297	382.4121	CCDC91|55297	456.70099999999996
CCDC92|80212	856.7869999999999	CCDC92|80212	1446.3918
CCDC93|54520	695.4689	CCDC93|54520	1266.4948
CCDC94|55702	393.9075	CCDC94|55702	231.9588
CCDC96|257236	156.72	CCDC96|257236	35.0515
CCDC97|90324	1210.4608	CCDC97|90324	727.8351
CCDC99|54908	205.0005	CCDC99|54908	116.4948
CCDC9|26093	658.3006	CCDC9|26093	224.7423
CCHCR1|54535	372.0663	CCHCR1|54535	220.1031
CCIN|881	8.4299	CCIN|881	29.3814
CCL11|6356	10.3458	lowly_expressed	lowly_expressed
CCL13|6357	6.8972	CCL13|6357	1324.2268
CCL14|6358	484.0425	CCL14|6358	3979.6237
lowly_expressed	lowly_expressed	CCL15|6359	5.6701
lowly_expressed	lowly_expressed	CCL16|6360	18.5567
lowly_expressed	lowly_expressed	CCL17|6361	6.1856
CCL18|6362	86.9815	CCL18|6362	6100.5155
CCL19|6363	103.075	CCL19|6363	169.5876
CCL21|6366	29.1216	CCL21|6366	1360.8247
CCL22|6367	72.0376	CCL22|6367	30.9278
CCL23|6368	13.0281	CCL23|6368	59.2784
lowly_expressed	lowly_expressed	CCL24|6369	10.3093
lowly_expressed	lowly_expressed	CCL26|10344	24.7423
CCL28|56477	118.7853	CCL28|56477	24.7423
CCL2|6347	120.7012	CCL2|6347	566.4948
CCL3L1|6349	11.1122	CCL3L1|6349	9.7938
CCL3|6348	60.9254	CCL3|6348	275.2577
CCL4L2|388372	26.4393	CCL4L2|388372	48.4536
CCL4|6351	33.3365	CCL4|6351	177.3196
CCL5|6352	223.7762	CCL5|6352	164.433
CCL7|6354	12.6449	lowly_expressed	lowly_expressed
CCL8|6355	8.8131	CCL8|6355	180.9278
CCM2|83605	894.7217	CCM2|83605	1117.5258
CCNA2|890	280.2606	CCNA2|890	190.4381
CCNB1IP1|57820	484.3376	CCNB1IP1|57820	357.2165
CCNB1|891	1011.9743	CCNB1|891	279.8969
CCNB2|9133	268.9913	CCNB2|9133	121.134
CCNB3|85417	14.944	CCNB3|85417	31.9588
CCNC|892	1468.7231	CCNC|892	937.1134
CCND1|595	5850.7519999999995	CCND1|595	2282.7268
CCND2|894	590.4780000000001	CCND2|894	1034.5361
CCND3|896	746.4317	CCND3|896	1210.8247
CCNDBP1|23582	764.441	CCNDBP1|23582	1406.701
CCNE1|898	76.6357	CCNE1|898	33.5052
CCNE2|9134	119.9579	CCNE2|9134	60.5979
CCNF|899	424.1786	CCNF|899	158.2474
CCNG1|900	3262.3815	CCNG1|900	2637.6289
CCNG2|901	2132.005	CCNG2|901	2036.0825
CCNH|902	629.681	CCNH|902	615.9278
CCNI2|645121	47.7479	CCNI2|645121	12.3557
CCNI|10983	5558.3868	CCNI|10983	6280.9278
CCNJL|79616	41.7665	CCNJL|79616	31.4433
CCNJ|54619	70.5048	CCNJ|54619	146.9072
CCNK|8812	1089.2423	CCNK|8812	783.4639
CCNL1|57018	767.1233	CCNL1|57018	751.5464
CCNL2|81669	1213.9094	CCNL2|81669	1334.5361
CCNO|10309	787.4317	CCNO|10309	5.1546
CCNT1|904	158.6359	CCNT1|904	217.5258
CCNT2|905	769.8055	CCNT2|905	614.9485
CCNYL1|151195	374.3654	CCNYL1|151195	754.1237
CCNY|219771	1571.7981	CCNY|219771	2646.3918
CCPG1|9236	2366.583	CCPG1|9236	3412.4485
CCR10|2826	9.9626	CCR10|2826	9.7938
CCR1|1230	537.2162	CCR1|1230	1877.3196
CCR2|729230	56.3272	CCR2|729230	88.1443
CCR4|1233	12.6449	lowly_expressed	lowly_expressed
CCR5|1234	228.7575	CCR5|1234	137.1134
CCR6|1235	51.9322	CCR6|1235	13.3299
CCR7|1236	35.6356	CCR7|1236	36.5979
CCRL1|51554	63.6076	CCRL1|51554	350.5155
CCRL2|9034	141.776	CCRL2|9034	119.0722
CCRN4L|25819	72.4207	CCRN4L|25819	84.0206
CCS|9973	554.0761	CCS|9973	394.3299
CCT2|10576	2560.3985	CCT2|10576	1744.3299
CCT3|7203	9580.228000000001	CCT3|7203	3529.8969
CCT4|10575	4203.0846	CCT4|10575	3350.0
CCT5|22948	4775.5532	CCT5|22948	3632.4742
CCT6A|908	5429.2557	CCT6A|908	2827.8351
CCT6B|10693	101.5423	CCT6B|10693	53.6082
CCT6P1|643253	45.2151	CCT6P1|643253	35.0515
CCT7|10574	4263.6268	CCT7|10574	3770.6186
CCT8|10694	3136.3157	CCT8|10694	2621.6495
CD101|9398	18.0094	CD101|9398	19.5876
CD109|135228	545.6461	CD109|135228	2037.6289
CD14|929	1146.8531	CD14|929	6092.7835
CD151|977	10533.576000000001	CD151|977	8474.7423
CD160|11126	12.6449	CD160|11126	17.0103
CD163L1|283316	127.2153	lowly_expressed	lowly_expressed
CD163|9332	2314.3979	CD163|9332	15057.2165
CD164L2|388611	9.5795	lowly_expressed	lowly_expressed
CD164|8763	18325.1269	CD164|8763	10834.5361
CD177|57126	839.1608	lowly_expressed	lowly_expressed
CD180|4064	188.5238	CD180|4064	504.6392
CD1A|909	106.5236	lowly_expressed	lowly_expressed
CD1C|911	59.7758	CD1C|911	165.9794
CD1D|912	50.5796	CD1D|912	56.1856
CD1E|913	30.2711	CD1E|913	15.9794
CD200R1|131450	12.6449	CD200R1|131450	274.7423
CD200|4345	162.8508	CD200|4345	459.7938
CD207|50489	215.3463	CD207|50489	7.2165
CD209|30835	139.477	CD209|30835	1770.6186
CD226|10666	6.1309	CD226|10666	11.3402
CD22|933	69.7385	CD22|933	96.3918
lowly_expressed	lowly_expressed	CD244|51744	36.5979
CD247|919	31.0375	CD247|919	65.4639
CD248|57124	1147.6195	CD248|57124	11987.6289
CD24|100133941	29215.4421	CD24|100133941	831.9588
CD274|29126	22.2244	CD274|29126	23.7113
CD276|80381	2378.3887	CD276|80381	2607.2165
CD27|939	43.2838	CD27|939	29.8093
CD28|940	38.3178	CD28|940	208.2474
CD2AP|23607	2087.9395	CD2AP|23607	980.4124
CD2BP2|10421	2091.7712	CD2BP2|10421	1302.0619
CD2|914	98.0937	CD2|914	86.0825
CD300A|11314	354.4401	CD300A|11314	384.0206
CD300C|10871	78.1684	CD300C|10871	135.567
CD300LB|124599	174.3462	CD300LB|124599	56.701
CD300LF|146722	86.9815	CD300LF|146722	26.2887
CD300LG|146894	209.2154	CD300LG|146894	2786.5979
CD302|9936	972.5069	CD302|9936	3478.866
CD320|51293	567.8705	CD320|51293	562.8866
CD33|945	101.1591	CD33|945	471.134
CD34|947	1202.414	CD34|947	10604.1237
CD36|948	11681.9619	CD36|948	52415.9794
CD37|951	583.964	CD37|951	390.2062
lowly_expressed	lowly_expressed	CD38|952	68.5567
CD3D|915	22.9907	CD3D|915	15.9794
CD3EAP|10849	391.3363	CD3EAP|10849	211.6495
CD3E|916	102.6918	CD3E|916	75.2577
lowly_expressed	lowly_expressed	CD3G|917	5.6701
CD40LG|959	5.7477	CD40LG|959	22.6804
CD40|958	136.7947	CD40|958	532.4742
CD44|960	5863.0137	CD44|960	12703.0928
CD46|4179	11982.3738	CD46|4179	4738.6598
CD47|961	3372.7369	CD47|961	2732.9897
CD48|962	299.6456	CD48|962	147.4227
CD4|920	1374.4612	CD4|920	4054.6392
CD52|1043	1814.35	CD52|1043	532.4742
CD53|963	1156.0494	CD53|963	1894.3299
CD55|1604	1851.1352	CD55|1604	4070.6186
CD58|965	126.4489	CD58|965	324.2268
CD59|966	11510.2979	CD59|966	16969.0722
CD5|921	33.3365	CD5|921	29.8969
CD63|967	18522.846999999998	CD63|967	19539.1753
CD68|968	7489.6063	CD68|968	14460.8247
CD69|969	26.8225	CD69|969	111.8557
CD6|923	70.888	CD6|923	45.8763
lowly_expressed	lowly_expressed	CD70|970	126.2887
CD72|971	77.4021	CD72|971	15.9794
CD74|972	51450.5221	CD74|972	26074.2268
CD79A|973	21.458000000000002	CD79A|973	7.732
CD79B|974	33.3365	CD79B|974	101.5464
CD7|924	22.6075	CD7|924	23.7113
CD80|941	11.1122	CD80|941	17.5258
CD81|975	9953.4438	CD81|975	18878.866
CD82|3732	1015.4229	CD82|3732	653.0928
CD83|9308	424.1786	CD83|9308	458.7629
CD84|8832	144.0751	CD84|8832	518.0412
CD86|942	279.7203	CD86|942	593.299
CD8A|925	45.2151	CD8A|925	35.0515
CD8B|926	7.2804	CD8B|926	5.6701
CD93|22918	1778.3313	CD93|22918	6358.2474
CD96|10225	30.2711	CD96|10225	71.134
CD97|976	516.1414	CD97|976	2048.4536
CD99L2|83692	1054.124	CD99L2|83692	3498.9691
CD99|4267	3473.1296	CD99|4267	5246.9072
CD9|928	7709.9339	CD9|928	1876.2887
CDADC1|81602	164.3836	CDADC1|81602	241.7526
CDAN1|146059	331.8326	CDAN1|146059	222.6804
CDA|978	27.971999999999998	CDA|978	192.268
CDC123|8872	830.0067	CDC123|8872	911.8608
CDC14A|8556	445.6366	CDC14A|8556	179.8969
CDC14B|8555	184.692	CDC14B|8555	968.0412
lowly_expressed	lowly_expressed	CDC14C|168448	20.1031
CDC16|8881	1367.9471	CDC16|8881	1485.567
CDC20B|166979	1282.8815	lowly_expressed	lowly_expressed
CDC20|991	370.9168	CDC20|991	131.4433
CDC23|8697	1126.1615	CDC23|8697	678.8660000000001
CDC25A|993	70.1217	CDC25A|993	44.8454
CDC25B|994	451.3842	CDC25B|994	1071.6495
CDC25C|995	70.888	CDC25C|995	12.3711
CDC26|246184	88.8974	CDC26|246184	98.8918
CDC27|996	1397.4519	CDC27|996	1952.5773
CDC34|997	773.2541	CDC34|997	581.9588
CDC37L1|55664	616.5342	CDC37L1|55664	475.2577
CDC37|11140	3416.0359999999996	CDC37|11140	2815.4639
CDC40|51362	544.8798	CDC40|51362	676.2887
CDC42BPA|8476	776.7027	CDC42BPA|8476	2815.4639
CDC42BPB|9578	3291.1198	CDC42BPB|9578	4727.3196
CDC42BPG|55561	269.3745	lowly_expressed	lowly_expressed
CDC42EP1|11135	683.2072	CDC42EP1|11135	975.2577
CDC42EP2|10435	218.7949	CDC42EP2|10435	1170.1031
CDC42EP3|10602	270.1408	CDC42EP3|10602	647.4227
CDC42EP4|23580	1800.9388	CDC42EP4|23580	1952.5773
CDC42EP5|148170	46.3646	CDC42EP5|148170	74.7423
CDC42SE1|56882	3518.8351	CDC42SE1|56882	1705.2113
CDC42SE2|56990	1357.9845	CDC42SE2|56990	982.9897
CDC42|998	7996.1682	CDC42|998	6244.3299
CDC45|8318	24.9066	CDC45|8318	36.5979
CDC5L|988	875.1796	CDC5L|988	992.7835
CDC6|990	175.8789	CDC6|990	125.2577
CDC73|79577	1767.9854	CDC73|79577	1083.5052
CDC7|8317	52.1123	CDC7|8317	65.9794
CDCA2|157313	94.6451	CDCA2|157313	54.6392
CDCA3|83461	98.8332	CDCA3|83461	86.26799999999999
CDCA4|55038	378.5803	CDCA4|55038	155.6701
CDCA5|113130	261.3277	CDCA5|113130	118.0412
CDCA7L|55536	154.5627	CDCA7L|55536	285.0206
CDCA7|83879	33.7197	CDCA7|83879	32.9897
CDCA8|55143	263.6268	CDCA8|55143	72.6804
CDCP1|64866	1301.6572	CDCP1|64866	125.2577
CDH11|1009	2815.5954	CDH11|1009	1136.0825
CDH13|1012	319.5708	CDH13|1012	632.9897
CDH1|999	10014.3692	CDH1|999	57.732
lowly_expressed	lowly_expressed	CDH20|28316	31.9588
lowly_expressed	lowly_expressed	CDH22|64405	5.6701
CDH23|64072	151.2329	CDH23|64072	790.2062
CDH24|64403	90.8133	CDH24|64403	70.1031
CDH26|60437	5.3645	CDH26|60437	26.2887
CDH2|1000	44.0655	CDH2|1000	13.4021
CDH3|1001	545.6461	CDH3|1001	21.6495
CDH5|1003	914.2638	CDH5|1003	4851.0309
CDH6|1004	50.9627	CDH6|1004	218.0412
CDH8|1006	9.1963	lowly_expressed	lowly_expressed
CDHR1|92211	7.2804	lowly_expressed	lowly_expressed
CDHR3|222256	42.2646	CDHR3|222256	30.2165
CDHR4|389118	48.2805	lowly_expressed	lowly_expressed
CDIPT|10423	2424.3702	CDIPT|10423	2031.4433
CDK10|8558	286.2343	CDK10|8558	339.1753
CDK11A|728642	341.458	CDK11A|728642	446.866
CDK11B|984	729.1426	CDK11B|984	679.4227
CDK12|51755	1259.8908	CDK12|51755	1137.6289
CDK13|8621	1173.2925	CDK13|8621	951.5464
CDK14|5218	1058.7221	CDK14|5218	570.1031
CDK15|65061	7.2804	CDK15|65061	9.7938
CDK16|5127	1697.8638	CDK16|5127	1676.8041
CDK17|5128	652.1697	CDK17|5128	694.8454
CDK18|5129	104.9909	CDK18|5129	72.6804
CDK19|23097	477.0035	CDK19|23097	757.1289
CDK1|983	623.8145	CDK1|983	241.2371
CDK20|23552	199.636	CDK20|23552	55.6701
CDK2AP1|8099	2560.0153	CDK2AP1|8099	2610.8247
CDK2AP2|10263	870.9647	CDK2AP2|10263	613.9175
CDK2|1017	458.2814	CDK2|1017	355.1546
CDK3|1018	44.1268	CDK3|1018	89.1237
CDK4|1019	2133.1545	CDK4|1019	1680.4124
CDK5R1|8851	47.8973	CDK5R1|8851	29.8969
CDK5RAP1|51654	596.2257	CDK5RAP1|51654	311.8557
CDK5RAP2|55755	2109.7806	CDK5RAP2|55755	1276.2887
CDK5RAP3|80279	1611.2654	CDK5RAP3|80279	1139.1753
CDK5|1020	378.5803	CDK5|1020	128.866
CDK6|1021	967.1424	CDK6|1021	1331.4433
CDK7|1022	902.7685	CDK7|1022	250.5155
CDK8|1024	120.318	CDK8|1024	182.9897
CDK9|1025	983.6191	CDK9|1025	953.6082
CDKAL1|54901	209.5986	CDKAL1|54901	260.8247
CDKL1|8814	22.2244	CDKL1|8814	31.4433
CDKL2|8999	5.3645	lowly_expressed	lowly_expressed
CDKL3|51265	45.3377	CDKL3|51265	27.5619
CDKL5|6792	57.0936	CDKL5|6792	62.8866
CDKN1A|1026	1532.3307	CDKN1A|1026	1741.2371
CDKN1B|1027	2202.5098	CDKN1B|1027	1500.5155
CDKN1C|1028	264.01	CDKN1C|1028	1779.3814
CDKN2AIPNL|91368	292.3652	CDKN2AIPNL|91368	257.2165
CDKN2AIP|55602	378.5803	CDKN2AIP|55602	394.3299
CDKN2A|1029	96.561	CDKN2A|1029	60.3093
CDKN2B|1030	499.2815	CDKN2B|1030	3419.0722
CDKN2C|1031	250.9819	CDKN2C|1031	894.8454
CDKN2D|1032	130.6639	CDKN2D|1032	139.6907
CDKN3|1033	144.8415	CDKN3|1033	75.2577
CDNF|441549	11.8785	CDNF|441549	32.9897
CDO1|1036	139.8601	CDO1|1036	2010.3093
CDON|50937	210.7482	CDON|50937	1685.567
CDR1|1038	6.8512	CDR1|1038	118.0
CDR2L|30850	387.0103	CDR2L|30850	495.3608
CDR2|1039	1039.9464	CDR2|1039	470.6186
CDRT4|284040	430.0833	CDRT4|284040	226.3711
CDS1|1040	1052.2081	CDS1|1040	222.1649
CDS2|8760	1986.014	CDS2|8760	851.0309
CDSN|1041	24.5234	CDSN|1041	25.7732
CDT1|81620	153.6546	CDT1|81620	47.9381
CDV3|55573	2991.8575	CDV3|55573	5478.3505
CDYL2|124359	81.617	CDYL2|124359	28.866
CDYL|9425	506.9451	CDYL|9425	613.4021
CEACAM19|56971	46.7478	CEACAM19|56971	24.2268
CEACAM1|634	663.6651	CEACAM1|634	94.3299
CEACAM21|90273	11.4954	CEACAM21|90273	38.6598
lowly_expressed	lowly_expressed	CEACAM3|1084	45.3608
lowly_expressed	lowly_expressed	CEACAM4|1089	12.8866
CEACAM5|1048	106.9068	CEACAM5|1048	29.3814
CEACAM6|4680	1646.5179	CEACAM6|4680	17.0103
CEBPA|1050	1109.3017	CEBPA|1050	4568.5567
CEBPB|1051	522.2722	CEBPB|1051	1344.3299
CEBPD|1052	398.1224	CEBPD|1052	1318.5567
CEBPG|1054	954.1144	CEBPG|1054	1195.3608
CEBPZ|10153	911.1984	CEBPZ|10153	930.4124
CECR1|51816	1508.5736	CECR1|51816	2114.9485
CECR2|27443	24.5234	CECR2|27443	66.4948
lowly_expressed	lowly_expressed	CECR4|100130717	7.2165
CECR5|27440	403.1037	CECR5|27440	500.0
CECR6|27439	19.9253	CECR6|27439	21.134
CECR7|100130418	23.3739	CECR7|100130418	30.9278
CELF1|10658	1745.7611	CELF1|10658	1782.9897
CELF2|10659	545.263	CELF2|10659	3655.1546
lowly_expressed	lowly_expressed	CELF4|56853	17.5258
CELF5|60680	8.8131	lowly_expressed	lowly_expressed
CELF6|60677	31.9303	CELF6|60677	64.768
CELSR1|9620	3228.6617	CELSR1|9620	151.0309
CELSR2|1952	1847.3034	CELSR2|1952	111.8557
CELSR3|1951	178.9443	CELSR3|1951	26.8041
CEL|1056	15.7103	CEL|1056	8.2474
CEMP1|752014	156.5514	CEMP1|752014	160.0103
CENPA|1058	54.7945	CENPA|1058	71.134
CENPBD1|92806	233.3557	CENPBD1|92806	270.1031
CENPB|1059	2631.6697	CENPB|1059	1988.1443
CENPC1|1060	240.6361	CENPC1|1060	295.8763
CENPE|1062	100.7759	CENPE|1062	145.3608
CENPF|1063	1257.9749	CENPF|1063	439.6907
CENPH|64946	203.8509	CENPH|64946	84.5361
CENPI|2491	37.9347	CENPI|2491	23.1959
CENPJ|55835	105.3741	CENPJ|55835	127.3196
CENPK|64105	73.5703	CENPK|64105	27.3196
CENPL|91687	236.8043	CENPL|91687	81.4433
CENPM|79019	84.2993	CENPM|79019	56.1856
CENPN|55839	144.1709	CENPN|55839	212.7938
CENPO|79172	116.1299	CENPO|79172	79.3866
CENPP|401541	111.8958	CENPP|401541	38.8763
CENPQ|55166	83.5329	CENPQ|55166	117.0103
CENPT|80152	193.1219	CENPT|80152	414.43300000000005
CENPV|201161	39.0842	CENPV|201161	84.0206
CENPW|387103	123.0003	CENPW|387103	72.6804
CEP110|11064	333.3653	CEP110|11064	472.6804
CEP120|153241	477.0572	CEP120|153241	613.4021
CEP135|9662	128.3648	CEP135|9662	155.1546
CEP152|22995	44.4487	CEP152|22995	263.4021
CEP164|22897	434.1412	CEP164|22897	429.3814
lowly_expressed	lowly_expressed	CEP170L|645455	8.2474
CEP170|9859	825.7496	CEP170|9859	1469.0722
CEP192|55125	436.0571	CEP192|55125	444.3299
CEP250|11190	710.0297	CEP250|11190	607.732
CEP290|80184	238.8505	CEP290|80184	340.5876
CEP350|9857	1712.0414	CEP350|9857	1396.9072
CEP55|55165	203.8509	CEP55|55165	167.5258
CEP57|9702	607.721	CEP57|9702	806.701
CEP63|80254	685.2917	CEP63|80254	693.1031
CEP68|23177	644.5866	CEP68|23177	1709.3247
CEP70|80321	660.5997	CEP70|80321	141.7526
CEP72|55722	54.7945	CEP72|55722	26.2887
CEP76|79959	131.047	CEP76|79959	104.6392
CEP78|84131	333.7484	CEP78|84131	218.5567
CEP97|79598	207.2995	CEP97|79598	141.2371
CEPT1|10390	1424.328	CEPT1|10390	1015.4639
CERCAM|51148	1753.4247	CERCAM|51148	1723.1959
CERKL|375298	44.0387	CERKL|375298	19.2938
CERK|64781	497.3656	CERK|64781	1233.5052
CES1|1066	508.861	CES1|1066	2882.4742
CES2|8824	675.9268	CES2|8824	940.2062
CES3|23491	25.673000000000002	CES3|23491	31.9588
lowly_expressed	lowly_expressed	CES4|51716	37.1134
CES8|283848	18.0094	CES8|283848	48.9691
CETN2|1069	1792.5089	CETN2|1069	680.4124
CETN3|1070	366.7018	CETN3|1070	267.0103
lowly_expressed	lowly_expressed	CETN4P|729338	6.7010000000000005
CETP|1071	163.234	CETP|1071	2661.3402
CFB|629	34883.7551	CFB|629	3595.433
CFDP1|10428	611.5528	CFDP1|10428	848.4536
CFD|1675	1536.1625	CFD|1675	10171.6495
CFH|3075	951.049	CFH|3075	4734.5361
CFI|3426	351.7578	CFI|3426	788.1443
CFL1|1072	17087.0773	CFL1|1072	12373.1959
CFL2|1073	259.0286	CFL2|1073	1639.1753
CFLAR|8837	564.0387	CFLAR|8837	1586.5979
CFP|5199	34.1029	CFP|5199	936.5979
lowly_expressed	lowly_expressed	CFTR|1080	5.1546
CG030|116828	32.187	CG030|116828	46.3918
CGGBP1|8545	2709.0718	CGGBP1|8545	2360.8247
CGNL1|84952	829.9646	CGNL1|84952	294.8454
CGN|57530	2224.351	lowly_expressed	lowly_expressed
CGREF1|10669	503.0712	CGREF1|10669	125.76799999999999
CGRRF1|10668	322.2531	CGRRF1|10668	217.0103
CH25H|9023	37.5515	CH25H|9023	29.3814
CHAC1|79094	21.458000000000002	CHAC1|79094	8.7629
CHAC2|494143	51.7291	CHAC2|494143	43.8144
CHADL|150356	47.5141	CHADL|150356	44.4175
CHAD|1101	315.7391	CHAD|1101	9.7938
CHAF1A|10036	547.562	CHAF1A|10036	198.4536
CHAF1B|8208	263.2436	CHAF1B|8208	64.433
CHCHD10|400916	335.6643	CHCHD10|400916	568.0412
CHCHD1|118487	601.5902	CHCHD1|118487	426.8041
CHCHD2|51142	4791.6467	CHCHD2|51142	2542.7835
CHCHD3|54927	804.6748	CHCHD3|54927	943.8144
CHCHD4|131474	318.0381	CHCHD4|131474	304.6392
CHCHD5|84269	290.8325	CHCHD5|84269	182.9897
CHCHD6|84303	179.7107	CHCHD6|84303	87.6289
CHCHD7|79145	295.8138	CHCHD7|79145	369.0722
CHCHD8|51287	606.5715	CHCHD8|51287	435.56699999999995
CHD1L|9557	703.5157	CHD1L|9557	672.1649
CHD1|1105	1007.7594	CHD1|1105	825.2577
CHD2|1106	1917.0419	CHD2|1106	1975.7732
CHD3|1107	4453.3001	CHD3|1107	2625.7732
CHD4|1108	7148.0142	CHD4|1108	4793.0258
CHD6|84181	1533.0970000000002	CHD6|84181	1140.2062
CHD7|55636	420.3468	CHD7|55636	390.7216
CHD8|57680	2702.5577	CHD8|57680	1514.433
CHD9|80205	677.4595	CHD9|80205	1815.4639
CHDH|55349	895.1049	CHDH|55349	40.7216
CHEK1|1111	111.8881	CHEK1|1111	96.3918
CHEK2|11200	108.4395	CHEK2|11200	127.8351
CHERP|10523	1586.7114	CHERP|10523	661.8041
CHFR|55743	351.7578	CHFR|55743	363.9175
CHI3L1|1116	2446.5945	CHI3L1|1116	348.4536
CHI3L2|1117	1499.3773	CHI3L2|1117	547.4227
CHIC1|53344	354.8233	CHIC1|53344	326.8041
CHIC2|26511	122.2339	CHIC2|26511	184.5361
CHID1|66005	2163.4256	CHID1|66005	1167.5258
CHIT1|1118	783.6	CHIT1|1118	83.5052
CHKA|1119	533.3844	CHKA|1119	327.8351
CHKB-CPT1B|386593	94.1661	CHKB-CPT1B|386593	339.3093
CHKB|1120	123.1574	CHKB|1120	238.2165
CHL1|10752	1521.6017	CHL1|10752	1838.1443
CHML|1122	504.2629	CHML|1122	237.1134
CHMP1A|5119	1528.8821	CHMP1A|5119	1589.6907
CHMP1B|57132	1280.1993	CHMP1B|57132	1210.3093
CHMP2A|27243	3173.1009	CHMP2A|27243	1662.3711
CHMP2B|25978	1283.2647	CHMP2B|25978	991.2371
CHMP4A|29082	1826.0216	CHMP4A|29082	1289.3299
CHMP4B|128866	4344.0943	CHMP4B|128866	2511.3402
CHMP4C|92421	223.0099	CHMP4C|92421	24.2268
CHMP5|51510	1548.9913	CHMP5|51510	1278.2938
CHMP6|79643	350.9915	CHMP6|79643	351.5464
CHMP7|91782	947.2172	CHMP7|91782	1009.2784
CHM|1121	608.1042	CHM|1121	669.0722
CHN1|1123	123.7666	CHN1|1123	126.8041
CHN2|1124	88.5142	CHN2|1124	211.3402
CHODL|140578	7.2804	CHODL|140578	39.6907
CHORDC1|26973	503.4965	CHORDC1|26973	347.4227
CHPF2|54480	2872.3058	CHPF2|54480	785.0515
CHPF|79586	2361.5289	CHPF|79586	696.3918
CHPT1|56994	3061.9791	CHPT1|56994	1324.0773
CHP|11261	3550.5317	CHP|11261	4188.1443
CHRAC1|54108	470.5432	CHRAC1|54108	505.1546
CHRDL1|91851	492.3843	CHRDL1|91851	11583.5052
CHRD|8646	154.8041	CHRD|8646	242.7835
CHRFAM7A|89832	15.3271	CHRFAM7A|89832	28.866
CHRM1|1128	22.9907	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CHRM3|1131	7.732
CHRNA10|57053	9.9626	CHRNA10|57053	7.2165
CHRNA1|1134	6.8972	lowly_expressed	lowly_expressed
CHRNA2|1135	6.1309	lowly_expressed	lowly_expressed
CHRNA3|1136	6.513999999999999	lowly_expressed	lowly_expressed
CHRNA5|1138	10.729000000000001	lowly_expressed	lowly_expressed
CHRNA6|8973	6.513999999999999	lowly_expressed	lowly_expressed
CHRNB1|1140	156.72	CHRNB1|1140	188.6598
CHRNB2|1141	10.729000000000001	lowly_expressed	lowly_expressed
CHRNE|1145	12.870999999999999	CHRNE|1145	15.6082
CHST10|9486	413.8327	CHST10|9486	178.86599999999999
CHST11|50515	100.3928	CHST11|50515	51.5464
CHST12|55501	320.3372	CHST12|55501	395.8763
CHST13|166012	32.9533	CHST13|166012	100.0
CHST14|113189	540.6648	CHST14|113189	514.433
CHST15|51363	1673.3404	CHST15|51363	1341.7526
CHST1|8534	86.9815	CHST1|8534	62.3711
CHST2|9435	71.6544	CHST2|9435	267.5258
CHST3|9469	387.7766	CHST3|9469	1020.1031
CHST6|4166	17.6262	CHST6|4166	11.8557
