gene_id	TCGA-BH-A1FE-06A-11R-A213-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
ACAD9|28976	778.9104	ACAD9|28976	592.0363
ACADL|33	23.5501	ACADL|33	127.1394
ACADM|34	1316.696	ACADM|34	1660.8453
ACADSB|36	1160.9842	ACADSB|36	2928.0475
ACADS|35	514.2355	ACADS|35	172.8956
ACADVL|37	6477.6063	ACADVL|37	3290.2515
ACAN|176	669.9473	ACAN|176	5.5885
ACAP1|9744	18.2777	ACAP1|9744	75.4453
ACAP2|23527	1289.9824	ACAP2|23527	2525.6724
ACAP3|116983	444.71	ACAP3|116983	212.3961
ACAT1|38	1415.8172	ACAT1|38	1201.5368
ACAT2|39	1555.3638	ACAT2|39	276.109
ACBD3|64746	1383.8313	ACBD3|64746	2020.6078
ACBD4|79777	167.6626	ACBD4|79777	153.3357
ACBD5|91452	782.0738	ACBD5|91452	853.9993
ACBD6|84320	538.1371	ACBD6|84320	259.8673
ACBD7|414149	20.7381	ACBD7|414149	292.0014
ACCN2|41	95.2548	ACCN2|41	279.0779
lowly_expressed	lowly_expressed	ACCN3|9311	11.8757
ACCS|84680	282.6011	ACCS|84680	406.2173
ACD|65057	325.1318	ACD|65057	290.255
ACE2|59272	1884.71	ACE2|59272	44.7083
ACER2|340485	79.4376	ACER2|340485	217.2546
ACER3|55331	378.2074	ACER3|55331	615.0891
ACE|1636	310.7206	ACE|1636	225.2882
ACHE|43	22.8471	ACHE|43	8.3828
ACIN1|22985	2443.5852	ACIN1|22985	3214.1111
ACLY|47	6676.9772	ACLY|47	1946.5596
ACN9|57001	160.9842	ACN9|57001	201.1876
ACO1|48	5293.4974	ACO1|48	1251.8337
ACO2|50	5147.0791	ACO2|50	982.7838
ACOT11|26027	136.0281	ACOT11|26027	18.5121
ACOT13|55856	475.7469	ACOT13|55856	493.8142
ACOT1|641371	746.9244	ACOT1|641371	305.9728
ACOT2|10965	419.6837	ACOT2|10965	209.2211
ACOT4|122970	69.9473	ACOT4|122970	59.029
ACOT7|11332	483.6555	ACOT7|11332	78.2396
ACOT8|10005	485.4306	ACOT8|10005	175.3231
ACOT9|23597	584.5343	ACOT9|23597	329.3748
ACOX1|51	1337.2197	ACOX1|51	1822.5637
ACOX2|8309	369.7715	ACOX2|8309	208.8718
ACOX3|8310	364.1476	ACOX3|8310	549.0744
ACP1|52	1099.8243	ACP1|52	1939.9232
ACP2|53	1166.9596	ACP2|53	461.0548
ACP5|54	588.0492	ACP5|54	298.6378
ACP6|51205	312.478	ACP6|51205	330.7719
ACPL2|92370	450.2636	ACPL2|92370	557.4572
ACPP|55	202.812	ACPP|55	33.5313
ACRBP|84519	29.174	ACRBP|84519	16.4163
ACRC|93953	10.1933	ACRC|93953	31.4356
ACR|49	5.6239	ACR|49	5.2393
ACSBG1|23205	18.6292	ACSBG1|23205	19.2106
ACSF2|80221	786.6432	ACSF2|80221	387.3559
ACSF3|197322	772.5835	ACSF3|197322	175.3406
ACSL1|2180	1686.819	ACSL1|2180	2853.3007
ACSL3|2181	1690.6854	ACSL3|2181	5193.8526
ACSL4|2182	11506.1511	ACSL4|2182	1926.9997
ACSL5|51703	540.949	ACSL5|51703	1076.8425
lowly_expressed	lowly_expressed	ACSL6|23305	13.2728
ACSM1|116285	99.4728	ACSM1|116285	38.072
ACSM3|6296	647.6309	ACSM3|6296	186.357
ACSM5|54988	33.3919	ACSM5|54988	114.2159
ACSS1|84532	1951.4938	ACSS1|84532	736.2906
ACSS2|55902	1487.1705	ACSS2|55902	1289.2071
ACSS3|79611	1010.1933	ACSS3|79611	393.643
ACTA2|59	47332.362	ACTA2|59	31733.926
lowly_expressed	lowly_expressed	ACTBL2|345651	9.78
ACTB|60	108408.0844	ACTB|60	76003.1436
ACTC1|70	10.8963	lowly_expressed	lowly_expressed
ACTG1|71	83035.5009	ACTG1|71	52422.6336
ACTG2|72	9978.2074	ACTG2|72	3788.6832
ACTL6A|86	576.0984	ACTL6A|86	1016.0671
ACTN1|87	7392.2671	ACTN1|87	5269.6472
ACTN2|88	99.4728	lowly_expressed	lowly_expressed
ACTN3|89	5.2724	lowly_expressed	lowly_expressed
ACTN4|81	13810.3163	ACTN4|81	5223.147
ACTR10|55860	1112.8295	ACTR10|55860	1463.4998
ACTR1A|10121	3039.7188	ACTR1A|10121	1371.6381
ACTR1B|10120	1577.1529	ACTR1B|10120	615.4384
ACTR2|10097	6271.3533	ACTR2|10097	6184.0727
ACTR3B|57180	109.6661	ACTR3B|57180	361.5089
ACTR3C|653857	12.6538	ACTR3C|653857	53.7897
ACTR3|10096	5737.7856	ACTR3|10096	3969.263
ACTR5|79913	127.5923	ACTR5|79913	198.3933
ACTR6|64431	344.464	ACTR6|64431	1104.4359
ACTR8|93973	438.3128	ACTR8|93973	567.2372
ACVR1B|91	956.7663	ACVR1B|91	1158.5749
ACVR1C|130399	5.6239	ACVR1C|130399	1256.7237
ACVR1|90	1036.9069	ACVR1|90	1482.3612
ACVR2A|92	177.5044	ACVR2A|92	1315.7527
