gene_id	TCGA-BH-A1FE-06A-11R-A213-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
C5orf34|375444	23.1986	C5orf34|375444	69.8568
C5orf35|133383	114.2355	C5orf35|133383	227.3839
C5orf36|285600	110.3691	C5orf36|285600	173.9434
lowly_expressed	lowly_expressed	C5orf38|153571	22.3542
C5orf39|389289	17.2232	C5orf39|389289	52.7419
C5orf41|153222	401.7575	C5orf41|153222	1416.6958
C5orf42|65250	518.1019	C5orf42|65250	1170.1013
C5orf43|643155	907.2056	C5orf43|643155	1508.2082
C5orf44|80006	402.2496	C5orf44|80006	676.4303
C5orf45|51149	160.8295	C5orf45|51149	219.4237
lowly_expressed	lowly_expressed	C5orf46|389336	21.3063
C5orf49|134121	15.4657	C5orf49|134121	17.1149
C5orf4|10826	637.9613	C5orf4|10826	2282.2214
C5orf51|285636	691.0369	C5orf51|285636	1566.1893
C5orf53|492311	196.8366	C5orf53|492311	459.6577
C5orf54|63920	49.2091	C5orf54|63920	159.2735
C5orf55|116349	58.6995	C5orf55|116349	35.2777
C5orf56|441108	45.0967	C5orf56|441108	120.9046
lowly_expressed	lowly_expressed	C5orf58|133874	6.6364
C5orf62|85027	466.7838	C5orf62|85027	545.5816
C5|727	128.2953	C5|727	360.1118
lowly_expressed	lowly_expressed	C6orf105|84830	71.9525
C6orf106|64771	2551.1424	C6orf106|64771	2376.1788
C6orf108|10591	315.29	C6orf108|10591	71.2539
C6orf114|85411	12.6538	C6orf114|85411	11.8757
C6orf115|58527	362.0387	C6orf115|58527	425.7772
C6orf120|387263	873.877	C6orf120|387263	1527.7401
C6orf122|401288	6.6362	C6orf122|401288	10.2724
C6orf123|26238	9.4903	C6orf123|26238	27.5934
lowly_expressed	lowly_expressed	C6orf124|653483	62.5218
C6orf125|84300	582.8225	C6orf125|84300	348.4212
C6orf129|154467	188.4007	C6orf129|154467	59.028999999999996
C6orf130|221443	177.1529	C6orf130|221443	524.5861
C6orf132|647024	102.2847	C6orf132|647024	56.9333
C6orf134|79969	159.9297	C6orf134|79969	314.7049
C6orf136|221545	124.4288	C6orf136|221545	176.0391
C6orf138|442213	29.877	C6orf138|442213	27.5934
C6orf141|135398	9.4903	C6orf141|135398	44.7083
C6orf145|221749	1873.8137	C6orf145|221749	688.4387
lowly_expressed	lowly_expressed	C6orf147|387097	13.168
C6orf150|115004	44.9912	C6orf150|115004	91.5124
C6orf153|88745	734.9736	C6orf153|88745	407.2651
C6orf154|221424	45.6942	C6orf154|221424	9.4307
C6orf155|79940	15.8172	C6orf155|79940	212.0154
lowly_expressed	lowly_expressed	C6orf15|29113	5.9378
C6orf162|57150	71.1037	C6orf162|57150	230.73
lowly_expressed	lowly_expressed	C6orf163|206412	21.3063
C6orf164|63914	5.1705	C6orf164|63914	12.3716
C6orf165|154313	6.5518	C6orf165|154313	41.6207
C6orf167|253714	139.5431	C6orf167|253714	608.4527
C6orf168|84553	24.2531	C6orf168|84553	310.5134
C6orf170|221322	98.7698	C6orf170|221322	273.1401
C6orf174|387104	144.9139	C6orf174|387104	150.9081
C6orf176|90632	1007.1424	C6orf176|90632	6.2068
C6orf182|285753	133.2162	C6orf182|285753	153.3357
C6orf186|728464	38.6643	C6orf186|728464	11.5264
C6orf192|116843	402.4605	C6orf192|116843	784.4918
lowly_expressed	lowly_expressed	C6orf195|154386	9.0814
C6orf1|221491	235.5009	C6orf1|221491	121.2015
lowly_expressed	lowly_expressed	C6orf201|404220	23.7688
C6orf203|51250	167.6626	C6orf203|51250	196.2976
C6orf204|387119	162.3902	C6orf204|387119	179.8812
C6orf211|79624	459.051	C6orf211|79624	1376.8774
C6orf217|100131814	8.0844	C6orf217|100131814	13.9714
C6orf223|221416	9.4903	lowly_expressed	lowly_expressed
C6orf225|619208	300.5272	C6orf225|619208	215.5082
C6orf226|441150	71.3533	C6orf226|441150	22.7035
C6orf26|401251	10.587	C6orf26|401251	32.5498
C6orf27|80737	20.0351	C6orf27|80737	23.7513
C6orf35|729515	413.7083	C6orf35|729515	457.56199999999995
lowly_expressed	lowly_expressed	C6orf41|100133205	10.4785
C6orf47|57827	536.0281	C6orf47|57827	190.3598
C6orf48|50854	2167.3111	C6orf48|50854	1583.6535
lowly_expressed	lowly_expressed	C6orf52|347744	11.8757
C6orf57|135154	99.8243	C6orf57|135154	140.0629
C6orf59|79992	13.3568	C6orf59|79992	7.335
C6orf62|81688	2856.0633	C6orf62|81688	4001.1212
C6orf64|55776	275.2197	C6orf64|55776	915.8226
C6orf70|55780	275.9227	C6orf70|55780	507.5096
C6orf72|116254	1169.7715	C6orf72|116254	1128.8858
C6orf81|221481	7.7329	lowly_expressed	lowly_expressed
C6orf89|221477	3755.7118	C6orf89|221477	3425.7772
C6orf97|80129	308.6116	C6orf97|80129	444.6385
C6|729	84.3585	C6|729	241.0059
C7orf10|79783	74.5167	C7orf10|79783	43.3112
C7orf11|136647	282.2496	C7orf11|136647	320.6427
C7orf13|129790	44.6397	C7orf13|129790	111.4216
C7orf23|79161	225.5395	C7orf23|79161	412.9165
C7orf25|79020	332.4499	C7orf25|79020	328.0231
C7orf26|79034	573.2865	C7orf26|79034	531.6102
C7orf27|221927	985.2373	C7orf27|221927	307.3699
C7orf28A|51622	1042.8822	C7orf28A|51622	821.1666
C7orf28B|221960	251.3181	C7orf28B|221960	721.2714
C7orf29|113763	82.9525	C7orf29|113763	102.6895
C7orf30|115416	390.8612	C7orf30|115416	269.9965
C7orf31|136895	118.1019	C7orf31|136895	176.0391
C7orf36|57002	129.7012	C7orf36|57002	274.1879
C7orf40|285958	268.8928	C7orf40|285958	384.9109
C7orf41|222166	807.7329	C7orf41|222166	3382.8152
C7orf42|55069	3061.8629	C7orf42|55069	3816.6259
C7orf43|55262	369.42	C7orf43|55262	136.2207
C7orf44|55744	524.0773	C7orf44|55744	812.7838
C7orf46|340277	33.7434	C7orf46|340277	178.1348
C7orf47|221908	88.5764	C7orf47|221908	60.7754
C7orf49|78996	401.42	C7orf49|78996	397.4223
C7orf50|84310	1125.1318	C7orf50|84310	197.6947
C7orf51|222950	45.6942	C7orf51|222950	7.6842
C7orf53|286006	13.0053	C7orf53|286006	24.1006
C7orf55|154791	198.59400000000002	C7orf55|154791	155.0821
C7orf58|79974	1334.6221	C7orf58|79974	1111.7709
C7orf59|389541	944.8155	C7orf59|389541	213.7618
C7orf60|154743	345.8699	C7orf60|154743	653.8596
C7orf63|79846	56.942	C7orf63|79846	258.8194
C7orf64|84060	122.3199	C7orf64|84060	431.715
C7orf68|29923	113.884	C7orf68|29923	169.4027
C7orf70|84792	258.348	C7orf70|84792	448.1313
C7|730	55976.8014	C7|730	398.1837
C8orf30A|51236	464.3234	C8orf30A|51236	285.365
C8orf31|286122	17.5747	C8orf31|286122	5.5885
C8orf33|65265	2275.9227	C8orf33|65265	1064.9668
lowly_expressed	lowly_expressed	C8orf34|116328	16.0671
C8orf37|157657	81.8981	C8orf37|157657	147.0486
C8orf38|137682	123.7258	C8orf38|137682	192.8048
lowly_expressed	lowly_expressed	C8orf39|55472	7.335
C8orf40|114926	442.1793	C8orf40|114926	750.9605
C8orf41|80185	163.9227	C8orf41|80185	287.2441
C8orf42|157695	292.7944	C8orf42|157695	854.6979
C8orf44|56260	16.7592	C8orf44|56260	64.8655
C8orf45|157777	21.4411	C8orf45|157777	70.9046
C8orf46|254778	8.7873	C8orf46|254778	16.7656
C8orf47|203111	26.362	C8orf47|203111	18.8613
C8orf48|157773	25.6591	C8orf48|157773	29.6891
C8orf4|56892	511.775	C8orf4|56892	1530.5623
C8orf51|78998	12.3023	C8orf51|78998	40.8662
C8orf55|51337	349.0334	C8orf55|51337	372.3367
C8orf58|541565	180.6678	C8orf58|541565	254.9773
C8orf59|401466	387.2337	C8orf59|401466	658.3165
C8orf73|642475	63.9719	C8orf73|642475	35.9762
C8orf76|84933	255.53599999999997	C8orf76|84933	263.0108
C8orf77|286103	5.6239	C8orf77|286103	5.2393
C8orf79|57604	21.0896	C8orf79|57604	575.9693
C8orf80|389643	23.5501	C8orf80|389643	38.4212
C8orf83|286144	596.8366	C8orf83|286144	910.5833
C8orf84|157869	581.3708	C8orf84|157869	315.0541
C8orf85|441376	16.1687	C8orf85|441376	287.1114
C9orf100|84904	28.3374	C9orf100|84904	60.4995
C9orf102|375748	218.1125	C9orf102|375748	363.6011
C9orf103|414328	62.5659	C9orf103|414328	83.1296
C9orf109|286333	11.5993	C9orf109|286333	11.1771
C9orf110|100128385	61.5114	C9orf110|100128385	62.8711
C9orf114|51490	346.6678	C9orf114|51490	235.2777
C9orf116|138162	66.0808	C9orf116|138162	26.5456
C9orf117|286207	7.7329	C9orf117|286207	8.3828
C9orf119|375757	291.3884	C9orf119|375757	135.8715
C9orf122|158228	10.1933	C9orf122|158228	44.0098
C9orf123|90871	696.3093	C9orf123|90871	640.2375
C9orf125|84302	168.0141	C9orf125|84302	73.0003
C9orf129|445577	147.9789	C9orf129|445577	77.7716
C9orf130|100128782	101.5325	C9orf130|100128782	172.3123
C9orf131|138724	5.2724	lowly_expressed	lowly_expressed
C9orf140|89958	41.8278	C9orf140|89958	90.1153
C9orf142|286257	227.768	C9orf142|286257	61.8233
C9orf150|286343	346.9244	C9orf150|286343	434.5093
lowly_expressed	lowly_expressed	C9orf152|401546	413.9015
C9orf156|51531	162.7417	C9orf156|51531	333.5662
lowly_expressed	lowly_expressed	C9orf163|158055	6.9857
C9orf167|54863	242.1793	C9orf167|54863	23.401999999999997
C9orf169|375791	5.0158	lowly_expressed	lowly_expressed
C9orf16|79095	2353.9543	C9orf16|79095	216.5561
lowly_expressed	lowly_expressed	C9orf170|401535	5.2393
C9orf172|389813	32.6889	lowly_expressed	lowly_expressed
C9orf21|195827	318.1019	C9orf21|195827	332.8676
C9orf23|138716	225.6591	C9orf23|138716	240.6567
C9orf24|84688	5.6239	lowly_expressed	lowly_expressed
C9orf25|203259	673.4622	C9orf25|203259	254.2787
C9orf30|91283	350.1336	C9orf30|91283	176.088
C9orf37|85026	117.3989	C9orf37|85026	60.0768
C9orf3|84909	690.5237	C9orf3|84909	470.4191
C9orf40|55071	74.8682	C9orf40|55071	161.3692
C9orf41|138199	202.812	C9orf41|138199	404.4708
C9orf43|257169	6.6784	C9orf43|257169	18.5121
C9orf45|81571	48.1547	C9orf45|81571	151.24
C9orf46|55848	544.1125	C9orf46|55848	292.7
C9orf47|286223	13.0545	C9orf47|286223	13.6221
C9orf4|23732	45.6942	lowly_expressed	lowly_expressed
C9orf5|23731	4897.0123	C9orf5|23731	4082.4309999999996
C9orf64|84267	319.1564	C9orf64|84267	274.8865
C9orf66|157983	7.7329	lowly_expressed	lowly_expressed
C9orf68|55064	18.2777	C9orf68|55064	178.4841
C9orf69|90120	568.717	C9orf69|90120	210.6182
C9orf6|54942	200.703	C9orf6|54942	626.6154
C9orf72|203228	430.2285	C9orf72|203228	656.6539
C9orf78|51759	1000.3515	C9orf78|51759	820.8173
C9orf7|11094	532.5132	C9orf7|11094	141.1107
C9orf80|58493	112.1265	C9orf80|58493	419.8393
C9orf82|79886	333.2162	C9orf82|79886	579.4621
C9orf84|158401	8.7873	lowly_expressed	lowly_expressed
C9orf85|138241	118.8049	C9orf85|138241	268.9487
C9orf86|55684	2670.2988	C9orf86|55684	411.1072
C9orf89|84270	341.3005	C9orf89|84270	88.7181
C9orf91|203197	427.76800000000003	C9orf91|203197	590.6392
C9orf93|203238	59.4025	C9orf93|203238	178.8334
C9orf95|54981	279.0861	C9orf95|54981	490.744
C9orf96|169436	8.0844	C9orf96|169436	19.5599
C9orf98|158067	9.4903	C9orf98|158067	10.4785
C9orf9|11092	139.1916	C9orf9|11092	153.3357
CA11|770	461.5114	CA11|770	204.3311
CA12|771	35.1494	CA12|771	1951.7988
CA13|377677	134.2707	CA13|377677	244.4499
CA14|23632	6.6784	CA14|23632	6.9857
CA2|760	132.8647	CA2|760	366.0496
CA3|761	56.942	CA3|761	557.5061
CA4|762	65.7293	CA4|762	104.4359
CA5BP|340591	248.8576	CA5BP|340591	256.3744
CA5B|11238	447.884	CA5B|11238	505.4034
lowly_expressed	lowly_expressed	CA6|765	96.7517
CA8|767	43.2337	CA8|767	281.5229
CA9|768	6.8506	lowly_expressed	lowly_expressed
CAB39L|81617	687.8735	CAB39L|81617	1775.7597
CAB39|51719	1489.6309	CAB39|51719	2863.0807
CABC1|56997	510.1511	CABC1|56997	1342.4939
CABIN1|23523	1571.1775	CABIN1|23523	935.0332
CABLES1|91768	411.5993	CABLES1|91768	953.8945
CABLES2|81928	189.8067	CABLES2|81928	245.8959
lowly_expressed	lowly_expressed	CABP4|57010	8.0335
CABYR|26256	74.5167	CABYR|26256	235.0681
CACHD1|57685	898.4183	CACHD1|57685	1622.424
CACNA1A|773	11.9508	CACNA1A|773	15.3685
CACNA1C|775	284.71	CACNA1C|775	822.2145
CACNA1D|776	106.1511	CACNA1D|776	97.1009
lowly_expressed	lowly_expressed	CACNA1F|778	6.9857
CACNA1G|8913	228.1195	CACNA1G|8913	25.846999999999998
CACNA1H|8912	2101.5536	CACNA1H|8912	20.2585
lowly_expressed	lowly_expressed	CACNA1I|8911	7.335
CACNA2D1|781	1602.109	CACNA2D1|781	303.8771
CACNA2D2|9254	51.6696	CACNA2D2|9254	96.7517
CACNA2D3|55799	63.9719	CACNA2D3|55799	14.6699
CACNA2D4|93589	44.6397	CACNA2D4|93589	47.1533
CACNB1|782	62.9174	CACNB1|782	73.3496
CACNB2|783	87.8735	CACNB2|783	61.474
CACNB3|784	675.9227	CACNB3|784	194.2019
CACNB4|785	56.239	CACNB4|785	435.9064
CACNG4|27092	5.9754	CACNG4|27092	113.5173
CACYBP|27101	710.0176	CACYBP|27101	1168.0056
CADM1|23705	855.1845	CADM1|23705	1665.0367
lowly_expressed	lowly_expressed	CADM2|253559	25.1484
CADM3|57863	14.5308	CADM3|57863	111.5159
CADM4|199731	683.6555	CADM4|199731	179.532
CADPS2|93664	1401.0545	CADPS2|93664	1224.2403
CADPS|8618	5.9754	lowly_expressed	lowly_expressed
CAD|790	1320.9139	CAD|790	1052.0433
CALB1|793	9.4903	lowly_expressed	lowly_expressed
CALB2|794	1049.9121	CALB2|794	144.6036
CALCOCO1|57658	1557.1178	CALCOCO1|57658	2382.4659
CALCOCO2|10241	1964.4991	CALCOCO2|10241	2880.8942
CALCRL|10203	1431.6344	CALCRL|10203	857.1429
lowly_expressed	lowly_expressed	CALCR|799	6.6364
CALD1|800	20052.0211	CALD1|800	9040.1677
CALHM2|51063	800.0	CALHM2|51063	408.31300000000005
CALM1|801	8087.1705	CALM1|801	6792.5253
CALM2|805	9161.3357	CALM2|805	9254.628
CALM3|808	7790.1582	CALM3|808	2450.2270000000003
lowly_expressed	lowly_expressed	CALML3|810	135.8715
CALML4|91860	143.058	CALML4|91860	419.8393
lowly_expressed	lowly_expressed	CALML5|51806	40.1677
lowly_expressed	lowly_expressed	CALN1|83698	67.0625
CALR|811	21946.9244	CALR|811	5347.5375
CALU|813	7207.0299	CALU|813	3283.6186
CAMK1D|57118	147.2759	CAMK1D|57118	54.138999999999996
CAMK1G|57172	132.5132	lowly_expressed	lowly_expressed
CAMK1|8536	561.9754	CAMK1|8536	172.7733
CAMK2B|816	28.8225	CAMK2B|816	95.7038
CAMK2D|817	973.2865	CAMK2D|817	1923.5068
CAMK2G|818	573.9895	CAMK2G|818	679.3573
CAMK2N1|55450	1182.4253	CAMK2N1|55450	976.2487
CAMK2N2|94032	13.0053	lowly_expressed	lowly_expressed
CAMK4|814	14.7627	CAMK4|814	22.3542
CAMKK1|84254	157.4692	CAMKK1|84254	165.5606
CAMKK2|10645	1731.4587	CAMKK2|10645	1487.9497
CAMLG|819	928.9982	CAMLG|819	1259.1687
CAMSAP1L1|23271	2625.3076	CAMSAP1L1|23271	2550.8208
CAMSAP1|157922	974.6924	CAMSAP1|157922	1127.1394
CAMTA1|23261	610.1933	CAMTA1|23261	741.5299
CAMTA2|23125	1237.9613	CAMTA2|23125	853.65
CAND1|55832	3198.9455	CAND1|55832	4972.4066
CAND2|23066	299.1213	CAND2|23066	63.919
CANT1|124583	1587.3462	CANT1|124583	1383.5138
CANX|821	14257.645	CANX|821	21915.8226
CAP1|10487	6784.1828	CAP1|10487	5484.8061
CAP2|10486	534.6221	CAP2|10486	514.4953
CAPG|822	340.949	CAPG|822	472.2319
CAPN10|11132	338.5026	CAPN10|11132	63.7408
lowly_expressed	lowly_expressed	CAPN11|11131	103.7373
CAPN12|147968	46.6257	CAPN12|147968	90.1607
lowly_expressed	lowly_expressed	CAPN13|92291	135.1729
lowly_expressed	lowly_expressed	CAPN14|440854	6.2871
CAPN1|823	3095.2548	CAPN1|823	1698.2187
CAPN2|824	10225.3076	CAPN2|824	3849.8079
CAPN3|825	64.2285	CAPN3|825	322.0258
CAPN5|726	1392.6186	CAPN5|726	261.96299999999997
CAPN6|827	280.8436	CAPN6|827	1120.1537
CAPN7|23473	753.6028	CAPN7|23473	1940.6217
lowly_expressed	lowly_expressed	CAPN8|388743	35.9762
lowly_expressed	lowly_expressed	CAPN9|10753	11.1771
CAPNS1|826	6094.9033	CAPNS1|826	4128.5365
CAPRIN1|4076	5104.3937	CAPRIN1|4076	8969.9616
CAPRIN2|65981	411.9508	CAPRIN2|65981	493.8875
CAPS2|84698	41.4763	CAPS2|84698	130.2829
CAPS|828	65.3779	CAPS|828	22.7035
CAPZA1|829	3085.0615	CAPZA1|829	2756.5491
CAPZA2|830	2769.42	CAPZA2|830	3025.4977
lowly_expressed	lowly_expressed	CAPZA3|93661	24.7992
CAPZB|832	5181.3708	CAPZB|832	2382.8152
CARD10|29775	345.5185	CARD10|29775	292.9969
CARD11|84433	204.9209	CARD11|84433	71.9525
CARD14|79092	21.7926	CARD14|79092	77.8903
CARD16|114769	163.4446	CARD16|114769	157.1778
CARD6|84674	318.4534	CARD6|84674	456.8634
CARD8|22900	695.9578	CARD8|22900	1133.7758
CARD9|64170	12.3023	CARD9|64170	23.401999999999997
CARHSP1|23589	1199.5993	CARHSP1|23589	633.2903
CARKD|55739	1521.6169	CARKD|55739	782.3961
CARM1|10498	1061.1599	CARM1|10498	627.6633
CARNS1|57571	17.2232	CARNS1|57571	23.0527
CARS2|79587	1323.6239	CARS2|79587	445.8645
CARS|833	699.4657	CARS|833	461.7534
lowly_expressed	lowly_expressed	CASC1|55259	82.0817
CASC2|255082	40.7733	CASC2|255082	82.0817
CASC3|22794	1685.4129999999998	CASC3|22794	3253.5802
CASC4|113201	2984.5343	CASC4|113201	3603.2134
CASC5|57082	109.3146	CASC5|57082	57.6319
CASD1|64921	609.1388	CASD1|64921	1412.5044
CASKIN1|57524	6.122999999999999	CASKIN1|57524	13.4998
CASKIN2|57513	1302.5062	CASKIN2|57513	438.3409
CASK|8573	2177.1529	CASK|8573	1976.9473
CASP10|843	394.0246	CASP10|843	359.7625
lowly_expressed	lowly_expressed	CASP12|120329	10.8278
CASP1|834	167.6626	CASP1|834	875.6549
CASP2|835	510.0176	CASP2|835	1560.9501
CASP3|836	731.8102	CASP3|836	791.8268
CASP4|837	1005.6239	CASP4|837	1022.0049
CASP6|839	321.9684	CASP6|839	363.6046
CASP7|840	398.2425	CASP7|840	766.329
CASP8AP2|9994	241.1248	CASP8AP2|9994	1275.5851
CASP8|841	273.8137	CASP8|841	739.4342
CASP9|842	648.1547	CASP9|842	310.8627
CASQ2|845	23.5501	CASQ2|845	60.0768
CASR|846	13.3568	lowly_expressed	lowly_expressed
CASS4|57091	107.9086	CASS4|57091	34.2298
CAST|831	3676.2496	CAST|831	5811.0094
CASZ1|54897	183.8313	CASZ1|54897	737.3385
CATSPER2P1|440278	23.9016	CATSPER2P1|440278	29.1408
CATSPER2|117155	16.8717	CATSPER2|117155	90.0803
lowly_expressed	lowly_expressed	CATSPER3|347732	5.5885
lowly_expressed	lowly_expressed	CATSPERB|79820	77.8903
lowly_expressed	lowly_expressed	CATSPERG|57828	22.0049
CAT|847	3000.703	CAT|847	5236.116
CAV1|857	10672.4077	CAV1|857	10520.7824
CAV2|858	3062.2144	CAV2|858	3214.1111
CBARA1|10367	1726.1863	CBARA1|10367	1140.4122
CBFA2T2|9139	555.3603	CBFA2T2|9139	1174.642
CBFA2T3|863	31.9859	CBFA2T3|863	167.6563
CBFB|865	935.3251	CBFB|865	1484.4569
CBLB|868	695.2548	CBLB|868	755.5012
lowly_expressed	lowly_expressed	CBLC|23624	99.5459
CBLL1|79872	466.0808	CBLL1|79872	1115.613
CBLN1|869	169.7715	lowly_expressed	lowly_expressed
CBLN3|643866	92.0914	CBLN3|643866	60.7754
CBLN4|140689	99.8243	CBLN4|140689	8.3828
CBL|867	1053.7786	CBL|867	2034.2298
CBR1|873	846.8506	CBR1|873	400.6287
CBR3|874	73.1107	CBR3|874	132.3786
CBR4|84869	290.6854	CBR4|84869	910.9326
CBS|875	736.0281	CBS|875	37.7227
CBWD1|55871	437.2583	CBWD1|55871	509.256
CBWD2|150472	376.4499	CBWD2|150472	494.2368
CBWD3|445571	175.3954	CBWD3|445571	619.6298
CBWD6|644019	247.8032	CBWD6|644019	68.8089
CBX1|10951	1399.297	CBX1|10951	1405.5187
CBX2|84733	50.6151	CBX2|84733	31.0863
CBX3|11335	2190.1582	CBX3|11335	3487.9497
CBX4|8535	371.8805	CBX4|8535	288.1593
CBX5|23468	2924.4288	CBX5|23468	5325.1834
CBX6|23466	1226.0105	CBX6|23466	433.1121
CBX7|23492	893.1459	CBX7|23492	1181.9769
CBX8|57332	58.6995	CBX8|57332	26.1963
CBY1|25776	477.2583	CBY1|25776	395.9658
CC2D1A|54862	591.9156	CC2D1A|54862	442.5428
CC2D1B|200014	509.6661	CC2D1B|200014	522.5288
CC2D2A|57545	544.1125	CC2D2A|57545	750.9605
CC2D2B|387707	5.2724	CC2D2B|387707	11.1771
CCAR1|55749	1173.9895	CCAR1|55749	1794.9703
CCBE1|147372	1230.2285	CCBE1|147372	40.8662
CCBL1|883	153.6028	CCBL1|883	95.3545
CCBL2|56267	896.123	CCBL2|56267	910.1991
CCBP2|1238	87.522	CCBP2|1238	101.2924
CCDC101|112869	193.6731	CCDC101|112869	255.3266
CCDC102A|92922	167.6626	CCDC102A|92922	78.2396
CCDC102B|79839	221.7926	CCDC102B|79839	84.1774
CCDC103|388389	100.1757	CCDC103|388389	67.7611
CCDC104|112942	731.8102	CCDC104|112942	855.3964
CCDC106|29903	297.3638	CCDC106|29903	70.9046
CCDC107|203260	351.8067	CCDC107|203260	78.8648
CCDC109A|90550	488.5764	CCDC109A|90550	506.1125
CCDC109B|55013	199.6485	CCDC109B|55013	213.0632
CCDC110|256309	43.2337	CCDC110|256309	191.7569
CCDC111|201973	224.2285	CCDC111|201973	512.913
CCDC112|153733	54.1301	CCDC112|153733	279.7765
CCDC113|29070	219.6837	CCDC113|29070	325.5327
CCDC114|93233	12.6538	CCDC114|93233	12.9235
CCDC115|84317	712.4780000000001	CCDC115|84317	812.0852
lowly_expressed	lowly_expressed	CCDC116|164592	6.9857
CCDC117|150275	480.4921	CCDC117|150275	1158.2256
CCDC11|220136	9.4903	CCDC11|220136	19.5599
CCDC120|90060	137.4341	CCDC120|90060	387.7052
CCDC121|79635	35.1494	CCDC121|79635	189.6612
CCDC122|160857	78.7346	CCDC122|160857	165.2113
CCDC123|84902	391.5641	CCDC123|84902	443.9399
CCDC124|115098	814.0598	CCDC124|115098	87.321
CCDC125|202243	220.0351	CCDC125|202243	600.4191
CCDC126|90693	194.3761	CCDC126|90693	502.9689
CCDC127|133957	272.0562	CCDC127|133957	323.0877
lowly_expressed	lowly_expressed	CCDC129|223075	10.1292
CCDC12|151903	373.2865	CCDC12|151903	179.1827
CCDC130|81576	284.007	CCDC130|81576	187.2162
CCDC132|55610	308.2601	CCDC132|55610	969.9616
CCDC134|79879	243.5852	CCDC134|79879	38.071999999999996
CCDC136|64753	22.1441	CCDC136|64753	64.2683
CCDC137|339230	293.4974	CCDC137|339230	68.4597
CCDC138|165055	43.9367	CCDC138|165055	153.3357
CCDC13|152206	17.5747	CCDC13|152206	5.2393
CCDC141|285025	13.7083	CCDC141|285025	38.4212
CCDC142|84865	92.0914	CCDC142|84865	123.6186
CCDC144A|9720	15.7153	CCDC144A|9720	234.8341
CCDC144B|284047	31.6801	CCDC144B|284047	310.6601
CCDC144NL|339184	9.4903	CCDC144NL|339184	8.3828
CCDC146|57639	91.7399	CCDC146|57639	183.7234
CCDC147|159686	8.0844	CCDC147|159686	12.9235
CCDC148|130940	8.0844	CCDC148|130940	38.7705
CCDC149|91050	404.5694	CCDC149|91050	539.2944
CCDC14|64770	463.2689	CCDC14|64770	2725.8121
CCDC150|284992	40.7733	CCDC150|284992	15.7178
CCDC151|115948	14.0598	lowly_expressed	lowly_expressed
CCDC152|100129792	140.0	CCDC152|100129792	180.6043
CCDC153|283152	11.9508	lowly_expressed	lowly_expressed
CCDC157|550631	31.0088	CCDC157|550631	11.8826
lowly_expressed	lowly_expressed	CCDC158|339965	119.8044
CCDC159|126075	277.6801	CCDC159|126075	79.986
CCDC15|80071	33.7434	CCDC15|80071	168.0056
lowly_expressed	lowly_expressed	CCDC160|347475	81.3832
CCDC163P|126661	16.5202	CCDC163P|126661	39.1198
CCDC17|149483	7.3814	CCDC17|149483	13.9714
CCDC18|343099	48.1652	CCDC18|343099	102.3472
CCDC19|25790	9.1388	lowly_expressed	lowly_expressed
CCDC21|64793	212.6538	CCDC21|64793	300.0349
CCDC22|28952	325.0545	CCDC22|28952	246.5141
CCDC23|374969	175.7469	CCDC23|374969	214.1111
CCDC24|149473	72.4886	CCDC24|149473	94.656
CCDC25|55246	892.7944	CCDC25|55246	1428.9207
CCDC28A|25901	266.0773	CCDC28A|25901	502.2703
CCDC28B|79140	195.0791	CCDC28B|79140	21.6556
CCDC30|728621	37.2583	CCDC30|728621	168.7042
CCDC34|91057	128.2953	CCDC34|91057	472.2319
CCDC36|339834	40.4218	CCDC36|339834	55.5362
CCDC39|339829	19.3322	CCDC39|339829	66.1474
CCDC3|83643	1587.3462	CCDC3|83643	514.4953
CCDC40|55036	72.4077	CCDC40|55036	43.6605
CCDC41|51134	182.0738	CCDC41|51134	311.9106
CCDC43|124808	335.6766	CCDC43|124808	455.4663
CCDC45|90799	282.9525	CCDC45|90799	1162.417
CCDC46|201134	332.1617	CCDC46|201134	349.6333
CCDC47|57003	2403.5149	CCDC47|57003	3602.1656
CCDC48|79825	261.1599	CCDC48|79825	58.3304
CCDC50|152137	2948.3304	CCDC50|152137	3868.3199
CCDC51|79714	271.7047	CCDC51|79714	81.3832
CCDC52|152185	317.7504	CCDC52|152185	742.2284
CCDC53|51019	479.0861	CCDC53|51019	432.7628
CCDC55|84081	662.5659	CCDC55|84081	816.2766
CCDC56|28958	558.7206	CCDC56|28958	614.6245
CCDC57|284001	202.4605	CCDC57|284001	274.8865
CCDC58|131076	110.7206	CCDC58|131076	181.9769
CCDC59|29080	343.4095	CCDC59|29080	762.4869
CCDC61|729440	114.9385	CCDC61|729440	53.0912
lowly_expressed	lowly_expressed	CCDC62|84660	8.0335
lowly_expressed	lowly_expressed	CCDC64B|146439	150.5414
CCDC64|92558	54.4815	CCDC64|92558	15.7178
CCDC65|85478	8.0844	CCDC65|85478	13.2728
CCDC66|285331	154.6714	CCDC66|285331	767.817
CCDC68|80323	282.2496	CCDC68|80323	79.986
CCDC69|26112	7147.6274	CCDC69|26112	821.1666
CCDC6|8030	1788.0492	CCDC6|8030	4145.6514
CCDC71|64925	366.2566	CCDC71|64925	342.2983
CCDC72|51372	1295.6063	CCDC72|51372	558.8543
CCDC73|493860	46.6011	CCDC73|493860	90.6846
CCDC74A|90557	115.6415	CCDC74A|90557	94.656
