gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
DOK3|79930	99.1968	DOK3|79930	90.2559
DOK4|55715	293.9759	DOK4|55715	434.2164
DOK5|55816	21.2851	DOK5|55816	131.1181
DOK6|220164	20.8835	DOK6|220164	36.8208
DOK7|285489	430.1205	DOK7|285489	13.470999999999998
DOLK|22845	612.0482	DOLK|22845	396.9466
DOLPP1|57171	449.7992	DOLPP1|57171	275.7072
DOM3Z|1797	228.8353	DOM3Z|1797	236.2955
DONSON|29980	585.6627	DONSON|29980	112.3215
DOPEY1|23033	278.9237	DOPEY1|23033	909.2411
DOPEY2|9980	982.3293	DOPEY2|9980	527.6156
DOT1L|84444	460.6426	DOT1L|84444	422.9906
DPAGT1|1798	1561.5141	DPAGT1|1798	847.8222
DPCD|25911	393.2691	DPCD|25911	200.6152
DPEP1|1800	6.0241	lowly_expressed	lowly_expressed
DPEP2|64174	55.4217	DPEP2|64174	75.8868
DPF2|5977	812.8514	DPF2|5977	1017.0633
lowly_expressed	lowly_expressed	DPF3|8110	11.2259
DPH1|1801	495.5462	DPH1|1801	633.9111
DPH2|1802	698.3936	DPH2|1802	393.3543
DPH3B|100132911	8.8353	DPH3B|100132911	18.8595
DPH3|285381	475.50199999999995	DPH3|285381	739.5599
DPH5|51611	386.6867	DPH5|51611	434.5487
DPM1|8813	1753.8153	DPM1|8813	436.0126
DPM2|8818	903.6145	DPM2|8818	564.8855
DPM3|54344	495.1807	DPM3|54344	240.2335
DPP3|10072	1059.8394	DPP3|10072	417.6022
DPP4|1803	253.8153	DPP4|1803	700.0449
lowly_expressed	lowly_expressed	DPP6|1804	80.8262
DPP7|29952	2326.506	DPP7|29952	1085.7656
DPP8|54878	614.4578	DPP8|54878	645.7117
DPP9|91039	2997.1888	DPP9|91039	815.4468
DPT|1805	73.494	DPT|1805	7036.8208
DPY19L1|23333	338.5542	DPY19L1|23333	512.3485
lowly_expressed	lowly_expressed	DPY19L2P2|349152	15.7162
lowly_expressed	lowly_expressed	DPY19L2|283417	54.3332
DPY19L3|147991	487.5502	lowly_expressed	lowly_expressed
DPY19L4|286148	938.1526	DPY19L4|286148	865.2896
DPY30|84661	668.3414	DPY30|84661	372.1823
DPYD|1806	291.5663	DPYD|1806	1124.8316
DPYSL2|1808	1033.7349	DPYSL2|1808	5524.0233
DPYSL3|1809	1857.8313	DPYSL3|1809	4794.3422
DPYSL4|10570	134.9398	DPYSL4|10570	44.4544
lowly_expressed	lowly_expressed	DPYS|1807	12.1239
DR1|1810	965.8635	DR1|1810	823.9784
DRAM1|55332	630.9237	DRAM1|55332	610.238
DRAM2|128338	1225.3012	DRAM2|128338	1269.8698
DRAP1|10589	889.9598	DRAP1|10589	607.0947
lowly_expressed	lowly_expressed	DRD1|1812	82.1733
lowly_expressed	lowly_expressed	DRD2|1813	75.4378
DRG1|4733	1525.3012	DRG1|4733	1102.3799
DRG2|1819	670.6827	DRG2|1819	686.5739
DRP2|1821	32.5301	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DSC1|1823	49.7979
DSC2|1824	509.6386	DSC2|1824	1753.9291
DSC3|1825	142.9719	DSC3|1825	599.9102
DSCAML1|57453	107.6305	DSCAML1|57453	40.4131
DSCC1|79075	323.6948	DSCC1|79075	82.1733
DSCR3|10311	1090.3614	DSCR3|10311	1000.449
DSCR6|53820	322.49	lowly_expressed	lowly_expressed
DSEL|92126	270.6827	DSEL|92126	1195.7791
DSE|29940	348.2369	DSE|29940	1098.0242
lowly_expressed	lowly_expressed	DSG1|1828	107.7683
DSG2|1829	3010.8353	DSG2|1829	4559.9282
DSG3|1830	66.2651	DSG3|1830	464.3018
DSN1|79980	1261.4458	DSN1|79980	295.4648
DSP|1832	24305.6225	DSP|1832	6233.0489
DSTN|11034	6870.6827	DSTN|11034	6897.6201
DSTYK|25778	776.3052	DSTYK|25778	977.0992
DST|667	3142.5703	DST|667	21910.6421
DTD1|92675	133.3333	DTD1|92675	438.2577
DTL|51514	1828.5141	DTL|51514	40.8621
DTNA|1837	516.0643	DTNA|1837	549.1693
DTNBP1|84062	421.2851	DTNBP1|84062	312.9771
DTNB|1838	219.6787	DTNB|1838	596.3179
DTWD1|56986	488.755	DTWD1|56986	482.2631
DTWD2|285605	328.9157	DTWD2|285605	219.5779
DTX1|1840	58.2329	DTX1|1840	594.5218
DTX2|113878	453.8153	DTX2|113878	339.4701
DTX3L|151636	1201.9438	DTX3L|151636	1055.6264
DTX3|196403	423.6948	DTX3|196403	521.3291
DTX4|23220	186.3454	DTX4|23220	983.3857
DTYMK|1841	631.7269	DTYMK|1841	262.2362
DULLARD|23399	2066.2651	DULLARD|23399	1978.4463
DUOX1|53905	16.8675	DUOX1|53905	101.0328
lowly_expressed	lowly_expressed	DUOX2|50506	20.6556
lowly_expressed	lowly_expressed	DUOXA1|90527	14.3691
DUS1L|64118	1956.6265	DUS1L|64118	891.3336
DUS2L|54920	271.4859	DUS2L|54920	212.8424
DUS3L|56931	185.9438	DUS3L|56931	164.3467
DUS4L|11062	186.4016	DUS4L|11062	120.3862
DUSP10|11221	1217.2691	DUSP10|11221	491.2438
DUSP11|8446	340.9639	DUSP11|8446	465.6489
DUSP12|11266	198.7952	DUSP12|11266	208.8011
DUSP14|11072	728.1124	DUSP14|11072	839.6947
DUSP15|128853	69.4779	DUSP15|128853	28.7382
DUSP16|80824	5907.6305	DUSP16|80824	1659.1828
DUSP18|150290	162.9558	DUSP18|150290	158.9088
DUSP19|142679	25.7028	DUSP19|142679	78.5811
DUSP1|1843	3657.4297	DUSP1|1843	24240.2335
DUSP22|56940	494.3775	DUSP22|56940	1319.7126
DUSP23|54935	761.4458	DUSP23|54935	411.3157
lowly_expressed	lowly_expressed	DUSP26|78986	8.0826
DUSP27|92235	5.6225	DUSP27|92235	15.2672
DUSP28|285193	67.8715	DUSP28|285193	85.3166
DUSP2|1844	67.0683	DUSP2|1844	777.7279
DUSP3|1845	2534.9398	DUSP3|1845	2256.3987
DUSP4|1846	516.4659	DUSP4|1846	1168.837
lowly_expressed	lowly_expressed	DUSP5P|574029	6.7355
DUSP5|1847	2639.3574	DUSP5|1847	524.0233
DUSP6|1848	657.4297	DUSP6|1848	5092.5011
DUSP7|1849	292.3695	DUSP7|1849	577.4585
DUSP8|1850	394.7791	DUSP8|1850	498.8774
lowly_expressed	lowly_expressed	DUSP9|1852	10.3278
DUT|1854	1840.8072	DUT|1854	687.1441
DVL1|1855	323.6948	DVL1|1855	716.2101
DVL2|1856	387.9518	DVL2|1856	558.599
DVL3|1857	2318.8755	DVL3|1857	1802.4248
lowly_expressed	lowly_expressed	DYDC2|84332	5.8374
DYM|54808	688.3534	DYM|54808	788.5047
DYNC1H1|1778	7501.6064	DYNC1H1|1778	11984.2838
DYNC1I1|1780	9.2369	DYNC1I1|1780	64.661
DYNC1I2|1781	1718.8755	DYNC1I2|1781	1962.7301
DYNC1LI1|51143	318.0723	DYNC1LI1|51143	673.5519
DYNC1LI2|1783	2687.1486	DYNC1LI2|1783	3933.0938
DYNC2H1|79659	437.751	DYNC2H1|79659	672.2048
DYNC2LI1|51626	314.4578	DYNC2LI1|51626	424.7867
DYNLL1|8655	4590.7631	DYNLL1|8655	2685.6758
DYNLL2|140735	1529.7189	DYNLL2|140735	1356.5335
DYNLRB1|83658	2102.008	DYNLRB1|83658	1943.4216
DYNLRB2|83657	55.0201	DYNLRB2|83657	10.3278
DYNLT1|6993	622.49	DYNLT1|6993	939.8294
DYNLT3|6990	1573.0924	DYNLT3|6990	730.5793
DYRK1A|1859	1512.0482	DYRK1A|1859	1740.9070000000002
DYRK1B|9149	283.9357	DYRK1B|9149	364.6161
DYRK2|8445	495.9839	DYRK2|8445	480.467
DYRK3|8444	103.2129	DYRK3|8444	325.101
DYRK4|8798	232.1285	DYRK4|8798	277.9524
DYSF|8291	687.1486	DYSF|8291	876.5155
DYX1C1|161582	229.9036	DYX1C1|161582	36.1922
DZIP1L|199221	36.1446	DZIP1L|199221	148.6304
DZIP1|22873	99.8715	DZIP1|22873	320.6646
DZIP3|9666	304.8635	DZIP3|9666	444.0952
E2F1|1869	601.6064	E2F1|1869	55.2313
E2F2|1870	275.1004	E2F2|1870	17.9614
E2F3|1871	556.2249	E2F3|1871	296.3628
E2F4|1874	626.9076	E2F4|1874	916.0305
E2F5|1875	126.759	E2F5|1875	68.4194
E2F6|1876	218.8755	E2F6|1876	303.0983
E2F7|144455	210.4418	lowly_expressed	lowly_expressed
E2F8|79733	124.8996	E2F8|79733	7.6336
E4F1|1877	281.9277	E4F1|1877	244.7238
EAF1|85403	1909.6386	EAF1|85403	631.3426
EAF2|55840	21.2851	EAF2|55840	61.5177
EAPP|55837	493.1727	EAPP|55837	862.1464
EARS2|124454	879.9197	EARS2|124454	633.5878
EBAG9|9166	683.9357	EBAG9|9166	549.1693
EBF1|1879	157.0281	EBF1|1879	2040.8621
EBF2|64641	20.8835	EBF2|64641	158.9582
EBF3|253738	43.3735	EBF3|253738	823.9784
EBF4|57593	321.6867	EBF4|57593	233.0489
EBI3|10148	8.0321	EBI3|10148	23.3498
EBNA1BP2|10969	1672.2892	EBNA1BP2|10969	688.37
EBPL|84650	357.0281	EBPL|84650	383.4755
EBP|10682	1438.1526	EBP|10682	343.0624
ECD|11319	865.0602	ECD|11319	674.8989999999999
ECE1|1889	4604.4177	ECE1|1889	6970.3637
ECE2|9718	320.4819	ECE2|9718	42.6583
ECEL1|9427	386.74699999999996	ECEL1|9427	7.6336
ECH1|1891	2395.9839	ECH1|1891	4238.4374
ECHDC1|55862	182.3293	ECHDC1|55862	1811.8545
ECHDC2|55268	356.6265	ECHDC2|55268	995.5097
ECHDC3|79746	209.6386	ECHDC3|79746	964.5263
ECHS1|1892	2763.4538	ECHS1|1892	4506.5109999999995
ECM1|1893	4230.1205	ECM1|1893	1154.4679
ECM2|1842	138.9558	ECM2|1842	2997.7548
ECSCR|641700	72.2892	ECSCR|641700	349.3489
ECSIT|51295	739.7589999999999	ECSIT|51295	500.2245
ECT2L|345930	10.4418	ECT2L|345930	8.5317
ECT2|1894	1907.2289	ECT2|1894	184.5532
EDA2R|60401	25.3012	EDA2R|60401	120.7903
EDARADD|128178	37.751	EDARADD|128178	158.9582
lowly_expressed	lowly_expressed	EDAR|10913	9.4297
EDA|1896	32.1285	EDA|1896	184.1042
EDC3|80153	1214.4578	EDC3|80153	804.2209
EDC4|23644	1302.8112	EDC4|23644	1115.0022
EDEM1|9695	2969.8795	EDEM1|9695	1102.8289
EDEM2|55741	1085.5422	EDEM2|55741	525.8195
EDEM3|80267	1814.4578	EDEM3|80267	1167.0409
EDF1|8721	2400.8032	EDF1|8721	2444.9933
EDIL3|10085	36.5462	EDIL3|10085	166.1428
EDN1|1906	562.6506	EDN1|1906	2299.0570000000002
EDN2|1907	109.6386	EDN2|1907	6.2865
EDN3|1908	7.2289	EDN3|1908	152.2227
EDNRA|1909	453.8153	EDNRA|1909	447.2384
EDNRB|1910	313.253	EDNRB|1910	1939.3803
EEA1|8411	830.1205	EEA1|8411	1640.7723
EED|8726	264.6586	EED|8726	345.7566
EEF1A1P9|441032	3265.4618	EEF1A1P9|441032	8087.5617
EEF1A1|1915	42819.6787	EEF1A1|1915	122060.6197
EEF1A2|1917	855.0201	EEF1A2|1917	64.2119
EEF1B2|1933	3305.2209	EEF1B2|1933	4571.1720000000005
EEF1D|1936	7100.0	EEF1D|1936	4856.758
EEF1E1|9521	298.7952	EEF1E1|9521	177.3687
EEF1G|1937	13719.2771	EEF1G|1937	24277.9524
EEF2K|29904	1058.2329	EEF2K|29904	1896.7220000000002
EEF2|1938	50289.9598	EEF2|1938	59305.3435
EEFSEC|60678	370.8755	EEFSEC|60678	392.3619
EEPD1|80820	121.2851	EEPD1|80820	946.5649
EFCAB1|79645	5.6225	EFCAB1|79645	97.8895
EFCAB2|84288	226.9076	EFCAB2|84288	124.3826
EFCAB4A|283229	350.2008	EFCAB4A|283229	625.5052
EFCAB4B|84766	388.3534	EFCAB4B|84766	176.9196
EFCAB6|64800	67.8715	EFCAB6|64800	46.2506
EFCAB7|84455	183.5341	EFCAB7|84455	139.2007
EFEMP1|2202	1460.6426	EFEMP1|2202	8178.7158
EFEMP2|30008	476.7068	EFEMP2|30008	1653.7943
EFHA1|221154	721.6867	EFHA1|221154	664.1221
EFHA2|286097	8.4337	EFHA2|286097	135.6084
EFHC1|114327	198.7952	EFHC1|114327	386.6188
EFHC2|80258	45.7831	EFHC2|80258	12.573
EFHD1|80303	5152.6104	EFHD1|80303	1623.26
EFHD2|79180	455.4217	EFHD2|79180	528.0647
EFNA1|1942	888.3534	EFNA1|1942	1110.0135
EFNA3|1944	58.6466	EFNA3|1944	116.3
EFNA4|1945	246.5743	EFNA4|1945	180.5119
EFNA5|1946	168.6747	EFNA5|1946	779.9731
EFNB1|1947	697.1888	EFNB1|1947	1304.8945
EFNB2|1948	786.3454	EFNB2|1948	1517.7369
EFNB3|1949	58.2329	EFNB3|1949	367.3103
EFR3A|23167	1262.249	EFR3A|23167	1477.7728
EFR3B|22979	239.75900000000001	EFR3B|22979	57.4764
EFS|10278	237.3494	EFS|10278	968.1185
EFTUD1|79631	989.5582	EFTUD1|79631	643.9156
EFTUD2|9343	3611.6466	EFTUD2|9343	1603.5025
EGFL6|25975	9.6386	EGFL6|25975	30.5344
EGFL7|51162	438.9558	EGFL7|51162	1369.1064
EGFL8|80864	38.253	EGFL8|80864	119.2636
EGFLAM|133584	287.5502	EGFLAM|133584	1358.7786
EGFR|1956	100.0	EGFR|1956	2338.5541
EGF|1950	758.6345	EGF|1950	900.7634
EGLN1|54583	436.5462	EGLN1|54583	1334.0817
EGLN2|112398	2248.012	EGLN2|112398	1073.8707
EGLN3|112399	322.49	EGLN3|112399	90.2559
EGOT|100126791	11.6466	EGOT|100126791	13.022
EGR1|1958	2742.9719	EGR1|1958	39717.5573
EGR2|1959	114.0562	EGR2|1959	1362.3709
EGR3|1960	1134.5382	EGR3|1960	1808.2622
EGR4|1961	11.6466	lowly_expressed	lowly_expressed
EHBP1L1|254102	385.5422	EHBP1L1|254102	512.7975
EHBP1|23301	743.7751	EHBP1|23301	3320.1347
EHD1|10938	963.8554	EHD1|10938	1104.6251
EHD2|30846	3308.8353	EHD2|30846	12747.1935
EHD3|30845	267.0683	EHD3|30845	507.8581
EHD4|30844	1369.0763	EHD4|30844	1654.6924
EHF|26298	53.8153	EHF|26298	6053.8841
EHHADH|1962	413.25300000000004	EHHADH|1962	646.6098
EHMT1|79813	943.3735	EHMT1|79813	1082.6224
EHMT2|10919	2181.5261	EHMT2|10919	1075.4378
EI24|9538	4176.7068	EI24|9538	2562.6403
EID1|23741	4584.7390000000005	EID1|23741	2904.3556
EID2B|126272	31.7269	EID2B|126272	50.2919
EID2|163126	241.3655	EID2|163126	218.2308
EID3|493861	8.0321	EID3|493861	41.3112
EIF1AD|84285	421.2851	EIF1AD|84285	445.4423
EIF1AX|1964	1990.7631	EIF1AX|1964	1727.885
EIF1B|10289	490.3614	EIF1B|10289	864.8406
EIF1|10209	10710.0402	EIF1|10209	14986.978000000001
EIF2AK1|27102	6224.6426	EIF2AK1|27102	3021.7916
EIF2AK2|5610	363.8554	EIF2AK2|5610	334.5308
EIF2AK3|9451	837.3494	EIF2AK3|9451	753.9291
EIF2AK4|440275	2586.7470000000003	EIF2AK4|440275	1588.2353
EIF2A|83939	1701.2048	EIF2A|83939	2388.4149
EIF2B1|1967	1125.7028	EIF2B1|1967	1294.5667
EIF2B2|8892	461.0442	EIF2B2|8892	475.5276
EIF2B3|8891	744.9799	EIF2B3|8891	1016.1652
EIF2B4|8890	538.1526	EIF2B4|8890	724.7418
EIF2B5|8893	1020.4819	EIF2B5|8893	1017.9614
EIF2C1|26523	1012.4498	EIF2C1|26523	1150.8756
EIF2C2|27161	207.6305	EIF2C2|27161	189.9416
EIF2C3|192669	111.245	EIF2C3|192669	136.5065
EIF2C4|192670	238.9558	EIF2C4|192670	519.0840000000001
EIF2S1|1965	1036.9478	EIF2S1|1965	1466.996
EIF2S2|8894	2193.9759	EIF2S2|8894	1455.7701
EIF2S3|1968	8810.4418	EIF2S3|1968	5150.4266
EIF3A|8661	5838.5542	EIF3A|8661	5317.4674
EIF3B|8662	5094.3775	EIF3B|8662	3463.8527
EIF3CL|728689	11407.3052	EIF3CL|728689	10582.1509
EIF3C|8663	466.5904	EIF3C|8663	104.42299999999999
EIF3D|8664	3618.4739	EIF3D|8664	5984.7328
EIF3E|3646	5125.3012	EIF3E|3646	7667.2654
EIF3F|8665	2232.9317	EIF3F|8665	3055.6803
EIF3G|8666	1583.9036	EIF3G|8666	2519.4971
EIF3H|8667	6244.1767	EIF3H|8667	4119.4432
EIF3I|8668	5885.9598	EIF3I|8668	3374.4948
EIF3J|8669	2145.3815	EIF3J|8669	1383.4755
EIF3K|27335	2595.1807	EIF3K|27335	3541.0867
EIF3L|51386	7948.996	EIF3L|51386	12913.3363
EIF3M|10480	2191.1285	EIF3M|10480	2398.1724
EIF4A1|1973	12515.992	EIF4A1|1973	8443.0894
EIF4A2|1974	4312.0482	EIF4A2|1974	8414.9079
EIF4A3|9775	2136.9478	EIF4A3|9775	1040.8621
EIF4B|1975	6592.7108	EIF4B|1975	11431.4459
EIF4E1B|253314	6.4257	lowly_expressed	lowly_expressed
EIF4E2|9470	1184.3373	EIF4E2|9470	1252.8065
EIF4E3|317649	991.1647	EIF4E3|317649	1509.6542
EIF4EBP1|1978	810.4418	EIF4EBP1|1978	515.4917
EIF4EBP2|1979	2957.8313	EIF4EBP2|1979	6712.6179
EIF4EBP3|8637	501.1446	EIF4EBP3|8637	426.1293
EIF4ENIF1|56478	776.7068	EIF4ENIF1|56478	721.5986
EIF4E|1977	586.747	EIF4E|1977	312.079
EIF4G1|1981	10724.0964	EIF4G1|1981	6462.9546
EIF4G2|1982	16131.3253	EIF4G2|1982	17778.626
EIF4G3|8672	1385.5422	EIF4G3|8672	1762.0117
EIF4H|7458	4023.6948	EIF4H|7458	4341.7153
EIF5A2|56648	135.743	EIF5A2|56648	137.4046
EIF5AL1|143244	1623.6948	EIF5AL1|143244	817.692
EIF5A|1984	6555.8233	EIF5A|1984	3491.6929
EIF5B|9669	4114.0562	EIF5B|9669	2880.1078
EIF5|1983	2784.739	EIF5|1983	5052.9861
EIF6|3692	2336.9478	EIF6|3692	1583.7449
ELAC1|55520	25.3012	ELAC1|55520	152.7481
ELAC2|60528	1619.6787	ELAC2|60528	1398.2937
lowly_expressed	lowly_expressed	ELANE|1991	7.1846
ELAVL1|1994	2282.3293	ELAVL1|1994	1273.9111
ELAVL2|1993	32.9317	lowly_expressed	lowly_expressed
ELF1|1997	1099.5984	ELF1|1997	1710.8217
ELF2|1998	670.6827	ELF2|1998	969.9147
ELF3|1999	6312.0482	ELF3|1999	2073.6417
ELF4|2000	560.6426	ELF4|2000	476.8747
ELF5|2001	26.1044	ELF5|2001	2607.9928
ELFN1|392617	41.7671	ELFN1|392617	27.3911
ELFN2|114794	98.7952	lowly_expressed	lowly_expressed
ELK1|2002	909.2369	ELK1|2002	495.7342
ELK3|2004	640.9639	ELK3|2004	864.3916
ELK4|2005	135.743	ELK4|2005	167.9389
ELL2|22936	2075.502	ELL2|22936	1651.5492
ELL3|80237	892.1205	ELL3|80237	141.3291
ELL|8178	311.6466	ELL|8178	362.8199
ELMO1|9844	285.1406	ELMO1|9844	847.3282
ELMO2|63916	4189.1566	ELMO2|63916	1180.9609
ELMO3|79767	840.5622	ELMO3|79767	285.586
ELMOD2|255520	305.2209	ELMOD2|255520	170.1841
ELMOD3|84173	262.6506	ELMOD3|84173	2516.8388
ELN|2006	343.3735	ELN|2006	2984.7328
ELOF1|84337	858.2329	ELOF1|84337	577.0094
ELOVL1|64834	2392.3695	ELOVL1|64834	1908.846
ELOVL2|54898	6419.2771	ELOVL2|54898	81.7243
ELOVL3|83401	161.4458	ELOVL3|83401	140.5478
ELOVL4|6785	10.0402	ELOVL4|6785	28.2892
ELOVL5|60481	25613.6546	ELOVL5|60481	9766.9511
ELOVL6|79071	142.9719	ELOVL6|79071	781.7692
ELOVL7|79993	358.2329	ELOVL7|79993	247.8671
ELP2P|100131454	5.6225	ELP2P|100131454	9.8788
ELP2|55250	4558.6345	ELP2|55250	1612.4832
ELP3|55140	1007.2289	ELP3|55140	876.5155
ELP4|26610	186.747	ELP4|26610	235.2941
ELTD1|64123	744.1767	ELTD1|64123	2232.5999
EMB|133418	187.1486	EMB|133418	722.0476
EMCN|51705	314.8594	EMCN|51705	1525.8195
EMD|2010	1441.3655	EMD|2010	801.0777
EME1|146956	158.241	EME1|146956	12.4517
lowly_expressed	lowly_expressed	EME2|197342	7.1846
EMG1|10436	510.4418	EMG1|10436	415.806
EMID1|129080	936.9478	EMID1|129080	61.0687
EMILIN1|11117	580.3213	EMILIN1|11117	577.4585
EMILIN2|84034	177.1084	EMILIN2|84034	872.0251
lowly_expressed	lowly_expressed	EMILIN3|90187	152.8963
EML1|2009	128.1124	EML1|2009	621.4639
EML2|24139	1027.5703	EML2|24139	462.9187
EML3|256364	482.7309	EML3|256364	876.9645
EML4|27436	1034.5382	EML4|27436	1390.6601
EML5|161436	14.0562	EML5|161436	74.5397
EML6|400954	6.4257	EML6|400954	21.5537
EMP1|2012	2628.1124	EMP1|2012	21057.0274
EMP2|2013	4981.1245	EMP2|2013	3231.7018
EMP3|2014	291.9679	EMP3|2014	663.2241
EMR1|2015	7.2289	EMR1|2015	7.6336
EMR2|30817	97.1888	EMR2|30817	104.6251
EMX2OS|196047	26.1044	EMX2OS|196047	280.1976
EMX2|2018	10.4418	EMX2|2018	49.8428
EN1|2019	8.0321	EN1|2019	60.1706
ENAH|55740	8342.1687	ENAH|55740	2570.2739
ENC1|8507	822.743	ENC1|8507	1069.1513
ENDOD1|23052	2177.1084	ENDOD1|23052	1726.0889
ENDOG|2021	147.7189	ENDOG|2021	124.9888
ENDOU|8909	28.5141	ENDOU|8909	13.022
ENGASE|64772	218.4739	ENGASE|64772	378.0871
ENG|2022	2677.51	ENG|2022	5035.0247
ENHO|375704	48.5944	ENHO|375704	26.044
ENO1|2023	9424.0964	ENO1|2023	16988.7741
ENO2|2026	1273.8956	ENO2|2026	371.8006
ENO3|2027	16.8675	ENO3|2027	42.2093
ENOPH1|58478	865.8635	ENOPH1|58478	527.6156
ENOSF1|55556	699.1165	ENOSF1|55556	552.5326
ENOX1|55068	57.4297	ENOX1|55068	63.7629
ENOX2|10495	238.5542	ENOX2|10495	356.9825
ENPEP|2028	194.7791	ENPEP|2028	256.8478
ENPP1|5167	1308.4337	ENPP1|5167	930.8487
ENPP2|5168	234.5382	ENPP2|5168	5711.2708
lowly_expressed	lowly_expressed	ENPP3|5169	60.1706
ENPP4|22875	1657.4297	ENPP4|22875	781.7692
ENPP5|59084	2644.9799	ENPP5|59084	270.7678
ENPP6|133121	14.4578	ENPP6|133121	131.1181
ENSA|2029	6514.4578	ENSA|2029	3696.0036
ENTHD1|150350	22.49	lowly_expressed	lowly_expressed
ENTPD1|953	1207.6305	ENTPD1|953	1286.0305
ENTPD2|954	298.7952	ENTPD2|954	193.5339
ENTPD3|956	30.9237	ENTPD3|956	110.0135
ENTPD4|9583	677.9116	ENTPD4|9583	357.4315
ENTPD5|957	180.5743	ENTPD5|957	222.6718
ENTPD6|955	1934.5382	ENTPD6|955	1591.8276
ENTPD7|57089	446.0361	ENTPD7|57089	140.696
ENTPD8|377841	45.7831	ENTPD8|377841	7.6336
ENY2|56943	656.2249	ENY2|56943	359.2277
lowly_expressed	lowly_expressed	EOMES|8320	15.2672
EP300|2033	4522.49	EP300|2033	2844.634
EP400NL|347918	134.5382	EP400NL|347918	158.0602
EP400|57634	1573.8956	EP400|57634	1604.8496
EPAS1|2034	2669.4779	EPAS1|2034	15663.6731
EPB41L1|2036	2717.2691	EPB41L1|2036	4494.3871
EPB41L2|2037	610.4418	EPB41L2|2037	5166.1428
EPB41L3|23136	1926.9076	EPB41L3|23136	1462.5056
EPB41L4A|64097	152.2088	EPB41L4A|64097	650.2021
EPB41L4B|54566	98.7952	EPB41L4B|54566	965.8734
EPB41L5|57669	582.3293	EPB41L5|57669	699.5959
EPB41|2035	713.7952	EPB41|2035	1421.4324
lowly_expressed	lowly_expressed	EPB42|2038	27.8401
EPB49|2039	1228.1124	EPB49|2039	1721.1495
EPC1|80314	358.2329	EPC1|80314	717.1082
EPC2|26122	490.3614	EPC2|26122	681.1855
EPCAM|4072	3358.2329	EPCAM|4072	1462.5056
EPDR1|54749	1518.4739	EPDR1|54749	1627.3013
EPHA10|284656	181.5261	EPHA10|284656	35.4737
EPHA1|2041	582.3293	EPHA1|2041	196.6771
EPHA2|1969	172.6908	EPHA2|1969	795.2402
EPHA3|2042	24.498	EPHA3|2042	60.1706
EPHA4|2043	93.5743	EPHA4|2043	650.2021
EPHA6|285220	16.4659	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	EPHA7|2045	18.8595
EPHB1|2047	32.9317	EPHB1|2047	380.3323
EPHB2|2048	196.3855	EPHB2|2048	182.7571
EPHB3|2049	742.1687	EPHB3|2049	1771.4414
EPHB4|2050	3234.9398	EPHB4|2050	1750.7858
EPHB6|2051	16.8675	EPHB6|2051	208.8011
EPHX1|2052	3888.3534	EPHX1|2052	8759.3175
EPHX2|2053	10.0402	EPHX2|2053	829.8159
EPHX3|79852	6.4257	EPHX3|79852	22.4517
EPHX4|253152	197.99200000000002	EPHX4|253152	15.7162
EPM2AIP1|9852	858.6345	EPM2AIP1|9852	1076.3359
EPM2A|7957	83.1325	EPM2A|7957	268.9717
EPN1|29924	2259.8394	EPN1|29924	1424.3377
EPN2|22905	1042.5703	EPN2|22905	1087.1127
EPN3|55040	959.0361	EPN3|55040	143.6911
EPOR|2057	184.3373	EPOR|2057	123.9335
EPO|2056	8.4337	lowly_expressed	lowly_expressed
EPPK1|83481	626.9076	EPPK1|83481	348.0018
EPR1|8475	657.9237	EPR1|8475	6.3853
EPRS|2058	5564.6586	EPRS|2058	3163.8976
EPS15L1|58513	1828.9157	EPS15L1|58513	719.8024
EPS15|2060	1370.2811	EPS15|2060	2387.5168
EPS8L1|54869	496.7871	EPS8L1|54869	143.6911
EPS8L2|64787	1150.2008	EPS8L2|64787	925.4603
EPS8|2059	291.1647	EPS8|2059	2397.3956
EPSTI1|94240	67.4699	EPSTI1|94240	74.0907
EPT1|85465	1180.3133	EPT1|85465	512.7975
ERAL1|26284	2077.51	ERAL1|26284	888.1904
ERAP1|51752	1513.8193	ERAP1|51752	2664.5891
ERAP2|64167	531.7269	ERAP2|64167	1265.3794
ERBB2IP|55914	2960.241	ERBB2IP|55914	1704.9843
ERBB2|2064	11318.4739	ERBB2|2064	2908.3969
ERBB3|2065	11824.8996	ERBB3|2065	2897.1711
ERBB4|2066	183.9357	ERBB4|2066	335.8779
ERC1|23085	1686.3454	ERC1|23085	1828.4688
ERC2|26059	89.1566	ERC2|26059	7.6336
ERCC1|2067	1249.6627	ERCC1|2067	1047.0633
ERCC2|2068	513.3293	ERCC2|2068	357.4315
ERCC3|2071	935.743	ERCC3|2071	1123.4845
ERCC4|2072	263.4538	ERCC4|2072	303.0983
ERCC5|2073	623.6948	ERCC5|2073	1663.6731
ERCC6L|54821	259.4378	ERCC6L|54821	14.8181
ERCC6|2074	325.7751	ERCC6|2074	315.7656
ERCC8|1161	142.1687	ERCC8|1161	220.476
lowly_expressed	lowly_expressed	EREG|2069	68.2533
ERF|2077	812.4498	ERF|2077	876.9645
ERGIC1|57222	14326.506000000001	ERGIC1|57222	4969.0166
ERGIC2|51290	931.3253	ERGIC2|51290	569.8249
