gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
ACAD9|28976	1389.2811	ACAD9|28976	1172.8693
lowly_expressed	lowly_expressed	ACADL|33	338.123
ACADM|34	537.3494	ACADM|34	1378.0871
ACADSB|36	2178.3133	ACADSB|36	1215.0876
ACADS|35	367.4699	ACADS|35	1000.449
ACADVL|37	4826.751	ACADVL|37	7672.1643
ACAN|176	36.1446	lowly_expressed	lowly_expressed
ACAP1|9744	12.4498	ACAP1|9744	58.3745
ACAP2|23527	1160.6426	ACAP2|23527	1215.9856
ACAP3|116983	281.5261	ACAP3|116983	546.502
ACAT1|38	2801.2048	ACAT1|38	1924.1132
ACAT2|39	694.8273	ACAT2|39	327.5752
ACBD3|64746	2420.0803	ACBD3|64746	1029.6363
ACBD4|79777	316.8675	ACBD4|79777	342.6134
ACBD5|91452	1295.9839	ACBD5|91452	787.1576
ACBD6|84320	569.4779	ACBD6|84320	286.4841
ACBD7|414149	32.1285	ACBD7|414149	17.5123
ACCN2|41	65.0602	ACCN2|41	167.9389
ACCN3|9311	15.261	ACCN3|9311	8.9807
ACCS|84680	59.8394	ACCS|84680	350.247
ACD|65057	538.5542	ACD|65057	350.696
lowly_expressed	lowly_expressed	ACE2|59272	31.4324
ACER2|340485	125.3012	ACER2|340485	185.9003
ACER3|55331	403.6145	ACER3|55331	796.1383
ACE|1636	421.2851	ACE|1636	1179.6138
lowly_expressed	lowly_expressed	ACHE|43	36.3718
ACIN1|22985	1617.6707	ACIN1|22985	2700.943
ACLY|47	5172.6908	ACLY|47	4555.9048
ACMSD|130013	159.8394	lowly_expressed	lowly_expressed
ACN9|57001	14.0562	ACN9|57001	122.1374
ACO1|48	2473.0924	ACO1|48	4434.6655
ACO2|50	4355.2369	ACO2|50	3968.1365
ACOT11|26027	207.6305	ACOT11|26027	27.3911
ACOT13|55856	787.008	ACOT13|55856	646.978
ACOT1|641371	456.6265	ACOT1|641371	1471.9353
ACOT2|10965	251.004	ACOT2|10965	806.4661
ACOT4|122970	489.9598	ACOT4|122970	212.8424
lowly_expressed	lowly_expressed	ACOT6|641372	13.022
ACOT7|11332	424.8996	ACOT7|11332	198.9223
ACOT8|10005	665.5984	ACOT8|10005	249.771
ACOT9|23597	148.996	ACOT9|23597	629.0974
ACOX1|51	1246.988	ACOX1|51	3013.471
ACOX2|8309	644.5783	ACOX2|8309	351.145
ACOX3|8310	435.743	ACOX3|8310	502.9187
ACP1|52	1491.9679	ACP1|52	1136.0575
ACP2|53	567.8715	ACP2|53	1071.8455
ACP5|54	2003.6145	ACP5|54	543.7809
ACP6|51205	940.1606	ACP6|51205	322.8559
ACPL2|92370	253.012	ACPL2|92370	297.2609
ACPP|55	18.0723	ACPP|55	10.3278
ACRBP|84519	19.2771	ACRBP|84519	27.8401
lowly_expressed	lowly_expressed	ACRC|93953	14.3691
lowly_expressed	lowly_expressed	ACR|49	7.6336
lowly_expressed	lowly_expressed	ACSBG1|23205	14.3691
