gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
C7orf13|129790	229.1674	C7orf13|129790	97.5832
C7orf23|79161	240.9307	C7orf23|79161	309.6215
C7orf25|79020	358.0929	C7orf25|79020	335.6088
C7orf26|79034	558.8785	C7orf26|79034	477.8842
C7orf27|221927	972.2252	C7orf27|221927	537.1637
C7orf28A|51622	1183.5785	C7orf28A|51622	614.6831
C7orf28B|221960	504.5305	C7orf28B|221960	993.1601
C7orf29|113763	167.57299999999998	C7orf29|113763	122.663
C7orf30|115416	280.496	C7orf30|115416	284.9977
C7orf31|136895	60.0847	C7orf31|136895	157.3187
C7orf36|57002	145.8338	C7orf36|57002	213.4063
C7orf40|285958	246.6795	C7orf40|285958	336.0693
C7orf41|222166	509.6634	C7orf41|222166	3148.6548
C7orf42|55069	3089.6832	C7orf42|55069	3545.3716
C7orf43|55262	232.7906	C7orf43|55262	195.6224
C7orf44|55744	873.493	C7orf44|55744	481.9881
C7orf46|340277	53.1403	C7orf46|340277	97.1272
C7orf47|221908	177.2348	C7orf47|221908	98.0392
C7orf49|78996	538.4497	C7orf49|78996	596.3794
C7orf50|84310	1362.3229999999999	C7orf50|84310	773.3698
lowly_expressed	lowly_expressed	C7orf51|222950	19.1518
lowly_expressed	lowly_expressed	C7orf53|286006	19.1518
C7orf55|154791	165.1575	C7orf55|154791	164.56
C7orf58|79974	278.0805	C7orf58|79974	819.4254
C7orf59|389541	1389.7989	C7orf59|389541	808.0255
C7orf60|154743	218.2978	C7orf60|154743	281.8057
lowly_expressed	lowly_expressed	C7orf61|402573	8.6639
C7orf63|79846	58.876999999999995	C7orf63|79846	176.0146
C7orf64|84060	172.4039	C7orf64|84060	304.6056
C7orf68|29923	390.0978	C7orf68|29923	275.4218
C7orf70|84792	630.4367	C7orf70|84792	492.4761
C7|730	251.8124	C7|730	955.7684
C8ORFK29|340393	7.2464	lowly_expressed	lowly_expressed
C8orf30A|51236	586.3544	C8orf30A|51236	318.7415
C8orf31|286122	6.0387	lowly_expressed	lowly_expressed
C8orf33|65265	967.9981	C8orf33|65265	1200.1824
lowly_expressed	lowly_expressed	C8orf34|116328	31.4637
C8orf37|157657	35.0243	C8orf37|157657	56.5435
C8orf38|137682	534.12	C8orf38|137682	176.0146
C8orf40|114926	658.5165	C8orf40|114926	720.4742
C8orf41|80185	304.8107	C8orf41|80185	275.0661
C8orf42|157695	93.9012	C8orf42|157695	380.75699999999995
C8orf44|56260	17.7416	C8orf44|56260	28.7278
C8orf45|157777	24.7585	C8orf45|157777	21.8878
lowly_expressed	lowly_expressed	C8orf46|254778	20.9758
lowly_expressed	lowly_expressed	C8orf47|203111	53.3516
C8orf48|157773	28.9856	C8orf48|157773	48.3356
C8orf4|56892	577.2964	C8orf4|56892	671.6826
C8orf51|78998	68.5389	C8orf51|78998	26.4478
C8orf55|51337	1109.6048	C8orf55|51337	614.6831
C8orf58|541565	224.6384	C8orf58|541565	276.3338
C8orf59|401466	480.6144	C8orf59|401466	728.7551
C8orf73|642475	95.109	C8orf73|642475	49.2476
C8orf76|84933	264.4936	C8orf76|84933	275.2029
C8orf79|57604	50.1209	C8orf79|57604	568.6275
C8orf80|389643	6.6425	C8orf80|389643	10.0319
C8orf83|286144	416.366	C8orf83|286144	470.5882
C8orf84|157869	3045.2990000000004	C8orf84|157869	410.8527
C8orf85|441376	1000.305	C8orf85|441376	337.8933
C9orf100|84904	98.1434	C9orf100|84904	46.6211
C9orf102|375748	102.8989	C9orf102|375748	164.2271
C9orf103|414328	60.9905	C9orf103|414328	134.9749
C9orf106|414318	6.3406	lowly_expressed	lowly_expressed
C9orf109|286333	7.8503	C9orf109|286333	43.7756
C9orf110|100128385	63.1041	C9orf110|100128385	154.5828
C9orf114|51490	464.5274	C9orf114|51490	347.3598
C9orf116|138162	157.6092	C9orf116|138162	47.4236
C9orf117|286207	5.4348	C9orf117|286207	5.472
C9orf119|375757	510.5692	C9orf119|375757	235.7501
lowly_expressed	lowly_expressed	C9orf122|158228	30.5518
C9orf123|90871	666.9706	C9orf123|90871	666.2107
C9orf125|84302	75.1814	C9orf125|84302	151.3908
C9orf129|445577	94.3632	C9orf129|445577	72.5581
C9orf130|100128782	81.8269	C9orf130|100128782	349.3981
lowly_expressed	lowly_expressed	C9orf135|138255	5.928
C9orf139|401563	5.5375	lowly_expressed	lowly_expressed
C9orf140|89958	599.3376	C9orf140|89958	146.3748
C9orf142|286257	501.8131	C9orf142|286257	207.0223
C9orf150|286343	278.9863	C9orf150|286343	427.2686
C9orf152|401546	530.7987	C9orf152|401546	296.8536
C9orf156|51531	256.6433	C9orf156|51531	341.0853
C9orf163|158055	12.9831	lowly_expressed	lowly_expressed
C9orf167|54863	230.0732	C9orf167|54863	87.5513
C9orf169|375791	40.7761	C9orf169|375791	6.1058
C9orf16|79095	1281.7068	C9orf16|79095	539.8997
C9orf172|389813	28.6837	lowly_expressed	lowly_expressed
C9orf21|195827	153.0802	C9orf21|195827	274.0538
C9orf23|138716	348.431	C9orf23|138716	258.0939
C9orf25|203259	437.5013	C9orf25|203259	450.5244
C9orf30|91283	225.8491	C9orf30|91283	257.337
C9orf37|85026	99.9399	C9orf37|85026	108.9831
C9orf3|84909	145.5318	C9orf3|84909	479.3525
C9orf40|55071	71.5582	C9orf40|55071	82.9913
C9orf41|138199	143.7172	C9orf41|138199	121.295
lowly_expressed	lowly_expressed	C9orf44|158314	9.5759
C9orf45|81571	62.5002	C9orf45|81571	212.0383
C9orf46|55848	508.4556	C9orf46|55848	303.6936
C9orf47|286223	14.2422	C9orf47|286223	16.9676
C9orf5|23731	1427.8425	C9orf5|23731	2116.2791
C9orf64|84267	503.0208	C9orf64|84267	389.4209
C9orf66|157983	5.7367	C9orf66|157983	46.5116
C9orf68|55064	7.5483	C9orf68|55064	56.9995
C9orf69|90120	896.4399	C9orf69|90120	814.8655
C9orf6|54942	509.6634	C9orf6|54942	450.9804
C9orf72|203228	193.8412	C9orf72|203228	295.0296
C9orf78|51759	1526.2727	C9orf78|51759	1450.0684
C9orf7|11094	1264.1946	C9orf7|11094	430.0046
C9orf80|58493	323.3705	C9orf80|58493	267.2139
C9orf82|79886	381.0398	C9orf82|79886	233.0141
C9orf85|138241	99.0341	C9orf85|138241	156.8627
C9orf86|55684	1982.7958	C9orf86|55684	1465.5723
C9orf89|84270	624.0961	C9orf89|84270	214.3183
C9orf91|203197	833.6378	C9orf91|203197	604.6512
C9orf93|203238	65.8215	C9orf93|203238	86.1833
C9orf95|54981	429.0472	C9orf95|54981	443.2285
C9orf96|169436	5.7367	C9orf96|169436	10.4879
C9orf98|158067	57.9712	C9orf98|158067	25.9918
C9orf9|11092	102.3554	C9orf9|11092	139.9909
CA11|770	51.9325	CA11|770	357.0451
CA12|771	9928.7739	CA12|771	3522.5718
CA13|377677	92.6935	CA13|377677	127.3917
lowly_expressed	lowly_expressed	CA14|23632	7.7519
CA2|760	206.8243	CA2|760	1272.2298
CA3|761	16.3044	CA3|761	224.6375
lowly_expressed	lowly_expressed	CA4|762	264.0219
CA5BP|340591	130.1332	CA5BP|340591	202.9184
CA5B|11238	126.7546	CA5B|11238	491.0397
lowly_expressed	lowly_expressed	CA6|765	5.928
CA8|767	45.5919	CA8|767	258.5499
CAB39L|81617	1051.6336	CAB39L|81617	1748.746
CAB39|51719	1818.5441	CAB39|51719	1979.9362
CABC1|56997	842.5025	CABC1|56997	1384.7424
CABIN1|23523	1437.5043	CABIN1|23523	1228.9102
CABLES1|91768	760.8719	CABLES1|91768	724.5782
CABLES2|81928	281.0999	CABLES2|81928	179.2066
CABP4|57010	13.4209	CABP4|57010	15.1026
CABP7|164633	5.7579	CABP7|164633	6.4523
CABYR|26256	146.7396	CABYR|26256	93.0233
CACHD1|57685	394.9287	CACHD1|57685	1334.7013
CACNA1A|773	19.3237	CACNA1A|773	19.1518
CACNA1C|775	320.3512	CACNA1C|775	453.7164
CACNA1D|776	136.1719	CACNA1D|776	129.047
CACNA1E|777	10.8696	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CACNA1F|778	10.9439
CACNA1G|8913	7.2464	CACNA1G|8913	38.3037
CACNA1H|8912	159.1188	CACNA1H|8912	70.2234
CACNA1I|8911	21.4373	CACNA1I|8911	20.0638
CACNA2D1|781	45.29	CACNA2D1|781	225.7182
CACNA2D2|9254	397.3442	CACNA2D2|9254	170.0866
CACNA2D3|55799	12.0773	CACNA2D3|55799	7.2959
CACNA2D4|93589	59.4809	CACNA2D4|93589	52.4396
CACNB1|782	57.3673	CACNB1|782	131.7829
CACNB2|783	18.4179	CACNB2|783	42.4077
CACNB3|784	823.9759	CACNB3|784	336.9813
CACNB4|785	41.9687	CACNB4|785	81.1674
CACNG1|786	7.8503	lowly_expressed	lowly_expressed
CACNG4|27092	994.8702	CACNG4|27092	387.5969
CACNG6|59285	15.0967	lowly_expressed	lowly_expressed
CACYBP|27101	1773.2541	CACYBP|27101	1060.1915
CADM1|23705	785.9323	CADM1|23705	715.0023
CADM2|253559	22.0411	CADM2|253559	19.6078
CADM3|57863	71.1536	CADM3|57863	465.5221
CADM4|199731	1445.6565	CADM4|199731	714.5463
CADPS2|93664	933.8796	CADPS2|93664	1091.6553
CAD|790	1381.9486	CAD|790	1261.7419
CALB2|794	38.9494	CALB2|794	902.4168
CALCOCO1|57658	1423.0115	CALCOCO1|57658	3005.472
CALCOCO2|10241	1712.2636	CALCOCO2|10241	2999.0879999999997
CALCRL|10203	1707.1308	CALCRL|10203	659.8267
CALCR|799	12.0773	CALCR|799	36.0237
CALD1|800	5964.9939	CALD1|800	10954.4004
CALHM2|51063	490.0377	CALHM2|51063	706.7943
CALM1|801	6708.3536	CALM1|801	7750.1140000000005
CALM2|805	10615.6721	CALM2|805	10101.6872
CALM3|808	5675.4398	CALM3|808	3872.777
CALML3|810	350.2426	CALML3|810	694.4824
CALML4|91860	178.7445	CALML4|91860	290.0137
CALML5|51806	71.5582	CALML5|51806	193.3425
lowly_expressed	lowly_expressed	CALN1|83698	12.3119
CALR|811	16403.1292	CALR|811	11253.99
CALU|813	5250.6197	CALU|813	3673.9626
CAMK1D|57118	137.9835	CAMK1D|57118	79.3434
CAMK1|8536	461.1699	CAMK1|8536	378.6776
CAMK2A|815	5.1329	lowly_expressed	lowly_expressed
CAMK2B|816	104.7708	CAMK2B|816	54.2636
CAMK2D|817	566.4268	CAMK2D|817	801.1856
CAMK2G|818	438.4071	CAMK2G|818	772.4578
CAMK2N1|55450	1907.6145	CAMK2N1|55450	1564.5235
CAMK2N2|94032	32.3069	lowly_expressed	lowly_expressed
CAMK4|814	25.0605	lowly_expressed	lowly_expressed
CAMKK1|84254	180.858	CAMKK1|84254	300.0456
CAMKK2|10645	1272.3468	CAMKK2|10645	1926.1286
lowly_expressed	lowly_expressed	CAMKV|79012	5.016
CAMLG|819	1100.8487	CAMLG|819	919.2886
CAMSAP1L1|23271	543.7818	CAMSAP1L1|23271	1332.8773
CAMSAP1|157922	844.8093	CAMSAP1|157922	1133.6069
CAMTA1|23261	543.7818	CAMTA1|23261	542.1797
CAMTA2|23125	512.9846	CAMTA2|23125	993.6161
CAND1|55832	3320.9641	CAND1|55832	2590.9713
CAND2|23066	314.9164	CAND2|23066	149.5668
CANT1|124583	2103.2672	CANT1|124583	1354.7652
CANX|821	20661.5962	CANX|821	17250.798
CAP1|10487	9324.3035	CAP1|10487	7480.6202
CAP2|10486	635.2676	CAP2|10486	472.4122
CAPG|822	4801.9469	CAPG|822	1757.8659
CAPN10|11132	116.6097	CAPN10|11132	107.834
CAPN11|11131	12.0773	CAPN11|11131	79.7994
CAPN12|147968	95.0788	CAPN12|147968	95.4628
CAPN13|92291	1404.2917	CAPN13|92291	113.9991
lowly_expressed	lowly_expressed	CAPN14|440854	13.6799
CAPN1|823	4714.9901	CAPN1|823	4297.7656
CAPN2|824	3977.3671	CAPN2|824	6666.2107
CAPN3|825	23.7561	CAPN3|825	147.2914
CAPN5|726	269.9284	CAPN5|726	401.2768
CAPN6|827	19.6257	CAPN6|827	261.2859
CAPN7|23473	708.9393	CAPN7|23473	920.2006
CAPN8|388743	130.4352	CAPN8|388743	106.2472
CAPN9|10753	50.7248	lowly_expressed	lowly_expressed
CAPNS1|826	8853.8915	CAPNS1|826	7626.0830000000005
lowly_expressed	lowly_expressed	CAPNS2|84290	16.8719
CAPRIN1|4076	11765.1321	CAPRIN1|4076	6831.2813
CAPRIN2|65981	163.6478	CAPRIN2|65981	284.0857
CAPS2|84698	13.2851	CAPS2|84698	34.1997
CAPSL|133690	16.6063	CAPSL|133690	6.8399
CAPS|828	850.546	CAPS|828	151.8468
CAPZA1|829	3580.6268	CAPZA1|829	2245.782
CAPZA2|830	2461.0582	CAPZA2|830	2313.2695
lowly_expressed	lowly_expressed	CAPZA3|93661	20.0638
CAPZB|832	6639.8147	CAPZB|832	4538.9877
CARD10|29775	641.9102	CARD10|29775	635.2029
CARD11|84433	209.5417	CARD11|84433	103.0552
CARD14|79092	57.6693	CARD14|79092	119.471
CARD16|114769	470.412	CARD16|114769	231.1902
CARD6|84674	237.9234	CARD6|84674	490.6521
CARD8|22900	502.115	CARD8|22900	524.8518
CARD9|64170	78.8046	CARD9|64170	88.4633
CARHSP1|23589	1502.9816	CARHSP1|23589	1428.1897
CARKD|55739	637.0792	CARKD|55739	1071.5914
CARM1|10498	1186.8997	CARM1|10498	794.8016
CARNS1|57571	29.2875	CARNS1|57571	31.9197
CARS2|79587	449.1469	CARS2|79587	495.5449
CARS|833	715.2799	CARS|833	881.4409
lowly_expressed	lowly_expressed	CARTPT|9607	27.3598
CASC1|55259	34.1185	CASC1|55259	31.9197
CASC2|255082	38.0436	CASC2|255082	45.1436
CASC3|22794	1572.4685	CASC3|22794	2996.808
CASC4|113201	3576.0978	CASC4|113201	2917.9207
CASC5|57082	274.7593	CASC5|57082	20.5198
CASD1|64921	11836.6903	CASD1|64921	540.3557
CASKIN1|57524	74.8734	CASKIN1|57524	13.8212
CASKIN2|57513	649.7302	CASKIN2|57513	951.8285
CASK|8573	500.6054	CASK|8573	1476.9722
CASP10|843	289.8559	CASP10|843	326.9494
CASP1|834	1086.3559	CASP1|834	607.3871
CASP2|835	1277.7816	CASP2|835	1017.3279
CASP3|836	567.3326	CASP3|836	460.5563
CASP4|837	978.5658	CASP4|837	951.2084
CASP6|839	267.211	CASP6|839	327.4054
CASP7|840	977.0561	CASP7|840	866.8491
CASP8AP2|9994	312.199	CASP8AP2|9994	544.0036
CASP8|841	563.4075	CASP8|841	528.0438
CASP9|842	384.3611	CASP9|842	328.3174
lowly_expressed	lowly_expressed	CASQ1|844	6.8399
CASQ2|845	70.3505	CASQ2|845	172.8226
CASS4|57091	50.4229	CASS4|57091	22.7998
CAST|831	5396.8792	CAST|831	7553.3151
CASZ1|54897	1244.8709	CASZ1|54897	961.6963
CATSPER1|117144	6.3406	lowly_expressed	lowly_expressed
CATSPER2P1|440278	9.1003	CATSPER2P1|440278	24.829
CATSPER2|117155	13.2851	CATSPER2|117155	42.4077
CATSPER3|347732	13.587	CATSPER3|347732	5.928
CATSPERB|79820	11.1715	CATSPERB|79820	37.3917
CATSPERG|57828	51.3287	CATSPERG|57828	18.6959
CAT|847	2028.6897	CAT|847	4675.3306
CAV1|857	2300.1277	CAV1|857	12607.8431
CAV2|858	778.3839999999999	CAV2|858	3219.3342
CBARA1|10367	1218.3008	CBARA1|10367	1208.8463
CBFA2T2|9139	518.1175	CBFA2T2|9139	658.4587
CBFA2T3|863	488.83	CBFA2T3|863	119.015
CBFB|865	821.5605	CBFB|865	726.8582
CBLB|868	596.0163	CBLB|868	560.4195
CBLC|23624	577.2964	CBLC|23624	166.8947
CBLL1|79872	688.1059	CBLL1|79872	739.6261
CBLN1|869	41.0629	CBLN1|869	43.7756
CBLN2|147381	208.334	lowly_expressed	lowly_expressed
CBLN3|643866	161.8362	CBLN3|643866	96.6712
CBLN4|140689	86.9568	CBLN4|140689	69.3114
CBL|867	445.9555	CBL|867	932.9685
CBR1|873	495.702	CBR1|873	983.5157
CBR3|874	413.0447	CBR3|874	429.0926
CBR4|84869	354.7746	CBR4|84869	431.8285
CBS|875	461.0521	CBS|875	83.9033
CBWD1|55871	617.7555	CBWD1|55871	658.4587
CBWD2|150472	1086.6579	CBWD2|150472	555.4036
CBWD3|445571	455.7351	CBWD3|445571	586.4113
CBWD5|220869	13.1673	lowly_expressed	lowly_expressed
CBWD6|644019	129.8313	CBWD6|644019	113.0871
CBX1|10951	1488.2291	CBX1|10951	1657.0907
CBX2|84733	103.2612	CBX2|84733	97.1272
CBX3|11335	4186.6068	CBX3|11335	2613.3151
CBX4|8535	440.8226	CBX4|8535	364.3411
CBX5|23468	2205.9245	CBX5|23468	3413.5887
CBX6|23466	340.8827	CBX6|23466	709.9863
CBX7|23492	491.2454	CBX7|23492	2072.5034
CBX8|57332	65.5195	CBX8|57332	121.295
CBY1|25776	801.4849	CBY1|25776	626.2517
CC2D1A|54862	863.5292	CC2D1A|54862	858.1851
CC2D1B|200014	503.0208	CC2D1B|200014	641.1309
CC2D2A|57545	262.9839	CC2D2A|57545	473.7802
CC2D2B|387707	5.7367	lowly_expressed	lowly_expressed
CCAR1|55749	1092.3946	CCAR1|55749	1124.943
CCBE1|147372	108.39399999999999	CCBE1|147372	24.6238
CCBL1|883	99.63799999999999	CCBL1|883	72.9594
CCBL2|56267	719.2806	CCBL2|56267	688.8235
CCBP2|1238	15.3986	CCBP2|1238	198.8144
CCDC101|112869	296.8004	CCDC101|112869	352.0292
CCDC102A|92922	213.4668	CCDC102A|92922	175.5586
CCDC102B|79839	100.8457	CCDC102B|79839	47.8796
CCDC103|388389	33.8165	CCDC103|388389	87.0953
CCDC104|112942	639.7966	CCDC104|112942	1170.5426
CCDC106|29903	269.6264	CCDC106|29903	195.1664
CCDC107|203260	454.3945	CCDC107|203260	599.8358
CCDC108|255101	14.7947	CCDC108|255101	6.3839
CCDC109A|90550	445.0497	CCDC109A|90550	430.0046
CCDC109B|55013	208.032	CCDC109B|55013	240.3101
CCDC110|256309	14.4928	CCDC110|256309	64.7515
CCDC111|201973	97.4429	CCDC111|201973	165.7273
CCDC112|153733	256.9452	CCDC112|153733	232.1021
CCDC113|29070	202.5972	CCDC113|29070	273.7483
CCDC114|93233	15.3986	CCDC114|93233	11.8559
CCDC115|84317	1056.7665	CCDC115|84317	992.2481
lowly_expressed	lowly_expressed	CCDC116|164592	9.1199
CCDC117|150275	1066.7303	CCDC117|150275	872.7769999999999
CCDC11|220136	6.6425	CCDC11|220136	26.9038
CCDC120|90060	354.4697	CCDC120|90060	374.37300000000005
CCDC121|79635	95.4109	CCDC121|79635	181.4865
CCDC122|160857	19.3237	CCDC122|160857	62.9275
CCDC123|84902	520.533	CCDC123|84902	375.741
CCDC124|115098	911.5366	CCDC124|115098	583.2193
CCDC125|202243	447.4651	CCDC125|202243	343.3653
CCDC126|90693	374.0953	CCDC126|90693	153.6708
CCDC127|133957	319.1435	CCDC127|133957	347.0132
lowly_expressed	lowly_expressed	CCDC129|223075	14.5919
CCDC12|151903	341.1846	CCDC12|151903	476.9722
CCDC130|81576	206.2204	CCDC130|81576	278.6138
CCDC132|55610	420.2911	CCDC132|55610	466.4843
CCDC134|79879	70.0485	CCDC134|79879	40.5837
CCDC136|64753	15.0967	CCDC136|64753	52.8956
CCDC137|339230	246.6795	CCDC137|339230	282.7177
CCDC138|165055	63.7079	CCDC138|165055	56.5435
lowly_expressed	lowly_expressed	CCDC13|152206	13.6799
CCDC141|285025	5.7367	CCDC141|285025	21.8878
CCDC142|84865	104.7708	CCDC142|84865	77.5194
CCDC144A|9720	12.8805	CCDC144A|9720	27.223000000000003
CCDC144B|284047	15.3986	CCDC144B|284047	28.2718
CCDC146|57639	41.3649	CCDC146|57639	153.2148
lowly_expressed	lowly_expressed	CCDC147|159686	11.3999
CCDC148|130940	22.9469	CCDC148|130940	29.6398
CCDC149|91050	622.5864	CCDC149|91050	663.9307
CCDC14|64770	719.8089	CCDC14|64770	1001.824
CCDC150|284992	19.3237	CCDC150|284992	7.7519
CCDC151|115948	6.0387	CCDC151|115948	5.016
CCDC152|100129792	71.3257	CCDC152|100129792	140.9348
lowly_expressed	lowly_expressed	CCDC153|283152	7.2959
CCDC157|550631	45.6674	CCDC157|550631	32.8545
CCDC158|339965	10.2657	CCDC158|339965	62.4715
CCDC159|126075	192.0296	CCDC159|126075	167.8067
CCDC15|80071	53.4422	CCDC15|80071	86.6393
CCDC160|347475	25.0605	CCDC160|347475	39.2157
CCDC163P|126661	21.4373	CCDC163P|126661	9.1199
lowly_expressed	lowly_expressed	CCDC17|149483	9.5759
CCDC18|343099	42.8926	CCDC18|343099	21.8878
CCDC19|25790	70.9543	CCDC19|25790	16.8719
CCDC21|64793	406.1003	CCDC21|64793	231.1902
CCDC22|28952	596.3031	CCDC22|28952	364.7332
CCDC23|374969	405.1945	CCDC23|374969	334.2453
CCDC24|149473	259.8468	CCDC24|149473	134.4961
CCDC25|55246	1002.7204	CCDC25|55246	1376.1970000000001
CCDC28A|25901	317.3319	CCDC28A|25901	404.4596
CCDC28B|79140	129.2274	CCDC28B|79140	25.0798
CCDC30|728621	60.6886	CCDC30|728621	72.5034
CCDC34|91057	460.1463	CCDC34|91057	332.4213
CCDC36|339834	10.8696	CCDC36|339834	35.1117
CCDC39|339829	18.1854	CCDC39|339829	23.4291
CCDC3|83643	266.3052	CCDC3|83643	2840.8573
CCDC40|55036	44.3842	CCDC40|55036	136.7989
CCDC41|51134	148.2492	CCDC41|51134	152.7588
CCDC43|124808	295.2907	CCDC43|124808	446.4204
CCDC45|90799	189.3122	CCDC45|90799	524.8518
CCDC46|201134	87.2587	CCDC46|201134	436.3885
CCDC47|57003	5349.3519	CCDC47|57003	3051.5276
CCDC48|79825	48.9132	CCDC48|79825	68.8554
CCDC50|152137	1351.4534	CCDC50|152137	2581.3953
CCDC51|79714	153.0802	CCDC51|79714	295.4856
CCDC52|152185	382.2475	CCDC52|152185	331.9653
CCDC53|51019	377.7185	CCDC53|51019	468.3083
CCDC55|84081	429.95300000000003	CCDC55|84081	996.808
CCDC56|28958	836.6511	CCDC56|28958	760.1459
CCDC57|284001	164.5536	CCDC57|284001	472.8682
CCDC58|131076	170.8942	CCDC58|131076	147.7428
CCDC59|29080	286.2327	CCDC59|29080	471.0442
CCDC61|729440	140.399	CCDC61|729440	124.031
CCDC64B|146439	235.50799999999998	CCDC64B|146439	549.9316
CCDC64|92558	167.271	CCDC64|92558	45.5996
CCDC65|85478	10.5677	CCDC65|85478	11.3999
CCDC66|285331	108.8892	CCDC66|285331	235.3944
lowly_expressed	lowly_expressed	CCDC67|159989	7.7519
CCDC68|80323	33.2127	CCDC68|80323	37.3917
CCDC69|26112	429.0472	CCDC69|26112	2813.4975
CCDC6|8030	2854.1753	CCDC6|8030	3140.9029
CCDC71|64925	320.3512	CCDC71|64925	476.5162
CCDC72|51372	690.8233	CCDC72|51372	952.5764
CCDC73|493860	27.8503	CCDC73|493860	40.8208
CCDC74A|90557	1761.4787	CCDC74A|90557	382.1249
CCDC74B|91409	219.2036	CCDC74B|91409	54.7196
CCDC75|253635	64.6137	CCDC75|253635	113.5431
CCDC76|54482	116.4617	CCDC76|54482	160.4423
CCDC77|84318	108.0921	CCDC77|84318	145.0068
CCDC78|124093	24.1547	lowly_expressed	lowly_expressed
CCDC7|221016	32.0049	CCDC7|221016	16.4159
CCDC80|151887	2142.8205	CCDC80|151887	18248.974
CCDC81|60494	7.2464	CCDC81|60494	5.016
CCDC82|79780	151.8724	CCDC82|79780	498.404
CCDC83|220047	5.7367	lowly_expressed	lowly_expressed
CCDC84|338657	40.1571	CCDC84|338657	114.4551
CCDC85A|114800	43.4784	CCDC85A|114800	202.9138
CCDC85B|11007	487.6222	CCDC85B|11007	198.8144
CCDC85C|317762	422.459	CCDC85C|317762	751.181
CCDC86|79080	589.0658	CCDC86|79080	558.4998
CCDC87|55231	42.8745	CCDC87|55231	11.3999
CCDC88A|55704	414.8563	CCDC88A|55704	737.3461
CCDC88B|283234	236.4138	CCDC88B|283234	265.3899
CCDC88C|440193	1743.0608	CCDC88C|440193	806.6575
CCDC89|220388	13.8889	CCDC89|220388	36.0237
CCDC8|83987	328.5034	CCDC8|83987	1489.2841
CCDC90A|63933	442.0303	CCDC90A|63933	327.8614
CCDC90B|60492	1406.9215	CCDC90B|60492	564.9339
CCDC91|55297	449.8806	CCDC91|55297	475.1482
CCDC92|80212	694.4465	CCDC92|80212	1040.1277
CCDC93|54520	339.0711	CCDC93|54520	975.3762
CCDC94|55702	545.8954	CCDC94|55702	363.8851
CCDC96|257236	96.0148	CCDC96|257236	76.6074
CCDC97|90324	1339.376	CCDC97|90324	1117.6471
CCDC99|54908	157.9111	CCDC99|54908	170.0866
CCDC9|26093	601.753	CCDC9|26093	387.1409
CCHCR1|54535	443.8419	CCHCR1|54535	332.4213
CCIN|881	14.4928	CCIN|881	9.1199
CCKAR|886	5.4348	lowly_expressed	lowly_expressed
CCL11|6356	18.4179	lowly_expressed	lowly_expressed
CCL13|6357	6.3406	CCL13|6357	155.0388
CCL14|6358	396.1365	CCL14|6358	2143.0278
CCL17|6361	12.0773	CCL17|6361	10.4879
CCL18|6362	30.7972	CCL18|6362	134.0629
CCL19|6363	749.3984	CCL19|6363	145.4628
CCL21|6366	243.9621	CCL21|6366	2844.9612
CCL22|6367	221.61900000000003	CCL22|6367	196.0784
CCL26|10344	9.9638	CCL26|10344	5.472
CCL28|56477	158.515	CCL28|56477	1964.8883
CCL2|6347	311.8971	CCL2|6347	988.1441
CCL3L1|6349	29.5744	CCL3L1|6349	70.5153
CCL3|6348	90.8819	CCL3|6348	271.3178
CCL4L2|388372	68.5389	CCL4L2|388372	134.0629
CCL4|6351	64.9157	CCL4|6351	222.9822
CCL5|6352	1022.9499	CCL5|6352	757.4099
CCL8|6355	21.1353	CCL8|6355	89.3753
CCM2|83605	821.2585	CCM2|83605	798.4496
CCNA1|8900	12.6812	CCNA1|8900	61.5595
CCNA2|890	311.0486	CCNA2|890	98.8554
CCNB1IP1|57820	387.9843	CCNB1IP1|57820	1109.8951
CCNB1|891	911.2346	CCNB1|891	160.5107
CCNB2|9133	448.3709	CCNB2|9133	57.4555
CCNB3|85417	7.8503	CCNB3|85417	15.0479
CCNC|892	1467.9996	CCNC|892	1217.5103
CCND1|595	24774.1086	CCND1|595	4745.554
CCND2|894	788.6497	CCND2|894	1796.1696
CCND3|896	1147.6484	CCND3|896	1541.2677
CCNDBP1|23582	1100.8487	CCNDBP1|23582	1333.3333
CCNE1|898	46.1958	CCNE1|898	18.6959
CCNE2|9134	238.1378	CCNE2|9134	30.5518
CCNF|899	380.4359	CCNF|899	88.4633
CCNG1|900	1660.3311	CCNG1|900	2476.0602
CCNG2|901	1898.8584	CCNG2|901	2046.5116
CCNH|902	726.7323	CCNH|902	613.5796
CCNI2|645121	52.3613	CCNI2|645121	15.4856
CCNI|10983	9640.4277	CCNI|10983	7324.6694
CCNJL|79616	47.4035	CCNJL|79616	104.8792
CCNJ|54619	55.2538	CCNJ|54619	202.9184
CCNK|8812	1200.1304	CCNK|8812	857.1181
CCNL1|57018	531.1006	CCNL1|57018	1616.0511
CCNL2|81669	740.3404	CCNL2|81669	1601.0032
lowly_expressed	lowly_expressed	CCNO|10309	32.8317
CCNT1|904	126.51	CCNT1|904	217.9663
CCNT2|905	678.4441	CCNT2|905	716.8263
CCNYL1|151195	428.1414	CCNYL1|151195	548.1076
CCNY|219771	1313.1078	CCNY|219771	2059.7355
CCPG1|9236	2539.0536	CCPG1|9236	3138.1578
CCR10|2826	20.5315	CCR10|2826	15.5039
