gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
CCDC129|223075	21.5781	CCDC129|223075	46.9474
CCDC12|151903	273.43	CCDC12|151903	374.1823
CCDC130|81576	248.9533	CCDC130|81576	292.5831
CCDC132|55610	617.0692	CCDC132|55610	618.4207
CCDC134|79879	63.4461	CCDC134|79879	72.9362
CCDC136|64753	18.0354	CCDC136|64753	72.3773
CCDC137|339230	239.2915	CCDC137|339230	336.1772
CCDC138|165055	51.8519	CCDC138|165055	62.876000000000005
CCDC13|152206	6.7633	CCDC13|152206	6.4273
CCDC141|285025	12.5604	CCDC141|285025	58.4048
CCDC142|84865	126.38	CCDC142|84865	148.0661
lowly_expressed	lowly_expressed	CCDC144A|9720	5.5889999999999995
CCDC144B|284047	9.9098	CCDC144B|284047	8.104
CCDC146|57639	200.0	CCDC146|57639	131.0616
CCDC147|159686	8.0515	CCDC147|159686	10.6191
CCDC148|130940	12.5604	CCDC148|130940	22.6354
CCDC149|91050	747.182	CCDC149|91050	664.2504
CCDC14|64770	907.5684	CCDC14|64770	1015.2384
CCDC150|284992	11.9163	CCDC150|284992	11.7369
CCDC151|115948	5.7971	CCDC151|115948	5.3095
CCDC152|100129792	139.0725	CCDC152|100129792	110.0694
CCDC153|283152	16.4251	CCDC153|283152	7.2657
CCDC157|550631	22.8728	CCDC157|550631	40.8275
CCDC158|339965	24.4767	CCDC158|339965	31.8572
CCDC159|126075	152.657	CCDC159|126075	143.6368
CCDC15|80071	104.0258	CCDC15|80071	100.6017
CCDC160|347475	36.715	CCDC160|347475	78.5252
CCDC163P|126661	17.7134	CCDC163P|126661	11.4574
CCDC17|149483	5.7971	CCDC17|149483	9.7807
CCDC18|343099	76.0129	CCDC18|343099	68.7584
CCDC19|25790	10.306	lowly_expressed	lowly_expressed
CCDC21|64793	301.1272	CCDC21|64793	307.1145
CCDC22|28952	383.18199999999996	CCDC22|28952	433.1684
CCDC23|374969	281.4815	CCDC23|374969	271.0656
CCDC24|149473	188.6828	CCDC24|149473	137.7209
CCDC25|55246	1285.6683	CCDC25|55246	1233.7675
CCDC28A|25901	492.1095	CCDC28A|25901	339.81
CCDC28B|79140	90.4992	CCDC28B|79140	120.1631
CCDC30|728621	111.7552	CCDC30|728621	97.8072
CCDC34|91057	279.5491	CCDC34|91057	293.4215
CCDC36|339834	24.7987	CCDC36|339834	14.8108
CCDC39|339829	45.9775	CCDC39|339829	30.1805
CCDC3|83643	1290.1771	CCDC3|83643	535.9833
CCDC40|55036	111.1111	CCDC40|55036	96.9688
CCDC41|51134	240.5797	CCDC41|51134	248.1507
CCDC43|124808	401.9324	CCDC43|124808	446.2801
CCDC45|90799	424.1546	CCDC45|90799	489.8742
CCDC46|201134	259.2593	CCDC46|201134	226.0743
CCDC47|57003	3520.1288	CCDC47|57003	3386.6429
CCDC48|79825	74.3961	CCDC48|79825	110.9413
CCDC50|152137	2210.306	CCDC50|152137	1808.5942
CCDC51|79714	287.2786	CCDC51|79714	249.2685
CCDC52|152185	379.066	CCDC52|152185	329.7499
CCDC53|51019	388.7279	CCDC53|51019	375.0206
CCDC55|84081	818.3575	CCDC55|84081	783.2957
CCDC56|28958	614.8953	CCDC56|28958	894.1028
CCDC57|284001	533.3333	CCDC57|284001	588.5197
CCDC58|131076	145.5717	CCDC58|131076	158.7271
CCDC59|29080	353.9452	CCDC59|29080	314.3802
CCDC61|729440	126.8921	CCDC61|729440	110.6618
CCDC62|84660	7.0853	CCDC62|84660	5.8684
CCDC64B|146439	179.7101	CCDC64B|146439	341.2073
CCDC64|92558	73.43	CCDC64|92558	199.8061
CCDC65|85478	21.9002	CCDC65|85478	13.693
CCDC66|285331	345.0113	CCDC66|285331	260.1475
CCDC68|80323	75.0403	CCDC68|80323	34.0928
CCDC69|26112	1530.4348	CCDC69|26112	864.6153
CCDC6|8030	2752.3349	CCDC6|8030	2968.3077
CCDC71|64925	479.2271	CCDC71|64925	491.8303
CCDC72|51372	1337.8422	CCDC72|51372	1194.9241
CCDC73|493860	47.2174	CCDC73|493860	36.1942
CCDC74A|90557	270.8535	CCDC74A|90557	145.8724
CCDC74B|91409	70.5314	CCDC74B|91409	63.4349
CCDC75|253635	119.8068	CCDC75|253635	98.0866
CCDC76|54482	310.4412	CCDC76|54482	318.5272
CCDC77|84318	177.4557	CCDC77|84318	152.0203
CCDC78|124093	20.934	CCDC78|124093	7.8246
CCDC7|221016	41.7424	CCDC7|221016	37.639
CCDC80|151887	17377.1337	CCDC80|151887	4654.5032
CCDC81|60494	8.0515	CCDC81|60494	11.4574
CCDC82|79780	432.8502	CCDC82|79780	486.5208
CCDC84|338657	82.7697	CCDC84|338657	85.7909
CCDC85A|114800	68.59899999999999	CCDC85A|114800	52.257
CCDC85B|11007	98.5507	CCDC85B|11007	124.6343
CCDC85C|317762	627.9066	CCDC85C|317762	741.3867
CCDC86|79080	431.095	CCDC86|79080	641.288
CCDC87|55231	16.7472	CCDC87|55231	12.2958
CCDC88A|55704	871.4976	CCDC88A|55704	951.8034
CCDC88B|283234	109.1787	CCDC88B|283234	194.77599999999998
CCDC88C|440193	1152.3349	CCDC88C|440193	884.4562
CCDC89|220388	43.8003	CCDC89|220388	43.0352
CCDC8|83987	422.2222	CCDC8|83987	962.7019
CCDC90A|63933	266.6667	CCDC90A|63933	319.9691
CCDC90B|60492	653.7649	CCDC90B|60492	660.3996
CCDC91|55297	406.1192	CCDC91|55297	470.3127
CCDC92|80212	1001.2882	CCDC92|80212	825.2130000000001
CCDC93|54520	1155.8776	CCDC93|54520	1212.2499
CCDC94|55702	245.0886	CCDC94|55702	274.9779
CCDC96|257236	39.6135	CCDC96|257236	51.6981
CCDC97|90324	1104.3478	CCDC97|90324	1088.454
CCDC99|54908	242.19	CCDC99|54908	210.7046
CCDC9|26093	190.6602	CCDC9|26093	232.2222
CCHCR1|54535	253.1401	CCHCR1|54535	329.7499
CCIN|881	9.9839	CCIN|881	5.5889999999999995
CCKAR|886	5.475	lowly_expressed	lowly_expressed
CCL11|6356	8.0515	CCL11|6356	6.9862
CCL13|6357	24.4767	CCL13|6357	19.282
CCL14|6358	1543.2593	CCL14|6358	1124.461
CCL16|6360	5.475	lowly_expressed	lowly_expressed
CCL17|6361	19.6457	CCL17|6361	15.9286
CCL18|6362	192.9147	CCL18|6362	1293.849
CCL19|6363	1259.9034	CCL19|6363	305.1583
lowly_expressed	lowly_expressed	CCL20|6364	5.0301
CCL21|6366	1128.8245	CCL21|6366	3315.1039
CCL22|6367	336.5539	CCL22|6367	108.1468
CCL23|6368	28.3414	CCL23|6368	36.0489
CCL26|10344	8.3736	lowly_expressed	lowly_expressed
CCL28|56477	233.1723	CCL28|56477	1184.305
CCL2|6347	446.6989	CCL2|6347	458.2964
CCL3L1|6349	31.1916	CCL3L1|6349	36.8733
lowly_expressed	lowly_expressed	CCL3L3|414062	7.8385
CCL3|6348	83.0918	CCL3|6348	153.697
CCL4L2|388372	46.6989	CCL4L2|388372	60.9199
CCL4|6351	81.8035	CCL4|6351	90.8209
CCL5|6352	1370.3704	CCL5|6352	773.7944
CCL8|6355	61.8357	CCL8|6355	45.2707
CCM2|83605	717.2303	CCM2|83605	789.1641
CCNA1|8900	5.7971	CCNA1|8900	15.0902
CCNA2|890	304.0161	CCNA2|890	265.0854
CCNB1IP1|57820	533.9775	CCNB1IP1|57820	819.0651
CCNB1|891	597.7456	CCNB1|891	464.4443
CCNB2|9133	219.6457	CCNB2|9133	198.1294
CCNB3|85417	26.7311	CCNB3|85417	10.0602
CCNC|892	1338.1643	CCNC|892	1216.1622
CCND1|595	8608.3736	CCND1|595	7119.2884
CCND2|894	1322.3833	CCND2|894	2352.9609
CCND3|896	1242.19	CCND3|896	1380.7577
CCNDBP1|23582	1157.4879	CCNDBP1|23582	909.3272
CCNE1|898	42.5121	CCNE1|898	54.4926
CCNE2|9134	133.9324	CCNE2|9134	83.7481
CCNF|899	390.6602	CCNF|899	318.8514
CCNG1|900	3509.8229	CCNG1|900	2862.3965
CCNG2|901	3554.2673	CCNG2|901	2390.6865
CCNH|902	484.8889	CCNH|902	454.3115
CCNI2|645121	12.4928	CCNI2|645121	19.0556
CCNI|10983	8104.0258	CCNI|10983	6550.8444
CCNJL|79616	92.1095	CCNJL|79616	189.7459
CCNJ|54619	247.6651	CCNJ|54619	251.5041
CCNK|8812	1019.7585	CCNK|8812	941.176
CCNL1|57018	883.4138	CCNL1|57018	1041.786
CCNL2|81669	1456.3607	CCNL2|81669	1627.7906
CCNO|10309	177.4557	CCNO|10309	56.7282
CCNT1|904	318.1965	CCNT1|904	278.8901
CCNT2|905	841.2238	CCNT2|905	950.6856
CCNYL1|151195	485.9903	CCNYL1|151195	416.93800000000005
CCNY|219771	2485.0242	CCNY|219771	2049.7587
CCPG1|9236	2732.9662	CCPG1|9236	2183.4555
CCR10|2826	12.2383	CCR10|2826	19.282
CCR1|1230	219.0016	CCR1|1230	319.9691
CCR2|729230	356.1997	CCR2|729230	244.5179
CCR4|1233	102.7375	CCR4|1233	29.6216
CCR5|1234	437.6812	CCR5|1234	312.1446
CCR6|1235	181.7198	CCR6|1235	163.9667
CCR7|1236	311.4332	CCR7|1236	84.1142
CCR8|1237	22.8663	lowly_expressed	lowly_expressed
CCRL1|51554	94.686	CCRL1|51554	50.0214
CCRL2|9034	103.3816	CCRL2|9034	106.4701
CCRN4L|25819	109.5008	CCRN4L|25819	157.0504
CCS|9973	241.5459	CCS|9973	296.216
CCT2|10576	2832.8502	CCT2|10576	3467.6831
CCT3|7203	5676.0064	CCT3|7203	6191.7523
CCT4|10575	3367.1498	CCT4|10575	4234.4913
CCT5|22948	3417.7134	CCT5|22948	4150.0977
CCT6A|908	3781.6425	CCT6A|908	4102.5913
CCT6B|10693	95.3301	CCT6B|10693	113.4563
CCT6P1|643253	78.2609	CCT6P1|643253	67.0678
CCT7|10574	3338.4863	CCT7|10574	4731.3517
CCT8|10694	3387.7617	CCT8|10694	3561.0191
CD101|9398	58.6151	CD101|9398	48.6241
CD109|135228	1481.1594	CD109|135228	930.8252
CD14|929	1323.9936	CD14|929	1669.4286
CD151|977	5216.1031	CD151|977	4722.1298
CD160|11126	22.2222	CD160|11126	22.6354
CD163L1|283316	138.8084	CD163L1|283316	151.7408
CD163|9332	1374.8792	CD163|9332	913.7984
CD164L2|388611	13.8486	CD164L2|388611	58.6843
CD164|8763	9870.2093	CD164|8763	9783.5108
CD177|57126	31.561999999999998	lowly_expressed	lowly_expressed
CD180|4064	209.9839	CD180|4064	399.0532
CD19|930	31.8841	CD19|930	25.9888
CD1A|909	22.8663	CD1A|909	12.2958
CD1B|910	18.0354	lowly_expressed	lowly_expressed
CD1C|911	200.0	CD1C|911	112.3385
CD1D|912	82.1256	CD1D|912	81.3197
CD1E|913	188.0837	CD1E|913	72.9362
CD200R1|131450	104.0258	CD200R1|131450	39.9612
CD200|4345	477.6167	CD200|4345	527.5998
CD207|50489	122.3833	CD207|50489	146.1518
CD209|30835	287.9227	CD209|30835	234.1783
CD226|10666	73.43	CD226|10666	33.2544
CD22|933	334.9436	CD22|933	229.7071
CD244|51744	35.7488	CD244|51744	48.0652
CD247|919	183.5749	CD247|919	109.2646
CD248|57124	1533.9775	CD248|57124	4492.7022
CD24|100133941	17200.0	CD24|100133941	13758.1145
CD274|29126	32.8502	CD274|29126	28.2244
CD276|80381	2448.6312	CD276|80381	2536.2795
CD27|939	432.9404	CD27|939	181.5273
CD28|940	174.5572	CD28|940	107.5879
CD2AP|23607	1643.4783	CD2AP|23607	1595.9335
CD2BP2|10421	1426.0870000000002	CD2BP2|10421	1531.3807
CD2|914	601.2882	CD2|914	306.5556
CD300A|11314	188.7279	CD300A|11314	336.7361
CD300C|10871	29.6296	CD300C|10871	46.9474
CD300LB|124599	22.5443	CD300LB|124599	28.2244
CD300LF|146722	68.59899999999999	CD300LF|146722	135.2533
CD300LG|146894	318.8406	CD300LG|146894	465.0032
CD302|9936	2243.8873	CD302|9936	1578.0878
CD320|51293	652.496	CD320|51293	497.4193
CD33|945	112.0773	CD33|945	110.3824
CD34|947	4875.6844	CD34|947	2881.9579
CD36|948	6375.2013	CD36|948	3362.0514
CD37|951	681.8035	CD37|951	667.3243
CD38|952	105.314	CD38|952	52.257
CD3D|915	202.5765	CD3D|915	110.9413
CD3EAP|10849	517.6393	CD3EAP|10849	611.7139
CD3E|916	670.8535	CD3E|916	365.7988
CD3G|917	111.4332	CD3G|917	47.2269
CD40LG|959	98.5507	CD40LG|959	76.0101
CD40|958	400.3221	CD40|958	410.7901
CD44|960	9280.1932	CD44|960	7930.4843
CD46|4179	5204.1868	CD46|4179	4150.936
CD47|961	2312.3994	CD47|961	3691.5218
CD48|962	688.2448	CD48|962	551.9119
CD4|920	2093.3977	CD4|920	1950.8337
CD52|1043	630.9179	CD52|1043	433.9844
CD53|963	1207.4074	CD53|963	1183.7461
CD55|1604	788.7279	CD55|1604	795.312
CD58|965	202.8986	CD58|965	183.59799999999998
CD59|966	14372.9469	CD59|966	23981.4781
CD5|921	344.6055	CD5|921	161.2421
CD63|967	10152.3349	CD63|967	11419.4055
CD68|968	3187.4396	CD68|968	4270.5402
CD69|969	106.6023	CD69|969	48.9036
CD6|923	324.9597	CD6|923	216.0141
CD72|971	68.59899999999999	CD72|971	70.1417
CD74|972	49172.6248	CD74|972	41892.4848
CD79A|973	687.6006	CD79A|973	380.3301
CD79B|974	160.7085	CD79B|974	147.2696
CD7|924	91.4654	CD7|924	70.1417
CD80|941	28.3414	CD80|941	24.5915
CD81|975	12532.3671	CD81|975	13283.61
CD82|3732	629.9517	CD82|3732	1391.9357
CD83|9308	501.4493	CD83|9308	482.329
CD84|8832	204.8309	CD84|8832	180.5241
CD86|942	274.7182	CD86|942	215.7347
CD8A|925	412.8824	CD8A|925	215.1758
CD8B|926	143.3172	CD8B|926	96.1305
CD93|22918	5104.3478	CD93|22918	2615.9224
CD96|10225	314.9758	CD96|10225	159.0065
CD97|976	1013.8486	CD97|976	1174.2449
CD99L2|83692	1740.7407	CD99L2|83692	1503.4358
CD99|4267	4336.5539	CD99|4267	1094.0430000000001
CD9|928	6946.8599	CD9|928	6565.3757
CDADC1|81602	219.9678	CDADC1|81602	183.3186
CDAN1|146059	378.4219	CDAN1|146059	362.7249
CDA|978	69.8873	CDA|978	20.3998
CDC123|8872	1042.7536	CDC123|8872	986.6647
CDC14A|8556	1125.6039	CDC14A|8556	442.0884
CDC14B|8555	372.3027	CDC14B|8555	400.171
lowly_expressed	lowly_expressed	CDC14C|168448	5.0301
CDC16|8881	1369.7262	CDC16|8881	1391.3768
CDC20|991	305.314	CDC20|991	238.0906
CDC23|8697	989.372	CDC23|8697	825.4925
CDC25A|993	79.5491	CDC25A|993	95.851
CDC25B|994	624.7987	CDC25B|994	731.5976
CDC25C|995	57.648999999999994	CDC25C|995	47.2269
CDC26|246184	80.132	CDC26|246184	100.1434
CDC27|996	2363.9291	CDC27|996	1481.3594
CDC34|997	297.5845	CDC34|997	456.3403
CDC37L1|55664	442.5121	CDC37L1|55664	383.6835
CDC37|11140	2025.4428	CDC37|11140	2387.3331
CDC40|51362	904.6699	CDC40|51362	729.9209
CDC42BPA|8476	1710.467	CDC42BPA|8476	1710.2281
CDC42BPB|9578	3614.8148	CDC42BPB|9578	3413.47
CDC42BPG|55561	274.0741	CDC42BPG|55561	626.8042
CDC42EP1|11135	820.6119	CDC42EP1|11135	1352.8128
CDC42EP2|10435	369.7262	CDC42EP2|10435	378.9329
CDC42EP3|10602	551.6908	CDC42EP3|10602	678.5023
CDC42EP4|23580	2007.0853	CDC42EP4|23580	3295.822
CDC42EP5|148170	66.6667	CDC42EP5|148170	125.7521
CDC42SE1|56882	2891.3784	CDC42SE1|56882	3014.0451
CDC42SE2|56990	2253.7842	CDC42SE2|56990	1510.9809
CDC42|998	8104.9919	CDC42|998	6246.2449
CDC45|8318	56.3607	CDC45|8318	93.0565
CDC5L|988	1192.2705	CDC5L|988	1097.6758
CDC6|990	268.9211	CDC6|990	232.78099999999998
CDC73|79577	1278.2609	CDC73|79577	983.6606
CDC7|8317	158.7762	CDC7|8317	176.0529
CDCA2|157313	101.7713	CDCA2|157313	91.3798
CDCA3|83461	111.6167	CDCA3|83461	103.0245
CDCA4|55038	261.8357	CDCA4|55038	264.9177
CDCA5|113130	251.2077	CDCA5|113130	234.7372
CDCA7L|55536	401.2464	CDCA7L|55536	730.0746
CDCA7|83879	66.6667	CDCA7|83879	159.5654
CDCA8|55143	262.4799	CDCA8|55143	190.8637
CDCP1|64866	845.7327	CDCP1|64866	934.757
CDH10|1008	7.0853	lowly_expressed	lowly_expressed
CDH11|1009	3164.8953	CDH11|1009	2881.9579
CDH12|1010	6.1192	CDH12|1010	9.2218
CDH13|1012	370.6924	CDH13|1012	404.9217
CDH17|1015	10.306	lowly_expressed	lowly_expressed
CDH19|28513	23.1884	CDH19|28513	12.2958
CDH1|999	1153.6232	lowly_expressed	lowly_expressed
CDH20|28316	7.4074	lowly_expressed	lowly_expressed
CDH22|64405	7.7295	CDH22|64405	31.5777
CDH23|64072	302.0483	CDH23|64072	479.1517
CDH24|64403	160.0644	CDH24|64403	108.7057
CDH26|60437	8.3736	CDH26|60437	10.6191
CDH2|1000	91.4654	CDH2|1000	76.0101
CDH3|1001	527.2142	CDH3|1001	3418.2206
lowly_expressed	lowly_expressed	CDH4|1002	29.901
CDH5|1003	2865.3784	CDH5|1003	1815.8599
CDH6|1004	246.3768	CDH6|1004	63.4349
CDH8|1006	9.9839	CDH8|1006	51.4186
CDHR1|92211	14.8148	CDHR1|92211	18.7231
CDHR3|222256	16.5411	CDHR3|222256	37.1416
CDIPT|10423	1829.6296	CDIPT|10423	1617.1716
CDK10|8558	286.9565	CDK10|8558	651.3957
CDK11A|728642	111.971	CDK11A|728642	158.8835
CDK11B|984	604.6151	CDK11B|984	690.6415
CDK12|51755	1643.1562	CDK12|51755	1518.5261
CDK13|8621	1198.0676	CDK13|8621	1162.2286
CDK14|5218	967.1498	CDK14|5218	828.2869
CDK15|65061	18.3575	lowly_expressed	lowly_expressed
CDK16|5127	1590.3382	CDK16|5127	1684.7983
CDK17|5128	860.8696	CDK17|5128	752.2768
CDK18|5129	119.4847	CDK18|5129	356.8564
CDK19|23097	931.9871	CDK19|23097	786.9676
CDK1|983	534.9436	CDK1|983	324.7198
CDK20|23552	104.3478	CDK20|23552	165.4338
CDK2AP1|8099	1656.6828	CDK2AP1|8099	2816.8463
CDK2AP2|10263	567.7939	CDK2AP2|10263	663.9709
CDK2|1017	617.3913	CDK2|1017	612.5523
CDK3|1018	56.3607	CDK3|1018	110.7764
CDK4|1019	2211.2721	CDK4|1019	2454.4009
CDK5R1|8851	75.3623	CDK5R1|8851	117.9275
CDK5RAP1|51654	415.1369	CDK5RAP1|51654	422.2475
CDK5RAP2|55755	1551.3688	CDK5RAP2|55755	1827.3173
CDK5RAP3|80279	1149.1143	CDK5RAP3|80279	1595.3746
CDK5|1020	201.9324	CDK5|1020	242.5618
CDK6|1021	1006.7633	CDK6|1021	1440.2803
CDK7|1022	398.7118	CDK7|1022	364.9604
CDK8|1024	179.06599999999997	CDK8|1024	194.2171
CDK9|1025	891.4654	CDK9|1025	869.6454
CDKAL1|54901	350.7246	CDKAL1|54901	330.5882
CDKL1|8814	49.9195	CDKL1|8814	25.9888
CDKL2|8999	15.4589	CDKL2|8999	16.4875
CDKL3|51265	46.6634	CDKL3|51265	23.3731
CDKL5|6792	96.9404	CDKL5|6792	70.1417
CDKN1A|1026	2829.6296	CDKN1A|1026	1243.5482
CDKN1B|1027	2206.7633	CDKN1B|1027	1378.5221
CDKN1C|1028	363.285	CDKN1C|1028	478.4168
CDKN2AIPNL|91368	328.5024	CDKN2AIPNL|91368	325.8376
CDKN2AIP|55602	590.3382	CDKN2AIP|55602	519.2163
CDKN2A|1029	47.0209	CDKN2A|1029	29.901
CDKN2BAS|100048912	6.4412	lowly_expressed	lowly_expressed
CDKN2B|1030	616.7472	CDKN2B|1030	161.5215
CDKN2C|1031	721.7391	CDKN2C|1031	411.0695
CDKN2D|1032	113.0435	CDKN2D|1032	79.3635
CDKN3|1033	81.8035	CDKN3|1033	71.8184
CDNF|441549	30.9179	CDNF|441549	31.0188
CDO1|1036	331.0789	CDO1|1036	170.4639
CDON|50937	525.6039	CDON|50937	1410.6587
CDR1|1038	22.6023	CDR1|1038	10.0825
CDR2L|30850	399.0338	CDR2L|30850	501.0521
CDR2|1039	474.3961	CDR2|1039	619.5385
lowly_expressed	lowly_expressed	CDRT15P|94158	11.7369
CDRT4|284040	244.1449	CDRT4|284040	300.377
CDS1|1040	803.2206	CDS1|1040	790.2819
CDS2|8760	1245.4106	CDS2|8760	873.2782
CDSN|1041	93.0757	CDSN|1041	53.0953
CDT1|81620	95.6522	CDT1|81620	170.1845
CDV3|55573	8556.5217	CDV3|55573	3445.0477
CDX1|1044	14.1707	CDX1|1044	38.2845
CDYL2|124359	135.5878	CDYL2|124359	76.569
CDYL|9425	552.6569999999999	CDYL|9425	679.8995
CEACAM19|56971	26.409000000000002	CEACAM19|56971	72.0979
CEACAM1|634	206.1192	CEACAM1|634	848.4073
CEACAM21|90273	21.9002	CEACAM21|90273	17.3258
CEACAM5|1048	5.153	CEACAM5|1048	12.2958
CEACAM6|4680	26.087	CEACAM6|4680	151.4614
CEBPA|1050	642.5121	CEBPA|1050	583.769
CEBPB|1051	344.6055	CEBPB|1051	801.4598
CEBPD|1052	254.7504	CEBPD|1052	267.1533
CEBPG|1054	843.4783	CEBPG|1054	889.4863
CEBPZ|10153	1385.8293	CEBPZ|10153	1466.2691
CECR1|51816	2245.7327	CECR1|51816	2933.3766
CECR2|27443	14.8148	CECR2|27443	20.1203
CECR5|27440	423.1884	CECR5|27440	654.4696
CECR6|27439	21.5781	CECR6|27439	65.95
CECR7|100130418	36.715	CECR7|100130418	70.7006
CELF1|10658	2283.4138	CELF1|10658	2213.7953
CELF2|10659	1856.3607	CELF2|10659	1255.0056
lowly_expressed	lowly_expressed	CELF4|56853	30.4599
CELF5|60680	55.7166	CELF5|60680	61.1993
CELF6|60677	36.5926	CELF6|60677	64.1755
CELSR1|9620	5366.1836	CELSR1|9620	2098.1034
CELSR2|1952	1845.4106	CELSR2|1952	3387.2018
CELSR3|1951	148.7601	CELSR3|1951	83.8347
CEL|1056	9.6618	CEL|1056	26.2682
CEMP1|752014	125.2689	CEMP1|752014	134.93200000000002
CENPA|1058	39.9356	CENPA|1058	41.6379
CENPBD1|92806	268.9211	CENPBD1|92806	375.85900000000004
CENPB|1059	1542.6731	CENPB|1059	1762.7645
CENPC1|1060	480.1932	CENPC1|1060	379.4918
CENPE|1062	188.7279	CENPE|1062	138.3273
CENPF|1063	1040.2576	CENPF|1063	782.4573
CENPH|64946	161.9968	CENPH|64946	143.6368
CENPI|2491	50.5636	CENPI|2491	30.1805
CENPJ|55835	168.438	CENPJ|55835	179.1268
CENPK|64105	79.5491	CENPK|64105	59.8021
CENPL|91687	130.1127	CENPL|91687	112.618
CENPM|79019	66.3446	CENPM|79019	73.7745
CENPN|55839	174.5217	CENPN|55839	254.6843
CENPO|79172	116.1031	CENPO|79172	131.2907
CENPP|401541	182.4412	CENPP|401541	94.3923
CENPQ|55166	136.876	CENPQ|55166	89.9826
CENPT|80152	248.6312	CENPT|80152	419.1736
CENPV|201161	73.43	CENPV|201161	141.9601
CENPW|387103	113.0435	CENPW|387103	126.8699
CEP110|11064	523.6715	CEP110|11064	607.2428
CEP120|153241	783.5749	CEP120|153241	558.0597
CEP135|9662	255.0725	CEP135|9662	202.88
CEP152|22995	98.8728	CEP152|22995	90.5415
CEP164|22897	562.9630000000001	CEP164|22897	643.2917
CEP170|9859	1127.5362	CEP170|9859	1206.3815
CEP192|55125	644.4444	CEP192|55125	747.5262
CEP250|11190	626.087	CEP250|11190	659.7792
CEP290|80184	470.789	CEP290|80184	504.2518
CEP350|9857	2003.5427	CEP350|9857	1438.3242
CEP55|55165	218.6795	CEP55|55165	159.5654
CEP57|9702	1027.3752	CEP57|9702	866.8509
CEP63|80254	668.2544	CEP63|80254	633.2818
CEP68|23177	1660.1256	CEP68|23177	1332.9943
CEP70|80321	296.9404	CEP70|80321	302.0844
CEP72|55722	51.2077	CEP72|55722	61.7582
CEP76|79959	130.4348	CEP76|79959	135.8122
CEP78|84131	217.7134	CEP78|84131	309.6295
CEP97|79598	193.5588	CEP97|79598	154.2559
CEPT1|10390	814.1707	CEPT1|10390	740.54
CERCAM|51148	1592.9147	CERCAM|51148	1529.1451
CERKL|375298	80.4799	CERKL|375298	133.9986
CERK|64781	865.7005	CERK|64781	955.9952
CES1|1066	409.0177	CES1|1066	542.9695
CES2|8824	1201.2882	CES2|8824	1395.0096
CES3|23491	11.5942	CES3|23491	174.0968
lowly_expressed	lowly_expressed	CES4|51716	8.9424
CES8|283848	39.6135	CES8|283848	65.6705
CETN2|1069	1069.5652	CETN2|1069	1076.1582
CETN3|1070	274.0741	CETN3|1070	290.627
CETP|1071	36.0709	CETP|1071	12.0163
CFB|629	5599.7907	CFB|629	3297.7054
CFDP1|10428	664.7343	CFDP1|10428	1019.4301
CFD|1675	794.525	CFD|1675	546.8818
lowly_expressed	lowly_expressed	CFHR5|81494	12.0163
CFH|3075	5186.7955	CFH|3075	2657.0015
CFI|3426	675.6844	CFI|3426	825.7719
CFL1|1072	12458.6151	CFL1|1072	13932.2113
CFL2|1073	539.7746	CFL2|1073	448.5157
CFLAR|8837	1056.3607	CFLAR|8837	958.2308
lowly_expressed	lowly_expressed	CFLP1|142913	6.1479
CFP|5199	44.1224	CFP|5199	39.6818
CFTR|1080	30.2738	CFTR|1080	113.7358
CG030|116828	45.4106	CG030|116828	51.4186
lowly_expressed	lowly_expressed	CGB7|94027	10.0546
CGGBP1|8545	2720.1353	CGGBP1|8545	2226.105
CGNL1|84952	1507.2464	CGNL1|84952	2093.0733
CGN|57530	1038.0032	CGN|57530	868.8071
CGREF1|10669	165.5974	CGREF1|10669	223.0311
CGRRF1|10668	258.2931	CGRRF1|10668	195.8938
CH25H|9023	151.0467	CH25H|9023	354.6208
CHAC1|79094	28.3414	CHAC1|79094	23.4737
CHAC2|494143	25.4428	CHAC2|494143	40.2407
CHADL|150356	28.6731	CHADL|150356	54.7776
CHAD|1101	784.8631	CHAD|1101	307.1145
CHAF1A|10036	372.6248	CHAF1A|10036	318.8514
CHAF1B|8208	167.4718	CHAF1B|8208	224.67700000000002
CHCHD10|400916	327.8583	CHCHD10|400916	354.3414
CHCHD1|118487	530.4348	CHCHD1|118487	464.4443
CHCHD2|51142	3720.4509	CHCHD2|51142	3048.5096
CHCHD3|54927	817.7134	CHCHD3|54927	702.2554
CHCHD4|131474	263.124	CHCHD4|131474	267.4327
CHCHD5|84269	314.9758	CHCHD5|84269	278.8901
CHCHD6|84303	68.9211	CHCHD6|84303	164.31599999999997
CHCHD7|79145	363.9291	CHCHD7|79145	341.4867
CHCHD8|51287	653.1401	CHCHD8|51287	658.6614
CHD1L|9557	717.2303	CHD1L|9557	1102.9854
CHD1|1105	1228.0193	CHD1|1105	1094.3224
CHD2|1106	2918.8406	CHD2|1106	2745.8663
CHD3|1107	6252.818	CHD3|1107	4957.7054
CHD4|1108	7735.4944	CHD4|1108	7884.2466
CHD6|84181	2127.5362	CHD6|84181	1937.4202
CHD7|55636	658.9372	CHD7|55636	908.7683
CHD8|57680	2724.6377	CHD8|57680	2383.1414
CHD9|80205	1426.7311	CHD9|80205	1868.9552
CHDH|55349	654.4283	CHDH|55349	666.7654
CHEK1|1111	149.1143	CHEK1|1111	169.6256
CHEK2|11200	161.9968	CHEK2|11200	211.5429
