gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
ACAD9|28976	615.504	ACAD9|28976	881.1475
ACADL|33	34.4605	ACADL|33	80.4813
ACADM|34	1599.3559	ACADM|34	1407.0259
ACADSB|36	628.3414	ACADSB|36	1192.409
ACADS|35	357.4879	ACADS|35	333.6622
ACADVL|37	2504.3156	ACADVL|37	4840.0042
ACAN|176	55.7166	ACAN|176	8.3835
ACAP1|9744	183.2528	ACAP1|9744	130.5027
ACAP2|23527	1597.7456	ACAP2|23527	1367.0647
ACAP3|116983	323.6908	ACAP3|116983	454.6831
ACAT1|38	1031.8841	ACAT1|38	1021.3862
ACAT2|39	507.6908	ACAT2|39	498.4728
ACBD3|64746	1447.0209	ACBD3|64746	1474.6526
ACBD4|79777	145.5717	ACBD4|79777	179.9652
ACBD5|91452	793.5588	ACBD5|91452	643.2917
ACBD6|84320	419.6457	ACBD6|84320	342.0456
ACBD7|414149	41.5459	ACBD7|414149	79.9224
ACCN1|40	6.7633	lowly_expressed	lowly_expressed
ACCN2|41	57.649	ACCN2|41	226.3537
ACCN3|9311	5.7971	ACCN3|9311	7.5451
ACCS|84680	137.5201	ACCS|84680	217.9702
ACD|65057	286.3124	ACD|65057	338.6922
ACE2|59272	11.9163	ACE2|59272	26.8271
lowly_expressed	lowly_expressed	ACER1|125981	5.589
ACER2|340485	281.1594	ACER2|340485	148.6669
ACER3|55331	291.1433	ACER3|55331	493.507
ACE|1636	710.789	ACE|1636	537.3805
ACHE|43	17.3913	ACHE|43	21.2381
ACIN1|22985	2868.9211	ACIN1|22985	3242.1677
ACLY|47	2758.4541	ACLY|47	4228.3434
ACN9|57001	183.8969	ACN9|57001	221.6031
ACO1|48	1439.6135	ACO1|48	1223.9868
ACO2|50	2053.2528	ACO2|50	2259.9742
ACOT11|26027	10.2834	ACOT11|26027	34.6517
ACOT13|55856	581.7005	ACOT13|55856	555.5866
ACOT1|641371	486.9565	ACOT1|641371	411.9079
ACOT2|10965	297.9066	ACOT2|10965	273.0217
ACOT4|122970	217.0692	ACOT4|122970	122.1192
ACOT7|11332	176.8116	ACOT7|11332	402.6861
ACOT8|10005	223.8647	ACOT8|10005	283.0064
ACOT9|23597	458.6151	ACOT9|23597	527.3203
ACOX1|51	1553.4944	ACOX1|51	1472.6964
ACOX2|8309	142.9952	ACOX2|8309	203.9978
ACOX3|8310	933.6554	ACOX3|8310	730.4798
ACP1|52	1271.4976	ACP1|52	1348.9005
ACP2|53	1225.4428	ACP2|53	1133.4453
ACP5|54	1064.4122	ACP5|54	2550.2519
ACP6|51205	203.5427	ACP6|51205	222.4414
ACPL2|92370	577.4557	ACPL2|92370	1356.1662
ACPP|55	29.3076	ACPP|55	25.4299
ACRBP|84519	27.0531	ACRBP|84519	28.5038
ACRC|93953	19.3237	ACRC|93953	31.2983
ACSBG1|23205	5.153	ACSBG1|23205	13.693
ACSF2|80221	2350.4026	ACSF2|80221	841.7005
ACSF3|197322	253.1401	ACSF3|197322	375.859
ACSL1|2180	3575.5233	ACSL1|2180	2886.7086
ACSL3|2181	3557.4879	ACSL3|2181	6971.4152
ACSL4|2182	1221.5781	ACSL4|2182	1548.986
ACSL5|51703	767.1498	ACSL5|51703	801.4598
ACSL6|23305	13.2045	ACSL6|23305	22.3559
ACSM1|116285	10.9501	ACSM1|116285	218.8086
ACSM3|6296	170.8019	ACSM3|6296	270.3893
ACSM5|54988	103.3816	ACSM5|54988	70.1417
ACSS1|84532	447.343	ACSS1|84532	750.6001
ACSS2|55902	1076.0064	ACSS2|55902	1071.9665
ACSS3|79611	564.5733	ACSS3|79611	425.042
ACTA1|58	6.4412	ACTA1|58	14.8108
ACTA2|59	8830.2931	ACTA2|59	26494.2364
lowly_expressed	lowly_expressed	ACTBL2|345651	6.1479
ACTB|60	68203.8647	ACTB|60	82314.5087
ACTC1|70	15.781	lowly_expressed	lowly_expressed
ACTG1|71	55797.1014	ACTG1|71	62662.814
ACTG2|72	378.0998	ACTG2|72	4544.4003
ACTL6A|86	1059.5813	ACTL6A|86	1075.5993
ACTN1|87	5812.8824	ACTN1|87	10733.917
ACTN4|81	7782.9533	ACTN4|81	9661.8695
ACTR10|55860	993.8808	ACTR10|55860	973.8799
ACTR1A|10121	2571.6586	ACTR1A|10121	2562.5477
ACTR1B|10120	869.8873	ACTR1B|10120	1363.7113
ACTR2|10097	6182.9308	ACTR2|10097	6174.9854
ACTR3B|57180	208.3736	ACTR3B|57180	297.3338
ACTR3C|653857	25.4428	ACTR3C|653857	45.2707
ACTR3|10096	3303.7037	ACTR3|10096	4057.6
ACTR5|79913	204.1868	ACTR5|79913	192.8198
ACTR6|64431	475.0403	ACTR6|64431	567.561
ACTR8|93973	640.2576	ACTR8|93973	570.3555
ACVR1B|91	1289.533	ACVR1B|91	1071.6871
ACVR1C|130399	215.1369	ACVR1C|130399	28.2244
ACVR1|90	1107.5684	ACVR1|90	1393.6124
ACVR2A|92	504.6699	ACVR2A|92	701.1376
ACVR2B|93	661.1916	ACVR2B|93	383.6835
ACVRL1|94	916.2641	ACVRL1|94	1023.3424
ACY1|95	840.3704	ACY1|95	890.0312
ACY3|91703	8.3736	ACY3|91703	15.3697
ACYP1|97	42.5121	ACYP1|97	61.7582
ACYP2|98	81.1594	ACYP2|98	136.6506
ADAL|161823	168.7601	ADAL|161823	152.2997
ADAM10|102	2078.2609	ADAM10|102	2593.846
lowly_expressed	lowly_expressed	ADAM11|4185	26.5477
ADAM12|8038	3598.7118	ADAM12|8038	4422.5605
ADAM15|8751	2809.9839	ADAM15|8751	3058.0332
ADAM17|6868	806.1192	ADAM17|6868	1076.9966
ADAM19|8728	441.868	ADAM19|8728	356.0181
ADAM21|8747	13.8486	lowly_expressed	lowly_expressed
ADAM22|53616	229.6296	ADAM22|53616	79.643
ADAM23|8745	80.5153	ADAM23|8745	99.4839
ADAM28|10863	228.9855	ADAM28|10863	309.0706
ADAM29|11086	9.9839	lowly_expressed	lowly_expressed
ADAM32|203102	32.2061	ADAM32|203102	58.6843
ADAM33|80332	442.0837	ADAM33|80332	494.7282
ADAM6|8755	128670.0966	ADAM6|8755	101909.2601
ADAM8|101	123.3494	ADAM8|101	238.37
ADAM9|8754	3802.5765	ADAM9|8754	3087.6324
ADAMDEC1|27299	84.058	ADAMDEC1|27299	248.1507
ADAMTS10|81794	162.963	ADAMTS10|81794	120.722
ADAMTS12|81792	430.9179	ADAMTS12|81792	485.403
ADAMTS13|11093	43.8003	ADAMTS13|11093	64.5527
ADAMTS14|140766	49.2754	ADAMTS14|140766	103.955
ADAMTS15|170689	562.6409	ADAMTS15|170689	368.5933
ADAMTS16|170690	83.4138	ADAMTS16|170690	201.7622
ADAMTS17|170691	56.6828	ADAMTS17|170691	58.1254
ADAMTS18|170692	55.0725	ADAMTS18|170692	380.6096
ADAMTS19|171019	12.8824	ADAMTS19|171019	40.2407
ADAMTS1|9510	1514.9758	ADAMTS1|9510	1695.1379
ADAMTS2|9509	1235.7488	ADAMTS2|9509	542.1311
ADAMTS3|9508	93.7198	ADAMTS3|9508	123.7959
ADAMTS4|9507	261.5137	ADAMTS4|9507	258.7698
ADAMTS5|11096	843.4783	ADAMTS5|11096	1123.944
ADAMTS6|11174	101.4493	ADAMTS6|11174	32.6955
ADAMTS7|11173	165.8615	ADAMTS7|11173	179.9652
ADAMTS8|11095	46.0548	ADAMTS8|11095	502.4494
ADAMTS9|56999	561.9968	ADAMTS9|56999	1640.9248
ADAMTSL1|92949	431.8841	ADAMTSL1|92949	252.9014
ADAMTSL2|9719	110.789	ADAMTSL2|9719	28.2244
ADAMTSL3|57188	197.4235	ADAMTSL3|57188	244.2385
ADAMTSL4|54507	299.1948	ADAMTSL4|54507	312.7035
ADAMTSL5|339366	23.5105	ADAMTSL5|339366	80.7608
ADAP1|11033	84.8857	ADAP1|11033	100.3026
ADAP2|55803	390.6602	ADAP2|55803	372.5056
ADARB1|104	744.9275	ADARB1|104	721.5374
ADAR|103	9521.7391	ADAR|103	8603.1181
