gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
ACAD8|27034	123.0576	ACAD8|27034	572.5874
ACAD9|28976	920.1721	ACAD9|28976	1344.626
ACADL|33	5.9692	ACADL|33	638.9121
ACADM|34	739.2637	ACADM|34	3481.8084
ACADSB|36	4116.9185	ACADSB|36	1556.4834
ACADS|35	378.3561	ACADS|35	2232.6136
ACADVL|37	4211.8794	ACADVL|37	7933.6562
ACAN|176	81.7323	ACAN|176	80.1622
ACAP1|9744	22.9585	ACAP1|9744	30.0608
ACAP2|23527	1266.8501	ACAP2|23527	1665.7521
ACAP3|116983	319.1369	ACAP3|116983	358.3443
ACAT1|38	2058.4592	ACAT1|38	4953.8351
ACAT2|39	394.799	ACAT2|39	272.7043
ACBD3|64746	2294.0135	ACBD3|64746	1180.0072
ACBD4|79777	298.4605	ACBD4|79777	295.8368
ACBD5|91452	845.332	ACBD5|91452	1187.6417
ACBD6|84320	807.6801	ACBD6|84320	323.0347
ACBD7|414149	27.5502	lowly_expressed	lowly_expressed
ACCN2|41	373.3052	ACCN2|41	51.0557
ACCN3|9311	5.0509	ACCN3|9311	5.2487
ACCS|84680	116.17	ACCS|84680	315.8774
ACD|65057	344.3775	ACD|65057	175.1163
lowly_expressed	lowly_expressed	ACE2|59272	26.2436
ACER2|340485	128.1084	ACER2|340485	413.2172
ACER3|55331	616.6653	ACER3|55331	1504.9505
ACE|1636	2484.569	ACE|1636	701.4195
ACHE|43	22.9585	ACHE|43	9.5431
ACIN1|22985	2961.1875	ACIN1|22985	2470.2374
ACLY|47	5469.6334	ACLY|47	3939.4012
ACN9|57001	112.4967	ACN9|57001	143.624
ACO1|48	1257.6667	ACO1|48	13847.5486
ACO2|50	3995.3119	ACO2|50	6103.0371
ACOT11|26027	140.506	ACOT11|26027	14.3099
ACOT13|55856	529.4414	ACOT13|55856	1070.872
ACOT1|641371	594.166	ACOT1|641371	3146.3676
ACOT2|10965	644.6747	ACOT2|10965	2135.2738
ACOT4|122970	337.0308	ACOT4|122970	381.7249
ACOT6|641372	5.51	ACOT6|641372	16.2233
ACOT7|11332	358.1526	ACOT7|11332	184.6594
ACOT8|10005	216.7283	ACOT8|10005	200.229
ACOT9|23597	116.6292	ACOT9|23597	630.8004
ACOX1|51	1729.4593	ACOX1|51	5086.3748
ACOX2|8309	471.1084	ACOX2|8309	581.6533
ACOX3|8310	319.1232	ACOX3|8310	437.075
ACP1|52	1636.9411	ACP1|52	971.9671
ACP2|53	1547.403	ACP2|53	954.3123
