gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
DCLRE1C|64421	154.2373	DCLRE1C|64421	161.7908
DCN|1634	21964.4068	DCN|1634	13411.3475
DCP1A|55802	337.2881	DCP1A|55802	557.6241
DCP1B|196513	122.0339	DCP1B|196513	461.4362
DCP2|167227	1183.8983	DCP2|167227	1015.9574
DCPS|28960	454.2373	DCPS|28960	408.2447
lowly_expressed	lowly_expressed	DCST2|127579	19.0603
DCTD|1635	1488.1356	DCTD|1635	1984.0426
DCTN1|1639	4469.1271	DCTN1|1639	4873.9672
DCTN2|10540	2264.4068	DCTN2|10540	3011.9681
DCTN3|11258	1008.4746	DCTN3|11258	1200.7979
DCTN4|51164	2942.3729	DCTN4|51164	1595.3014
DCTN5|84516	1605.0847	DCTN5|84516	1098.8475
DCTN6|10671	936.4407	DCTN6|10671	548.3156
DCTPP1|79077	1862.7034	DCTPP1|79077	1389.1755
lowly_expressed	lowly_expressed	DCT|1638	26.1525
DCUN1D1|54165	559.322	DCUN1D1|54165	269.5035
DCUN1D2|55208	171.1864	DCUN1D2|55208	207.0035
DCUN1D3|123879	123.7288	DCUN1D3|123879	138.2979
DCUN1D4|23142	694.9153	DCUN1D4|23142	500.4433
DCUN1D5|84259	550.8475	DCUN1D5|84259	390.0709
DCXR|51181	676.2712	DCXR|51181	1639.1844
lowly_expressed	lowly_expressed	DCX|1641	301.4184
DDA1|79016	638.9831	DDA1|79016	897.6064
DDAH1|23576	1010.1695	DDAH1|23576	1063.8298
DDAH2|23564	2183.0508	DDAH2|23564	2580.2305
DDB1|1642	7193.2203	DDB1|1642	6809.3972
DDB2|1643	486.4407	DDB2|1643	678.6348
lowly_expressed	lowly_expressed	DDC|1644	14.6277
DDHD1|80821	308.4746	DDHD1|80821	197.2518
DDHD2|23259	502.5424	DDHD2|23259	708.3333
DDI2|84301	165.678	DDI2|84301	47.828
DDIT3|1649	157.6271	DDIT3|1649	163.391
DDIT4L|115265	25.4237	DDIT4L|115265	35.0177
DDIT4|54541	4450.8475	DDIT4|54541	1808.5106
lowly_expressed	lowly_expressed	DDN|23109	5.3191
DDOST|1650	5461.0169	DDOST|1650	6115.2482
DDO|8528	15.2542	DDO|8528	85.5496
DDR1|780	4166.1017	DDR1|780	9729.6099
DDR2|4921	225.4237	DDR2|4921	62.0567
DDRGK1|65992	1194.0678	DDRGK1|65992	1616.1348
DDTL|100037417	125.8475	DDTL|100037417	226.9858
DDT|1652	656.1271	DDT|1652	751.5691
DDX10|1662	449.1525	DDX10|1662	658.6879
DDX11L2|84771	23.7288	DDX11L2|84771	37.6773
DDX11|1663	84.7458	DDX11|1663	217.6418
DDX12|440081	15.2542	DDX12|440081	51.8617
DDX17|10521	3406.7797	DDX17|10521	7907.3582
DDX18|8886	1785.5932	DDX18|8886	1529.6986
DDX19A|55308	518.6441	DDX19A|55308	949.5789
DDX19B|11269	596.6102	DDX19B|11269	808.7722
DDX1|1653	3022.8814	DDX1|1653	2391.844
DDX20|11218	522.8814	DDX20|11218	463.2092
DDX21|9188	1650.8475	DDX21|9188	1128.5461
DDX23|9416	2754.2373	DDX23|9416	2891.4007
DDX24|57062	2605.0847	DDX24|57062	3052.305
lowly_expressed	lowly_expressed	DDX25|29118	6.6489
DDX26B|203522	24.5763	DDX26B|203522	196.8085
DDX27|55661	916.1017	DDX27|55661	1467.6418
DDX28|55794	157.6271	DDX28|55794	429.07800000000003
DDX31|64794	247.4576	DDX31|64794	369.6809
DDX39|10212	1206.7797	DDX39|10212	704.3439999999999
DDX3X|1654	5848.3051	DDX3X|1654	6547.8723
DDX41|51428	1142.3729	DDX41|51428	1505.3191
DDX42|11325	4772.8814	DDX42|11325	3911.7908
lowly_expressed	lowly_expressed	DDX43|55510	8.422
DDX46|9879	1535.5932	DDX46|9879	1177.7482
DDX47|51202	773.7288	DDX47|51202	1234.0426
DDX49|54555	978.8136	DDX49|54555	1297.8723
DDX50|79009	1048.3051	DDX50|79009	1085.5496
DDX51|317781	339.8305	DDX51|317781	756.2057
DDX52|11056	161.0169	DDX52|11056	390.9574
DDX54|79039	1508.1356	DDX54|79039	2548.9982
DDX55|57696	199.1525	DDX55|57696	353.2801
DDX56|54606	1410.1695	DDX56|54606	1690.6028
DDX58|23586	996.6102	DDX58|23586	555.4078
DDX59|83479	331.3559	DDX59|83479	310.72700000000003
DDX5|1655	34133.0508	DDX5|1655	23226.0638
DDX60L|91351	376.2712	DDX60L|91351	288.1206
DDX60|55601	1161.0169	DDX60|55601	427.7482
DDX6|1656	2762.7119	DDX6|1656	3158.2447
DEAF1|10522	327.1186	DEAF1|10522	1172.4291
DECR1|1666	1627.1186	DECR1|1666	1305.8511
DECR2|26063	149.1525	DECR2|26063	440.1596
DEDD2|162989	623.7288	DEDD2|162989	469.8582
DEDD|9191	760.4576	DEDD|9191	718.9849
DEF6|50619	296.6102	DEF6|50619	402.4823
DEF8|54849	290.678	DEF8|54849	742.0213
DEFB1|1672	22.0339	DEFB1|1672	544.7695
DEGS1|8560	1382.2034	DEGS1|8560	2110.3723
DEGS2|123099	2292.3729	DEGS2|123099	791.6667
DEK|7913	2299.1525	DEK|7913	1701.2411
DEM1|64789	133.8983	DEM1|64789	170.65599999999998
DENND1A|57706	339.8305	DENND1A|57706	691.4894
DENND1B|163486	67.7966	lowly_expressed	lowly_expressed
DENND1C|79958	141.5254	DENND1C|79958	211.8794
DENND2A|27147	67.7966	DENND2A|27147	241.1348
DENND2C|163259	17.4492	DENND2C|163259	31.2899
DENND2D|79961	427.9661	DENND2D|79961	843.0851
DENND3|22898	327.9661	DENND3|22898	279.6986
DENND4A|10260	605.0847	DENND4A|10260	284.8582
DENND4B|9909	282.0593	DENND4B|9909	760.164
DENND4C|55667	1087.2881	DENND4C|55667	894.5035
DENND5A|23258	1069.4915	DENND5A|23258	1253.9894
DENND5B|160518	109.322	DENND5B|160518	145.3901
DENR|8562	2719.4915	DENR|8562	1815.6028
DEPDC1B|55789	179.66099999999997	lowly_expressed	lowly_expressed
DEPDC1|55635	279.661	DEPDC1|55635	37.234
lowly_expressed	lowly_expressed	DEPDC4|120863	11.0816
DEPDC5|9681	140.678	DEPDC5|9681	269.9468
DEPDC6|64798	2269.4915	DEPDC6|64798	1319.1489
DEPDC7|91614	30.5085	DEPDC7|91614	11.0816
DERA|51071	538.1356	DERA|51071	481.8262
DERL1|79139	3788.9831	DERL1|79139	1849.734
DERL2|51009	755.0847	DERL2|51009	617.0213
DERL3|91319	306.7797	DERL3|91319	218.5284
DES|1674	40.678000000000004	DES|1674	97.961
DET1|55070	107.6271	DET1|55070	146.2766
DEXI|28955	221.1864	DEXI|28955	729.1667
DFFA|1676	219.4915	DFFA|1676	533.2447
DFFB|1677	67.7966	DFFB|1677	135.6383
DFNA5|1687	210.1695	DFNA5|1687	272.6064
DFNB31|25861	94.0678	DFNB31|25861	435.727
lowly_expressed	lowly_expressed	DFNB59|494513	32.3582
DGAT1|8694	1400.0	DGAT1|8694	797.5399
DGAT2|84649	76.2712	DGAT2|84649	1152.4823
DGCR11|25786	9.322000000000001	DGCR11|25786	31.4716
DGCR14|8220	268.6441	DGCR14|8220	465.4255
DGCR2|9993	2796.6102	DGCR2|9993	5139.1844
DGCR5|26220	99.1525	DGCR5|26220	48.7589
DGCR6L|85359	915.2542	DGCR6L|85359	1148.4929
DGCR6|8214	581.3559	DGCR6|8214	790.3369
DGCR8|54487	610.1695	DGCR8|54487	968.0851
DGCR9|25787	5.9322	DGCR9|25787	8.8652
DGKA|1606	198.3051	DGKA|1606	504.4326
DGKB|1607	5.9322	DGKB|1607	5.3191
DGKD|8527	488.1356	DGKD|8527	1053.1915
DGKE|8526	211.0169	DGKE|8526	127.6596
DGKG|1608	10.1695	DGKG|1608	8.422
DGKH|160851	17.7966	DGKH|160851	7.9787
DGKI|9162	15.2542	DGKI|9162	13.2979
DGKQ|1609	215.2542	DGKQ|1609	596.1879
DGKZ|8525	390.67800000000005	DGKZ|8525	1448.1383
DGUOK|1716	1034.7458	DGUOK|1716	889.1844
DHCR24|1718	4185.5932	DHCR24|1718	12894.0603
DHCR7|1717	5055.0847	DHCR7|1717	1585.1064
DHDDS|79947	436.4407	DHDDS|79947	805.8511
DHDPSL|112817	11.1017	DHDPSL|112817	22.8457
DHFRL1|200895	215.2542	DHFRL1|200895	222.5177
DHFR|1719	329.661	DHFR|1719	251.5248
DHH|50846	5.9322	DHH|50846	8.8652
DHODH|1723	64.4068	DHODH|1723	212.766
DHPS|1725	658.9576	DHPS|1725	1067.8191
DHRS11|79154	66.1017	DHRS11|79154	281.0284
DHRS12|79758	513.5593	DHRS12|79758	453.4574
DHRS13|147015	856.0508	DHRS13|147015	410.4654
DHRS1|115817	639.8305	DHRS1|115817	937.9433
DHRS2|10202	21676.2712	DHRS2|10202	6928.6348
DHRS3|9249	674.5763	DHRS3|9249	1198.5816
DHRS4L1|728635	7.6271	DHRS4L1|728635	28.3688
DHRS4L2|317749	187.5169	DHRS4L2|317749	621.1082
DHRS4|10901	631.5508	DHRS4|10901	1132.5133
DHRS7B|25979	791.5254	DHRS7B|25979	796.9858
DHRS7|51635	4133.0508	DHRS7|51635	1855.9397
DHRS9|10170	16.1017	DHRS9|10170	5.7624
DHRSX|207063	1142.3729	DHRSX|207063	511.2278
DHTKD1|55526	775.4237	DHTKD1|55526	755.3191
DHX15|1665	2877.9661	DHX15|1665	2359.4858
DHX16|8449	763.5593	DHX16|8449	872.7837
DHX29|54505	1064.4068	DHX29|54505	861.7021
DHX30|22907	994.9153	DHX30|22907	2151.1525
DHX32|55760	1318.4153	DHX32|55760	1368.2846
DHX33|56919	184.7458	DHX33|56919	226.0638
DHX34|9704	369.4915	DHX34|9704	578.9007
DHX35|60625	94.0678	DHX35|60625	210.1064
DHX36|170506	766.9492	DHX36|170506	736.7021
DHX37|57647	395.7627	DHX37|57647	688.8298
DHX38|9785	769.4915	DHX38|9785	1438.3865
DHX40P1|653645	5.0847	lowly_expressed	lowly_expressed
DHX40|79665	4045.7627	DHX40|79665	1509.7518
DHX57|90957	259.322	DHX57|90957	536.7908
DHX58|79132	224.5763	DHX58|79132	525.266
DHX8|1659	800.0	DHX8|1659	1028.3688
DHX9|1660	4527.9661	DHX9|1660	4268.617
DIABLO|56616	1342.8051	DIABLO|56616	1160.133
DIAPH1|1729	3588.1356	DIAPH1|1729	3103.7234
DIAPH2|1730	51.6949	DIAPH2|1730	104.6099
DIAPH3|81624	197.4576	DIAPH3|81624	74.9113
DICER1|23405	798.3051	DICER1|23405	940.1596
DIDO1|11083	1170.339	DIDO1|11083	1880.7624
DIMT1L|27292	233.0508	DIMT1L|27292	519.5035
DIO1|1733	10.1695	DIO1|1733	7.5355
DIO2|1734	1000.8475	DIO2|1734	925.9752
DIO3|1735	6.7797	DIO3|1735	19.0603
DIP2A|23181	501.6949	DIP2A|23181	619.2376
DIP2B|57609	1667.7966	DIP2B|57609	1278.8121
DIP2C|22982	652.5424	DIP2C|22982	639.6277
DIRAS1|148252	327.9661	DIRAS1|148252	401.5957
lowly_expressed	lowly_expressed	DIRAS2|54769	7.9787
DIRAS3|9077	11.0169	DIRAS3|9077	238.9184
DIRC1|116093	16.1017	lowly_expressed	lowly_expressed
DIRC2|84925	628.6441	DIRC2|84925	363.8874
DIRC3|729582	14.4068	DIRC3|729582	6.2057
DIS3L2|129563	285.5932	DIS3L2|129563	548.7589
DIS3L|115752	470.339	DIS3L|115752	711.4362
DIS3|22894	1091.2712	DIS3|22894	879.4592
DISC1|27185	79.661	DISC1|27185	99.67200000000001
DISP1|84976	121.1864	DISP1|84976	195.4787
DISP2|85455	16.9492	DISP2|85455	35.461
DIXDC1|85458	555.9322	DIXDC1|85458	744.6809
DKC1|1736	1692.3729	DKC1|1736	1696.8085
lowly_expressed	lowly_expressed	DKFZP434L187|26082	5.1108
DKFZP586I1420|222161	309.322	DKFZP586I1420|222161	310.2837
DKFZP686I15217|401232	22.0339	DKFZP686I15217|401232	38.1206
DKFZp434J0226|93429	8.4746	lowly_expressed	lowly_expressed
DKFZp566F0947|94023	12.7119	DKFZp566F0947|94023	10.6383
lowly_expressed	lowly_expressed	DKFZp686O24166|374383	7.5355
DKFZp761E198|91056	372.0339	DKFZp761E198|91056	484.9291
DKK1|22943	21.1864	DKK1|22943	24.8227
DKK2|27123	53.3898	DKK2|27123	62.0567
DKK3|27122	2461.0169	DKK3|27122	3414.8936
lowly_expressed	lowly_expressed	DKK4|27121	7.5355
lowly_expressed	lowly_expressed	DKKL1|27120	9.3085
DLAT|1737	675.4237	DLAT|1737	796.5426
DLC1|10395	563.5593	DLC1|10395	783.6879
DLD|1738	1200.0	DLD|1738	1602.3936
lowly_expressed	lowly_expressed	DLEC1|9940	11.5248
DLEU1|10301	77.1186	DLEU1|10301	60.727
DLEU2L|79469	7.6271	lowly_expressed	lowly_expressed
DLEU2|8847	316.5847	DLEU2|8847	9.3351
DLG1|1739	729.6610000000001	DLG1|1739	1033.6879
DLG2|1740	16.9492	DLG2|1740	47.8723
DLG3|1741	1622.0339	DLG3|1741	1826.6844
DLG4|1742	116.9746	DLG4|1742	384.3351
DLG5|9231	3043.2203	DLG5|9231	2741.578
DLGAP1|9229	144.9153	DLGAP1|9229	59.3972
DLGAP2|9228	5.0847	DLGAP2|9228	5.3191
DLGAP4|22839	1872.0339	DLGAP4|22839	2189.2729999999997
DLGAP5|9787	521.1864	DLGAP5|9787	70.4787
lowly_expressed	lowly_expressed	DLK1|8788	430.8511
lowly_expressed	lowly_expressed	DLK2|65989	148.0496
DLL1|28514	140.678	DLL1|28514	262.8546
DLL4|54567	298.3051	DLL4|54567	543.4397
DLST|1743	2280.5085	DLST|1743	2452.5709
DLX1|1745	14.4068	DLX1|1745	14.1844
lowly_expressed	lowly_expressed	DLX2|1746	115.6915
DLX3|1747	261.8644	DLX3|1747	124.5567
DLX4|1748	45.7627	DLX4|1748	21.2766
DLX5|1749	75.4237	DLX5|1749	6.2057
DLX6|1750	5.0847	lowly_expressed	lowly_expressed
DMAP1|55929	294.0678	DMAP1|55929	861.2589
lowly_expressed	lowly_expressed	DMBT1|1755	68.7057
DMBX1|127343	6.7797	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DMC1|11144	11.0816
DMD|1756	81.3559	DMD|1756	901.5957
DMGDH|29958	6.7797	DMGDH|29958	13.7411
DMKN|93099	126.2712	DMKN|93099	862.1454
DMPK|1760	473.7288	DMPK|1760	860.3723
DMRT2|10655	11.0169	DMRT2|10655	19.0603
DMRT3|58524	9.322000000000001	DMRT3|58524	12.4113
DMRTA1|63951	7.6271	DMRTA1|63951	16.4007
lowly_expressed	lowly_expressed	DMRTC1B|728656	27.4823
lowly_expressed	lowly_expressed	DMRTC1|63947	7.5355
DMTF1|9988	272.0339	DMTF1|9988	511.9681
DMWD|1762	388.9831	DMWD|1762	651.1525
DMXL1|1657	580.5085	DMXL1|1657	536.7908
DMXL2|23312	159.322	DMXL2|23312	157.3582
DNA2|1763	75.4237	DNA2|1763	52.7482
DNAH10|196385	5.0847	DNAH10|196385	17.2872
lowly_expressed	lowly_expressed	DNAH12|201625	7.0922
DNAH14|127602	61.8644	DNAH14|127602	63.8298
lowly_expressed	lowly_expressed	DNAH17|8632	35.0177
DNAH1|25981	11.0169	DNAH1|25981	87.3227
DNAH2|146754	36.4407	DNAH2|146754	89.9823
DNAH5|1767	94.0678	DNAH5|1767	161.3475
lowly_expressed	lowly_expressed	DNAH6|1768	19.0603
DNAH7|56171	5.0847	DNAH7|56171	42.9965
lowly_expressed	lowly_expressed	DNAH9|1770	16.844
DNAJA1|3301	6016.1017	DNAJA1|3301	3067.3759
DNAJA2|10294	1110.1695	DNAJA2|10294	1459.2199
DNAJA3|9093	1602.5424	DNAJA3|9093	1062.0567
DNAJA4|55466	1053.3898	DNAJA4|55466	1007.5355
DNAJB11|51726	1577.1186	DNAJB11|51726	1180.8511
DNAJB12|54788	1083.0508	DNAJB12|54788	1733.156
DNAJB14|79982	349.1525	DNAJB14|79982	113.9184
DNAJB1|3337	3778.8136	DNAJB1|3337	3280.5851
DNAJB2|3300	2161.8644	DNAJB2|3300	2642.2872
DNAJB4|11080	281.3559	DNAJB4|11080	336.8794
DNAJB5|25822	266.9492	DNAJB5|25822	273.4929
DNAJB6|10049	2072.0339	DNAJB6|10049	2129.8759
DNAJB9|4189	984.7458	DNAJB9|4189	558.0674
DNAJC10|54431	3125.4237	DNAJC10|54431	2140.5142
DNAJC11|55735	754.2373	DNAJC11|55735	1165.2704
DNAJC12|56521	1566.1017	DNAJC12|56521	720.3014
DNAJC13|23317	954.2373	DNAJC13|23317	1015.9574
DNAJC14|85406	1071.4492	DNAJC14|85406	1267.8723
DNAJC15|29103	972.8814	DNAJC15|29103	618.3511
DNAJC16|23341	1071.1864	DNAJC16|23341	556.7376
DNAJC17|55192	353.3898	DNAJC17|55192	465.8688
DNAJC18|202052	102.5424	DNAJC18|202052	163.5638
DNAJC19|131118	435.5932	DNAJC19|131118	513.7411
DNAJC1|64215	2272.8814	DNAJC1|64215	855.4965
DNAJC21|134218	1539.8305	DNAJC21|134218	1088.6525
DNAJC22|79962	258.4746	DNAJC22|79962	101.0638
DNAJC24|120526	102.7966	DNAJC24|120526	193.0098
DNAJC25|548645	282.2034	DNAJC25|548645	174.2021
DNAJC27|51277	49.1525	DNAJC27|51277	113.0319
DNAJC28|54943	20.339000000000002	DNAJC28|54943	36.7908
DNAJC2|27000	321.6271	DNAJC2|27000	551.8395
DNAJC30|84277	177.1186	DNAJC30|84277	479.6099
DNAJC3|5611	2384.7458	DNAJC3|5611	1793.4397
DNAJC4|3338	379.2119	DNAJC4|3338	1034.375
DNAJC5B|85479	19.4915	lowly_expressed	lowly_expressed
DNAJC5|80331	924.5763	DNAJC5|80331	2670.656
DNAJC6|9829	5.9322	DNAJC6|9829	40.7801
DNAJC7|7266	1104.7034	DNAJC7|7266	1491.3918
DNAJC8|22826	1317.7966	DNAJC8|22826	1858.156
DNAJC9|23234	1261.9322	DNAJC9|23234	813.2713
DNAL1|83544	451.6949	DNAL1|83544	331.11699999999996
DNAL4|10126	607.6271	DNAL4|10126	763.7411
DNALI1|7802	76.2712	DNALI1|7802	881.6489
DNASE1L1|1774	364.2797	DNASE1L1|1774	371.9991
DNASE1L2|1775	7.6271	DNASE1L2|1775	6.2057
lowly_expressed	lowly_expressed	DNASE1L3|1776	78.9007
DNASE1|1773	69.4915	DNASE1|1773	42.1099
DNASE2|1777	2030.5085	DNASE2|1777	1574.0248
DND1|373863	27.9661	DND1|373863	90.1862
lowly_expressed	lowly_expressed	DNER|92737	24.8227
DNHD1|144132	22.0339	DNHD1|144132	81.5603
DNLZ|728489	163.5593	DNLZ|728489	320.4787
DNM1L|10059	754.2373	DNM1L|10059	1039.8936
DNM1P35|100128285	5.9322	DNM1P35|100128285	23.9362
DNM1|1759	304.2373	DNM1|1759	298.3156
DNM2|1785	3052.5678	DNM2|1785	2451.4982
DNM3|26052	24.5763	DNM3|26052	39.0071
DNMBP|23268	2137.6949	DNMBP|23268	922.172
DNMT1|1786	1488.9831	DNMT1|1786	1768.6170000000002
DNMT3A|1788	541.5254	DNMT3A|1788	527.039
DNMT3B|1789	140.678	DNMT3B|1789	69.1489
DNPEP|23549	2520.339	DNPEP|23549	1826.6844
DNTTIP1|116092	713.5593	DNTTIP1|116092	761.5248
DNTTIP2|30836	1129.661	DNTTIP2|30836	1287.234
lowly_expressed	lowly_expressed	DOC2A|8448	20.9087
DOC2B|8447	16.9492	DOC2B|8447	18.617
DOCK10|55619	284.7458	DOCK10|55619	466.3121
DOCK11|139818	302.5424	DOCK11|139818	210.9929
DOCK1|1793	1440.6779999999999	DOCK1|1793	2157.3582
DOCK2|1794	307.6271	DOCK2|1794	203.9007
DOCK3|1795	22.8814	DOCK3|1795	49.2021
DOCK4|9732	271.1864	lowly_expressed	lowly_expressed
DOCK5|80005	234.7458	DOCK5|80005	204.9645
DOCK6|57572	472.0339	DOCK6|57572	858.5993
DOCK7|85440	666.1017	DOCK7|85440	1004.4326
DOCK8|81704	436.4407	DOCK8|81704	976.5071
DOCK9|23348	1084.7458	DOCK9|23348	1075.3546
DOHH|83475	236.4407	DOHH|83475	336.8794
DOK1|1796	147.4576	DOK1|1796	238.0319
DOK2|9046	95.7627	DOK2|9046	102.8369
DOK3|79930	130.5085	DOK3|79930	68.7057
DOK4|55715	377.9661	DOK4|55715	506.2057
DOK5|55816	27.9661	DOK5|55816	115.6915
DOK6|220164	55.0847	DOK6|220164	8.422
DOK7|285489	61.8644	DOK7|285489	128.5461
DOLK|22845	527.1186	DOLK|22845	554.9645
DOLPP1|57171	401.6949	DOLPP1|57171	535.461
DOM3Z|1797	125.8644	DOM3Z|1797	338.1516
DONSON|29980	216.1017	DONSON|29980	151.5071
DOPEY1|23033	274.6949	DOPEY1|23033	547.5266
DOPEY2|9980	1225.4237	DOPEY2|9980	779.6986
DOT1L|84444	406.7797	DOT1L|84444	667.992
DPAGT1|1798	846.6356	DPAGT1|1798	1195.9929
DPCD|25911	470.6017	DPCD|25911	458.9362
DPEP2|64174	15.2542	DPEP2|64174	19.9468
lowly_expressed	lowly_expressed	DPF1|8193	5.7624
DPF2|5977	1280.5085	DPF2|5977	1328.9007
lowly_expressed	lowly_expressed	DPF3|8110	22.6064
DPH1|1801	273.0763	DPH1|1801	818.0718
DPH2|1802	219.4915	DPH2|1802	649.3794
DPH3B|100132911	9.322000000000001	DPH3B|100132911	10.6383
DPH3|285381	791.5254	DPH3|285381	517.2872
DPH5|51611	340.67800000000005	DPH5|51611	607.8546
DPM1|8813	525.4237	DPM1|8813	457.4468
DPM2|8818	677.9661	DPM2|8818	1045.2128
DPM3|54344	346.6102	DPM3|54344	529.6986
DPP3|10072	1320.339	DPP3|10072	1480.4965
DPP4|1803	377.1186	DPP4|1803	136.5248
lowly_expressed	lowly_expressed	DPP6|1804	102.8369
DPP7|29952	1061.0169	DPP7|29952	2380.7624
DPP8|54878	401.6949	DPP8|54878	188.3865
DPP9|91039	686.4407	DPP9|91039	1084.6631
DPT|1805	1187.2881	DPT|1805	637.4113
DPY19L1|23333	946.6102	DPY19L1|23333	441.4894
lowly_expressed	lowly_expressed	DPY19L2P2|349152	8.422
lowly_expressed	lowly_expressed	DPY19L2P4|442523	5.3191
DPY19L2|283417	10.1695	DPY19L2|283417	26.5957
DPY19L3|147991	237.2881	DPY19L3|147991	197.695
DPY19L4|286148	990.678	DPY19L4|286148	477.3936
DPY30|84661	1156.1271	DPY30|84661	624.5523
DPYD|1806	464.4068	DPYD|1806	671.5426
DPYSL2|1808	2004.2373	DPYSL2|1808	3589.539
DPYSL3|1809	4988.1356	DPYSL3|1809	2770.3901
DPYSL4|10570	66.9492	DPYSL4|10570	43.883
lowly_expressed	lowly_expressed	DPYSL5|56896	5.3191
lowly_expressed	lowly_expressed	DPYS|1807	6.6489
DR1|1810	1102.5424	DR1|1810	805.4078
DRAM1|55332	959.322	DRAM1|55332	469.4149
DRAM2|128338	1246.6102	DRAM2|128338	1015.9574
DRAP1|10589	1609.3220000000001	DRAP1|10589	1477.3936
lowly_expressed	lowly_expressed	DRD2|1813	164.4504
DRD4|1815	17.7966	lowly_expressed	lowly_expressed
DRG1|4733	2048.3051	DRG1|4733	1286.3475
DRG2|1819	816.1017	DRG2|1819	925.5319
DRP2|1821	34.7458	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DSC1|1823	16.4007
DSC2|1824	1173.7288	DSC2|1824	1686.6135
DSC3|1825	401.6949	DSC3|1825	867.4645
lowly_expressed	lowly_expressed	DSCAML1|57453	14.1844
DSCC1|79075	346.6102	DSCC1|79075	73.5816
DSCR3|10311	962.7119	DSCR3|10311	916.2234
DSCR6|53820	27.1186	DSCR6|53820	7.5355
DSEL|92126	215.2542	DSEL|92126	248.227
DSE|29940	1206.1949	DSE|29940	514.6941
lowly_expressed	lowly_expressed	DSG1|1828	54.5213
DSG2|1829	4613.5339	DSG2|1829	3066.4539
DSG3|1830	216.1017	DSG3|1830	749.5567
DSN1|79980	553.3898	DSN1|79980	347.5177
DSP|1832	14974.5763	DSP|1832	12095.7447
DSTN|11034	12684.7458	DSTN|11034	8603.2801
DSTYK|25778	395.7627	DSTYK|25778	514.1844
DST|667	2483.8983	DST|667	9468.5284
DTD1|92675	459.32199999999995	DTD1|92675	625.0
DTL|51514	753.3898	DTL|51514	183.9539
DTNA|1837	809.322	DTNA|1837	507.9787
DTNBP1|84062	259.322	DTNBP1|84062	408.2447
DTNB|1838	383.0508	DTNB|1838	1119.6809
DTWD1|56986	458.4746	DTWD1|56986	355.0532
DTWD2|285605	255.0847	DTWD2|285605	190.1596
DTX1|1840	189.8305	DTX1|1840	205.6738
DTX2|113878	429.661	DTX2|113878	481.8262
DTX3L|151636	2125.4237	DTX3L|151636	1103.156
DTX3|196403	269.4915	DTX3|196403	836.4362
DTX4|23220	388.1356	DTX4|23220	560.727
DTYMK|1841	828.8136	DTYMK|1841	582.0035
DULLARD|23399	1491.5254	DULLARD|23399	2372.3404
DUOX1|53905	21.1864	DUOX1|53905	269.0603
lowly_expressed	lowly_expressed	DUOX2|50506	26.1525
lowly_expressed	lowly_expressed	DUOXA1|90527	39.0736
DUS1L|64118	611.0169	DUS1L|64118	1923.3156
DUS2L|54920	140.678	DUS2L|54920	250.8865
DUS3L|56931	132.2034	DUS3L|56931	537.234
DUS4L|11062	113.5593	DUS4L|11062	119.7562
DUSP10|11221	1187.2881	DUSP10|11221	874.5567
DUSP11|8446	505.9322	DUSP11|8446	465.4255
DUSP12|11266	240.678	DUSP12|11266	245.1241
DUSP14|11072	228.8136	DUSP14|11072	537.6773
DUSP15|128853	6.7797	DUSP15|128853	68.2624
DUSP16|80824	1026.2712	DUSP16|80824	2295.2128
DUSP18|150290	89.6102	DUSP18|150290	99.6011
DUSP19|142679	20.339000000000002	DUSP19|142679	63.3865
DUSP1|1843	5754.2373	DUSP1|1843	3937.0567
DUSP22|56940	386.4407	DUSP22|56940	747.7837
DUSP23|54935	316.9492	DUSP23|54935	1124.5567
DUSP27|92235	5.0847	lowly_expressed	lowly_expressed
DUSP28|285193	54.2373	DUSP28|285193	78.0142
DUSP2|1844	113.5593	DUSP2|1844	757.0922
DUSP3|1845	1162.7119	DUSP3|1845	1473.4043
DUSP4|1846	798.3051	DUSP4|1846	2266.844
DUSP5|1847	1164.4068	DUSP5|1847	1324.9113
DUSP6|1848	984.7458	DUSP6|1848	4975.6206
DUSP7|1849	215.2542	DUSP7|1849	578.9007
DUSP8|1850	252.5424	DUSP8|1850	991.578
lowly_expressed	lowly_expressed	DUSP9|1852	36.7908
DUT|1854	1507.0763	DUT|1854	895.2305
DVL1|1855	1403.3898	DVL1|1855	1315.6028
DVL2|1856	429.661	DVL2|1856	791.6667
DVL3|1857	1837.2881	DVL3|1857	1759.7518
lowly_expressed	lowly_expressed	DYDC2|84332	9.7518
DYM|54808	537.2881	DYM|54808	652.039
DYNC1H1|1778	9589.8305	DYNC1H1|1778	8614.805
DYNC1I1|1780	26.2712	DYNC1I1|1780	32.8014
DYNC1I2|1781	2531.3559	DYNC1I2|1781	1980.4965
DYNC1LI1|51143	979.6610000000001	DYNC1LI1|51143	825.3546
DYNC1LI2|1783	2069.4915	DYNC1LI2|1783	2316.4894
DYNC2H1|79659	408.4746	DYNC2H1|79659	384.3085
DYNC2LI1|51626	291.5254	DYNC2LI1|51626	442.3759
DYNLL1|8655	3954.2373	DYNLL1|8655	4006.6489
DYNLL2|140735	3094.9153	DYNLL2|140735	1794.7695
DYNLRB1|83658	2477.9661	DYNLRB1|83658	2103.2801
