gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
ACADS|35	236.9942	ACADS|35	1100.0841
ACADVL|37	1944.5029	ACADVL|37	7754.3776
ACAN|176	42.4855	ACAN|176	7.5694
ACAP1|9744	14.1618	ACAP1|9744	40.7906
ACAP2|23527	1123.6994	ACAP2|23527	1306.1396
ACAP3|116983	735.8642	ACAP3|116983	527.3928
ACAT1|38	760.1156	ACAT1|38	2068.545
ACAT2|39	330.2601	ACAT2|39	275.1093
ACBD3|64746	2697.9769	ACBD3|64746	1374.2641
ACBD4|79777	290.7514	ACBD4|79777	406.6442
ACBD5|91452	1617.6301	ACBD5|91452	814.55
ACBD6|84320	650	ACBD6|84320	322.1194
ACBD7|414149	39.8844	ACBD7|414149	21.8671
lowly_expressed	lowly_expressed	ACCN1|40	5.8873
ACCN2|41	93.9306	ACCN2|41	115.6434
ACCN3|9311	5.2023	ACCN3|9311	6.7283
ACCS|84680	74.8555	ACCS|84680	376.3667
ACD|65057	248.8439	ACD|65057	322.5399
lowly_expressed	lowly_expressed	ACE2|59272	21.0261
ACER2|340485	73.9884	ACER2|340485	196.3835
ACER3|55331	250	ACER3|55331	590.8326
ACE|1636	1494.7977	ACE|1636	990.328
ACHE|43	6.9364	ACHE|43	16.4003
ACIN1|22985	2633.815	ACIN1|22985	3161.9008
ACLY|47	8979.1908	ACLY|47	3059.714
lowly_expressed	lowly_expressed	ACMSD|130013	15.9798
ACN9|57001	27.7457	ACN9|57001	111.4382
ACO1|48	293.9306	ACO1|48	4999.5795
ACO2|50	2042.1127	ACO2|50	3151.5601
ACOT11|26027	103.4364	ACOT11|26027	37.4895
ACOT13|55856	1082.0694	ACOT13|55856	577.725
ACOT1|641371	307.5145	ACOT1|641371	1003.7847
ACOT2|10965	248.5549	ACOT2|10965	639.6131
ACOT4|122970	365.896	ACOT4|122970	190.9167
lowly_expressed	lowly_expressed	ACOT6|641372	10.9336
ACOT7|11332	681.7919	ACOT7|11332	263.6669
ACOT8|10005	619.1012	ACOT8|10005	215.7233
ACOT9|23597	68.7861	ACOT9|23597	502.1026
ACOX1|51	1769.3382	ACOX1|51	3260.4037
ACOX2|8309	359.2486	ACOX2|8309	388.5618
ACOX3|8310	1050.8671	ACOX3|8310	516.4003
ACOXL|55289	5.4913	lowly_expressed	lowly_expressed
ACP1|52	1723.1214	ACP1|52	1005.4668
ACP2|53	1397.1098	ACP2|53	1039.9495
ACP5|54	897.3988	ACP5|54	812.868
ACP6|51205	233.815	ACP6|51205	259.0412
ACPL2|92370	109.5376	ACPL2|92370	359.9664
ACPP|55	6.6474	ACPP|55	26.4929
ACRBP|84519	83.237	ACRBP|84519	20.185
ACRC|93953	9.8266	ACRC|93953	17.2414
lowly_expressed	lowly_expressed	ACR|49	7.1489
