gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
ACAD9|28976	744.9025	ACAD9|28976	741.1428
ACADL|33	6.1914	ACADL|33	86.1628
ACADM|34	1281.2389	ACADM|34	1849.5801
ACADSB|36	4755.4047	ACADSB|36	4726.5425
ACADS|35	378.8381	ACADS|35	515.1515
ACADVL|37	4841.303	ACADVL|37	4483.3552
ACAN|176	39.8573	lowly_expressed	lowly_expressed
ACAP1|9744	131.9548	ACAP1|9744	31.0332
ACAP2|23527	1240.2207	ACAP2|23527	1552.3914
ACAP3|116983	481.0199	ACAP3|116983	407.5064
ACAT1|38	1916.6343	ACAT1|38	1016.4294
ACAT2|39	307.9578	ACAT2|39	426.2432
ACBD3|64746	2090.7683	ACBD3|64746	1556.7725
ACBD4|79777	233.7265	ACBD4|79777	239.8686
ACBD5|91452	1018.4901	ACBD5|91452	654.6185
ACBD6|84320	566.9027	ACBD6|84320	276.0131
ACBD7|414149	34.8268	ACBD7|414149	66.8127
ACCN2|41	15.8655	ACCN2|41	117.5612
ACCN3|9311	9.6741	ACCN3|9311	6.2066
ACCS|84680	129.2461	ACCS|84680	364.0015
ACD|65057	221.7306	ACD|65057	368.0175
lowly_expressed	lowly_expressed	ACE2|59272	25.9219
lowly_expressed	lowly_expressed	ACER1|125981	14.2388
ACER2|340485	119.185	ACER2|340485	181.4531
ACER3|55331	301.0583	ACER3|55331	394.6696
ACE|1636	374.5815	ACE|1636	709.0179
ACHE|43	19.7352	ACHE|43	26.287
ACIN1|22985	3063.9836	ACIN1|22985	3198.6126
ACLY|47	3214.1257	ACLY|47	3686.3819
ACN9|57001	130.02	ACN9|57001	184.0088
ACO1|48	1066.4737	ACO1|48	1232.2015
ACO2|50	2100.752	ACO2|50	2017.0829
ACOT11|26027	101.5317	ACOT11|26027	33.5889
ACOT13|55856	567.1272	ACOT13|55856	534.7171
ACOT1|641371	370.7118	ACOT1|641371	355.9693
ACOT2|10965	267.3924	ACOT2|10965	270.9018
ACOT4|122970	297.5756	ACOT4|122970	142.3877
ACOT7|11332	284.4188	ACOT7|11332	201.5334
ACOT8|10005	193.6756	ACOT8|10005	198.671
ACOT9|23597	383.4817	ACOT9|23597	419.4962
ACOX1|51	1377.2061	ACOX1|51	1771.6612
ACOX2|8309	241.0788	ACOX2|8309	316.904
ACOX3|8310	839.7126	ACOX3|8310	800.6572
ACP1|52	1460.7904	ACP1|52	1281.4896
ACP2|53	1088.1437	ACP2|53	894.8521
ACP5|54	774.3156	ACP5|54	596.9332
ACP6|51205	478.2879	ACP6|51205	389.1931
ACPL2|92370	722.0754	ACPL2|92370	711.5736
ACPP|55	15.4786	ACPP|55	96.3855
ACRBP|84519	33.2789	ACRBP|84519	7.667
ACRC|93953	16.2525	ACRC|93953	21.1756
ACR|49	6.5784	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSBG1|23205	24.8266
lowly_expressed	lowly_expressed	ACSBG2|81616	11.6831
ACSF2|80221	1263.8255	ACSF2|80221	1100.0365
ACSF3|197322	215.5391	ACSF3|197322	352.6835
ACSL1|2180	867.961	ACSL1|2180	5514.0562
ACSL3|2181	3135.572	ACSL3|2181	7033.2238
ACSL4|2182	756.1283	ACSL4|2182	1413.2895
ACSL5|51703	1808.6713	ACSL5|51703	861.6283
lowly_expressed	lowly_expressed	ACSL6|23305	7.3019
ACSM1|116285	42.953	ACSM1|116285	835.3414
ACSM3|6296	40.4842	ACSM3|6296	2012.3914
ACSM5|54988	19.3482	ACSM5|54988	55.1296
ACSS1|84532	416.7606	ACSS1|84532	900.3286
ACSS2|55902	967.7978	ACSS2|55902	1556.7725
ACSS3|79611	215.5391	ACSS3|79611	537.0573
ACTA1|58	41.4052	lowly_expressed	lowly_expressed
ACTA2|59	8881.7524	ACTA2|59	22582.5812
lowly_expressed	lowly_expressed	ACTBL2|345651	17.5246
ACTB|60	95209.0913	ACTB|60	71442.4973
ACTG1|71	65701.9001	ACTG1|71	57319.8248
ACTG2|72	2199.1183	ACTG2|72	2970.7923
ACTL6A|86	1100.5266	ACTL6A|86	1029.2077
ACTN1|87	7495.8861	ACTN1|87	8640.0146
ACTN4|81	8254.2627	ACTN4|81	10096.9149
ACTR10|55860	1048.6733	ACTR10|55860	1071.1939
ACTR1A|10121	3259.0136	ACTR1A|10121	2189.8503
ACTR1B|10120	1273.1127	ACTR1B|10120	1354.1438
ACTR2|10097	6555.9497	ACTR2|10097	5109.529
ACTR3B|57180	213.2173	ACTR3B|57180	202.2636
ACTR3C|653857	46.0488	ACTR3C|653857	52.5739
ACTR3|10096	3705.9574	ACTR3|10096	3052.5739
ACTR5|79913	193.0952	ACTR5|79913	202.9938
ACTR6|64431	578.8986	ACTR6|64431	733.8445
ACTR8|93973	501.8927	ACTR8|93973	468.054
ACVR1B|91	1572.2361	ACVR1B|91	1172.3257
ACVR1C|130399	56.1098	ACVR1C|130399	463.3078
ACVR1|90	1206.1678	ACVR1|90	1352.6835
ACVR2A|92	290.9972	ACVR2A|92	690.398
ACVR2B|93	710.8535	ACVR2B|93	390.6535
ACVRL1|94	602.1165	ACVRL1|94	453.4502
ACY1|95	753.8065	ACY1|95	680.5403
lowly_expressed	lowly_expressed	ACY3|91703	6.2066
ACYP1|97	33.2789	ACYP1|97	68.6382
ACYP2|98	98.2889	ACYP2|98	148.5944
ADAL|161823	152.077	ADAL|161823	205.5495
ADAM10|102	1980.0965	ADAM10|102	2768.8938
lowly_expressed	lowly_expressed	ADAM11|4185	15.3341
ADAM12|8038	2506.7549	ADAM12|8038	1223.4392
ADAM15|8751	5248.7997	ADAM15|8751	2918.2402
ADAM17|6868	768.5112	ADAM17|6868	1067.1778
ADAM19|8728	548.7154	ADAM19|8728	85.4326
ADAM21|8747	5.8045	lowly_expressed	lowly_expressed
ADAM22|53616	49.9184	ADAM22|53616	59.1457
ADAM23|8745	25.9266	ADAM23|8745	17.8897
ADAM28|10863	77.3929	ADAM28|10863	243.8846
lowly_expressed	lowly_expressed	ADAM29|11086	10.9529
ADAM32|203102	18.5743	ADAM32|203102	30.303
ADAM33|80332	86.68	ADAM33|80332	361.4458
ADAM6|8755	19978.8756	ADAM6|8755	24452.0884
ADAM8|101	236.0482	ADAM8|101	46.7324
ADAM9|8754	2717.6505	ADAM9|8754	2244.6148
ADAMDEC1|27299	99.8368	lowly_expressed	lowly_expressed
ADAMTS10|81794	81.6495	ADAMTS10|81794	92.0044
ADAMTS12|81792	482.1576	ADAMTS12|81792	133.2603
ADAMTS13|11093	75.845	ADAMTS13|11093	65.7174
ADAMTS14|140766	101.7716	ADAMTS14|140766	13.1435
ADAMTS15|170689	668.6744	ADAMTS15|170689	293.9029
ADAMTS16|170690	82.0364	ADAMTS16|170690	371.3034
ADAMTS17|170691	37.1486	ADAMTS17|170691	67.5429
ADAMTS18|170692	8.5132	ADAMTS18|170692	75.9401
lowly_expressed	lowly_expressed	ADAMTS19|171019	34.3191
ADAMTS1|9510	944.9669	ADAMTS1|9510	6540.7083
ADAMTS2|9509	658.6133	ADAMTS2|9509	400.146
ADAMTS3|9508	51.4663	ADAMTS3|9508	109.8941
ADAMTS4|9507	828.8776	ADAMTS4|9507	209.9306
ADAMTS5|11096	318.4716	ADAMTS5|11096	2764.8777
ADAMTS6|11174	85.1322	ADAMTS6|11174	29.5728
ADAMTS7|11173	126.1504	ADAMTS7|11173	27.3823
ADAMTS8|11095	389.6731	ADAMTS8|11095	169.77
ADAMTS9|56999	381.5468	ADAMTS9|56999	945.9657
ADAMTSL1|92949	163.2989	ADAMTSL1|92949	223.4392
ADAMTSL2|9719	169.4904	ADAMTSL2|9719	34.3191
ADAMTSL3|57188	65.7839	ADAMTSL3|57188	125.5933
ADAMTSL4|54507	178.3906	ADAMTSL4|54507	397.5904
ADAMTSL5|339366	108.737	ADAMTSL5|339366	74.8448
ADAP1|11033	206.6854	ADAP1|11033	106.1847
ADAP2|55803	213.2173	ADAP2|55803	135.4509
ADARB1|104	387.3513	ADARB1|104	732.3841
ADARB2|105	16.2525	lowly_expressed	lowly_expressed
ADAR|103	13296.4814	ADAR|103	7476.4513
ADAT1|23536	205.0911	ADAT1|23536	357.4297
ADAT2|134637	79.3277	ADAT2|134637	182.1833
ADAT3|113179	33.6659	ADAT3|113179	17.1595
ADA|100	99.0629	ADA|100	39.7955
ADCK1|57143	129.6331	ADCK1|57143	173.0559
ADCK2|90956	1199.9764	ADCK2|90956	659.3647
ADCK4|79934	517.3713	ADCK4|79934	514.0562
ADCK5|203054	136.9854	ADCK5|203054	66.8127
lowly_expressed	lowly_expressed	ADCY10|55811	10.2227
ADCY1|107	574.642	ADCY1|107	701.3509
ADCY2|108	30.5702	ADCY2|108	177.437
ADCY3|109	1297.6694	ADCY3|109	1042.6652
ADCY4|196883	211.6695	ADCY4|196883	393.5743
ADCY5|111	75.845	ADCY5|111	306.6813
ADCY6|112	1476.2689	ADCY6|112	2364.0015
ADCY7|113	510.406	ADCY7|113	242.7893
ADCY9|115	830.4255	ADCY9|115	831.3253
lowly_expressed	lowly_expressed	ADCYAP1R1|117	14.6039
ADCYAP1|116	12.3829	ADCYAP1|116	7.3019
ADC|113451	181.4863	ADC|113451	129.2442
ADD1|118	5010.0272	ADD1|118	5838.9923
ADD2|119	38.6964	ADD2|119	53.3041
ADD3|120	1022.3598	ADD3|120	4327.1267
ADH1A|124	13.5438	ADH1A|124	35.9985
ADH1B|125	1670.525	ADH1B|125	4435.9255
ADH1C|126	36.3746	ADH1C|126	220.8835
lowly_expressed	lowly_expressed	ADH4|127	5.1114
ADH5|128	1893.8034	ADH5|128	2874.4067
ADHFE1|137872	122.6677	ADHFE1|137872	209.5655
ADI1|55256	1274.2735	ADI1|55256	1701.3509
ADIPOQ|9370	1136.1273	ADIPOQ|9370	6116.831
ADIPOR1|51094	4195.0803	ADIPOR1|51094	2304.4907
ADIPOR2|79602	4532.1263	ADIPOR2|79602	2151.8802
ADK|132	499.571	ADK|132	339.1749
ADM2|79924	289.8363	ADM2|79924	118.2913
ADM|133	82.0364	ADM|133	102.9573
ADNP2|22850	1054.8648	ADNP2|22850	908.7258
ADNP|23394	3252.8222	ADNP|23394	3409.2735
ADORA1|134	281.3231	ADORA1|134	293.1727
ADORA2A|135	672.5363	ADORA2A|135	53.6692
ADORA2B|136	46.0488	ADORA2B|136	85.0675
ADORA3|140	118.4111	ADORA3|140	86.5279
ADO|84890	848.6128	ADO|84890	833.881
ADPGK|83440	922.9293	ADPGK|83440	821.0113
ADPRHL1|113622	313.8281	ADPRHL1|113622	77.0354
ADPRHL2|54936	617.2081	ADPRHL2|54936	582.3293
ADPRH|141	189.9995	ADPRH|141	348.3023
lowly_expressed	lowly_expressed	ADRA1A|148	12.0482
ADRA1B|147	10.0611	ADRA1B|147	16.4294
lowly_expressed	lowly_expressed	ADRA1D|146	6.9368
ADRA2A|150	1110.9746	ADRA2A|150	884.9945
ADRA2B|151	5.8045	ADRA2B|151	17.8897
ADRA2C|152	20.8961	ADRA2C|152	43.8116
ADRB1|153	536.7195	ADRB1|153	11.6831
ADRB2|154	87.8409	ADRB2|154	186.9295
ADRBK1|156	1605.515	ADRBK1|156	1418.0358
ADRBK2|157	542.137	ADRBK2|157	1231.4713
ADRM1|11047	1023.9076	ADRM1|11047	888.2804
ADSL|158	710.4665	ADSL|158	732.019
ADSSL1|122622	108.35	ADSSL1|122622	115.0055
ADSS|159	2981.1732	ADSS|159	1576.4878
AEBP1|165	12322.1052	AEBP1|165	3058.4155
AEBP2|121536	713.5622	AEBP2|121536	974.0781
AEN|64782	421.4042	AEN|64782	453.8153
AES|166	6400.0031	AES|166	5224.1694
AFAP1L1|134265	250.3659	AFAP1L1|134265	334.7937
AFAP1L2|84632	510.019	AFAP1L2|84632	1193.1362
AFAP1|60312	1586.1591	AFAP1|60312	1412.1869
AFF1|4299	2844.1878	AFF1|4299	2759.0361
AFF2|2334	23.9918	AFF2|2334	81.7817
AFF3|3899	1227.4509	AFF3|3899	2805.0383
AFF4|27125	3072.4968	AFF4|27125	4598.3936
AFG3L1|172	152.4639	AFG3L1|172	294.6331
AFG3L2|10939	1796.1336	AFG3L2|10939	1387.4078
AFMID|125061	537.1065	AFMID|125061	1487.4042
AFP|174	25.9266	AFP|174	321.6502
AFTPH|54812	2536.1642	AFTPH|54812	2068.6382
AG2|387763	100.2238	AG2|387763	188.0248
AGAP11|119385	34.9158	AGAP11|119385	139.467
AGAP1|116987	624.1735	AGAP1|116987	588.1709
AGAP2|116986	105.6722	AGAP2|116986	61.8218
AGAP3|116988	1047.1255	AGAP3|116988	1333.6984
AGAP4|119016	158.2684	AGAP4|119016	201.8985
AGAP5|729092	49.5701	AGAP5|729092	79.9051
AGAP6|414189	94.8063	AGAP6|414189	104.7828
AGAP7|653268	5.4175	AGAP7|653268	8.0321
AGAP8|728404	37.5355	AGAP8|728404	68.6382
AGA|175	705.8229	AGA|175	696.9697
AGBL2|79841	34.4398	AGBL2|79841	20.4454
AGBL3|340351	8.1263	AGBL3|340351	7.667
AGBL4|84871	6.5784	AGBL4|84871	9.4925
AGBL5|60509	763.4884	AGBL5|60509	817.4626
AGER|177	14.7046	AGER|177	46.7324
AGFG1|3267	1511.8696	AGFG1|3267	1958.7441
AGFG2|3268	389.2861	AGFG2|3268	556.7725
AGGF1|55109	933.7449	AGGF1|55109	855.0566
AGK|55750	559.9374	AGK|55750	569.916
AGL|178	1099.7526	AGL|178	1318.3644
AGMAT|79814	27.8614	AGMAT|79814	10.9529
AGPAT1|10554	1852.228	AGPAT1|10554	1733.3333
AGPAT2|10555	801.7901	AGPAT2|10555	962.0299
AGPAT3|56894	2809.748	AGPAT3|56894	2056.59
AGPAT4|56895	130.02	AGPAT4|56895	244.9799
AGPAT5|55326	1152.3798	AGPAT5|55326	887.9153
AGPAT6|137964	2268.3849	AGPAT6|137964	1802.8478
AGPAT9|84803	49.5314	AGPAT9|84803	121.5772
AGPHD1|123688	30.1832	AGPHD1|123688	52.2088
AGPS|8540	1216.2289	AGPS|8540	997.8094
AGR2|10551	3876.9956	AGR2|10551	3352.6835
AGR3|155465	3255.9179	AGR3|155465	858.7076
AGRN|375790	5554.486	AGRN|375790	4411.8291
AGTPBP1|23287	274.3577	AGTPBP1|23287	412.5593
AGTR1|185	95.9672	AGTR1|185	151.1501
AGTRAP|57085	1287.4303	AGTRAP|57085	838.9923
AGT|183	137.7593	AGT|183	46.0022
