gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
ATP8B5P|158381	22.8309	ATP8B5P|158381	27.0172
ATP9A|10079	2426.2664	ATP9A|10079	2902.8843
ATP9B|374868	534.7847	ATP9B|374868	606.0606
ATPAF1|64756	1201.6597	ATPAF1|64756	1132.866
ATPAF2|91647	303.8328	ATPAF2|91647	240.2337
ATPBD4|89978	86.68	ATPBD4|89978	195.6919
ATPIF1|93974	973.2153	ATPIF1|93974	791.5298
ATRIP|84126	385.5597	ATRIP|84126	290.9383
ATRNL1|26033	5.8045	ATRNL1|26033	142.3877
ATRN|8455	2113.5992	ATRN|8455	2737.8605
ATRX|546	2271.4806	ATRX|546	3070.0986
ATR|545	852.0955	ATR|545	1205.9146
ATXN10|25814	2502.8853	ATXN10|25814	2263.5999
ATXN1L|342371	898.1442	ATXN1L|342371	2012.0482
ATXN1|6310	1144.6405	ATXN1|6310	1164.6586
ATXN2L|11273	2733.5159999999996	ATXN2L|11273	1807.2289
ATXN2|6311	910.914	ATXN2|6311	837.1668
ATXN3|4287	521.6279	ATXN3|4287	670.3176
ATXN7L1|222255	320.0195	ATXN7L1|222255	287.3311
ATXN7L2|127002	81.2625	ATXN7L2|127002	93.8299
ATXN7L3B|552889	2490.5024	ATXN7L3B|552889	3538.8828
ATXN7L3|56970	1590.4234	ATXN7L3|56970	1181.8182
ATXN7|6314	822.2992	ATXN7|6314	1046.3673
ATXN8OS|6315	5.9554	lowly_expressed	lowly_expressed
AUH|549	286.3536	AUH|549	322.7455
AUP1|550	1975.8089	AUP1|550	1631.2377
AURKAIP1|54998	655.9045	AURKAIP1|54998	554.2169
AURKAPS1|6791	5.8045	AURKAPS1|6791	10.9529
AURKA|6790	143.5638	AURKA|6790	69.3684
AURKB|9212	91.7105	AURKB|9212	16.0643
AURKC|6795	35.2138	AURKC|6795	16.4294
AUTS2|26053	1812.154	AUTS2|26053	2494.7061
AVEN|57099	197.7388	AVEN|57099	141.2924
AVIL|10677	38.3095	AVIL|10677	56.9551
AVL9|23080	454.6831	AVL9|23080	406.3527
AVPI1|60370	202.7693	AVPI1|60370	208.8353
AVPR1A|552	50.3054	AVPR1A|552	74.1146
AVPR2|554	21.283	AVPR2|554	61.3363
lowly_expressed	lowly_expressed	AWAT2|158835	28.4775
AXIN1|8312	851.3215	AXIN1|8312	519.8978
AXIN2|8313	351.3636	AXIN2|8313	340.2702
AXL|558	1358.2448	AXL|558	1196.057
AZGP1|563	15447.6162	AZGP1|563	34248.2658
AZI1|22994	201.6084	AZI1|22994	256.2979
AZI2|64343	940.7103	AZI2|64343	1020.8105
AZIN1|51582	4919.4776	AZIN1|51582	5246.0752
AZU1|566	10.0611	AZU1|566	10.5878
B2M|567	39880.1571	B2M|567	21852.1358
B3GALNT1|8706	459.7136	B3GALNT1|8706	499.8175
B3GALNT2|148789	1000.0281	B3GALNT2|148789	700.0110000000001
lowly_expressed	lowly_expressed	B3GALT1|8708	46.7324
B3GALT2|8707	6.1914	B3GALT2|8707	14.2388
B3GALT4|8705	215.5391	B3GALT4|8705	139.467
B3GALT5|10317	52.6271	B3GALT5|10317	68.6382
B3GALT6|126792	710.8535	B3GALT6|126792	492.5155
B3GALTL|145173	299.5104	B3GALTL|145173	333.6984
B3GAT1|27087	7.3523	B3GAT1|27087	297.5539
B3GAT2|135152	10.2662	B3GAT2|135152	11.2486
B3GAT3|26229	472.0965	B3GAT3|26229	486.67400000000004
B3GNT1|11041	380.7729	B3GNT1|11041	502.3731
B3GNT2|10678	1239.4468	B3GNT2|10678	1478.6418
B3GNT3|10331	92.8714	B3GNT3|10331	146.7689
B3GNT5|84002	95.1932	B3GNT5|84002	399.7809
B3GNT7|93010	64.623	B3GNT7|93010	58.7806
B3GNT8|374907	71.9754	B3GNT8|374907	60.24100000000001
B3GNT9|84752	239.5851	B3GNT9|84752	251.0953
B3GNTL1|146712	59.7589	B3GNTL1|146712	60.2227
B4GALNT1|2583	34.6488	B4GALNT1|2583	31.475
lowly_expressed	lowly_expressed	B4GALNT2|124872	24.4615
B4GALNT3|283358	443.4611	B4GALNT3|283358	213.9467
B4GALNT4|338707	615.6603	B4GALNT4|338707	244.6148
B4GALT1|2683	12053.165	B4GALT1|2683	6939.3939
B4GALT2|8704	1271.1778	B4GALT2|8704	732.7492
B4GALT3|8703	1622.5414	B4GALT3|8703	790.4345
B4GALT4|8702	397.7993	B4GALT4|8702	395.0347
B4GALT5|9334	1627.5720000000001	B4GALT5|9334	1670.6827
B4GALT6|9331	50.3054	B4GALT6|9331	142.7528
B4GALT7|11285	454.2961	B4GALT7|11285	297.5539
B9D1|27077	122.8728	B9D1|27077	154.2132
B9D2|80776	86.29299999999999	B9D2|80776	69.3684
BAALC|79870	34.0529	BAALC|79870	58.4155
BACE1|23621	773.1547	BACE1|23621	1251.5517
BACE2|25825	1012.2987	BACE2|25825	1512.2307
BACH1|571	1101.6875	BACH1|571	1135.4509
BACH2|60468	132.7288	BACH2|60468	403.79699999999997
BAD|572	511.977	BAD|572	396.6667
BAG1|573	3483.36	BAG1|573	1099.7481
BAG2|9532	94.4193	BAG2|9532	127.7839
BAG3|9531	1102.0744	BAG3|9531	1270.5367
BAG4|9530	294.0929	BAG4|9530	240.9639
BAG5|9529	1389.5889	BAG5|9529	2014.969
lowly_expressed	lowly_expressed	BAGE2|85319	12.5484
BAHCC1|57597	429.1434	BAHCC1|57597	511.8656
BAHD1|22893	764.2546	BAHD1|22893	830.5951
BAI1|575	66.9448	BAI1|575	187.6597
BAI2|576	432.2392	BAI2|576	135.4509
BAI3|577	5.0305	BAI3|577	35.7795
BAIAP2L1|55971	1056.4126	BAIAP2L1|55971	591.4567
lowly_expressed	lowly_expressed	BAIAP2L2|80115	10.2227
BAIAP2|10458	875.3133	BAIAP2|10458	954.3629
BAIAP3|8938	488.6895	BAIAP3|8938	175.8415
BAK1|578	314.98900000000003	BAK1|578	212.1212
BAMBI|25805	967.0239	BAMBI|25805	1045.272
BANF1|8815	1814.0888	BANF1|8815	1600.2191
BANK1|55024	46.8227	BANK1|55024	33.954
BANP|54971	220.5697	BANP|54971	201.8985
BAP1|8314	1602.8063	BAP1|8314	1497.2618
BARD1|580	112.2197	BARD1|580	108.4337
BARX1|56033	7.3523	lowly_expressed	lowly_expressed
BARX2|8538	396.6384	BARX2|8538	947.4261
BASP1|10409	411.3431	BASP1|10409	224.5345
BAT1|7919	4525.1609	BAT1|7919	5886.4549
BAT2L1|84726	5492.8465	BAT2L1|84726	7071.1355
BAT2L2|23215	7095.765	BAT2L2|23215	5624.6805
BAT2|7916	6709.1876	BAT2|7916	6488.8645
BAT3|7917	4245.3857	BAT3|7917	3618.4739
BAT4|7918	299.8974	BAT4|7918	297.5539
BAT5|7920	1198.4285	BAT5|7920	783.4976
BATF2|116071	78.5538	BATF2|116071	47.0975
BATF3|55509	15.0916	BATF3|55509	12.0482
BATF|10538	266.2315	BATF|10538	159.1822
BAX|581	450.8134	BAX|581	247.1705
BAZ1A|11177	1334.253	BAZ1A|11177	1144.9434
BAZ1B|9031	3098.8104	BAZ1B|9031	2193.5013
BAZ2A|11176	3063.9836	BAZ2A|11176	3257.123
BAZ2B|29994	935.1109	BAZ2B|29994	1499.3611
BBC3|27113	198.5127	BBC3|27113	54.0343
BBOX1|8424	92.8714	BBOX1|8424	808.3242
BBS10|79738	424.8868	BBS10|79738	806.1336
BBS12|166379	153.2379	BBS12|166379	221.6137
BBS1|582	1113.6833	BBS1|582	1209.2844
BBS2|583	827.7167	BBS2|583	1583.7897
BBS4|585	553.359	BBS4|585	456.3709
BBS5|129880	239.1633	BBS5|129880	257.2143
BBS7|55212	196.5779	BBS7|55212	326.0314
BBS9|27241	365.6813	BBS9|27241	351.2231
BBX|56987	1688.7123	BBX|56987	2621.7598
BCAM|4059	5774.2818	BCAM|4059	5304.4907
BCAN|63827	18.1873	BCAN|63827	11.6831
BCAP29|55973	1804.8016	BCAP29|55973	1227.8204
BCAP31|10134	4067.7691	BCAP31|10134	3619.2041
BCAR1|9564	867.574	BCAR1|9564	756.8456
BCAR3|8412	587.7988	BCAR3|8412	791.1647
BCAS1|8537	198.8997	BCAS1|8537	267.6159
BCAS2|10286	604.9646	BCAS2|10286	829.5582
BCAS3|54828	501.8927	BCAS3|54828	665.5714
BCAS4|55653	604.4383	BCAS4|55653	360.3505
BCAT1|586	169.4904	BCAT1|586	188.0248
BCAT2|587	706.9838	BCAT2|587	588.1709
BCCIP|56647	1277.8259	BCCIP|56647	1133.9029
BCDIN3D|144233	272.0243	BCDIN3D|144233	232.7711
BCHE|590	10.448	BCHE|590	43.0814
BCKDHA|593	881.8569	BCKDHA|593	909.456
BCKDHB|594	515.8235	BCKDHB|594	827.6743
BCKDK|10295	1876.39	BCKDK|10295	881.7087
BCL10|8915	610.6297	BCL10|8915	575.3925
BCL11A|53335	78.1668	BCL11A|53335	275.64799999999997
BCL11B|64919	114.1545	BCL11B|64919	145.6736
BCL2A1|597	34.4398	BCL2A1|597	13.8737
BCL2L11|10018	1278.5302	BCL2L11|10018	1229.6459
BCL2L12|83596	200.227	BCL2L12|83596	145.2318
BCL2L13|23786	1412.8068	BCL2L13|23786	1309.6019999999999
BCL2L14|79370	30.1832	BCL2L14|79370	9.8576
BCL2L15|440603	16.2525	BCL2L15|440603	7.3019
BCL2L1|598	2333.7819	BCL2L1|598	2160.6426
BCL2L2|599	907.0328	BCL2L2|599	1685.4582
BCL2|596	5070.7806	BCL2|596	2424.2424
BCL3|602	1051.7691	BCL3|602	775.1004
BCL6B|255877	358.7159	BCL6B|255877	401.9715
BCL6|604	840.0996	BCL6|604	2520.2629
BCL7A|605	682.2181	BCL7A|605	520.9931
BCL7B|9275	1060.6692	BCL7B|9275	813.4356
BCL7C|9274	558.7765	BCL7C|9274	406.7178
lowly_expressed	lowly_expressed	BCL8|606	12.7784
BCL9L|283149	2456.8365	BCL9L|283149	1998.9047
BCL9|607	2495.146	BCL9|607	816.7214
BCLAF1|9774	4179.6018	BCLAF1|9774	5527.5648
BCO2|83875	16.2525	BCO2|83875	11.6831
BCORL1|63035	402.8299	BCORL1|63035	624.3154
BCOR|54880	1545.9225	BCOR|54880	1123.0376
BCR|613	1351.6664	BCR|613	1596.203
BCS1L|617	237.7277	BCS1L|617	300.1314
BDH1|622	410.1822	BDH1|622	488.4995
BDH2|56898	801.4031	BDH2|56898	1014.9689999999999
BDKRB1|623	11.6089	BDKRB1|623	25.1917
BDKRB2|624	526.6585	BDKRB2|624	684.1913
BDNFOS|497258	108.2571	BDNFOS|497258	122.4973
BDNF|627	6.6713	BDNF|627	36.6849
BDP1|55814	974.3762	BDP1|55814	1624.3154
BEAN|146227	19.7352	BEAN|146227	37.9701
BECN1|8678	2182.8735	BECN1|8678	1824.7463
BEGAIN|57596	15.4786	BEGAIN|57596	67.908
BEND3|57673	122.6677	BEND3|57673	152.2453
BEND5|79656	52.2402	BEND5|79656	120.4819
BEND6|221336	27.0875	BEND6|221336	20.8105
BEND7|222389	213.2173	BEND7|222389	447.2435
BEST1|7439	49.1445	BEST1|7439	32.4936
lowly_expressed	lowly_expressed	BEST3|144453	8.0321
lowly_expressed	lowly_expressed	BEST4|266675	10.5878
BET1L|51272	1863.2333	BET1L|51272	1855.0566
BET1|10282	598.2469	BET1|10282	542.5338
lowly_expressed	lowly_expressed	BEX1|55859	34.3191
BEX2|84707	68.1057	BEX2|84707	320.1899
BEX4|56271	459.3267	BEX4|56271	1090.5439999999999
BEX5|340542	71.5884	BEX5|340542	136.5462
BFAR|51283	1598.1627	BFAR|51283	1196.057
BFSP1|631	33.2789	BFSP1|631	42.7163
BGLAP|632	32.0639	BGLAP|632	22.8551
BGN|633	16722.2767	BGN|633	1518.4374
BHLHB9|80823	136.2114	BHLHB9|80823	188.755
BHLHE22|27319	42.5661	BHLHE22|27319	24.8266
BHLHE40|8553	10177.5489	BHLHE40|8553	10411.464
BHLHE41|79365	1092.4003	BHLHE41|79365	3615.188
BHMT2|23743	42.953	BHMT2|23743	111.3545
BICC1|80114	224.0523	BICC1|80114	274.9179
BICD1|636	109.5109	BICD1|636	171.2304
BICD2|23299	844.3562	BICD2|23299	919.6787
BID|637	464.3224	BID|637	332.3585
BIK|638	279.0013	BIK|638	159.9124
BIN1|274	195.417	BIN1|274	435.5604
BIN2|51411	173.747	BIN2|51411	69.3684
BIN3|55909	560.7113	BIN3|55909	403.4319
BIRC2|329	1564.4968	BIRC2|329	1740.4162
BIRC3|330	732.1365	BIRC3|330	573.9321
BIRC5|332	129.7801	BIRC5|332	138.3826
BIRC6|57448	2512.9464	BIRC6|57448	3580.1387
BIVM|54841	398.1863	BIVM|54841	598.0285
BLCAP|10904	1347.4098	BLCAP|10904	2125.5933
BLK|640	8.1263	lowly_expressed	lowly_expressed
BLMH|642	1258.4080000000001	BLMH|642	483.7532
BLM|641	103.3195	BLM|641	55.4947
BLNK|29760	700.7924	BLNK|29760	196.4221
BLOC1S1|2647	602.5035	BLOC1S1|2647	508.0504
BLOC1S2|282991	895.4355	BLOC1S2|282991	582.6944
BLOC1S3|388552	333.1763	BLOC1S3|388552	181.8182
BLVRA|644	1175.2107	BLVRA|644	906.9003
BLVRB|645	516.2104	BLVRB|645	785.6882
BLZF1|8548	827.7167	BLZF1|8548	702.8112
BMF|90427	741.8106	BMF|90427	271.9971
BMI1|648	2752.9068	BMI1|648	2026.6959
BMP1|649	683.3789999999999	BMP1|649	376.0497
BMP2K|55589	320.4065	BMP2K|55589	595.8379
BMP2|650	27.0875	BMP2|650	184.739
lowly_expressed	lowly_expressed	BMP3|651	23.0011
BMP4|652	366.0683	BMP4|652	194.5966
lowly_expressed	lowly_expressed	BMP5|653	192.0409
BMP6|654	77.2806	BMP6|654	142.2599
BMP7|655	65.39699999999999	BMP7|655	177.437
BMP8A|353500	439.9784	BMP8A|353500	56.2249
BMP8B|656	117.2502	BMP8B|656	70.8288
BMPER|168667	15.8655	BMPER|168667	91.2742
BMPR1A|657	744.5194	BMPR1A|657	952.5374
BMPR1B|658	64.2361	lowly_expressed	lowly_expressed
BMPR2|659	3593.7378	BMPR2|659	4355.9693
BMS1P4|729096	58.006	BMS1P4|729096	48.2439
BMS1P5|399761	91.7105	BMS1P5|399761	130.7046
BMS1|9790	1285.1085	BMS1|9790	1368.0175
BMX|660	23.6048	BMX|660	127.7839
BNC1|646	11.6089	BNC1|646	436.6557
BNC2|54796	304.154	BNC2|54796	238.4082
BNIP1|662	146.2725	BNIP1|662	185.4691
BNIP2|663	761.1588	BNIP2|663	1120.1168
BNIP3L|665	4553.4093	BNIP3L|665	4254.8375
BNIP3|664	1138.4491	BNIP3|664	720.3359
BNIPL|149428	1441.8291	BNIPL|149428	430.8142
BOC|91653	694.9879	BOC|91653	1762.6871
BOD1L|259282	1491.7475	BOD1L|259282	2142.0226
BOD1|91272	826.9428	BOD1|91272	894.487
BOK|666	1160.506	BOK|666	1008.0321
BOLA1|51027	316.9238	BOLA1|51027	139.467
BOLA2|552900	803.9687	BOLA2|552900	490.5075
BOLA3|388962	135.0506	BOLA3|388962	145.3085
BOP1|23246	200.0606	BOP1|23246	153.7057
BPGM|669	700.4054	BPGM|669	374.5893
BPHL|670	527.0454	BPHL|670	436.6557
BPIL1|80341	19.7352	BPIL1|80341	70.0986
BPNT1|10380	1193.3980000000001	BPNT1|10380	665.2063
BPTF|2186	2112.8253	BPTF|2186	3081.4166
BRAF|673	186.1298	BRAF|673	211.7561
BRAP|8315	687.6356	BRAP|8315	667.762
BRCA1|672	291.7711	BRCA1|672	244.6148
BRCA2|675	116.4763	BRCA2|675	91.2742
BRCC3|79184	783.2158	BRCC3|79184	691.1281
BRD1|23774	968.1848	BRD1|23774	1060.6061
BRD2|6046	5359.843000000001	BRD2|6046	6235.1223
BRD3|8019	1613.1266	BRD3|8019	1211.9460000000001
BRD4|23476	1955.7177	BRD4|23476	1604.2351
BRD7|29117	808.7555	BRD7|29117	1218.3279
BRD8|10902	1337.7357	BRD8|10902	1301.935
BRD9|65980	701.5663	BRD9|65980	687.4772
BRE|9577	616.8211	BRE|9577	587.0756
BRF1|2972	565.3549	BRF1|2972	537.0573
BRF2|55290	376.5163	BRF2|55290	276.3782
BRI3BP|140707	61.9143	BRI3BP|140707	74.8448
BRI3|25798	974.3762	BRI3|25798	662.6506
BRIP1|83990	59.9795	BRIP1|83990	38.7003
BRIX1|55299	551.8111	BRIX1|55299	645.8562
BRMS1L|84312	158.2684	BRMS1L|84312	228.5506
BRMS1|25855	707.3708	BRMS1|25855	507.1194
BRP44L|51660	317.3108	BRP44L|51660	447.6086
BRP44|25874	890.018	BRP44|25874	880.9785
BRPF1|7862	525.1106	BRPF1|7862	653.8883
BRPF3|27154	1678.2643	BRPF3|27154	1632.7127
BRSK1|84446	59.2055	BRSK1|84446	74.8448
BRWD1|54014	1931.7259	BRWD1|54014	2243.5195
BRWD3|254065	241.8527	BRWD3|254065	258.4885
BSCL2|26580	2478.8587	BSCL2|26580	1922.3841
BSDC1|55108	2451.419	BSDC1|55108	2675.0639
BSG|682	7480.7945	BSG|682	5263.965
BSN|8927	42.953	BSN|8927	108.4337
BSPRY|54836	1634.5373	BSPRY|54836	1237.3129
BST1|683	189.9995	BST1|683	90.9091
BST2|684	3267.5268	BST2|684	798.4666
BTAF1|9044	888.0831	BTAF1|9044	1813.4356
BTBD10|84280	564.581	BTBD10|84280	563.3443
BTBD11|121551	85.9061	BTBD11|121551	355.2391
BTBD12|84464	239.9179	BTBD12|84464	204.0891
BTBD19|149478	16.2525	BTBD19|149478	20.8105
BTBD1|53339	1540.505	BTBD1|53339	1653.1581
BTBD2|55643	1965.7788	BTBD2|55643	1535.9620000000002
BTBD3|22903	616.4342	BTBD3|22903	1202.6287
BTBD6|90135	1040.9341	BTBD6|90135	927.7108
BTBD7|55727	1019.2641	BTBD7|55727	1384.4469
BTBD8|284697	12.3829	BTBD8|284697	20.4454
BTBD9|114781	619.5299	BTBD9|114781	628.3315
BTC|685	9.2871	BTC|685	23.0011
BTD|686	805.6597	BTD|686	597.6634
BTF3L4|91408	985.9851	BTF3L4|91408	944.8704
BTF3|689	10232.4978	BTF3|689	10738.5907
BTG1|694	5855.1573	BTG1|694	4534.5016
BTG2|7832	10206.9582	BTG2|7832	6999.6349
BTG3|10950	299.8974	BTG3|10950	458.9266
BTK|695	125.7634	BTK|695	45.272
BTLA|151888	36.3746	BTLA|151888	12.4133
BTN2A1|11120	531.689	BTN2A1|11120	595.1077
BTN2A2|10385	294.0929	BTN2A2|10385	257.7583
BTN2A3|54718	17.8004	BTN2A3|54718	31.3983
BTN3A1|11119	802.1771	BTN3A1|11119	752.8295
BTN3A2|11118	1331.1573	BTN3A2|11118	887.5502
BTN3A3|10384	661.709	BTN3A3|10384	461.8474
BTNL9|153579	59.2055	BTNL9|153579	423.1471
BTRC|8945	3067.0793	BTRC|8945	1067.1778
BUB1B|701	185.8009	BUB1B|701	68.0175
BUB1|699	164.4598	BUB1|699	62.7966
BUB3|9184	3268.6877	BUB3|9184	1761.5918
BUD13|84811	427.9826	BUD13|84811	502.00800000000004
BUD31|8896	1136.077	BUD31|8896	731.8328
BVES|11149	65.7839	BVES|11149	94.195
BYSL|705	351.7506	BYSL|705	388.82800000000003
BZRAP1|9256	432.2392	BZRAP1|9256	695.1442
BZW1|9689	4969.7829	BZW1|9689	5185.8342
BZW2|28969	1938.3043	BZW2|28969	1558.598
C10orf105|414152	10.0611	C10orf105|414152	16.4294
C10orf107|219621	95.9672	C10orf107|219621	7.667000000000001
lowly_expressed	lowly_expressed	C10orf108|414235	8.7623
C10orf10|11067	2557.4473	C10orf10|11067	3590.3614
C10orf110|55853	10.6918	C10orf110|55853	27.3932
lowly_expressed	lowly_expressed	C10orf111|221060	9.1274
C10orf114|399726	8.1263	C10orf114|399726	24.0964
C10orf116|10974	1047.644	C10orf116|10974	1557.6597
C10orf118|55088	884.9874	C10orf118|55088	1133.2603
C10orf119|79892	2051.6849	C10orf119|79892	1629.4268
C10orf11|83938	15.4786	C10orf11|83938	28.8426
C10orf125|282969	32.118	C10orf125|282969	37.2399
C10orf128|170371	12.7698	C10orf128|170371	49.6532
C10orf12|26148	120.551	C10orf12|26148	137.7072
C10orf137|26098	551.0372	C10orf137|26098	506.0241
lowly_expressed	lowly_expressed	C10orf140|387640	24.0964
C10orf18|54906	2062.1329	C10orf18|54906	1788.9741
C10orf25|220979	49.1445	C10orf25|220979	64.2789
C10orf26|54838	3208.3213	C10orf26|54838	1803.943
C10orf28|27291	515.4365	C10orf28|27291	400.8762
C10orf2|56652	501.5058	C10orf2|56652	387.0026
C10orf32|119032	1104.0092	C10orf32|119032	938.2986
C10orf35|219738	322.7283	C10orf35|219738	170.5002
C10orf41|100131213	6.1914	C10orf41|100131213	28.5068
C10orf46|143384	2700.2371	C10orf46|143384	2200.8032
C10orf47|254427	387.7383	C10orf47|254427	159.5473
C10orf4|118924	421.0172	C10orf4|118924	430.8142
C10orf54|64115	623.7865	C10orf54|64115	1197.8824
C10orf55|414236	7.9405	C10orf55|414236	12.0591
C10orf57|80195	2746.015	C10orf57|80195	1357.0172
C10orf58|84293	2813.2307	C10orf58|84293	1476.4513
C10orf68|79741	27.8692	C10orf68|79741	16.4294
C10orf72|196740	483.3185	C10orf72|196740	280.7594
C10orf75|90271	227.535	C10orf75|90271	182.5484
C10orf76|79591	898.5312	C10orf76|79591	683.4611
C10orf78|119392	168.7164	C10orf78|119392	139.8321
C10orf79|80217	196.1909	C10orf79|80217	104.4177
C10orf81|79949	750.7108	C10orf81|79949	2227.4553
C10orf82|143379	188.4516	C10orf82|143379	31.3983
C10orf84|63877	1050.2212	C10orf84|63877	711.2085
C10orf88|80007	255.7834	C10orf88|80007	219.0581
lowly_expressed	lowly_expressed	C10orf90|118611	62.4315
C10orf93|255352	25.1527	C10orf93|255352	8.3972
C10orf95|79946	10.6763	lowly_expressed	lowly_expressed
C11orf10|746	1057.1866	C11orf10|746	768.1636
C11orf17|56672	231.0177	C11orf17|56672	202.9938
C11orf1|64776	437.8192	C11orf1|64776	353.7094
C11orf21|29125	8.9002	lowly_expressed	lowly_expressed
C11orf24|53838	750.3238	C11orf24|53838	587.8058
C11orf2|738	1516.9002	C11orf2|738	1690.0329
C11orf30|56946	500.7318	C11orf30|56946	659.3647
C11orf31|280636	864.8653	C11orf31|280636	613.3625
C11orf35|256329	70.888	C11orf35|256329	36.2979
C11orf41|25758	261.5879	C11orf41|25758	127.0537
C11orf45|219833	75.458	C11orf45|219833	54.0343
C11orf46|120534	718.9797	C11orf46|120534	768.5287
C11orf48|79081	491.6962	C11orf48|79081	331.0332
C11orf49|79096	549.1024	C11orf49|79096	454.1804
C11orf51|25906	369.9959	C11orf51|25906	342.5119
C11orf52|91894	476.4189	C11orf52|91894	439.2114
lowly_expressed	lowly_expressed	C11orf53|341032	7.667000000000001
C11orf54|28970	694.6010000000001	C11orf54|28970	735.3049
C11orf57|55216	933.3580000000001	C11orf57|55216	910.9164
C11orf58|10944	3020.2566	C11orf58|10944	3528.6601
C11orf59|55004	1480.9125	C11orf59|55004	1382.2563
C11orf61|79684	157.8814	C11orf61|79684	252.2819
C11orf63|79864	304.5409	C11orf63|79864	205.1844
C11orf65|160140	7.3523	C11orf65|160140	7.3019
C11orf66|220004	22.8309	C11orf66|220004	20.0803
C11orf67|28971	273.0227	C11orf67|28971	242.165
C11orf68|83638	699.2445	C11orf68|83638	707.9226
C11orf70|85016	20.5091	C11orf70|85016	41.2559
C11orf71|54494	159.4293	C11orf71|54494	283.6802
C11orf73|51501	331.6284	C11orf73|51501	343.9211
C11orf74|119710	102.5455	C11orf74|119710	145.6736
C11orf75|56935	99.8368	C11orf75|56935	202.9938
C11orf80|79703	178.0036	C11orf80|79703	322.3804
C11orf82|220042	73.1363	C11orf82|220042	53.6692
C11orf83|790955	152.4639	C11orf83|790955	112.0847
C11orf84|144097	248.0441	C11orf84|144097	235.4874
lowly_expressed	lowly_expressed	C11orf87|399947	7.667000000000001
C11orf92|399948	14.3177	C11orf92|399948	495.8014
C11orf93|120376	13.9307	C11orf93|120376	65.3523
C11orf95|65998	311.1193	C11orf95|65998	543.264
C11orf9|745	39.8573	C11orf9|745	34.3191
C12orf10|60314	662.4829	C12orf10|60314	613.3625
C12orf11|55726	509.63199999999995	C12orf11|55726	420.5915
C12orf23|90488	1071.5042	C12orf23|90488	1309.6019999999999
C12orf24|29902	57.6577	C12orf24|29902	81.0515
C12orf26|84190	176.0688	C12orf26|84190	185.1041
C12orf29|91298	360.6469	C12orf29|91298	481.0953
C12orf32|83695	748.0021	C12orf32|83695	543.6291
C12orf34|84915	102.9325	C12orf34|84915	142.7528
C12orf35|55196	2735.0639	C12orf35|55196	1670.6827
C12orf41|54934	524.3367	C12orf41|54934	581.5991
C12orf43|64897	239.144	C12orf43|64897	287.3311
C12orf44|60673	611.0167	C12orf44|60673	666.6667
C12orf45|121053	157.1075	C12orf45|121053	120.4819
C12orf47|51275	236.679	C12orf47|51275	273.954
C12orf48|55010	81.8662	C12orf48|55010	56.5024
C12orf49|79794	474.8052	C12orf49|79794	585.2501
C12orf4|57102	347.10699999999997	C12orf4|57102	447.2435
C12orf51|283450	1105.5571	C12orf51|283450	1827.3092
C12orf52|84934	383.4817	C12orf52|84934	321.2851
C12orf53|196500	32.891999999999996	C12orf53|196500	96.0204
C12orf57|113246	1374.4973	C12orf57|113246	1144.9434
C12orf59|120939	8.9002	C12orf59|120939	6.2066
C12orf5|57103	218.2479	C12orf5|57103	227.0902
C12orf60|144608	25.1527	C12orf60|144608	17.5246
C12orf61|283416	7.3523	C12orf61|283416	9.1274
C12orf62|84987	414.4388	C12orf62|84987	426.7981
C12orf63|374467	6.9654	C12orf63|374467	5.1114
C12orf65|91574	213.2173	C12orf65|91574	254.1073
C12orf66|144577	154.0118	C12orf66|144577	160.2775
C12orf68|387856	23.9918	C12orf68|387856	25.9219
C12orf72|254013	83.1973	C12orf72|254013	86.5279
C12orf73|728568	97.12799999999999	C12orf73|728568	104.0526
C12orf75|387882	378.4511	C12orf75|387882	218.69299999999998
C12orf76|400073	151.69	C12orf76|400073	155.5312
C13orf15|28984	262.3618	C13orf15|28984	622.1249
C13orf18|80183	64.2361	C13orf18|80183	89.0836
C13orf1|57213	211.6695	C13orf1|57213	274.5528
C13orf23|80209	1159.3451	C13orf23|80209	1038.7003
C13orf27|93081	101.3847	C13orf27|93081	143.1179
C13orf29|283487	80.4886	C13orf29|283487	183.6437
C13orf30|144809	6.5784	lowly_expressed	lowly_expressed
C13orf31|144811	344.3983	C13orf31|144811	266.1555
C13orf33|84935	140.855	C13orf33|84935	568.4556
C13orf34|79866	139.3613	C13orf34|79866	111.7853
lowly_expressed	lowly_expressed	C13orf36|400120	19.7152
C13orf37|440145	344.3983	C13orf37|440145	354.1438
C13orf38|728591	16.3376	C13orf38|728591	6.4695
C14orf101|54916	576.1899	C14orf101|54916	614.4578
C14orf102|55051	284.8057	C14orf102|55051	353.7788
C14orf104|55172	309.5715	C14orf104|55172	311.7926
C14orf106|55320	695.7619	C14orf106|55320	613.3625
C14orf109|26175	227.922	C14orf109|26175	320.1899
C14orf118|55668	189.6125	C14orf118|55668	285.8708
C14orf119|55017	1093.5612	C14orf119|55017	891.2012
C14orf126|112487	347.8461	C14orf126|112487	367.9336
C14orf128|84837	43.727	C14orf128|84837	112.4498
C14orf129|51527	558.3895	C14orf129|51527	477.1815
C14orf132|56967	1208.8766	C14orf132|56967	1349.3976
C14orf135|64430	845.904	C14orf135|64430	1055.8598
C14orf138|79609	150.1422	C14orf138|79609	156.2614
C14orf139|79686	109.1239	C14orf139|79686	302.3001
