gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
ACAD9|28976	2176.5752	ACAD9|28976	802.8401
ACADL|33	54.6437	ACADL|33	118.4417
ACADM|34	1364.8205	ACADM|34	1316.054
ACADSB|36	1279.2545	ACADSB|36	3415.0173
ACADS|35	191.041	ACADS|35	535.344
ACADVL|37	2761.8087	ACADVL|37	4349.6293
ACAN|176	58.8796	lowly_expressed	lowly_expressed
ACAP1|9744	122.4187	ACAP1|9744	120.9551
ACAP2|23527	1549.9312	ACAP2|23527	1990.5749
ACAP3|116983	384.6574	ACAP3|116983	447.1536
ACAT1|38	909.0331	ACAT1|38	1185.0456
ACAT2|39	746.5001	ACAT2|39	435.3597
ACBD3|64746	1774.0125	ACBD3|64746	1493.2454
ACBD4|79777	153.7647	ACBD4|79777	294.3764
ACBD5|91452	619.2947	ACBD5|91452	732.6422
ACBD6|84320	631.5789	ACBD6|84320	345.9001
ACBD7|414149	150.7995	ACBD7|414149	55.2937
ACCN2|41	199.9365	ACCN2|41	137.2919
lowly_expressed	lowly_expressed	ACCN3|9311	13.5093
ACCS|84680	302.8699	ACCS|84680	392.0829
ACD|65057	474.8491	ACD|65057	385.4854
ACE2|59272	28.3808	ACE2|59272	14.4518
ACER2|340485	45.7482	ACER2|340485	217.405
ACER3|55331	351.5832	lowly_expressed	lowly_expressed
ACE|1636	1645.2399	ACE|1636	626.7672
ACHE|43	10.1663	ACHE|43	64.7188
ACIN1|22985	2772.424	ACIN1|22985	3393.6538
ACLY|47	2596.6324	ACLY|47	3573.9868
ACN9|57001	127.0783	ACN9|57001	158.6554
ACO1|48	851.4243	ACO1|48	1666.3525
ACO2|50	3745.8901	ACO2|50	1801.1122
ACOT11|26027	58.0324	ACOT11|26027	30
ACOT13|55856	511.7865	ACOT13|55856	520.6158
ACOT1|641371	327.8619	ACOT1|641371	376.0603
ACOT2|10965	202.0544	ACOT2|10965	172.1646
ACOT4|122970	71.1638	ACOT4|122970	94.2507
ACOT7|11332	355.3955	ACOT7|11332	238.4543
ACOT8|10005	326.8114	ACOT8|10005	197.4081
ACOT9|23597	468.4952	ACOT9|23597	493.5595
ACOX1|51	1308.4825	ACOX1|51	1727.9548
ACOX2|8309	31.7696	ACOX2|8309	305.3723
ACOX3|8310	384.1999	ACOX3|8310	763.7449
ACP1|52	1032.2991	ACP1|52	1128.4951
ACP2|53	575.2409	ACP2|53	613.569
ACP5|54	413.0043	ACP5|54	459.9434
ACP6|51205	210.9499	ACP6|51205	323.5941
ACPL2|92370	463.8356	ACPL2|92370	465.2843
ACPP|55	7.6247	ACPP|55	53.7229
ACRBP|84519	58.456	ACRBP|84519	19.7926
ACRC|93953	10.5899	ACRC|93953	28.2752
ACRV1|56	5.0831	lowly_expressed	lowly_expressed
ACR|49	36.8527	ACR|49	6.9117
ACSBG1|23205	8.4719	ACSBG1|23205	29.2177
lowly_expressed	lowly_expressed	ACSBG2|81616	8.1684
ACSF2|80221	381.2348	ACSF2|80221	699.0261
ACSF3|197322	575.2409	ACSF3|197322	319.5099
ACSL1|2180	2438.6318	ACSL1|2180	6240.9676
ACSL3|2181	4427.4065	ACSL3|2181	3852.0264
ACSL4|2182	1415.2282	ACSL4|2182	1510.5247
ACSL5|51703	855.2367	ACSL5|51703	1019.4785
ACSL6|23305	72.8582	ACSL6|23305	18.2218
ACSM1|116285	9.7427	ACSM1|116285	77.5997
ACSM3|6296	158.5428	ACSM3|6296	275.5859
