gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
C5orf33|133686	667.5845	C5orf33|133686	1000.6283
C5orf34|375444	191.8882	C5orf34|375444	63.4621
C5orf35|133383	183.8399	C5orf35|133383	148.6019
C5orf36|285600	50.4077	C5orf36|285600	131.3227
lowly_expressed	lowly_expressed	C5orf38|153571	51.5237
C5orf39|389289	67.3515	C5orf39|389289	67.8605
C5orf41|153222	441.8087	C5orf41|153222	1271.442
C5orf42|65250	670.9732	C5orf42|65250	995.2875
C5orf43|643155	1024.6744	C5orf43|643155	1073.5156
C5orf44|80006	589.6304	C5orf44|80006	488.0427
C5orf45|51149	97.8037	C5orf45|51149	318.6491
C5orf46|389336	20.7561	C5orf46|389336	16.0226
C5orf49|134121	11.437000000000001	C5orf49|134121	30.7886
C5orf4|10826	878.1108	C5orf4|10826	2258.2469
C5orf51|285636	1041.1945	C5orf51|285636	1129.7518
C5orf53|492311	193.5825	C5orf53|492311	492.9312
C5orf54|63920	121.9951	C5orf54|63920	147.0311
C5orf55|116349	58.8796	C5orf55|116349	73.5156
C5orf56|441108	115.4675	C5orf56|441108	132.0767
C5orf58|133874	5.5067	lowly_expressed	lowly_expressed
C5orf62|85027	140.6333	C5orf62|85027	747.7223
C5|727	131.3142	C5|727	486.0195
C6orf105|84830	19.0617	C6orf105|84830	60.0063
C6orf106|64771	4244.4139	C6orf106|64771	2761.8599
C6orf108|10591	369.3741	C6orf108|10591	129.1235
C6orf114|85411	5.5067	C6orf114|85411	6.5975
C6orf115|58527	1272.0534	C6orf115|58527	262.6453
C6orf120|387263	575.6645	C6orf120|387263	1143.3019
C6orf122|401288	6.3539	C6orf122|401288	10.5152
lowly_expressed	lowly_expressed	C6orf123|26238	15.0801
C6orf124|653483	43.2066	C6orf124|653483	26.3902
C6orf125|84300	775.2452	C6orf125|84300	374.0371
C6orf129|154467	357.5135	C6orf129|154467	60.0063
C6orf130|221443	297.1725	C6orf130|221443	500.0628
C6orf132|647024	272.3711	C6orf132|647024	176.2488
C6orf134|79969	470.6132	C6orf134|79969	288.4072
C6orf136|221545	205.8668	C6orf136|221545	152.0578
C6orf138|442213	8.4719	C6orf138|442213	59.3779
C6orf141|135398	137.6681	C6orf141|135398	91.4232
C6orf142|90523	13.555	lowly_expressed	lowly_expressed
C6orf145|221749	1054.7495	C6orf145|221749	948.4763
C6orf147|387097	34.9465	C6orf147|387097	10.6817
C6orf150|115004	121.1479	C6orf150|115004	61.263000000000005
C6orf153|88745	504.5007	C6orf153|88745	493.8737
lowly_expressed	lowly_expressed	C6orf154|221424	9.4251
C6orf155|79940	93.1907	C6orf155|79940	160.2262
C6orf15|29113	138.9389	C6orf15|29113	8.4826
C6orf162|57150	208.7981	C6orf162|57150	204.7188
C6orf163|206412	8.8955	C6orf163|206412	10.0534
C6orf164|63914	17.8248	C6orf164|63914	14.5712
C6orf165|154313	12.047	C6orf165|154313	36.3619
C6orf167|253714	1092.0258	C6orf167|253714	338.6742
C6orf168|84553	347.3472	C6orf168|84553	204.2099
C6orf170|221322	267.2879	C6orf170|221322	213.6349
C6orf174|387104	56.3465	C6orf174|387104	310.0063
C6orf176|90632	69.4017	lowly_expressed	lowly_expressed
C6orf182|285753	238.0599	C6orf182|285753	165.5671
C6orf186|728464	5.9303	C6orf186|728464	15.3943
C6orf192|116843	680.7159	C6orf192|116843	439.8366
C6orf195|154386	13.1314	lowly_expressed	lowly_expressed
C6orf1|221491	188.923	C6orf1|221491	215.5199
lowly_expressed	lowly_expressed	C6orf201|404220	34.6026
C6orf203|51250	282.9609	C6orf203|51250	189.7581
C6orf204|387119	41.9358	C6orf204|387119	161.4829
lowly_expressed	lowly_expressed	C6orf208|80069	8.9632
C6orf211|79624	767.5527	C6orf211|79624	1020.421
lowly_expressed	lowly_expressed	C6orf217|100131814	18.535999999999998
C6orf218|221718	30.4988	lowly_expressed	lowly_expressed
C6orf225|619208	252.4621	C6orf225|619208	240.0251
C6orf226|441150	58.0324	C6orf226|441150	54.3512
C6orf26|401251	40.5803	C6orf26|401251	35.2529
C6orf27|80737	69.4694	C6orf27|80737	74.4581
C6orf35|729515	232.5532	C6orf35|729515	491.9887
C6orf41|100133205	24.5685	C6orf41|100133205	9.7392
C6orf47|57827	681.9867	C6orf47|57827	511.4672
C6orf48|50854	1380.9171	C6orf48|50854	1368.2061
C6orf52|347744	13.1314	C6orf52|347744	7.8542
C6orf57|135154	105.475	C6orf57|135154	109.3308
C6orf59|79992	7.2011	C6orf59|79992	13.5093
C6orf62|81688	4684.4435	C6orf62|81688	3273.9177
C6orf64|55776	1186.9109	C6orf64|55776	664.4675
C6orf70|55780	324.4732	C6orf70|55780	445.4917
C6orf72|116254	882.3467	C6orf72|116254	917.3735
C6orf89|221477	3557.3441	C6orf89|221477	3612.9438
C6orf97|80129	55.9144	C6orf97|80129	399.62300000000005
lowly_expressed	lowly_expressed	C6|729	24.8194
C7orf10|79783	36.4291	C7orf10|79783	60.9488
C7orf11|136647	287.1969	C7orf11|136647	243.481
C7orf13|129790	133.8558	C7orf13|129790	97.7066
C7orf23|79161	145.7164	C7orf23|79161	322.1144
C7orf25|79020	233.4004	C7orf25|79020	317.3924
C7orf26|79034	279.9958	C7orf26|79034	579.956
C7orf27|221927	718.4158	C7orf27|221927	717.562
C7orf28A|51622	755.2685	C7orf28A|51622	604.1469999999999
C7orf28B|221960	644.7104	C7orf28B|221960	503.9271
C7orf29|113763	107.1693	C7orf29|113763	227.7725
C7orf30|115416	236.3656	C7orf30|115416	260.132
C7orf31|136895	54.6437	C7orf31|136895	157.0845
C7orf36|57002	130.467	C7orf36|57002	202.639
C7orf40|285958	232.5532	C7orf40|285958	301.2881
C7orf41|222166	1853.6482	C7orf41|222166	3229.6576
C7orf42|55069	2225.1403	C7orf42|55069	3435.7524
C7orf43|55262	183.4163	C7orf43|55262	241.2818
C7orf44|55744	410.0392	C7orf44|55744	703.7386
C7orf46|340277	144.8692	C7orf46|340277	174.3638
C7orf47|221908	70.3166	C7orf47|221908	113.415
C7orf49|78996	331.077	C7orf49|78996	479.7864
C7orf50|84310	550.6725	C7orf50|84310	476.5944
C7orf51|222950	5.9303	C7orf51|222950	45.2403
C7orf53|286006	19.9089	C7orf53|286006	11.9384
C7orf55|154791	109.7109	C7orf55|154791	169.9749
C7orf58|79974	138.0917	C7orf58|79974	943.4496
C7orf59|389541	496.876	C7orf59|389541	548.5391
C7orf60|154743	219.8454	C7orf60|154743	433.5533
C7orf63|79846	51.2549	C7orf63|79846	287.4647
C7orf64|84060	290.5856	C7orf64|84060	351.241
C7orf68|29923	126.6547	C7orf68|29923	355.3252
C7orf70|84792	310.9181	C7orf70|84792	387.0562
C7|730	201.2072	C7|730	1566.7609
C8orf30A|51236	441.8087	C8orf30A|51236	320.4524
lowly_expressed	lowly_expressed	C8orf31|286122	12.2526
C8orf33|65265	1389.389	C8orf33|65265	1150.487
lowly_expressed	lowly_expressed	C8orf34|116328	69.4314
C8orf37|157657	152.0703	C8orf37|157657	141.0619
C8orf38|137682	440.9616	C8orf38|137682	245.0518
C8orf39|55472	19.0617	C8orf39|55472	10.0534
C8orf40|114926	515.5141	C8orf40|114926	666.0383
C8orf41|80185	259.371	C8orf41|80185	234.32299999999998
C8orf42|157695	268.1351	C8orf42|157695	545.3974
C8orf44|56260	44.8756	C8orf44|56260	48.736999999999995
C8orf45|157777	76.247	C8orf45|157777	51.2096
C8orf46|254778	271.9475	C8orf46|254778	77.9139
C8orf47|203111	16.5202	C8orf47|203111	8.1684
C8orf48|157773	39.8179	C8orf48|157773	24.191
C8orf4|56892	194.4297	C8orf4|56892	980.5215
C8orf51|78998	102.9334	C8orf51|78998	35.1869
C8orf55|51337	1124.6426	C8orf55|51337	530.6315
C8orf58|541565	126.6547	C8orf58|541565	270.4995
C8orf59|401466	465.8562	C8orf59|401466	470.7069
C8orf73|642475	118.6064	C8orf73|642475	43.3553
C8orf76|84933	449.85699999999997	C8orf76|84933	225.0173
C8orf77|286103	10.1663	C8orf77|286103	5.3409
C8orf79|57604	155.0355	C8orf79|57604	987.4332
C8orf80|389643	8.4719	C8orf80|389643	20.7352
C8orf83|286144	944.1915	C8orf83|286144	720.0754
C8orf84|157869	160.5422	C8orf84|157869	454.9167
C8orf85|441376	9796.463	C8orf85|441376	296.8897
lowly_expressed	lowly_expressed	C8orf86|389649	5.3409
C9orf100|84904	373.3432	C9orf100|84904	46.1169
C9orf102|375748	133.8981	C9orf102|375748	293.1951
C9orf103|414328	44.901	C9orf103|414328	113.415
C9orf109|286333	6.3539	C9orf109|286333	21.6777
C9orf110|100128385	58.8796	C9orf110|100128385	128.8093
C9orf114|51490	360.82599999999996	C9orf114|51490	446.6824
C9orf116|138162	18.6381	C9orf116|138162	40.2136
lowly_expressed	lowly_expressed	C9orf117|286207	14.4518
C9orf119|375757	158.0006	C9orf119|375757	232.7992
C9orf122|158228	85.9896	C9orf122|158228	29.8461
C9orf123|90871	1024.6744	C9orf123|90871	568.9601
C9orf125|84302	27.11	C9orf125|84302	177.8197
C9orf128|392307	19.9089	C9orf128|392307	10.3676
C9orf129|445577	85.8837	C9orf129|445577	112.1489
C9orf130|100128782	95.9229	C9orf130|100128782	160.8231
lowly_expressed	lowly_expressed	C9orf131|138724	7.8542
C9orf140|89958	433.7605	C9orf140|89958	102.7333
C9orf142|286257	212.2207	C9orf142|286257	143.2611
C9orf144B|259308	5.5067	lowly_expressed	lowly_expressed
C9orf150|286343	85.566	C9orf150|286343	861.1373
C9orf152|401546	74.9762	C9orf152|401546	677.6626
C9orf156|51531	163.5074	C9orf156|51531	369.7769
C9orf163|158055	11.437000000000001	C9orf163|158055	10.0534
C9orf167|54863	83.0245	C9orf167|54863	76.6572
C9orf16|79095	324.4732	C9orf16|79095	282.7521
C9orf170|401535	18.2146	C9orf170|401535	5.9692
C9orf172|389813	7.2011	C9orf172|389813	6.9117
C9orf21|195827	115.6412	C9orf21|195827	220.8608
C9orf23|138716	322.7788	C9orf23|138716	284.9513
C9orf24|84688	23.2977	lowly_expressed	lowly_expressed
C9orf25|203259	730.2764	C9orf25|203259	516.808
C9orf30|91283	251.3481	C9orf30|91283	182.5668
C9orf37|85026	98.2739	C9orf37|85026	118.4417
C9orf3|84909	191.93900000000002	C9orf3|84909	494.4109
C9orf40|55071	182.9927	C9orf40|55071	108.0741
C9orf41|138199	107.1693	C9orf41|138199	194.1565
C9orf43|257169	5.5067	C9orf43|257169	9.1109
lowly_expressed	lowly_expressed	C9orf44|158314	7.2259
C9orf45|81571	315.1541	C9orf45|81571	184.10299999999998
C9orf46|55848	384.6235	C9orf46|55848	418.7873
lowly_expressed	lowly_expressed	C9orf47|286223	133.1825
lowly_expressed	lowly_expressed	C9orf4|23732	20.421
C9orf53|51198	5.5067	lowly_expressed	lowly_expressed
C9orf5|23731	1421.5821	C9orf5|23731	4209.2366
C9orf64|84267	263.052	C9orf64|84267	382.972
C9orf66|157983	22.8741	C9orf66|157983	43.6695
C9orf68|55064	19.4853	C9orf68|55064	131.6368
C9orf69|90120	619.2947	C9orf69|90120	492.61699999999996
C9orf6|54942	251.1914	C9orf6|54942	465.5985
C9orf72|203228	338.0282	C9orf72|203228	409.3622
C9orf78|51759	912.4219	C9orf78|51759	1215.5199
C9orf7|11094	322.7788	C9orf7|11094	369.1486
C9orf80|58493	203.3252	C9orf80|58493	310.7132
C9orf82|79886	460.0233	C9orf82|79886	409.3622
C9orf85|138241	120.3008	C9orf85|138241	169.0229
C9orf86|55684	1388.5418	C9orf86|55684	1082.6265
C9orf89|84270	180.8747	C9orf89|84270	176.2488
C9orf91|203197	504.9243	C9orf91|203197	756.8332
C9orf93|203238	174.0972	C9orf93|203238	136.0352
C9orf95|54981	176.6388	C9orf95|54981	380.1445
C9orf96|169436	9.7427	C9orf96|169436	16.3368
C9orf98|158067	16.5202	C9orf98|158067	56.8646
C9orf9|11092	161.813	C9orf9|11092	190.0723
CA11|770	323.626	CA11|770	303.7418
CA12|771	568.0398	CA12|771	2394.2821
CA13|377677	451.2634	CA13|377677	146.8583
CA14|23632	11.437000000000001	CA14|23632	19.7926
CA2|760	587.5252	CA2|760	224.3167
CA3|761	151.9348	CA3|761	198.7276
CA4|762	19.9089	CA4|762	125.3534
CA5BP|340591	288.8912	CA5BP|340591	197.2981
CA5B|11238	284.0538	CA5B|11238	630.2231
CA6|765	50.4077	CA6|765	48.382
CA8|767	668.008	CA8|767	273.327
CAB39L|81617	640.898	CAB39L|81617	2232.4851
CAB39|51719	1297.469	CAB39|51719	2372.9186
CABC1|56997	2198.5894	CABC1|56997	1488.6428
CABIN1|23523	1580.4299	CABIN1|23523	1578.6993
CABLES1|91768	695.5417	CABLES1|91768	956.0163
CABLES2|81928	842.1053	CABLES2|81928	226.2017
lowly_expressed	lowly_expressed	CABP1|9478	8.7967
lowly_expressed	lowly_expressed	CABP4|57010	26.1357
CABP7|164633	10.0519	lowly_expressed	lowly_expressed
CABYR|26256	149.9523	CABYR|26256	148.6019
CACHD1|57685	340.9933	CACHD1|57685	1195.099
CACNA1A|773	32.6168	CACNA1A|773	20.421
CACNA1B|774	24.5685	lowly_expressed	lowly_expressed
CACNA1C|775	142.3277	CACNA1C|775	880.132
CACNA1D|776	224.0813	CACNA1D|776	502.0421
lowly_expressed	lowly_expressed	CACNA1F|778	29.2177
CACNA1G|8913	8.0483	CACNA1G|8913	104.3041
CACNA1H|8912	30.4988	CACNA1H|8912	82.3123
CACNA1I|8911	27.5336	CACNA1I|8911	25.7619
CACNA2D1|781	99.12100000000001	CACNA2D1|781	260.132
CACNA2D2|9254	22.8741	CACNA2D2|9254	353.126
lowly_expressed	lowly_expressed	CACNA2D3|55799	14.4518
CACNA2D4|93589	30.0752	CACNA2D4|93589	70.3739
CACNB1|782	194.4297	CACNB1|782	140.4336
CACNB2|783	50.4077	CACNB2|783	110.2733
CACNB3|784	329.5563	CACNB3|784	351.8693
CACNB4|785	432.9133	CACNB4|785	292.4914
lowly_expressed	lowly_expressed	CACNG1|786	5.0267
CACNG4|27092	35.1583	CACNG4|27092	475.3377
CACNG8|59283	11.437000000000001	lowly_expressed	lowly_expressed
CACYBP|27101	2015.0376	CACYBP|27101	949.4188
CADM1|23705	1400.826	CADM1|23705	1177.1913
CADM2|253559	5.0831	CADM2|253559	30.4744
CADM3|57863	22.386999999999997	CADM3|57863	207.5746
CADM4|199731	1397.4373	CADM4|199731	635.2498
CADPS2|93664	568.4634	CADPS2|93664	1210.4932
CAD|790	1252.568	CAD|790	1299.7172
CALB2|794	81.7537	CALB2|794	272.0704
CALCOCO1|57658	2596.2088	CALCOCO1|57658	2668.8658
CALCOCO2|10241	2632.6379	CALCOCO2|10241	2719.4471
CALCRL|10203	676.4799	CALCRL|10203	1020.1068
CALCR|799	11.437000000000001	CALCR|799	6.2834
CALD1|800	6932.5426	CALD1|800	11073.8297
CALHM2|51063	306.6822	CALHM2|51063	570.2168
CALM1|801	3896.2194	CALM1|801	6459.9434
CALM2|805	13204.2783	CALM2|805	7923.9711
CALM3|808	8037.2763	CALM3|808	3792.6484
CALML3|810	122.4187	CALML3|810	227.1442
CALML4|91860	356.6663	CALML4|91860	428.5265
CALML5|51806	22.4505	CALML5|51806	178.7622
lowly_expressed	lowly_expressed	CALN1|83698	5.0267
CALR|811	23807.2646	CALR|811	7104.3041
CALU|813	4364.7146	CALU|813	2616.3996
CAMK1D|57118	111.8289	CAMK1D|57118	76.3431
CAMK1|8536	204.1512	CAMK1|8536	309.6104
CAMK2A|815	5.5067	lowly_expressed	lowly_expressed
CAMK2B|816	39.8179	CAMK2B|816	90.1665
CAMK2D|817	879.3816	CAMK2D|817	1373.8611
CAMK2G|818	876.4164	CAMK2G|818	936.2237
CAMK2N1|55450	521.8681	CAMK2N1|55450	1324.2224
CAMK2N2|94032	13.1314	lowly_expressed	lowly_expressed
CAMK4|814	7.2011	CAMK4|814	14.7659
CAMKK1|84254	218.15099999999998	CAMKK1|84254	269.2429
CAMKK2|10645	1817.6427	CAMKK2|10645	1836.3179
CAMKV|79012	22.8741	lowly_expressed	lowly_expressed
CAMLG|819	582.0184	CAMLG|819	899.1517
CAMSAP1L1|23271	1747.7497	CAMSAP1L1|23271	1941.8787
CAMSAP1|157922	986.1273	CAMSAP1|157922	1044.2978
CAMTA1|23261	459.1761	CAMTA1|23261	626.1389
CAMTA2|23125	1021.2856	CAMTA2|23125	1300.0314
CAND1|55832	4372.7629	CAND1|55832	3147.3453
CAND2|23066	293.1272	CAND2|23066	171.8505
CANT1|124583	2881.2877	CANT1|124583	1294.0622
CANX|821	20660.3834	CANX|821	14084.5115
CAP1|10487	5607.9636	CAP1|10487	5359.7235
CAP2|10486	395.2134	CAP2|10486	640.5906
CAPG|822	3065.9748	CAPG|822	1707.8228
CAPN10|11132	134.2794	CAPN10|11132	199.6167
CAPN11|11131	16.5202	CAPN11|11131	154.8853
CAPN12|147968	85.5406	CAPN12|147968	122.2777
CAPN13|92291	324.8967	CAPN13|92291	190.7006
lowly_expressed	lowly_expressed	CAPN14|440854	10.0534
CAPN1|823	3584.8777	CAPN1|823	2988.6899
CAPN2|824	8599.8094	CAPN2|824	4591.8944
CAPN3|825	184.3228	CAPN3|825	291.9196
CAPN5|726	113.0997	CAPN5|726	368.2061
CAPN6|827	83.0245	CAPN6|827	442.9783
CAPN7|23473	1160.6481	CAPN7|23473	1347.1568
CAPN8|388743	45.7482	CAPN8|388743	105.875
lowly_expressed	lowly_expressed	CAPN9|10753	6.5975
CAPNS1|826	6249.7088	CAPNS1|826	4749.6073
CAPRIN1|4076	7207.0317	CAPRIN1|4076	5955.0738
CAPRIN2|65981	352.0068	CAPRIN2|65981	471.8819
CAPS2|84698	51.2549	CAPS2|84698	145.4603
CAPS|828	578.6297	CAPS|828	158.6554
CAPZA1|829	3415.8636	CAPZA1|829	1966.3839
CAPZA2|830	1430.9012	CAPZA2|830	2145.4603
lowly_expressed	lowly_expressed	CAPZA3|93661	19.4785
CAPZB|832	3599.2799	CAPZB|832	3460.886
CARD10|29775	257.1217	CARD10|29775	729.8146
CARD11|84433	105.475	CARD11|84433	114.9859
CARD14|79092	529.9163	CARD14|79092	276.7829
CARD16|114769	177.9096	CARD16|114769	90.4807
CARD6|84674	715.4506	CARD6|84674	257.9328
CARD8|22900	592.6083	CARD8|22900	898.5234
CARD9|64170	63.5391	CARD9|64170	40.5278
CARHSP1|23589	2546.8347	CARHSP1|23589	790.1288
CARKD|55739	1398.2844	CARKD|55739	1112.7867
CARM1|10498	1037.3822	CARM1|10498	670.4367
CARNS1|57571	32.6168	CARNS1|57571	51.8379
CARS2|79587	728.7260000000001	CARS2|79587	445.9472
CARS|833	777.7189	CARS|833	648.7465
CASC1|55259	15.673	CASC1|55259	90.7948
CASC2|255082	45.3246	CASC2|255082	75.0864
CASC3|22794	2785.5554	CASC3|22794	3337.1034
CASC4|113201	2299.6929	CASC4|113201	3104.9325
CASC5|57082	274.9126	CASC5|57082	24.5052
CASD1|64921	444.7739	CASD1|64921	1076.6572
CASKIN1|57524	15.3383	CASKIN1|57524	17.1128
CASKIN2|57513	841.0251	lowly_expressed	lowly_expressed
CASK|8573	1004.3418	CASK|8573	1207.9799
CASP10|843	145.7164	CASP10|843	401.8222
lowly_expressed	lowly_expressed	CASP12|120329	23.5627
CASP1|834	639.2036	CASP1|834	548.2249
CASP2|835	862.8614	CASP2|835	1063.1480000000001
CASP3|836	814.9952	CASP3|836	538.1715
CASP4|837	582.8656	CASP4|837	700.9111
CASP6|839	240.6015	CASP6|839	313.5407
CASP7|840	578.2061	CASP7|840	742.6956
CASP8AP2|9994	1446.1506	CASP8AP2|9994	907.9485
CASP8|841	407.4976	CASP8|841	535.6582
CASP9|842	200.3601	CASP9|842	373.2328
lowly_expressed	lowly_expressed	CASQ1|844	41.1561
CASQ2|845	29.6516	CASQ2|845	116.5567
CASS4|57091	19.9089	CASS4|57091	32.0452
CAST|831	4491.9199	CAST|831	6860.6409
CASZ1|54897	637.0857	CASZ1|54897	1420.6723
CATSPER2P1|440278	20.4215	CATSPER2P1|440278	25.5545
CATSPER2|117155	44.0326	CATSPER2|117155	82.5699
CATSPER3|347732	9.7427	lowly_expressed	lowly_expressed
CATSPERB|79820	38.9707	CATSPERB|79820	24.191
CATSPERG|57828	22.8741	CATSPERG|57828	33.6161
CAT|847	1683.7869	CAT|847	3524.9764
CAV1|857	1610.5051	CAV1|857	10023.2485
CAV2|858	718.8394	CAV2|858	3091.1090000000004
CBARA1|10367	2167.9551	CBARA1|10367	1240.3393
CBFA2T2|9139	992.4812	CBFA2T2|9139	1287.4647
CBFA2T3|863	46.5954	CBFA2T3|863	170.5938
CBFB|865	1998.941	CBFB|865	929.312
CBLB|868	729.4292	CBLB|868	736.0980000000001
CBLC|23624	416.3931	CBLC|23624	175.9347
CBLL1|79872	556.6028	CBLL1|79872	834.7471
lowly_expressed	lowly_expressed	CBLN1|869	10.3676
lowly_expressed	lowly_expressed	CBLN2|147381	7.5401
CBLN3|643866	33.4639	CBLN3|643866	78.5423
CBLN4|140689	54.6437	CBLN4|140689	150.487
CBL|867	1617.2826	CBL|867	1385.7996
CBR1|873	589.1475	CBR1|873	599.0198
CBR3|874	294.39799999999997	CBR3|874	180.9614
CBR4|84869	497.7232	CBR4|84869	779.7675
CBS|875	1872.7099	CBS|875	71.0022
CBWD1|55871	1433.4428	CBWD1|55871	889.7267
CBWD2|150472	341.8405	CBWD2|150472	549.1675
CBWD3|445571	257.4606	CBWD3|445571	335.5671
CBWD5|220869	13.6397	lowly_expressed	lowly_expressed
CBWD6|644019	94.4615	CBWD6|644019	83.569
CBX1|10951	1775.7069	CBX1|10951	1592.5228
CBX2|84733	599.3858	CBX2|84733	100.2199
CBX3|11335	4107.1693	lowly_expressed	lowly_expressed
CBX4|8535	682.8338	CBX4|8535	337.4175
CBX5|23468	7667.4786	CBX5|23468	4602.5762
CBX6|23466	227.8937	CBX6|23466	1228.715
CBX7|23492	789.1560000000001	CBX7|23492	2765.9441
CBX8|57332	202.47799999999998	CBX8|57332	79.1706
CBY1|25776	593.9511	CBY1|25776	565.3472
CC2D1A|54862	1979.4557	CC2D1A|54862	758.0899
CC2D1B|200014	742.9842	CC2D1B|200014	768.4574
CC2D2A|57545	349.4652	CC2D2A|57545	599.1203
lowly_expressed	lowly_expressed	CC2D2B|387707	10.9959
CCAR1|55749	1627.4489	CCAR1|55749	1354.6968
CCBE1|147372	11.437000000000001	CCBE1|147372	36.1294
CCBL1|883	74.12899999999999	CCBL1|883	132.8935
CCBL2|56267	605.1594	CCBL2|56267	880.9739
CCBP2|1238	40.2414	CCBP2|1238	185.0456
CCDC101|112869	417.2403	CCDC101|112869	297.2039
CCDC102A|92922	194.8533	CCDC102A|92922	146.7169
CCDC102B|79839	44.901	CCDC102B|79839	94.87899999999999
CCDC103|388389	47.8661	CCDC103|388389	137.606
CCDC104|112942	433.3369	CCDC104|112942	804.2727
CCDC106|29903	125.3839	CCDC106|29903	157.7128
CCDC107|203260	417.4563	CCDC107|203260	301.9824
CCDC109A|90550	893.3602	CCDC109A|90550	430.0974
CCDC109B|55013	388.4359	CCDC109B|55013	157.3987
CCDC110|256309	39.3943	CCDC110|256309	77.5997
CCDC111|201973	197.9795	CCDC111|201973	324.0528
CCDC112|153733	333.7922	CCDC112|153733	207.6657
CCDC113|29070	369.7977	CCDC113|29070	337.4175
CCDC114|93233	46.5954	CCDC114|93233	29.5319
CCDC115|84317	467.648	CCDC115|84317	978.0082
CCDC116|164592	8.8955	CCDC116|164592	5.9692
CCDC117|150275	1585.0895	CCDC117|150275	929.312
CCDC11|220136	25.4157	CCDC11|220136	32.9877
CCDC120|90060	461.7177	CCDC120|90060	447.0625
CCDC121|79635	90.2256	CCDC121|79635	209.8649
CCDC122|160857	33.4639	CCDC122|160857	103.9899
CCDC123|84902	720.9573	CCDC123|84902	509.8963
CCDC124|115098	767.5527	CCDC124|115098	284.9513
CCDC125|202243	550.2489	CCDC125|202243	564.2476
CCDC126|90693	128.7726	CCDC126|90693	309.1423
CCDC127|133957	281.2665	CCDC127|133957	300.0314
CCDC129|223075	474.0019	CCDC129|223075	42.727
CCDC12|151903	299.0575	CCDC12|151903	348.7276
CCDC130|81576	443.9267	CCDC130|81576	366.6352
CCDC132|55610	407.9212	CCDC132|55610	760.9174
CCDC134|79879	102.0862	CCDC134|79879	63.148
CCDC136|64753	13.1314	CCDC136|64753	96.7641
CCDC137|339230	571.005	CCDC137|339230	187.2447
CCDC138|165055	96.1559	CCDC138|165055	64.0905
lowly_expressed	lowly_expressed	CCDC13|152206	9.4251
CCDC141|285025	8.8955	CCDC141|285025	54.3512
CCDC142|84865	213.4915	CCDC142|84865	164.7942
CCDC144A|9720	22.6453	CCDC144A|9720	83.8957
CCDC144B|284047	96.1601	CCDC144B|284047	194.6937
CCDC146|57639	119.4536	CCDC146|57639	285.8938
CCDC147|159686	10.1663	CCDC147|159686	15.0801
CCDC148|130940	39.3943	CCDC148|130940	63.148
CCDC149|91050	540.5062	CCDC149|91050	654.4141
CCDC14|64770	3812.3478	CCDC14|64770	1377.6312
CCDC150|284992	44.4774	CCDC150|284992	12.2526
lowly_expressed	lowly_expressed	CCDC151|115948	11.6243
CCDC152|100129792	91.0134	CCDC152|100129792	172.4976
CCDC153|283152	11.8606	CCDC153|283152	5.3409
CCDC154|645811	8.0483	CCDC154|645811	12.5668
CCDC157|550631	53.8304	CCDC157|550631	44.0308
CCDC158|339965	19.4853	CCDC158|339965	120.3267
CCDC159|126075	119.03	CCDC159|126075	176.8772
CCDC15|80071	61.8448	CCDC15|80071	103.3616
CCDC160|347475	6.7775	CCDC160|347475	45.8687
CCDC163P|126661	35.5819	CCDC163P|126661	42.727
CCDC17|149483	8.8955	CCDC17|149483	20.1068
CCDC18|343099	155.8827	CCDC18|343099	64.7188
CCDC19|25790	39.8179	CCDC19|25790	18.2218
CCDC21|64793	667.1609	CCDC21|64793	269.8712
CCDC22|28952	291.742	CCDC22|28952	389.5979
CCDC23|374969	213.4915	CCDC23|374969	244.1093
CCDC24|149473	76.9332	CCDC24|149473	170.132
CCDC25|55246	623.9543	CCDC25|55246	1103.0474
CCDC28A|25901	671.8204	CCDC28A|25901	423.4998
CCDC28B|79140	47.8661	CCDC28B|79140	53.0946
CCDC30|728621	75.3998	CCDC30|728621	151.4295
CCDC34|91057	250.7678	CCDC34|91057	258.2469
CCDC36|339834	5.9303	CCDC36|339834	38.3286
CCDC39|339829	38.1235	CCDC39|339829	61.2912
CCDC3|83643	258.8161	CCDC3|83643	868.3632
CCDC40|55036	41.9358	CCDC40|55036	107.1316
CCDC41|51134	291.0092	CCDC41|51134	217.7191
CCDC42B|387885	9.9841	lowly_expressed	lowly_expressed
CCDC43|124808	385.0471	CCDC43|124808	378.2595
CCDC45|90799	1099.2269	CCDC45|90799	908.8910000000001
CCDC46|201134	43.2066	CCDC46|201134	337.2008
CCDC47|57003	4303.2934	CCDC47|57003	2969.8398
CCDC48|79825	19.9089	CCDC48|79825	89.8523
CCDC50|152137	3244.308	CCDC50|152137	3144.5178
CCDC51|79714	186.805	CCDC51|79714	140.1194
CCDC52|152185	604.8925	CCDC52|152185	550.7383
CCDC53|51019	328.7091	CCDC53|51019	383.6004
CCDC55|84081	655.3002	CCDC55|84081	875.5891
CCDC56|28958	485.5194	CCDC56|28958	661.2001
CCDC57|284001	643.4396	CCDC57|284001	624.568
CCDC58|131076	221.5398	CCDC58|131076	120.6409
CCDC59|29080	492.6401	CCDC59|29080	470.311
CCDC61|729440	128.7726	CCDC61|729440	128.8093
CCDC62|84660	5.9303	lowly_expressed	lowly_expressed
