gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
ACAD9|28976	939.2945	ACAD9|28976	870.563
ACADL|33	13.3348	ACADL|33	186.3525
ACADM|34	1568.9859	ACADM|34	1599.4492
ACADSB|36	389.9344	ACADSB|36	2303.5496
ACADS|35	239.8107	ACADS|35	903.3048
ACADVL|37	4645.4156	ACADVL|37	5591.7411
ACAN|176	203.6778	ACAN|176	39.7797
ACAP1|9744	359.6086	ACAP1|9744	107.0991
ACAP2|23527	2009.6785	ACAP2|23527	1463.2803
ACAP3|116983	320.7657	ACAP3|116983	366.6463
ACAT1|38	1317.9912	ACAT1|38	1949.5104
ACAT2|39	366.02	ACAT2|39	298.6597
ACBD3|64746	2837.0793	ACBD3|64746	1494.492
ACBD4|79777	98.2901	ACBD4|79777	272.6438
ACBD5|91452	1053.0165	ACBD5|91452	983.7821
ACBD6|84320	699.215	ACBD6|84320	382.1909
ACBD7|414149	517.0448	ACBD7|414149	27.2338
lowly_expressed	lowly_expressed	ACCN1|40	5.814
ACCN2|41	121.5184	ACCN2|41	64.2595
ACCS|84680	179.5892	ACCS|84680	303.2436
ACD|65057	193.139	ACD|65057	274.7858
ACE2|59272	90.3323	ACE2|59272	22.3378
ACER2|340485	112.0551	ACER2|340485	172.2766
ACER3|55331	653.1885	ACER3|55331	579.5594
ACE|1636	766.1039	ACE|1636	897.4908
ACHE|43	26.0243	ACHE|43	20.5018
ACIN1|22985	2371.0076	ACIN1|22985	2849.1432
ACLY|47	5008.9257	ACLY|47	2626.071
ACN9|57001	89.2569	ACN9|57001	173.1946
ACO1|48	1262.9315	ACO1|48	3773.8678
ACO2|50	1890.2592	ACO2|50	2107.6285
ACOT11|26027	67.6955	ACOT11|26027	61.0618
ACOT13|55856	706.4265	ACOT13|55856	575.9853
ACOT1|641371	298.5267	ACOT1|641371	662.1787
ACOT2|10965	221.3141	lowly_expressed	lowly_expressed
ACOT4|122970	65.5985	ACOT4|122970	130.967
ACOT7|11332	543.4993	ACOT7|11332	178.3966
ACOT8|10005	178.9203	ACOT8|10005	156.2882
ACOT9|23597	924.4005	ACOT9|23597	495.41
ACOX1|51	1679.1053	ACOX1|51	2115.8201
ACOX2|8309	36.348	ACOX2|8309	310.5875
ACOX3|8310	308.6353	ACOX3|8310	488.6781
ACOXL|55289	10.1086	lowly_expressed	lowly_expressed
ACP1|52	1753.3068	ACP1|52	1307.2215
ACP2|53	1447.8976	ACP2|53	657.2827
ACP5|54	2084.7403	ACP5|54	421.3586
ACP6|51205	139.3698	ACP6|51205	131.5789
ACPL2|92370	345.8436	ACPL2|92370	331.7013
ACPP|55	27.0997	ACPP|55	24.4798
ACRBP|84519	49.0375	ACRBP|84519	8.5679
ACRC|93953	25.164	ACRC|93953	22.6438
ACR|49	9.4634	ACR|49	9.1799
ACSBG1|23205	5.592	ACSBG1|23205	12.5459
ACSF2|80221	326.7018	ACSF2|80221	800.1836
ACSF3|197322	204.9683	ACSF3|197322	295.8996
ACSL1|2180	2969.9968	ACSL1|2180	10733.7821
ACSL3|2181	8304.3338	ACSL3|2181	2477.9682
ACSL4|2182	2394.2359	ACSL4|2182	1803.8556
ACSL5|51703	1004.4091	ACSL5|51703	1152.3868
ACSL6|23305	87.3212	ACSL6|23305	6.7319
lowly_expressed	lowly_expressed	ACSM1|116285	13.1579
ACSM3|6296	112.7519	ACSM3|6296	134.8592
