gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
lowly_expressed	lowly_expressed	ACADL|33	294.3288
ACADM|34	1062.0507	ACADM|34	1591.7684
ACADSB|36	1780.1938	ACADSB|36	617.8512
ACADS|35	128.1785	ACADS|35	1234.2666
ACADVL|37	2444.5077	ACADVL|37	6652.5485
ACAN|176	58.367	ACAN|176	21.0577
ACAP1|9744	41.2002	ACAP1|9744	54.5585
ACAP2|23527	2030.8287	ACAP2|23527	1561.3783
ACAP3|116983	301.5629	ACAP3|116983	345.5444
ACAT1|38	1284.6465	ACAT1|38	3817.4204
ACAT2|39	285.3861	ACAT2|39	267.6717
ACBD3|64746	2767.283	ACBD3|64746	1505.1448
ACBD4|79777	128.1785	ACBD4|79777	215.8411
ACBD5|91452	599.1202	ACBD5|91452	801.3879
ACBD6|84320	331.3186	ACBD6|84320	472.1225
ACBD7|414149	27.4668	ACBD7|414149	7.1788
ACCN2|41	36.0502	ACCN2|41	89.7344
ACCN3|9311	9.7278	lowly_expressed	lowly_expressed
ACCS|84680	41.7725	ACCS|84680	179.2295
ACD|65057	188.8344	ACD|65057	288.1072
lowly_expressed	lowly_expressed	ACE2|59272	9.3324
ACER1|125981	8.0112	lowly_expressed	lowly_expressed
ACER2|340485	210.579	ACER2|340485	137.3534
ACER3|55331	533.3143	ACER3|55331	767.4085
ACE|1636	383.3912	ACE|1636	932.0412
ACHE|43	41.7725	lowly_expressed	lowly_expressed
ACIN1|22985	2023.3897	ACIN1|22985	1945.2022
ACLY|47	3808.1614	ACLY|47	2664.513
ACN9|57001	37.7669	ACN9|57001	217.9947
ACO1|48	1862.0221	ACO1|48	5331.6583
ACO2|50	1764.1887	ACO2|50	2748.4566
ACOT11|26027	24.0335	ACOT11|26027	17.1117
ACOT13|55856	718.9271	ACOT13|55856	885.8603
ACOT1|641371	457.2083	ACOT1|641371	1417.564
ACOT2|10965	337.0409	ACOT2|10965	870.7825
ACOT4|122970	224.3124	ACOT4|122970	217.5162
ACOT6|641372	5.15	ACOT6|641372	9.0931
ACOT7|11332	345.6243	ACOT7|11332	314.6686
ACOT8|10005	247.8023	ACOT8|10005	238.301
ACOT9|23597	475.5195	ACOT9|23597	882.7471
ACOX1|51	1915.2391	ACOX1|51	2865.5181
ACOX2|8309	48.067	ACOX2|8309	424.7428
ACOX3|8310	626.0148	ACOX3|8310	292.4145
ACP1|52	1169.6291	ACP1|52	1192.6298
ACP2|53	1031.1505	ACP2|53	1373.7736
ACP5|54	1005.4004	ACP5|54	1924.1445
ACP6|51205	175.101	ACP6|51205	84.2307
ACPL2|92370	515.5753	ACPL2|92370	371.8593
ACPP|55	32.6169	ACPP|55	30.6293
ACRBP|84519	13.1612	ACRBP|84519	35.8938
ACRC|93953	14.3056	ACRC|93953	28.715
lowly_expressed	lowly_expressed	ACR|49	5.9823
lowly_expressed	lowly_expressed	ACSBG1|23205	12.9218
ACSF2|80221	789.0991	ACSF2|80221	859.0572
ACSF3|197322	144.7731	ACSF3|197322	315.6257
ACSL1|2180	2172.7406	ACSL1|2180	15313.7114
ACSL3|2181	5098.5301	ACSL3|2181	1810.481
ACSL4|2182	1545.0091	ACSL4|2182	2954.5346
ACSL5|51703	254.6404	ACSL5|51703	1137.3534
ACSL6|23305	8.0112	ACSL6|23305	6.9395
ACSM1|116285	6.2945	lowly_expressed	lowly_expressed
ACSM3|6296	34.8714	ACSM3|6296	19.2797
ACSM5|54988	36.0502	ACSM5|54988	520.2201
ACSS1|84532	421.158	ACSS1|84532	381.1917
ACSS2|55902	706.1264	ACSS2|55902	3361.3305
ACSS3|79611	119.0229	ACSS3|79611	831.0601
ACTA1|58	72.6727	lowly_expressed	lowly_expressed
ACTA2|59	6804.1229	ACTA2|59	6599.5166
ACTBL2|345651	8.0112	lowly_expressed	lowly_expressed
ACTB|60	133786.9175	ACTB|60	93221.3448
ACTC1|70	69.2393	ACTC1|70	46.1833
ACTG1|71	69084.2245	ACTG1|71	59096.1953
