gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
ACAD9|28976	770.7077	ACAD9|28976	1155.2901
lowly_expressed	lowly_expressed	ACADL|33	517.0648
ACADM|34	931.9784	ACADM|34	3154.0102
ACADSB|36	718.4839	ACADSB|36	2884.3857
ACADS|35	146.4799	ACADS|35	1981.6553
ACADVL|37	2396.7152	ACADVL|37	7224.2833
ACAN|176	54.1976	ACAN|176	29.4369
ACAP1|9744	80.9301	ACAP1|9744	28.157
ACAP2|23527	1899.8444	ACAP2|23527	1812.7133
ACAP3|116983	604.2479	ACAP3|116983	295.1664
ACAT1|38	493.2711	lowly_expressed	lowly_expressed
ACAT2|39	347.194	ACAT2|39	349.198
ACBD3|64746	3584.7295	ACBD3|64746	1300.7679
ACBD4|79777	68.4794	ACBD4|79777	318.686
ACBD5|91452	918.7952	ACBD5|91452	1107.0819
ACBD6|84320	728.7375	ACBD6|84320	335.7509
ACBD7|414149	43.5778	ACBD7|414149	16.6382
ACCN2|41	36.2538	ACCN2|41	61.8601
ACCN3|9311	8.7888	ACCN3|9311	5.5461
ACCS|84680	85.6907	ACCS|84680	271.3311
ACD|65057	128.9023	ACD|65057	243.1741
lowly_expressed	lowly_expressed	ACE2|59272	16.6382
ACER2|340485	145.7475	ACER2|340485	339.5904
ACER3|55331	989.1056	ACER3|55331	1168.5154
ACE|1636	626.5678	ACE|1636	640.785
lowly_expressed	lowly_expressed	ACHE|43	12.7986
ACIN1|22985	4124.8741	ACIN1|22985	2451.7918
ACLY|47	8689.5542	ACLY|47	3777.7304
ACN9|57001	141.7193	ACN9|57001	132.2526
ACO1|48	451.8905	ACO1|48	8086.1775
ACO2|50	2163.0102	ACO2|50	5274.6288
ACOT11|26027	49.0708	ACOT11|26027	23.7841
ACOT13|55856	512.2256	ACOT13|55856	820.5247
ACOT1|641371	357.7772	lowly_expressed	lowly_expressed
ACOT2|10965	221.5509	ACOT2|10965	1330.6314
ACOT4|122970	109.4937	ACOT4|122970	241.4676
lowly_expressed	lowly_expressed	ACOT6|641372	11.9454
ACOT7|11332	447.1299	ACOT7|11332	146.7577
ACOT8|10005	270.3982	ACOT8|10005	176.4292
ACOT9|23597	338.3686	ACOT9|23597	462.884
ACOX1|51	1553.7856	ACOX1|51	4191.0026
ACOX2|8309	190.4239	ACOX2|8309	457.7645
ACOX3|8310	434.3129	ACOX3|8310	524.3174
ACOXL|55289	5.8592	lowly_expressed	lowly_expressed
ACP1|52	1457.4751	ACP1|52	1113.4812
ACP2|53	837.4989	ACP2|53	725.6826
ACP5|54	394.3971	ACP5|54	323.3788
ACP6|51205	319.3262	ACP6|51205	266.2116
ACPL2|92370	432.4819	ACPL2|92370	255.1195
ACPP|55	6.5916	ACPP|55	27.7304
ACRBP|84519	17.2114	ACRBP|84519	11.9454
ACRC|93953	5.493	ACRC|93953	31.9966
lowly_expressed	lowly_expressed	ACR|49	8.1058
lowly_expressed	lowly_expressed	ACSBG1|23205	14.0785
ACSF2|80221	270.6216	ACSF2|80221	1395.9044
ACSF3|197322	191.5225	ACSF3|197322	297.3549
ACSL1|2180	1702.0965	ACSL1|2180	44433.0205
ACSL3|2181	4310.1712	ACSL3|2181	2798.2082
ACSL4|2182	553.694	ACSL4|2182	2560.5802
ACSL5|51703	1070.4019	ACSL5|51703	895.0512
ACSM1|116285	7.6902	ACSM1|116285	5.1195
lowly_expressed	lowly_expressed	ACSM2A|123876	9.3857
lowly_expressed	lowly_expressed	ACSM2B|348158	5.5461
ACSM3|6296	22.5909	ACSM3|6296	58.1613
ACSM5|54988	11.7184	ACSM5|54988	863.9078
ACSS1|84532	1850.7736	ACSS1|84532	606.2287
ACSS2|55902	462.8765	ACSS2|55902	5845.5631
ACSS3|79611	47.9722	ACSS3|79611	2325.0853
ACTA2|59	4926.9505	ACTA2|59	17679.343
lowly_expressed	lowly_expressed	ACTBL2|345651	5.5461
ACTB|60	76922.4572	ACTB|60	57914.2491
lowly_expressed	lowly_expressed	ACTC1|70	13.2253
ACTG1|71	68046.5074	ACTG1|71	40078.4983
ACTG2|72	99.9725	ACTG2|72	2602.8157
ACTL6A|86	756.9349	ACTL6A|86	593.8567
ACTN1|87	5541.3348	ACTN1|87	6753.413
ACTN4|81	10248.3567	ACTN4|81	8425.8191
ACTR10|55860	1076.2611	ACTR10|55860	1194.5392
ACTR1A|10121	2790.8084	ACTR1A|10121	2495.3072
ACTR1B|10120	1137.4165	ACTR1B|10120	1411.6894
ACTR2|10097	8634.6242	ACTR2|10097	4545.2218
ACTR3B|57180	223.3819	ACTR3B|57180	132.6792
ACTR3C|653857	13.5494	ACTR3C|653857	25.1706
ACTR3|10096	4582.99	ACTR3|10096	2242.3208
ACTR5|79913	193.7197	ACTR5|79913	147.6109
ACTR6|64431	763.8927	ACTR6|64431	656.1433
ACTR8|93973	440.1721	ACTR8|93973	587.4573
ACVR1B|91	1080.2893	ACVR1B|91	938.1399
ACVR1C|130399	38.451	ACVR1C|130399	6513.2253
ACVR1|90	1007.4155	ACVR1|90	1203.9249
ACVR2A|92	344.594	ACVR2A|92	567.4061
ACVR2B|93	688.4556	ACVR2B|93	539.2491
ACVRL1|94	386.7069	ACVRL1|94	1052.901
ACY1|95	555.1588	ACY1|95	951.57
ACY3|91703	104.7331	ACY3|91703	11.9454
ACYP1|97	42.113	ACYP1|97	47.7816
ACYP2|98	87.5217	ACYP2|98	215.0171
ADAL|161823	199.2127	ADAL|161823	273.8908
ADAM10|102	1740.1813	ADAM10|102	1607.9352
lowly_expressed	lowly_expressed	ADAM11|4185	7.2526
ADAM12|8038	2954.8659	ADAM12|8038	512.372
ADAM15|8751	3480.7287	ADAM15|8751	2187.7133
ADAM17|6868	653.6666	ADAM17|6868	644.6246
ADAM19|8728	536.4827	ADAM19|8728	55.0341
ADAM21|8747	6.5916	lowly_expressed	lowly_expressed
ADAM22|53616	34.789	ADAM22|53616	96.4164
ADAM23|8745	9.5212	ADAM23|8745	17.9181
ADAM28|10863	1769.8434	ADAM28|10863	62.2867
ADAM32|203102	17.5776	ADAM32|203102	11.9454
ADAM33|80332	11.7184	ADAM33|80332	319.1126
ADAM6|8755	4616.739	ADAM6|8755	6852.6408
ADAM8|101	283.4386	ADAM8|101	32.4232
ADAM9|8754	996.4296	ADAM9|8754	1509.8123
ADAMDEC1|27299	54.5638	lowly_expressed	lowly_expressed
ADAMTS10|81794	70.6766	ADAMTS10|81794	69.9659
ADAMTS12|81792	771.9491	ADAMTS12|81792	430.4608
ADAMTS13|11093	41.0144	ADAMTS13|11093	51.1945
ADAMTS14|140766	195.1845	lowly_expressed	lowly_expressed
ADAMTS15|170689	178.3393	ADAMTS15|170689	385.6655
ADAMTS16|170690	171.0153	ADAMTS16|170690	18.3447
ADAMTS17|170691	14.648	ADAMTS17|170691	29.8635
ADAMTS18|170692	5.1268	ADAMTS18|170692	64.4198
ADAMTS19|171019	179.8041	lowly_expressed	lowly_expressed
ADAMTS1|9510	423.6931	ADAMTS1|9510	4348.1229
ADAMTS2|9509	657.6948	ADAMTS2|9509	447.9522
ADAMTS3|9508	30.0284	ADAMTS3|9508	71.6724
ADAMTS4|9507	1215.417	ADAMTS4|9507	142.0648
ADAMTS5|11096	191.1563	ADAMTS5|11096	3335.7509
ADAMTS6|11174	69.2118	ADAMTS6|11174	5.1195
ADAMTS7|11173	154.5363	ADAMTS7|11173	87.884
lowly_expressed	lowly_expressed	ADAMTS8|11095	16.6382
ADAMTS9|56999	208.7339	ADAMTS9|56999	733.3618
ADAMTSL1|92949	71.409	ADAMTSL1|92949	169.7952
ADAMTSL2|9719	168.4519	ADAMTSL2|9719	51.1945
ADAMTSL3|57188	83.4935	ADAMTSL3|57188	214.1638
ADAMTSL4|54507	87.1555	ADAMTSL4|54507	868.1741
ADAMTSL5|339366	10.2536	ADAMTSL5|339366	17.9181
ADAP1|11033	237.2315	ADAP1|11033	71.4633
ADAP2|55803	204.3395	ADAP2|55803	149.3174
ADARB1|104	327.0164	ADARB1|104	1046.9283
ADAR|103	14111.1416	ADAR|103	6061.8601
ADAT1|23536	323.3544	ADAT1|23536	343.43
ADAT2|134637	71.409	ADAT2|134637	100.256
ADAT3|113179	17.9438	ADAT3|113179	14.9317
ADA|100	47.606	ADA|100	101.5358
ADCK1|57143	147.5785	ADCK1|57143	106.2287
ADCK2|90956	671.6104	ADCK2|90956	670.2218
ADCK4|79934	337.27	ADCK4|79934	358.3618
ADCK5|203054	73.24	ADCK5|203054	71.2457
ADCY1|107	308.3402	ADCY1|107	161.2628
ADCY2|108	12.817	ADCY2|108	126.7065
ADCY3|109	470.0613	ADCY3|109	1655.3114
ADCY4|196883	212.7621	ADCY4|196883	425.3413
ADCY5|111	239.8608	ADCY5|111	907.4232
ADCY6|112	2445.1158	ADCY6|112	5225.256
ADCY7|113	453.7215	lowly_expressed	lowly_expressed
ADCY9|115	339.8334	ADCY9|115	743.6007
lowly_expressed	lowly_expressed	ADCYAP1R1|117	118.1741
ADCYAP1|116	12.817	ADCYAP1|116	20.0512
ADC|113451	99.9725	ADC|113451	88.3106
ADD1|118	4786.5971	ADD1|118	7304.1809
ADD2|119	22.7044	ADD2|119	48.6348
ADD3|120	962.0068	ADD3|120	2680.8874
ADH1A|124	9.5212	ADH1A|124	1118.5367
ADH1B|125	1083.5851	ADH1B|125	130019.198
ADH1C|126	6.2254	ADH1C|126	959.8976
lowly_expressed	lowly_expressed	ADH4|127	15.785
ADH5|128	1769.4772	ADH5|128	5748.7201
ADHFE1|137872	15.0142	ADHFE1|137872	831.9113
ADI1|55256	1443.5595	ADI1|55256	1956.058
ADIPOQ|9370	813.3297	ADIPOQ|9370	97760.2389
ADIPOR1|51094	4628.765	ADIPOR1|51094	2513.2253
ADIPOR2|79602	1833.5622	ADIPOR2|79602	5113.0546
ADK|132	202.1423	ADK|132	391.2116
ADM2|79924	563.2152	ADM2|79924	28.157
ADM|133	49.8032	ADM|133	672.7816
ADNP2|22850	1042.5707	ADNP2|22850	716.7235
ADNP|23394	5780.097	ADNP|23394	2830.2048
ADORA1|134	48.7046	ADORA1|134	519.6246
ADORA2A|135	66.2822	ADORA2A|135	52.0435
ADORA2B|136	15.3804	ADORA2B|136	51.1945
ADORA3|140	131.8319	ADORA3|140	27.7304
ADO|84890	738.6249	ADO|84890	567.8328
ADPGK|83440	920.8093	ADPGK|83440	700.4181
ADPRHL1|113622	53.8314	ADPRHL1|113622	71.2457
ADPRHL2|54936	506.0881	ADPRHL2|54936	377.5597
ADPRH|141	131.8319	ADPRH|141	382.6792
lowly_expressed	lowly_expressed	ADRA1A|148	156.57
ADRA1B|147	18.6762	ADRA1B|147	49.4881
ADRA2A|150	126.7051	ADRA2A|150	1743.1741
ADRA2B|151	7.324	ADRA2B|151	46.5017
ADRA2C|152	38.8172	ADRA2C|152	36.2628
lowly_expressed	lowly_expressed	ADRB1|153	172.3549
ADRB2|154	15.7466	ADRB2|154	500
lowly_expressed	lowly_expressed	ADRB3|155	28.157
