gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
lowly_expressed	lowly_expressed	C2orf40|84417	708.1911
C2orf42|54980	246.8186	C2orf42|54980	191.1263
C2orf43|60526	599.469	C2orf43|60526	359.6416
C2orf44|80304	250.4806	C2orf44|80304	234.6416
C2orf47|79568	288.1113	C2orf47|79568	287.0563
C2orf48|348738	12.4508	lowly_expressed	lowly_expressed
C2orf49|79074	147.2123	C2orf49|79074	168.942
C2orf50|130813	5.1268	C2orf50|130813	7.2526
C2orf54|79919	321.1572	C2orf54|79919	6.3993
C2orf55|343990	525.1305	C2orf55|343990	178.7543
C2orf56|55471	197.3817	C2orf56|55471	258.1058
lowly_expressed	lowly_expressed	C2orf58|285154	14.5051
C2orf60|129450	335.8931	C2orf60|129450	174.9744
C2orf63|130162	75.8034	C2orf63|130162	58.8737
C2orf64|493753	432.4819	C2orf64|493753	540.529
C2orf65|130951	5.8592	C2orf65|130951	23.0375
C2orf67|151050	217.248	C2orf67|151050	628.5239
C2orf68|388969	728.0051	C2orf68|388969	935.5802
C2orf69|205327	410.5099	C2orf69|205327	505.1195
lowly_expressed	lowly_expressed	C2orf71|388939	10.2389
C2orf72|257407	426.6227	C2orf72|257407	238.4812
C2orf74|339804	151.9729	C2orf74|339804	611.3481
C2orf76|130355	71.7752	C2orf76|130355	95.9898
C2orf77|129881	219.3537	C2orf77|129881	123.2935
C2orf79|391356	235.4664	C2orf79|391356	171.0751
C2orf7|84279	144.6489	C2orf7|84279	403.157
C2orf81|388963	74.0602	C2orf81|388963	47.6834
lowly_expressed	lowly_expressed	C2orf82|389084	10.2389
lowly_expressed	lowly_expressed	C2orf84|653140	26.0239
C2orf86|51057	74.7048	C2orf86|51057	118.6007
C2orf88|84281	23.0706	C2orf88|84281	182.1672
C2orf89|129293	9.5212	C2orf89|129293	95.1365
C2|717	521.0876	C2|717	166.0836
C3AR1|719	217.1565	C3AR1|719	107.9352
C3orf10|55845	3094.388	C3orf10|55845	3218.0034
C3orf14|57415	377.9182	C3orf14|57415	220.9898
C3orf15|89876	56.761	C3orf15|89876	108.7884
C3orf17|25871	888.7668	C3orf17|25871	1046.0751
C3orf18|51161	40.6482	C3orf18|51161	250.0
C3orf19|51244	439.0735	C3orf19|51244	475.6826
C3orf1|51300	603.131	C3orf1|51300	1020.9044
C3orf21|152002	392.9323	C3orf21|152002	164.6758
C3orf23|285343	670.1456	C3orf23|285343	778.1569999999999
C3orf26|84319	318.2276	C3orf26|84319	393.3447
C3orf31|132001	177.2407	C3orf31|132001	158.7031
C3orf32|51066	145.7475	C3orf32|51066	7.2526
C3orf33|285315	195.9169	C3orf33|285315	118.6007
C3orf34|84984	39.5496	C3orf34|84984	67.8328
C3orf36|80111	5.492999999999999	lowly_expressed	lowly_expressed
C3orf37|56941	745.5827	C3orf37|56941	1177.901
C3orf38|285237	510.8487	C3orf38|285237	344.2833
C3orf39|84892	350.8194	C3orf39|84892	419.3686
C3orf42|84657	10.985999999999999	C3orf42|84657	21.7577
C3orf47|339942	29.6622	C3orf47|339942	60.1536
lowly_expressed	lowly_expressed	C3orf50|93556	5.1195
C3orf52|79669	792.4563	C3orf52|79669	113.4812
C3orf54|389119	11.3522	C3orf54|389119	45.6485
lowly_expressed	lowly_expressed	C3orf55|152078	331.9113
C3orf57|165679	273.185	C3orf57|165679	59.3003
C3orf58|205428	351.5518	C3orf58|205428	758.959
C3orf59|151963	348.9884	C3orf59|151963	203.9249
C3orf62|375341	132.1981	C3orf62|375341	146.7577
C3orf63|23272	1679.4434	C3orf63|23272	2503.6689
C3orf64|285203	286.7344	C3orf64|285203	1182.1672
C3orf67|200844	34.0566	C3orf67|200844	14.9317
C3orf70|285382	39.9158	C3orf70|285382	162.9693
C3orf71|646450	10.6198	C3orf71|646450	32.8498
C3orf75|54859	216.7903	C3orf75|54859	327.6451
C3|718	4708.9627	C3|718	13240.6143
C4A|720	43789.0799	C4A|720	7145.4778
lowly_expressed	lowly_expressed	C4BPA|722	125.0
C4BPB|725	5.8592	lowly_expressed	lowly_expressed
C4orf10|317648	342.2833	C4orf10|317648	365.6442
C4orf12|404201	24.5354	C4orf12|404201	85.3242
C4orf14|84273	573.1026	C4orf14|84273	622.4403
C4orf19|55286	8.0967	C4orf19|55286	224.4027
C4orf21|55345	119.7473	C4orf21|55345	71.6724
C4orf23|152992	224.8467	C4orf23|152992	261.5188
C4orf27|54969	359.6082	C4orf27|54969	396.3311
C4orf29|80167	178.3393	C4orf29|80167	138.6519
C4orf31|79625	120.1135	C4orf31|79625	219.7099
C4orf32|132720	729.1037	C4orf32|132720	1448.8055
C4orf33|132321	146.4799	C4orf33|132321	185.1536
C4orf34|201895	3072.7822	C4orf34|201895	956.058
C4orf36|132989	10.985999999999999	C4orf36|132989	18.3447
lowly_expressed	lowly_expressed	C4orf38|152641	22.1843
C4orf39|152756	33.3242	C4orf39|152756	20.0512
C4orf3|401152	1992.4929	C4orf3|401152	3963.3106
C4orf41|60684	1080.2893	C4orf41|60684	1155.2901
C4orf42|92070	736.0615	C4orf42|92070	365.1877
C4orf43|55319	341.6644	C4orf43|55319	322.5256
C4orf46|201725	281.9738	C4orf46|201725	170.6485
C4orf48|401115	5.8592	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C4orf49|84709	40.9556
C4orf52|389203	261.8328	C4orf52|389203	454.7782
lowly_expressed	lowly_expressed	C4orf7|260436	517.9181
C5AR1|728	127.8037	C5AR1|728	67.8328
C5orf13|9315	1841.6186	C5orf13|9315	599.4027
C5orf15|56951	2667.3991	C5orf15|56951	1634.3857
C5orf20|140947	12.817	lowly_expressed	lowly_expressed
C5orf22|55322	848.8510000000001	C5orf22|55322	564.4198
C5orf23|79614	27.465	C5orf23|79614	776.8771
C5orf24|134553	1759.5899	C5orf24|134553	1573.8055
C5orf25|375484	205.4381	C5orf25|375484	232.9352
lowly_expressed	lowly_expressed	C5orf27|202299	7.6792
C5orf28|64417	234.0016	C5orf28|64417	223.5495
C5orf30|90355	809.3015	C5orf30|90355	572.9522
C5orf32|84418	513.0459	C5orf32|84418	1186.0068
C5orf33|133686	711.8923	C5orf33|133686	881.8259
C5orf34|375444	73.6062	C5orf34|375444	27.7304
C5orf35|133383	139.5221	C5orf35|133383	190.273
C5orf36|285600	80.5639	C5orf36|285600	62.7133
C5orf38|153571	191.8887	C5orf38|153571	43.942
C5orf39|389289	14.2818	C5orf39|389289	62.2867
C5orf41|153222	435.0453	C5orf41|153222	1211.1775
C5orf42|65250	751.4419	C5orf42|65250	698.8055
C5orf43|643155	1638.0115	C5orf43|643155	993.6007
C5orf44|80006	672.6614	C5orf44|80006	464.8933
C5orf45|51149	91.2423	C5orf45|51149	257.8029
C5orf46|389336	21.971999999999998	C5orf46|389336	9.8123
C5orf49|134121	22.7044	C5orf49|134121	17.4915
C5orf4|10826	556.2574	C5orf4|10826	2524.744
C5orf51|285636	1124.2333	C5orf51|285636	1039.6758
C5orf53|492311	210.5649	C5orf53|492311	622.4403
C5orf54|63920	214.9593	C5orf54|63920	176.1945
C5orf55|116349	43.943999999999996	C5orf55|116349	74.6587
C5orf56|441108	61.9903	C5orf56|441108	119.5734
C5orf62|85027	327.3826	C5orf62|85027	3182.1672
C5|727	156.0011	C5|727	450.0853
C6orf105|84830	7.6902	C6orf105|84830	51.6212
C6orf106|64771	4355.58	C6orf106|64771	4354.5222
C6orf108|10591	191.5225	C6orf108|10591	167.6621
C6orf114|85411	6.5916	C6orf114|85411	9.3857
C6orf115|58527	733.1319	C6orf115|58527	155.7167
C6orf120|387263	763.12	C6orf120|387263	1416.2756
C6orf122|401288	6.5989	C6orf122|401288	29.087
C6orf124|653483	6.9578	C6orf124|653483	10.2389
C6orf125|84300	885.1378	C6orf125|84300	306.3524
C6orf129|154467	191.5225	C6orf129|154467	42.6621
C6orf130|221443	366.8626	C6orf130|221443	399.68
C6orf132|647024	182.3675	C6orf132|647024	108.7884
C6orf134|79969	197.0155	C6orf134|79969	133.1058
C6orf136|221545	169.5505	C6orf136|221545	177.0478
lowly_expressed	lowly_expressed	C6orf138|442213	20.9044
lowly_expressed	lowly_expressed	C6orf141|135398	49.4881
lowly_expressed	lowly_expressed	C6orf142|90523	10.2389
C6orf145|221749	641.582	C6orf145|221749	773.4642
C6orf150|115004	73.6062	C6orf150|115004	38.8225
C6orf153|88745	637.5538	C6orf153|88745	448.8055
C6orf154|221424	79.0991	C6orf154|221424	12.7986
C6orf155|79940	42.8454	C6orf155|79940	92.5768
lowly_expressed	lowly_expressed	C6orf15|29113	11.5188
C6orf162|57150	94.0877	C6orf162|57150	126.9923
lowly_expressed	lowly_expressed	C6orf163|206412	8.959
C6orf164|63914	6.6172	C6orf164|63914	15.0725
C6orf165|154313	47.2544	C6orf165|154313	15.1536
C6orf167|253714	358.8758	C6orf167|253714	245.7338
C6orf168|84553	577.497	C6orf168|84553	98.9761
C6orf170|221322	86.7893	C6orf170|221322	77.2184
C6orf174|387104	17.801	C6orf174|387104	189.0188
C6orf182|285753	149.4095	C6orf182|285753	162.116
lowly_expressed	lowly_expressed	C6orf186|728464	6.8259
C6orf192|116843	213.1283	C6orf192|116843	313.5666
C6orf1|221491	345.3264	C6orf1|221491	162.5427
C6orf201|404220	6.9578	C6orf201|404220	17.5
C6orf203|51250	173.5787	C6orf203|51250	267.9181
C6orf204|387119	24.5354	C6orf204|387119	64.4198
lowly_expressed	lowly_expressed	C6orf208|80069	13.1485
C6orf211|79624	658.4272	C6orf211|79624	1048.2082
lowly_expressed	lowly_expressed	C6orf217|100131814	6.3993
C6orf225|619208	142.4517	C6orf225|619208	186.0068
C6orf226|441150	23.4368	C6orf226|441150	59.3003
lowly_expressed	lowly_expressed	C6orf26|401251	19.2406
C6orf27|80737	12.4508	C6orf27|80737	41.8089
C6orf35|729515	365.1012	C6orf35|729515	418.94199999999995
lowly_expressed	lowly_expressed	C6orf41|100133205	7.6792
C6orf47|57827	684.0612	C6orf47|57827	504.6928
C6orf48|50854	1666.5751	C6orf48|50854	1566.9795
C6orf52|347744	8.7888	lowly_expressed	lowly_expressed
C6orf57|135154	47.606	C6orf57|135154	165.1024
C6orf62|81688	4566.5989	C6orf62|81688	3641.9326
C6orf64|55776	652.9342	C6orf64|55776	506.8259
C6orf70|55780	279.7766	C6orf70|55780	333.6177
C6orf72|116254	601.3	C6orf72|116254	1369.8805
C6orf89|221477	3403.0944	C6orf89|221477	3993.6007
C6orf97|80129	61.8878	C6orf97|80129	537.5427
C6|729	28.9298	C6|729	883.1058
C7orf10|79783	60.0568	C7orf10|79783	64.4198
C7orf11|136647	294.7908	C7orf11|136647	274.3174
C7orf13|129790	107.2965	C7orf13|129790	98.5495
C7orf23|79161	204.5812	C7orf23|79161	360.4352
C7orf25|79020	312.3684	C7orf25|79020	320.7807
C7orf26|79034	509.7501	C7orf26|79034	458.6177
C7orf27|221927	553.694	C7orf27|221927	705.2048
C7orf28A|51622	884.7386	C7orf28A|51622	933.8737
C7orf28B|221960	592.145	C7orf28B|221960	313.9932
C7orf29|113763	273.185	C7orf29|113763	263.6519
C7orf30|115416	179.4379	C7orf30|115416	351.5358
C7orf31|136895	72.1414	C7orf31|136895	185.5802
C7orf36|57002	187.4943	C7orf36|57002	180.4608
C7orf40|285958	261.1004	C7orf40|285958	151.8771
C7orf41|222166	2053.6483	C7orf41|222166	8374.1468
C7orf42|55069	2795.9352	C7orf42|55069	2850.6826
C7orf43|55262	347.8898	C7orf43|55262	134.3857
C7orf44|55744	672.3428	C7orf44|55744	716.7235
C7orf46|340277	109.8599	C7orf46|340277	113.0546
C7orf47|221908	132.5643	C7orf47|221908	81.058
C7orf49|78996	648.7119	C7orf49|78996	519.8549
C7orf50|84310	557.7222	C7orf50|84310	560.5802
lowly_expressed	lowly_expressed	C7orf51|222950	36.2628
C7orf53|286006	19.0424	C7orf53|286006	17.0648
C7orf55|154791	103.6345	C7orf55|154791	337.884
C7orf58|79974	4983.9788	C7orf58|79974	4466.7235
C7orf59|389541	478.2569	C7orf59|389541	720.5631
C7orf60|154743	246.4524	C7orf60|154743	302.901
C7orf63|79846	88.6203	C7orf63|79846	153.157
C7orf64|84060	321.5234	C7orf64|84060	343.43
C7orf68|29923	316.0304	C7orf68|29923	1078.9249
C7orf70|84792	370.9604	C7orf70|84792	359.6416
C7|730	111.6909	C7|730	898.8908
C8orf30A|51236	519.6375	C8orf30A|51236	226.9625
C8orf33|65265	1338.8263	C8orf33|65265	1092.1502
lowly_expressed	lowly_expressed	C8orf34|116328	61.4334
C8orf37|157657	84.2259	C8orf37|157657	124.1468
C8orf38|137682	279.7766	C8orf38|137682	193.68599999999998
lowly_expressed	lowly_expressed	C8orf39|55472	8.1058
C8orf40|114926	442.0031	C8orf40|114926	823.3788
C8orf41|80185	438.8721	C8orf41|80185	250.2517
C8orf42|157695	460.3131	C8orf42|157695	375.8532
C8orf44|56260	37.3084	C8orf44|56260	39.6459
C8orf45|157777	5.492999999999999	C8orf45|157777	60.1536
C8orf46|254778	10.6198	C8orf46|254778	33.2765
C8orf48|157773	28.1974	C8orf48|157773	29.4369
C8orf4|56892	3976.197	C8orf4|56892	1191.5529
C8orf51|78998	72.1414	C8orf51|78998	22.6109
C8orf55|51337	539.0459999999999	C8orf55|51337	658.7031
C8orf58|541565	141.3531	C8orf58|541565	182.5939
C8orf59|401466	343.5247	C8orf59|401466	508.0333
C8orf73|642475	45.0426	C8orf73|642475	36.6894
C8orf75|619351	11.7184	lowly_expressed	lowly_expressed
C8orf76|84933	301.0162	C8orf76|84933	277.7474
C8orf79|57604	151.2405	C8orf79|57604	354.5222
C8orf83|286144	1105.9233	C8orf83|286144	752.9863
C8orf84|157869	365.4674	C8orf84|157869	308.4471
C8orf85|441376	101.4373	C8orf85|441376	140.785
C8orf86|389649	6.9578	lowly_expressed	lowly_expressed
C9orf100|84904	224.7551	C9orf100|84904	25.7935
C9orf102|375748	203.7865	C9orf102|375748	183.9036
C9orf103|414328	57.1272	C9orf103|414328	143.7713
C9orf106|414318	6.9578	lowly_expressed	lowly_expressed
C9orf109|286333	16.1128	C9orf109|286333	18.3447
C9orf110|100128385	166.2547	C9orf110|100128385	164.6758
C9orf114|51490	710.2847	C9orf114|51490	378.8908
C9orf116|138162	95.5781	C9orf116|138162	34.5563
C9orf117|286207	19.0424	lowly_expressed	lowly_expressed
C9orf119|375757	382.3126	C9orf119|375757	277.7304
C9orf122|158228	32.958	C9orf122|158228	11.5188
C9orf123|90871	542.7080000000001	C9orf123|90871	604.0956
C9orf125|84302	24.5354	C9orf125|84302	144.6246
C9orf128|392307	13.1832	C9orf128|392307	7.6792
C9orf129|445577	129.8325	C9orf129|445577	104.2833
C9orf130|100128782	131.9784	C9orf130|100128782	161.6041
C9orf139|401563	5.8592	lowly_expressed	lowly_expressed
C9orf140|89958	733.1319	C9orf140|89958	48.6348
C9orf142|286257	179.0717	C9orf142|286257	119.8805
C9orf150|286343	903.0486	C9orf150|286343	428.7543
C9orf152|401546	2097.226	C9orf152|401546	307.1672
C9orf156|51531	362.5378	C9orf156|51531	320.8191
C9orf163|158055	19.0424	C9orf163|158055	5.1195
C9orf167|54863	119.0149	C9orf167|54863	111.7747
C9orf169|375791	5.0206	lowly_expressed	lowly_expressed
C9orf16|79095	595.4408	C9orf16|79095	299.0614
C9orf172|389813	21.2396	lowly_expressed	lowly_expressed
C9orf21|195827	111.6909	C9orf21|195827	222.6962
C9orf23|138716	261.4666	C9orf23|138716	305.8874
lowly_expressed	lowly_expressed	C9orf24|84688	8.1058
C9orf25|203259	318.2276	C9orf25|203259	376.2799
C9orf30|91283	312.4343	C9orf30|91283	151.4164
C9orf37|85026	101.4373	C9orf37|85026	100.256
C9orf3|84909	153.5366	C9orf3|84909	439.151
C9orf40|55071	67.3808	C9orf40|55071	111.7747
C9orf41|138199	255.9736	C9orf41|138199	148.4642
C9orf45|81571	253.044	C9orf45|81571	164.6758
C9orf46|55848	500.2289	C9orf46|55848	363.9078
C9orf47|286223	8.0564	C9orf47|286223	15.401
C9orf5|23731	1906.8022	C9orf5|23731	4625.8532
C9orf64|84267	540.5108	C9orf64|84267	342.5768
C9orf66|157983	6.9578	C9orf66|157983	49.4881
C9orf68|55064	35.1552	C9orf68|55064	52.0478
C9orf69|90120	880.7104	C9orf69|90120	596.8430000000001
C9orf6|54942	446.0313	C9orf6|54942	457.7645
C9orf72|203228	197.3817	C9orf72|203228	396.3311
C9orf78|51759	1806.8296	C9orf78|51759	1309.3003
C9orf7|11094	1580.8844	C9orf7|11094	316.9795
C9orf80|58493	343.1292	C9orf80|58493	264.0785
C9orf82|79886	454.8201	C9orf82|79886	287.116
C9orf85|138241	166.9871	C9orf85|138241	156.9966
C9orf86|55684	1787.0548	C9orf86|55684	1386.9454
C9orf89|84270	117.9163	C9orf89|84270	131.8259
C9orf91|203197	1869.4498	C9orf91|203197	815.273
C9orf93|203238	39.9158	C9orf93|203238	101.5358
C9orf95|54981	162.5927	C9orf95|54981	806.7406
lowly_expressed	lowly_expressed	C9orf96|169436	7.2526
C9orf98|158067	46.8736	C9orf98|158067	26.8771
C9orf9|11092	102.1697	C9orf9|11092	156.57
CA11|770	93.0147	CA11|770	174.9147
CA12|771	4515.2431	CA12|771	1963.3106
CA13|377677	58.9911	CA13|377677	86.7705
CA14|23632	8.7888	CA14|23632	8.959
CA2|760	182.3675	CA2|760	302.901
CA3|761	33.6574	CA3|761	3262.6323
lowly_expressed	lowly_expressed	CA4|762	1016.6382
CA5BP|340591	155.2687	CA5BP|340591	149.744
CA5B|11238	336.4057	CA5B|11238	295.1536
CA8|767	796.1183	CA8|767	184.3003
CA9|768	371.0739	lowly_expressed	lowly_expressed
CAB39L|81617	602.7648	CAB39L|81617	1349.4027
CAB39|51719	2308.5233	CAB39|51719	2496.1604
CABC1|56997	365.2183	CABC1|56997	4988.6092
CABIN1|23523	2152.8884	CABIN1|23523	1156.57
CABLES1|91768	843.3581	CABLES1|91768	1392.9181
CABLES2|81928	316.0304	CABLES2|81928	151.4505
lowly_expressed	lowly_expressed	CABP1|9478	63.1399
CABP4|57010	33.6904	CABP4|57010	20.6101
CABYR|26256	139.8883	CABYR|26256	70.3925
CACHD1|57685	418.2001	CACHD1|57685	1780.2901
CACNA1A|773	13.1832	CACNA1A|773	22.1843
CACNA1C|775	116.8177	CACNA1C|775	368.1741
CACNA1D|776	341.6644	CACNA1D|776	291.3823
CACNA1F|778	17.5776	CACNA1F|778	9.3857
CACNA1G|8913	10.985999999999999	CACNA1G|8913	21.3311
CACNA1H|8912	2149.1312	CACNA1H|8912	170.2218
CACNA1I|8911	26.3664	CACNA1I|8911	11.5188
CACNA2D1|781	64.8174	CACNA2D1|781	441.9795
CACNA2D2|9254	131.4657	CACNA2D2|9254	168.5154
CACNA2D4|93589	8.4226	CACNA2D4|93589	95.1365
CACNB1|782	68.4794	CACNB1|782	62.2867
CACNB2|783	11.7184	CACNB2|783	24.744
CACNB3|784	1026.0917	CACNB3|784	231.2287
CACNB4|785	18.31	CACNB4|785	87.4573
CACNG4|27092	214.2269	CACNG4|27092	212.0307
CACYBP|27101	1130.8249	CACYBP|27101	1115.6143
CADM1|23705	1378.0097	CADM1|23705	812.7133
CADM2|253559	10.6198	CADM2|253559	125.8532
CADM3|57863	12.0846	CADM3|57863	57.1331
CADM4|199731	969.697	CADM4|199731	389.0785
CADPS2|93664	2450.2426	CADPS2|93664	802.0478
CAD|790	883.2738	lowly_expressed	lowly_expressed
CALB2|794	27.465	CALB2|794	2592.1502
CALCOCO1|57658	1550.856	CALCOCO1|57658	4248.2935
CALCOCO2|10241	1877.5062	CALCOCO2|10241	4360.9215
CALCRL|10203	747.7799	CALCRL|10203	2918.942
lowly_expressed	lowly_expressed	CALCR|799	5.1195
CALD1|800	5064.9089	CALD1|800	9567.4061
CALHM2|51063	520.3699	CALHM2|51063	470.9898
CALM1|801	6053.6483	CALM1|801	8679.1809
CALM2|805	13235.558	CALM2|805	8758.1058
CALM3|808	3491.7147	CALM3|808	3147.1843
CALML3|810	28.9298	CALML3|810	173.6348
CALML4|91860	338.0024	CALML4|91860	203.4983
CALML5|51806	1887.3936	CALML5|51806	16.6382
CALR|811	15840.7031	CALR|811	7107.5085
CALU|813	5278.7696	CALU|813	2508.5324
CAMK1D|57118	298.4528	CAMK1D|57118	76.3652
CAMK1|8536	175.6184	CAMK1|8536	1176.2201
CAMK2B|816	8.4226	CAMK2B|816	26.0239
CAMK2D|817	950.2884	CAMK2D|817	1229.9488
CAMK2G|818	569.0744	CAMK2G|818	911.6894
CAMK2N1|55450	3555.0673	CAMK2N1|55450	852.3891
CAMK2N2|94032	22.3382	lowly_expressed	lowly_expressed
CAMK4|814	12.0846	CAMK4|814	6.8259
CAMKK1|84254	215.3255	CAMKK1|84254	114.7611
CAMKK2|10645	2285.4527	CAMKK2|10645	1679.1809
CAMLG|819	718.1177	CAMLG|819	999.1468
CAMSAP1L1|23271	2576.2153	CAMSAP1L1|23271	1761.5188
CAMSAP1|157922	1443.1933	CAMSAP1|157922	1314.8464
CAMTA1|23261	407.2141	CAMTA1|23261	445.3925
CAMTA2|23125	1258.6286	CAMTA2|23125	1545.6485
CAND1|55832	4948.8236	CAND1|55832	2796.9283
CAND2|23066	60.7892	CAND2|23066	116.041
CANT1|124583	2877.2315	CANT1|124583	1096.843
CANX|821	18479.9048	CANX|821	14799.4881
CAP1|10487	9553.0532	CAP1|10487	5583.1911
CAP2|10486	333.608	CAP2|10486	837.4573
CAPG|822	3837.4073	CAPG|822	988.4812
CAPN10|11132	284.7826	CAPN10|11132	145.0512
CAPN11|11131	9.155	CAPN11|11131	132.2526
CAPN12|147968	50.2792	CAPN12|147968	47.7304
CAPN13|92291	958.711	CAPN13|92291	90.4437
CAPN14|440854	7.324	lowly_expressed	lowly_expressed
CAPN1|823	2195.7338	CAPN1|823	2659.1297
CAPN2|824	6913.1191	CAPN2|824	6244.4539
CAPN3|825	9.155	CAPN3|825	103.5239
CAPN5|726	144.2827	CAPN5|726	252.9863
CAPN6|827	16.479	CAPN6|827	267.0648
CAPN7|23473	1226.7692	CAPN7|23473	1311.4334
CAPN8|388743	127.4375	CAPN8|388743	72.5256
CAPN9|10753	136.5925	CAPN9|10753	5.1195
CAPNS1|826	5823.3086	CAPNS1|826	5912.9693
CAPRIN1|4076	11403.0944	CAPRIN1|4076	6861.3481
CAPRIN2|65981	143.1841	CAPRIN2|65981	481.2287
CAPS2|84698	17.5776	CAPS2|84698	64.4198
CAPSL|133690	20.141	lowly_expressed	lowly_expressed
CAPS|828	775.9773	CAPS|828	87.0307
CAPZA1|829	3668.5892	CAPZA1|829	2069.5392
CAPZA2|830	2564.1307	CAPZA2|830	2417.6621
CAPZB|832	4946.6264	CAPZB|832	3043.942
CARD10|29775	508.4757	CARD10|29775	394.19800000000004
CARD11|84433	87.5217	CARD11|84433	43.5154
CARD14|79092	130.7333	CARD14|79092	106.6553
CARD16|114769	25.634	CARD16|114769	101.9625
CARD6|84674	90.4513	lowly_expressed	lowly_expressed
CARD8|22900	412.7071	CARD8|22900	832.3379
CARD9|64170	21.6058	CARD9|64170	22.1843
CARHSP1|23589	702.6934	CARHSP1|23589	1055.4096
CARKD|55739	1104.4585	CARKD|55739	887.7986
CARM1|10498	1008.5141	CARM1|10498	673.2082
CARNS1|57571	11.3522	CARNS1|57571	23.0375
CARS2|79587	632.4892	CARS2|79587	713.4428
CARS|833	1140.3461	CARS|833	932.5939
CASC1|55259	16.1128	CASC1|55259	33.2765
CASC2|255082	108.3951	CASC2|255082	51.6212
CASC3|22794	3028.8382	CASC3|22794	2796.0751
CASC4|113201	3610.7297	CASC4|113201	2670.2218
CASC5|57082	706.0331	CASC5|57082	11.9454
CASD1|64921	1391.1929	CASD1|64921	1095.9898
CASKIN1|57524	33.8076	CASKIN1|57524	5.3754
CASKIN2|57513	684.8448	CASKIN2|57513	1122.6493
CASK|8573	4099.2401	CASK|8573	1140.3584
CASP10|843	120.1135	CASP10|843	475.6826
lowly_expressed	lowly_expressed	CASP12|120329	7.2526
CASP1|834	145.7475	CASP1|834	495.7338
CASP2|835	1368.4885	CASP2|835	696.2457
CASP3|836	918.429	CASP3|836	372.0137
CASP4|837	290.7626	CASP4|837	677.0478
CASP6|839	782.5689	CASP6|839	272.6109
CASP7|840	426.2565	CASP7|840	575.9386
CASP8AP2|9994	929.415	CASP8AP2|9994	652.7304
CASP8|841	580.4266	CASP8|841	421.5017
CASP9|842	184.9309	CASP9|842	223.9761
CASQ1|844	18.31	CASQ1|844	11.9454
CASQ2|845	13.5494	CASQ2|845	636.9454
CASS4|57091	19.0424	CASS4|57091	9.3857
CAST|831	4038.4656	CAST|831	9136.1732
CASZ1|54897	1715.2797	CASZ1|54897	656.57
CATSPER2P1|440278	20.5951	CATSPER2P1|440278	32.9821
CATSPER2|117155	8.7888	CATSPER2|117155	13.6519
CATSPER3|347732	23.0706	lowly_expressed	lowly_expressed
CATSPERB|79820	67.3808	CATSPERB|79820	18.3447
CATSPERG|57828	23.4368	CATSPERG|57828	21.7577
CAT|847	1207.7268	CAT|847	11830.6314
CAV1|857	588.1168	CAV1|857	24174.0614
CAV2|858	306.143	CAV2|858	9112.628
CBARA1|10367	1104.0923	CBARA1|10367	1412.116
CBFA2T2|9139	1173.3039999999999	CBFA2T2|9139	930.0341
CBFA2T3|863	93.3809	CBFA2T3|863	168.942
CBFB|865	891.3302	CBFB|865	579.3515
CBLB|868	609.3564	CBLB|868	415.529
CBLC|23624	497.2993	CBLC|23624	77.6451
CBLL1|79872	949.9222	CBLL1|79872	739.7611
lowly_expressed	lowly_expressed	CBLN1|869	47.3549
CBLN2|147381	17.2114	lowly_expressed	lowly_expressed
CBLN3|643866	85.3245	CBLN3|643866	121.1604
CBLN4|140689	10.6198	CBLN4|140689	98.9761
CBL|867	900.1189999999999	CBL|867	1612.2014
CBR1|873	127.3716	CBR1|873	655.7637
CBR3|874	150.8743	CBR3|874	194.5392
CBR4|84869	564.68	CBR4|84869	577.2184
CBS|875	198.8465	CBS|875	250.0
CBWD1|55871	785.4985	CBWD1|55871	610.4949
CBWD2|150472	300.65	CBWD2|150472	396.7577
CBWD3|445571	199.9231	CBWD3|445571	215.4437
CBWD6|644019	166.9871	CBWD6|644019	71.6724
CBX1|10951	1910.8304	CBX1|10951	1330.2048
CBX2|84733	93.0147	CBX2|84733	77.6451
CBX3|11335	5030.4861	CBX3|11335	2390.3584
CBX4|8535	697.6105	CBX4|8535	331.9113
CBX5|23468	6642.4975	CBX5|23468	3340.4437
CBX6|23466	1156.0926	CBX6|23466	761.9454
CBX7|23492	357.7772	CBX7|23492	2732.0819
CBX8|57332	84.9583	CBX8|57332	53.3276
CBY1|25776	585.2751	CBY1|25776	537.0563
CC2D1A|54862	863.1328	CC2D1A|54862	615.1877
CC2D1B|200014	715.1881	CC2D1B|200014	857.0819
CC2D2A|57545	212.3959	CC2D2A|57545	466.7235
CCAR1|55749	2840.9778	CCAR1|55749	938.5666
lowly_expressed	lowly_expressed	CCBE1|147372	90.4437
CCBL1|883	41.7468	CCBL1|883	98.1229
CCBL2|56267	467.2965	CCBL2|56267	707.8242
lowly_expressed	lowly_expressed	CCBP2|1238	71.6724
CCDC101|112869	173.5787	lowly_expressed	lowly_expressed
CCDC102A|92922	94.8457	CCDC102A|92922	122.0137
CCDC102B|79839	72.1414	CCDC102B|79839	84.471
CCDC103|388389	90.0851	CCDC103|388389	129.2662
CCDC104|112942	669.4132	CCDC104|112942	598.1229
CCDC106|29903	355.2138	CCDC106|29903	249.1468
CCDC107|203260	304.6562	CCDC107|203260	650.8276
CCDC109A|90550	543.8066	CCDC109A|90550	361.7747
