gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
?|100134869	5.583	lowly_expressed	lowly_expressed
?|10357	77.8497	?|10357	103.7328
?|10431	838.2367	?|10431	827.4416
?|155060	126.2829	?|155060	101.8574
?|390284	6.6465	?|390284	6.5908
?|57714	1020.8191	?|57714	113.2415
?|652919	34.0143	lowly_expressed	lowly_expressed
?|653553	719.3823	?|653553	462.5524
?|729884	14.8568	lowly_expressed	lowly_expressed
?|8225	666.2105	?|8225	932.2948
?|90288	53.5627	?|90288	49.7304
A1BG|1	230.1984	A1BG|1	71.2163
A2LD1|87769	55.5566	A2LD1|87769	129.5866
A2M|2	8246.6269	A2M|2	46156.7645
A4GALT|53947	452.7417	A4GALT|53947	1219.293
AAAS|8086	979.3764	AAAS|8086	650.689
AACS|65985	1003.2255	AACS|65985	1037.7472
lowly_expressed	lowly_expressed	AADAC|13	149.7903
AADAT|51166	52.3898	AADAT|51166	57.5195
AAGAB|79719	1769.915	AAGAB|79719	620.731
AAK1|22848	1064.6076	AAK1|22848	759.1372
AAMP|14	2799.7263	AAMP|14	3202.5165
AARS2|57505	473.8501	AARS2|57505	289.3948
AARSD1|80755	544.2283	AARSD1|80755	679.4488
AARS|16	4514.9057	AARS|16	3590.1738
AASDHPPT|60496	1590.824	AASDHPPT|60496	597.9629
AASDH|132949	283.0613	AASDH|132949	182.7442
AASS|10157	253.3477	AASS|10157	401.438
AATF|26574	1260.8738	AATF|26574	1177.3517
AATK|9625	48.0891	AATK|9625	82.7981
ABAT|18	4306.9104	ABAT|18	80.2876
lowly_expressed	lowly_expressed	ABCA10|10349	95.2666
ABCA11P|79963	92.9997	ABCA11P|79963	48.9515
ABCA12|26154	91.8776	lowly_expressed	lowly_expressed
ABCA17P|650655	56.2995	lowly_expressed	lowly_expressed
ABCA1|19	487.143	ABCA1|19	1651.6537
ABCA2|20	1650.6695	ABCA2|20	1599.7603
ABCA3|21	13111.1328	ABCA3|21	1316.3571
ABCA4|24	461.343	ABCA4|24	15.5782
ABCA5|23461	87.577	ABCA5|23461	575.7939
ABCA6|23460	57.4724	ABCA6|23460	521.8694
ABCA7|10347	424.201	ABCA7|10347	284.0024
ABCA8|10351	128.6287	ABCA8|10351	2655.4823
ABCA9|10350	22.6762	ABCA9|10350	690.8328
ABCB10|23456	937.5428	ABCB10|23456	328.3403
lowly_expressed	lowly_expressed	ABCB11|8647	7.7891
ABCB1|5243	47.6982	ABCB1|5243	316.9563
ABCB4|5244	5.0826	ABCB4|5244	34.7513
lowly_expressed	lowly_expressed	ABCB5|340273	29.3589
ABCB6|10058	378.8642	ABCB6|10058	952.3547
ABCB7|22	304.1736	ABCB7|22	541.6417
ABCB8|11194	730.3294	ABCB8|11194	600.3595
ABCB9|23457	239.1477	ABCB9|23457	99.7364
ABCC10|89845	430.8474	ABCC10|89845	223.4871
ABCC11|85320	112.208	lowly_expressed	lowly_expressed
ABCC13|150000	302.6097	lowly_expressed	lowly_expressed
ABCC1|4363	1230.3783	ABCC1|4363	542.2409
lowly_expressed	lowly_expressed	ABCC2|1244	11.3841
ABCC3|8714	147.0042	ABCC3|8714	35.9497
ABCC4|10257	202.5217	ABCC4|10257	142.0012
ABCC5|10057	819.4702	ABCC5|10057	219.8922
lowly_expressed	lowly_expressed	ABCC6P1|653190	35.3505
lowly_expressed	lowly_expressed	ABCC6P2|730013	64.1102
ABCC6|368	7.8194	ABCC6|368	611.1444
ABCC8|6833	78.5847	lowly_expressed	lowly_expressed
ABCC9|10060	176.7178	ABCC9|10060	1284.0024
ABCD1|215	262.3399	ABCD1|215	911.3241
ABCD2|225	17.9846	ABCD2|225	609.3469
ABCD3|5825	2499.8534	ABCD3|5825	748.9515
ABCD4|5826	511.387	ABCD4|5826	1074.296
ABCE1|6059	2062.7505	ABCE1|6059	900.5392
ABCF1|23	1448.5388	ABCF1|23	1376.2732
ABCF2|10061	1565.0474	ABCF2|10061	1183.9425
ABCF3|55324	1352.7514	ABCF3|55324	1136.6087
ABCG1|9619	520.3792	ABCG1|9619	802.876
ABCG2|9429	33.6233	ABCG2|9429	142.0012
lowly_expressed	lowly_expressed	ABCG4|64137	7.7891
lowly_expressed	lowly_expressed	ABCG5|64240	5.9916
lowly_expressed	lowly_expressed	ABCG8|64241	7.1899
ABHD10|55347	865.9955	ABHD10|55347	607.5494
ABHD11|83451	747.923	ABHD11|83451	226.4829
ABHD12B|145447	34.7962	ABHD12B|145447	7.1899
ABHD12|26090	1183.853	ABHD12|26090	1133.0138
ABHD13|84945	525.4618	ABHD13|84945	434.3919
ABHD14A|25864	206.1304	ABHD14A|25864	716.4649
ABHD14B|84836	928.5505	ABHD14B|84836	4538.6459
ABHD15|116236	593.4904	ABHD15|116236	1511.0845
lowly_expressed	lowly_expressed	ABHD1|84696	88.6759
ABHD2|11057	3224.7092	ABHD2|11057	1488.9155
ABHD3|171586	891.7994	ABHD3|171586	277.4116
ABHD4|63874	844.4922	ABHD4|63874	1389.4548
ABHD5|51099	1366.8263	ABHD5|51099	2434.991
ABHD6|57406	126.2829	ABHD6|57406	749.5506
ABHD8|79575	161.0791	ABHD8|79575	321.7496
ABI1|10006	1495.6231	lowly_expressed	lowly_expressed
ABI2|10152	1481.3801	ABI2|10152	538.0467
ABI3BP|25890	206.4314	ABI3BP|25890	1733.9724
ABI3|51225	93.0505	ABI3|51225	357.1001
ABL1|25	1833.2519	ABL1|25	2250.4494
ABL2|27	876.9426	ABL2|27	533.2534
ABLIM1|3983	2390.3822	ABLIM1|3983	6674.0563
ABLIM2|84448	121.2003	ABLIM2|84448	152.7861
ABLIM3|22885	697.879	ABLIM3|22885	5492.5105
lowly_expressed	lowly_expressed	ABO|28	7.7891
ABP1|26	53.5627	lowly_expressed	lowly_expressed
ABR|29	2268.009	ABR|29	1875.3745
ABT1|29777	381.5854	ABT1|29777	673.4572
