gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
ABTB1|80325	299.482	ABTB1|80325	1771.1204
ABTB2|25841	17.9846	ABTB2|25841	56.3212
ACAA1|30	1507.184	ACAA1|30	2678.2504
ACAA2|10449	1735.5097	ACAA2|10449	4430.1977
ACACA|31	2764.5391	ACACA|31	2521.8694
ACACB|32	415.5996	ACACB|32	14511.6836
ACAD10|80724	624.7679	ACAD10|80724	440.9826
ACAD11|84129	98.0588	ACAD11|84129	1120.4314
ACAD8|27034	776.8547	ACAD8|27034	545.8358
ACAD9|28976	1084.5391	ACAD9|28976	1753.7448
ACADL|33	7.0374	ACADL|33	505.0929
ACADM|34	898.8369	ACADM|34	1940.0839
ACADSB|36	1178.7704	ACADSB|36	808.2684
ACADS|35	178.2817	ACADS|35	3642.8999
ACADVL|37	4948.4899	ACADVL|37	10527.849
ACAN|176	23.4581	ACAN|176	41.9413
ACAP1|9744	29.7136	ACAP1|9744	53.9245
ACAP2|23527	1627.2114	ACAP2|23527	984.4218
ACAP3|116983	609.915	ACAP3|116983	499.7304
ACAT1|38	1356.6611	ACAT1|38	4695.027
ACAT2|39	961.9627	ACAT2|39	314.7034
ACBD3|64746	2770.0127	ACBD3|64746	884.3619
ACBD4|79777	95.3963	ACBD4|79777	559.0174
ACBD5|91452	703.7435	ACBD5|91452	737.5674
ACBD6|84320	804.6134	ACBD6|84320	452.3667
ACBD7|414149	5.8645	lowly_expressed	lowly_expressed
ACCN1|40	29.3226	lowly_expressed	lowly_expressed
ACCN2|41	34.7962	ACCN2|41	29.3589
lowly_expressed	lowly_expressed	ACCN3|9311	8.9874
ACCS|84680	186.492	ACCS|84680	372.6783
ACD|65057	366.3376	ACD|65057	387.6573
lowly_expressed	lowly_expressed	ACE2|59272	51.5279
ACER2|340485	186.1011	ACER2|340485	157.5794
ACER3|55331	250.6109	ACER3|55331	657.2798
ACE|1636	1222.5589	ACE|1636	768.1246
ACHE|43	6.2555	ACHE|43	10.7849
ACIN1|22985	2357.9318	ACIN1|22985	1787.2978
ACLY|47	6139.3803	ACLY|47	2123.4272
ACMSD|130013	72.3292	lowly_expressed	lowly_expressed
ACN9|57001	66.4647	ACN9|57001	176.7525
ACO1|48	1405.5322	ACO1|48	9000.5992
ACO2|50	2651.4241	ACO2|50	5795.009
ACOT11|26027	39.4878	ACOT11|26027	19.4128
ACOT13|55856	503.0632	ACOT13|55856	968.7777
ACOT1|641371	505.9134	ACOT1|641371	3417.6153
ACOT2|10965	375.3299	ACOT2|10965	2008.3883
ACOT4|122970	272.1142	ACOT4|122970	294.1881
lowly_expressed	lowly_expressed	ACOT6|641372	23.9664
ACOT7|11332	676.3757	ACOT7|11332	427.2019
ACOT8|10005	1174.501	ACOT8|10005	369.1732
ACOT9|23597	217.3786	ACOT9|23597	644.0983
ACOX1|51	1572.9919	ACOX1|51	2505.0929
ACOX2|8309	2154.2371	ACOX2|8309	529.6585
ACOX3|8310	1675.6915	ACOX3|8310	433.1935
ACP1|52	1344.9321	ACP1|52	1036.5488
ACP2|53	2218.7469	ACP2|53	1201.9113
ACP5|54	1059.9159	ACP5|54	336.7286
ACP6|51205	398.397	ACP6|51205	222.888
ACPL2|92370	405.8254	ACPL2|92370	113.2415
ACPP|55	28.1497	lowly_expressed	lowly_expressed
ACRBP|84519	14.0749	ACRBP|84519	20.9706
ACRC|93953	5.4736	ACRC|93953	16.1774
lowly_expressed	lowly_expressed	ACSBG1|23205	14.979
ACSF2|80221	331.1504	ACSF2|80221	1473.9365
ACSF3|197322	455.4784	ACSF3|197322	462.5524
ACSL1|2180	1588.5055	ACSL1|2180	28884.9611
ACSL3|2181	4996.97	ACSL3|2181	1460.7549
ACSL4|2182	488.7108	ACSL4|2182	1711.8035
ACSL5|51703	133.7113	ACSL5|51703	962.852
ACSM1|116285	21.1123	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2B|348158	6.5908
ACSM3|6296	7.5379	lowly_expressed	lowly_expressed
ACSM5|54988	12.902	ACSM5|54988	844.8173
ACSS1|84532	1488.8085	ACSS1|84532	488.9155
ACSS2|55902	2111.6215	ACSS2|55902	7988.6159
ACSS3|79611	258.0393	ACSS3|79611	1259.4368
ACTA1|58	8.9923	lowly_expressed	lowly_expressed
ACTA2|59	3110.9764	ACTA2|59	11635.3745
ACTB|60	92526.6347	ACTB|60	82125.2247
lowly_expressed	lowly_expressed	ACTC1|70	11.3841
ACTG1|71	111419.8026	ACTG1|71	51662.6723
ACTG2|72	247.8741	ACTG2|72	347.5135
ACTL6A|86	1306.6171	ACTL6A|86	561.414
ACTL8|81569	6.2555	lowly_expressed	lowly_expressed
ACTN1|87	5520.477	ACTN1|87	5477.5315
ACTN2|88	58.6453	lowly_expressed	lowly_expressed
ACTN4|81	9015.4198	ACTN4|81	11770.7789
ACTR10|55860	1186.5898	ACTR10|55860	1279.2091
ACTR1A|10121	3141.8239	ACTR1A|10121	3937.6872
ACTR1B|10120	910.175	ACTR1B|10120	2056.9203
ACTR2|10097	10972.9254	ACTR2|10097	4059.9161
ACTR3B|57180	280.7155	ACTR3B|57180	100.0599
ACTR3C|653857	26.5859	ACTR3C|653857	8.9874
ACTR3|10096	5409.4419	ACTR3|10096	2446.3751
ACTR5|79913	734.2391	ACTR5|79913	160.5752
ACTR6|64431	649.3989	ACTR6|64431	440.3835
ACTR8|93973	741.2765	ACTR8|93973	345.1168
ACVR1B|91	1226.0776	ACVR1B|91	639.305
ACVR1C|130399	96.1783	ACVR1C|130399	2530.8568
ACVR1|90	853.4845	ACVR1|90	923.3074
ACVR2A|92	203.6947	ACVR2A|92	368.4841
ACVR2B|93	367.5105	ACVR2B|93	185.1408
ACVRL1|94	256.4754	ACVRL1|94	3228.2804
ACY1|95	1061.3899	ACY1|95	1031.8874
ACYP1|97	67.2466	ACYP1|97	34.7513
ACYP2|98	123.1551	ACYP2|98	352.9059
lowly_expressed	lowly_expressed	ADAD2|161931	14.3799
ADAL|161823	103.6067	ADAL|161823	147.9928
ADAM10|102	1414.9155	ADAM10|102	711.8035
ADAM12|8038	1823.0867	ADAM12|8038	499.7004
ADAM15|8751	4841.1885	ADAM15|8751	8142.0012
ADAM17|6868	943.7983	ADAM17|6868	329.5386
ADAM19|8728	173.981	ADAM19|8728	67.1061
ADAM22|53616	45.3524	ADAM22|53616	47.9329
ADAM23|8745	21.5033	ADAM23|8745	18.574
ADAM28|10863	41.4427	ADAM28|10863	12.5824
ADAM2|2515	7.8194	lowly_expressed	lowly_expressed
ADAM32|203102	24.631	ADAM32|203102	13.7807
ADAM33|80332	24.2401	ADAM33|80332	701.3721
ADAM6|8755	4393.8774	ADAM6|8755	1465.5542
ADAM8|101	215.4237	ADAM8|101	28.1606
ADAM9|8754	3899.5211	ADAM9|8754	970.0419
ADAMDEC1|27299	18.7665	lowly_expressed	lowly_expressed
ADAMTS10|81794	34.7962	ADAMTS10|81794	236.0695
ADAMTS12|81792	264.2948	ADAMTS12|81792	213.3014
ADAMTS13|11093	43.3975	ADAMTS13|11093	29.9581
ADAMTS14|140766	112.9899	lowly_expressed	lowly_expressed
ADAMTS15|170689	1628.3843	ADAMTS15|170689	327.142
ADAMTS16|170690	144.2674	ADAMTS16|170690	68.3044
ADAMTS17|170691	9.7742	ADAMTS17|170691	20.9706
ADAMTS18|170692	330.7595	ADAMTS18|170692	228.2804
ADAMTS19|171019	86.795	lowly_expressed	lowly_expressed
ADAMTS1|9510	482.0643	ADAMTS1|9510	9750.749
ADAMTS2|9509	373.375	ADAMTS2|9509	1084.4817
ADAMTS3|9508	17.2026	ADAMTS3|9508	228.2804
ADAMTS4|9507	278.3697	ADAMTS4|9507	1014.3799
ADAMTS5|11096	162.6429	ADAMTS5|11096	1366.0875
ADAMTS6|11174	32.4504	ADAMTS6|11174	10.7849
ADAMTS7|11173	85.2312	ADAMTS7|11173	196.5249
ADAMTS8|11095	10.5562	ADAMTS8|11095	13.1815
ADAMTS9|56999	259.9941	ADAMTS9|56999	1177.9509
ADAMTSL1|92949	85.2312	ADAMTSL1|92949	373.8766
ADAMTSL2|9719	62.555	ADAMTSL2|9719	80.8868
ADAMTSL3|57188	27.7588	ADAMTSL3|57188	282.8041
ADAMTSL4|54507	64.9008	ADAMTSL4|54507	1225.8838
ADAMTSL5|339366	66.8556	ADAMTSL5|339366	16.7765
ADAP1|11033	376.1861	ADAP1|11033	168.2025
ADAP2|55803	118.4635	ADAP2|55803	149.1911
ADARB1|104	510.2141	ADARB1|104	814.8592
ADAR|103	10808.7186	ADAR|103	3753.1456
ADAT1|23536	534.8451	ADAT1|23536	140.2037
ADAT2|134637	54.3446	ADAT2|134637	66.5069
ADAT3|113179	71.9382	ADAT3|113179	33.553
ADA|100	112.208	ADA|100	282.8041
ADCK1|57143	243.9644	ADCK1|57143	237.867
ADCK2|90956	1113.4786	ADCK2|90956	1009.5866
ADCK4|79934	853.0935	ADCK4|79934	539.8442
ADCK5|203054	101.2609	ADCK5|203054	115.6381
ADCY1|107	807.7412	ADCY1|107	133.0138
ADCY2|108	8.6013	ADCY2|108	93.4691
ADCY3|109	577.7539	ADCY3|109	1566.5728
ADCY4|196883	50.8259	ADCY4|196883	1094.6675
ADCY5|111	733.8481	ADCY5|111	569.2031
ADCY6|112	1387.9386	ADCY6|112	4229.4787
ADCY7|113	297.9181	ADCY7|113	297.1839
ADCY9|115	5877.4313	ADCY9|115	590.7729
lowly_expressed	lowly_expressed	ADCYAP1R1|117	13.7807
lowly_expressed	lowly_expressed	ADCYAP1|116	14.3799
ADC|113451	87.9679	ADC|113451	68.9035
ADD1|118	6556.1529	ADD1|118	8675.2546
ADD2|119	11.3381	ADD2|119	70.701
ADD3|120	502.3947	ADD3|120	2047.3337
ADH1A|124	20.7213	ADH1A|124	629.5506
ADH1B|125	1898.5436	ADH1B|125	95643.4991
ADH1C|126	9.3832	ADH1C|126	535.6501
ADH5|128	3323.2333	ADH5|128	6353.5051
ADHFE1|137872	22.6762	ADHFE1|137872	653.6848
ADI1|55256	1248.3628	ADI1|55256	3285.2007
ADIPOQ|9370	2563.1903	ADIPOQ|9370	76636.3092
ADIPOR1|51094	3029.2249	ADIPOR1|51094	2421.2103
ADIPOR2|79602	2034.6007	ADIPOR2|79602	4843.0198
ADK|132	632.9782	ADK|132	452.9658
ADM2|79924	225.9799	lowly_expressed	lowly_expressed
ADM|133	53.1717	ADM|133	2486.5189
ADNP2|22850	688.1048	ADNP2|22850	384.6615
ADNP|23394	4122.3732	ADNP|23394	1082.6842
ADORA1|134	65.2918	ADORA1|134	576.393
ADORA2A|135	48.8711	ADORA2A|135	110.8328
ADORA2B|136	33.2323	ADORA2B|136	5.3925
ADORA3|140	181.8004	ADORA3|140	25.7639
ADO|84890	782.7192	ADO|84890	530.8568
ADPGK|83440	760.434	ADPGK|83440	568.604
ADPRHL1|113622	96.9602	ADPRHL1|113622	86.2792
ADPRHL2|54936	663.4738	ADPRHL2|54936	632.115
ADPRH|141	123.9371	ADPRH|141	710.6052
lowly_expressed	lowly_expressed	ADRA1A|148	131.8155
ADRA1B|147	12.12	ADRA1B|147	37.7472
lowly_expressed	lowly_expressed	ADRA1D|146	25.7639
ADRA2A|150	217.3786	ADRA2A|150	3144.997
ADRA2B|151	11.3381	ADRA2B|151	122.2289
ADRA2C|152	463.6888	ADRA2C|152	459.5566
lowly_expressed	lowly_expressed	ADRB1|153	236.0695
ADRB2|154	26.5859	ADRB2|154	1020.9706
lowly_expressed	lowly_expressed	ADRB3|155	20.3715
ADRBK1|156	1908.7088	ADRBK1|156	1795.686
ADRBK2|157	532.8902	ADRBK2|157	2878.9694
ADRM1|11047	3833.8383	ADRM1|11047	2422.4086
ADSL|158	770.2082	ADSL|158	903.5351
ADSSL1|122622	392.1415	ADSSL1|122622	408.0288
ADSS|159	3385.7883	ADSS|159	639.305
AEBP1|165	8637.6698	AEBP1|165	11162.3727
AEBP2|121536	708.8261	AEBP2|121536	480.5273
AEN|64782	472.2901	AEN|64782	411.6237
AES|166	8951.6176	AES|166	12726.1833
AFAP1L1|134265	103.6067	AFAP1L1|134265	1276.8125
AFAP1L2|84632	119.6364	AFAP1L2|84632	696.8244
AFAP1|60312	1695.9906	AFAP1|60312	890.9467
AFF1|4299	2375.5254	AFF1|4299	1869.3829
AFF2|2334	8.9923	AFF2|2334	43.1396
AFF3|3899	1278.8584	AFF3|3899	346.3152
AFF4|27125	4509.0411	AFF4|27125	1075.4943
AFG3L1|172	231.8444	AFG3L1|172	112.6423
AFG3L2|10939	1611.4397	AFG3L2|10939	895.728
AFMID|125061	213.4689	AFMID|125061	243.2594
AFTPH|54812	1979.4741	AFTPH|54812	741.1624
AG2|387763	146.6132	AG2|387763	2446.3751
AGAP11|119385	15.2478	AGAP11|119385	167.166
AGAP1|116987	489.4927	AGAP1|116987	180.3475
AGAP2|116986	30.2962	AGAP2|116986	61.7855
AGAP3|116988	1037.2398	AGAP3|116988	1583.583
AGAP4|119016	46.9162	AGAP4|119016	101.2582
AGAP5|729092	23.505	AGAP5|729092	13.1815
AGAP6|414189	24.631	AGAP6|414189	65.9077
AGAP7|653268	7.4284	AGAP7|653268	20.9706
AGAP8|728404	6.6465	AGAP8|728404	13.7807
AGA|175	1066.5624	AGA|175	499.1013
AGBL2|79841	12.12	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL3|340351	6.5908
AGBL4|84871	21.1123	AGBL4|84871	5.9916
AGBL5|60509	345.2292	AGBL5|60509	705.8298
AGER|177	16.0297	AGER|177	39.5446
AGFG1|3267	2083.4718	AGFG1|3267	1760.9347
AGFG2|3268	312.7749	AGFG2|3268	717.7951
AGGF1|55109	1119.3432	AGGF1|55109	592.5704
AGK|55750	570.0323	AGK|55750	375.6741
AGL|178	4177.8907	AGL|178	767.5255
AGMAT|79814	46.1343	lowly_expressed	lowly_expressed
AGPAT1|10554	1604.3671	AGPAT1|10554	2323.0557
AGPAT2|10555	1533.7699	AGPAT2|10555	22863.3913
AGPAT3|56894	2939.6931	AGPAT3|56894	2586.5788
AGPAT4|56895	57.8634	AGPAT4|56895	253.4452
AGPAT5|55326	1299.5797	AGPAT5|55326	290.5932
AGPAT6|137964	2242.596	AGPAT6|137964	1767.5255
AGPAT9|84803	40.6607	AGPAT9|84803	329.5386
AGPHD1|123688	17.5936	AGPHD1|123688	82.0851
AGPS|8540	1010.6539	AGPS|8540	1056.3212
AGR2|10551	26647.6395	lowly_expressed	lowly_expressed
AGR3|155465	575.5058	lowly_expressed	lowly_expressed
AGRN|375790	7232.9196	AGRN|375790	2425.4044
AGTPBP1|23287	387.0589	AGTPBP1|23287	399.6405
AGTR1|185	44.5704	AGTR1|185	1156.3811
AGTRAP|57085	1087.2837	AGTRAP|57085	841.2223
AGT|183	374.157	AGT|183	162.3727
AGXT2L2|85007	234.5225	AGXT2L2|85007	1216.1534
lowly_expressed	lowly_expressed	AGXT|189	22.169
AHCTF1|25909	2408.7577	AHCTF1|25909	796.2852
AHCYL1|10768	3497.2143	AHCYL1|10768	3883.1636
AHCYL2|23382	556.3484	AHCYL2|23382	479.9281
AHCY|191	2236.3405	AHCY|191	1823.8466
AHDC1|27245	509.4321	AHDC1|27245	497.3038
AHI1|54806	214.2508	AHI1|54806	143.7987
AHNAK2|113146	923.0769	AHNAK2|113146	1169.5626
AHNAK|79026	42190.9882	AHNAK|79026	81747.154
AHRR|57491	54.3446	AHRR|57491	12.5824
AHR|196	2388.8183	AHR|196	1103.0557
AHSA1|10598	2641.775	AHSA1|10598	1593.7687
AHSA2|130872	93.4415	AHSA2|130872	224.6854
AIDA|64853	1757.4665	AIDA|64853	2658.0348
AIF1L|83543	2347.3756	AIF1L|83543	4033.553
AIF1|199	199.003	AIF1|199	429.5986
AIFM1|9131	1284.7229	AIFM1|9131	1164.7693
AIFM2|84883	276.4148	AIFM2|84883	5913.7208
AIFM3|150209	42.4983	AIFM3|150209	8.3883
AIG1|51390	1047.4049	AIG1|51390	1844.8173
AIM1|202	1091.5844	AIM1|202	1083.8826
lowly_expressed	lowly_expressed	AIM2|9447	8.3883
AIMP1|9255	1033.3301	AIMP1|9255	872.9778
AIMP2|7965	462.8404	AIMP2|7965	357.4416
AIP|9049	560.649	AIP|9049	1829.2391
lowly_expressed	lowly_expressed	AJAP1|55966	22.169
AK1|203	439.4487	AK1|203	1434.991
AK2|204	1537.2886	AK2|204	2263.6309
AK3L1|205	295.9632	AK3L1|205	555.4224
AK3|50808	961.0009	AK3|50808	3119.8322
AK5|26289	252.1748	AK5|26289	13.7807
AK7|122481	18.7665	AK7|122481	14.3799
AKAP10|11216	425.7648	AKAP10|11216	315.7579
AKAP11|11215	1661.6167	AKAP11|11215	1110.2457
AKAP12|9590	530.9354	AKAP12|9590	5502.6962
AKAP13|11214	1792.9821	AKAP13|11214	1656.6806
AKAP1|8165	1251.8815	AKAP1|8165	2830.4374
AKAP2|11217	323.593	AKAP2|11217	2157.2319
AKAP3|10566	8.2103	AKAP3|10566	61.1144
AKAP5|9495	267.4225	AKAP5|9495	5.3925
AKAP6|9472	23.4581	AKAP6|9472	55.722
AKAP7|9465	78.9757	AKAP7|9465	286.9982
AKAP8L|26993	878.1155	AKAP8L|26993	757.9389
AKAP8|10270	528.1986	AKAP8|10270	359.4967
AKAP9|10142	2071.7427	AKAP9|10142	494.9071
AKD1|221264	90.3138	AKD1|221264	45.5362
AKIRIN1|79647	1193.2362	AKIRIN1|79647	1091.0725
AKIRIN2|55122	1029.4204	AKIRIN2|55122	1099.4608
AKNA|80709	260.7761	AKNA|80709	641.1025
AKR1A1|10327	1293.7152	AKR1A1|10327	1872.9778
AKR1B10|57016	17.9846	lowly_expressed	lowly_expressed
AKR1B1|231	374.5479	AKR1B1|231	1282.2049
AKR1C1|1645	171.6352	AKR1C1|1645	11403.8346
AKR1C2|1646	274.46	AKR1C2|1646	13176.1534
AKR1C3|8644	295.5723	AKR1C3|8644	5584.1821
AKR1E2|83592	35.5781	AKR1E2|83592	38.3463
AKR7A2|8574	1646.7598	AKR7A2|8574	1788.4961
AKR7A3|22977	916.8214	AKR7A3|22977	7.1899
AKR7L|246181	40.6607	AKR7L|246181	5.9916
AKT1S1|84335	1256.1822	AKT1S1|84335	1626.7226
AKT1|207	6787.9973	AKT1|207	4742.9599
AKT2|208	3003.03	AKT2|208	5254.6435
AKT3|10000	213.8598	AKT3|10000	802.8760000000001
AKTIP|64400	726.4041	AKTIP|64400	759.8562
ALAD|210	1058.3521	ALAD|210	2945.4763
ALAS1|211	1001.2706	ALAS1|211	1402.0371
ALB|213	347.5711	lowly_expressed	lowly_expressed
ALCAM|214	3807.6434	ALCAM|214	298.9814
ALDH16A1|126133	893.3633	ALDH16A1|126133	1121.0306
ALDH18A1|5832	2446.6817	ALDH18A1|5832	979.0294
ALDH1A1|216	255.3025	lowly_expressed	lowly_expressed
ALDH1A2|8854	22.2852	ALDH1A2|8854	796.8844
ALDH1A3|220	174.5988	ALDH1A3|220	350.3595
ALDH1B1|219	718.6003	ALDH1B1|219	661.4739
ALDH1L1|10840	54.3446	ALDH1L1|10840	5312.7621
ALDH1L2|160428	210.7321	ALDH1L2|160428	110.2457
ALDH2|217	2130.779	ALDH2|217	56255.8418
lowly_expressed	lowly_expressed	ALDH3A1|218	36.5488
ALDH3A2|224	779.9824	ALDH3A2|224	3587.178
ALDH3B1|221	105.1706	ALDH3B1|221	212.1031
ALDH3B2|222	11417.4567	lowly_expressed	lowly_expressed
ALDH4A1|8659	1466.5233	ALDH4A1|8659	3205.5123
ALDH5A1|7915	580.9794	ALDH5A1|7915	712.4026
ALDH6A1|4329	699.4116	ALDH6A1|4329	747.9688
ALDH7A1|501	2345.8117	ALDH7A1|501	1326.5428
lowly_expressed	lowly_expressed	ALDH8A1|64577	8.3883
ALDH9A1|223	3378.7509	ALDH9A1|223	5873.576999999999
ALDOA|226	48046.9162	ALDOA|226	25240.2636
lowly_expressed	lowly_expressed	ALDOB|229	6.5908
ALDOC|230	138.4029	ALDOC|230	8489.5147
ALG10B|144245	303.3917	ALG10B|144245	185.74
ALG10|84920	88.7499	ALG10|84920	59.317
ALG11|440138	32.0594	ALG11|440138	9.5866
ALG12|79087	750.2688	ALG12|79087	526.0635
ALG13|79868	375.7208	ALG13|79868	314.5596
ALG14|199857	163.4249	ALG14|199857	330.73699999999997
ALG1L|200810	11.7682	lowly_expressed	lowly_expressed
ALG1|56052	431.5238	ALG1|56052	543.3313
ALG2|85365	756.1333	ALG2|85365	619.5327
ALG3|10195	926.2047	ALG3|10195	635.71
ALG5|29880	654.0905	ALG5|29880	832.834
ALG6|29929	306.5194	ALG6|29929	186.9383
ALG8|79053	1162.7407	ALG8|79053	787.8969
ALG9|79796	605.6104	ALG9|79796	759.1372
ALKBH1|8846	278.7606	ALKBH1|8846	177.9509
ALKBH2|121642	184.9282	ALKBH2|121642	219.293
ALKBH3|221120	184.9282	ALKBH3|221120	378.6699
ALKBH4|54784	316.149	ALKBH4|54784	246.5428
ALKBH5|54890	1979.4741	ALKBH5|54890	2527.6932
ALKBH6|84964	118.0725	ALKBH6|84964	114.4398
ALKBH7|84266	680.2854	ALKBH7|84266	1310.9646
ALKBH8|91801	216.2056	ALKBH8|91801	150.9886
lowly_expressed	lowly_expressed	ALK|238	9.5866
ALMS1P|200420	7.0374	lowly_expressed	lowly_expressed
ALMS1|7840	815.5606	ALMS1|7840	280.4074
ALOX12P2|245	16.4207	lowly_expressed	lowly_expressed
ALOX15B|247	486.7559	lowly_expressed	lowly_expressed
ALOX15|246	10.1652	lowly_expressed	lowly_expressed
ALOX5AP|241	159.9062	ALOX5AP|241	207.9089
ALOX5|240	148.1771	ALOX5|240	91.0725
ALOXE3|59344	8.2103	lowly_expressed	lowly_expressed
