gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
ACAD9|28976	579.6103	ACAD9|28976	846.0423
lowly_expressed	lowly_expressed	ACADL|33	140.142
ACADM|34	1836.3389	ACADM|34	1611.1747
ACADSB|36	1256.7286	ACADSB|36	2633.3868
ACADS|35	65.9719	ACADS|35	639.0352
ACADVL|37	1525.3285	ACADVL|37	4953.4997
ACAN|176	38.7857	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACAP1|9744	72.0556
ACAP2|23527	2466.6969	ACAP2|23527	1957.7132
ACAP3|116983	162.7585	ACAP3|116983	319.4229
ACAT1|38	1679.7463	ACAT1|38	1485.3828
ACAT2|39	317.662	ACAT2|39	355.9759
ACBD3|64746	5278.4776	ACBD3|64746	1642.6227
ACBD4|79777	28.9986	lowly_expressed	lowly_expressed
ACBD5|91452	1604.3498	ACBD5|91452	747.1185
ACBD6|84320	399.0938	ACBD6|84320	280.2839
ACBD7|414149	232.7141	ACBD7|414149	36.3331
ACCN1|40	6.1622	lowly_expressed	lowly_expressed
ACCN2|41	38.0607	ACCN2|41	91.5961
lowly_expressed	lowly_expressed	ACCN3|9311	14.35
ACCS|84680	51.4726	ACCS|84680	272.9563
ACD|65057	242.1386	ACD|65057	358.1406
lowly_expressed	lowly_expressed	ACE2|59272	16.182
ACER2|340485	132.6688	ACER2|340485	255.553
ACER3|55331	672.0435	ACER3|55331	565.7583
ACE|1636	387.8568	ACE|1636	689.7183
lowly_expressed	lowly_expressed	ACHE|43	30.532
ACIN1|22985	2617.1273	ACIN1|22985	3571.9411
ACLY|47	2835.7046	ACLY|47	2734.1424
ACN9|57001	293.6112	ACN9|57001	144.4165
ACO1|48	915.9946	ACO1|48	2068.8497
ACO2|50	828.85	ACO2|50	2112.0037
ACOT11|26027	25.7363	ACOT11|26027	34.5012
ACOT13|55856	1187.4653	ACOT13|55856	510.932
ACOT1|641371	384.957	ACOT1|641371	679.0321
ACOT2|10965	204.4404	ACOT2|10965	387.4513
ACOT4|122970	274.0372	ACOT4|122970	91.2907
ACOT7|11332	198.6407	ACOT7|11332	186.5506
ACOT8|10005	182.7929	ACOT8|10005	175.1836
ACOT9|23597	317.1726	ACOT9|23597	540.4168
ACOX1|51	3259.0847	ACOX1|51	1947.1979
ACOX2|8309	4485.3647	ACOX2|8309	288.8329
ACOX3|8310	470.1405	ACOX3|8310	499.8092
ACP1|52	3076.7558	ACP1|52	1123.273
ACP2|53	2154.2365	ACP2|53	680.8641
ACP5|54	991.7535	ACP5|54	553.2402
ACP6|51205	266.425	ACP6|51205	207.0071
ACPL2|92370	293.2488	ACPL2|92370	468.0559
ACPP|55	63.797	ACPP|55	38.7757
ACRBP|84519	76.4839	ACRBP|84519	20.7618
ACRC|93953	6.8872	ACRC|93953	25.9522
lowly_expressed	lowly_expressed	ACR|49	7.0224
lowly_expressed	lowly_expressed	ACSBG1|23205	17.0979
lowly_expressed	lowly_expressed	ACSBG2|81616	14.0447
ACSF2|80221	126.1441	ACSF2|80221	811.8464
ACSF3|197322	123.2442	ACSF3|197322	304.4042
ACSL1|2180	1495.9674	ACSL1|2180	8645.4469
ACSL3|2181	4319.71	ACSL3|2181	3289.5199
ACSL4|2182	1427.4581	ACSL4|2182	2017.2506
ACSL5|51703	108.0199	ACSL5|51703	887.8712
ACSL6|23305	9.4246	ACSL6|23305	7.0224
ACSM1|116285	6.8872	ACSM1|116285	798.4123
ACSM3|6296	37.0023	ACSM3|6296	178.8077
ACSM5|54988	5.4372	ACSM5|54988	195.0996
ACSS1|84532	124.3317	ACSS1|84532	601.7861
ACSS2|55902	683.2805	ACSS2|55902	2197.3895
ACSS3|79611	1225.5551	ACSS3|79611	693.3822
ACTA1|58	216.0399	ACTA1|58	7.633
ACTA2|59	11078.126	ACTA2|59	32781.4426
lowly_expressed	lowly_expressed	ACTBL2|345651	12.5181
ACTB|60	167950.7023	ACTB|60	80691.8556
ACTG1|71	77522.4286	ACTG1|71	52838.7146
ACTG2|72	318.6226	ACTG2|72	7130.7534
ACTL6A|86	1769.2796	ACTL6A|86	865.8881
ACTN1|87	4144.9932	ACTN1|87	9623.9982
ACTN2|88	192.841	lowly_expressed	lowly_expressed
ACTN4|81	5716.4477	ACTN4|81	10829.9733
ACTR10|55860	2590.6661	ACTR10|55860	1110.1443
ACTR1A|10121	1754.4178	ACTR1A|10121	2119.2275
ACTR1B|10120	478.1151	ACTR1B|10120	1288.4513
ACTR2|10097	17353.5116	ACTR2|10097	4717.1972
ACTR3B|57180	138.4685	ACTR3B|57180	134.0356
ACTR3C|653857	75.034	ACTR3C|653857	23.2043
ACTR3|10096	8964.9298	ACTR3|10096	2929.8527
ACTR5|79913	165.2923	ACTR5|79913	233.57
ACTR6|64431	2013.5931	ACTR6|64431	628.0437
ACTR8|93973	511.101	ACTR8|93973	490.6496
ACVR1B|91	1111.3729	ACVR1B|91	1078.0856
ACVR1C|130399	10.512	ACVR1C|130399	2517.0598
ACVR1|90	1181.3321	ACVR1|90	1422.7922
ACVR2A|92	266.7875	ACVR2A|92	568.5062
ACVR2B|93	532.85	ACVR2B|93	389.8939
ACVRL1|94	225.4644	ACVRL1|94	883.902
ACY1|95	220.7522	ACY1|95	413.7089
lowly_expressed	lowly_expressed	ACY3|91703	10.3809
ACYP1|97	55.4599	ACYP1|97	58.6215
ACYP2|98	183.4164	ACYP2|98	123.3494
ADAL|161823	549.1618	ADAL|161823	210.0603
ADAM10|102	2668.5999	ADAM10|102	2308.5261
lowly_expressed	lowly_expressed	ADAM11|4185	21.0671
ADAM12|8038	8008.3371	ADAM12|8038	361.8044
ADAM15|8751	1870.7821	ADAM15|8751	2383.0242
ADAM17|6868	711.1917	ADAM17|6868	876.8796
ADAM19|8728	952.6053	ADAM19|8728	133.1196
lowly_expressed	lowly_expressed	ADAM21|8747	7.3277
ADAM22|53616	16.6742	ADAM22|53616	77.5513
ADAM23|8745	15.2243	ADAM23|8745	28.0895
ADAM28|10863	46.3978	ADAM28|10863	88.8482
ADAM32|203102	14.1368	ADAM32|203102	14.6554
ADAM33|80332	18.1242	ADAM33|80332	730.5213
ADAM6|8755	473.3303	ADAM6|8755	44447.233
ADAM8|101	236.7014	ADAM8|101	84.2684
ADAM9|8754	2020.8428	ADAM9|8754	1916.4949
ADAMDEC1|27299	55.0974	ADAMDEC1|27299	12.8234
ADAMTS10|81794	14.8618	ADAMTS10|81794	79.6886
ADAMTS12|81792	595.9221	ADAMTS12|81792	192.0464
ADAMTS13|11093	12.6869	ADAMTS13|11093	72.0556
ADAMTS14|140766	149.343	ADAMTS14|140766	6.1064
lowly_expressed	lowly_expressed	ADAMTS15|170689	195.0996
ADAMTS16|170690	133.7562	ADAMTS16|170690	148.0803
ADAMTS17|170691	9.787	ADAMTS17|170691	43.0501
ADAMTS18|170692	6.5247	ADAMTS18|170692	70.2236
ADAMTS1|9510	906.2075	ADAMTS1|9510	5404.4729
ADAMTS2|9509	408.8808	ADAMTS2|9509	313.8692
ADAMTS3|9508	24.6488	ADAMTS3|9508	102.8929
ADAMTS4|9507	455.6411	ADAMTS4|9507	320.8915
ADAMTS5|11096	362.483	ADAMTS5|11096	2832.4555
ADAMTS6|11174	202.2655	ADAMTS6|11174	34.1959
ADAMTS7|11173	80.4712	ADAMTS7|11173	39.6916
lowly_expressed	lowly_expressed	ADAMTS8|11095	42.4395
ADAMTS9|56999	131.9438	ADAMTS9|56999	646.9735
ADAMTSL1|92949	35.8858	ADAMTSL1|92949	337.6841
ADAMTSL2|9719	14.1368	ADAMTSL2|9719	18.9299
ADAMTSL3|57188	9.787	ADAMTSL3|57188	250.9732
ADAMTSL4|54507	40.5981	ADAMTSL4|54507	905.2744
ADAMTSL5|339366	134.4812	ADAMTSL5|339366	33.5852
ADAP1|11033	138.5301	ADAP1|11033	78.4215
ADAP2|55803	230.9017	ADAP2|55803	201.5113
ADARB1|104	245.0385	ADARB1|104	753.5303
ADAR|103	9633.7109	ADAR|103	8311.4266
ADAT1|23536	293.6112	ADAT1|23536	319.9756
ADAT2|134637	110.5573	ADAT2|134637	184.7187
ADAT3|113179	11.9619	ADAT3|113179	12.8234
ADA|100	76.8464	ADA|100	75.1088
ADCK1|57143	131.5813	ADCK1|57143	121.5174
ADCK2|90956	304.1232	ADCK2|90956	576.1392
ADCK4|79934	266.0625	ADCK4|79934	386.2301
ADCK5|203054	10.1495	ADCK5|203054	47.3246
ADCY1|107	1152.3335	ADCY1|107	394.4737
ADCY2|108	17.0367	ADCY2|108	180.4442
ADCY3|109	245.2886	ADCY3|109	1416.0385
ADCY4|196883	28.9986	ADCY4|196883	663.4608
ADCY5|111	6.1622	ADCY5|111	400.8854
ADCY6|112	514.0009	ADCY6|112	2976.872
ADCY7|113	394.744	ADCY7|113	361.4991
ADCY9|115	499.5016	ADCY9|115	933.9745
lowly_expressed	lowly_expressed	ADCYAP1R1|117	34.8065
lowly_expressed	lowly_expressed	ADCYAP1|116	8.8543
ADC|113451	50.0227	ADC|113451	145.3324
ADD1|118	4109.4699	ADD1|118	7256.5453
ADD2|119	14.4993	ADD2|119	75.7194
ADD3|120	1125.5097	ADD3|120	3739.5619
lowly_expressed	lowly_expressed	ADH1A|124	263.3753
lowly_expressed	lowly_expressed	ADH1B|125	30850.7748
lowly_expressed	lowly_expressed	ADH1C|126	337.3788
lowly_expressed	lowly_expressed	ADH4|127	13.7394
ADH5|128	2693.9737	ADH5|128	3605.8316
ADHFE1|137872	54.01	ADHFE1|137872	414.3195
ADI1|55256	1526.0535	ADI1|55256	1480.803
lowly_expressed	lowly_expressed	ADIPOQ|9370	33722.9219
ADIPOR1|51094	8313.9103	ADIPOR1|51094	2081.6732
ADIPOR2|79602	9072.2247	ADIPOR2|79602	2577.5132
ADK|132	648.1196	ADK|132	282.4212
ADM2|79924	67.7843	ADM2|79924	61.98
ADM|133	430.2673	ADM|133	399.3588
ADNP2|22850	534.6624	ADNP2|22850	1012.1365
ADNP|23394	5843.5886	ADNP|23394	3328.2955
ADORA1|134	26.4613	ADORA1|134	165.4836
ADORA2A|135	29.3611	ADORA2A|135	63.8119
ADORA2B|136	38.7857	ADORA2B|136	59.8428
ADORA3|140	393.2941	ADORA3|140	64.7279
ADO|84890	1114.6353	ADO|84890	585.6042
ADPGK|83440	908.6507	ADPGK|83440	825.2408
ADPRHL1|113622	158.4051	ADPRHL1|113622	54.347
ADPRHL2|54936	272.2247	ADPRHL2|54936	516.9071
ADPRH|141	139.9184	ADPRH|141	361.8044
lowly_expressed	lowly_expressed	ADRA1A|148	39.3863
lowly_expressed	lowly_expressed	ADRA1B|147	13.7394
lowly_expressed	lowly_expressed	ADRA1D|146	8.2436
ADRA2A|150	194.6534	ADRA2A|150	982.2151
lowly_expressed	lowly_expressed	ADRA2B|151	18.0139
ADRA2C|152	10.512	ADRA2C|152	39.6916
lowly_expressed	lowly_expressed	ADRB1|153	47.3246
ADRB2|154	11.9619	ADRB2|154	428.3642
lowly_expressed	lowly_expressed	ADRB3|155	5.8011
ADRBK1|156	601.7218	ADRBK1|156	1249.6756
ADRBK2|157	364.6579	ADRBK2|157	1707.0453
ADRM1|11047	591.5723	ADRM1|11047	786.5048
ADSL|158	787.6756	ADSL|158	690.329
ADSSL1|122622	31.536	ADSSL1|122622	176.1698
ADSS|159	3273.2216	ADSS|159	1199.2978
AEBP1|165	6423.5614	AEBP1|165	10012.0601
AEBP2|121536	1414.0462	AEBP2|121536	1047.8589
AEN|64782	292.1613	AEN|64782	430.8068
AES|166	4821.3865	AES|166	4576.7499
AFAP1L1|134265	153.3303	AFAP1L1|134265	481.1846
AFAP1L2|84632	277.662	AFAP1L2|84632	1282.9555
AFAP1|60312	914.9071	AFAP1|60312	1447.5139
AFF1|4299	2999.5469	AFF1|4299	3542.0197
AFF2|2334	30.0861	AFF2|2334	99.5344
AFF3|3899	1473.4934	AFF3|3899	1968.094
AFF4|27125	6863.6158	AFF4|27125	4294.0234
AFG3L1|172	209.5152	AFG3L1|172	372.4906
AFG3L2|10939	764.3969	AFG3L2|10939	1228.7764
AFMID|125061	383.1445	AFMID|125061	591.0999
lowly_expressed	lowly_expressed	AFP|174	152.0495
AFTPH|54812	3778.5229	AFTPH|54812	2019.0825
AG2|387763	183.4164	AG2|387763	364.247
AGAP11|119385	5.0748	AGAP11|119385	271.1366
AGAP1|116987	315.3602	AGAP1|116987	589.5733
AGAP2|116986	84.2012	AGAP2|116986	61.1404
AGAP3|116988	324.0598	AGAP3|116988	1373.9409
AGAP4|119016	69.9592	AGAP4|119016	246.0881
AGAP5|729092	5.7997	AGAP5|729092	88.2253
AGAP6|414189	24.2864	AGAP6|414189	139.8367
AGAP7|653268	15.5868	AGAP7|653268	40.3023
lowly_expressed	lowly_expressed	AGAP8|728404	35.7225
AGA|175	558.5863	AGA|175	367.9108
AGBL2|79841	18.1242	AGBL2|79841	20.7618
