gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
C15orf27|123591	5.0748	C15orf27|123591	10.6862
lowly_expressed	lowly_expressed	C15orf28|80035	14.9607
C15orf29|79768	540.8246	C15orf29|79768	485.7644
C15orf33|196951	52.7087	C15orf33|196951	43.7799
C15orf34|80072	16.3117	C15orf34|80072	24.1203
C15orf37|283687	34.2365	C15orf37|283687	29.1611
C15orf38|348110	236.7014	C15orf38|348110	403.0349
C15orf39|56905	355.2333	C15orf39|56905	782.5357
C15orf40|123207	118.8944	C15orf40|123207	214.6401
C15orf41|84529	199.7281	C15orf41|84529	154.1867
C15orf42|90381	109.1074	C15orf42|90381	53.2356
C15orf44|81556	1366.1985	C15orf44|81556	906.801
C15orf48|84419	637.2451	C15orf48|84419	223.7997
lowly_expressed	lowly_expressed	C15orf51|196968	5.1904
C15orf52|388115	59.8097	C15orf52|388115	533.3944
C15orf54|400360	11.237	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C15orf56|644809	11.9075
C15orf57|90416	1024.1051	C15orf57|90416	448.8299
C15orf58|390637	30.0861	C15orf58|390637	35.1118
C15orf59|388135	6.8872	C15orf59|388135	10.9915
C15orf61|145853	173.9918	C15orf61|145853	82.7418
C15orf62|643338	12.3244	C15orf62|643338	28.0895
C15orf63|25764	340.0091	C15orf63|25764	379.2779
C16orf13|84326	387.4943	C16orf13|84326	253.4158
lowly_expressed	lowly_expressed	C16orf3|750	5.8011
C16orf42|115939	159.3475	C16orf42|115939	374.35
C16orf45|89927	999.7281	C16orf45|89927	501.0305
C16orf46|123775	52.1976	C16orf46|123775	79.9939
C16orf48|84080	20.299	C16orf48|84080	224.105
C16orf52|730094	559.6738	C16orf52|730094	476.9102
C16orf53|79447	497.2469	C16orf53|79447	613.776
C16orf54|283897	9.4246	C16orf54|283897	110.8312
C16orf55|124045	55.0974	C16orf55|124045	91.2907
C16orf57|79650	814.8618	C16orf57|79650	792.9166
C16orf58|64755	1945.8088	C16orf58|64755	1623.9982
C16orf59|80178	21.3865	C16orf59|80178	6.1064
C16orf5|29965	237.4264	C16orf5|29965	774.9027
C16orf61|56942	685.9266	C16orf61|56942	163.041
C16orf62|57020	1811.3276	C16orf62|57020	1207.2361
C16orf63|123811	2119.4382	C16orf63|123811	860.3923
C16orf68|79091	75.7589	C16orf68|79091	171.2846
C16orf70|80262	1001.5261	C16orf70|80262	472.88599999999997
C16orf71|146562	8.3371	C16orf71|146562	9.4649
C16orf72|29035	3184.7757	C16orf72|29035	1032.2876
C16orf74|404550	217.4898	C16orf74|404550	43.0501
C16orf75|116028	1242.9542	C16orf75|116028	29.6161
lowly_expressed	lowly_expressed	C16orf79|283870	7.3887
C16orf7|9605	82.10600000000001	C16orf7|9605	196.6293
C16orf80|29105	710.1042	C16orf80|29105	593.8478
lowly_expressed	lowly_expressed	C16orf86|388284	39.080999999999996
C16orf87|388272	298.3235	C16orf87|388272	89.7641
C16orf88|400506	281.2868	C16orf88|400506	348.981
C16orf89|146556	5.0748	C16orf89|146556	358.4459
C16orf91|283951	148.9805	C16orf91|283951	162.7357
C16orf93|90835	5.0748	C16orf93|90835	24.1203
C17orf100|388327	46.0353	C17orf100|388327	58.3162
C17orf101|79701	98.2329	C17orf101|79701	268.3765
C17orf103|256302	65.2469	C17orf103|256302	766.9644
lowly_expressed	lowly_expressed	C17orf104|284071	12.5181
C17orf106|100134934	80.957	C17orf106|100134934	184.4134
C17orf107|100130311	21.0276	C17orf107|100130311	194.2264
C17orf108|201229	109.1074	C17orf108|201229	321.3678
C17orf28|283987	3654.1912	C17orf28|283987	1027.0972
C17orf37|84299	915.2696	C17orf37|84299	359.6672
C17orf39|79018	300.8609	C17orf39|79018	446.3781
C17orf42|79736	194.6534	C17orf42|79736	137.3941
C17orf44|284029	26.4613	C17orf44|284029	60.7587
C17orf48|56985	156.9551	C17orf48|56985	211.2816
C17orf49|124944	629.4481	C17orf49|124944	599.771
C17orf51|339263	89.5333	C17orf51|339263	286.3904
C17orf53|78995	90.9832	C17orf53|78995	65.3385
lowly_expressed	lowly_expressed	C17orf55|284185	7.3277
C17orf56|146705	104.7757	C17orf56|146705	247.0346
C17orf57|124989	61.9846	C17orf57|124989	47.0193
C17orf58|284018	3909.0168	C17orf58|284018	536.4476
C17orf59|54785	48.9352	C17orf59|54785	122.1281
C17orf60|284021	6.1622	lowly_expressed	lowly_expressed
C17orf61|254863	536.1015	C17orf61|254863	348.0223
C17orf62|79415	400.1812	C17orf62|79415	731.8525
C17orf63|55731	1011.3276	C17orf63|55731	563.0105
C17orf65|339201	139.9184	C17orf65|339201	139.571
C17orf67|339210	19.2116	C17orf67|339210	37.2491
C17orf68|80169	470.5029	C17orf68|80169	1067.7048
C17orf69|147081	34.7984	C17orf69|147081	82.4365
C17orf70|80233	259.5378	C17orf70|80233	541.3327
C17orf71|55181	2046.9415	C17orf71|55181	504.0837
C17orf72|92340	19.3892	C17orf72|92340	42.2288
C17orf75|64149	324.4223	C17orf75|64149	182.2762
C17orf76|388341	41.3231	C17orf76|388341	54.9576
C17orf79|55352	379.5197	C17orf79|55352	606.6712
C17orf80|55028	931.2188	C17orf80|55028	706.5110000000001
C17orf81|23587	359.9456	C17orf81|23587	599.6489
C17orf85|55421	409.2433	C17orf85|55421	845.4316
C17orf86|654434	40.2356	C17orf86|654434	80.2992
C17orf87|388325	10.8745	C17orf87|388325	14.9973
C17orf89|284184	224.0145	C17orf89|284184	152.9654
C17orf90|339229	88.8083	C17orf90|339229	145.3324
C17orf91|84981	220.7522	C17orf91|84981	438.1345
C17orf93|360205	36.6108	lowly_expressed	lowly_expressed
C17orf95|124512	943.9058	C17orf95|124512	324.5554
C17orf96|100170841	22.4739	C17orf96|100170841	87.9322
C17orf97|400566	67.4218	C17orf97|400566	89.4588
C18orf10|25941	1556.1396	C18orf10|25941	854.8966
C18orf18|147525	22.4739	C18orf18|147525	58.9268
C18orf19|125228	528.1377	C18orf19|125228	279.0627
C18orf1|753	1906.6606	C18orf1|753	1250.2862
C18orf21|83608	276.2121	C18orf21|83608	188.3826
C18orf22|79863	121.0693	C18orf22|79863	297.6872
C18orf25|147339	898.5954	C18orf25|147339	697.046
C18orf26|284254	10.512	lowly_expressed	lowly_expressed
C18orf32|497661	3111.6629	C18orf32|497661	853.5837
lowly_expressed	lowly_expressed	C18orf34|374864	96.4812
C18orf45|85019	1104.1232	C18orf45|85019	352.9502
C18orf54|162681	230.1767	C18orf54|162681	149.9122
C18orf55|29090	229.0893	C18orf55|29090	306.5415
C18orf56|494514	11.9619	lowly_expressed	lowly_expressed
C18orf8|29919	414.3181	C18orf8|29919	348.7795
C19orf10|56005	247.9384	C19orf10|56005	650.332
C19orf12|83636	566.9234	C19orf12|83636	733.6845
lowly_expressed	lowly_expressed	C19orf18|147685	13.4341
C19orf20|91978	5.4372	C19orf20|91978	6.4117
C19orf21|126353	361.0331	C19orf21|126353	104.4195
C19orf22|91300	1213.5931	C19orf22|91300	687.2758
C19orf23|148046	5.0748	C19orf23|148046	13.7394
C19orf24|55009	206.2528	C19orf24|55009	194.7943
C19orf25|148223	64.52199999999999	C19orf25|148223	207.3124
C19orf28|126321	274.7621	C19orf28|126321	386.5354
C19orf29|58509	73.2216	C19orf29|58509	287.91700000000003
C19orf2|8725	2567.4671	C19orf2|8725	1422.4868
C19orf33|64073	108.4005	C19orf33|64073	63.7173
lowly_expressed	lowly_expressed	C19orf35|374872	5.8011
lowly_expressed	lowly_expressed	C19orf36|113177	14.35
lowly_expressed	lowly_expressed	C19orf38|255809	6.1064
C19orf39|126074	57.6348	C19orf39|126074	66.2545
C19orf40|91442	51.1101	C19orf40|91442	24.1203
C19orf42|79086	2374.6262	C19orf42|79086	1103.1219
C19orf43|79002	1398.4594	C19orf43|79002	1093.9623
C19orf44|84167	135.7245	C19orf44|84167	211.1961
C19orf46|163183	164.5673	C19orf46|163183	115.7164
C19orf47|126526	254.1006	C19orf47|126526	234.7912
C19orf48|84798	364.2954	C19orf48|84798	382.2609
C19orf50|79036	623.8333	C19orf50|79036	1050.9121
C19orf51|352909	163.8423	C19orf51|352909	9.1596
C19orf52|90580	248.6633	C19orf52|90580	148.0803
C19orf53|28974	992.1160000000001	C19orf53|28974	827.7231
C19orf54|284325	371.1826	C19orf54|284325	192.3517
C19orf55|148137	127.9565	C19orf55|148137	116.32700000000001
C19orf56|51398	2441.6855	C19orf56|51398	1448.7383
C19orf57|79173	18.1242	C19orf57|79173	51.2938
C19orf59|199675	32.986	lowly_expressed	lowly_expressed
C19orf60|55049	68.1468	C19orf60|55049	110.8312
C19orf61|56006	474.8527	C19orf61|56006	361.4991
C19orf62|29086	828.6362	C19orf62|29086	808.1826
C19orf63|284361	2620.3353	C19orf63|284361	1287.4865
C19orf66|55337	230.5174	C19orf66|55337	490.0756
C19orf6|91304	520.5256	C19orf6|91304	969.3916
C19orf70|125988	139.9184	C19orf70|125988	345.9278
lowly_expressed	lowly_expressed	C19orf71|100128569	5.4958
C19orf73|55150	7.2497	C19orf73|55150	12.5181
lowly_expressed	lowly_expressed	C19orf76|199800	59.2321
lowly_expressed	lowly_expressed	C19orf77|284422	7.9383
C1D|10438	543.7245	C1D|10438	212.8082
C1GALT1C1|29071	1034.5265	C1GALT1C1|29071	457.9803
C1GALT1|56913	497.3267	C1GALT1|56913	298.2978
C1QA|712	342.184	C1QA|712	1033.5089
C1QBP|708	1561.1454	C1QBP|708	916.5957
C1QB|713	648.4821	C1QB|713	1220.9755
C1QC|714	592.6597	C1QC|714	1088.1612
lowly_expressed	lowly_expressed	C1QL1|10882	15.265999999999998
lowly_expressed	lowly_expressed	C1QL2|165257	35.1118
C1QL3|389941	27.1862	C1QL3|389941	34.1959
lowly_expressed	lowly_expressed	C1QL4|338761	5.4958
C1QTNF1|114897	222.9271	C1QTNF1|114897	995.0385
C1QTNF2|114898	12.6869	C1QTNF2|114898	49.7672
C1QTNF3|114899	384.5945	C1QTNF3|114899	188.9932
C1QTNF6|114904	869.9592	C1QTNF6|114904	167.3155
C1QTNF7|114905	47.4853	C1QTNF7|114905	233.57
lowly_expressed	lowly_expressed	C1QTNF9B|387911	24.7767
lowly_expressed	lowly_expressed	C1QTNF9|338872	47.4376
C1RL|51279	796.3063	C1RL|51279	1383.7814
C1R|715	1445.2198	C1R|715	9089.9931
C1S|716	3512.4604	C1S|716	13151.6831
lowly_expressed	lowly_expressed	C1orf101|257044	18.0139
C1orf103|55791	947.8931	C1orf103|55791	453.7058
C1orf104|284618	42.9869	C1orf104|284618	53.5623
C1orf106|55765	400.5437	C1orf106|55765	178.0017
C1orf107|27042	1240.4169	C1orf107|27042	724.8302
C1orf109|54955	394.744	C1orf109|54955	347.7597
C1orf112|55732	320.1885	C1orf112|55732	137.7116
C1orf113|79729	33.5732	C1orf113|79729	171.1472
C1orf114|57821	22.1115	C1orf114|57821	9.1596
C1orf115|79762	362.483	C1orf115|79762	2801.6182
C1orf116|79098	12.6869	C1orf116|79098	1010.3046
C1orf122|127687	336.1812	C1orf122|127687	175.8644
C1orf123|54987	442.9542	C1orf123|54987	690.9396
C1orf124|83932	287.449	C1orf124|83932	307.4574
C1orf126|200197	12.8935	C1orf126|200197	80.6351
C1orf128|57095	611.8713	C1orf128|57095	980.0779
C1orf130|400746	8.3371	C1orf130|400746	375.2385
C1orf131|128061	280.1994	C1orf131|128061	193.2677
C1orf133|574036	32.986	C1orf133|574036	46.1034
C1orf135|79000	113.0947	C1orf135|79000	13.4341
C1orf144|26099	1723.6067	C1orf144|26099	3123.7309999999998
C1orf150|148823	6.5247	C1orf150|148823	9.7702
C1orf151|440574	1390.4848	C1orf151|440574	667.1246
lowly_expressed	lowly_expressed	C1orf152|767846	13.1288
C1orf156|92342	341.0965	C1orf156|92342	205.7858
C1orf159|54991	50.7476	C1orf159|54991	87.3216
lowly_expressed	lowly_expressed	C1orf161|126868	6.4117
C1orf162|128346	314.2728	C1orf162|128346	120.6015
C1orf163|65260	164.9298	C1orf163|65260	271.4297
C1orf168|199920	19.2116	C1orf168|199920	53.431000000000004
C1orf170|84808	14.1368	C1orf170|84808	9.7702
C1orf172|126695	309.198	C1orf172|126695	274.1775
lowly_expressed	lowly_expressed	C1orf173|127254	31.1427
C1orf174|339448	206.6153	C1orf174|339448	371.88
lowly_expressed	lowly_expressed	C1orf175|374977	72.0556
C1orf182|128229	12.3244	lowly_expressed	lowly_expressed
C1orf183|55924	11.237	C1orf183|55924	104.7248
C1orf186|440712	8.6996	C1orf186|440712	9.4649
C1orf190|541468	6.4776	C1orf190|541468	65.9308
C1orf192|257177	26.4613	C1orf192|257177	38.4703
C1orf198|84886	2197.0095	C1orf198|84886	2053.889
C1orf201|90529	199.3657	C1orf201|90529	224.105
C1orf203|84852	45.3104	C1orf203|84852	88.2559
C1orf204|284677	9.3013	C1orf204|284677	62.9937
C1orf210|149466	147.8931	C1orf210|149466	152.6601
C1orf212|113444	401.2687	C1orf212|113444	528.5093
C1orf213|148898	18.2909	C1orf213|148898	49.2695
C1orf216|127703	246.4884	C1orf216|127703	353.5608
C1orf21|81563	394.744	C1orf21|81563	3359.7435
C1orf220|400798	22.1115	C1orf220|400798	5.1904
C1orf226|400793	135.2062	C1orf226|400793	996.2598
lowly_expressed	lowly_expressed	C1orf228|339541	9.4649
C1orf25|81627	1607.6121	C1orf25|81627	616.7468
C1orf26|54823	240.3262	C1orf26|54823	196.3209
C1orf27|54953	1710.9198	C1orf27|54953	784.9782
C1orf31|388753	524.8754	C1orf31|388753	112.6632
C1orf35|79169	130.1314	C1orf35|79169	135.2569
C1orf38|9473	130.1314	C1orf38|9473	265.6286
C1orf43|25912	8693.0675	C1orf43|25912	3172.5822
C1orf50|79078	195.7408	C1orf50|79078	134.9515
C1orf51|148523	169.642	C1orf51|148523	50.0725
C1orf52|148423	375.1699	C1orf52|148423	431.7228
C1orf53|388722	112.3697	C1orf53|388722	7.0224
C1orf54|79630	122.1568	C1orf54|79630	98.3131
C1orf55|163859	1505.3919	C1orf55|163859	969.0863
C1orf56|54964	303.507	C1orf56|54964	106.0224
C1orf57|84284	527.4128	C1orf57|84284	380.42900000000003
C1orf58|148362	1509.6511	C1orf58|148362	450.9121
C1orf59|113802	190.6661	C1orf59|113802	175.8644
lowly_expressed	lowly_expressed	C1orf61|10485	11.6022
C1orf63|57035	475.5777	C1orf63|57035	252.1945
C1orf64|149563	84.821	C1orf64|149563	244.8668
C1orf66|51093	237.4264	C1orf66|51093	550.187
C1orf69|200205	93.8831	C1orf69|200205	283.0318
lowly_expressed	lowly_expressed	C1orf70|339453	9.1596
C1orf74|148304	154.0553	C1orf74|148304	108.9993
C1orf77|26097	1940.3715	C1orf77|26097	1594.6874
C1orf83|127428	195.3783	C1orf83|127428	204.8699
C1orf84|149469	29.9048	C1orf84|149469	21.2625
C1orf85|112770	805.4372	C1orf85|112770	701.3205
C1orf86|199990	79.3512	C1orf86|199990	154.4035
C1orf88|128344	192.11599999999999	C1orf88|128344	185.024
C1orf89|79363	6.5247	C1orf89|79363	35.4171
C1orf91|56063	84.821	C1orf91|56063	142.4807
C1orf93|127281	494.7422	C1orf93|127281	486.1705
lowly_expressed	lowly_expressed	C1orf95|375057	83.3524
C1orf96|126731	497.3267	C1orf96|126731	424.0898
C1orf97|84791	350.1586	C1orf97|84791	83.6577
C1orf9|51430	5334.6624	C1orf9|51430	1650.8663
C20orf103|24141	259.9003	C20orf103|24141	30.531999999999996
C20orf108|116151	3124.2411	C20orf108|116151	4807.5719
C20orf111|51526	914.5446	C20orf111|51526	884.818
C20orf112|140688	956.2302	C20orf112|140688	858.8657
C20orf114|92747	181.604	C20orf114|92747	44.2714
C20orf117|140710	307.0231	C20orf117|140710	494.6187
C20orf118|140711	10.7259	C20orf118|140711	21.2808
C20orf11|54994	2210.7839	C20orf11|54994	1947.9429
C20orf12|55184	31.1735	C20orf12|55184	139.8367
C20orf132|140699	14.8618	C20orf132|140699	46.717
C20orf134|170487	14.8618	C20orf134|170487	13.1288
C20orf135|140701	25.0113	C20orf135|140701	50.6832
C20orf151|140893	23.5614	C20orf151|140893	33.2799
C20orf160|140706	28.6362	C20orf160|140706	198.7635
lowly_expressed	lowly_expressed	C20orf165|128497	5.4958
C20orf177|63939	431.3548	C20orf177|63939	282.4212
C20orf194|25943	300.1359	C20orf194|25943	1051.5228
lowly_expressed	lowly_expressed	C20orf195|79025	7.632999999999999
C20orf196|149840	19.9366	C20orf196|149840	45.1874
lowly_expressed	lowly_expressed	C20orf197|284756	5.8011
C20orf199|441951	2991.5723	C20orf199|441951	1458.5146
lowly_expressed	lowly_expressed	C20orf203|284805	9.7702
C20orf20|55257	415.043	C20orf20|55257	214.6401
C20orf24|55969	4533.6294	C20orf24|55969	655.553
lowly_expressed	lowly_expressed	C20orf26|26074	7.0224
C20orf27|54976	130.1314	C20orf27|54976	411.5716
C20orf29|55317	110.1948	C20orf29|55317	166.7048
C20orf30|29058	3533.1219	C20orf30|29058	2127.4712
C20orf3|57136	853.285	C20orf3|57136	3903.2135
C20orf43|51507	1693.1581	C20orf43|51507	2058.4688
C20orf46|55321	5.4372	C20orf46|55321	13.4341
C20orf4|25980	1709.1074	C20orf4|25980	1164.4913
C20orf54|113278	333.8469	C20orf54|113278	151.4388
C20orf72|92667	263.1627	C20orf72|92667	499.5039
C20orf7|79133	86.9959	C20orf7|79133	145.9431
C20orf94|128710	26.4613	C20orf94|128710	27.4788
C20orf96|140680	109.8324	C20orf96|140680	267.4605
C21orf119|84996	44.9479	C21orf119|84996	72.9715
C21orf122|728039	9.0621	C21orf122|728039	39.9969
C21orf125|284836	5.0748	C21orf125|284836	6.1064
lowly_expressed	lowly_expressed	C21orf130|284835	10.9915
lowly_expressed	lowly_expressed	C21orf15|54094	28.7001
lowly_expressed	lowly_expressed	C21orf29|54084	7.9383
C21orf2|755	36.2483	C21orf2|755	290.6648
C21orf33|8209	1308.2012	C21orf33|8209	1467.9795
C21orf34|388815	25.0113	C21orf34|388815	181.3602
C21orf45|54069	660.8065	C21orf45|54069	194.1837
lowly_expressed	lowly_expressed	C21orf49|54067	11.9075
C21orf56|84221	84.821	C21orf56|84221	77.8567
C21orf57|54059	220.3897	C21orf57|54059	128.2345
C21orf58|54058	37.3357	C21orf58|54058	30.2267
C21orf59|56683	341.6511	C21orf59|56683	583.6654
lowly_expressed	lowly_expressed	C21orf62|56245	5.8011
C21orf63|59271	22.8364	C21orf63|59271	620.1053
C21orf67|84536	23.9239	C21orf67|84536	42.1342
C21orf70|85395	14.4993	C21orf70|85395	76.0247
C21orf7|56911	82.2836	C21orf7|56911	62.5906
C21orf82|114036	10.512	C21orf82|114036	7.3277
lowly_expressed	lowly_expressed	C21orf88|114041	18.6245
C21orf91|54149	873.9465	C21orf91|54149	662.2395
C22orf13|83606	854.7349	C22orf13|83606	1707.4483
C22orf23|84645	14.4993	C22orf23|84645	82.1311
C22orf25|128989	276.2121	C22orf25|128989	399.6641
C22orf26|55267	7.6121	C22orf26|55267	8.8543
C22orf27|150291	80.8337	C22orf27|150291	115.7164
C22orf28|51493	1327.0503	C22orf28|51493	1584.6119
C22orf29|79680	356.1976	C22orf29|79680	683.9325
C22orf30|253143	762.6643	C22orf30|253143	1220.0595
C22orf32|91689	745.99	C22orf32|91689	443.9356
lowly_expressed	lowly_expressed	C22orf34|348645	5.8011
C22orf36|388886	18.4866	C22orf36|388886	168.8421
C22orf39|128977	284.9116	C22orf39|128977	648.1917
C22orf40|150383	85.546	C22orf40|150383	101.061
lowly_expressed	lowly_expressed	C22orf43|51233	8.2436
lowly_expressed	lowly_expressed	C22orf45|646023	5.1904
C22orf46|79640	63.071999999999996	C22orf46|79640	621.9373
C22orf9|23313	685.4554	C22orf9|23313	1656.0568
C2CD2L|9854	310.2782	C2CD2L|9854	237.8353
C2CD2|25966	652.4694	C2CD2|25966	2145.7904
C2CD3|26005	528.8627	C2CD3|26005	839.9359
lowly_expressed	lowly_expressed	C2CD4A|145741	6.1064
C2CD4B|388125	5.7997	C2CD4B|388125	41.8289
lowly_expressed	lowly_expressed	C2CD4C|126567	21.0671
C2orf15|150590	152.058	C2orf15|150590	56.1392
C2orf16|84226	42.4105	C2orf16|84226	41.2182
C2orf18|54978	1251.2913	C2orf18|54978	1077.1697
C2orf24|27013	871.7716	C2orf24|27013	1144.6454
C2orf27A|29798	22.1115	C2orf27A|29798	34.1959
C2orf28|51374	1825.8269	C2orf28|51374	1887.4071
C2orf29|55571	1771.092	C2orf29|55571	786.8102
C2orf34|79823	219.3022	C2orf34|79823	73.2768
C2orf3|6936	492.9769	C2orf3|6936	592.9318
lowly_expressed	lowly_expressed	C2orf40|84417	668.6512
C2orf42|54980	238.1513	C2orf42|54980	256.469
C2orf43|60526	558.2238	C2orf43|60526	258.3009
C2orf44|80304	318.2601	C2orf44|80304	211.2816
C2orf47|79568	388.9443	C2orf47|79568	256.469
C2orf49|79074	179.4291	C2orf49|79074	139.8367
C2orf50|130813	16.3117	C2orf50|130813	11.6022
lowly_expressed	lowly_expressed	C2orf52|151477	9.1596
C2orf54|79919	18.8491	C2orf54|79919	62.896
C2orf55|343990	274.7621	C2orf55|343990	225.3263
C2orf56|55471	299.7734	C2orf56|55471	214.9454
lowly_expressed	lowly_expressed	C2orf58|285154	19.5405
C2orf60|129450	267.8749	C2orf60|129450	287.001
C2orf63|130162	31.535999999999998	C2orf63|130162	92.2067
C2orf64|493753	557.1364	C2orf64|493753	457.0643
lowly_expressed	lowly_expressed	C2orf65|130951	21.9831
C2orf67|151050	458.3199	C2orf67|151050	648.5703
C2orf68|388969	1456.4567	C2orf68|388969	870.7732
C2orf69|205327	661.8939999999999	C2orf69|205327	538.8902
C2orf72|257407	18.8491	C2orf72|257407	397.2216
lowly_expressed	lowly_expressed	C2orf73|129852	6.1064
C2orf74|339804	37.3357	C2orf74|339804	302.8776
C2orf76|130355	233.0766	C2orf76|130355	69.3077
C2orf77|129881	31.1735	C2orf77|129881	395.0843
C2orf79|391356	368.2827	C2orf79|391356	157.2399
C2orf7|84279	152.9678	C2orf7|84279	202.7326
C2orf81|388963	41.2179	C2orf81|388963	63.7936
lowly_expressed	lowly_expressed	C2orf84|653140	15.265999999999998
C2orf86|51057	102.2202	C2orf86|51057	141.3633
C2orf88|84281	18.4866	C2orf88|84281	249.7519
C2orf89|129293	11.5995	C2orf89|129293	30.531999999999996
C2|717	318.6842	C2|717	327.2972
C3AR1|719	340.3715	C3AR1|719	178.0017
C3orf10|55845	4503.1264	C3orf10|55845	2710.0221
C3orf14|57415	811.9619	C3orf14|57415	257.9956
C3orf15|89876	34.7984	C3orf15|89876	247.3094
C3orf17|25871	2019.3928	C3orf17|25871	1048.1643
C3orf18|51161	54.01	C3orf18|51161	210.3656
C3orf19|51244	330.94699999999995	C3orf19|51244	566.369
C3orf1|51300	1098.3235	C3orf1|51300	921.7617
C3orf21|152002	208.4277	C3orf21|152002	212.5029
C3orf23|285343	649.5696	C3orf23|285343	437.2185
C3orf26|84319	515.8133	C3orf26|84319	408.2131
C3orf31|132001	243.5886	C3orf31|132001	228.6848
C3orf32|51066	9.4246	C3orf32|51066	13.7394
C3orf33|285315	129.4064	C3orf33|285315	144.4165
C3orf34|84984	38.7857	C3orf34|84984	57.4002
C3orf35|339883	10.1495	C3orf35|339883	7.3277
C3orf37|56941	584.6851	C3orf37|56941	1035.0355
C3orf38|285237	729.6783	C3orf38|285237	391.1152
C3orf39|84892	161.6674	C3orf39|84892	544.9966
C3orf42|84657	15.2243	C3orf42|84657	31.1427
lowly_expressed	lowly_expressed	C3orf45|132228	5.9171
C3orf47|339942	10.512	C3orf47|339942	38.4703
C3orf52|79669	262.4377	C3orf52|79669	164.5676
C3orf54|389119	7.6121	C3orf54|389119	40.3023
C3orf55|152078	19.2116	C3orf55|152078	139.5313
C3orf57|165679	2308.2918	C3orf57|165679	154.49200000000002
C3orf58|205428	1074.7621	C3orf58|205428	825.8912
C3orf59|151963	424.1051	C3orf59|151963	386.8407
C3orf62|375341	53.285	C3orf62|375341	150.5229
C3orf63|23272	2861.1799	C3orf63|23272	2700.3007
C3orf64|285203	578.1604	C3orf64|285203	1430.4252
C3orf67|200844	50.0227	C3orf67|200844	12.2128
C3orf70|285382	90.6208	C3orf70|285382	105.3355
C3orf71|646450	6.8872	C3orf71|646450	29.6161
C3orf72|401089	10.512	lowly_expressed	lowly_expressed
C3orf75|54859	200.4531	C3orf75|54859	274.4829
C3|718	571.2732	C3|718	18855.9652
C4A|720	3256.3516	C4A|720	6444.0394
lowly_expressed	lowly_expressed	C4BPA|722	58.0108
C4orf10|317648	308.6398	C4orf10|317648	347.8818
C4orf12|404201	42.4105	C4orf12|404201	81.8258
C4orf14|84273	1327.4128	C4orf14|84273	534.9209999999999
C4orf19|55286	427.005	C4orf19|55286	135.8675
C4orf21|55345	155.5052	C4orf21|55345	127.6238
C4orf23|152992	105.4826	C4orf23|152992	306.8468
C4orf27|54969	704.6669999999999	C4orf27|54969	405.1599
C4orf29|80167	296.5111	C4orf29|80167	114.8004
C4orf31|79625	65.6094	C4orf31|79625	163.3463
C4orf32|132720	1287.5396	C4orf32|132720	1314.7088
C4orf33|132321	545.1744	C4orf33|132321	255.2477
C4orf34|201895	2452.9225	C4orf34|201895	1063.125
lowly_expressed	lowly_expressed	C4orf36|132989	20.4565
lowly_expressed	lowly_expressed	C4orf38|152641	10.0756
C4orf39|152756	5.7997	C4orf39|152756	19.8458
C4orf3|401152	4670.2311	C4orf3|401152	3844.8973
C4orf41|60684	2074.8527	C4orf41|60684	1265.5522
C4orf42|92070	370.8201	C4orf42|92070	315.0905
C4orf43|55319	1008.4277	C4orf43|55319	312.0372
C4orf46|201725	449.4789	C4orf46|201725	202.7326
C4orf47|441054	10.1495	C4orf47|441054	13.1288
C4orf48|401115	15.9493	lowly_expressed	lowly_expressed
C4orf49|84709	5.4372	C4orf49|84709	101.6716
C4orf52|389203	398.7313	C4orf52|389203	235.4019
lowly_expressed	lowly_expressed	C4orf7|260436	339.5161
C5AR1|728	239.9638	C5AR1|728	99.5344
C5orf13|9315	2973.4481	C5orf13|9315	651.248
C5orf15|56951	3884.0054	C5orf15|56951	1776.3529999999998
lowly_expressed	lowly_expressed	C5orf20|140947	7.3277
C5orf22|55322	1465.5188	C5orf22|55322	591.0999
C5orf23|79614	73.5841	C5orf23|79614	142.5845
C5orf24|134553	2530.8564	C5orf24|134553	1636.8216
C5orf25|375484	85.9085	C5orf25|375484	228.0742
lowly_expressed	lowly_expressed	C5orf27|202299	9.4649
C5orf28|64417	529.2252	C5orf28|64417	302.5723
C5orf30|90355	1077.662	C5orf30|90355	389.5886
C5orf32|84418	1094.3362	C5orf32|84418	757.4994
C5orf33|133686	1194.744	C5orf33|133686	939.1649
C5orf34|375444	189.9411	C5orf34|375444	49.7672
C5orf35|133383	99.6828	C5orf35|133383	84.87899999999999
C5orf36|285600	145.7182	C5orf36|285600	105.9461
C5orf38|153571	11.237	C5orf38|153571	32.6693
C5orf39|389289	17.7617	C5orf39|389289	52.2098
C5orf41|153222	560.7612	C5orf41|153222	1179.452
C5orf42|65250	618.396	C5orf42|65250	768.7963
C5orf43|643155	3490.7114	C5orf43|643155	1091.2144
C5orf44|80006	1308.9805	C5orf44|80006	532.7196
C5orf45|51149	60.5093	C5orf45|51149	240.0519
C5orf46|389336	86.6334	C5orf46|389336	23.5097
C5orf49|134121	32.986	C5orf49|134121	27.7841
C5orf4|10826	155.5052	C5orf4|10826	1774.8263
C5orf51|285636	2168.0109	C5orf51|285636	1059.7664
C5orf53|492311	428.4549	C5orf53|492311	464.0867
C5orf54|63920	177.9792	C5orf54|63920	88.5429
