gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
ACADS|35	45.378	ACADS|35	556.3294
ACADVL|37	4235.8531	ACADVL|37	5824.1704
ACAN|176	151.4096	lowly_expressed	lowly_expressed
ACAP1|9744	19.7686	ACAP1|9744	56.5342
ACAP2|23527	730.5403	ACAP2|23527	1145.4322
ACAP3|116983	369.8169	ACAP3|116983	538.812
ACAT1|38	4375.6037	ACAT1|38	998.3613
ACAT2|39	281.1142	ACAT2|39	322.2081
ACBD3|64746	1628.2152	ACBD3|64746	1279.8034
ACBD4|79777	59.3059	ACBD4|79777	314.2155
ACBD5|91452	1124.5648	ACBD5|91452	648.095
ACBD6|84320	394.0245	ACBD6|84320	479.7214
lowly_expressed	lowly_expressed	ACBD7|414149	126.9971
ACCN2|41	6.7393	ACCN2|41	652.1917
ACCN3|9311	8.0872	ACCN3|9311	5.3257
ACCS|84680	267.3256	ACCS|84680	421.1389
ACD|65057	244.8613	ACD|65057	369.9304
ACE2|59272	228.2377	ACE2|59272	363.3757
ACER1|125981	23.3629	lowly_expressed	lowly_expressed
ACER2|340485	221.0491	ACER2|340485	117.9844
ACER3|55331	322.1386	ACER3|55331	401.8845
ACE|1636	209.3676	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACHE|43	17.6157
ACIN1|22985	2648.9947	ACIN1|22985	3348.6276
ACLY|47	5355.4981	ACLY|47	2792.2982
ACN9|57001	90.7559	ACN9|57001	161.4093
ACO1|48	808.2669	ACO1|48	696.4359
ACO2|50	4837.9513	ACO2|50	2245.1659
ACOT11|26027	7.7592	ACOT11|26027	21.5567
ACOT13|55856	921.4108	ACOT13|55856	553.179
ACOT1|641371	1418.3983	ACOT1|641371	444.0803
ACOT2|10965	970.9087	ACOT2|10965	313.8058
ACOT4|122970	640.2336	ACOT4|122970	66.3662
ACOT7|11332	146.9168	ACOT7|11332	209.3404
ACOT8|10005	335.8104	ACOT8|10005	268.2343
ACOT9|23597	519.3755	ACOT9|23597	188.4474
ACOX1|51	4413.1192	ACOX1|51	1460.0778
ACOX2|8309	1244.9736	ACOX2|8309	159.7706
ACOX3|8310	1071.9982	ACOX3|8310	715.2806
ACOXL|55289	45.8272	lowly_expressed	lowly_expressed
ACP1|52	1914.8602	ACP1|52	1572.7161
ACP2|53	1142.5362	ACP2|53	730.0287
ACP5|54	817.2526	ACP5|54	359.279
ACP6|51205	370.2123	ACP6|51205	344.9406
ACPL2|92370	164.439	ACPL2|92370	554.281
ACPP|55	487.0268	ACPP|55	13.9287
ACRBP|84519	15.725	ACRBP|84519	11.4707
ACRC|93953	8.0872	ACRC|93953	24.1704
lowly_expressed	lowly_expressed	ACR|49	6.5547
lowly_expressed	lowly_expressed	ACSBG1|23205	7.7837
lowly_expressed	lowly_expressed	ACSBG2|81616	6.5547
ACSF2|80221	23699.4272	ACSF2|80221	651.3724
ACSF3|197322	608.7836	ACSF3|197322	451.0447
ACSL1|2180	10942.8283	ACSL1|2180	1149.5289
ACSL3|2181	43686.8471	ACSL3|2181	5616.1409
ACSL4|2182	260.137	ACSL4|2182	899.2216
ACSL5|51703	1364.4839	ACSL5|51703	710.3646
lowly_expressed	lowly_expressed	ACSL6|23305	9.0127
ACSM1|116285	34724.0256	ACSM1|116285	244.5719
ACSM3|6296	140.0696	ACSM3|6296	272.4293
ACSM5|54988	23.8122	ACSM5|54988	19.2544
ACSS1|84532	8907.5592	ACSS1|84532	1024.5801
ACSS2|55902	1031.5624	ACSS2|55902	1304.7931
ACSS3|79611	4135.2353	ACSS3|79611	280.6227
ACTA2|59	10327.6334	ACTA2|59	31337.2962
ACTB|60	86573.0653	ACTB|60	52983.6133
ACTC1|70	18.4208	lowly_expressed	lowly_expressed
ACTG1|71	65971.021	ACTG1|71	55715.6903
ACTG2|72	103.7852	ACTG2|72	5131.5035
ACTL6A|86	1076.0418	ACTL6A|86	837.3617
ACTN1|87	4438.0546	ACTN1|87	8891.0283
ACTN4|81	9151.212	ACTN4|81	11982.6096
ACTR10|55860	1135.7969	ACTR10|55860	988.939
ACTR1A|10121	4015.2757	ACTR1A|10121	1652.1917
ACTR1B|10120	1325.3959	ACTR1B|10120	1607.5379
ACTR2|10097	8078.6252	ACTR2|10097	3912.331
ACTR3B|57180	52.1173	ACTR3B|57180	512.0852
ACTR3C|653857	83.5673	ACTR3C|653857	27.4478
ACTR3|10096	3695.3836	ACTR3|10096	2333.8796
ACTR5|79913	290.6885	ACTR5|79913	202.7857
ACTR6|64431	670.3358	ACTR6|64431	650.1434
ACTR8|93973	435.8082	ACTR8|93973	619.4183
ACVR1B|91	1631.8095	ACVR1B|91	1385.4977
ACVR1C|130399	31.8994	ACVR1C|130399	19.6641
ACVR1|90	2390.6548	ACVR1|90	1027.8574
ACVR2A|92	602.0443	ACVR2A|92	827.12
ACVR2B|93	195.889	ACVR2B|93	560.0164
ACVRL1|94	373.8066	ACVRL1|94	424.8259
ACY1|95	1201.8421	ACY1|95	1065.5469
ACY3|91703	66.0452	ACY3|91703	34.0025
ACYP1|97	37.7401	ACYP1|97	68.8243
ACYP2|98	220.5998	ACYP2|98	261.778
ADAL|161823	185.1061	ADAL|161823	172.0606
ADAM10|102	1892.8451	ADAM10|102	2038.5088
lowly_expressed	lowly_expressed	ADAM11|4185	15.5674
ADAM12|8038	2021.3411	ADAM12|8038	1017.6157
ADAM15|8751	4618.2994	ADAM15|8751	2665.8132
ADAM17|6868	823.5426	ADAM17|6868	965.9975
ADAM19|8728	310.0079	ADAM19|8728	88.0787
ADAM21P1|145241	6.29	lowly_expressed	lowly_expressed
ADAM21|8747	14.3772	lowly_expressed	lowly_expressed
ADAM22|53616	7.1886	ADAM22|53616	40.5571
ADAM23|8745	5.3914	ADAM23|8745	5.3257
ADAM28|10863	103.7852	ADAM28|10863	92.585
ADAM2|2515	16.6236	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM32|203102	121.2618
ADAM33|80332	20.2179	ADAM33|80332	256.9562
ADAM6|8755	29172.589	ADAM6|8755	23234.6784
ADAM8|101	103.7852	ADAM8|101	58.9922
ADAM9|8754	5897.7873	ADAM9|8754	1245.3912
ADAMDEC1|27299	85.3645	lowly_expressed	lowly_expressed
ADAMTS10|81794	85.8138	ADAMTS10|81794	135.1905
ADAMTS12|81792	215.6576	ADAMTS12|81792	169.193
ADAMTS13|11093	17.5222	ADAMTS13|11093	126.9971
ADAMTS14|140766	76.828	ADAMTS14|140766	42.1958
ADAMTS15|170689	57.958	ADAMTS15|170689	184.3507
ADAMTS16|170690	289.79	ADAMTS16|170690	556.3294
ADAMTS17|170691	252.4992	ADAMTS17|170691	43.4248
ADAMTS18|170692	9.435	ADAMTS18|170692	320.3605
lowly_expressed	lowly_expressed	ADAMTS19|171019	6.9644
ADAMTS1|9510	312.7036	ADAMTS1|9510	2008.1934
ADAMTS2|9509	450.1853	ADAMTS2|9509	383.0397
ADAMTS3|9508	23.8122	ADAMTS3|9508	104.0557
ADAMTS4|9507	375.6037	ADAMTS4|9507	84.8013
ADAMTS5|11096	389.5316	ADAMTS5|11096	2088.4883
ADAMTS6|11174	127.1482	ADAMTS6|11174	10.6514
ADAMTS7|11173	277.2099	ADAMTS7|11173	73.3306
ADAMTS8|11095	75.0309	ADAMTS8|11095	205.2438
ADAMTS9|56999	206.2226	ADAMTS9|56999	1537.8943
ADAMTSL1|92949	133.4382	ADAMTSL1|92949	31.9541
ADAMTSL2|9719	850.9491	ADAMTSL2|9719	26.6284
ADAMTSL3|57188	131.641	ADAMTSL3|57188	52.4375
ADAMTSL4|54507	150.0618	ADAMTSL4|54507	156.0836
ADAMTSL5|339366	26.9572	ADAMTSL5|339366	36.0508
ADAP1|11033	30.7896	ADAP1|11033	65.3093
ADAP2|55803	224.1941	ADAP2|55803	75.3789
ADARB1|104	682.0173	ADARB1|104	754.1991
lowly_expressed	lowly_expressed	ADARB2|105	12.6997
ADAR|103	5990.3403	ADAR|103	6977.4683
ADAT1|23536	381.8937	ADAT1|23536	344.9406
ADAT2|134637	67.8423	ADAT2|134637	261.3683
ADAT3|113179	70.0887	ADAT3|113179	50.3892
ADA|100	62.0016	ADA|100	107.3331
ADCK1|57143	236.7741	ADCK1|57143	187.2184
ADCK2|90956	341.4579	ADCK2|90956	870.9545
ADCK4|79934	591.2614	ADCK4|79934	563.2937
ADCK5|203054	58.4073	ADCK5|203054	104.4654
ADCY10|55811	8.9857	lowly_expressed	lowly_expressed
