gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
FAM149B1|317662	582.9404	FAM149B1|317662	537.0198
FAM151B|167555	30.8616	FAM151B|167555	12.5519
FAM154B|283726	70.7244	FAM154B|283726	47.4939
FAM155A|728215	417.0596	FAM155A|728215	17.3013
FAM155B|27112	46.721000000000004	FAM155B|27112	35.9596
FAM156A|29057	414.4878	FAM156A|29057	428.4624
FAM157A|728262	5.5722	lowly_expressed	lowly_expressed
FAM158A|51016	88.727	FAM158A|51016	63.099
FAM159A|348378	17.5739	lowly_expressed	lowly_expressed
FAM160A1|729830	138.0197	FAM160A1|729830	275.4643
FAM160A2|84067	711.5302	FAM160A2|84067	817.2335
FAM160B1|57700	773.2533	FAM160B1|57700	625.5619
FAM160B2|64760	1062.1517	FAM160B2|64760	984.1404
FAM161A|84140	94.7278	FAM161A|84140	93.97
FAM161B|145483	193.74200000000002	FAM161B|145483	696.3209
FAM162A|26355	1006.8581	FAM162A|26355	764.3118
FAM162B|221303	8.5727	FAM162B|221303	22.39
FAM163A|148753	5.1436	lowly_expressed	lowly_expressed
FAM164A|51101	289.7557	FAM164A|51101	451.1916
FAM164C|79696	67.2953	FAM164C|79696	66.4914
FAM165B|54065	242.1775	FAM165B|54065	400.9838
FAM166B|730112	13.2876	FAM166B|730112	52.2432
FAM167A|83648	252.8933	FAM167A|83648	190.6539
FAM167B|84734	96.87100000000001	FAM167B|84734	38.3343
FAM168A|23201	424.3463	FAM168A|23201	439.3181
FAM168B|130074	2468.9241	FAM168B|130074	3929.7769
FAM169A|26049	478.3541	FAM169A|26049	112.9675
FAM171A1|221061	288.8984	FAM171A1|221061	390.4673
FAM171A2|284069	31.2902	FAM171A2|284069	12.8912
FAM171B|165215	1270.8958	FAM171B|165215	569.587
FAM172A|83989	685.8123	FAM172A|83989	859.2995
FAM173A|65990	342.4775	FAM173A|65990	56.3141
FAM173B|134145	225.4608	FAM173B|134145	156.7297
FAM174A|345757	747.1067	FAM174A|345757	262.9124
FAM174B|400451	887.6982	FAM174B|400451	1557.7983
FAM175A|84142	426.0351	FAM175A|84142	288.3352
FAM175B|23172	469.3528	FAM175B|23172	526.8425
FAM176A|84141	114.4449	FAM176A|84141	73.9547
FAM176B|55194	496.8024	FAM176B|55194	250.2519
FAM177A1|283635	793.8277	FAM177A1|283635	795.8613
FAM178A|55719	801.1144	FAM178A|55719	712.0685
lowly_expressed	lowly_expressed	FAM178B|51252	10.1773
FAM179B|23116	732.1046	FAM179B|23116	763.294
FAM180A|389558	71.5817	FAM180A|389558	195.7425
lowly_expressed	lowly_expressed	FAM180B|399888	23.4077
FAM181B|220382	8.144	FAM181B|220382	10.8557
FAM182B|728882	10.2872	FAM182B|728882	14.5874
FAM183A|440585	52.2932	lowly_expressed	lowly_expressed
FAM183B|340286	7.2868	lowly_expressed	lowly_expressed
FAM184A|79632	38.5769	FAM184A|79632	119.4131
FAM184B|27146	40.4844	FAM184B|27146	84.5832
FAM185A|222234	177.4539	FAM185A|222234	104.4865
FAM186A|121006	6.0009	FAM186A|121006	5.7671
FAM186B|84070	13.7162	FAM186B|84070	18.9975
FAM188A|80013	342.4775	FAM188A|80013	512.5944
FAM188B|84182	282.0103	FAM188B|84182	208.7389
FAM189A1|23359	16.288	FAM189A1|23359	5.7671
FAM189A2|9413	261.8946	FAM189A2|9413	1283.0125
FAM189B|10712	1195.8851	FAM189B|10712	470.1891
FAM18A|780776	15.4393	FAM18A|780776	26.1216
FAM18B2|201158	310.1114	FAM18B2|201158	222.6817
FAM18B|51030	960.1372	FAM18B|51030	673.395
FAM190A|401145	150.0214	FAM190A|401145	127.8942
FAM190B|54462	1111.0159	FAM190B|54462	1359.6811
FAM192A|80011	891.9846	FAM192A|80011	1211.7717
FAM193A|8603	691.8131	FAM193A|8603	898.3123
FAM193B|54540	432.91900000000004	FAM193B|54540	681.1975
FAM195A|84331	569.2242	FAM195A|84331	109.9143
FAM195B|348262	783.9691	FAM195B|348262	910.8642
FAM196A|642938	20.5744	FAM196A|642938	43.4229
FAM196B|100131897	9.8586	FAM196B|100131897	266.9833
FAM198A|729085	739.82	FAM198A|729085	136.7144
FAM198B|51313	9044.1492	FAM198B|51313	4867.102
FAM199X|139231	830.2615	FAM199X|139231	545.1616
FAM19A2|338811	20.1457	FAM19A2|338811	19.3368
lowly_expressed	lowly_expressed	FAM19A3|284467	24.4254
FAM19A5|25817	82.7261	FAM19A5|25817	18.9975
FAM200A|221786	306.4724	FAM200A|221786	166.907
FAM200B|285550	310.7587	FAM200B|285550	388.7711
FAM20A|54757	129.0184	FAM20A|54757	196.0818
FAM20B|9917	2792.1132	FAM20B|9917	1921.4655
FAM20C|56975	1750.1072	FAM20C|56975	1210.0755
FAM21A|387680	468.9241	FAM21A|387680	771.7751
FAM21B|55747	857.2653	FAM21B|55747	855.2286
FAM21C|253725	2029.5757	FAM21C|253725	2043.5926
FAM22A|728118	48.8641	FAM22A|728118	46.1369
FAM22D|728130	91.7274	FAM22D|728130	133.322
lowly_expressed	lowly_expressed	FAM23A|653567	9.4988
FAM24B|196792	16.660999999999998	FAM24B|196792	21.4401
FAM26E|254228	240.4629	FAM26E|254228	112.289
FAM26F|441168	126.01799999999999	FAM26F|441168	43.0837
lowly_expressed	lowly_expressed	FAM27A|548321	9.838
lowly_expressed	lowly_expressed	FAM27C|100132948	15.2659
FAM32A|26017	1159.0227	FAM32A|26017	1557.7983
FAM35A|54537	680.6687	FAM35A|54537	724.6205
FAM35B2|439965	73.2962	FAM35B2|439965	44.7799
FAM35B|414241	250.3215	FAM35B|414241	263.2516
FAM36A|116228	1479.5414	FAM36A|116228	895.2896
FAM38A|9780	2305.0879	FAM38A|9780	2100.2154
FAM38B|63895	75.868	FAM38B|63895	74.6332
FAM3A|60343	772.3961	FAM3A|60343	519.3792
FAM3B|54097	11.1444	FAM3B|54097	329.74300000000005
FAM3C|10447	1274.3249	FAM3C|10447	674.0734
lowly_expressed	lowly_expressed	FAM3D|131177	10.5165
FAM40A|85369	513.0733	FAM40A|85369	766.6865
FAM40B|57464	41.5774	FAM40B|57464	12.8912
FAM41C|284593	6.0009	FAM41C|284593	12.8912
FAM43A|131583	129.8757	FAM43A|131583	193.7071
FAM43B|163933	35.5765	FAM43B|163933	9.4988
FAM45A|404636	466.3523	FAM45A|404636	375.8799
FAM45B|55855	178.3112	FAM45B|55855	199.8134
FAM46A|55603	544.7921	FAM46A|55603	672.7165
FAM46B|115572	561.0802	FAM46B|115572	1106.2675
FAM46C|54855	1017.1453	FAM46C|54855	1497.7525
FAM47E|100129583	164.4792	FAM47E|100129583	245.9842
FAM48A|55578	464.6335	FAM48A|55578	936.192
FAM49A|81553	46.2923	FAM49A|81553	202.8666
FAM49B|51571	1843.1204	FAM49B|51571	672.038
FAM50A|9130	971.7102	FAM50A|9130	654.3974
FAM50B|26240	213.0304	FAM50B|26240	327.0291
FAM53A|152877	39.0056	FAM53A|152877	16.2836
FAM53B|9679	952.7175	FAM53B|9679	1025.857
FAM53C|51307	1007.2868	FAM53C|51307	1242.3035
FAM54A|113115	21.8603	FAM54A|113115	6.1064
FAM54B|56181	745.8423	FAM54B|56181	1118.738
FAM55C|91775	637.3768	FAM55C|91775	830.4639
lowly_expressed	lowly_expressed	FAM55D|54827	6.4456
FAM57A|79850	218.174	FAM57A|79850	116.0207
FAM57B|83723	68.5812	FAM57B|83723	16.9621
FAM58A|92002	304.7578	FAM58A|92002	249.0035
FAM59A|64762	336.048	FAM59A|64762	165.2108
FAM5B|57795	63.00899999999999	FAM5B|57795	9.1595
FAM5C|339479	57.8654	FAM5C|339479	14.5874
FAM60A|58516	1162.0231	FAM60A|58516	1357.6457
FAM63A|55793	1292.3275	FAM63A|55793	882.7071
FAM63B|54629	250.7501	FAM63B|54629	450.8523
FAM64A|54478	29.147	FAM64A|54478	5.4279
FAM65A|79567	1365.195	FAM65A|79567	1063.8623
FAM65B|9750	122.1603	FAM65B|9750	322.6189
FAM65C|140876	32.5761	FAM65C|140876	13.9089
FAM66C|440078	30.4329	FAM66C|440078	31.8887
FAM66D|100132923	26.9953	lowly_expressed	lowly_expressed
FAM69A|388650	339.0484	FAM69A|388650	463.065
FAM69B|138311	229.4342	FAM69B|138311	183.8419
FAM69C|125704	13.2876	lowly_expressed	lowly_expressed
FAM70A|55026	77.1539	FAM70A|55026	396.5737
FAM70B|348013	42.006	FAM70B|348013	17.3013
FAM71D|161142	32.5761	FAM71D|161142	14.9266
FAM71E1|112703	57.5225	FAM71E1|112703	22.6206
FAM71F2|346653	15.4308	FAM71F2|346653	11.5342
FAM72A|729533	17.1453	lowly_expressed	lowly_expressed
FAM72B|653820	70.7244	FAM72B|653820	9.1595
FAM72D|728833	51.8646	lowly_expressed	lowly_expressed
FAM73A|374986	649.8071	FAM73A|374986	871.1729
FAM73B|84895	372.0532	FAM73B|84895	363.6672
FAM76A|199870	283.7548	FAM76A|199870	343.3127
FAM76B|143684	282.4689	FAM76B|143684	280.553
FAM78A|286336	186.8838	FAM78A|286336	90.2383
FAM78B|149297	18.8598	FAM78B|149297	13.9089
lowly_expressed	lowly_expressed	FAM7A3|89837	8.8203
FAM81A|145773	75.4393	FAM81A|145773	34.9419
FAM81B|153643	81.4402	FAM81B|153643	9.1595
FAM82A1|151393	89.1556	FAM82A1|151393	119.0739
FAM82A2|55177	753.9649	FAM82A2|55177	930.201
FAM82B|51115	646.3781	FAM82B|51115	726.6559
FAM83A|84985	8.144	FAM83A|84985	25.7824
FAM83B|222584	68.5812	FAM83B|222584	154.6943
FAM83D|81610	118.7312	FAM83D|81610	14.9266
FAM83E|54854	204.4578	FAM83E|54854	18.9975
FAM83F|113828	199.7428	FAM83F|113828	232.7199
FAM83G|644815	200.0257	FAM83G|644815	133.1151
FAM83H|286077	2843.9777	FAM83H|286077	1466.8815
FAM84A|151354	177.4539	FAM84A|151354	258.5022
FAM84B|157638	1839.6914	FAM84B|157638	2049.6989
FAM86A|196483	491.2259	FAM86A|196483	290.1603
FAM86B1|85002	95.5851	FAM86B1|85002	86.5067
FAM86B2|653333	7.2868	lowly_expressed	lowly_expressed
FAM86C|55199	189.4556	FAM86C|55199	151.3018
FAM86D|692099	138.4483	FAM86D|692099	208.6337
FAM89A|375061	91.2988	FAM89A|375061	103.4687
FAM89B|23625	911.7017	FAM89B|23625	583.1566
FAM8A1|51439	1104.5864	FAM8A1|51439	1436.3498
FAM90A1|55138	6.8581	FAM90A1|55138	12.5519
FAM91A1|157769	1314.1877	FAM91A1|157769	818.9297
FAM92A1|137392	56.5795	FAM92A1|137392	74.294
FAM92B|339145	18.8598	lowly_expressed	lowly_expressed
FAM95B1|100133036	14.5735	FAM95B1|100133036	29.1748
FAM96A|84191	582.0832	FAM96A|84191	483.4196
FAM96B|51647	377.1967	FAM96B|51647	367.7381
FAM98A|25940	836.691	FAM98A|25940	644.5594
FAM98B|283742	243.4634	FAM98B|283742	367.3989
FAM98C|147965	213.4591	FAM98C|147965	208.6337
FANCA|2175	97.0253	FANCA|2175	19.1434
FANCB|2187	16.288	FANCB|2187	13.5697
FANCC|2176	289.327	FANCC|2176	259.52
FANCD2|2177	234.4621	FANCD2|2177	188.2792
FANCE|2178	114.0163	FANCE|2178	172.3348
FANCF|2188	812.6875	FANCF|2188	394.5382
FANCG|2189	316.7595	FANCG|2189	261.8947
FANCI|55215	478.1483	FANCI|55215	295.2591
FANCL|55120	321.5602	FANCL|55120	237.4489
FANCM|57697	133.3048	FANCM|57697	153.3373
FANK1|92565	408.0583	FANK1|92565	218.1325
FAP|2191	1395.1993	FAP|2191	100.4156
FAR1|84188	1483.4976	FAR1|84188	1643.2873
FAR2|55711	123.772	FAR2|55711	53.7732
FARP1|10160	2629.6614	FARP1|10160	2240.0136
FARP2|9855	379.7685	FARP2|9855	419.9813
FARS2|10667	298.757	FARS2|10667	301.586
FARSA|2193	945.5637	FARSA|2193	867.4413
FARSB|10056	1001.7145	FARSB|10056	810.1094
FASLG|356	8.144	FASLG|356	6.7848
FASN|2194	4153.4505	FASN|2194	8048.8508
FASTKD1|79675	262.3232	FASTKD1|79675	231.3629
FASTKD2|22868	874.8393	FASTKD2|22868	893.5629
FASTKD3|79072	153.0219	FASTKD3|79072	132.6435
FASTKD5|60493	420.4886	FASTKD5|60493	451.0355
FASTK|10922	1226.7467	FASTK|10922	665.5924
FAS|355	258.4655	FAS|355	311.0847
FAT1|2195	2842.2632	FAT1|2195	7364.9394
FAT2|2196	445.3493	FAT2|2196	2167.0766
FAT3|120114	63.00899999999999	FAT3|120114	34.9419
FAT4|79633	303.0433	FAT4|79633	397.5914
FAU|2197	7537.934	FAU|2197	5845.1361
FBF1|85302	141.8003	FBF1|85302	137.0978
FBLIM1|54751	1381.0544	FBLIM1|54751	1195.1488
FBLL1|345630	32.1474	FBLL1|345630	63.4382
FBLN1|2192	8307.3296	FBLN1|2192	5306.7594
FBLN2|2199	2693.9563	FBLN2|2199	1896.0224
FBLN5|10516	939.9914	FBLN5|10516	2465.6094
FBLN7|129804	222.889	FBLN7|129804	259.52
FBL|2091	3004.715	FBL|2091	3805.9537
FBN1|2200	10859.4085	FBN1|2200	1966.5847
FBN2|2201	110.5872	FBN2|2201	46.1369
FBN3|84467	6.4295	FBN3|84467	9.4988
FBP1|2203	1360.9087	FBP1|2203	1527.6058
FBRSL1|57666	522.9318	FBRSL1|57666	524.1286
FBRS|64319	2162.0231	FBRS|64319	1128.3182
FBXL12|54850	293.1847	FBXL12|54850	307.3531
FBXL13|222235	10.7158	FBXL13|222235	10.5165
FBXL14|144699	566.2237	FBXL14|144699	609.2783
FBXL15|79176	200.6001	FBXL15|79176	135.0182
FBXL16|146330	1798.9713	FBXL16|146330	295.8188
FBXL17|64839	864.1234	FBXL17|64839	753.1168
FBXL18|80028	547.7925	FBXL18|80028	408.1079
FBXL19|54620	703.3862	FBXL19|54620	283.6061
FBXL20|84961	178.7398	FBXL20|84961	179.7982
FBXL22|283807	24.1234	FBXL22|283807	169.6989
FBXL2|25827	175.3108	FBXL2|25827	284.2846
FBXL3|26224	2495.0707	FBXL3|26224	1992.0278
FBXL4|26235	261.0373	FBXL4|26235	309.3885
FBXL5|26234	2195.8851	FBXL5|26234	3182.7665
FBXL6|26233	196.6052	FBXL6|26233	124.1727
FBXL7|23194	589.7985	FBXL7|23194	490.5436
FBXL8|55336	83.9177	FBXL8|55336	56.0529
FBXO10|26267	177.4925	FBXO10|26267	130.6556
FBXO11|80204	1436.348	FBXO11|80204	1864.8121
FBXO15|201456	156.4509	FBXO15|201456	41.3875
FBXO16|157574	109.3013	FBXO16|157574	43.7622
FBXO17|115290	104.1577	FBXO17|115290	224.9173
FBXO18|84893	1387.9126	FBXO18|84893	1753.2016
FBXO21|23014	1215.6022	FBXO21|23014	1563.5654
FBXO22OS|692224	50.3558	FBXO22OS|692224	35.366
FBXO22|26263	334.1277	FBXO22|26263	392.7572
FBXO24|26261	12.1989	FBXO24|26261	9.8787
FBXO25|26260	777.5396	FBXO25|26260	659.4860000000001
FBXO27|126433	144.0206	FBXO27|126433	191.3324
FBXO28|23219	2106.7295	FBXO28|23219	983.462
FBXO2|26232	255.4651	FBXO2|26232	664.9139
FBXO30|84085	394.342	FBXO30|84085	473.5815
FBXO31|79791	580.7973	FBXO31|79791	911.2035
FBXO32|114907	1580.7973	FBXO32|114907	4763.294
FBXO33|254170	178.7398	FBXO33|254170	324.3152
FBXO34|55030	866.2666	FBXO34|55030	903.4009
FBXO36|130888	340.76300000000003	FBXO36|130888	245.6111
FBXO38|81545	920.2743	FBXO38|81545	1041.8116
lowly_expressed	lowly_expressed	FBXO39|162517	5.0886
FBXO3|26273	923.2748	FBXO3|26273	1047.5787
FBXO41|150726	346.7638	FBXO41|150726	246.6288
FBXO42|54455	528.9327	FBXO42|54455	548.554
FBXO43|286151	19.2885	lowly_expressed	lowly_expressed
FBXO44|93611	386.19800000000004	FBXO44|93611	476.6347
FBXO45|200933	399.9143	FBXO45|200933	351.4545
FBXO46|23403	598.3712	FBXO46|23403	347.0444
FBXO48|554251	39.8628	FBXO48|554251	35.2811
FBXO4|26272	353.6219	FBXO4|26272	244.2541
FBXO5|26271	79.297	FBXO5|26271	138.4107
FBXO6|26270	241.3202	FBXO6|26270	177.4235
FBXO7|25793	1954.5649	FBXO7|25793	2680.0102
FBXO8|26269	447.5139	FBXO8|26269	624.2219
FBXO9|26268	717.1024	FBXO9|26268	1254.8554
FBXW11|23291	1461.6374	FBXW11|23291	1573.4034
FBXW2|26190	1826.4038	FBXW2|26190	1767.789
FBXW4|6468	1837.9769	FBXW4|6468	1599.5251
FBXW5|54461	1283.3262	FBXW5|54461	991.943
FBXW7|55294	341.6202	FBXW7|55294	790.7726
FBXW8|26259	418.3455	FBXW8|26259	569.587
FBXW9|84261	240.5401	FBXW9|84261	232.6961
FCAMR|83953	6.0009	lowly_expressed	lowly_expressed
FCER1A|2205	39.8628	FCER1A|2205	97.3624
FCER1G|2207	609.5156	FCER1G|2207	309.7278
FCF1|51077	735.9623	FCF1|51077	956.6619
FCGBP|8857	1969.5671	FCGBP|8857	2888.3046
FCGR1A|2209	185.1607	FCGR1A|2209	30.8506
FCGR1B|2210	149.5928	FCGR1B|2210	33.9242
FCGR1C|100132417	45.8637	FCGR1C|100132417	14.9266
FCGR2A|2212	1246.4638	FCGR2A|2212	409.8041
FCGR2B|2213	309.9014	FCGR2B|2213	137.7322
FCGR2C|9103	96.4423	FCGR2C|9103	60.385
FCGR3A|2214	1974.7107	FCGR3A|2214	484.4373
lowly_expressed	lowly_expressed	FCGR3B|2215	5.4279
FCGRT|2217	2042.8633	FCGRT|2217	2827.5804
FCHO1|23149	48.8641	FCHO1|23149	47.8331
FCHO2|115548	1066.0094	FCHO2|115548	813.8411
FCHSD1|89848	435.075	FCHSD1|89848	373.9021
FCHSD2|9873	966.8153	FCHSD2|9873	747.3259
FCN1|2219	21.4316	FCN1|2219	32.228
FCN2|2220	9.8586	FCN2|2220	15.2659
lowly_expressed	lowly_expressed	FCN3|8547	7.8026
FCRL3|115352	6.8581	lowly_expressed	lowly_expressed
FCRL5|83416	26.5752	FCRL5|83416	37.3166
FCRL6|343413	13.2876	FCRL6|343413	10.5165
FCRLA|84824	23.1462	lowly_expressed	lowly_expressed
FCRLB|127943	44.5778	FCRLB|127943	15.2659
FDFT1|2222	3276.8967	FDFT1|2222	3097.6168
FDPS|2224	2171.4231	FDPS|2224	1496.6195
FDX1L|112812	166.8195	FDX1L|112812	118.2563
FDX1|2230	334.7621	FDX1|2230	340.93800000000005
FDXACB1|91893	162.5075	FDXACB1|91893	108.9475
FDXR|2232	203.1719	FDXR|2232	173.0133
FECH|2235	723.5319	FECH|2235	636.7568
FEM1A|55527	691.8131	FEM1A|55527	1168.0095
FEM1B|10116	1690.5272	FEM1B|10116	3760.4953
FEM1C|56929	1144.4492	FEM1C|56929	723.942
FEN1|2237	549.9357	FEN1|2237	314.4771
FER1L4|80307	29.147	FER1L4|80307	16.9621
lowly_expressed	lowly_expressed	FER1L5|90342	66.4914
FERMT1|55612	65.5808	FERMT1|55612	231.0237
FERMT2|10979	1352.336	FERMT2|10979	1517.7678
FERMT3|83706	421.8045	FERMT3|83706	158.0867
FER|2241	57.8654	FER|2241	110.2536
FES|2242	253.3219	FES|2242	266.3048
FEZ1|9638	143.5919	FEZ1|9638	265.6263
FEZ2|9637	1005.5722	FEZ2|9637	957.3403
FFAR2|2867	30.8616	lowly_expressed	lowly_expressed
FGD1|2245	243.0347	FGD1|2245	272.4112
FGD2|221472	80.5829	FGD2|221472	53.261
FGD3|89846	1802.829	FGD3|89846	404.037
FGD4|121512	251.1787	FGD4|121512	514.969
FGD5|152273	593.2276	FGD5|152273	554.9996
FGD6|55785	1126.8753	FGD6|55785	439.3181
FGF10|2255	9.0013	FGF10|2255	16.2836
FGF11|2256	45.4351	FGF11|2256	95.042
FGF12|2257	60.8658	FGF12|2257	19.676
FGF13|2258	445.778	FGF13|2258	251.3782
FGF14|2259	291.4702	FGF14|2259	746.6712
lowly_expressed	lowly_expressed	FGF17|8822	5.0886
FGF18|8817	23.5748	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FGF19|9965	8.1418
FGF1|2246	387.9126	FGF1|2246	1934.0175
FGF2|2247	284.7707	FGF2|2247	819.9915
FGF7|2252	249.4642	FGF7|2252	278.5175
FGF9|2254	9.8586	FGF9|2254	17.9798
lowly_expressed	lowly_expressed	FGFBP1|9982	56.3141
FGFBP2|83888	6.8581	FGFBP2|83888	32.5672
FGFBP3|143282	16.7167	FGFBP3|143282	82.4358
FGFR1OP2|26127	453.0647	FGFR1OP2|26127	575.0148
FGFR1OP|11116	202.3489	FGFR1OP|11116	206.8968
FGFR1|2260	1663.5234	FGFR1|2260	4616.7416
FGFR2|2263	2719.2456	FGFR2|2263	1810.8727
FGFR3|2261	96.87100000000001	FGFR3|2261	353.1507
FGFR4|2264	34.7192	FGFR4|2264	65.8129
FGFRL1|53834	673.3819	FGFRL1|53834	458.3157
FGGY|55277	237.0339	FGGY|55277	235.0946
FGL2|10875	876.5538	FGL2|10875	1098.4649
FGR|2268	198.8856	FGR|2268	84.4712
FHAD1|114827	81.1873	FHAD1|114827	13.8241
FHDC1|85462	313.7591	FHDC1|85462	321.262
FHIT|2272	75.0107	FHIT|2272	73.9547
FHL1|2273	785.255	FHL1|2273	4469.8499
FHL2|2274	1946.4209	FHL2|2274	1751.8446
FHL3|2275	472.3532	FHL3|2275	463.065
FHL5|9457	27.0039	FHL5|9457	84.8104
FHOD1|29109	459.9228	FHOD1|29109	342.9735
FHOD3|80206	377.6254	FHOD3|80206	1027.5634
FH|2271	2249.8928	FH|2271	1075.3965
FIBIN|387758	929.2756	FIBIN|387758	1282.6732
FIBP|9158	1008.1439999999999	FIBP|9158	669.6633
FICD|11153	60.4372	FICD|11153	89.2206
FIG4|9896	386.6267	FIG4|9896	605.8858
lowly_expressed	lowly_expressed	FIGF|2277	157.4082
FIGNL1|63979	319.3313	FIGNL1|63979	257.1453
FIGNL2|401720	12.4303	FIGNL2|401720	36.6381
FIGN|55137	53.1505	FIGN|55137	40.3698
FILIP1L|11259	876.5538	FILIP1L|11259	1841.0652
FILIP1|27145	78.8684	FILIP1|27145	79.0433
FIP1L1|81608	611.8903	FIP1L1|81608	940.1136
FIS1|51024	2018.1612	FIS1|51024	1721.6725
lowly_expressed	lowly_expressed	FITM1|161247	5.0886
FITM2|128486	53.5791	FITM2|128486	68.1876
FIZ1|84922	365.6237	FIZ1|84922	338.9026
FJX1|24147	212.6018	FJX1|24147	187.6007
FKBP10|60681	4808.8298	FKBP10|60681	1393.2661
FKBP11|51303	362.6232	FKBP11|51303	244.5933
FKBP14|55033	310.7587	FKBP14|55033	188.9577
FKBP15|23307	1253.8534	FKBP15|23307	1173.9157
FKBP1AP1|2282	10.7158	FKBP1AP1|2282	9.1595
FKBP1A|2280	2944.5349	FKBP1A|2280	2298.7906
FKBP1B|2281	54.0077	FKBP1B|2281	110.9321
FKBP2|2286	825.5465	FKBP2|2286	944.7884
FKBP3|2287	978.1397	FKBP3|2287	818.2512
FKBP4|2288	4252.036	FKBP4|2288	4402.0015
FKBP5|2289	1814.4021	FKBP5|2289	3967.4328
FKBP7|51661	432.0617	FKBP7|51661	285.9808
FKBP8|23770	3276.0394	FKBP8|23770	3730.3028
FKBP9L|360132	37.7197	FKBP9L|360132	51.903999999999996
FKBP9|11328	4063.8663	FKBP9|11328	2850.3096
FKBPL|63943	126.4466	FKBPL|63943	123.8233
FKRP|79147	228.0326	FKRP|79147	260.5377
FKTN|2218	683.6691	FKTN|2218	534.6451
FLAD1|80308	914.2735	FLAD1|80308	502.4171
FLCN|201163	473.6391	FLCN|201163	574.0039
FLG|2312	11.7402	lowly_expressed	lowly_expressed
FLI1|2313	395.6279	FLI1|2313	578.4073
FLII|2314	3348.907	FLII|2314	2918.8364
FLJ10038|55056	182.0574	FLJ10038|55056	562.1542
FLJ10213|55096	12.4303	FLJ10213|55096	21.033
FLJ10357|55701	1104.5864	FLJ10357|55701	1319.6506
FLJ10661|286042	45.4351	FLJ10661|286042	28.4963
FLJ11235|54508	24.4321	FLJ11235|54508	26.4609
FLJ12825|440101	37.291	FLJ12825|440101	7.8026
FLJ13197|79667	36.5538	FLJ13197|79667	48.2538
lowly_expressed	lowly_expressed	FLJ16779|100192386	6.1064
FLJ22536|401237	27.4325	FLJ22536|401237	82.4358
FLJ23867|200058	2250.7501	FLJ23867|200058	1179.5437
lowly_expressed	lowly_expressed	FLJ26850|400710	13.2304
lowly_expressed	lowly_expressed	FLJ33360|401172	6.7848
FLJ33630|644873	622.3746	FLJ33630|644873	627.2581
FLJ35024|401491	6.4295	FLJ35024|401491	7.8026
FLJ35220|284131	241.3202	FLJ35220|284131	336.8671
FLJ35390|255031	167.0124	FLJ35390|255031	93.4645
FLJ35776|649446	100.3	FLJ35776|649446	102.7903
FLJ36031|168455	408.4869	FLJ36031|168455	243.5756
FLJ36777|730971	26.1466	FLJ36777|730971	20.3545
FLJ37201|283011	8.5727	FLJ37201|283011	11.195
lowly_expressed	lowly_expressed	FLJ37307|283521	10.5165
FLJ37453|729614	77.5825	FLJ37453|729614	127.2157
lowly_expressed	lowly_expressed	FLJ37543|285668	7.1241
FLJ39582|439931	83.4462	FLJ39582|439931	137.0299
FLJ39653|202020	135.4479	FLJ39653|202020	101.4333
FLJ39739|388685	5.1436	FLJ39739|388685	6.1064
FLJ40330|645784	15.0021	FLJ40330|645784	25.1039
FLJ40852|285962	41.1102	FLJ40852|285962	60.0322
FLJ42289|388182	15.0021	FLJ42289|388182	54.2787
FLJ42627|645644	44.0892	FLJ42627|645644	54.9979
FLJ42709|441094	62.1517	FLJ42709|441094	83.4535
lowly_expressed	lowly_expressed	FLJ42875|440556	7.1241
FLJ43663|378805	108.4441	FLJ43663|378805	106.8612
FLJ44606|401207	76.2966	FLJ44606|401207	47.1546
FLJ44635|392490	15.8594	FLJ44635|392490	14.2482
FLJ45244|400242	53.1505	FLJ45244|400242	51.5648
FLJ45340|402483	759.1084	FLJ45340|402483	1082.8598
FLJ45445|399844	27.8611	FLJ45445|399844	21.033
FLJ45983|399717	35.1479	FLJ45983|399717	132.3043
FLJ46111|283102	13.2876	FLJ46111|283102	8.8203
FLJ90757|440465	588.0840000000001	FLJ90757|440465	921.0415
FLNA|2316	21129.0184	lowly_expressed	lowly_expressed
FLNB|2317	16435.0364	FLNB|2317	17651.8395
FLNC|2318	287.1839	FLNC|2318	386.3964
FLOT1|10211	2847.8354	FLOT1|10211	3006.3608
FLOT2|2319	2382.3403	FLOT2|2319	2710.8812
FLRT2|23768	482.6404	FLRT2|23768	662.8785
FLRT3|23767	85.2979	FLRT3|23767	331.7785
FLT1|2321	636.5195	FLT1|2321	906.7933
FLT3LG|2323	177.4539	FLT3LG|2323	103.1295
FLT3|2322	375.4822	FLT3|2322	52.9217
FLT4|2324	265.3236	FLT4|2324	446.103
FLVCR1|28982	278.1826	FLVCR1|28982	56.6534
FLVCR2|55640	80.5829	FLVCR2|55640	80.0611
FLYWCH1|84256	791.2559	FLYWCH1|84256	557.3743
FLYWCH2|114984	521.2173	FLYWCH2|114984	272.7504
FMN1|342184	56.5795	FMN1|342184	164.5323
lowly_expressed	lowly_expressed	FMN2|56776	5.4279
FMNL1|752	569.6142	FMNL1|752	284.6239
FMNL2|114793	382.769	FMNL2|114793	735.8155
FMNL3|91010	1441.1444	FMNL3|91010	747.7703
FMO1|2326	49.7214	FMO1|2326	175.7272
FMO2|2327	409.7728	FMO2|2327	3809.6854
FMO3|2328	72.0103	FMO3|2328	59.7066
