gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
ACADS|35	41.816	ACADS|35	168.1129
ACADVL|37	2006.18	ACADVL|37	1931.7124
ACAN|176	65.1551	lowly_expressed	lowly_expressed
ACAP1|9744	29.6602	ACAP1|9744	88.526
ACAP2|23527	2106.3585	ACAP2|23527	1508.114
ACAP3|116983	542.2123	ACAP3|116983	240.4966
ACAT1|38	716.2202	ACAT1|38	1420.7415
ACAT2|39	593.5438	ACAT2|39	419.0913
ACBD3|64746	3147.3819	ACBD3|64746	1479.8549
ACBD4|79777	114.7508	ACBD4|79777	128.3195
ACBD5|91452	729.8347	ACBD5|91452	746.8481
ACBD6|84320	440.5265	ACBD6|84320	297.0091
ACBD7|414149	19.9355	ACBD7|414149	113.3248
ACCN1|40	9.2384	ACCN1|40	9.8042
ACCN2|41	177.4748	ACCN2|41	135.5284
ACCN3|9311	5.8348	lowly_expressed	lowly_expressed
ACCS|84680	142.9523	ACCS|84680	327.5751
ACD|65057	323.8307	ACD|65057	413.5058
lowly_expressed	lowly_expressed	ACE2|59272	48.1558
ACER2|340485	154.6219	ACER2|340485	104.0974
ACER3|55331	477.4801	ACER3|55331	359.2945
ACE|1636	393.362	ACE|1636	548.1692
ACHE|43	6.321	ACHE|43	30.566
ACIN1|22985	2178.3208	ACIN1|22985	2385.0117
ACLY|47	5824.0909	ACLY|47	2036.3865
ACMSD|130013	44.2471	lowly_expressed	lowly_expressed
ACN9|57001	126.4204	ACN9|57001	196.0837
ACO1|48	1204.8837	ACO1|48	1184.8644
ACO2|50	2114.2695	ACO2|50	1485.9739
ACOT11|26027	47.1645	ACOT11|26027	24.274
ACOT13|55856	703.4226	ACOT13|55856	568.2072
ACOT1|641371	153.1632	ACOT1|641371	237.8956
ACOT2|10965	119.6132	ACOT2|10965	164.0759
ACOT4|122970	106.4849	ACOT4|122970	63.4388
ACOT7|11332	628.6984	ACOT7|11332	164.0759
ACOT8|10005	300.2533	ACOT8|10005	201.7816
ACOT9|23597	436.6366	ACOT9|23597	512.9895
ACOX1|51	1547.1913	ACOX1|51	1500.6167
ACOX2|8309	22.8529	ACOX2|8309	195.5069
ACOX3|8310	546.5251	ACOX3|8310	323.2497
ACP1|52	1776.2067	ACP1|52	1670.1714
ACP2|53	982.6755	ACP2|53	877.186
ACP5|54	451.2236	ACP5|54	1093.7431
ACP6|51205	239.2263	ACP6|51205	193.4884
ACPL2|92370	505.1954	ACPL2|92370	417.2545
ACPP|55	52.0269	ACPP|55	21.0502
ACRBP|84519	8.2659	ACRBP|84519	27.1057
ACRC|93953	50.5682	ACRC|93953	46.714
ACR|49	7.2935	ACR|49	9.8042
lowly_expressed	lowly_expressed	ACSBG1|23205	20.1851
ACSF2|80221	355.4358	ACSF2|80221	540.0951
ACSF3|197322	185.2545	ACSF3|197322	236.7422
ACSL1|2180	1853.5176	ACSL1|2180	2312.9221
ACSL3|2181	2453.5283	ACSL3|2181	3190.3965
ACSL4|2182	787.6964	ACSL4|2182	1608.1744
ACSL5|51703	195.4654	ACSL5|51703	1107.5843
ACSL6|23305	11.6696	ACSL6|23305	6.9206
ACSM1|116285	7.7797	ACSM1|116285	29.4125
ACSM3|6296	7.1768	ACSM3|6296	105.9717
lowly_expressed	lowly_expressed	ACSM5|54988	66.6108
ACSS1|84532	75.8522	ACSS1|84532	747.4248
ACSS2|55902	565.9744	ACSS2|55902	1143.6291
ACSS3|79611	83.1457	ACSS3|79611	225.2079
ACTA1|58	25.2841	lowly_expressed	lowly_expressed
ACTA2|59	5623.8555	ACTA2|59	19258.7374
lowly_expressed	lowly_expressed	ACTBL2|345651	17.8782
ACTB|60	174631.3143	ACTB|60	93656.7656
ACTG1|71	116320.3882	ACTG1|71	68020.5571
ACTG2|72	49.1095	ACTG2|72	1646.526
ACTL6A|86	2690.3235	ACTL6A|86	870.2654
ACTN1|87	11248.0125	ACTN1|87	5845.8883
ACTN2|88	105.5124	lowly_expressed	lowly_expressed
ACTN4|81	8431.8083	ACTN4|81	6670.8671
ACTR10|55860	1399.8629	ACTR10|55860	1545.0239
ACTR1A|10121	4912.4052	ACTR1A|10121	2457.1013
ACTR1B|10120	891.7501	ACTR1B|10120	897.9478
ACTR2|10097	8706.4761	ACTR2|10097	6693.3735
ACTR3B|57180	141.0074	ACTR3B|57180	259.8109
ACTR3C|653857	12.1558	ACTR3C|653857	26.2406
ACTR3|10096	7235.6233	ACTR3|10096	4314.994
ACTR5|79913	271.8039	ACTR5|79913	237.6073
ACTR6|64431	530.9657	ACTR6|64431	785.1997
ACTR8|93973	295.6293	ACTR8|93973	443.4951
ACVR1B|91	711.8441	ACVR1B|91	933.4159
ACVR1C|130399	113.2921	ACVR1C|130399	232.7052
ACVR1|90	1134.38	ACVR1|90	1432.8525
ACVR2A|92	314.1061	ACVR2A|92	881.5114
ACVR2B|93	545.5527	ACVR2B|93	496.2647
ACVRL1|94	323.3445	ACVRL1|94	952.4475
ACY1|95	236.7951	ACY1|95	320.6545
lowly_expressed	lowly_expressed	ACY3|91703	24.5105
ACYP1|97	120.0994	ACYP1|97	72.9547
ACYP2|98	71.4762	ACYP2|98	165.2293
ADAL|161823	140.0349	ADAL|161823	134.6633
ADAM10|102	1785.9314	ADAM10|102	1903.7417
ADAM11|4185	15.0732	ADAM11|4185	11.8227
ADAM12|8038	2651.9111	lowly_expressed	lowly_expressed
ADAM15|8751	3672.5274	ADAM15|8751	2737.0972
ADAM17|6868	1438.7615	ADAM17|6868	709.9382
ADAM19|8728	1059.5003	ADAM19|8728	323.538
ADAM21|8747	13.1283	lowly_expressed	lowly_expressed
ADAM22|53616	24.7978	ADAM22|53616	51.0394
lowly_expressed	lowly_expressed	ADAM23|8745	21.9152
ADAM28|10863	51.0544	ADAM28|10863	270.4801
ADAM32|203102	7.7797	ADAM32|203102	87.0842
ADAM33|80332	27.7152	ADAM33|80332	501.7435
ADAM6|8755	1541.2203	ADAM6|8755	192160.7425
ADAM8|101	425.4533	ADAM8|101	114.7666
ADAM9|8754	3093.8963	ADAM9|8754	1932.5775
ADAMDEC1|27299	84.1182	ADAMDEC1|27299	55.3648
ADAMTS10|81794	66.6138	ADAMTS10|81794	91.1212
ADAMTS12|81792	474.0765	ADAMTS12|81792	67.1875
ADAMTS13|11093	13.6145	ADAMTS13|11093	15.283
ADAMTS14|140766	60.779	ADAMTS14|140766	7.7857
ADAMTS15|170689	16.5319	ADAMTS15|170689	36.9099
ADAMTS16|170690	57.3754	ADAMTS16|170690	12.111
ADAMTS17|170691	55.9167	ADAMTS17|170691	19.8967
lowly_expressed	lowly_expressed	ADAMTS18|170692	28.2591
ADAMTS1|9510	992.4002	ADAMTS1|9510	3790.7585
ADAMTS2|9509	585.4237	lowly_expressed	lowly_expressed
ADAMTS3|9508	52.0269	ADAMTS3|9508	205.8878
ADAMTS4|9507	2779.7902	ADAMTS4|9507	139.2771
ADAMTS5|11096	268.4002	ADAMTS5|11096	1579.3385
ADAMTS6|11174	75.366	ADAMTS6|11174	47.8675
ADAMTS7|11173	253.327	ADAMTS7|11173	48.7326
lowly_expressed	lowly_expressed	ADAMTS8|11095	35.1797
ADAMTS9|56999	154.1356	ADAMTS9|56999	1223.7927
ADAMTSL1|92949	143.9248	ADAMTSL1|92949	224.6311
ADAMTSL2|9719	57.3754	ADAMTSL2|9719	30.2776
ADAMTSL3|57188	133.7139	ADAMTSL3|57188	239.9141
ADAMTSL4|54507	183.3096	ADAMTSL4|54507	478.6748
ADAMTSL5|339366	17.5044	ADAMTSL5|339366	31.1427
ADAP1|11033	179.5218	ADAP1|11033	58.6059
ADAP2|55803	221.2357	ADAP2|55803	643.6158
ADARB1|104	542.6353	ADARB1|104	765.8797
ADAR|103	19896.627	ADAR|103	8298.0875
ADAT1|23536	209.5661	ADAT1|23536	172.7266
ADAT2|134637	177.961	ADAT2|134637	197.8138
ADAT3|113179	24.7978	ADAT3|113179	12.111
ADA|100	198.869	ADA|100	165.5177
ADCK1|57143	101.6226	ADCK1|57143	192.335
ADCK2|90956	447.82	ADCK2|90956	598.0552
ADCK4|79934	454.6272	ADCK4|79934	309.6968
ADCK5|203054	63.2102	ADCK5|203054	29.7009
ADCY1|107	629.1846	ADCY1|107	125.4359
ADCY2|108	48.6232	ADCY2|108	171.8616
ADCY3|109	709.2379	ADCY3|109	1460.5695
ADCY4|196883	30.1464	ADCY4|196883	640.1555
lowly_expressed	lowly_expressed	ADCY5|111	147.0627
ADCY6|112	960.3089	ADCY6|112	1004.352
ADCY7|113	621.4049	ADCY7|113	698.6922
lowly_expressed	lowly_expressed	ADCY8|114	8.3624
ADCY9|115	686.5601	ADCY9|115	658.0337
lowly_expressed	lowly_expressed	ADCYAP1R1|117	16.7248
ADCYAP1|116	5.8348	ADCYAP1|116	157.732
ADC|113451	193.5205	ADC|113451	93.4281
ADD1|118	4331.8438	ADD1|118	5723.9128
ADD2|119	191.0893	ADD2|119	112.4597
ADD3|120	3252.4081	ADD3|120	3446.7471
lowly_expressed	lowly_expressed	ADH1A|124	46.4257
lowly_expressed	lowly_expressed	ADH1B|125	8406.7986
lowly_expressed	lowly_expressed	ADH1C|126	360.4479
lowly_expressed	lowly_expressed	ADH4|127	32.5845
ADH5|128	2483.6747	ADH5|128	3633.6033
ADHFE1|137872	16.5319	ADHFE1|137872	106.1159
ADI1|55256	611.194	ADI1|55256	1744.8562
lowly_expressed	lowly_expressed	ADIPOQ|9370	2662.7008
ADIPOR1|51094	4096.0212	ADIPOR1|51094	2605.0291
ADIPOR2|79602	3918.0601	ADIPOR2|79602	2198.7322
ADK|132	1942.0119	ADK|132	330.1703
ADM2|79924	274.235	ADM2|79924	72.3779
ADM|133	1220.4432	ADM|133	427.9238
ADNP2|22850	979.2719	ADNP2|22850	693.5018
ADNP|23394	4717.9123	ADNP|23394	2894.2525
ADORA1|134	44.7334	ADORA1|134	248.8532
ADORA2A|135	2530.392	ADORA2A|135	76.1266
ADORA2B|136	137.6037	ADORA2B|136	59.9785
ADORA3|140	97.7327	ADORA3|140	253.1786
ADO|84890	580.5614	ADO|84890	924.1884
ADPGK|83440	750.592	ADPGK|83440	1134.6698
ADPRHL1|113622	110.3747	ADPRHL1|113622	59.4018
ADPRHL2|54936	1089.6467	ADPRHL2|54936	424.4635
ADPRH|141	261.1068	ADPRH|141	540.6719
lowly_expressed	lowly_expressed	ADRA1A|148	21.6269
ADRA1B|147	38.8986	ADRA1B|147	6.9206
ADRA1D|146	8.7522	ADRA1D|146	14.1296
ADRA2A|150	220.2632	ADRA2A|150	808.8451
ADRA2B|151	23.8254	ADRA2B|151	15.5713
ADRA2C|152	31.6051	ADRA2C|152	65.169
lowly_expressed	lowly_expressed	ADRB1|153	22.7803
ADRB2|154	14.1007	ADRB2|154	456.1829
ADRBK1|156	1380.8998	ADRBK1|156	1195.822
ADRBK2|157	678.2941	ADRBK2|157	845.4666
ADRM1|11047	1030.3263	ADRM1|11047	527.4074
ADSL|158	980.2444	ADSL|158	950.1407
ADSSL1|122622	142.4661	ADSSL1|122622	68.0526
ADSS|159	2982.5491	ADSS|159	1538.68
AEBP1|165	15156.8342	AEBP1|165	6346.19
AEBP2|121536	638.9093	AEBP2|121536	1065.1957
AEN|64782	298.0604	AEN|64782	380.633
AES|166	4297.8076	AES|166	5313.2905
AFAP1L1|134265	192.0618	AFAP1L1|134265	614.78
AFAP1L2|84632	196.4379	AFAP1L2|84632	1060.5819
AFAP1|60312	1130.4902	AFAP1|60312	1445.8258
AFARP1|246182	6.321	lowly_expressed	lowly_expressed
AFF1|4299	2476.8675	AFF1|4299	2421.9216
AFF2|2334	25.2841	AFF2|2334	91.1212
AFF3|3899	645.2303	AFF3|3899	1034.3413
AFF4|27125	4660.5369	AFF4|27125	2695.2853
AFG3L1|172	207.6212	AFG3L1|172	201.2741
AFG3L2|10939	1514.3463	AFG3L2|10939	1264.9328
AFMID|125061	774.5681	AFMID|125061	502.6086
AFTPH|54812	1695.0059	AFTPH|54812	1715.4437
AG2|387763	225.1256	AG2|387763	532.0211
AGAP11|119385	190.6079	AGAP11|119385	91.6979
AGAP1|116987	555.7636	AGAP1|116987	488.479
AGAP2|116986	21.2143	AGAP2|116986	58.0581
AGAP3|116988	559.1672	AGAP3|116988	771.6469
AGAP4|119016	275.6937	AGAP4|119016	153.9833
AGAP5|729092	179.4538	AGAP5|729092	35.2086
AGAP6|414189	154.6219	AGAP6|414189	93.1397
AGAP7|653268	9.2384	AGAP7|653268	6.9206
AGAP8|728404	98.7052	AGAP8|728404	49.886
AGA|175	583.965	AGA|175	488.7674
AGBL2|79841	10.2109	AGBL2|79841	7.7857
AGBL3|340351	7.2935	AGBL3|340351	6.0555
AGBL4|84871	21.8805	AGBL4|84871	6.0555
AGBL5|60509	890.306	AGBL5|60509	747.7276
AGER|177	19.4493	AGER|177	35.7564
AGFG1|3267	2490.482	AGFG1|3267	1933.4426
AGFG2|3268	149.2733	AGFG2|3268	607.2826
AGGF1|55109	763.871	AGGF1|55109	1037.2249
AGK|55750	400.1692	AGK|55750	616.5101
AGL|178	14034.1238	AGL|178	798.7526
AGMAT|79814	10.6971	AGMAT|79814	17.3015
AGPAT1|10554	2675.1579	AGPAT1|10554	2068.7547
AGPAT2|10555	296.1155	AGPAT2|10555	279.1309
AGPAT3|56894	2932.9534	AGPAT3|56894	1485.0454
AGPAT4|56895	339.8764	AGPAT4|56895	301.3345
AGPAT5|55326	1587.0623	AGPAT5|55326	854.4057
AGPAT6|137964	2742.3503	AGPAT6|137964	1577.0317
AGPAT9|84803	146.3559	AGPAT9|84803	254.0437
AGPHD1|123688	28.6877	AGPHD1|123688	52.1929
AGPS|8540	1285.1121	AGPS|8540	1233.0202
AGR2|10551	1521.421	AGR2|10551	373.7124
AGR3|155465	336.959	AGR3|155465	135.2401
AGRN|375790	4789.8747	AGRN|375790	1382.1015
AGTPBP1|23287	512.9751	AGTPBP1|23287	568.931
AGTR1|185	55.4305	AGTR1|185	438.8814
lowly_expressed	lowly_expressed	AGTR2|186	16.7248
AGTRAP|57085	865.9798	AGTRAP|57085	657.1686
AGT|183	464.8381	AGT|183	52.1929
AGXT2L2|85007	277.1767	AGXT2L2|85007	385.8263
AHCTF1|25909	3630.6968	AHCTF1|25909	1406.6119
AHCYL1|10768	3326.3154	AHCYL1|10768	3465.202
