gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
CYP2R1|120227	307.3639	CYP2R1|120227	240.955
CYP2S1|29785	64.4222	CYP2S1|29785	46.0251
CYP2U1|113612	180.4599	CYP2U1|113612	556.7315
CYP39A1|51302	53.5558	CYP39A1|51302	232.5868
lowly_expressed	lowly_expressed	CYP3A4|1576	13.0445
lowly_expressed	lowly_expressed	CYP3A5|1577	24.8585
CYP46A1|10858	11.6426	CYP46A1|10858	23.874000000000002
CYP4B1|1580	341.9036	CYP4B1|1580	347.2803
CYP4F11|57834	114.0972	CYP4F11|57834	78.2673
lowly_expressed	lowly_expressed	CYP4F12|66002	50.2092
CYP4F22|126410	127.6802	CYP4F22|126410	26.5813
CYP4V2|285440	329.4848	CYP4V2|285440	1283.0421
CYP4X1|260293	2039.0026	CYP4X1|260293	4777.7504
CYP4Z1|199974	274.7647	CYP4Z1|199974	5328.3288
CYP4Z2P|163720	231.2991	CYP4Z2P|163720	396.9973
CYP51A1|1595	1116.9108	CYP51A1|1595	1562.3923
CYP7B1|9420	42.3013	CYP7B1|9420	410.7802
CYP8B1|1582	33.7635	CYP8B1|1582	7.6298
CYR61|3491	4776.5596	CYR61|3491	18462.9584
CYS1|192668	182.7884	CYS1|192668	204.2825
CYSLTR1|10800	348.8891	CYSLTR1|10800	238.7398
lowly_expressed	lowly_expressed	CYSLTR2|57105	32.2422
CYTH1|9267	466.091	CYTH1|9267	840.2658
CYTH2|9266	1424.6629	CYTH2|9266	1023.8739999999999
CYTH3|9265	991.171	CYTH3|9265	1047.9941
CYTH4|27128	216.5519	CYTH4|27128	314.2998
CYTIP|9595	58.601000000000006	CYTIP|9595	177.209
CYTL1|54360	24.0613	CYTL1|54360	104.8486
CYTSA|23384	2106.5295	CYTSA|23384	2038.3953
CYTSB|92521	501.0187	CYTSB|92521	342.3579
CYYR1|116159	109.0521	CYYR1|116159	1366.4779999999998
D2HGDH|728294	584.4572	D2HGDH|728294	141.7672
lowly_expressed	lowly_expressed	D4S234E|27065	252.0305
DAAM1|23002	1045.8911	DAAM1|23002	1438.346
DAAM2|23500	676.8604	DAAM2|23500	975.1268
DAB1|1600	9.7021	lowly_expressed	lowly_expressed
DAB2IP|153090	1191.8114	DAB2IP|153090	1630.8147
DAB2|1601	1444.8433	DAB2|1601	3612.6015
DACH1|1602	16.2996	DACH1|1602	271.2282
DACT1|51339	422.6254	DACT1|51339	217.081
lowly_expressed	lowly_expressed	DACT2|168002	33.9651
DACT3|147906	176.1909	DACT3|147906	94.2653
DAD1|1603	2855.5351	DAD1|1603	1972.1879999999999
DAG1|1605	4438.5369	DAG1|1605	4294.6099
DAGLA|747	29.8826	DAGLA|747	184.8388
DAGLB|221955	598.4283	DAGLB|221955	270.2437
DAK|26007	1199.5731	DAK|26007	466.6503
DALRD3|55152	1268.8542	DALRD3|55152	530.4307
DAND5|199699	13.1949	lowly_expressed	lowly_expressed
DAP3|7818	2512.8553	DAP3|7818	1818.8531
DAPK1|1612	322.1112	DAPK1|1612	942.1610000000001
DAPK2|23604	211.8948	DAPK2|23604	423.3325
DAPK3|1613	700.1067	DAPK3|1613	330.7901
DAPL1|92196	8.1498	DAPL1|92196	6.3992
DAPP1|27071	70.6316	DAPP1|27071	321.4374
DAP|1611	4919.7633	DAP|1611	2975.3876
DARC|2532	263.1221	DARC|2532	2407.0884
DARS2|55157	988.0664	DARS2|55157	564.6074
DARS|1615	1713.3987	DARS|1615	2374.6
DAXX|1616	1474.3378	DAXX|1616	976.8644
DAZAP1|26528	1348.9861	DAZAP1|26528	863.1553
DAZAP2|9802	7391.0934	DAZAP2|9802	7085.4049
lowly_expressed	lowly_expressed	DBC1|1620	270.982
DBF4B|80174	46.9584	DBF4B|80174	82.4514
DBF4|10926	150.5773	DBF4|10926	246.6158
DBI|1622	1908.6058	DBI|1622	2288.4568
DBN1|1627	1958.6689	DBN1|1627	987.6938
DBNDD1|79007	434.6561	DBNDD1|79007	260.1526
DBNDD2|55861	688.7707	DBNDD2|55861	736.9259
DBNL|28988	2385.5632	DBNL|28988	1067.1917
DBP|1628	303.6888	DBP|1628	300.2658
DBR1|51163	507.6162	DBR1|51163	435.6387
DBT|1629	626.3704	DBT|1629	1110.2634
lowly_expressed	lowly_expressed	DBX2|440097	20.1821
DCAF10|79269	3261.4728	DCAF10|79269	1508.9835
DCAF11|80344	2390.2202	DCAF11|80344	1660.3347
lowly_expressed	lowly_expressed	DCAF12L2|340578	6.8915
DCAF12|25853	2092.1704	DCAF12|25853	1571.745
DCAF13|25879	1148.0702	DCAF13|25879	722.065
DCAF15|90379	501.0187	DCAF15|90379	227.6643
DCAF16|54876	361.6959	DCAF16|54876	1308.3928
DCAF17|80067	428.0586	DCAF17|80067	732.9559
DCAF4L1|285429	7.3736	DCAF4L1|285429	9.1066
DCAF4|26094	330.26099999999997	DCAF4|26094	290.1797
DCAF5|8816	2352.964	DCAF5|8816	1734.4327
DCAF6|55827	3306.4907	DCAF6|55827	2689.6382
DCAF7|10238	4414.4756	DCAF7|10238	2435.8848
DCAF8|50717	5288.2429	DCAF8|50717	2463.0347
DCAKD|79877	281.3622	DCAKD|79877	815.4073
DCBLD1|285761	287.5716	DCBLD1|285761	247.6126
DCBLD2|131566	892.9853	DCBLD2|131566	1615.555
lowly_expressed	lowly_expressed	DCC|1630	11.3217
DCDC1|341019	13.909	DCDC1|341019	6.5493
DCDC2|51473	7.4629	DCDC2|51473	1688.474
DCD|117159	12.8068	lowly_expressed	lowly_expressed
DCHS1|8642	939.1676	DCHS1|8642	1163.4260000000002
DCHS2|54798	14.7473	DCHS2|54798	97.7111
DCI|1632	745.1247	DCI|1632	291.1642
DCK|1633	365.5768	DCK|1633	542.7024
DCLK1|9201	347.3368	DCLK1|9201	1990.1551
DCLK2|166614	172.3101	DCLK2|166614	121.3389
DCLK3|85443	11.2545	DCLK3|85443	7.876
DCLRE1A|9937	692.7331	DCLRE1A|9937	489.0475
DCLRE1B|64858	331.4252	DCLRE1B|64858	266.7979
DCLRE1C|64421	277.4813	DCLRE1C|64421	361.8016
DCN|1634	16793.2473	DCN|1634	83458.7743
DCP1A|55802	714.4659	DCP1A|55802	1416.9333
DCP1B|196513	567.7695	DCP1B|196513	399.7047
DCP2|167227	585.2333	DCP2|167227	1389.3675
DCPS|28960	310.8567	DCPS|28960	178.4396
DCST1|149095	5.7126	lowly_expressed	lowly_expressed
DCST2|127579	84.2146	DCST2|127579	26.5813
DCTD|1635	712.5255	DCTD|1635	1496.6773
DCTN1|1639	3744.3213	DCTN1|1639	2737.5314
DCTN2|10540	2324.6337	DCTN2|10540	1992.8624
DCTN3|11258	958.9599	DCTN3|11258	627.3689
DCTN4|51164	1303.192	DCTN4|51164	2297.3173
DCTN5|84516	1309.0133	DCTN5|84516	1198.6217
DCTN6|10671	677.2097	DCTN6|10671	732.4637
DCTPP1|79077	1004.7502	DCTPP1|79077	470.3421
DCUN1D1|54165	758.7077	DCUN1D1|54165	878.6611
DCUN1D2|55208	532.8418	DCUN1D2|55208	252.7689
DCUN1D3|123879	175.0267	DCUN1D3|123879	382.476
DCUN1D4|23142	712.1374	DCUN1D4|23142	1414.2259
DCUN1D5|84259	577.4716	DCUN1D5|84259	310.3618
DCXR|51181	688.0761	DCXR|51181	391.3365
lowly_expressed	lowly_expressed	DCX|1641	53.1627
DDA1|79016	394.6832	DDA1|79016	517.3517
DDAH1|23576	667.1194	DDAH1|23576	1100.9107
DDAH2|23564	1482.4876	DDAH2|23564	882.3529
DDB1|1642	7370.5249	DDB1|1642	5300.2707
DDB2|1643	579.024	DDB2|1643	566.0842
DDHD1|80821	197.1476	DDHD1|80821	505.2917
DDHD2|23259	1153.779	DDHD2|23259	1736.8939
DDI2|84301	537.5454	DDI2|84301	220.0837
DDIT3|1649	234.6832	DDIT3|1649	250.1403
DDIT4L|115265	16.2996	DDIT4L|115265	88.8506
DDIT4|54541	4810.3231	DDIT4|54541	990.4012
DDN|23109	6.9855	lowly_expressed	lowly_expressed
DDOST|1650	7819.5401	DDOST|1650	3683.4851
DDO|8528	36.4801	DDO|8528	94.0192
DDR1|780	10436.0144	DDR1|780	3703.175
DDR2|4921	380.7121	DDR2|4921	1217.3271
DDRGK1|65992	688.8522	DDRGK1|65992	318.2378
DDTL|100037417	195.5254	DDTL|100037417	65.8011
DDT|1652	701.7561	DDT|1652	358.3214
DDX10|1662	563.5005	DDX10|1662	594.8806
DDX11L2|84771	19.4043	DDX11L2|84771	22.1511
DDX11|1663	725.7204	DDX11|1663	272.4588
DDX12|440081	64.4222	DDX12|440081	40.6104
DDX17|10521	9713.0106	DDX17|10521	15132.1683
DDX18|8886	1928.3982	DDX18|8886	2439.5767
DDX19A|55308	747.3096	DDX19A|55308	915.3335
DDX19B|11269	499.9903	DDX19B|11269	622.6852
DDX1|1653	3479.1889	DDX1|1653	2998.031
DDX20|11218	499.4664	DDX20|11218	571.9911
DDX21|9188	2484.5251	DDX21|9188	2713.7583
DDX23|9416	2942.8544	DDX23|9416	1590.2043
DDX24|57062	3706.9952	DDX24|57062	2973.6648
lowly_expressed	lowly_expressed	DDX25|29118	8.3682
DDX26B|203522	125.7398	DDX26B|203522	354.1718
DDX27|55661	1378.8687	DDX27|55661	766.4287
DDX28|55794	124.9636	DDX28|55794	224.7108
DDX31|64794	374.1147	DDX31|64794	334.728
DDX39|10212	740.0796	DDX39|10212	329.5594
DDX3X|1654	9241.4864	DDX3X|1654	14911.6416
DDX41|51428	1062.9669	DDX41|51428	587.743
DDX42|11325	4313.1852	DDX42|11325	3348.0187
lowly_expressed	lowly_expressed	DDX43|55510	14.5213
DDX46|9879	2011.4485	DDX46|9879	1878.6611
DDX47|51202	840.5938	DDX47|51202	1088.8506
DDX49|54555	659.7458	DDX49|54555	332.0207
DDX50|79009	1242.2625	DDX50|79009	1270.4898
DDX51|317781	345.3963	DDX51|317781	297.3173
DDX52|11056	451.7318	DDX52|11056	717.6963
DDX54|79039	1102.4236	DDX54|79039	567.5757
DDX55|57696	507.2281	DDX55|57696	357.3714
DDX56|54606	1447.9479999999999	DDX56|54606	769.1361
DDX58|23586	1251.9647	DDX58|23586	1026.5813
DDX59|83479	702.4352	DDX59|83479	625.6461
DDX5|1655	12974.4834	DDX5|1655	19135.6141
DDX60L|91351	126.516	DDX60L|91351	487.8169
DDX60|55601	358.2032	DDX60|55601	1033.9651
DDX6|1656	4880.9547	DDX6|1656	5387.3985
DEAF1|10522	392.7428	DEAF1|10522	349.7416
DECR1|1666	664.4028	DECR1|1666	1155.5501
DECR2|26063	553.0222	DECR2|26063	205.7593
DEDD2|162989	532.0656	DEDD2|162989	276.1506
DEDD|9191	2026.6304	DEDD|9191	867.1056
DEF6|50619	245.6583	DEF6|50619	176.4706
DEF8|54849	466.8672	DEF8|54849	572.4834
DEFB132|400830	11.6426	DEFB132|400830	87.62
DEFB1|1672	6.5975	DEFB1|1672	506.5223
DEGS1|8560	2033.1813	DEGS1|8560	2174.9938
DEGS2|123099	1646.2598	DEGS2|123099	209.9434
DEK|7913	2873.387	DEK|7913	4010.0911
DEM1|64789	286.7954	DEM1|64789	174.2555
DENND1A|57706	865.0432	DENND1A|57706	475.0185
DENND1B|163486	264.2864	DENND1B|163486	205.5132
DENND1C|79958	152.9058	DENND1C|79958	77.775
DENND2A|27147	76.4529	DENND2A|27147	305.6855
DENND2C|163259	49.0424	DENND2C|163259	126.473
DENND2D|79961	1058.698	DENND2D|79961	523.5048
DENND3|22898	259.6294	DENND3|22898	387.3985
DENND4A|10260	665.9552	DENND4A|10260	837.8587
DENND4B|9909	782.0006	DENND4B|9909	699.9582
DENND4C|55667	2221.4029	DENND4C|55667	2705.8824
DENND5A|23258	1663.7237	DENND5A|23258	2502.0921
DENND5B|160518	142.8156	DENND5B|160518	648.0433
DENR|8562	1774.3281	DENR|8562	1745.016
DEPDC1B|55789	87.7074	DEPDC1B|55789	59.808
DEPDC1|55635	168.8173	DEPDC1|55635	112.2323
DEPDC4|120863	12.4187	DEPDC4|120863	13.2907
DEPDC5|9681	547.589	DEPDC5|9681	300.763
DEPDC6|64798	605.8019	DEPDC6|64798	827.2213
DEPDC7|91614	46.1822	DEPDC7|91614	28.7965
DERA|51071	464.5387	DERA|51071	528.9195
DERL1|79139	3224.2166	DERL1|79139	2144.7206
DERL2|51009	464.9267	DERL2|51009	544.4253
DERL3|91319	203.3569	DERL3|91319	115.9242
DES|1674	6.5975	DES|1674	31.0116
DET1|55070	167.6531	DET1|55070	167.1179
DEXI|28955	468.4195	DEXI|28955	354.4179
DFFA|1676	355.4866	DFFA|1676	411.5186
DFFB|1677	131.9492	DFFB|1677	119.3699
DFNA5|1687	183.9527	DFNA5|1687	424.8093
DFNB31|25861	363.2483	DFNB31|25861	228.8949
DFNB59|494513	16.2996	DFNB59|494513	47.748000000000005
DGAT1|8694	611.0409999999999	DGAT1|8694	721.5112
DGAT2|84649	90.0359	DGAT2|84649	5208.9589
DGCR11|25786	32.2111	DGCR11|25786	25.5968
DGCR14|8220	374.5028	DGCR14|8220	175.7322
DGCR2|9993	3069.7584	DGCR2|9993	2025.8429999999998
DGCR5|26220	6.5975	DGCR5|26220	24.3662
DGCR6L|85359	743.9604	DGCR6L|85359	270.7359
DGCR6|8214	555.7388	DGCR6|8214	207.4822
DGCR8|54487	609.6827	DGCR8|54487	715.4812
DGCR9|25787	10.4783	DGCR9|25787	21.4127
DGKA|1606	393.1309	DGKA|1606	458.0359
lowly_expressed	lowly_expressed	DGKB|1607	5.907
DGKD|8527	2262.54	DGKD|8527	1200.0984
DGKE|8526	55.4963	DGKE|8526	310.85400000000004
DGKG|1608	7.3736	DGKG|1608	15.998
DGKH|160851	110.2164	DGKH|160851	126.2614
DGKI|9162	17.0758	DGKI|9162	19.6899
DGKQ|1609	312.7971	DGKQ|1609	145.7051
DGKZ|8525	408.6543	DGKZ|8525	375.5845
DGUOK|1716	744.7366	DGUOK|1716	551.809
DHCR24|1718	5019.8894	DHCR24|1718	10284.2727
DHCR7|1717	1139.4198	DHCR7|1717	624.4155
DHDDS|79947	610.847	DHDDS|79947	910.4110000000001
DHDH|27294	34.1515	lowly_expressed	lowly_expressed
DHDPSL|112817	30.3328	DHDPSL|112817	41.7278
DHFRL1|200895	381.1002	DHFRL1|200895	417.4255
DHFR|1719	231.4311	DHFR|1719	282.284
DHODH|1723	91.9763	DHODH|1723	102.1413
DHPS|1725	543.7082	DHPS|1725	437.3616
DHRS11|79154	65.9746	DHRS11|79154	187.3
DHRS12|79758	100.5142	DHRS12|79758	266.5518
DHRS13|147015	2233.9342	DHRS13|147015	215.8824
DHRS1|115817	280.9741	DHRS1|115817	451.6367
DHRS2|10202	144.756	DHRS2|10202	27.811999999999998
DHRS3|9249	195.5952	DHRS3|9249	1245.6313
DHRS4L1|728635	44.2418	DHRS4L1|728635	9.1066
DHRS4L2|317749	328.6	DHRS4L2|317749	205.7396
DHRS4|10901	693.0164	DHRS4|10901	368.1344
DHRS7B|25979	286.4073	DHRS7B|25979	461.2355
DHRS7|51635	572.4265	DHRS7|51635	1176.7167
DHRS9|10170	19.4043	DHRS9|10170	77.2828
DHRSX|207063	340.3512	DHRSX|207063	268.2747
DHTKD1|55526	2268.7494	DHTKD1|55526	1206.7438
DHX15|1665	4712.1374	DHX15|1665	3284.2727
DHX16|8449	1291.1613	DHX16|8449	661.0879
DHX29|54505	1524.0128	DHX29|54505	1327.8366
DHX30|22907	1497.2349	DHX30|22907	1077.2828
DHX32|55760	1361.9754	DHX32|55760	1206.3377
DHX33|56919	273.2124	DHX33|56919	457.0514
DHX34|9704	598.0402	DHX34|9704	245.3852
DHX35|60625	371.7862	DHX35|60625	294.856
DHX36|170506	1177.8403	DHX36|170506	1423.0864
DHX37|57647	464.9267	DHX37|57647	255.7224
DHX38|9785	749.7817	DHX38|9785	780.95
DHX40|79665	2748.0353	DHX40|79665	2053.6549
DHX57|90957	984.5736	DHX57|90957	755.1071
DHX58|79132	143.9798	DHX58|79132	251.046
DHX8|1659	848.7436	DHX8|1659	1146.6896
DHX9|1660	6995.2459	DHX9|1660	5167.1179
DIABLO|56616	798.3157	DIABLO|56616	638.4445
DIAPH1|1729	2604.4436	DIAPH1|1729	2983.0175
DIAPH2|1730	235.5681	DIAPH2|1730	540.9796
DIAPH3|81624	90.42399999999999	DIAPH3|81624	161.4571
DICER1|23405	3612.6904	DICER1|23405	3370.1698
DIDO1|11083	2040.555	DIDO1|11083	1714.4967
DIMT1L|27292	236.3442	DIMT1L|27292	614.8166
DIO1|1733	182.7884	DIO1|1733	14.2752
DIO2|1734	344.6202	DIO2|1734	374.6
lowly_expressed	lowly_expressed	DIO3|1735	26.0891
DIP2A|23181	1191.8114	DIP2A|23181	912.38
DIP2B|57609	4527.4086	DIP2B|57609	2920.9943
DIP2C|22982	1062.1907	DIP2C|22982	1307.9006
DIRAS1|148252	67.5269	DIRAS1|148252	121.0928
lowly_expressed	lowly_expressed	DIRAS2|54769	8.8604
DIRAS3|9077	6.2094	DIRAS3|9077	134.6296
DIRC2|84925	368.9027	DIRC2|84925	446.6872
DIRC3|729582	17.4639	DIRC3|729582	38.3953
DIS3L2|129563	447.851	DIS3L2|129563	372.8772
DIS3L|115752	560.0078	DIS3L|115752	900.8122
DIS3|22894	782.2955	DIS3|22894	1724.8782
DISC1|27185	78.696	DISC1|27185	244.1053
DISP1|84976	182.0122	DISP1|84976	357.1253
DISP2|85455	107.8878	DISP2|85455	28.0581
DIXDC1|85458	853.4006	DIXDC1|85458	2499.3847
DKC1|1736	1297.3707	DKC1|1736	1204.0364
DKFZP586I1420|222161	228.9706	DKFZP586I1420|222161	380.7531
DKFZP686I15217|401232	110.6044	DKFZP686I15217|401232	68.9146
DKFZp686O24166|374383	33.3754	DKFZp686O24166|374383	32.7344
DKFZp761E198|91056	242.5536	DKFZp761E198|91056	274.1816
lowly_expressed	lowly_expressed	DKK1|22943	128.9687
DKK2|27123	119.9185	DKK2|27123	285.9956
DKK3|27122	2879.2083	DKK3|27122	2669.9483
DKK4|27121	17.4639	lowly_expressed	lowly_expressed
DKKL1|27120	19.4043	lowly_expressed	lowly_expressed
DLAT|1737	1084.6997	DLAT|1737	1279.5964
DLC1|10395	637.2368	DLC1|10395	2877.6766
DLD|1738	906.5684	DLD|1738	2338.666
DLEC1|9940	19.0162	DLEC1|9940	41.841
DLEU1|10301	49.675	DLEU1|10301	54.3416
lowly_expressed	lowly_expressed	DLEU2L|79469	13.7829
DLEU2|8847	26.7546	DLEU2|8847	43.6968
DLEU7|220107	6.9855	DLEU7|220107	5.907
DLG1|1739	1984.6706	DLG1|1739	2265.3212
DLG2|1740	70.6316	DLG2|1740	81.2208
DLG3|1741	1902.0083	DLG3|1741	1223.4802
DLG4|1742	195.6146	DLG4|1742	202.5646
DLG5|9231	2338.2167	DLG5|9231	2369.9237
lowly_expressed	lowly_expressed	DLGAP1|9229	44.7945
DLGAP2|9228	5.0451	DLGAP2|9228	11.8139
DLGAP3|58512	5.4332	lowly_expressed	lowly_expressed
DLGAP4|22839	2417.7743	DLGAP4|22839	1494.9545
DLGAP5|9787	378.3836	DLGAP5|9787	148.1664
DLK1|8788	615.8921	DLK1|8788	266.3057
lowly_expressed	lowly_expressed	DLK2|65989	97.9572
DLL1|28514	53.5558	DLL1|28514	220.0345
DLL4|54567	355.0985	DLL4|54567	262.86
DLST|1743	2006.4034	DLST|1743	2502.0921
DLX1|1745	152.9058	lowly_expressed	lowly_expressed
DLX2|1746	134.6658	lowly_expressed	lowly_expressed
DLX3|1747	30.2707	DLX3|1747	27.3197
DLX4|1748	8.1498	lowly_expressed	lowly_expressed
DLX5|1749	17.0758	lowly_expressed	lowly_expressed
DMAP1|55929	1048.6077	DMAP1|55929	504.061
lowly_expressed	lowly_expressed	DMBT1|1755	10.0911
DMBX1|127343	10.8664	lowly_expressed	lowly_expressed
DMC1|11144	19.7924	DMC1|11144	25.843000000000004
DMD|1756	147.8607	DMD|1756	2470.8344
DMGDH|29958	31.4349	DMGDH|29958	145.2129
DMKN|93099	206.4616	DMKN|93099	319.2222
DMPK|1760	601.5329	DMPK|1760	260.3987
DMRT1|1761	6.2094	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DMRT2|10655	133.1528
DMRT3|58524	31.0469	DMRT3|58524	50.7015
DMRTA1|63951	162.996	DMRTA1|63951	52.1782
DMRTA2|63950	6.9855	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DMRTC1B|728656	22.3972
DMRTC2|63946	43.0775	lowly_expressed	lowly_expressed
DMTF1|9988	506.0988	DMTF1|9988	1232.0945
DMWD|1762	461.8221	DMWD|1762	285.5033
DMXL1|1657	1034.2486	DMXL1|1657	2090.3273
DMXL2|23312	221.2089	DMXL2|23312	815.8996
DNA2|1763	363.6364	DNA2|1763	220.5267
DNAH10|196385	19.7924	DNAH10|196385	27.811999999999998
DNAH11|8701	1791.8036	lowly_expressed	lowly_expressed
DNAH12|201625	24.8375	DNAH12|201625	37.6569
DNAH14|127602	160.6675	DNAH14|127602	94.2653
DNAH17|8632	7.3736	DNAH17|8632	26.0891
DNAH1|25981	156.0105	DNAH1|25981	281.0731
DNAH2|146754	260.0175	DNAH2|146754	91.0657
DNAH3|55567	105.9474	DNAH3|55567	20.9205
DNAH5|1767	2724.3621	DNAH5|1767	809.9926
DNAH6|1768	71.4078	DNAH6|1768	121.8312
DNAH7|56171	219.6565	DNAH7|56171	195.6682
lowly_expressed	lowly_expressed	DNAH9|1770	39.6259
DNAI1|27019	231.6872	DNAI1|27019	14.029000000000002
DNAJA1|3301	5177.8403	DNAJA1|3301	2632.2914
DNAJA2|10294	1345.8814	DNAJA2|10294	1816.3918
DNAJA3|9093	1241.4864	DNAJA3|9093	679.0549
DNAJA4|55466	2380.5181	DNAJA4|55466	851.3414
DNAJB11|51726	1355.9717	DNAJB11|51726	837.8046
DNAJB12|54788	1131.6581	DNAJB12|54788	896.1359
DNAJB14|79982	310.0805	DNAJB14|79982	631.7992
DNAJB1|3337	3085.6699	DNAJB1|3337	3079.9902
DNAJB2|3300	1661.7833	DNAJB2|3300	861.9247
DNAJB4|11080	220.4327	DNAJB4|11080	1336.4509
DNAJB5|25822	172.6982	DNAJB5|25822	214.1275
DNAJB6|10049	761.0362	DNAJB6|10049	1478.7103
lowly_expressed	lowly_expressed	DNAJB7|150353	5.2966
DNAJB9|4189	418.3565	DNAJB9|4189	1079.744
DNAJC10|54431	3476.4723	DNAJC10|54431	3871.0313
DNAJC11|55735	1586.4286	DNAJC11|55735	810.1723
DNAJC12|56521	123.7994	DNAJC12|56521	195.176
DNAJC13|23317	3187.7365	DNAJC13|23317	2391.8287
DNAJC14|85406	1952.1995	DNAJC14|85406	1082.5769
DNAJC15|29103	462.5982	DNAJC15|29103	842.2348
DNAJC16|23341	2365.3827	DNAJC16|23341	1060.0541
DNAJC17|55192	622.8777	DNAJC17|55192	151.366
DNAJC18|202052	59.3771	DNAJC18|202052	320.2067
DNAJC19|131118	594.9355	DNAJC19|131118	473.0495
DNAJC1|64215	1280.2949	DNAJC1|64215	493.7238
DNAJC21|134218	1369.9428	DNAJC21|134218	1317.0071
DNAJC22|79962	527.4086	DNAJC22|79962	126.7536
DNAJC24|120526	261.4728	DNAJC24|120526	425.2941
DNAJC25|548645	201.8046	DNAJC25|548645	288.2107
DNAJC27|51277	224.3136	DNAJC27|51277	322.9141
DNAJC28|54943	57.0486	DNAJC28|54943	45.5329
DNAJC2|27000	450.2493	DNAJC2|27000	593.5983
DNAJC30|84277	195.5952	DNAJC30|84277	257.4452
DNAJC3|5611	1366.45	DNAJC3|5611	3244.8929
DNAJC4|3338	329.3606	DNAJC4|3338	324.664
DNAJC5B|85479	17.0758	lowly_expressed	lowly_expressed
DNAJC5|80331	1858.1547	DNAJC5|80331	1432.4391
DNAJC6|9829	38.8086	DNAJC6|9829	172.2865
DNAJC7|7266	852.8262	DNAJC7|7266	1292.7492
DNAJC8|22826	1259.7264	DNAJC8|22826	1804.3318
DNAJC9|23234	789.4091	DNAJC9|23234	572.4834
DNAL1|83544	1164.6454	DNAL1|83544	788.5799
DNAL4|10126	1179.3926	DNAL4|10126	338.4199
DNALI1|7802	1518.5796	DNALI1|7802	636.9678
DNASE1L1|1774	715.1139999999999	DNASE1L1|1774	345.0898
DNASE1L2|1775	12.4187	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DNASE1L3|1776	112.2323
DNASE1|1773	84.2146	DNASE1|1773	53.1627
DNASE2|1777	1348.21	DNASE2|1777	705.1439999999999
DND1|373863	74.1244	DND1|373863	36.3032
lowly_expressed	lowly_expressed	DNER|92737	12.7984
DNHD1|144132	466.4791	DNHD1|144132	260.89099999999996
DNLZ|728489	74.5125	DNLZ|728489	32.4883
DNM1L|10059	2736.7808	DNM1L|10059	1821.8065
DNM1P35|100128285	7.3736	DNM1P35|100128285	25.5968
DNM1|1759	197.1476	DNM1|1759	363.7706
DNM2|1785	1918.1566	DNM2|1785	1217.3345
DNM3|26052	102.8427	DNM3|26052	162.6877
DNMBP|23268	502.0666	DNMBP|23268	649.8376
DNMT1|1786	2160.0854	DNMT1|1786	1099.4339
DNMT3A|1788	1262.0549	DNMT3A|1788	418.1639
DNMT3B|1789	235.18	DNMT3B|1789	162.6877
DNPEP|23549	810.7112	DNPEP|23549	1008.8604
DNTTIP1|116092	504.8996	DNTTIP1|116092	317.4994
DNTTIP2|30836	935.2867	DNTTIP2|30836	1558.7005
DOC2A|8448	92.8767	DOC2A|8448	19.114
lowly_expressed	lowly_expressed	DOC2B|8447	55.1317
DOCK10|55619	283.6907	lowly_expressed	lowly_expressed
DOCK11|139818	236.3442	DOCK11|139818	1525.7199
DOCK1|1793	1766.9545	DOCK1|1793	3079.0057
DOCK2|1794	264.2864	DOCK2|1794	501.8459
DOCK3|1795	11.2545	DOCK3|1795	81.4669
DOCK4|9732	429.2229	DOCK4|9732	1128.7226
DOCK5|80005	620.1611	DOCK5|80005	605.9562
DOCK6|57572	582.1287	DOCK6|57572	613.2833
DOCK7|85440	1118.0751	DOCK7|85440	1954.7133
DOCK8|81704	993.1115	DOCK8|81704	1438.0999
DOCK9|23348	1076.5499	DOCK9|23348	2686.9308
DOHH|83475	143.2036	DOHH|83475	28.5503
DOK1|1796	333.7538	DOK1|1796	154.3195
DOK2|9046	24.0613	DOK2|9046	85.8971
DOK3|79930	95.8572	DOK3|79930	77.5289
DOK4|55715	240.6132	DOK4|55715	286.7339
DOK5|55816	30.2707	DOK5|55816	76.0522
DOK6|220164	41.1371	DOK6|220164	87.8661
DOK7|285489	22.8971	DOK7|285489	7.1376
DOLK|22845	420.685	DOLK|22845	311.8385
DOLPP1|57171	513.4375	DOLPP1|57171	252.7689
DOM3Z|1797	257.9684	DOM3Z|1797	185.8971
DONSON|29980	645.5108	DONSON|29980	189.74400000000003
DOPEY1|23033	599.8952	DOPEY1|23033	1298.2451
DOPEY2|9980	4103.6189	DOPEY2|9980	1051.6859
DOT1L|84444	601.9209999999999	DOT1L|84444	343.8026
DPAGT1|1798	1274.8695	DPAGT1|1798	691.1346
DPCD|25911	902.7185	DPCD|25911	227.8661
DPEP1|1800	28.7183	lowly_expressed	lowly_expressed
DPEP2|64174	14.3592	DPEP2|64174	20.4283
DPF2|5977	1349.3742	DPF2|5977	925.9168
DPF3|8110	21.7328	DPF3|8110	20.9205
DPH1|1801	402.9805	DPH1|1801	410.4996
DPH2|1802	869.7002	DPH2|1802	551.809
DPH3B|100132911	12.8068	DPH3B|100132911	26.5813
DPH3|285381	1094.4019	DPH3|285381	913.8568
DPH5|51611	310.9731	DPH5|51611	479.5644
