gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
ACAD10|80724	890.6568	ACAD10|80724	561.4078
ACAD11|84129	579.3732	ACAD11|84129	688.1418
ACAD8|27034	393.9071	ACAD8|27034	507.999
ACAD9|28976	1164.0128	ACAD9|28976	733.4457
ACADL|33	41.1371	ACADL|33	164.9028
ACADM|34	844.0865	ACADM|34	1765.6904
ACADSB|36	1360.2406	ACADSB|36	3477.2336
ACADS|35	164.1603	ACADS|35	288.9491
ACADVL|37	1983.0989	ACADVL|37	3080.7236
ACAN|176	47.7345	lowly_expressed	lowly_expressed
ACAP1|9744	10.4783	ACAP1|9744	48.9786
ACAP2|23527	1581.4495	ACAP2|23527	2285.5033
ACAP3|116983	1997.9781	ACAP3|116983	327.3443
ACAT1|38	684.9714	ACAT1|38	1493.7238
ACAT2|39	244.5911	ACAT2|39	360.5144
ACBD3|64746	3004.9481	ACBD3|64746	1750.4307
ACBD4|79777	86.5431	ACBD4|79777	171.5481
ACBD5|91452	1014.8443	ACBD5|91452	1009.5988
ACBD6|84320	446.2986	ACBD6|84320	279.8425
ACBD7|414149	23.2851	ACBD7|414149	88.1122
lowly_expressed	lowly_expressed	ACCN1|40	5.907
ACCN2|41	178.5195	ACCN2|41	90.3273
ACCN3|9311	9.3141	lowly_expressed	lowly_expressed
ACCS|84680	145.5322	ACCS|84680	490.5242
ACD|65057	171.1458	ACD|65057	234.5557
ACE2|59272	10.8664	ACE2|59272	26.8275
ACER2|340485	432.3275	ACER2|340485	232.0945
ACER3|55331	1777.8209	ACER3|55331	789.3182
ACE|1636	612.3993	ACE|1636	474.034
lowly_expressed	lowly_expressed	ACHE|43	25.843
ACIN1|22985	3650.3347	ACIN1|22985	2521.0436
ACLY|47	6198.894	ACLY|47	3190.0074
ACN9|57001	129.2326	ACN9|57001	214.1275
ACO1|48	1898.1275	ACO1|48	2450.8984
ACO2|50	2858.8998	ACO2|50	1813.874
ACOT11|26027	21.3447	ACOT11|26027	32.3505
ACOT13|55856	1261.8803	ACOT13|55856	553.2021
ACOT1|641371	554.5746	ACOT1|641371	576.4214
ACOT2|10965	381.8764	ACOT2|10965	302.9781
ACOT4|122970	268.1673	ACOT4|122970	95.9882
ACOT6|641372	25.2256	ACOT6|641372	5.1686
ACOT7|11332	518.4826	ACOT7|11332	210.9279
ACOT8|10005	340.1067	ACOT8|10005	175.9143
ACOT9|23597	458.3293	ACOT9|23597	613.3399
ACOX1|51	1057.9218	ACOX1|51	2068.4223
ACOX2|8309	2588.9202	ACOX2|8309	278.6119
ACOX3|8310	301.9307	ACOX3|8310	413.9798
ACP1|52	1691.2778	ACP1|52	1296.5789
ACP2|53	1154.9432	ACP2|53	623.431
ACP5|54	554.9626	ACP5|54	579.3748
ACP6|51205	210.3425	ACP6|51205	176.9628
ACPL2|92370	713.3016	ACPL2|92370	477.9719
ACPP|55	83.4384	ACPP|55	45.5329
ACRBP|84519	150.5773	ACRBP|84519	16.4903
ACRC|93953	9.7021	ACRC|93953	40.1181
ACSBG1|23205	5.0451	ACSBG1|23205	10.3372
ACSF2|80221	312.021	ACSF2|80221	575.4369
ACSF3|197322	223.9255	ACSF3|197322	197.8833
ACSL1|2180	3943.7276	ACSL1|2180	13490.7704
ACSL3|2181	3908.7998	ACSL3|2181	2933.7928
ACSL4|2182	554.9626	ACSL4|2182	1724.8339
ACSL5|51703	91.2002	ACSL5|51703	1034.9495
lowly_expressed	lowly_expressed	ACSL6|23305	17.2286
ACSM1|116285	26.3898	ACSM1|116285	9.3527
lowly_expressed	lowly_expressed	ACSM3|6296	72.9781
ACSM5|54988	18.24	ACSM5|54988	196.1605
ACSS1|84532	1301.6397	ACSS1|84532	616.5395
ACSS2|55902	513.4375	ACSS2|55902	2519.5668
ACSS3|79611	126.516	ACSS3|79611	643.1208
ACTA1|58	10.4783	ACTA1|58	7.876
ACTA2|59	9473.876	ACTA2|59	14981.7032
lowly_expressed	lowly_expressed	ACTBL2|345651	12.7984
ACTB|60	100757.5434	ACTB|60	69959.6357
ACTG1|71	49477.8306	ACTG1|71	43324.3908
ACTG2|72	207.2378	ACTG2|72	4130.9377
ACTL6A|86	1490.2493	ACTL6A|86	1000
ACTN1|87	7184.6318	ACTN1|87	6379.5225
ACTN2|88	121.8589	ACTN2|88	27.0736
ACTN4|81	11001.6028	ACTN4|81	6836.5075
ACTR10|55860	1455.7097	ACTR10|55860	1323.4063
ACTR1A|10121	2524.4979	ACTR1A|10121	2020.1821
ACTR1B|10120	1537.2077	ACTR1B|10120	964.5582
ACTR2|10097	8307.752	ACTR2|10097	6986.9555
ACTR3B|57180	112.1568	ACTR3B|57180	141.0288
ACTR3C|653857	15.5234	ACTR3C|653857	65.2227
ACTR3|10096	4313.1852	ACTR3|10096	3944.13
ACTR5|79913	202.9689	ACTR5|79913	170.8097
