gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
ERAP2|64167	745.2032	ERAP2|64167	795.1807
ERBB2IP|55914	3691.9159999999997	ERBB2IP|55914	2196.5361
ERBB2|2064	3831.4995	ERBB2|2064	6333.2078
ERBB3|2065	4561.6986	ERBB3|2065	5855.0452
ERBB4|2066	105.93799999999999	ERBB4|2066	449.9247
ERC1|23085	6134.4003	ERC1|23085	2145.7078
ERC2|26059	11.8214	ERC2|26059	13.5542
ERCC1|2067	671.3604	ERCC1|2067	717.997
ERCC2|2068	236.8828	ERCC2|2068	289.9096
ERCC3|2071	1099.8454	ERCC3|2071	1026.3554
ERCC4|2072	338.7287	ERCC4|2072	292.5452
ERCC5|2073	819.3144	ERCC5|2073	1684.1114
ERCC6L|54821	409.6572	ERCC6L|54821	40.2861
ERCC6|2074	404.5558	ERCC6|2074	476.0542
ERCC8|1161	232.3361	ERCC8|1161	145.7078
EREG|2069	6.82	lowly_expressed	lowly_expressed
ERF|2077	790.2155	ERF|2077	975.5271
ERGIC1|57222	12310.1755	ERGIC1|57222	5408.509
ERGIC2|51290	1163.9538	ERGIC2|51290	1100.5271
ERGIC3|51614	4888.1513	ERGIC3|51614	3778.6145
ERG|2078	378.7397	ERG|2078	757.9066
ERH|2079	2173.32	ERH|2079	893.0723
ERI1|90459	230.9721	ERI1|90459	378.3886
ERI2|112479	522.3152	ERI2|112479	445.8358
ERI3|79033	1482.6771	ERI3|79033	602.0331
ERICH1|157697	89.5699	ERICH1|157697	332.0783
ERLEC1|27248	1885.9689	ERLEC1|27248	1529.744
ERLIN1|10613	1526.3254	ERLIN1|10613	1149.4729
ERLIN2|11160	1086.2053	ERLIN2|11160	2354.2922
ERMAP|114625	399.6545	ERMAP|114625	542.1687
ERMN|57471	8.1841	lowly_expressed	lowly_expressed
ERMP1|79956	1903.8829	ERMP1|79956	1251.3441
ERN1|2081	422.8426	ERN1|2081	367.8464
ERO1LB|56605	459.6708	ERO1LB|56605	512.8012
ERO1L|30001	503.7738	ERO1L|30001	705.9488
ERP27|121506	990.2701	ERP27|121506	35.0151
ERP29|10961	1800.9457	ERP29|10961	3493.2229
ERP44|23071	1025.2796	ERP44|23071	1593.75
ERRFI1|54206	1263.9811	ERRFI1|54206	1967.6205
lowly_expressed	lowly_expressed	ERVFRDE1|405754	12.4247
ESAM|90952	638.8106	ESAM|90952	1238.7048
ESCO1|114799	1105.7561	ESCO1|114799	614.0813
ESCO2|157570	58.1977	ESCO2|157570	95.6325
ESD|2098	1213.0581	ESD|2098	1513.9307
ESF1|51575	411.4759	ESF1|51575	430.7229
ESM1|11082	475.5843	ESM1|11082	70.0301
ESPL1|9700	240.0655	ESPL1|9700	62.1235
ESPN|83715	17.2774	ESPN|83715	93.3735
ESR1|2099	19089.2971	ESR1|2099	1402.1084
lowly_expressed	lowly_expressed	ESR2|2100	35.3916
ESRP1|54845	6244.885	ESRP1|54845	1462.3494
ESRP2|80004	1529.5079999999998	ESRP2|80004	1332.8313
ESRRA|2101	499.2271	ESRRA|2101	933.7349
ESRRG|2104	244.6122	ESRRG|2104	539.5331
ESYT1|23344	1929.1625	ESYT1|23344	5392.3193
ESYT2|57488	3948.3495	ESYT2|57488	4545.5572
ESYT3|83850	98.6633	ESYT3|83850	67.3946
ETAA1|54465	279.6217	ETAA1|54465	308.3584
ETF1|2107	2653.9056	ETF1|2107	3255.2711
ETFA|2108	1079.84	ETFA|2108	3330.9488
ETFB|2109	379.649	ETFB|2109	1108.4337
ETFDH|2110	433.6274	ETFDH|2110	960.0904
ETHE1|23474	455.5788	ETHE1|23474	377.6355
ETNK1|55500	1651.8141	ETNK1|55500	1146.4608
ETNK2|55224	1223.0608	ETNK2|55224	658.5089999999999
ETS1|2113	2541.1476	ETS1|2113	3384.4127
ETS2|2114	1355.3696	ETS2|2114	2416.4157
ETV1|2115	306.4472	lowly_expressed	lowly_expressed
ETV2|2116	26.8255	ETV2|2116	6.4006
lowly_expressed	lowly_expressed	ETV3L|440695	10.9187
ETV3|2117	275.9844	ETV3|2117	352.4096
ETV4|2118	289.1698	ETV4|2118	92.6205
ETV5|2119	221.8787	ETV5|2119	513.9307
ETV6|2120	1944.6213	ETV6|2120	1726.6566
ETV7|51513	30.0082	ETV7|51513	18.8253
EVC2|132884	74.5658	EVC2|132884	239.0813
EVC|2121	769.2234	EVC|2121	946.9541
EVI2A|2123	361.9169	EVI2A|2123	90.3614
EVI2B|2124	426.4799	EVI2B|2124	177.7108
EVI5L|115704	368.7369	EVI5L|115704	291.7922
EVI5|7813	306.9019	EVI5|7813	459.7139
EVL|51466	2988.5423	EVL|51466	1245.8584
EVPL|2125	410.1118	EVPL|2125	420.5572
EWSR1|2130	5051.3776	EWSR1|2130	3720.256
EXD2|55218	997.9995	EXD2|55218	828.6898
EXD3|54932	57.2884	EXD3|54932	227.4096
EXO1|9156	521.5059	EXO1|9156	96.762
EXOC1|55763	963.4446	EXOC1|55763	1003.012
EXOC2|55770	2481.5859	EXOC2|55770	864.8343
EXOC3L2|90332	66.8364	EXOC3L2|90332	48.1928
EXOC3L|283849	66.4227	EXOC3L|283849	69.8758
EXOC3|11336	937.5284	EXOC3|11336	1383.6596
EXOC4|60412	1797.763	EXOC4|60412	1532.3795
EXOC5|10640	1650.4501	EXOC5|10640	1469.8795
EXOC6B|23233	261.8896	EXOC6B|23233	314.759
EXOC6|54536	1439.4835	EXOC6|54536	599.3976
EXOC7|23265	2084.2048	EXOC7|23265	3183.3057
EXOC8|149371	407.8385	EXOC8|149371	476.2801
EXOG|9941	74.1111	EXOG|9941	102.0331
EXOSC10|5394	1840.5020000000002	EXOSC10|5394	1463.4789
EXOSC1|51013	326.9073	EXOSC1|51013	227.0331
EXOSC2|23404	651.5413	EXOSC2|23404	416.4157
EXOSC3|51010	365.5542	EXOSC3|51010	278.991
EXOSC4|54512	330.09	EXOSC4|54512	180.7229
EXOSC5|56915	267.3456	EXOSC5|56915	214.9849
EXOSC6|118460	232.3361	EXOSC6|118460	259.4127
EXOSC7|23016	514.6858	EXOSC7|23016	387.8012
EXOSC8|11340	283.0272	EXOSC8|11340	229.7101
EXOSC9|5393	419.3962	EXOSC9|5393	386.491
EXPH5|23086	292.8071	EXPH5|23086	346.009
EXT1|2131	1640.9021	EXT1|2131	848.6446
EXT2|2132	2091.4795	EXT2|2132	2028.991
EXTL1|2134	15.9134	EXTL1|2134	25.2259
EXTL2|2135	485.1323	EXTL2|2135	285.0151
EXTL3|2137	404.2011	EXTL3|2137	938.253
lowly_expressed	lowly_expressed	EYA1|2138	18.0723
EYA2|2139	140.4929	EYA2|2139	614.8343
EYA3|2140	182.3225	EYA3|2140	182.2289
lowly_expressed	lowly_expressed	EYA4|2070	10.5422
EYS|346007	22.2788	EYS|346007	151.7319
EZH1|2145	542.4207	EZH1|2145	1937.1235
EZH2|2146	808.4023	EZH2|2146	183.3584
EZR|7430	5434.664000000001	EZR|7430	4096.762
F10|2159	29.0988	F10|2159	146.4608
F11R|50848	4465.7634	F11R|50848	3846.3855
F12|2161	65.9271	F12|2161	29.3675
F13A1|2162	526.9619	F13A1|2162	1092.997
F2RL1|2150	294.1711	F2RL1|2150	528.6145
F2RL2|2151	885.2414	F2RL2|2151	65.512
F2RL3|9002	140.0382	F2RL3|9002	77.1837
F2R|2149	2920.7966	F2R|2149	622.741
F3|2152	356.4609	F3|2152	1421.3102
F5|2153	36.3736	F5|2153	16.5663
F7|2155	15.9134	lowly_expressed	lowly_expressed
F8A1|8263	79.1125	F8A1|8263	106.1747
F8|2157	645.6306	F8|2157	1068.1476
FA2H|79152	263.7083	FA2H|79152	112.9518
FAAH2|158584	132.3088	FAAH2|158584	202.5602
FAAH|2166	285.9871	FAAH|2166	389.6837
FABP3|2170	71.8378	FABP3|2170	40.2861
FABP4|2167	83.2045	FABP4|2167	21775.9789
FABP5|2171	7.7294	FABP5|2171	143.8253
FABP6|2172	60.0164	lowly_expressed	lowly_expressed
FABP7|2173	32.2815	FABP7|2173	2495.8584
FADD|8772	3695.5533	FADD|8772	419.4277
FADS1|3992	158.225	FADS1|3992	1198.7952
FADS2|9415	2216.5136	FADS2|9415	19425.0753
FADS3|3995	154.1329	FADS3|3995	646.4608
FAF1|11124	1249.8863	FAF1|11124	847.1386
FAF2|23197	1840.5020000000002	FAF2|23197	1702.9367
FAHD1|81889	371.0103	FAHD1|81889	334.3373
FAHD2A|51011	97.2993	FAHD2A|51011	420.5572
FAHD2B|151313	126.8528	FAHD2B|151313	140.8133
FAH|2184	402.8371	FAH|2184	2697.6657
FAIM2|23017	154.5876	FAIM2|23017	129.1416
FAIM3|9214	148.8542	FAIM3|9214	94.6197
FAIM|55179	287.3511	FAIM|55179	172.4398
FAM100A|124402	190.0518	FAM100A|124402	278.6145
FAM100B|283991	335.5461	FAM100B|283991	319.2771
FAM101A|144347	40.4656	FAM101A|144347	99.0211
FAM101B|359845	255.5242	FAM101B|359845	310.994
FAM102A|399665	1564.5176	FAM102A|399665	1632.9066
FAM102B|284611	875.2387	FAM102B|284611	634.7892
FAM103A1|83640	340.0928	FAM103A1|83640	236.8223
FAM104A|84923	661.9760000000001	FAM104A|84923	662.1423
FAM104B|90736	269.619	FAM104B|90736	152.1084
FAM105A|54491	194.1439	FAM105A|54491	193.1476
FAM105B|90268	691.0976	FAM105B|90268	701.0542
lowly_expressed	lowly_expressed	FAM106C|100129396	20.7078
FAM107A|11170	57.743	FAM107A|11170	974.0211
FAM107B|83641	2576.6118	FAM107B|83641	2552.3343
FAM108A1|81926	265.527	FAM108A1|81926	388.5542
FAM108B1|51104	420.1146	FAM108B1|51104	297.4398
FAM108C1|58489	744.2939	FAM108C1|58489	315.1355
FAM109A|144717	351.0048	FAM109A|144717	259.7892
FAM109B|150368	384.6504	FAM109B|150368	206.3253
FAM10A4|145165	351.9142	FAM10A4|145165	421.3102
FAM110A|83541	340.5474	FAM110A|83541	303.8404
FAM110B|90362	1147.5857	FAM110B|90362	205.5723
FAM110C|642273	8.6387	FAM110C|642273	35.0151
FAM111A|63901	731.5632	FAM111A|63901	923.5693
FAM111B|374393	664.2721	FAM111B|374393	695.0301
FAM113A|64773	312.8126	FAM113A|64773	421.6867
FAM113B|91523	102.7553	FAM113B|91523	207.0783
FAM114A1|92689	993.9074	FAM114A1|92689	758.6596
FAM114A2|10827	299.1725	FAM114A2|10827	466.1145
FAM115A|9747	700.6456	FAM115A|9747	693.1476
FAM115C|285966	417.8821	FAM115C|285966	378.1137
FAM116A|201627	808.857	FAM116A|201627	796.3102
FAM116B|414918	76.8391	FAM116B|414918	147.2139
FAM117A|81558	235.0641	FAM117A|81558	480.0452
FAM117B|150864	1428.5714	FAM117B|150864	362.1988
FAM118A|55007	384.6504	FAM118A|55007	337.3494
FAM118B|79607	245.9762	FAM118B|79607	196.5361
FAM119A|151194	193.6892	FAM119A|151194	155.497
FAM119B|25895	531.5086	FAM119B|25895	353.9157
FAM120AOS|158293	772.8062	FAM120AOS|158293	1279.2432
FAM120A|23196	4426.339	FAM120A|23196	3998.9947
FAM120B|84498	737.9285	FAM120B|84498	1138.9307
FAM120C|54954	300.5365	FAM120C|54954	386.2952
FAM122A|116224	476.4936	FAM122A|116224	716.4910000000001
FAM122B|159090	820.6784	FAM122B|159090	560.994
FAM122C|159091	5.0014	FAM122C|159091	30.8735
FAM123B|139285	393.2891	FAM123B|139285	174.3223
FAM124A|220108	14.5494	FAM124A|220108	62.5
FAM124B|79843	57.2884	FAM124B|79843	97.1386
FAM125A|93343	485.1323	FAM125A|93343	365.5873
FAM125B|89853	477.8576	FAM125B|89853	333.5843
FAM126A|84668	351.4595	FAM126A|84668	1123.8705
FAM126B|285172	446.0307	FAM126B|285172	615.9639
FAM127A|8933	484.223	FAM127A|8933	1054.9172
FAM127B|26071	400.1091	FAM127B|26071	542.5452
FAM127C|441518	223.6974	FAM127C|441518	304.2169
FAM128A|653784	1094.3894	FAM128A|653784	153.991
FAM128B|80097	756.57	FAM128B|80097	481.5512
FAM129A|116496	2719.8327	FAM129A|116496	9243.9759
FAM129B|64855	3810.13	FAM129B|64855	3437.1235
FAM131A|131408	263.2536	FAM131A|131408	357.3042
FAM131B|9715	50.923	FAM131B|9715	55.7229
FAM133B|257415	111.8487	FAM133B|257415	83.9608
FAM134A|79137	1971.4468	FAM134A|79137	2286.1446
FAM134B|54463	336.0007	FAM134B|54463	432.9819
FAM134C|162427	1865.0541	FAM134C|162427	1731.5512
FAM135A|57579	464.6722	FAM135A|57579	324.5482
FAM136A|84908	688.8242	FAM136A|84908	529.744
FAM13AOS|285512	7.5884	FAM13AOS|285512	101.6002
FAM13A|10144	382.0633	FAM13A|10144	1899.9059
FAM13B|51306	1300.3274	FAM13B|51306	1236.0279
FAM13C|220965	95.0896	FAM13C|220965	250.7078
FAM149A|25854	53.651	FAM149A|25854	163.4036
FAM149B1|317662	586.5236	FAM149B1|317662	489.8343
lowly_expressed	lowly_expressed	FAM150B|285016	24.0964
FAM151B|167555	15.9134	FAM151B|167555	23.3434
lowly_expressed	lowly_expressed	FAM153A|285596	13.9307
FAM154B|283726	14.0948	FAM154B|283726	22.9669
FAM155A|728215	17.2774	FAM155A|728215	28.991
FAM155B|27112	51.3776	FAM155B|27112	89.6084
FAM156A|29057	242.7935	FAM156A|29057	623.8705
FAM157A|728262	16.3681	FAM157A|728262	24.8494
FAM158A|51016	97.2993	FAM158A|51016	121.2349
FAM160A1|729830	202.3279	FAM160A1|729830	373.494
FAM160A2|84067	347.8221	FAM160A2|84067	931.0994
FAM160B1|57700	836.5918	FAM160B1|57700	998.1175
FAM160B2|64760	1249.4317	FAM160B2|64760	1359.1867
FAM161A|84140	160.0436	FAM161A|84140	75.3012
FAM161B|145483	81.3858	FAM161B|145483	269.5783
FAM162A|26355	677.4575	FAM162A|26355	554.9699
FAM162B|221303	12.2761	FAM162B|221303	47.8163
FAM164A|51101	110.03	FAM164A|51101	309.488
FAM164C|79696	43.1936	FAM164C|79696	45.9337
FAM165B|54065	406.0198	FAM165B|54065	222.8916
lowly_expressed	lowly_expressed	FAM166B|730112	19.5783
FAM167A|83648	19.0961	FAM167A|83648	60.994
FAM167B|84734	51.3776	FAM167B|84734	39.9096
FAM168A|23201	443.7574	FAM168A|23201	465.3614
FAM168B|130074	2242.8844	FAM168B|130074	3676.5813
FAM169A|26049	110.4847	FAM169A|26049	72.2892
FAM171A1|221061	1433.5728	FAM171A1|221061	653.238
FAM171A2|284069	315.9953	FAM171A2|284069	9.0361
FAM171B|165215	458.7615	FAM171B|165215	251.1295
FAM172A|83989	853.4146	FAM172A|83989	730.7982
FAM173A|65990	59.107	FAM173A|65990	72.2892
FAM173B|134145	244.6122	FAM173B|134145	252.25900000000001
FAM174A|345757	265.527	FAM174A|345757	245.8584
FAM174B|400451	865.6906	FAM174B|400451	1722.8916
FAM175A|84142	360.2301	FAM175A|84142	316.8562
FAM175B|23172	680.6402	FAM175B|23172	463.1024
FAM176A|84141	85.4779	FAM176A|84141	44.0512
FAM176B|55194	138.1513	FAM176B|55194	125.9639
FAM177A1|283635	763.8447	FAM177A1|283635	820.4066
FAM178A|55719	1321.2694	FAM178A|55719	879.1416
lowly_expressed	lowly_expressed	FAM178B|51252	10.9187
FAM179B|23116	406.9292	FAM179B|23116	726.6566
FAM180A|389558	42.7389	FAM180A|389558	116.3404
lowly_expressed	lowly_expressed	FAM180B|399888	38.0271
lowly_expressed	lowly_expressed	FAM181B|220382	10.9187
FAM182A|284800	10.4574	lowly_expressed	lowly_expressed
FAM182B|728882	37.7376	FAM182B|728882	28.6145
FAM184A|79632	249.1589	FAM184A|79632	201.4307
FAM184B|27146	69.8827	FAM184B|27146	22.7372
FAM185A|222234	87.2965	FAM185A|222234	127.6355
FAM186B|84070	8.1841	FAM186B|84070	19.9548
FAM188A|80013	362.3716	FAM188A|80013	529.744
FAM188B|84182	190.4519	FAM188B|84182	213.2681
lowly_expressed	lowly_expressed	FAM189A1|23359	5.6476
FAM189A2|9413	90.4792	FAM189A2|9413	742.0934
FAM189B|10712	802.9463	FAM189B|10712	364.4578
FAM18A|780776	7.7294	FAM18A|780776	20.561
FAM18B2|201158	147.4948	FAM18B2|201158	202.9292
FAM18B|51030	522.4152	FAM18B|51030	739.8343
FAM190A|401145	76.3845	FAM190A|401145	147.5904
FAM190B|54462	2775.3024	FAM190B|54462	1741.3404
FAM192A|80011	1471.765	FAM192A|80011	1115.5873
FAM193A|8603	892.5161	FAM193A|8603	969.8795
FAM193B|54540	548.786	FAM193B|54540	957.8313
FAM195A|84331	166.40900000000002	FAM195A|84331	131.4006
FAM195B|348262	1762.2988	FAM195B|348262	694.6536
FAM196A|642938	110.4847	FAM196A|642938	6.0241
FAM196B|100131897	17.7321	FAM196B|100131897	192.0181
FAM198A|729085	73.2018	FAM198A|729085	104.2922
FAM198B|51313	2447.031	FAM198B|51313	4618.5994
FAM199X|139231	354.6422	FAM199X|139231	598.2681
FAM19A2|338811	137.3102	FAM19A2|338811	22.9669
lowly_expressed	lowly_expressed	FAM19A3|284467	5.2711
FAM19A5|25817	271.8923	FAM19A5|25817	25.6024
FAM200A|221786	241.4295	FAM200A|221786	168.2982
FAM200B|285550	477.8576	FAM200B|285550	449.5482
FAM20A|54757	71.3831	FAM20A|54757	314.006
FAM20B|9917	4237.0647	FAM20B|9917	1860.6928
FAM20C|56975	439.2107	FAM20C|56975	1006.7771
FAM21A|387680	132.7635	FAM21A|387680	145.3313
FAM21B|55747	1227.6075	FAM21B|55747	1095.256
FAM21C|253725	897.0628	FAM21C|253725	1467.244
FAM22A|728118	50.4683	FAM22A|728118	38.0271
FAM22D|728130	119.5781	FAM22D|728130	108.4337
lowly_expressed	lowly_expressed	FAM22G|441457	6.0241
FAM23A|653567	5.0014	FAM23A|653567	6.4006
FAM24B|196792	23.5291	FAM24B|196792	23.4526
FAM26E|254228	123.2154	FAM26E|254228	168.6747
FAM26F|441168	35.9189	FAM26F|441168	16.1898
lowly_expressed	lowly_expressed	FAM27A|548321	10.1657
lowly_expressed	lowly_expressed	FAM27C|100132948	7.5301
FAM32A|26017	2724.8340000000003	FAM32A|26017	1188.6295
FAM35A|54537	1829.5899	FAM35A|54537	677.3343
FAM35B2|439965	159.1343	FAM35B2|439965	59.8645
FAM35B|414241	568.3368	FAM35B|414241	222.8916
FAM36A|116228	1496.3081	FAM36A|116228	476.3742
FAM38A|9780	1413.2491	FAM38A|9780	3123.8366
FAM38B|63895	163.2263	FAM38B|63895	86.5964
FAM3A|60343	1099.3907	FAM3A|60343	559.488
FAM3B|54097	1322.6334	FAM3B|54097	264.3072
FAM3C|10447	1080.7493	FAM3C|10447	753.012
lowly_expressed	lowly_expressed	FAM3D|131177	311.3705
FAM40A|85369	510.1391	FAM40A|85369	796.6867
FAM40B|57464	35.9189	FAM40B|57464	22.9669
FAM41C|284593	17.7321	FAM41C|284593	12.8012
FAM43A|131583	143.2209	FAM43A|131583	338.1024
FAM43B|163933	15.4588	FAM43B|163933	9.4127
FAM45A|404636	634.2639	FAM45A|404636	338.8554
FAM45B|55855	273.2563	FAM45B|55855	187.5
FAM46A|55603	627.4438	FAM46A|55603	1476.2801
FAM46B|115572	321.906	FAM46B|115572	568.9006
FAM46C|54855	772.9381	FAM46C|54855	555.3464
FAM47E|100129583	59.8254	FAM47E|100129583	110.2259
FAM48A|55578	1018.2368	FAM48A|55578	778.9495
FAM48B2|170067	39.1016	lowly_expressed	lowly_expressed
FAM49A|81553	66.8364	FAM49A|81553	199.9247
FAM49B|51571	1713.1945	FAM49B|51571	582.0783
FAM50A|9130	1607.2565	FAM50A|9130	761.2952
FAM50B|26240	155.0423	FAM50B|26240	201.8072
FAM53A|152877	25.0068	FAM53A|152877	28.6145
FAM53B|9679	835.346	FAM53B|9679	576.3968
FAM53C|51307	2232.4179	FAM53C|51307	1469.503
FAM54A|113115	136.8555	FAM54A|113115	13.5542
FAM54B|56181	1000.0	FAM54B|56181	1403.6521
FAM55C|91775	244.6122	FAM55C|91775	449.9247
lowly_expressed	lowly_expressed	FAM55D|54827	5.2711
FAM57A|79850	299.6272	FAM57A|79850	146.8373
FAM57B|83723	10.9121	lowly_expressed	lowly_expressed
FAM58A|92002	626.0798	FAM58A|92002	211.9729
FAM59A|64762	202.3279	FAM59A|64762	236.4458
FAM5B|57795	20.4601	FAM5B|57795	8.2831
lowly_expressed	lowly_expressed	FAM5C|339479	433.7349
FAM60A|58516	4959.9891	FAM60A|58516	1043.2982
FAM63A|55793	438.756	FAM63A|55793	610.3163
FAM63B|54629	201.4186	FAM63B|54629	460.0904
FAM64A|54478	234.6094	lowly_expressed	lowly_expressed
FAM65A|79567	1049.8318	FAM65A|79567	1542.1687
FAM65B|9750	285.9871	FAM65B|9750	141.5663
FAM65C|140876	25.4615	FAM65C|140876	156.6265
FAM66C|440078	71.8378	FAM66C|440078	34.6386
FAM66D|100132923	5.9107	FAM66D|100132923	10.1657
FAM69A|388650	235.537	FAM69A|388650	393.4488
FAM69B|138311	166.5727	FAM69B|138311	199.11900000000003
lowly_expressed	lowly_expressed	FAM69C|125704	7.5301
FAM70A|55026	65.0177	FAM70A|55026	315.1355
FAM70B|348013	25.9162	FAM70B|348013	41.7922
FAM71D|161142	17.2774	FAM71D|161142	14.3072
FAM71E1|112703	527.2893	FAM71E1|112703	22.7937
lowly_expressed	lowly_expressed	FAM71F2|346653	12.4247
FAM72A|729533	30.9175	FAM72A|729533	6.4006
FAM72B|653820	235.9734	FAM72B|653820	17.6958
FAM72D|728833	79.1125	FAM72D|728833	12.4247
FAM73A|374986	558.7888	FAM73A|374986	2012.4247
FAM73B|84895	165.9544	FAM73B|84895	533.509
FAM76A|199870	200.9639	FAM76A|199870	275.6024
FAM76B|143684	401.4731	FAM76B|143684	316.6416
FAM78A|286336	108.2113	FAM78A|286336	83.2078
FAM78B|149297	12.7307	FAM78B|149297	23.7199
FAM81A|145773	15.9134	FAM81A|145773	15.0602
FAM81B|153643	13.6401	lowly_expressed	lowly_expressed
FAM82A1|151393	97.2993	FAM82A1|151393	135.9187
FAM82A2|55177	454.2148	FAM82A2|55177	1116.3404
FAM82B|51115	1205.3287	FAM82B|51115	978.5392
FAM83B|222584	25.4615	FAM83B|222584	86.5964
FAM83D|81610	660.18	FAM83D|81610	43.6747
FAM83E|54854	9.5481	FAM83E|54854	32.003
FAM83F|113828	89.5699	FAM83F|113828	304.9699
FAM83G|644815	141.2931	FAM83G|644815	86.5625
FAM83H|286077	2955.8061	FAM83H|286077	1022.2139
FAM84A|151354	85.4779	FAM84A|151354	98.6446
FAM84B|157638	6730.0173	FAM84B|157638	1878.3886
FAM86A|196483	340.5702	FAM86A|196483	247.3983
FAM86B1|85002	97.2993	FAM86B1|85002	205.9488
FAM86B2|653333	7.2747	FAM86B2|653333	26.3554
FAM86C|55199	140.0382	FAM86C|55199	113.7048
FAM86D|692099	314.1766	FAM86D|692099	171.6867
FAM89A|375061	62.7444	FAM89A|375061	430.3464
FAM89B|23625	1156.6791	FAM89B|23625	506.0241
FAM8A1|51439	1183.5046	FAM8A1|51439	1505.2711
FAM90A1|55138	55.015	FAM90A1|55138	17.3193
FAM91A1|157769	1931.8905	FAM91A1|157769	1050.8283
FAM92A1|137392	267.3456	FAM92A1|137392	75.3012
lowly_expressed	lowly_expressed	FAM95B1|100133036	50.8283
FAM96A|84191	441.9387	FAM96A|84191	339.2319
FAM96B|51647	443.3027	FAM96B|51647	319.2771
FAM98A|25940	882.9681	FAM98A|25940	1213.4789
FAM98B|283742	222.78799999999998	FAM98B|283742	274.0964
FAM98C|147965	103.21	FAM98C|147965	212.7259
FAM9A|171482	6.3654	lowly_expressed	lowly_expressed
FANCA|2175	343.8119	FANCA|2175	99.9699
FANCB|2187	91.8432	FANCB|2187	14.3072
FANCC|2176	295.9898	FANCC|2176	312.5
FANCD2|2177	716.1044	FANCD2|2177	269.9548
FANCE|2178	117.3047	FANCE|2178	167.1687
FANCF|2188	515.1405	FANCF|2188	227.7861
FANCG|2189	364.1902	FANCG|2189	304.2169
FANCI|55215	1170.3919	FANCI|55215	473.0196
FANCL|55120	432.7726	FANCL|55120	296.0881
FANCM|57697	175.0477	FANCM|57697	242.4699
FANK1|92565	76.8391	FANK1|92565	146.4608
FAP|2191	1231.2449	FAP|2191	161.5211
FAR1|84188	1198.5087	FAR1|84188	899.4729
FAR2|55711	56.3017	FAR2|55711	868.6107
FARP1|10160	3377.7394	FARP1|10160	1582.0783
FARP2|9855	225.9707	FARP2|9855	426.2048
FARS2|10667	250.9775	FARS2|10667	256.0241
FARSA|2193	2290.17	FARSA|2193	741.7169
FARSB|10056	878.8761	FARSB|10056	814.0060000000001
FASLG|356	15.4588	FASLG|356	5.2711
FASN|2194	7275.166	FASN|2194	47138.5542
FASTKD1|79675	320.0873	FASTKD1|79675	188.253
FASTKD2|22868	727.4711	FASTKD2|22868	1030.497
FASTKD3|79072	218.696	FASTKD3|79072	154.744
FASTKD5|60493	332.81800000000004	FASTKD5|60493	468.3735
FASTK|10922	645.1759999999999	FASTK|10922	926.2048
FAS|355	205.5106	FAS|355	414.5331
FAT1|2195	2107.8476	FAT1|2195	6889.3072
FAT2|2196	215.0587	FAT2|2196	1016.5663
FAT3|120114	21.3695	FAT3|120114	70.0301
FAT4|79633	376.4663	FAT4|79633	797.8163
FAU|2197	4533.0545	FAU|2197	4368.9759
FBF1|85302	90.9339	FBF1|85302	137.9895
FBLIM1|54751	1639.9927	FBLIM1|54751	774.8494
FBLL1|345630	41.3749	lowly_expressed	lowly_expressed
FBLN1|2192	3024.4612	FBLN1|2192	6567.7711
FBLN2|2199	2702.5552	FBLN2|2199	6571.1596
FBLN5|10516	749.7499	FBLN5|10516	3321.9127
FBLN7|129804	99.1179	FBLN7|129804	286.1446
FBL|2091	3621.4422	FBL|2091	2044.0512
FBN1|2200	6741.384	FBN1|2200	5800.0753
FBN2|2201	315.0859	FBN2|2201	15.0602
FBN3|84467	176.8664	FBN3|84467	13.9307
FBP1|2203	1318.0868	FBP1|2203	1329.8193
FBRSL1|57666	681.0948	FBRSL1|57666	560.994
FBRS|64319	1039.3744	FBRS|64319	1113.3283
FBXL12|54850	926.6163	FBXL12|54850	370.8584
FBXL13|222235	21.8241	FBXL13|222235	10.5422
FBXL14|144699	1972.8108	FBXL14|144699	462.7259
FBXL15|79176	104.1193	FBXL15|79176	117.8464
FBXL16|146330	38.6469	FBXL16|146330	199.9247
FBXL17|64839	581.0676	FBXL17|64839	899.4729
FBXL18|80028	278.7124	FBXL18|80028	378.3886
FBXL19|54620	551.9687	FBXL19|54620	247.74099999999999
FBXL20|84961	137.3102	FBXL20|84961	186.3705
FBXL22|283807	16.3681	FBXL22|283807	32.4511
FBXL2|25827	160.0436	FBXL2|25827	118.2229
FBXL3|26224	1029.8263	FBXL3|26224	1837.3494
FBXL4|26235	379.1943	FBXL4|26235	368.2229
FBXL5|26234	2545.2396	FBXL5|26234	3569.6536
FBXL6|26233	313.9584	FBXL6|26233	304.4691
FBXL7|23194	1028.0076	FBXL7|23194	582.8313
FBXL8|55336	35.5097	FBXL8|55336	85.9111
FBXO10|26267	197.3447	FBXO10|26267	199.5482
FBXO11|80204	1691.825	FBXO11|80204	1528.6145
FBXO15|201456	13.6401	FBXO15|201456	24.8494
FBXO16|157574	16.8228	FBXO16|157574	23.8479
FBXO17|115290	166.8637	FBXO17|115290	283.1325
FBXO18|84893	1819.5963	FBXO18|84893	2050.4518
FBXO21|23014	1623.17	FBXO21|23014	1126.1295
FBXO22OS|692224	63.8629	FBXO22OS|692224	51.6755
FBXO22|26263	420.8148	FBXO22|26263	435.1468
FBXO24|26261	5.456	FBXO24|26261	14.5331
