gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
ACADM|34	601.073	ACADM|34	4984.5633
ACADSB|36	2499.7727	ACADSB|36	2241.3404
ACADS|35	116.8501	ACADS|35	589.2319
ACADVL|37	1770.4829	ACADVL|37	6736.378
ACAN|176	44.1029	lowly_expressed	lowly_expressed
ACAP1|9744	76.3845	ACAP1|9744	65.8886
ACAP2|23527	1314.9041	ACAP2|23527	1407.756
ACAP3|116983	305.1059	ACAP3|116983	683.302
ACAT1|38	604.2557	ACAT1|38	1346.762
ACAT2|39	909.6572	ACAT2|39	764.2395
ACBD3|64746	1963.7174	ACBD3|64746	1393.0723
ACBD4|79777	85.9325	ACBD4|79777	277.8614
ACBD5|91452	1075.2933	ACBD5|91452	870.8584
ACBD6|84320	616.0771	ACBD6|84320	308.7349
ACBD7|414149	194.1439	ACBD7|414149	14.6837
ACCN2|41	88.2059	ACCN2|41	84.3373
ACCN3|9311	7.2747	ACCN3|9311	15.8133
ACCS|84680	53.1963	ACCS|84680	347.1386
ACD|65057	298.7178	ACD|65057	320.4066
lowly_expressed	lowly_expressed	ACE2|59272	25.6024
ACER1|125981	9.5481	lowly_expressed	lowly_expressed
ACER2|340485	81.3858	ACER2|340485	346.009
ACER3|55331	424.6613	ACER3|55331	366.7169
ACE|1636	400.1091	ACE|1636	782.003
ACHE|43	27.2802	ACHE|43	39.5331
ACIN1|22985	2512.0487	ACIN1|22985	3501.1295
ACLY|47	7434.7549	ACLY|47	5644.5783
ACN9|57001	130.4901	ACN9|57001	143.4488
ACO1|48	419.6599	ACO1|48	2401.7319
ACO2|50	1922.8426	ACO2|50	2841.5437
ACOT11|26027	10.4574	ACOT11|26027	52.5339
ACOT13|55856	716.1544	ACOT13|55856	516.5926
ACOT1|641371	224.152	ACOT1|641371	834.0437
ACOT2|10965	190.0518	ACOT2|10965	557.5226
ACOT4|122970	74.1111	ACOT4|122970	137.0482
ACOT7|11332	503.7738	ACOT7|11332	169.4277
ACOT8|10005	176.5345	ACOT8|10005	220.2447
ACOT9|23597	455.5788	ACOT9|23597	477.4096
ACOX1|51	1596.5672	ACOX1|51	2398.5279
ACOX2|8309	66.8364	ACOX2|8309	234.9398
ACOX3|8310	1841.4113	ACOX3|8310	1337.7259
ACP1|52	1414.022	ACP1|52	1270.3313
ACP2|53	599.2543	ACP2|53	856.9277
ACP5|54	342.8208	ACP5|54	1216.1145
ACP6|51205	199.1452	ACP6|51205	1046.3102
ACPL2|92370	669.7281	ACPL2|92370	345.256
ACPP|55	84.1138	ACPP|55	135.9187
ACRBP|84519	11.3667	ACRBP|84519	10.1657
ACRC|93953	6.3654	ACRC|93953	23.7199
ACRV1|56	6.82	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACR|49	5.6476
lowly_expressed	lowly_expressed	ACSBG1|23205	62.8765
ACSF2|80221	772.4834	ACSF2|80221	2259.7892
ACSF3|197322	273.711	ACSF3|197322	566.6416
ACSL1|2180	1502.2279	ACSL1|2180	21829.8193
ACSL3|2181	3380.9221	ACSL3|2181	32129.8946
ACSL4|2182	595.617	ACSL4|2182	1237.9518
ACSL5|51703	423.2973	ACSL5|51703	958.2078
ACSL6|23305	27.7348	ACSL6|23305	9.0361
ACSM1|116285	9.0934	ACSM1|116285	30029.744
ACSM3|6296	33.2909	ACSM3|6296	2845.9563
ACSM5|54988	15.9134	ACSM5|54988	282.756
ACSS1|84532	839.3198	ACSS1|84532	1673.9458
ACSS2|55902	412.8399	ACSS2|55902	2850.5271
ACSS3|79611	82.2952	ACSS3|79611	1524.0964
ACTA1|58	9.0934	lowly_expressed	lowly_expressed
ACTA2|59	5550.1182	ACTA2|59	14343.509
lowly_expressed	lowly_expressed	ACTBL2|345651	7.5301
ACTB|60	56130.7629	ACTB|60	59166.4157
ACTG1|71	66486.7691	ACTG1|71	37225.1506
ACTG2|72	171.4104	ACTG2|72	3384.0361
ACTL6A|86	1381.2858	ACTL6A|86	739.0813
ACTL8|81569	52.287	lowly_expressed	lowly_expressed
ACTN1|87	3454.5785	ACTN1|87	7180.7229
ACTN4|81	6427.2802	ACTN4|81	10281.7545
ACTR10|55860	890.6975	ACTR10|55860	996.988
ACTR1A|10121	3595.5261	ACTR1A|10121	2578.6898
ACTR1B|10120	523.7792	ACTR1B|10120	1320.7831
ACTR2|10097	7991.725	ACTR2|10097	5262.8012
ACTR3B|57180	464.2175	ACTR3B|57180	148.7199
ACTR3C|653857	39.5562	ACTR3C|653857	57.6054
ACTR3|10096	3909.7026	ACTR3|10096	2398.7199
ACTR5|79913	265.0723	ACTR5|79913	215.3614
ACTR6|64431	485.587	ACTR6|64431	769.9548
ACTR8|93973	397.8358	ACTR8|93973	387.4247
ACVR1B|91	1765.9362	ACVR1B|91	1106.1747
ACVR1C|130399	8.6387	ACVR1C|130399	746.6114
ACVR1|90	744.2939	ACVR1|90	1152.8614
ACVR2A|92	230.0627	ACVR2A|92	490.2108
ACVR2B|93	608.8024	ACVR2B|93	232.3042
ACVRL1|94	363.2809	ACVRL1|94	731.9277
ACY1|95	276.8937	ACY1|95	912.6506
lowly_expressed	lowly_expressed	ACY3|91703	33.509
ACYP1|97	78.6578	ACYP1|97	64.006
ACYP2|98	132.3088	ACYP2|98	140.0602
ADAL|161823	92.7526	ADAL|161823	198.7952
ADAM10|102	1482.2224	ADAM10|102	1966.8675
ADAM11|4185	19.5508	lowly_expressed	lowly_expressed
ADAM12|8038	1923.2518	ADAM12|8038	380.6476
ADAM15|8751	1536.3872	ADAM15|8751	4564.0926
ADAM17|6868	830.6811	ADAM17|6868	771.8373
ADAM19|8728	263.2536	ADAM19|8728	73.0422
ADAM22|53616	243.7028	ADAM22|53616	86.9729
ADAM23|8745	29.0988	ADAM23|8745	25.9789
ADAM28|10863	60.471	ADAM28|10863	94.503
lowly_expressed	lowly_expressed	ADAM29|11086	6.0241
lowly_expressed	lowly_expressed	ADAM2|2515	21.8373
ADAM32|203102	28.1895	ADAM32|203102	32.756
ADAM33|80332	45.9216	ADAM33|80332	753.0949
ADAM6|8755	11027.2302	ADAM6|8755	49986.3931
ADAM8|101	62.7444	ADAM8|101	62.8765
ADAM9|8754	1259.8891	ADAM9|8754	2600.1506
ADAMDEC1|27299	14.5494	lowly_expressed	lowly_expressed
ADAMTS10|81794	83.6592	ADAMTS10|81794	172.0633
ADAMTS12|81792	588.3423	ADAMTS12|81792	181.8524
ADAMTS13|11093	46.3763	ADAMTS13|11093	58.7349
ADAMTS14|140766	33.1909	lowly_expressed	lowly_expressed
ADAMTS15|170689	471.0376	ADAMTS15|170689	194.6536
ADAMTS16|170690	66.8364	ADAMTS16|170690	108.4337
ADAMTS17|170691	311.9032	ADAMTS17|170691	125.753
ADAMTS18|170692	11.8214	ADAMTS18|170692	243.5994
ADAMTS19|171019	185.0505	lowly_expressed	lowly_expressed
ADAMTS1|9510	934.3457	ADAMTS1|9510	5137.8012
ADAMTS2|9509	386.469	ADAMTS2|9509	367.0934
ADAMTS3|9508	40.0109	ADAMTS3|9508	61.3705
ADAMTS4|9507	461.9442	ADAMTS4|9507	765.4367
ADAMTS5|11096	146.8582	ADAMTS5|11096	1830.5723
ADAMTS6|11174	74.5658	ADAMTS6|11174	15.8133
ADAMTS7|11173	247.7949	ADAMTS7|11173	60.241
ADAMTS8|11095	15.4588	ADAMTS8|11095	28.6145
ADAMTS9|56999	317.8139	ADAMTS9|56999	508.6596
ADAMTSL1|92949	175.5024	ADAMTSL1|92949	332.0783
ADAMTSL2|9719	230.0627	ADAMTSL2|9719	33.8855
ADAMTSL3|57188	130.4901	ADAMTSL3|57188	217.244
ADAMTSL4|54507	60.0164	ADAMTSL4|54507	744.7289
ADAMTSL5|339366	5.0014	ADAMTSL5|339366	51.2048
ADAP1|11033	60.3892	ADAP1|11033	65.1355
ADAP2|55803	230.0627	ADAP2|55803	126.8825
ADARB1|104	937.9831	ADARB1|104	727.4096
lowly_expressed	lowly_expressed	ADARB2|105	16.5663
ADAR|103	10276.8937	ADAR|103	6114.0813
ADAT1|23536	360.5529	ADAT1|23536	619.3524
ADAT2|134637	120.9421	ADAT2|134637	144.9548
ADAT3|113179	19.0961	ADAT3|113179	36.1446
ADA|100	174.5931	ADA|100	63.6295
ADCK1|57143	170.9557	ADCK1|57143	221.009
ADCK2|90956	3420.5056	ADCK2|90956	660.0151
ADCK4|79934	256.4336	ADCK4|79934	501.1295
