gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ENPP4|22875	268.0267	ENPP4|22875	668.8679
ENPP5|59084	223.3556	ENPP5|59084	735.3774
ENPP6|133121	5.6279	ENPP6|133121	25.0
ENSA|2029	5232.8526	ENSA|2029	3595.283
ENTPD1|953	1075.6243	ENTPD1|953	1044.3396
ENTPD2|954	479.7749	ENTPD2|954	356.1321
ENTPD3|956	45.7263	ENTPD3|956	146.1745
ENTPD4|9583	374.2526	ENTPD4|9583	464.6226
ENTPD5|957	139.2121	ENTPD5|957	359.2877
ENTPD6|955	1720.3658	ENTPD6|955	1536.3208
ENTPD7|57089	524.0591	ENTPD7|57089	318.0802
ENTPD8|377841	8.09	ENTPD8|377841	9.434
ENY2|56943	694.337	ENY2|56943	414.6226
lowly_expressed	lowly_expressed	EOMES|8320	15.0943
EP300|2033	3606.0499	EP300|2033	3459.434
EP400NL|347918	55.9268	EP400NL|347918	100.9434
EP400|57634	1126.6268	EP400|57634	1677.8302
EPAS1|2034	2289.8347	EPAS1|2034	6516.0377
EPB41L1|2036	1770.6648	EPB41L1|2036	2354.2453
EPB41L2|2037	747.0981	EPB41L2|2037	3134.9057
EPB41L3|23136	655.2937	EPB41L3|23136	755.1887
EPB41L4A|64097	649.6658	EPB41L4A|64097	685.8491
EPB41L4B|54566	1014.0696	EPB41L4B|54566	711.7925
EPB41L5|57669	698.5579	EPB41L5|57669	585.8491
EPB41|2035	646.2153	EPB41|2035	1095.566
lowly_expressed	lowly_expressed	EPB42|2038	27.3585
EPB49|2039	17.9388	EPB49|2039	758.4906
EPC1|80314	300.3869	EPC1|80314	765.0943
EPC2|26122	412.9441	EPC2|26122	791.5094
EPCAM|4072	2756.9469	EPCAM|4072	2356.1321
EPDR1|54749	206.1203	EPDR1|54749	504.2453
EPHA10|284656	109.0397	EPHA10|284656	81.1321
EPHA1|2041	255.7158	EPHA1|2041	329.717
EPHA2|1969	108.3363	EPHA2|1969	962.2642
EPHA3|2042	164.2631	EPHA3|2042	41.9811
EPHA4|2043	82.6592	EPHA4|2043	421.6981
lowly_expressed	lowly_expressed	EPHA5|2044	9.434
lowly_expressed	lowly_expressed	EPHA6|285220	10.3774
EPHA7|2045	11.6075	EPHA7|2045	35.8491
EPHB1|2047	15.1249	EPHB1|2047	729.717
EPHB2|2048	234.9631	EPHB2|2048	58.4906
EPHB3|2049	692.5783	EPHB3|2049	1691.0377
EPHB4|2050	836.0886	EPHB4|2050	2372.6415
EPHB6|2051	32.3602	EPHB6|2051	393.3962
EPHX1|2052	4024.2701	EPHX1|2052	3158.0189
EPHX2|2053	866.6901	EPHX2|2053	856.6038
lowly_expressed	lowly_expressed	EPHX3|79852	10.3774
EPHX4|253152	205.4168	EPHX4|253152	34.434
EPM2AIP1|9852	1661.625	EPM2AIP1|9852	1563.2075
EPM2A|7957	70.3482	EPM2A|7957	216.5094
EPN1|29924	1385.5083	EPN1|29924	1216.9811
EPN2|22905	100.2462	EPN2|22905	1097.1698
EPN3|55040	869.1523	EPN3|55040	258.4906
EPOR|2057	107.281	EPOR|2057	65.566
EPO|2056	22.8632	lowly_expressed	lowly_expressed
EPPK1|83481	861.0623	EPPK1|83481	1704.2453
EPR1|8475	942.0436	EPR1|8475	91.2123
EPRS|2058	7359.1277	EPRS|2058	3097.1698
EPS15L1|58513	1141.3999	EPS15L1|58513	746.2264
EPS15|2060	1279.6342	EPS15|2060	2159.9057
EPS8L1|54869	145.2691	EPS8L1|54869	400.9434
EPS8L2|64787	472.0366	EPS8L2|64787	1510.8491
EPS8|2059	1795.9902	EPS8|2059	1857.0755
EPSTI1|94240	438.9729	EPSTI1|94240	100.4717
EPT1|85465	1612.7295	EPT1|85465	899.9906
EPYC|1833	116.4263	lowly_expressed	lowly_expressed
ERAL1|26284	1199.0855	ERAL1|26284	701.8868
ERAP1|51752	1372.8702	ERAP1|51752	1959.4151
ERAP2|64167	850.8618	ERAP2|64167	796.2264
ERBB2IP|55914	2926.8378	ERBB2IP|55914	2409.4339999999997
ERBB2|2064	130896.2364	ERBB2|2064	5592.9245
ERBB3|2065	4211.3964	ERBB3|2065	5674.5283
ERBB4|2066	507.5624	ERBB4|2066	885.8491
ERC1|23085	537.8122	ERC1|23085	1782.5472
ERC2|26059	89.694	ERC2|26059	14.6226
ERCC1|2067	1083.9184	ERCC1|2067	954.3821
ERCC2|2068	458.6704	ERCC2|2068	325.0
ERCC3|2071	1054.5199	ERCC3|2071	1148.1132
ERCC4|2072	878.2976	ERCC4|2072	308.9623
ERCC5|2073	595.8495	ERCC5|2073	1441.0377
ERCC6L|54821	307.7735	ERCC6L|54821	22.6415
ERCC6|2074	256.159	ERCC6|2074	352.9481
ERCC8|1161	244.1083	ERCC8|1161	160.3774
lowly_expressed	lowly_expressed	EREG|2069	12.7358
ERF|2077	628.5614	ERF|2077	1128.3019
ERGIC1|57222	7687.3021	ERGIC1|57222	3900.4717
ERGIC2|51290	739.3598	ERGIC2|51290	741.5094
ERGIC3|51614	6150.8969	ERGIC3|51614	3698.1132
ERG|2078	157.9318	ERG|2078	738.2075
ERH|2079	1654.2385	ERH|2079	998.1132
ERI1|90459	413.6476	ERI1|90459	343.3962
ERI2|112479	1294.9384	ERI2|112479	400.3491
ERI3|79033	1088.6388	ERI3|79033	797.1698
ERICH1|157697	172.0014	ERICH1|157697	302.8302
ERLEC1|27248	2202.2511	ERLEC1|27248	1531.1321
ERLIN1|10613	1222.6521	ERLIN1|10613	1038.6792
ERLIN2|11160	2847.3444	ERLIN2|11160	2021.2264
ERMAP|114625	158.987	ERMAP|114625	554.717
ERMN|57471	23.9184	ERMN|57471	7.5472
ERMP1|79956	1156.6796	ERMP1|79956	1307.6745
ERN1|2081	142.8069	ERN1|2081	449.5283
ERO1LB|56605	272.9511	ERO1LB|56605	502.8302
ERO1L|30001	786.8449	ERO1L|30001	549.5283
ERP27|121506	101.6532	ERP27|121506	207.5472
ERP29|10961	1899.7538	lowly_expressed	lowly_expressed
ERP44|23071	1428.0689	ERP44|23071	1310.8491
ERRFI1|54206	907.8438	ERRFI1|54206	2504.717
lowly_expressed	lowly_expressed	ERVFRDE1|405754	13.6792
ESAM|90952	471.3331	ESAM|90952	909.9057
ESCO1|114799	519.5216	ESCO1|114799	660.3774
ESCO2|157570	595.4977	ESCO2|157570	37.2642
ESD|2098	1525.5012	ESD|2098	1934.9057
ESF1|51575	1127.3303	ESF1|51575	483.0189
ESM1|11082	440.0281	ESM1|11082	18.8679
ESPL1|9700	760.4643	ESPL1|9700	110.8491
lowly_expressed	lowly_expressed	ESPNL|339768	8.4906
ESPN|83715	299.6834	ESPN|83715	152.3585
ESR1|2099	11313.4013	ESR1|2099	5308.9623
ESR2|2100	5.2761	ESR2|2100	11.7925
ESRP1|54845	3702.427	ESRP1|54845	2220.7547
ESRP2|80004	1269.7854	ESRP2|80004	1069.3396
ESRRA|2101	593.739	ESRRA|2101	456.1321
ESRRG|2104	18.6423	ESRRG|2104	135.8491
ESYT1|23344	2248.681	ESYT1|23344	5155.1887
ESYT2|57488	2391.4879	ESYT2|57488	4861.3208
ESYT3|83850	34.1189	ESYT3|83850	97.6415
ETAA1|54465	524.446	ETAA1|54465	326.8868
ETF1|2107	3587.4077	ETF1|2107	3981.1321
ETFA|2108	1121.7024	ETFA|2108	847.6415
ETFB|2109	481.1819	ETFB|2109	954.2453
ETFDH|2110	321.1396	ETFDH|2110	523.5425
ETHE1|23474	394.3018	ETHE1|23474	391.0377
ETNK1|55500	993.6687	ETNK1|55500	1716.0377
ETNK2|55224	1751.6708	ETNK2|55224	380.6604
ETS1|2113	1170.9462	ETS1|2113	2956.6038
ETS2|2114	636.6514	ETS2|2114	2902.8302
ETV1|2115	281.7446	ETV1|2115	553.7736
ETV2|2116	15.1249	ETV2|2116	6.1321
lowly_expressed	lowly_expressed	ETV3L|440695	10.8491
ETV3|2117	310.9391	ETV3|2117	406.1321
ETV4|2118	64.7204	ETV4|2118	185.3774
ETV5|2119	237.77700000000002	ETV5|2119	983.0189
ETV6|2120	1031.6567	ETV6|2120	2564.1509
ETV7|51513	91.8044	ETV7|51513	58.0189
EVC2|132884	36.2293	EVC2|132884	206.1321
EVC|2121	358.4242	EVC|2121	1089.8962
EVI2A|2123	250.4397	EVI2A|2123	181.6038
EVI2B|2124	369.3282	EVI2B|2124	265.566
EVI5L|115704	243.7566	EVI5L|115704	286.3208
EVI5|7813	312.3461	EVI5|7813	487.2642
EVL|51466	1004.9244	EVL|51466	1888.6792
EVPLL|645027	5.2761	EVPLL|645027	5.6604
EVPL|2125	441.4351	EVPL|2125	486.3208
EWSR1|2130	4275.765	EWSR1|2130	4234.434
EXD2|55218	513.8938	EXD2|55218	782.5472
EXD3|54932	160.394	EXD3|54932	192.9245
EXO1|9156	876.1871	EXO1|9156	76.8868
EXOC1|55763	565.248	EXOC1|55763	1067.4528
EXOC2|55770	679.9156	EXOC2|55770	792.9245
EXOC3L2|90332	49.9472	EXOC3L2|90332	19.8113
EXOC3L|283849	34.1189	EXOC3L|283849	76.7689
EXOC3|11336	1068.2378	EXOC3|11336	1202.8302
EXOC4|60412	1737.2494	EXOC4|60412	1372.1698
EXOC5|10640	1143.8621	EXOC5|10640	1321.2264
EXOC6B|23233	192.7541	EXOC6B|23233	261.7925
EXOC6|54536	902.216	EXOC6|54536	401.8868
EXOC7|23265	2066.0675	EXOC7|23265	3241.6745
EXOC8|149371	722.1245	EXOC8|149371	545.283
EXOG|9941	92.5079	EXOG|9941	125.0
EXOSC10|5394	1501.9346	EXOSC10|5394	1545.283
EXOSC1|51013	510.3764	EXOSC1|51013	182.5472
EXOSC2|23404	792.4727	EXOSC2|23404	449.5283
EXOSC3|51010	381.2874	EXOSC3|51010	240.0943
EXOSC4|54512	404.85400000000004	EXOSC4|54512	196.2264
EXOSC5|56915	651.7763	EXOSC5|56915	288.6792
EXOSC6|118460	223.3556	EXOSC6|118460	307.5472
EXOSC7|23016	857.8966	EXOSC7|23016	425.9434
EXOSC8|11340	283.943	EXOSC8|11340	273.2783
EXOSC9|5393	431.7059	EXOSC9|5393	480.4434
EXPH5|23086	678.1569	EXPH5|23086	515.566
EXT1|2131	861.0623	EXT1|2131	1089.1509
EXT2|2132	1321.4914	EXT2|2132	1698.5849
EXTL1|2134	13.3662	EXTL1|2134	126.4151
EXTL2|2135	275.765	EXTL2|2135	436.3208
EXTL3|2137	746.3947	EXTL3|2137	1221.6981
EYA1|2138	34.4706	EYA1|2138	10.8491
EYA2|2139	438.9729	EYA2|2139	771.6981
EYA3|2140	174.1119	EYA3|2140	197.6415
lowly_expressed	lowly_expressed	EYA4|2070	10.8491
EYS|346007	8.09	EYS|346007	17.4528
EZH1|2145	823.0742	EZH1|2145	1444.8113
EZH2|2146	457.9669	EZH2|2146	126.8868
EZR|7430	5364.7555	EZR|7430	5647.6415
F10|2159	6.3313	F10|2159	173.5849
F11R|50848	4904.3264	F11R|50848	4291.5094
F12|2161	185.7193	F12|2161	18.8679
F13A1|2162	1563.8410000000001	F13A1|2162	1883.0189
F2RL1|2150	81.6039	F2RL1|2150	289.1509
F2RL2|2151	157.2283	F2RL2|2151	197.6415
F2RL3|9002	25.6771	F2RL3|9002	31.1321
F2R|2149	922.2652	F2R|2149	742.9245
F3|2152	106.5776	F3|2152	1880.1887
F5|2153	71.4034	F5|2153	14.1509
F7|2155	27.0841	F7|2155	17.9245
F8A1|8263	67.1826	F8A1|8263	57.5472
F8|2157	157.58	F8|2157	1037.2736
FA2H|79152	69.6447	FA2H|79152	47.6415
FAAH2|158584	304.2561	FAAH2|158584	211.3208
FAAH|2166	345.4098	FAAH|2166	372.1698
FABP3|2170	104.1154	FABP3|2170	73.5849
FABP4|2167	146.3243	FABP4|2167	5744.8113
FABP5|2171	32.7119	FABP5|2171	96.2264
FABP6|2172	11.6075	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FABP7|2173	2109.9057
FADD|8772	569.1171	FADD|8772	378.3019
FADS1|3992	10716.5459	FADS1|3992	317.9245
FADS2|9415	44591.2276	FADS2|9415	628.3019
FADS3|3995	533.943	FADS3|3995	520.7547
FAF1|11124	876.1871	FAF1|11124	866.9811
FAF2|23197	2571.5793	FAF2|23197	1566.0377
FAHD1|81889	671.1221	FAHD1|81889	311.3208
FAHD2A|51011	393.9501	FAHD2A|51011	333.4906
FAHD2B|151313	701.3718	FAHD2B|151313	288.2075
FAH|2184	1034.4706	FAH|2184	789.1509
FAIM2|23017	342.5958	FAIM2|23017	43.3962
FAIM3|9214	134.446	FAIM3|9214	155.2642
FAIM|55179	161.4492	FAIM|55179	265.566
FAM100A|124402	264.5093	FAM100A|124402	313.2075
FAM100B|283991	590.2216	FAM100B|283991	440.0943
FAM101A|144347	55.5751	FAM101A|144347	220.283
FAM101B|359845	192.4024	FAM101B|359845	475.0
FAM102A|399665	2903.2712	FAM102A|399665	2383.4906
FAM102B|284611	1055.5751	FAM102B|284611	894.3396
FAM103A1|83640	452.3391	FAM103A1|83640	283.9623
FAM104A|84923	937.2072	FAM104A|84923	725.0189
FAM104B|90736	245.5153	FAM104B|90736	149.0566
FAM105A|54491	128.0338	FAM105A|54491	248.5849
FAM105B|90268	688.7091	FAM105B|90268	448.5849
lowly_expressed	lowly_expressed	FAM106A|80039	9.9057
FAM106C|100129396	12.6627	FAM106C|100129396	9.9057
FAM107A|11170	20.0492	FAM107A|11170	1288.6792
FAM107B|83641	1178.6845	FAM107B|83641	1995.7547
FAM108A1|81926	176.574	FAM108A1|81926	213.6792
FAM108B1|51104	306.3665	FAM108B1|51104	281.6038
FAM108C1|58489	697.1509	FAM108C1|58489	298.1132
FAM109A|144717	120.6472	FAM109A|144717	218.8679
FAM109B|150368	212.4516	FAM109B|150368	312.2642
FAM10A4|145165	500.8794	FAM10A4|145165	366.0377
FAM110A|83541	881.815	FAM110A|83541	207.5472
FAM110B|90362	414.7028	FAM110B|90362	165.56599999999997
FAM110C|642273	5.6279	FAM110C|642273	12.7358
FAM111A|63901	3636.2997	FAM111A|63901	862.7358
FAM111B|374393	2705.9444	FAM111B|374393	271.6981
FAM113A|64773	882.8702	FAM113A|64773	383.9623
FAM113B|91523	705.9444	FAM113B|91523	117.4623
FAM114A1|92689	425.9585	FAM114A1|92689	696.6981
FAM114A2|10827	865.2832	FAM114A2|10827	430.1887
FAM115A|9747	619.7679	FAM115A|9747	573.1132
FAM115C|285966	348.7689	FAM115C|285966	402.6698
FAM116A|201627	1221.2452	FAM116A|201627	1026.4151
FAM116B|414918	294.0556	FAM116B|414918	171.6981
FAM117A|81558	405.9093	FAM117A|81558	583.0189
FAM117B|150864	386.2117	FAM117B|150864	381.1321
FAM118A|55007	358.0725	FAM118A|55007	353.3019
FAM118B|79607	335.2093	FAM118B|79607	187.2642
FAM119A|151194	193.1059	FAM119A|151194	146.2264
FAM119B|25895	302.4974	FAM119B|25895	390.566
FAM120AOS|158293	1891.2557	FAM120AOS|158293	1280.3208
FAM120A|23196	5965.5856	FAM120A|23196	4101.7547
FAM120B|84498	900.809	FAM120B|84498	1066.0377
FAM120C|54954	177.981	FAM120C|54954	370.283
FAM122A|116224	436.159	FAM122A|116224	844.8113
FAM122B|159090	670.7703	FAM122B|159090	662.2642
FAM122C|159091	11.9592	FAM122C|159091	30.6604
lowly_expressed	lowly_expressed	FAM123A|219287	26.4151
FAM123B|139285	338.375	FAM123B|139285	207.0755
FAM124A|220108	16.1801	FAM124A|220108	53.7736
FAM124B|79843	18.6423	FAM124B|79843	27.8302
FAM125A|93343	462.1878	FAM125A|93343	380.1887
FAM125B|89853	180.7949	FAM125B|89853	354.2453
FAM126A|84668	206.1203	FAM126A|84668	1623.1132
FAM126B|285172	535.35	FAM126B|285172	543.3962
FAM127A|8933	811.4668	FAM127A|8933	1064.6226
FAM127B|26071	576.8554	FAM127B|26071	621.2264
FAM127C|441518	491.7341	FAM127C|441518	399.0566
FAM128A|653784	271.1924	FAM128A|653784	195.283
FAM128B|80097	475.9057	FAM128B|80097	425.9434
FAM129A|116496	1319.7327	FAM129A|116496	6271.6981
FAM129B|64855	2595.8495	FAM129B|64855	3737.7358
FAM131A|131408	345.05800000000005	FAM131A|131408	413.2075
FAM131B|9715	42.5607	FAM131B|9715	86.3208
FAM133A|286499	17.2353	FAM133A|286499	5.6604
FAM133B|257415	160.0422	FAM133B|257415	91.9811
FAM134A|79137	2361.2381	FAM134A|79137	2431.6038
FAM134B|54463	507.5624	FAM134B|54463	716.9811
FAM134C|162427	2153.3591	FAM134C|162427	1626.4151
FAM135A|57579	220.1899	FAM135A|57579	387.7358
lowly_expressed	lowly_expressed	FAM135B|51059	15.565999999999999
FAM136A|84908	599.7186	FAM136A|84908	527.8302
FAM13AOS|285512	6.574	FAM13AOS|285512	64.0566
FAM13A|10144	229.4442	FAM13A|10144	1289.7169999999999
FAM13B|51306	789.9965	FAM13B|51306	1712.7264
FAM13C|220965	35.2972	FAM13C|220965	212.7311
lowly_expressed	lowly_expressed	FAM149A|25854	187.7358
FAM149B1|317662	661.625	FAM149B1|317662	506.6038
lowly_expressed	lowly_expressed	FAM150B|285016	34.434
FAM151B|167555	58.7408	FAM151B|167555	16.5094
FAM154B|283726	26.3806	FAM154B|283726	24.0566
FAM155A|728215	108.68799999999999	lowly_expressed	lowly_expressed
FAM155B|27112	80.197	FAM155B|27112	20.7547
FAM156A|29057	243.7566	FAM156A|29057	611.7925
FAM157A|728262	15.4766	FAM157A|728262	9.434
FAM158A|51016	150.5452	FAM158A|51016	80.1887
lowly_expressed	lowly_expressed	FAM159A|348378	7.5472
FAM160A1|729830	61.203	FAM160A1|729830	352.3585
FAM160A2|84067	368.9764	FAM160A2|84067	873.5849
FAM160B1|57700	723.5315	FAM160B1|57700	853.7736
FAM160B2|64760	577.9107	FAM160B2|64760	1101.8868
FAM161A|84140	115.0193	FAM161A|84140	79.2453
FAM161B|145483	84.4179	FAM161B|145483	254.5802
FAM162A|26355	1506.1555	FAM162A|26355	556.6038
lowly_expressed	lowly_expressed	FAM162B|221303	36.3208
FAM164A|51101	317.6222	FAM164A|51101	437.2642
FAM164C|79696	62.2582	FAM164C|79696	77.8302
FAM165B|54065	277.5237	FAM165B|54065	343.3962
lowly_expressed	lowly_expressed	FAM166B|730112	30.1887
FAM167A|83648	34.8224	FAM167A|83648	106.1321
FAM167B|84734	44.6711	FAM167B|84734	34.9057
FAM168A|23201	350.6859	FAM168A|23201	458.9623
FAM168B|130074	2390.7844	FAM168B|130074	3583.4906
FAM169A|26049	66.4791	FAM169A|26049	124.0566
FAM171A1|221061	76.3278	FAM171A1|221061	740.0943
FAM171A2|284069	16.1801	FAM171A2|284069	9.9057
FAM171B|165215	149.8417	FAM171B|165215	439.6226
FAM172A|83989	588.1112	FAM172A|83989	711.7925
FAM173A|65990	107.6328	FAM173A|65990	43.8679
FAM173B|134145	498.4172	FAM173B|134145	196.2264
FAM174A|345757	421.7376	FAM174A|345757	257.5472
FAM174B|400451	813.5772	FAM174B|400451	795.283
FAM175A|84142	192.9159	FAM175A|84142	313.6651
FAM175B|23172	675.3429	FAM175B|23172	509.9057
FAM176A|84141	76.3278	FAM176A|84141	74.5283
FAM176B|55194	59.7045	FAM176B|55194	125.8585
FAM177A1|283635	686.9504	FAM177A1|283635	850.0
FAM178A|55719	1187.1263	FAM178A|55719	800.0
FAM178B|51252	54.1681	FAM178B|51252	8.9623
lowly_expressed	lowly_expressed	FAM179A|165186	7.0755
FAM179B|23116	456.56	FAM179B|23116	724.5283
FAM180A|389558	49.2438	FAM180A|389558	105.1887
lowly_expressed	lowly_expressed	FAM180B|399888	25.9434
lowly_expressed	lowly_expressed	FAM181B|220382	10.8491
lowly_expressed	lowly_expressed	FAM182A|284800	5.1887
FAM182B|728882	10.2005	FAM182B|728882	8.4906
FAM184A|79632	121.3507	FAM184A|79632	205.6604
FAM184B|27146	20.3482	FAM184B|27146	33.6462
FAM185A|222234	80.9005	FAM185A|222234	84.434
FAM186B|84070	8.4418	FAM186B|84070	16.0377
FAM188A|80013	511.0798	FAM188A|80013	492.9245
FAM188B|84182	15.1249	FAM188B|84182	235.9528
lowly_expressed	lowly_expressed	FAM189A1|23359	6.1321
FAM189A2|9413	5.2761	FAM189A2|9413	1108.4906
FAM189B|10712	752.3743	FAM189B|10712	467.4528
FAM18A|780776	6.9082	FAM18A|780776	29.2453
FAM18B2|201158	179.3774	FAM18B2|201158	217.0
FAM18B|51030	625.7474	FAM18B|51030	664.1509
FAM190A|401145	50.6507	FAM190A|401145	132.0755
FAM190B|54462	1323.6018	FAM190B|54462	1834.434
FAM192A|80011	1435.4555	lowly_expressed	lowly_expressed
FAM193A|8603	357.7207	FAM193A|8603	730.6604
FAM193B|54540	447.06300000000005	FAM193B|54540	738.2075
FAM195A|84331	285.262	FAM195A|84331	94.8113
FAM195B|348262	758.7056	FAM195B|348262	1119.3396
FAM196A|642938	5.9796	FAM196A|642938	92.9245
lowly_expressed	lowly_expressed	FAM196B|100131897	136.3208
FAM198A|729085	18.6423	FAM198A|729085	409.434
FAM198B|51313	1986.6338	FAM198B|51313	5941.0377
FAM199X|139231	931.0587	FAM199X|139231	554.717
FAM19A2|338811	8.09	FAM19A2|338811	25.0
lowly_expressed	lowly_expressed	FAM19A3|284467	26.4151
FAM19A5|25817	33.0637	FAM19A5|25817	45.7547
FAM200A|221786	172.7049	FAM200A|221786	116.0377
FAM200B|285550	229.3352	FAM200B|285550	410.3774
FAM20A|54757	183.6089	FAM20A|54757	282.0755
FAM20B|9917	2137.179	FAM20B|9917	2085.3774
FAM20C|56975	217.0243	FAM20C|56975	1075.9434
FAM21A|387680	88.6388	FAM21A|387680	441.5094
FAM21B|55747	608.5121	FAM21B|55747	803.3019
FAM21C|253725	697.8544	FAM21C|253725	1667.4528
FAM22A|728118	31.305	FAM22A|728118	48.1132
FAM22D|728130	72.4587	FAM22D|728130	101.4151
FAM23A|653567	6.6831	FAM23A|653567	10.8491
FAM24B|196792	59.6272	FAM24B|196792	12.4009
FAM26E|254228	164.2631	FAM26E|254228	155.6604
FAM26F|441168	95.6736	FAM26F|441168	54.2453
FAM27A|548321	65.0721	FAM27A|548321	14.6226
FAM27C|100132948	55.2234	FAM27C|100132948	11.7925
FAM32A|26017	1663.0320000000002	FAM32A|26017	1374.5283
FAM35A|54537	797.7489	FAM35A|54537	766.9811
FAM35B2|439965	69.9965	FAM35B2|439965	74.5283
FAM35B|414241	238.1287	FAM35B|414241	239.1509
FAM36A|116228	1322.3567	FAM36A|116228	858.7925
FAM38A|9780	1110.1899	FAM38A|9780	2821.4292
FAM38B|63895	50.6507	FAM38B|63895	818.8679
FAM3A|60343	370.0317	FAM3A|60343	458.9623
FAM3B|54097	39.0433	FAM3B|54097	239.6226
FAM3C|10447	1097.0805	FAM3C|10447	1011.7925
lowly_expressed	lowly_expressed	FAM3D|131177	158.0189
FAM40A|85369	292.2969	FAM40A|85369	687.7358
FAM40B|57464	32.7119	FAM40B|57464	48.1132
FAM41C|284593	14.7731	FAM41C|284593	16.0377
FAM43A|131583	89.694	FAM43A|131583	286.3208
FAM43B|163933	5.2761	FAM43B|163933	5.6604
FAM45A|404636	419.9789	FAM45A|404636	342.9245
FAM45B|55855	198.7337	FAM45B|55855	183.4906
FAM46A|55603	399.9297	FAM46A|55603	1097.6415
FAM46B|115572	313.4013	FAM46B|115572	1284.9057
FAM46C|54855	852.9722	FAM46C|54855	783.0189
FAM47E|100129583	122.01899999999999	FAM47E|100129583	239.8349
FAM48A|55578	701.2839	FAM48A|55578	962.0991
FAM49A|81553	35.5259	FAM49A|81553	243.3962
FAM49B|51571	2848.0478	FAM49B|51571	935.8491
FAM50A|9130	784.0310000000001	FAM50A|9130	604.717
FAM50B|26240	64.3686	FAM50B|26240	153.7736
FAM53A|152877	9.1453	FAM53A|152877	18.3962
FAM53B|9679	413.8762	FAM53B|9679	674.0802
FAM53C|51307	997.5378	FAM53C|51307	2092.9245
FAM54A|113115	154.4144	FAM54A|113115	11.7925
FAM54B|56181	610.2040000000001	FAM54B|56181	1107.1745
FAM55C|91775	1084.4179	FAM55C|91775	981.6038
FAM57A|79850	217.7278	FAM57A|79850	200.9434
FAM57B|83723	150.6085	lowly_expressed	lowly_expressed
FAM58A|92002	157.58	FAM58A|92002	187.2642
FAM59A|64762	167.077	FAM59A|64762	184.43400000000003
lowly_expressed	lowly_expressed	FAM5B|57795	137.2642
FAM60A|58516	920.5065	FAM60A|58516	1881.1321
FAM63A|55793	595.146	FAM63A|55793	842.9245
FAM63B|54629	299.3317	FAM63B|54629	369.8113
FAM64A|54478	206.472	FAM64A|54478	33.0189
FAM65A|79567	698.5579	FAM65A|79567	1313.2075
FAM65B|9750	120.6472	FAM65B|9750	151.4151
FAM65C|140876	59.4442	FAM65C|140876	85.8491
FAM66C|440078	6.3313	FAM66C|440078	28.7736
FAM69A|388650	211.7482	FAM69A|388650	414.6226
FAM69B|138311	44.7591	FAM69B|138311	154.8538
lowly_expressed	lowly_expressed	FAM69C|125704	12.2642
FAM70A|55026	56.6303	FAM70A|55026	329.2453
FAM70B|348013	26.0288	FAM70B|348013	36.7925
FAM71D|161142	38.3398	FAM71D|161142	20.7547
FAM71E1|112703	56.662	FAM71E1|112703	28.8632
FAM71F2|346653	8.09	FAM71F2|346653	14.6226
FAM72A|729533	230.0387	FAM72A|729533	15.565999999999999
FAM72B|653820	422.4411	FAM72B|653820	65.0943
FAM72D|728833	352.7963	FAM72D|728833	45.7547
FAM73A|374986	322.5466	FAM73A|374986	773.1132
FAM73B|84895	315.8635	FAM73B|84895	416.0377
FAM76A|199870	263.4541	FAM76A|199870	332.0755
FAM76B|143684	496.3067	FAM76B|143684	389.1509
FAM78A|286336	75.9761	FAM78A|286336	109.434
FAM78B|149297	10.5522	FAM78B|149297	25.0
FAM81A|145773	14.0696	FAM81A|145773	39.1509
FAM82A1|151393	71.7552	FAM82A1|151393	116.5094
FAM82A2|55177	1030.2497	FAM82A2|55177	928.7736
FAM82B|51115	1076.6796	FAM82B|51115	814.1509
FAM83A|84985	79.4935	FAM83A|84985	10.8491
lowly_expressed	lowly_expressed	FAM83B|222584	109.9057
FAM83D|81610	1333.8023	FAM83D|81610	107.0755
lowly_expressed	lowly_expressed	FAM83E|54854	91.0377
FAM83F|113828	216.3208	FAM83F|113828	216.5094
FAM83G|644815	51.7059	FAM83G|644815	173.3208
FAM83H|286077	2459.0222	FAM83H|286077	1153.7736
FAM84A|151354	78.79	FAM84A|151354	230.6604
FAM84B|157638	6852.6205	FAM84B|157638	2243.8679
FAM86A|196483	533.8692	FAM86A|196483	243.75
FAM86B1|85002	74.9209	FAM86B1|85002	100.0
FAM86B2|653333	8.4418	FAM86B2|653333	5.1887
FAM86C|55199	368.273	FAM86C|55199	133.4906
FAM86D|692099	180.4432	FAM86D|692099	210.3774
FAM89A|375061	35.1741	FAM89A|375061	221.2264
FAM89B|23625	996.1308	FAM89B|23625	727.3585
FAM8A1|51439	1638.0584	FAM8A1|51439	1651.4151
FAM90A1|55138	10.5522	FAM90A1|55138	10.8491
FAM91A1|157769	2684.4882	FAM91A1|157769	1268.8679
FAM92A1|137392	152.3039	FAM92A1|137392	90.566
FAM95B1|100133036	5.6279	FAM95B1|100133036	29.2453
FAM96A|84191	887.4428	FAM96A|84191	370.283
FAM96B|51647	526.2047	FAM96B|51647	394.8113
FAM98A|25940	860.007	FAM98A|25940	776.4151
FAM98B|283742	349.6307	lowly_expressed	lowly_expressed
FAM98C|147965	311.6426	FAM98C|147965	200.0
FANCA|2175	251.9451	FANCA|2175	121.7689
FANCB|2187	41.8572	FANCB|2187	11.7925
FANCC|2176	320.0844	FANCC|2176	247.1698
