gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ACAA1|30	1352.0929	ACAA1|30	1147.6415
ACAA2|10449	340.4854	ACAA2|10449	1426.8868
ACACA|31	4865.6349	ACACA|31	1930.1887
ACACB|32	296.8695	ACACB|32	2230.1887
ACAD10|80724	438.9729	ACAD10|80724	533.0189
ACAD11|84129	341.1889	ACAD11|84129	607.0755
ACAD8|27034	625.7474	ACAD8|27034	573.1132
ACAD9|28976	1022.3215	ACAD9|28976	962.7358
lowly_expressed	lowly_expressed	ACADL|33	65.0943
ACADM|34	551.5301	ACADM|34	1091.9811
ACADSB|36	1211.3964	ACADSB|36	3792.4528
ACADS|35	174.8153	ACADS|35	460.8491
ACADVL|37	2468.1674	ACADVL|37	6310.8302
ACAN|176	81.2522	ACAN|176	8.9623
ACAP1|9744	62.6099	ACAP1|9744	91.0377
ACAP2|23527	1612.733	ACAP2|23527	1414.1509
ACAP3|116983	256.0781	ACAP3|116983	374.6038
ACAT1|38	1499.8241	ACAT1|38	1103.3019
ACAT2|39	1026.2258	ACAT2|39	350.9528
ACBD3|64746	2614.4917	ACBD3|64746	1560.8491
ACBD4|79777	220.5417	ACBD4|79777	317.4528
ACBD5|91452	1024.2701	ACBD5|91452	659.434
ACBD6|84320	478.3679	ACBD6|84320	365.0943
ACBD7|414149	433.6968	ACBD7|414149	34.434
lowly_expressed	lowly_expressed	ACCN1|40	9.434
ACCN2|41	120.6472	ACCN2|41	132.5472
ACCN3|9311	10.2005	ACCN3|9311	8.0189
ACCS|84680	73.8656	ACCS|84680	377.8302
ACD|65057	340.1337	ACD|65057	333.0189
lowly_expressed	lowly_expressed	ACE2|59272	34.9057
ACER2|340485	164.6148	ACER2|340485	156.1321
ACER3|55331	884.2772	ACER3|55331	359.9057
ACE|1636	287.3725	ACE|1636	580.6604
lowly_expressed	lowly_expressed	ACHE|43	16.9811
ACIN1|22985	2059.4442	ACIN1|22985	3361.3208
ACLY|47	8784.031	ACLY|47	3140.0943
ACN9|57001	81.9557	ACN9|57001	100
ACO1|48	772.0718	ACO1|48	1418.8679
ACO2|50	4325.6349	ACO2|50	2128.7406
ACOT11|26027	16.8836	ACOT11|26027	40.6509
ACOT13|55856	1237.4112	ACOT13|55856	478.2547
ACOT1|641371	479.4231	ACOT1|641371	467.9245
ACOT2|10965	269.4337	ACOT2|10965	320.7547
ACOT4|122970	247.9775	ACOT4|122970	123.5849
ACOT6|641372	6.6831	lowly_expressed	lowly_expressed
ACOT7|11332	620.1196	ACOT7|11332	253.7736
ACOT8|10005	783.7847	ACOT8|10005	232.4009
ACOT9|23597	253.9571	ACOT9|23597	557.0755
ACOX1|51	1531.4808	ACOX1|51	1693.5566
ACOX2|8309	1497.7137	ACOX2|8309	241.9811
ACOX3|8310	229.3352	ACOX3|8310	440.0943
ACP1|52	2148.7865	ACP1|52	1067.4528
ACP2|53	1018.2905	ACP2|53	684.9057
ACP5|54	1309.5322	ACP5|54	677.3585
ACP6|51205	173.4084	ACP6|51205	306.1321
ACPL2|92370	570.1724	ACPL2|92370	452.3585
lowly_expressed	lowly_expressed	ACPP|55	30.1887
ACRBP|84519	33.4154	ACRBP|84519	22.1698
ACRC|93953	10.5522	ACRC|93953	21.6981
lowly_expressed	lowly_expressed	ACR|49	10.3774
lowly_expressed	lowly_expressed	ACSBG1|23205	25.4717
ACSF2|80221	540.6261	ACSF2|80221	774.5283
ACSF3|197322	205.7686	ACSF3|197322	402.8302
ACSL1|2180	3052.7612	ACSL1|2180	3993.8679
ACSL3|2181	3810.0598	ACSL3|2181	2814.6226
ACSL4|2182	676.0464	ACSL4|2182	1371.6981
ACSL5|51703	151.2487	ACSL5|51703	780.6604
ACSL6|23305	14.7731	ACSL6|23305	10.8491
ACSM1|116285	44.3194	ACSM1|116285	62.2642
ACSM3|6296	37.1052	ACSM3|6296	143.0472
ACSM5|54988	10.904	ACSM5|54988	188.6792
ACSS1|84532	2390.7844	ACSS1|84532	891.0377
ACSS2|55902	981.006	ACSS2|55902	1356.1321
ACSS3|79611	248.3292	ACSS3|79611	369.3396
ACTA1|58	10.5522	ACTA1|58	43.8679
ACTA2|59	7871.2592	ACTA2|59	38788.1604
lowly_expressed	lowly_expressed	ACTBL2|345651	12.2642
ACTB|60	88531.1291	ACTB|60	82513.2075
ACTG1|71	163953.9219	ACTG1|71	59597.1698
ACTG2|72	158.6352	ACTG2|72	13612.2642
ACTL6A|86	3410.8336	ACTL6A|86	863.6792
ACTL8|81569	6.3313	lowly_expressed	lowly_expressed
