gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
EGFL6|25975	73.5656	EGFL6|25975	66.3492
EGFL7|51162	135.2657	EGFL7|51162	759.3651
EGFL8|80864	75.0199	EGFL8|80864	198.8
EGFLAM|133584	473.5995	EGFLAM|133584	898.7302
EGFR|1956	1036.3556	EGFR|1956	610.1556
EGF|1950	16.2726	EGF|1950	302.5397
EGLN1|54583	1595.7285	EGLN1|54583	867.6189999999999
EGLN2|112398	950.5111	EGLN2|112398	2001.2698
EGLN3|112399	1301.1272	EGLN3|112399	222.2222
EGOT|100126791	7.7973	EGOT|100126791	42.2222
EGR1|1958	1537.7574	EGR1|1958	6507.9365
EGR2|1959	85.431	EGR2|1959	522.2222
EGR3|1960	52.2078	EGR3|1960	815.873
EHBP1L1|254102	713.6198	EHBP1L1|254102	1629.2063
EHBP1|23301	759.6203	EHBP1|23301	959.6444
EHD1|10938	1164.1665	EHD1|10938	975.5556
EHD2|30846	673.9554	EHD2|30846	3964.7619
EHD3|30845	186.4565	EHD3|30845	794.9206
EHD4|30844	646.8345	EHD4|30844	1469.8413
EHF|26298	1306.2124	EHF|26298	2896.1905
EHHADH|1962	530.5534	EHHADH|1962	262.5397
EHMT1|79813	943.4698	EHMT1|79813	1295.2381
EHMT2|10919	2030.3416	EHMT2|10919	1339.6825
EI24|9538	2340.8763	EI24|9538	2780.0
EID1|23741	2447.326	EID1|23741	3665.0794
EID2B|126272	26.1039	EID2B|126272	54.9206
EID2|163126	246.8006	EID2|163126	336.5079
EID3|493861	30.8501	EID3|493861	89.8413
EIF1AD|84285	462.7511	EIF1AD|84285	480.0
EIF1AX|1964	1275.0233	EIF1AX|1964	2173.6508
EIF1B|10289	579.0321	EIF1B|10289	984.4444
EIF1|10209	13158.0642	EIF1|10209	13494.6032
EIF2AK1|27102	8795.4132	EIF2AK1|27102	3372.3683
EIF2AK2|5610	1015.6793	EIF2AK2|5610	314.9206
EIF2AK3|9451	1262.1409	EIF2AK3|9451	842.5397
EIF2AK4|440275	881.0916	EIF2AK4|440275	1758.4127
EIF2A|83939	1735.7403	EIF2A|83939	2014.2857
EIF2B1|1967	1127.2142	EIF2B1|1967	1272.0635
EIF2B2|8892	393.9317	EIF2B2|8892	567.9365
EIF2B3|8891	775.998	EIF2B3|8891	748.2539999999999
EIF2B4|8890	567.5057	EIF2B4|8890	967.6189999999999
EIF2B5|8893	1331.6383	EIF2B5|8893	1554.9206
EIF2C1|26523	929.5703	EIF2C1|26523	845.0794
EIF2C2|27161	278.3287	EIF2C2|27161	88.25399999999999
EIF2C3|192669	176.6251	EIF2C3|192669	98.7302
EIF2C4|192670	608.1871	EIF2C4|192670	309.2063
EIF2S1|1965	1575.0487	EIF2S1|1965	1636.1905
EIF2S2|8894	1345.5378	EIF2S2|8894	1602.2222
EIF2S3|1968	3540.639	EIF2S3|1968	4979.3651
EIF3A|8661	8200.017	EIF3A|8661	6329.2063
EIF3B|8662	10261.2086	EIF3B|8662	4071.4286
EIF3CL|728689	9963.3596	EIF3CL|728689	7771.326999999999
EIF3C|8663	752.1248	EIF3C|8663	177.5619
EIF3D|8664	3437.5795	EIF3D|8664	6693.9683
EIF3E|3646	4806.509	EIF3E|3646	8330.1587
EIF3F|8665	1545.5547	EIF3F|8665	3862.8571
EIF3G|8666	2404.5834	EIF3G|8666	3849.0095
EIF3H|8667	3013.1367	EIF3H|8667	5178.0952
EIF3I|8668	3877.0065	EIF3I|8668	4550.8508
EIF3J|8669	2072.379	EIF3J|8669	1740.6349
EIF3K|27335	2957.8778	EIF3K|27335	3721.5873
EIF3L|51386	3668.1075	EIF3L|51386	11839.0476
EIF3M|10480	2246.8446	EIF3M|10480	3124.4794
EIF4A1|1973	14837.8032	EIF4A1|1973	12478.5016
EIF4A2|1974	6437.8337	EIF4A2|1974	8407.3016
EIF4A3|9775	2704.636	EIF4A3|9775	2237.1429
EIF4B|1975	5626.948	EIF4B|1975	10220.2667
EIF4E2|9470	983.4732	EIF4E2|9470	1245.7143
EIF4E3|317649	618.3575	EIF4E3|317649	984.127
EIF4EBP1|1978	833.291	EIF4EBP1|1978	462.8571
EIF4EBP2|1979	6263.5817	EIF4EBP2|1979	3656.1905
EIF4EBP3|8637	245.0208	EIF4EBP3|8637	381.6476
EIF4ENIF1|56478	549.8771	EIF4ENIF1|56478	736.5079
EIF4E|1977	462.4121	EIF4E|1977	463.1746
EIF4G1|1981	15806.4243	EIF4G1|1981	7933.9683
EIF4G2|1982	20154.9284	EIF4G2|1982	16578.0952
EIF4G3|8672	1702.1782	EIF4G3|8672	1859.3651
EIF4H|7458	6310.7043	EIF4H|7458	5676.5079
EIF5A2|56648	114.586	EIF5A2|56648	111.4286
EIF5AL1|143244	2302.229	EIF5AL1|143244	1118.7302
EIF5A|1984	6989.4059	EIF5A|1984	4146.9841
EIF5B|9669	3918.6372	EIF5B|9669	3983.1746
EIF5|1983	4282.0578	EIF5|1983	3902.8571
EIF6|3692	1681.8374	EIF6|3692	2208.8889
ELAC1|55520	168.4583	ELAC1|55520	158.3302
ELAC2|60528	2150.0127	ELAC2|60528	1856.5079
lowly_expressed	lowly_expressed	ELANE|1991	9.2063
ELAVL1|1994	3374.5233	ELAVL1|1994	1508.5714
ELAVL2|1993	90.5161	ELAVL2|1993	6.6667
ELF1|1997	1475.0403	ELF1|1997	1472.381
ELF2|1998	1180.778	ELF2|1998	733.6508
ELF3|1999	3870.1585	ELF3|1999	2809.8413
ELF4|2000	1534.7063	ELF4|2000	331.1111
ELF5|2001	1908.9753	ELF5|2001	1239.6825
ELFN1|392617	37.2913	ELFN1|392617	43.4921
ELK1|2002	1189.9314	ELK1|2002	643.8095
ELK3|2004	303.7546	ELK3|2004	320.0
ELK4|2005	265.7852	ELK4|2005	70.4762
ELL2|22936	2346.9786	ELL2|22936	1728.8889
ELL3|80237	247.5769	ELL3|80237	204.8794
ELL|8178	443.4274	ELL|8178	599.0476
ELMO1|9844	374.608	ELMO1|9844	514.9206
ELMO2|63916	604.119	ELMO2|63916	1143.4921
ELMO3|79767	545.809	ELMO3|79767	655.873
ELMOD2|255520	296.9743	ELMOD2|255520	190.7937
ELMOD3|84173	157.9795	ELMOD3|84173	620.3175
ELN|2006	2223.9173	ELN|2006	1843.1746
ELOF1|84337	922.4511	ELOF1|84337	883.4921
ELOVL1|64834	2137.1303	ELOVL1|64834	1519.0476
ELOVL2|54898	43.7325	ELOVL2|54898	372.381
ELOVL3|83401	145.4361	ELOVL3|83401	7.3016
ELOVL4|6785	371.8959	ELOVL4|6785	30.4762
ELOVL5|60481	2435.4606	ELOVL5|60481	11307.618999999999
ELOVL6|79071	1153.9961	ELOVL6|79071	207.61900000000003
ELOVL7|79993	839.0542	ELOVL7|79993	302.8571
ELP2P|100131454	42.0375	ELP2P|100131454	13.6508
ELP2|55250	1718.4507	ELP2|55250	4161.5873
ELP3|55140	834.6469999999999	ELP3|55140	882.5397
ELP4|26610	183.4054	ELP4|26610	203.1746
ELTD1|64123	440.0373	ELTD1|64123	1185.3968
EMB|133418	538.0117	EMB|133418	906.9841
EMCN|51705	204.7631	EMCN|51705	1046.6667
EMD|2010	1538.7745	EMD|2010	1218.0952
EME1|146956	162.5934	EME1|146956	26.2571
EME2|197342	8.1363	EME2|197342	15.2381
EMG1|10436	816.6794	EMG1|10436	553.6508
EMID1|129080	238.3253	EMID1|129080	484.4444
lowly_expressed	lowly_expressed	EMID2|136227	21.5873
EMILIN1|11117	599.0338	EMILIN1|11117	2604.7619
EMILIN2|84034	216.9675	EMILIN2|84034	821.9048
lowly_expressed	lowly_expressed	EMILIN3|90187	158.7587
EML1|2009	96.2793	EML1|2009	294.6032
EML2|24139	1148.9347	EML2|24139	1154.2667
EML3|256364	522.4172	EML3|256364	1209.8413
EML4|27436	1650.6484	EML4|27436	1095.873
EML5|161436	59.6661	EML5|161436	46.0317
EML6|400954	32.8841	EML6|400954	43.1746
EMP1|2012	1788.6262	EMP1|2012	6309.5238
EMP2|2013	5936.4353	EMP2|2013	5774.2857
EMP3|2014	224.0868	EMP3|2014	602.5397
lowly_expressed	lowly_expressed	EMR1|2015	43.8095
EMR2|30817	88.1431	EMR2|30817	143.8095
EMX2OS|196047	20.3407	EMX2OS|196047	97.1429
EMX2|2018	6.7802	EMX2|2018	38.4127
EN1|2019	9.4923	EN1|2019	27.9365
lowly_expressed	lowly_expressed	EN2|2020	11.4286
ENAH|55740	5956.098000000001	ENAH|55740	2337.7778
ENC1|8507	1152.6604	ENC1|8507	507.3016
ENDOD1|23052	1717.4337	ENDOD1|23052	1927.3016
ENDOG|2021	320.8984	ENDOG|2021	241.7016
ENDOU|8909	6.1022	ENDOU|8909	19.0476
ENGASE|64772	354.2673	ENGASE|64772	524.7619
ENG|2022	1886.9396	ENG|2022	4860.6349
ENHO|375704	86.448	ENHO|375704	50.4762
ENKUR|219670	6.4412	lowly_expressed	lowly_expressed
ENO1|2023	69874.0571	ENO1|2023	16480.0
ENO2|2026	710.2297	ENO2|2026	475.87300000000005
ENO3|2027	41.6984	ENO3|2027	60.6349
ENOPH1|58478	1200.7797	ENOPH1|58478	774.2857
ENOSF1|55556	283.1765	ENOSF1|55556	730.1397
ENOX1|55068	64.0732	ENOX1|55068	42.2222
ENOX2|10495	582.0832	ENOX2|10495	284.127
ENPEP|2028	212.5604	ENPEP|2028	269.8413
ENPP1|5167	433.5961	ENPP1|5167	1760.6349
ENPP2|5168	297.3133	ENPP2|5168	2297.4603
lowly_expressed	lowly_expressed	ENPP3|5169	25.0794
ENPP4|22875	303.7546	ENPP4|22875	352.0635
ENPP5|59084	293.2452	ENPP5|59084	612.0635
ENPP6|133121	42.7155	ENPP6|133121	46.6667
ENSA|2029	4622.4256	ENSA|2029	4748.5714
ENTPD1|953	987.5413	ENTPD1|953	1473.0159
ENTPD2|954	858.0388	ENTPD2|954	321.9048
ENTPD3|956	12.2044	ENTPD3|956	100.6349
ENTPD4|9583	519.366	ENTPD4|9583	475.5556
ENTPD5|957	220.8391	ENTPD5|957	255.981
ENTPD6|955	2150.6907	ENTPD6|955	1661.5873
ENTPD7|57089	388.955	ENTPD7|57089	236.2413
ENTPD8|377841	16.2726	ENTPD8|377841	13.9683
ENY2|56943	670.2263	ENY2|56943	546.3492
EOMES|8320	7.7973	EOMES|8320	16.8254
EP300|2033	1551.6569	EP300|2033	1789.8413
EP400NL|347918	105.7717	EP400NL|347918	93.6508
EP400|57634	1522.5019	EP400|57634	1400.0
EPAS1|2034	7686.4141	EPAS1|2034	6715.2381
EPB41L1|2036	2138.1473	EPB41L1|2036	1803.4921
EPB41L2|2037	4901.0933	EPB41L2|2037	2083.1746
EPB41L3|23136	206.4582	EPB41L3|23136	877.1429
EPB41L4A|64097	727.8583	EPB41L4A|64097	654.6032
EPB41L4B|54566	525.1292	EPB41L4B|54566	562.5397
EPB41L5|57669	270.5314	EPB41L5|57669	630.4762
EPB41|2035	1356.1556	EPB41|2035	1074.9683
lowly_expressed	lowly_expressed	EPB42|2038	8.8889
EPB49|2039	752.9452	EPB49|2039	685.0794
EPC1|80314	494.9572	EPC1|80314	405.3968
EPC2|26122	473.5995	EPC2|26122	620.3175
EPCAM|4072	9132.9774	EPCAM|4072	3667.9365
EPDR1|54749	217.3066	EPDR1|54749	461.2698
EPGN|255324	55.5979	lowly_expressed	lowly_expressed
EPHA10|284656	25.4259	EPHA10|284656	118.7302
EPHA1|2041	590.8975	EPHA1|2041	449.5238
EPHA2|1969	476.3116	EPHA2|1969	552.0635
EPHA3|2042	11.8654	EPHA3|2042	42.5397
EPHA4|2043	54.9199	EPHA4|2043	359.6825
lowly_expressed	lowly_expressed	EPHA6|285220	5.7143
EPHA7|2045	65.0903	EPHA7|2045	26.9841
EPHB1|2047	15.5945	EPHB1|2047	397.7778
EPHB2|2048	114.925	EPHB2|2048	114.9206
EPHB3|2049	2036.7828	EPHB3|2049	896.1905
EPHB4|2050	4272.9045	EPHB4|2050	2706.3492
EPHB6|2051	1076.3624	EPHB6|2051	332.381
EPHX1|2052	976.6929	EPHX1|2052	3369.8413
EPHX2|2053	221.3747	EPHX2|2053	1136.8254
lowly_expressed	lowly_expressed	EPHX3|79852	20.0
EPHX4|253152	68.8194	EPHX4|253152	25.7143
EPM2AIP1|9852	568.1837	EPM2AIP1|9852	1190.1587
EPM2A|7957	227.1379	EPM2A|7957	184.7619
EPN1|29924	2576.1505	EPN1|29924	1953.9683
EPN2|22905	880.4136	EPN2|22905	1050.7937
EPN3|55040	455.6318	EPN3|55040	291.1111
EPOR|2057	46.7735	EPOR|2057	97.0984
EPPK1|83481	1811.0009	EPPK1|83481	549.2063
EPR1|8475	474.9148	EPR1|8475	51.1619
EPRS|2058	7727.0955	EPRS|2058	2791.4286
EPS15L1|58513	1106.8735	EPS15L1|58513	707.6189999999999
EPS15|2060	1453.0045	EPS15|2060	1580.0
EPS8L1|54869	412.2383	EPS8L1|54869	780.9524
EPS8L2|64787	2580.5577	EPS8L2|64787	2192.381
EPS8|2059	964.1495	EPS8|2059	1471.746
EPSTI1|94240	156.6234	EPSTI1|94240	201.2698
EPT1|85465	2253.7503	EPT1|85465	683.8095
EPX|8288	5.4242	lowly_expressed	lowly_expressed
ERAL1|26284	1612.6789999999999	ERAL1|26284	889.8413
ERAP1|51752	2583.8461	ERAP1|51752	1485.5619
ERAP2|64167	831.9349	ERAP2|64167	1001.2698
ERBB2IP|55914	4646.1565	ERBB2IP|55914	1660.3175
ERBB2|2064	7516.2302	ERBB2|2064	6752.0635
ERBB3|2065	4233.9181	ERBB3|2065	4038.7302
ERBB4|2066	75.5996	ERBB4|2066	978.4127
ERC1|23085	2680.5661	ERC1|23085	1233.3333
ERC2|26059	15.2555	ERC2|26059	53.0159
ERCC1|2067	813.0486	ERCC1|2067	1132.7492
ERCC2|2068	288.9262	ERCC2|2068	468.254
ERCC3|2071	1015.3403	ERCC3|2071	1161.9048
ERCC4|2072	401.0509	ERCC4|2072	219.3651
ERCC5|2073	1378.6456	ERCC5|2073	1609.5238
ERCC6L|54821	344.775	ERCC6L|54821	36.5079
ERCC6|2074	243.7902	ERCC6|2074	224.8667
ERCC8|1161	180.3543	ERCC8|1161	133.3333
EREG|2069	293.2452	EREG|2069	33.9683
ERF|2077	773.2859	ERF|2077	1140.9524
ERGIC1|57222	1833.0367	ERGIC1|57222	4053.9683
ERGIC2|51290	956.0132	ERGIC2|51290	685.3968
ERGIC3|51614	6855.8352	ERGIC3|51614	5513.9683
ERG|2078	268.1583	ERG|2078	745.0794
ERH|2079	1669.9720000000002	ERH|2079	1745.3968
ERI1|90459	224.4258	ERI1|90459	275.2381
ERI2|112479	515.7657	ERI2|112479	387.0127
ERI3|79033	1275.3623	ERI3|79033	920.0
ERICH1|157697	141.7069	ERICH1|157697	262.2222
ERLEC1|27248	1356.3861	ERLEC1|27248	1784.7619
ERLIN1|10613	1515.0436	ERLIN1|10613	938.4127
ERLIN2|11160	2188.321	ERLIN2|11160	2274.8952
ERMAP|114625	244.4275	ERMAP|114625	376.1905
ERMN|57471	6.7802	ERMN|57471	10.7937
ERMP1|79956	3675.7725	ERMP1|79956	1339.5524
ERN1|2081	174.5911	ERN1|2081	316.8254
ERO1LB|56605	52.2078	ERO1LB|56605	484.7619
ERO1L|30001	917.0269	ERO1L|30001	493.6508
ERP27|121506	262.0561	ERP27|121506	278.7302
ERP29|10961	3251.801	ERP29|10961	4880.3175
ERP44|23071	2078.8202	ERP44|23071	1636.8254
ERRFI1|54206	9976.7777	ERRFI1|54206	4841.9048
lowly_expressed	lowly_expressed	ERVFRDE1|405754	6.9841
ESAM|90952	472.2434	ESAM|90952	827.6189999999999
ESCO1|114799	618.6965	ESCO1|114799	396.5079
ESCO2|157570	188.4906	ESCO2|157570	24.7619
ESD|2098	1648.2753	ESD|2098	2563.1746
ESF1|51575	417.6625	ESF1|51575	438.0952
ESM1|11082	148.1481	ESM1|11082	24.4444
ESPL1|9700	637.3421	ESPL1|9700	45.7143
lowly_expressed	lowly_expressed	ESPNL|339768	13.9683
ESPN|83715	265.4462	ESPN|83715	262.5397
ESR1|2099	814.3063	ESR1|2099	6816.1905
ESR2|2100	5.4242	ESR2|2100	8.5714
ESRP1|54845	2710.0602	ESRP1|54845	1367.9365
ESRP2|80004	1014.6623	ESRP2|80004	863.1746
ESRRA|2101	1136.3675	ESRRA|2101	700.9524
ESRRB|2103	45.4276	ESRRB|2103	7.9365
ESRRG|2104	204.0851	ESRRG|2104	166.6667
ESYT1|23344	4124.0783	ESYT1|23344	3928.8889
ESYT2|57488	7182.9816	ESYT2|57488	2989.2063
ESYT3|83850	99.6695	ESYT3|83850	57.4603
ETAA1|54465	400.0339	ETAA1|54465	384.12699999999995
ETF1|2107	4343.4189	ETF1|2107	3264.4444
ETFA|2108	2729.0448	ETFA|2108	1330.4762
ETFB|2109	1031.2738	ETFB|2109	1495.2381
ETFDH|2110	193.9147	ETFDH|2110	474.9206
ETHE1|23474	328.1634	ETHE1|23474	716.8254
ETNK1|55500	1216.0353	ETNK1|55500	1085.3968
ETNK2|55224	350.8772	ETNK2|55224	1307.619
ETS1|2113	1490.6348	ETS1|2113	2070.7937
ETS2|2114	4846.5124	ETS2|2114	2676.5079
ETV1|2115	71.8705	ETV1|2115	602.8571
lowly_expressed	lowly_expressed	ETV2|2116	12.6984
ETV3L|440695	9.8313	ETV3L|440695	33.3333
ETV3|2117	358.6745	ETV3|2117	170.7937
ETV4|2118	233.5791	ETV4|2118	221.9048
ETV5|2119	305.7886	ETV5|2119	1381.2698
ETV6|2120	2474.1079999999997	ETV6|2120	2266.9841
ETV7|51513	124.4173	ETV7|51513	57.4603
EVC2|132884	259.683	EVC2|132884	185.0794
EVC|2121	537.6151	EVC|2121	647.7746
EVI2A|2123	69.4974	EVI2A|2123	213.9683
EVI2B|2124	87.465	EVI2B|2124	216.8254
EVI5L|115704	424.4427	EVI5L|115704	403.8095
EVI5|7813	159.3355	EVI5|7813	344.12699999999995
EVL|51466	773.6249	EVL|51466	4292.380999999999
EVPLL|645027	10.8484	lowly_expressed	lowly_expressed
EVPL|2125	1059.0728	EVPL|2125	688.5714
EWSR1|2130	3800.6611	EWSR1|2130	5026.6667
EXD2|55218	711.2467	EXD2|55218	716.5079
EXD3|54932	71.5315	EXD3|54932	189.2063
EXO1|9156	869.2262	EXO1|9156	29.5238
EXOC1|55763	904.8224	EXOC1|55763	959.3651
EXOC2|55770	1166.2005	EXOC2|55770	863.8095
EXOC3L2|90332	85.09200000000001	EXOC3L2|90332	68.25399999999999
EXOC3L|283849	53.3571	EXOC3L|283849	103.7238
EXOC3|11336	986.5243	EXOC3|11336	1459.6825
EXOC4|60412	3252.8179999999998	EXOC4|60412	1458.0952
EXOC5|10640	1193.6605	EXOC5|10640	890.7937
EXOC6B|23233	241.3764	EXOC6B|23233	115.2381
EXOC6|54536	361.3866	EXOC6|54536	473.9683
EXOC7|23265	2996.1387	EXOC7|23265	3521.9048
EXOC8|149371	647.1735	EXOC8|149371	463.8095
EXOG|9941	153.2333	EXOG|9941	115.5556
EXOSC10|5394	2342.5714	EXOSC10|5394	1790.4762
EXOSC1|51013	534.2826	EXOSC1|51013	402.2222
EXOSC2|23404	488.855	EXOSC2|23404	409.2063
EXOSC3|51010	430.2059	EXOSC3|51010	331.4286
EXOSC4|54512	436.9862	EXOSC4|54512	391.1111
EXOSC5|56915	425.1208	EXOSC5|56915	372.0635
EXOSC6|118460	367.8278	EXOSC6|118460	336.5079
EXOSC7|23016	434.9521	EXOSC7|23016	629.2063
EXOSC8|11340	384.0224	EXOSC8|11340	358.92699999999996
EXOSC9|5393	1372.2146	EXOSC9|5393	476.9175
EXPH5|23086	91.8722	EXPH5|23086	220.3175
EXT1|2131	1569.2855	EXT1|2131	1223.8095
EXT2|2132	2698.1948	EXT2|2132	2232.6984
EXTL1|2134	113.2299	EXTL1|2134	81.5873
EXTL2|2135	372.913	EXTL2|2135	449.5238
EXTL3|2137	1916.4336	EXTL3|2137	1041.5873
EYA2|2139	84.7529	EYA2|2139	709.2063
EYA3|2140	275.9556	EYA3|2140	62.8571
EYA4|2070	475.9725	EYA4|2070	24.4444
EYS|346007	10.1704	EYS|346007	7.9365
EZH1|2145	599.3728	EZH1|2145	1246.6667
EZH2|2146	1153.6571	EZH2|2146	124.7619
EZR|7430	6328.3329	EZR|7430	5423.1746
F10|2159	13.2215	F10|2159	163.1746
F11R|50848	10372.4248	F11R|50848	3346.3873
F11|2160	7.2413	lowly_expressed	lowly_expressed
F12|2161	55.2589	F12|2161	34.9206
F13A1|2162	256.6319	F13A1|2162	3507.9365
F2RL1|2150	303.7546	F2RL1|2150	238.7302
F2RL2|2151	97.9744	F2RL2|2151	449.8413
F2RL3|9002	212.2214	F2RL3|9002	38.0952
F2R|2149	567.8447	F2R|2149	869.2063
F3|2152	405.1191	F3|2152	2057.7778
F5|2153	13.2215	F5|2153	14.6032
F7|2155	45.4276	F7|2155	118.4127
F8A1|8263	237.6473	F8A1|8263	121.2698
F8|2157	771.6281	F8|2157	673.3397
FA2H|79152	660.3949	FA2H|79152	72.381
FAAH2|158584	554.9623	FAAH2|158584	291.746
FAAH|2166	236.2912	FAAH|2166	716.1905
FABP3|2170	115.94200000000001	FABP3|2170	81.9048
FABP4|2167	913.2977	FABP4|2167	5587.3016
FABP5|2171	249.5127	FABP5|2171	118.4127
FABP7|2173	13.2215	FABP7|2173	226.9841
FADD|8772	521.7391	FADD|8772	721.2698
FADS1|3992	454.2385	FADS1|3992	273.3333
FADS2|9415	820.1068	FADS2|9415	682.8571
FADS3|3995	325.4513	FADS3|3995	456.1905
FAF1|11124	1757.4371	FAF1|11124	903.4921
FAF2|23197	820.7475	FAF2|23197	1321.2698
FAHD1|81889	455.9369	FAHD1|81889	473.9333
FAHD2A|51011	140.3509	FAHD2A|51011	351.4286
FAHD2B|151313	183.0664	FAHD2B|151313	500.9524
FAH|2184	388.8465	FAH|2184	1034.9206
FAIM2|23017	10.8484	FAIM2|23017	105.3968
FAIM3|9214	152.9892	FAIM3|9214	213.0413
FAIM|55179	415.6284	FAIM|55179	247.3016
FAM100A|124402	164.7597	FAM100A|124402	410.7937
FAM100B|283991	635.9861	FAM100B|283991	762.5397
FAM101A|144347	61.0221	FAM101A|144347	101.9048
FAM101B|359845	863.1239999999999	FAM101B|359845	413.6508
FAM102A|399665	879.3966	FAM102A|399665	2708.8889
FAM102B|284611	1193.6605	FAM102B|284611	1121.2698
FAM103A1|83640	434.786	FAM103A1|83640	353.1619
FAM104A|84923	752.44	FAM104A|84923	832.6254
FAM104B|90736	197.3049	FAM104B|90736	247.3016
FAM105A|54491	111.8739	FAM105A|54491	714.2857
FAM105B|90268	583.4393	FAM105B|90268	460.9524
FAM107A|11170	82.3799	FAM107A|11170	1006.6667
FAM107B|83641	1439.444	FAM107B|83641	1591.746
FAM108A1|81926	295.9573	FAM108A1|81926	554.9206
FAM108B1|51104	248.1566	FAM108B1|51104	246.0317
FAM108C1|58489	787.5244	FAM108C1|58489	248.25400000000002
FAM109A|144717	262.0561	FAM109A|144717	302.5397
FAM109B|150368	494.6182	FAM109B|150368	446.6667
FAM10A4|145165	217.6456	FAM10A4|145165	373.6508
FAM110A|83541	206.4582	FAM110A|83541	352.0635
FAM110B|90362	191.2026	FAM110B|90362	304.127
FAM110C|642273	16.9506	FAM110C|642273	18.0952
FAM111A|63901	643.1053	FAM111A|63901	790.4762
FAM111B|374393	828.2058	FAM111B|374393	92.381
FAM113A|64773	274.2605	FAM113A|64773	625.7143
FAM113B|91523	115.603	FAM113B|91523	248.2667
FAM114A1|92689	585.4733	FAM114A1|92689	538.0952
FAM114A2|10827	187.1345	FAM114A2|10827	460.9524
FAM115A|9747	523.4342	FAM115A|9747	413.3333
FAM115C|285966	267.2769	FAM115C|285966	271.7841
FAM116A|201627	754.3012	FAM116A|201627	674.6032
FAM116B|414918	88.8211	FAM116B|414918	264.7619
FAM117A|81558	138.9948	FAM117A|81558	589.8413
FAM117B|150864	266.8023	lowly_expressed	lowly_expressed
FAM118A|55007	175.6081	FAM118A|55007	380.6349
FAM118B|79607	252.5638	FAM118B|79607	264.7619
FAM119A|151194	85.431	FAM119A|151194	172.38099999999997
FAM119B|25895	174.2521	FAM119B|25895	308.5714
FAM120AOS|158293	637.2913	FAM120AOS|158293	1273.8794
FAM120A|23196	2824.3579999999997	FAM120A|23196	3856.5968
FAM120B|84498	941.0967	FAM120B|84498	914.9206
FAM120C|54954	1561.8273	FAM120C|54954	291.746
FAM122A|116224	393.9317	FAM122A|116224	764.4444
FAM122B|159090	1325.8751	FAM122B|159090	531.4286
FAM122C|159091	54.5809	FAM122C|159091	16.8254
FAM123B|139285	458.0049	FAM123B|139285	107.619
FAM124A|220108	58.31	FAM124A|220108	55.2381
FAM124B|79843	21.0187	FAM124B|79843	43.4921
FAM125A|93343	656.6658	FAM125A|93343	708.2539999999999
FAM125B|89853	326.8074	FAM125B|89853	481.5873
FAM126A|84668	683.4477	FAM126A|84668	1162.2222
FAM126B|285172	285.4479	FAM126B|285172	356.5079
FAM127A|8933	1736.0793	FAM127A|8933	1626.9841
FAM127B|26071	1262.4799	FAM127B|26071	898.7302
FAM127C|441518	348.5041	FAM127C|441518	454.6032
FAM128A|653784	385.4564	FAM128A|653784	580.3175
FAM128B|80097	987.5413	FAM128B|80097	1648.8889
FAM129A|116496	569.5398	FAM129A|116496	4933.3333
FAM129B|64855	4426.1378	FAM129B|64855	4193.3333
lowly_expressed	lowly_expressed	FAM129C|199786	5.0794
FAM131A|131408	270.8704	FAM131A|131408	420.9524
FAM131B|9715	112.2129	FAM131B|9715	32.0635
FAM131C|348487	42.0375	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FAM133A|286499	7.3016
FAM133B|257415	105.4327	FAM133B|257415	109.2063
FAM134A|79137	1333.3333	FAM134A|79137	2577.4603
FAM134B|54463	1277.7354	FAM134B|54463	626.0317
FAM134C|162427	1808.9669	FAM134C|162427	2017.7778
FAM135A|57579	282.7358	FAM135A|57579	144.4444
FAM135B|51059	13.5605	lowly_expressed	lowly_expressed
FAM136A|84908	1681.8374	FAM136A|84908	836.1905
FAM13AOS|285512	24.8936	FAM13AOS|285512	58.7492
FAM13A|10144	747.3752	FAM13A|10144	851.4095
FAM13B|51306	717.6879	FAM13B|51306	1292.381
FAM13C|220965	99.4186	FAM13C|220965	361.6444
FAM149A|25854	70.1754	FAM149A|25854	125.7143
FAM149B1|317662	640.0542	FAM149B1|317662	556.5079
FAM150B|285016	10.1704	FAM150B|285016	47.619
FAM151B|167555	6.7802	FAM151B|167555	13.0159
FAM154B|283726	9.8313	FAM154B|283726	30.4762
FAM155A|728215	24.4088	FAM155A|728215	25.7143
FAM155B|27112	66.4463	FAM155B|27112	30.1587
FAM156A|29057	703.7885	FAM156A|29057	725.3968
FAM157A|728262	46.4446	FAM157A|728262	13.0159
FAM158A|51016	112.2129	FAM158A|51016	161.5873
lowly_expressed	lowly_expressed	FAM159A|348378	8.254
FAM160A1|729830	137.9778	FAM160A1|729830	137.7778
FAM160A2|84067	369.1838	FAM160A2|84067	719.0476
FAM160B1|57700	496.9913	FAM160B1|57700	482.2222
FAM160B2|64760	658.6999	FAM160B2|64760	1491.746
FAM161A|84140	77.9727	FAM161A|84140	53.3333
FAM161B|145483	80.0068	FAM161B|145483	227.1873
FAM162A|26355	1492.6689	FAM162A|26355	923.8095
FAM162B|221303	10.1704	FAM162B|221303	44.4444
FAM164A|51101	284.4309	FAM164A|51101	225.7143
FAM164C|79696	49.8347	FAM164C|79696	102.2222
FAM165B|54065	378.6762	FAM165B|54065	530.1587
