gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
ACADM|34	1138.04	ACADM|34	977.9285
ACADSB|36	2152.2655	ACADSB|36	2434.1793
ACADS|35	357.745	ACADS|35	626.9347
ACADVL|37	3761.3224	ACADVL|37	6532.8571
ACAN|176	24.7629	ACAN|176	7.8414
ACAP1|9744	32.666	ACAP1|9744	40.7003
ACAP2|23527	1502.1075	ACAP2|23527	1063.8099
ACAP3|116983	360.3793	ACAP3|116983	409.255
ACAT1|38	729.1886	ACAT1|38	1273.6594
ACAT2|39	317.255	ACAT2|39	299.8458
ACBD3|64746	3260.274	ACBD3|64746	1486.4961
ACBD4|79777	164.3836	ACBD4|79777	321.4954
ACBD5|91452	3259.7471	ACBD5|91452	515.2888
ACBD6|84320	708.1138	ACBD6|84320	417.832
ACBD7|414149	160.6955	ACBD7|414149	42.1939
lowly_expressed	lowly_expressed	ACCN1|40	7.0946
ACCN2|41	54.7945	ACCN2|41	116.1267
ACCN3|9311	43.2034	ACCN3|9311	5.2276
ACCS|84680	104.8472	ACCS|84680	199.3943
ACD|65057	195.9958	ACD|65057	400.6557
ACE2|59272	15.2792	ACE2|59272	19.4167
ACER2|340485	593.7829	ACER2|340485	64.2244
ACER3|55331	723.393	ACER3|55331	272.9537
ACE|1636	563.7513	ACE|1636	819.2345
ACHE|43	12.118	ACHE|43	22.4039
ACIN1|22985	3315.5954	ACIN1|22985	3124.2182
ACLY|47	4182.824	ACLY|47	3742.9381
ACN9|57001	130.137	ACN9|57001	149.3591
ACO1|48	1393.5722	ACO1|48	1193.0055
ACO2|50	4408.7935	ACO2|50	2061.6255
ACOT11|26027	51.1064	ACOT11|26027	65.184
ACOT13|55856	591.2381	ACOT13|55856	383.0724
ACOT1|641371	439.4099	ACOT1|641371	445.4634
ACOT2|10965	359.3256	ACOT2|10965	277.4345
ACOT4|122970	220.2318	ACOT4|122970	120.9808
ACOT7|11332	285.0369	ACOT7|11332	352.4874
ACOT8|10005	185.3003	ACOT8|10005	180.829
ACOT9|23597	325.079	ACOT9|23597	601.1702
ACOX1|51	4771.8651	ACOX1|51	1310.0059
ACOX2|8309	49.5258	ACOX2|8309	262.1252
ACOX3|8310	594.8367	ACOX3|8310	574.659
ACOXL|55289	7.9031	lowly_expressed	lowly_expressed
ACP1|52	2047.9452	ACP1|52	1110.858
ACP2|53	1301.3699	ACP2|53	959.2586
ACP5|54	388.3035	ACP5|54	881.9653
ACP6|51205	307.1654	ACP6|51205	184.085
ACPL2|92370	634.3519	ACPL2|92370	408.497
ACPP|55	82.1918	ACPP|55	39.9535
ACRBP|84519	18.4405	ACRBP|84519	6.3478
ACRC|93953	5.2687	ACRC|93953	8.9615
ACSBG1|23205	8.9568	ACSBG1|23205	22.7773
lowly_expressed	lowly_expressed	ACSBG2|81616	11.2019
ACSF2|80221	1148.0506	ACSF2|80221	926.3996
ACSF3|197322	217.5975	ACSF3|197322	370.4105
ACSL1|2180	2635.4057	ACSL1|2180	1933.0797
ACSL3|2181	1832.4552	ACSL3|2181	2012.6134
ACSL4|2182	998.4194	ACSL4|2182	1256.1097
ACSL5|51703	381.981	ACSL5|51703	949.5502
ACSM1|116285	16.8599	ACSM1|116285	32.4856
ACSM3|6296	49.8946	ACSM3|6296	98.1998
ACSM5|54988	43.7302	ACSM5|54988	51.9023
ACSS1|84532	1500	ACSS1|84532	970.4605
ACSS2|55902	1316.6491	ACSS2|55902	1108.2442
ACSS3|79611	442.0443	ACSS3|79611	307.3063
lowly_expressed	lowly_expressed	ACTA1|58	36.9664
ACTA2|59	2898.9515	ACTA2|59	35760.1293
lowly_expressed	lowly_expressed	ACTBL2|345651	12.6955
ACTB|60	77907.2708	ACTB|60	110190.0221
ACTG1|71	74688.0927	ACTG1|71	69712.5958
ACTG2|72	62.1707	ACTG2|72	11084.6829
ACTL6A|86	1417.8082	ACTL6A|86	850.5999
ACTN1|87	2780.295	ACTN1|87	12542.4273
ACTN4|81	10634.3888	ACTN4|81	15881.6143
ACTR10|55860	829.294	ACTR10|55860	1112.725
ACTR1A|10121	1791.3593	ACTR1A|10121	2915.1155
ACTR1B|10120	1219.705	ACTR1B|10120	1661.2462
ACTR2|10097	5815.5954	ACTR2|10097	4654.0284
ACTR3B|57180	182.824	ACTR3B|57180	176.9905
ACTR3C|653857	31.6122	ACTR3C|653857	46.6747
ACTR3|10096	4244.9947	ACTR3|10096	3360.9523
ACTR5|79913	164.3836	ACTR5|79913	203.5017
ACTR6|64431	424.1307	ACTR6|64431	511.5548
ACTR8|93973	481.5595	ACTR8|93973	449.9442
ACVR1B|91	1498.4194	ACVR1B|91	1039.9125
ACVR1C|130399	287.6712	ACVR1C|130399	114.2597
ACVR1|90	749.2097	ACVR1|90	1271.0456
ACVR2A|92	426.765	ACVR2A|92	372.6509
ACVR2B|93	329.294	ACVR2B|93	104.9247
ACVRL1|94	648.0506	ACVRL1|94	1235.1995
ACY1|95	894.9052	ACY1|95	582.8737
lowly_expressed	lowly_expressed	ACY3|91703	47.0481
ACYP1|97	46.3646	ACYP1|97	50.4087
ACYP2|98	144.8894	ACYP2|98	187.0722
ADAL|161823	168.0717	ADAL|161823	189.686
ADAM10|102	1555.8483	ADAM10|102	2009.6262
ADAM11|4185	15.2792	ADAM11|4185	7.8414
ADAM12|8038	1246.5753	ADAM12|8038	60.8638
ADAM15|8751	5212.9136	ADAM15|8751	3528.9962
ADAM17|6868	684.9315	ADAM17|6868	958.8852
ADAM19|8728	223.9199	ADAM19|8728	77.2933
lowly_expressed	lowly_expressed	ADAM21|8747	7.8414
ADAM22|53616	504.215	ADAM22|53616	27.6314
ADAM23|8745	114.8577	ADAM23|8745	53.7693
ADAM28|10863	83.7724	ADAM28|10863	152.3462
lowly_expressed	lowly_expressed	ADAM32|203102	19.7901
ADAM33|80332	95.8904	ADAM33|80332	873.0037
ADAM6|8755	102638.9305	ADAM6|8755	42050.3564
ADAM8|101	1169.1254	ADAM8|101	57.8766
ADAM9|8754	1009.4837	ADAM9|8754	2465.1713
ADAMDEC1|27299	26.8704	ADAMDEC1|27299	15.6827
ADAMTS10|81794	68.4932	ADAMTS10|81794	94.4696
ADAMTS12|81792	218.6512	ADAMTS12|81792	83.6411
ADAMTS13|11093	34.2466	ADAMTS13|11093	56.7564
