gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
CCDC108|255101	16.333	CCDC108|255101	8.5881
CCDC109A|90550	518.9673	CCDC109A|90550	414.8448
CCDC109B|55013	360.9062	CCDC109B|55013	338.2983
CCDC110|256309	8.4299	CCDC110|256309	59.7436
CCDC111|201973	221.549	CCDC111|201973	312.3247
CCDC112|153733	200.7376	CCDC112|153733	101.9376
CCDC113|29070	245.5216	CCDC113|29070	311.78700000000003
CCDC114|93233	9.4837	CCDC114|93233	12.3221
CCDC115|84317	1481.0327	CCDC115|84317	1005.9333
lowly_expressed	lowly_expressed	CCDC116|164592	6.7212
CCDC117|150275	626.9758	CCDC117|150275	526.8641
CCDC11|220136	21.0748	CCDC11|220136	22.0305
CCDC120|90060	359.3256	CCDC120|90060	433.1413
CCDC121|79635	91.1486	CCDC121|79635	107.1651
CCDC122|160857	54.2677	CCDC122|160857	64.2244
CCDC123|84902	354.5838	CCDC123|84902	413.7246
CCDC124|115098	675.9747	CCDC124|115098	774.8001
CCDC125|202243	397.7871	CCDC125|202243	344.2726
CCDC126|90693	594.8367	CCDC126|90693	402.8961
CCDC127|133957	459.9579	CCDC127|133957	365.9297
lowly_expressed	lowly_expressed	CCDC129|223075	12.6955
CCDC12|151903	355.1106	CCDC12|151903	446.5836
CCDC130|81576	245.5216	CCDC130|81576	228.146
CCDC132|55610	515.8061	CCDC132|55610	703.1078
CCDC134|79879	37.4078	CCDC134|79879	48.5417
CCDC136|64753	17.3867	CCDC136|64753	77.6667
CCDC137|339230	305.5848	CCDC137|339230	247.93599999999998
CCDC138|165055	56.902	CCDC138|165055	26.8846
CCDC13|152206	6.8493	CCDC13|152206	7.468
CCDC141|285025	8.4299	CCDC141|285025	25.0176
CCDC142|84865	80.0843	CCDC142|84865	74.6795
lowly_expressed	lowly_expressed	CCDC144B|284047	12.6955
CCDC146|57639	150.6849	CCDC146|57639	103.8045
lowly_expressed	lowly_expressed	CCDC147|159686	14.5625
lowly_expressed	lowly_expressed	CCDC148|130940	16.0561
CCDC149|91050	644.3625	CCDC149|91050	645.9779
CCDC14|64770	384.0885	CCDC14|64770	540.6798
CCDC150|284992	6.3224	lowly_expressed	lowly_expressed
CCDC151|115948	103.7935	CCDC151|115948	7.468
CCDC152|100129792	27.0706	CCDC152|100129792	124.9725
CCDC153|283152	14.7524	CCDC153|283152	8.9615
CCDC157|550631	12.6712	CCDC157|550631	39.274
lowly_expressed	lowly_expressed	CCDC158|339965	18.6699
CCDC159|126075	152.2655	CCDC159|126075	209.8495
CCDC15|80071	38.4615	CCDC15|80071	48.1683
CCDC160|347475	15.2792	CCDC160|347475	33.6058
lowly_expressed	lowly_expressed	CCDC163P|126661	11.2019
CCDC18|343099	52.687	CCDC18|343099	20.9252
CCDC19|25790	104.8472	CCDC19|25790	50.0353
CCDC21|64793	348.2613	CCDC21|64793	146.7453
CCDC22|28952	438.45099999999996	CCDC22|28952	447.3565
CCDC23|374969	241.8335	CCDC23|374969	288.6364
CCDC24|149473	233.04	CCDC24|149473	159.8142
CCDC25|55246	663.3298	CCDC25|55246	1090.6946
CCDC28A|25901	575.3425	CCDC28A|25901	378.9986
CCDC28B|79140	60.0632	CCDC28B|79140	51.5289
CCDC30|728621	61.117	CCDC30|728621	88.8686
CCDC34|91057	357.745	CCDC34|91057	247.93599999999998
CCDC36|339834	15.8061	CCDC36|339834	6.7212
CCDC39|339829	6.3224	CCDC39|339829	13.0465
CCDC3|83643	810.8535	CCDC3|83643	914.0775
CCDC40|55036	37.9347	CCDC40|55036	132.5562
CCDC41|51134	293.9937	CCDC41|51134	128.4488
CCDC43|124808	520.5479	CCDC43|124808	320.3752
CCDC45|90799	418.86199999999997	CCDC45|90799	418.2054
CCDC46|201134	104.3203	CCDC46|201134	298.7181
CCDC47|57003	4396.2065	CCDC47|57003	3256.7744
CCDC48|79825	261.8546	CCDC48|79825	107.9119
CCDC50|152137	1559.5364	CCDC50|152137	2577.9374
CCDC51|79714	348.7882	CCDC51|79714	194.5402
CCDC52|152185	569.02	CCDC52|152185	333.0707
CCDC53|51019	445.2055	CCDC53|51019	477.949
CCDC55|84081	840.3583	CCDC55|84081	942.4557
CCDC56|28958	1113.8039999999999	CCDC56|28958	838.5989
CCDC57|284001	259.7471	CCDC57|284001	347.6332
CCDC58|131076	310.8535	CCDC58|131076	148.2389
CCDC59|29080	465.2266	CCDC59|29080	382.3592
CCDC61|729440	152.2655	CCDC61|729440	161.6812
CCDC64B|146439	371.4436	CCDC64B|146439	361.4489
CCDC64|92558	226.5543	CCDC64|92558	82.1475
lowly_expressed	lowly_expressed	CCDC65|85478	10.0817
CCDC66|285331	472.8346	CCDC66|285331	224.6584
CCDC68|80323	7.9031	CCDC68|80323	45.9279
CCDC69|26112	659.6417	CCDC69|26112	1202.3405
CCDC6|8030	2367.7555	CCDC6|8030	2992.7822
CCDC71|64925	449.9473	CCDC71|64925	538.4394
CCDC72|51372	1296.1012	CCDC72|51372	1123.1802
CCDC73|493860	22.1549	CCDC73|493860	35.8387
CCDC74A|90557	161.2223	CCDC74A|90557	268.4729
CCDC74B|91409	497.8925	CCDC74B|91409	72.4391
CCDC75|253635	65.3319	CCDC75|253635	48.9151
CCDC76|54482	262.3815	CCDC76|54482	208.1095
CCDC77|84318	99.5785	CCDC77|84318	112.0193
CCDC78|124093	40.569	lowly_expressed	lowly_expressed
CCDC7|221016	21.0748	CCDC7|221016	24.1364
CCDC80|151887	8415.7007	CCDC80|151887	23259.6869
CCDC82|79780	172.2866	CCDC82|79780	407.3768
CCDC84|338657	36.3541	CCDC84|338657	86.6283
CCDC85A|114800	102.2023	CCDC85A|114800	125.835
CCDC85B|11007	154.373	CCDC85B|11007	340.5387
CCDC85C|317762	731.4436	CCDC85C|317762	665.6224
CCDC86|79080	887.2497	CCDC86|79080	678.0229
CCDC87|55231	6.3224	CCDC87|55231	30.991999999999997
CCDC88A|55704	307.1654	CCDC88A|55704	526.1173
CCDC88B|283234	95.8904	CCDC88B|283234	162.428
CCDC88C|440193	1806.6386	CCDC88C|440193	933.4941
CCDC89|220388	11.5911	CCDC89|220388	46.6747
CCDC8|83987	181.2434	CCDC8|83987	1296.8101
CCDC90A|63933	380.9273	CCDC90A|63933	263.2453
CCDC90B|60492	1256.5859	CCDC90B|60492	594.408
CCDC91|55297	405.1633	CCDC91|55297	512.3016
CCDC92|80212	802.9505	CCDC92|80212	993.9846
CCDC93|54520	490.5163	CCDC93|54520	693.3994
CCDC94|55702	394.6259	CCDC94|55702	442.8496
CCDC96|257236	53.2139	CCDC96|257236	137.7837
CCDC97|90324	1178.0822	CCDC97|90324	1328.1755
CCDC99|54908	145.9431	CCDC99|54908	83.2677
CCDC9|26093	271.8651	CCDC9|26093	479.0692
CCHCR1|54535	1014.2255	CCHCR1|54535	367.0499
CCIN|881	5.2687	CCIN|881	15.3093
CCL11|6356	42.6765	lowly_expressed	lowly_expressed
CCL13|6357	18.4405	CCL13|6357	122.4744
CCL14|6358	924.1149	CCL14|6358	2137.2124
CCL17|6361	5.2687	CCL17|6361	13.8157
CCL18|6362	91.6754	CCL18|6362	160.561
CCL19|6363	133.8251	CCL19|6363	86.2549
CCL20|6364	22.1286	lowly_expressed	lowly_expressed
CCL21|6366	538.4615	CCL21|6366	2780.3190000000004
CCL22|6367	47.4183	CCL22|6367	91.109
lowly_expressed	lowly_expressed	CCL26|10344	7.8414
CCL28|56477	2670.7059999999997	CCL28|56477	1237.8132
CCL2|6347	1052.687	CCL2|6347	2092.8939
CCL3L1|6349	15.9326	CCL3L1|6349	32.5677
CCL3|6348	86.4067	CCL3|6348	164.6684
CCL4L2|388372	16.8599	CCL4L2|388372	297.9713
CCL4|6351	77.9768	CCL4|6351	564.2039
CCL5|6352	283.4563	CCL5|6352	310.6669
CCL8|6355	54.7945	CCL8|6355	117.2469
CCM2|83605	485.7745	CCM2|83605	666.5148
CCNA1|8900	6.3224	CCNA1|8900	35.4728
CCNA2|890	204.294	CCNA2|890	38.5906
CCNB1IP1|57820	603.7935	CCNB1IP1|57820	749.0357
CCNB1|891	474.7102	CCNB1|891	167.6555
CCNB2|9133	207.5869	CCNB2|9133	32.4856
CCNB3|85417	16.8599	CCNB3|85417	6.3478
CCNC|892	1033.7197	CCNC|892	1287.4751
CCND1|595	24211.2434	CCND1|595	4526.1434
CCND2|894	436.7756	CCND2|894	2056.3009
CCND3|896	722.3393	CCND3|896	1855.4129999999998
CCNDBP1|23582	1090.6217	CCNDBP1|23582	1290.8357
CCNE1|898	30.0316	CCNE1|898	10.4551
CCNE2|9134	83.5248	CCNE2|9134	18.8267
CCNF|899	222.3393	CCNF|899	76.9199
CCNG1|900	3861.96	CCNG1|900	2220.2225
CCNG2|901	2900.4215	CCNG2|901	1636.9753
CCNH|902	519.51	CCNH|902	608.5747
CCNI2|645121	2917.0548	CCNI2|645121	15.2944
CCNI|10983	9942.0443	CCNI|10983	6867.5297
CCNJL|79616	16.8599	CCNJL|79616	97.4568
CCNJ|54619	67.4394	CCNJ|54619	142.6379
CCNK|8812	1102.5922	CCNK|8812	965.3786
CCNL1|57018	844.5732	CCNL1|57018	1571.2573
CCNL2|81669	938.883	CCNL2|81669	844.2521
CCNO|10309	15.2792	CCNO|10309	62.3574
CCNT1|904	151.7387	CCNT1|904	96.3366
CCNT2|905	624.8683	CCNT2|905	369.2903
CCNYL1|151195	408.8514	CCNYL1|151195	401.7759
CCNY|219771	1553.2139	CCNY|219771	2047.7128
CCPG1|9236	2111.0643	CCPG1|9236	2652.1017
CCR10|2826	18.9673	CCR10|2826	25.0176
CCR1|1230	106.4278	CCR1|1230	219.1844
CCR2|729230	47.9452	CCR2|729230	22.0305
CCR4|1233	10.5374	lowly_expressed	lowly_expressed
CCR5|1234	69.5469	CCR5|1234	65.3446
CCR6|1235	30.6481	CCR6|1235	20.7833
CCR7|1236	43.7302	CCR7|1236	34.3526
CCR8|1237	7.3762	lowly_expressed	lowly_expressed
CCRL1|51554	46.3646	CCRL1|51554	289.0098
CCRL2|9034	75.3425	CCRL2|9034	53.0225
CCRN4L|25819	302.9505	CCRN4L|25819	169.1491
CCS|9973	361.96	CCS|9973	405.1365
CCT2|10576	3770.8114	CCT2|10576	3094.7198
CCT3|7203	20820.8641	CCT3|7203	5208.8973
CCT4|10575	4924.1307	CCT4|10575	3901.2587
CCT5|22948	5186.5121	CCT5|22948	3353.8578
CCT6A|908	4965.7534	CCT6A|908	3327.7199
CCT6B|10693	63.7513	CCT6B|10693	119.1139
CCT6P1|643253	20.0211	CCT6P1|643253	40.7003
CCT7|10574	6086.9336	CCT7|10574	4409.4529
CCT8|10694	4498.9463	CCT8|10694	2943.1203
CD101|9398	25.8166	CD101|9398	26.1378
CD109|135228	7102.2023	CD109|135228	733.3530000000001
CD14|929	635.9326	CD14|929	2481.6008
CD151|977	3514.7524	CD151|977	6995.9785
CD160|11126	15.8061	CD160|11126	5.9744
CD163L1|283316	18.4405	CD163L1|283316	150.1059
CD163|9332	408.3246	CD163|9332	874.4973
CD164L2|388611	6.3224	CD164L2|388611	52.6491
CD164|8763	19775.5532	CD164|8763	7971.2932
CD177|57126	15.2792	CD177|57126	8.9615
CD180|4064	57.4289	CD180|4064	148.2389
CD1C|911	13.1718	CD1C|911	38.8334
CD1D|912	34.2466	CD1D|912	15.3093
CD1E|913	6.3224	CD1E|913	13.0689
CD200R1|131450	13.1718	CD200R1|131450	26.1378
CD200|4345	278.1876	CD200|4345	674.7296
CD207|50489	5.7956	CD207|50489	24.6442
CD209|30835	56.902	CD209|30835	348.7534
CD226|10666	11.5911	CD226|10666	18.2965
CD22|933	61.117	CD22|933	110.5257
CD244|51744	5.7956	CD244|51744	13.4423
CD247|919	42.1496	CD247|919	56.383
CD248|57124	1794.5205	CD248|57124	4224.6211
CD24|100133941	1356.6913	CD24|100133941	18209.1102
CD274|29126	20.5479	CD274|29126	18.2965
CD276|80381	1861.96	CD276|80381	1824.7944
CD27|939	109.2518	CD27|939	91.9678
CD28|940	36.8809	CD28|940	31.3654
CD2AP|23607	2428.8725	CD2AP|23607	1098.9093
CD2BP2|10421	1212.3288	CD2BP2|10421	1525.3294
CD2|914	124.3414	CD2|914	106.4183
CD300A|11314	103.2666	CD300A|11314	219.1844
CD300C|10871	22.6554	CD300C|10871	42.1939
CD300LB|124599	7.9031	CD300LB|124599	8.2147
CD300LF|146722	17.9136	CD300LF|146722	25.7644
CD300LG|146894	525.2898	CD300LG|146894	459.6525
CD302|9936	871.2908	CD302|9936	1678.7959
CD320|51293	498.9463	CD320|51293	532.8385
CD33|945	36.3541	CD33|945	75.0529
CD34|947	3358.7987	CD34|947	7551.9676
CD36|948	8406.2171	CD36|948	3784.7587
CD37|951	198.6301	CD37|951	206.8623
CD38|952	60.5901	CD38|952	16.0561
CD3D|915	30.5585	CD3D|915	50.0353
CD3EAP|10849	449.9473	CD3EAP|10849	414.098
CD3E|916	151.2118	CD3E|916	127.3286
CD3G|917	14.2255	CD3G|917	14.1891
CD40LG|959	21.0748	CD40LG|959	18.2965
CD40|958	158.0611	CD40|958	375.2646
CD44|960	22493.6776	CD44|960	8208.0273
CD46|4179	18286.0906	CD46|4179	4606.9803
CD47|961	732.8767	CD47|961	3442.7264
CD48|962	229.7155	CD48|962	143.0113
CD4|920	788.725	CD4|920	1372.2364
CD52|1043	149.1043	CD52|1043	143.3847
CD53|963	432.5606	CD53|963	608.6382
CD55|1604	2620.1264	CD55|1604	5638.678000000001
CD58|965	248.6828	CD58|965	256.8976
CD59|966	13466.2803	CD59|966	27366.6877
CD5|921	52.687	CD5|921	35.0994
CD63|967	10930.4531	CD63|967	14340.337
CD68|968	1548.4721	CD68|968	2120.5253
CD69|969	114.8577	CD69|969	105.6715
CD6|923	57.9557	CD6|923	49.6619
CD70|970	15.8061	CD70|970	24.6442
CD72|971	26.3435	CD72|971	29.4984
CD74|972	25971.0221	CD74|972	26031.4177
CD79A|973	259.7471	CD79A|973	92.2292
CD79B|974	80.0843	CD79B|974	138.1571
CD7|924	28.9779	CD7|924	60.8638
CD81|975	9382.5079	CD81|975	15611.3827
CD82|3732	246.5753	CD82|3732	1755.3424
CD83|9308	237.0917	CD83|9308	553.0019
CD84|8832	41.0959	CD84|8832	42.9407
CD86|942	129.0832	CD86|942	188.9392
CD8A|925	110.1159	CD8A|925	200.5145
CD8B|926	13.6986	CD8B|926	63.4776
CD93|22918	3260.8008	CD93|22918	4888.1487
CD96|10225	69.5469	CD96|10225	53.0225
CD97|976	645.9431	CD97|976	1542.5057
CD99L2|83692	887.2497	CD99L2|83692	1861.7607
CD99|4267	2547.4183	CD99|4267	2791.8943
CD9|928	12636.9863	CD9|928	6657.6802
CDADC1|81602	109.589	CDADC1|81602	169.8959
CDAN1|146059	300.843	CDAN1|146059	289.7566
CDA|978	32.666	CDA|978	38.46
CDC123|8872	1085.1739	CDC123|8872	920.8621
CDC14A|8556	162.803	CDC14A|8556	239.7213
CDC14B|8555	303.4773	CDC14B|8555	536.1990000000001
CDC16|8881	1189.1465	CDC16|8881	1476.0409
CDC20|991	298.2086	CDC20|991	64.2244
CDC23|8697	731.2961	CDC23|8697	627.6815
CDC25A|993	64.8051	CDC25A|993	11.9487
CDC25B|994	341.9389	CDC25B|994	399.5355
CDC25C|995	52.687	lowly_expressed	lowly_expressed
CDC26|246184	141.7281	CDC26|246184	67.1481
CDC27|996	1516.8599	CDC27|996	1315.1065
CDC34|997	476.2908	CDC34|997	491.0179
CDC37L1|55664	278.1876	CDC37L1|55664	417.832
CDC37|11140	2317.176	CDC37|11140	2824.0065
CDC40|51362	695.4689	CDC40|51362	604.5308
CDC42BPA|8476	2299.2624	CDC42BPA|8476	1710.5347
CDC42BPB|9578	2883.5616	CDC42BPB|9578	3458.0357
CDC42BPG|55561	366.7018	lowly_expressed	lowly_expressed
CDC42EP1|11135	1787.6712	CDC42EP1|11135	2910.2613
CDC42EP2|10435	218.1243	CDC42EP2|10435	532.4651
CDC42EP3|10602	425.1844	CDC42EP3|10602	928.2666
CDC42EP4|23580	1732.3498	CDC42EP4|23580	3804.1753
CDC42EP5|148170	82.1918	CDC42EP5|148170	197.5274
CDC42SE1|56882	4963.9989	CDC42SE1|56882	3218.1277
CDC42SE2|56990	1660.6955	CDC42SE2|56990	1484.6291
CDC42|998	7060.5901	CDC42|998	6752.1498
CDC45|8318	104.8472	CDC45|8318	14.9359
CDC5L|988	1114.3309	CDC5L|988	1129.9013
CDC6|990	216.0169	CDC6|990	59.3702
CDC73|79577	1839.3045	CDC73|79577	822.2216
CDC7|8317	136.9863	CDC7|8317	53.0225
CDCA2|157313	24.236	CDCA2|157313	25.7644
CDCA3|83461	73.235	CDCA3|83461	27.6314
CDCA4|55038	374.07800000000003	CDCA4|55038	212.8367
CDCA5|113130	231.2961	CDCA5|113130	52.2757
CDCA7L|55536	116.4384	CDCA7L|55536	678.5196
CDCA7|83879	132.7713	CDCA7|83879	78.4135
CDCA8|55143	146.47	CDCA8|55143	30.991999999999997
CDCP1|64866	1672.2866	CDCP1|64866	880.0983
lowly_expressed	lowly_expressed	CDH10|1008	10.8285
CDH11|1009	1432.5606	CDH11|1009	740.0742
lowly_expressed	lowly_expressed	CDH12|1010	34.3526
CDH13|1012	493.6776	CDH13|1012	1483.8823
CDH16|1014	7.3762	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CDH19|28513	13.4423
CDH1|999	8383.0348	CDH1|999	10048.5044
lowly_expressed	lowly_expressed	CDH22|64405	28.7516
CDH23|64072	52.687	CDH23|64072	108.6251
CDH24|64403	78.5037	CDH24|64403	77.6667
CDH26|60437	15.8061	CDH26|60437	12.6955
CDH2|1000	8.4299	CDH2|1000	25.0176
CDH3|1001	457.8504	CDH3|1001	1575.3647
lowly_expressed	lowly_expressed	CDH4|1002	20.5369
CDH5|1003	2331.9283	CDH5|1003	1887.1518
CDH6|1004	142.7819	CDH6|1004	105.2981
CDH7|1005	6.3224	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CDH8|1006	76.1731
CDHR1|92211	31.6122	CDHR1|92211	11.9487
CDHR3|222256	35.0	CDHR3|222256	103.6104
CDHR5|53841	31.6122	lowly_expressed	lowly_expressed
CDIPT|10423	1574.2887	CDIPT|10423	2008.506
CDK10|8558	317.7028	CDK10|8558	507.4474
CDK11A|728642	630.1106	CDK11A|728642	613.9068
CDK11B|984	677.5817	CDK11B|984	780.36
CDK12|51755	1219.1781	CDK12|51755	1088.8276
CDK13|8621	920.9694	CDK13|8621	843.1319
CDK14|5218	1092.7292	CDK14|5218	737.087
lowly_expressed	lowly_expressed	CDK15|65061	5.2276
CDK16|5127	1484.7208	CDK16|5127	1661.2462
CDK17|5128	849.3151	CDK17|5128	596.3161
CDK18|5129	2584.8261	CDK18|5129	382.3592
CDK19|23097	767.0811	CDK19|23097	667.7806
CDK1|983	522.1286	CDK1|983	45.1811
CDK20|23552	132.7713	CDK20|23552	194.9136
CDK2AP1|8099	1550.5796	CDK2AP1|8099	2871.428
CDK2AP2|10263	1377.2392	CDK2AP2|10263	594.8225
CDK2|1017	441.5174	CDK2|1017	639.2568
CDK3|1018	116.3909	CDK3|1018	56.6108
CDK4|1019	2353.53	CDK4|1019	1989.4627
CDK5R1|8851	49.5258	CDK5R1|8851	27.6314
CDK5RAP1|51654	365.1212	CDK5RAP1|51654	419.699
CDK5RAP2|55755	1185.4584	CDK5RAP2|55755	1821.8072
CDK5RAP3|80279	1432.0337	CDK5RAP3|80279	1679.9161
CDK5|1020	389.8841	CDK5|1020	173.2565
CDK6|1021	285.0369	CDK6|1021	672.4892
CDK7|1022	436.7756	CDK7|1022	396.5483
CDK8|1024	178.6091	CDK8|1024	111.6459
CDK9|1025	889.8841	CDK9|1025	1088.0808
CDKAL1|54901	231.82299999999998	CDKAL1|54901	340.1653
CDKL1|8814	21.0748	CDKL1|8814	19.0433
lowly_expressed	lowly_expressed	CDKL2|8999	27.6314
CDKL3|51265	10.0105	CDKL3|51265	33.6207
CDKL5|6792	31.6122	CDKL5|6792	18.6699
CDKN1A|1026	1635.4057	CDKN1A|1026	7433.974
CDKN1B|1027	4557.4289	CDKN1B|1027	1023.1096
CDKN1C|1028	505.2687	CDKN1C|1028	718.0437
CDKN2AIPNL|91368	533.1928	CDKN2AIPNL|91368	347.6332
CDKN2AIP|55602	413.5933	CDKN2AIP|55602	431.6477
CDKN2A|1029	179.6628	CDKN2A|1029	95.5898
CDKN2BAS|100048912	7.3762	lowly_expressed	lowly_expressed
CDKN2B|1030	506.3224	CDKN2B|1030	298.3447
CDKN2C|1031	215.49	CDKN2C|1031	387.5868
CDKN2D|1032	60.5901	CDKN2D|1032	102.6844
CDKN3|1033	79.5574	CDKN3|1033	10.4551
CDNF|441549	25.8166	CDNF|441549	45.5545
CDO1|1036	138.5669	CDO1|1036	276.6877
CDON|50937	320.8641	CDON|50937	1280.3806
CDR1|1038	44.5416	CDR1|1038	14.0024
CDR2L|30850	521.6017	CDR2L|30850	918.1848
CDR2|1039	1173.8672	CDR2|1039	854.7072
CDRT4|284040	220.6955	CDRT4|284040	220.0731
CDS1|1040	1100.6322	CDS1|1040	1019.7489999999999
CDS2|8760	605.3741	CDS2|8760	804.2986
CDSN|1041	38.9884	CDSN|1041	98.2036
CDT1|81620	211.8019	CDT1|81620	35.0994
CDV3|55573	5665.4373	CDV3|55573	4697.7159
CDYL2|124359	14.7524	CDYL2|124359	44.8077
CDYL|9425	678.6091	CDYL|9425	620.9603
CEACAM19|56971	8.9568	CEACAM19|56971	62.3574
CEACAM1|634	242.8872	CEACAM1|634	595.5394
CEACAM21|90273	13.6986	CEACAM21|90273	10.4551
CEACAM5|1048	649.6312	CEACAM5|1048	54.8895
CEACAM6|4680	4812.4341	CEACAM6|4680	75.7997
CEACAM7|1087	68.4932	CEACAM7|1087	6.7212
CEBPA|1050	821.3909	CEBPA|1050	491.0179
CEBPB|1051	486.8282	CEBPB|1051	2345.6841
CEBPD|1052	866.1749	CEBPD|1052	2732.8975
CEBPG|1054	970.4953	CEBPG|1054	972.3275
CEBPZ|10153	1234.4573	CEBPZ|10153	1467.0794
CECR1|51816	746.5753	CECR1|51816	457.7855
CECR2|27443	22.1286	CECR2|27443	5.2276
CECR5|27440	779.2413	CECR5|27440	624.6943
CECR6|27439	55.3214	CECR6|27439	29.4984
CECR7|100130418	38.4615	CECR7|100130418	119.4873
CELF1|10658	1789.7787	CELF1|10658	1389.0393
CELF2|10659	662.803	CELF2|10659	1657.5122
lowly_expressed	lowly_expressed	CELF5|60680	24.6442
CELF6|60677	32.8398	CELF6|60677	25.6711
CELSR1|9620	6864.5943	CELSR1|9620	2725.0561
CELSR2|1952	718.6512	CELSR2|1952	2367.3411
CELSR3|1951	389.8841	CELSR3|1951	42.5487
CEL|1056	35.3003	CEL|1056	8.9615
CEMP1|752014	71.4963	CEMP1|752014	120.2863
CENPA|1058	58.4826	CENPA|1058	11.9487
CENPBD1|92806	127.5026	CENPBD1|92806	292.3704
CENPB|1059	1808.2192	CENPB|1059	2517.8204
CENPC1|1060	336.6702	CENPC1|1060	378.6252
CENPE|1062	75.8693	CENPE|1062	22.7773
CENPF|1063	1143.8356	CENPF|1063	218.4376
CENPH|64946	164.9104	CENPH|64946	106.4183
CENPI|2491	34.7734	CENPI|2491	8.2147
CENPJ|55835	162.2761	CENPJ|55835	208.3559
CENPK|64105	75.3425	CENPK|64105	8.2147
CENPL|91687	182.2972	CENPL|91687	44.8077
CENPM|79019	154.8999	CENPM|79019	28.3782
CENPN|55839	179.7471	CENPN|55839	166.6698
CENPO|79172	81.3962	CENPO|79172	53.0673
CENPP|401541	35.0896	CENPP|401541	96.135
CENPQ|55166	86.9336	CENPQ|55166	63.851000000000006
CENPT|80152	231.2961	CENPT|80152	396.5483
CENPV|201161	290.8325	CENPV|201161	123.5946
CENPW|387103	43.2034	CENPW|387103	79.9071
CEP110|11064	456.2698	CEP110|11064	443.9698
CEP120|153241	592.7292	CEP120|153241	619.8401
CEP135|9662	226.0274	CEP135|9662	134.7966
CEP152|22995	50.0527	CEP152|22995	75.0529
CEP164|22897	253.9515	CEP164|22897	582.1269
CEP170|9859	742.3604	CEP170|9859	511.1814
CEP192|55125	546.8915	CEP192|55125	604.1574
CEP250|11190	640.1475	CEP250|11190	587.3545
CEP290|80184	447.0285	CEP290|80184	420.05
CEP350|9857	2319.8103	CEP350|9857	935.3611
CEP55|55165	228.6617	CEP55|55165	29.8718
CEP57|9702	687.039	CEP57|9702	672.4892
CEP63|80254	480.6217	CEP63|80254	541.3183
CEP68|23177	968.9146	CEP68|23177	1129.5279
CEP70|80321	553.2139	CEP70|80321	328.9633
CEP72|55722	55.8483	CEP72|55722	58.6234
CEP76|79959	175.4478	CEP76|79959	75.4263
CEP78|84131	244.4679	CEP78|84131	215.0771
CEP97|79598	82.1918	CEP97|79598	75.7997
CEPT1|10390	552.1602	CEPT1|10390	656.8065
CERCAM|51148	1724.9737	CERCAM|51148	1271.7924
CERKL|375298	52.9663	CERKL|375298	50.9576
CERK|64781	261.8546	CERK|64781	801.3114
CES1|1066	3697.0495	CES1|1066	1984.2352
CES2|8824	883.0348	CES2|8824	1400.9879999999998
CES3|23491	36.3541	CES3|23491	11.5753
CES4|51716	121.7071	CES4|51716	16.0561
CES8|283848	45.3109	CES8|283848	67.585
CETN2|1069	1424.6575	CETN2|1069	1252.7491
CETN3|1070	344.5732	CETN3|1070	294.2374
CETP|1071	30.5585	lowly_expressed	lowly_expressed
CFB|629	17563.3983	CFB|629	3441.6062
CFDP1|10428	602.7397	CFDP1|10428	957.0182
CFD|1675	10753.9515	CFD|1675	7322.7015
CFH|3075	1807.1654	CFH|3075	3505.4572
CFI|3426	447.8398	CFI|3426	899.1416
CFL1|1072	12568.4932	CFL1|1072	13798.537
CFL2|1073	280.295	CFL2|1073	967.4733
CFLAR|8837	567.4394	CFLAR|8837	1011.5343
CFP|5199	11.5911	CFP|5199	83.2677
lowly_expressed	lowly_expressed	CFTR|1080	30.991999999999997
CG030|116828	13.6986	CG030|116828	9.7083
lowly_expressed	lowly_expressed	CGB7|94027	5.5636
CGGBP1|8545	2488.9357	CGGBP1|8545	1965.5653
CGNL1|84952	1412.0126	CGNL1|84952	1896.4867
CGN|57530	2927.8188	CGN|57530	1861.0139
CGREF1|10669	1302.2655	CGREF1|10669	171.6061
CGRRF1|10668	190.2002	CGRRF1|10668	346.8864
CH25H|9023	90.0948	CH25H|9023	225.5322
CHAC1|79094	59.5364	CHAC1|79094	79.9071
CHAC2|494143	54.7945	CHAC2|494143	20.9103
CHADL|150356	187.03900000000002	CHADL|150356	114.5211
CHAD|1101	3295.5743	CHAD|1101	337.9249
CHAF1A|10036	469.9684	CHAF1A|10036	271.8335
CHAF1B|8208	196.5227	CHAF1B|8208	111.2725
CHCHD10|400916	585.3530000000001	CHCHD10|400916	373.7711
CHCHD1|118487	429.9262	CHCHD1|118487	417.832
CHCHD2|51142	3425.1844	CHCHD2|51142	3413.228
CHCHD3|54927	1000.0	CHCHD3|54927	676.97
CHCHD4|131474	308.2192	CHCHD4|131474	278.1813
CHCHD5|84269	380.9273	CHCHD5|84269	296.8511
CHCHD6|84303	95.3635	CHCHD6|84303	157.5738
CHCHD7|79145	455.7429	CHCHD7|79145	470.1077
CHCHD8|51287	734.4573	CHCHD8|51287	598.5564
CHD1L|9557	414.1201	CHD1L|9557	881.9653
CHD1|1105	1096.4173	CHD1|1105	1430.4864
CHD2|1106	2181.2434	CHD2|1106	2638.4278
CHD3|1107	2712.3288	CHD3|1107	5045.3491
CHD4|1108	7796.0116	CHD4|1108	6186.9079
CHD6|84181	1564.8051	CHD6|84181	1403.9752
