gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
lowly_expressed	lowly_expressed	ACADL|33	23.1271
ACADM|34	690.3941	ACADM|34	1255.1417
ACADSB|36	1849.8059	ACADSB|36	4710.0025
ACADS|35	152.5871	ACADS|35	514.4131
ACADVL|37	2493.8611	ACADVL|37	4754.2281
ACAN|176	109.229	lowly_expressed	lowly_expressed
ACAP1|9744	173.0154	ACAP1|9744	104.7328
ACAP2|23527	961.799	ACAP2|23527	1819.7737
ACAP3|116983	2083.4726	ACAP3|116983	290.3114
ACAT1|38	845.8995	ACAT1|38	1032.1302
ACAT2|39	1227.4924	ACAT2|39	364.8996
ACBD3|64746	2388.4467	ACBD3|64746	1529.6936
ACBD4|79777	78.795	ACBD4|79777	215.0822
ACBD5|91452	856.3222	ACBD5|91452	879.8216
ACBD6|84320	401.4792	ACBD6|84320	319.1542
ACBD7|414149	50.0286	ACBD7|414149	126.8688
ACCN2|41	91.3021	ACCN2|41	237.8789
ACCS|84680	128.4066	ACCS|84680	300.3221
ACD|65057	422.3244	ACD|65057	282.8116
ACE2|59272	7.5043	ACE2|59272	45.5935
ACER2|340485	292.2502	ACER2|340485	237.5485
ACER3|55331	1068.1097	ACER3|55331	378.9543
ACE|1636	859.6574	ACE|1636	465.8462
ACHE|43	16.6762	ACHE|43	11.8939
ACIN1|22985	3445.7169	ACIN1|22985	3391.4264
ACLY|47	3262.6958	ACLY|47	2807.9623
ACN9|57001	121.3193	ACN9|57001	135.4588
ACO1|48	1442.907	ACO1|48	1066.4905
ACO2|50	2777.7815	ACO2|50	1615.8421
ACOT11|26027	101.4037	ACOT11|26027	55.1978
ACOT13|55856	567.5657	ACOT13|55856	501.082
ACOT1|641371	638.281	ACOT1|641371	403.0726
ACOT2|10965	351.4506	ACOT2|10965	252.7463
ACOT4|122970	133.8264	ACOT4|122970	66.7383
ACOT7|11332	406.8989	ACOT7|11332	158.9163
ACOT8|10005	203.4745	ACOT8|10005	194.7171
ACOT9|23597	497.3672	ACOT9|23597	338.6471
ACOX1|51	4629.7011	ACOX1|51	1703.6359
ACOX2|8309	150.9195	ACOX2|8309	208.144
ACOX3|8310	1063.9407	ACOX3|8310	703.7251
