gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
ESRP2|80004	645.5542	ESRP2|80004	330.5009
ESRRA|2101	456.151	ESRRA|2101	514.3113
ESRRG|2104	116.6261	ESRRG|2104	63.059
ESYT1|23344	3308.7698	ESYT1|23344	9221.8247
ESYT2|57488	4251.827	ESYT2|57488	6705.7245
removed	removed	ESYT3|83850	15.652999999999999
ETAA1|54465	335.2619	ETAA1|54465	257.6029
ETF1|2107	2761.5713	ETF1|2107	4056.7979
ETFA|2108	1313.9464	ETFA|2108	1762.5224
ETFB|2109	754.5676	ETFB|2109	1516.9946
ETFDH|2110	496.0414	ETFDH|2110	865.8318
ETHE1|23474	911.6931	ETHE1|23474	281.7531
ETNK1|55500	1603.8368	ETNK1|55500	1009.8389999999999
ETNK2|55224	549.3301	ETNK2|55224	175.3131
ETS1|2113	3663.2156	ETS1|2113	5732.1109
ETS2|2114	1459.5006	ETS2|2114	4892.6655
ETV1|2115	1526.4921	ETV1|2115	285.3309
ETV2|2116	9.1352	ETV2|2116	7.6029
removed	removed	ETV3L|440695	11.6279
ETV3|2117	164.7381	ETV3|2117	423.5242
ETV4|2118	151.6443	ETV4|2118	45.6172
ETV5|2119	1160.7795	ETV5|2119	591.2343
ETV6|2120	1505.7856	ETV6|2120	1091.2343
ETV7|51513	125.4568	ETV7|51513	20.5725
EVC2|132884	245.1279	EVC2|132884	229.4275
EVC|2121	1633.8764	EVC|2121	909.8882
EVI2A|2123	916.5652	EVI2A|2123	283.9893
EVI2B|2124	474.1169	EVI2B|2124	346.6011
EVI5L|115704	274.9695	EVI5L|115704	265.2057
EVI5|7813	545.6759999999999	EVI5|7813	663.6852
EVL|51466	2218.3313	EVL|51466	1160.5546
EVPLL|645027	10.9622	removed	removed
EVPL|2125	1010.0487	EVPL|2125	169.0519
EWSR1|2130	3283.8002	EWSR1|2130	3315.7424
EXD2|55218	860.8404	EXD2|55218	800.0894
EXD3|54932	132.4604	EXD3|54932	145.7961
EXO1|9156	82.8258	EXO1|9156	12.5224
EXOC1|55763	1141.2911	EXOC1|55763	1113.5957
EXOC2|55770	1179.0499	EXOC2|55770	983.4526
EXOC3L2|90332	59.3788	EXOC3L2|90332	61.2701
EXOC3L|283849	94.9787	EXOC3L|283849	89.6154
EXOC3|11336	1064.5554	EXOC3|11336	1082.2898
EXOC4|60412	2046.285	EXOC4|60412	1848.39
EXOC5|10640	1755.1766	EXOC5|10640	2039.8032
EXOC6B|23233	197.3203	EXOC6B|23233	400.7156
EXOC6|54536	921.4373	EXOC6|54536	502.6834
EXOC7|23265	2218.9403	EXOC7|23265	2766.9946
EXOC8|149371	379.4153	EXOC8|149371	508.4973
EXOG|9941	167.7832	EXOG|9941	153.3989
EXOSC10|5394	1460.4141	EXOSC10|5394	1352.415
EXOSC1|51013	417.1742	EXOSC1|51013	250.4472
EXOSC2|23404	383.9829	EXOSC2|23404	299.6422
EXOSC3|51010	223.2034	EXOSC3|51010	221.8247
EXOSC4|54512	224.7259	EXOSC4|54512	156.5295
EXOSC5|56915	344.3971	EXOSC5|56915	156.5295
EXOSC6|118460	207.6736	EXOSC6|118460	260.2862
EXOSC7|23016	534.4093	EXOSC7|23016	409.6601
EXOSC8|11340	247.6492	EXOSC8|11340	258.9401
EXOSC9|5393	413.7515	EXOSC9|5393	403.2603
EXPH5|23086	159.257	EXPH5|23086	182.4687
EXT1|2131	1641.5956	EXT1|2131	1758.4973
EXT2|2132	2418.6967	EXT2|2132	2020.1252
EXTL1|2134	83.7393	EXTL1|2134	10.7335
EXTL2|2135	619.0621	EXTL2|2135	421.288
EXTL3|2137	823.0816	EXTL3|2137	936.941
removed	removed	EYA1|2138	42.4866
EYA2|2139	411.9976	EYA2|2139	382.3792
EYA3|2140	197.9294	EYA3|2140	147.585
EYA4|2070	87.3934	EYA4|2070	38.0143
EYS|346007	7.6127	EYS|346007	34.4365
EZH1|2145	631.2424	EZH1|2145	2127.0125
EZH2|2146	158.039	EZH2|2146	49.195
EZR|7430	10742.0828	EZR|7430	3384.6154
F10|2159	30.7552	F10|2159	302.7728
F11R|50848	3784.7138	F11R|50848	3011.6279
F12|2161	96.8331	F12|2161	5.814
F13A1|2162	15017.9659	F13A1|2162	11860.4651
F2RL1|2150	368.7576	F2RL1|2150	99.2844
F2RL2|2151	57.5518	F2RL2|2151	83.1843
F2RL3|9002	104.1413	F2RL3|9002	55.9034
F2R|2149	3236.6017	F2R|2149	1021.0197
F3|2152	1769.1839	F3|2152	1572.4508
F5|2153	47.8076	F5|2153	52.3256
F7|2155	127.2838	F7|2155	7.1556
F8A1|8263	115.7125	F8A1|8263	127.4597
F8|2157	337.6979	F8|2157	2436.0465
FA2H|79152	35.3228	FA2H|79152	13.864
FAAH2|158584	190.0122	FAAH2|158584	54.1145
FAAH|2166	335.2619	FAAH|2166	199.9106
FABP3|2170	121.1937	FABP3|2170	201.6995
FABP4|2167	44.1535	FABP4|2167	67288.0143
FABP5|2171	59.3788	FABP5|2171	397.1377
FABP6|2172	8.5262	removed	removed
removed	removed	FABP7|2173	36.2254
FADD|8772	612.363	FADD|8772	353.7567
FADS1|3992	742.6918	FADS1|3992	219.1413
FADS2|9415	1605.6638	FADS2|9415	219.1413
FADS3|3995	316.687	FADS3|3995	2000.0
FAF1|11124	855.3593	FAF1|11124	920.8408
FAF2|23197	1767.3569	FAF2|23197	1380.1431
FAHD1|81889	844.9909	FAHD1|81889	485.6887
FAHD2A|51011	185.7491	FAHD2A|51011	414.5796
FAHD2B|151313	166.2607	FAHD2B|151313	184.7048
FAH|2184	847.1376	FAH|2184	2284.8837
FAIM2|23017	70.9501	FAIM2|23017	9.839
FAIM3|9214	123.3374	FAIM3|9214	115.89
FAIM|55179	154.3849	FAIM|55179	341.6816
FAM100A|124402	349.8782	FAM100A|124402	187.8354
FAM100B|283991	515.5298	FAM100B|283991	516.9946
FAM101A|144347	369.9756	FAM101A|144347	13.4168
FAM101B|359845	1368.4531	FAM101B|359845	836.7621
FAM102A|399665	2671.1328	FAM102A|399665	1064.4007
FAM102B|284611	1011.8758	FAM102B|284611	1352.8623
FAM103A1|83640	361.3398	FAM103A1|83640	213.3274
FAM104A|84923	812.497	FAM104A|84923	777.3032
FAM104B|90736	273.7515	FAM104B|90736	166.3685
FAM105A|54491	545.9805	FAM105A|54491	410.5546
FAM105B|90268	609.6224	FAM105B|90268	556.3506
FAM106C|100129396	5.1766	FAM106C|100129396	7.6029
FAM107A|11170	80.3898	FAM107A|11170	2750.4472
FAM107B|83641	2848.9647	FAM107B|83641	4411.8962
FAM108A1|81926	324.2996	FAM108A1|81926	388.1932
FAM108B1|51104	364.19	FAM108B1|51104	301.8784
FAM108C1|58489	471.6809	FAM108C1|58489	118.9624
FAM109A|144717	469.5493	FAM109A|144717	241.5027
FAM109B|150368	445.1888	FAM109B|150368	304.1145
FAM10A4|145165	251.218	FAM10A4|145165	441.8605
FAM110A|83541	333.4348	FAM110A|83541	127.90700000000001
FAM110B|90362	294.1535	FAM110B|90362	213.7746
FAM110C|642273	25.2741	FAM110C|642273	8.0501
FAM111A|63901	963.4592	FAM111A|63901	580.5009
FAM111B|374393	339.8295	FAM111B|374393	29.517
FAM113A|64773	291.1084	FAM113A|64773	275.9392
FAM113B|91523	231.4281	FAM113B|91523	140.881
FAM114A1|92689	1530.7552	FAM114A1|92689	1066.6369
FAM114A2|10827	585.2619	FAM114A2|10827	533.9893
FAM115A|9747	355.3593	FAM115A|9747	562.1646
FAM115C|285966	217.57	FAM115C|285966	195.2281
FAM116A|201627	829.1717	FAM116A|201627	829.1592
FAM116B|414918	173.2643	FAM116B|414918	95.7066
FAM117A|81558	235.0792	FAM117A|81558	468.6941
FAM117B|150864	224.7259	FAM117B|150864	348.39
FAM118A|55007	218.9403	FAM118A|55007	412.3435
FAM118B|79607	338.6114	FAM118B|79607	298.7478
FAM119A|151194	238.4287	FAM119A|151194	183.3631
FAM119B|25895	345.3106	FAM119B|25895	330.9481
FAM120AOS|158293	887.637	FAM120AOS|158293	1162.2272
FAM120A|23196	3733.8611	FAM120A|23196	3929.0072
FAM120B|84498	989.6468	FAM120B|84498	982.1109
FAM120C|54954	489.6468	FAM120C|54954	439.6243
FAM122A|116224	507.9172	FAM122A|116224	738.3721
FAM122B|159090	461.9367	FAM122B|159090	536.2254
FAM122C|159091	17.6614	FAM122C|159091	28.1753
FAM123B|139285	139.1596	FAM123B|139285	149.8211
FAM124A|220108	21.9245	FAM124A|220108	84.9732
FAM124B|79843	77.3447	FAM124B|79843	154.2934
FAM125A|93343	551.4616	FAM125A|93343	440.966
FAM125B|89853	205.542	FAM125B|89853	359.1234
FAM126A|84668	741.1693	FAM126A|84668	1296.5116
FAM126B|285172	343.17900000000003	FAM126B|285172	636.8515
FAM127A|8933	1330.6943	FAM127A|8933	1885.0626
FAM127B|26071	540.4994	FAM127B|26071	619.4097
FAM127C|441518	389.1596	FAM127C|441518	373.8819
FAM128A|653784	168.3922	FAM128A|653784	121.6458
FAM128B|80097	908.648	FAM128B|80097	543.381
FAM129A|116496	1597.1376	FAM129A|116496	3364.0429
FAM129B|64855	5316.3825	FAM129B|64855	2262.0751
FAM131A|131408	272.5335	FAM131A|131408	293.381
FAM131B|9715	31.3642	FAM131B|9715	69.7674
FAM133A|286499	16.1389	removed	removed
FAM133B|257415	103.2278	FAM133B|257415	93.0233
FAM134A|79137	2225.335	FAM134A|79137	2108.229
FAM134B|54463	287.1498	FAM134B|54463	775.0447
FAM134C|162427	1848.0512	FAM134C|162427	1592.576
FAM135A|57579	186.9671	FAM135A|57579	341.6816
FAM135B|51059	5.1766	FAM135B|51059	7.6029
FAM136A|84908	660.475	FAM136A|84908	435.5993
FAM13AOS|285512	18.0786	FAM13AOS|285512	51.4043
FAM13A|10144	455.1248	FAM13A|10144	2715.1431
FAM13B|51306	1028.6145	FAM13B|51306	1148.4258
FAM13C|220965	59.93	FAM13C|220965	286.9231
FAM149A|25854	30.7552	FAM149A|25854	395.7961
FAM149B1|317662	634.8965	FAM149B1|317662	654.2934
removed	removed	FAM150B|285016	18.3363
FAM151B|167555	43.24	FAM151B|167555	21.4669
removed	removed	FAM153A|285596	5.3667
FAM154B|283726	26.4921	FAM154B|283726	12.9696
FAM155A|728215	272.5335	FAM155A|728215	22.8086
FAM155B|27112	13.3983	FAM155B|27112	9.839
FAM156A|29057	310.5968	FAM156A|29057	500.8945
removed	removed	FAM157A|728262	8.4973
FAM158A|51016	110.8404	FAM158A|51016	84.0787
FAM159A|348378	7.6127	removed	removed
FAM160A1|729830	86.4799	FAM160A1|729830	82.2898
FAM160A2|84067	609.0134	FAM160A2|84067	705.7245
FAM160B1|57700	1047.503	FAM160B1|57700	1234.7943
FAM160B2|64760	877.5883	FAM160B2|64760	981.2165
FAM161A|84140	90.4385	FAM161A|84140	59.034
FAM161B|145483	158.0085	FAM161B|145483	156.9767
FAM162A|26355	1374.2387	FAM162A|26355	605.0984
FAM162B|221303	11.5713	FAM162B|221303	64.4007
FAM164A|51101	244.5189	FAM164A|51101	245.0805
FAM164C|79696	29.2326	FAM164C|79696	52.7728
FAM165B|54065	277.4056	FAM165B|54065	294.2755
removed	removed	FAM166B|730112	15.2057
FAM167A|83648	184.5311	FAM167A|83648	29.9642
FAM167B|84734	105.3593	FAM167B|84734	91.2343
FAM168A|23201	263.0938	FAM168A|23201	271.0197
FAM168B|130074	1669.3057	FAM168B|130074	3704.3828
FAM169A|26049	229.2935	FAM169A|26049	57.2451
FAM171A1|221061	230.5116	FAM171A1|221061	1179.3381
FAM171A2|284069	43.5445	FAM171A2|284069	13.4168
FAM171B|165215	302.6797	FAM171B|165215	245.975
FAM172A|83989	512.7893	FAM172A|83989	896.6905
FAM173A|65990	173.2643	FAM173A|65990	67.5313
FAM173B|134145	277.4056	FAM173B|134145	328.712
FAM174A|345757	298.7211	FAM174A|345757	264.3113
FAM174B|400451	1315.7734	FAM174B|400451	378.3542
FAM175A|84142	257.1985	FAM175A|84142	347.6968
FAM175B|23172	608.7089	FAM175B|23172	551.8784
FAM176A|84141	184.2266	FAM176A|84141	44.7227
FAM176B|55194	401.2424	FAM176B|55194	137.585
FAM177A1|283635	770.0974	FAM177A1|283635	1093.9177
FAM177B|400823	8.8307	removed	removed
FAM178A|55719	972.2899	FAM178A|55719	830.0537
removed	removed	FAM178B|51252	37.5671
FAM179B|23116	646.4677	FAM179B|23116	698.1216
FAM180A|389558	330.3898	FAM180A|389558	114.0429
removed	removed	FAM180B|399888	99.7317
FAM181B|220382	6.3946	FAM181B|220382	5.3667
FAM182B|728882	6.0901	FAM182B|728882	8.9445
FAM184A|79632	24.3605	FAM184A|79632	219.1413
FAM184B|27146	9.665	FAM184B|27146	8.3721
FAM185A|222234	118.7576	FAM185A|222234	84.9732
removed	removed	FAM186B|84070	10.2862
FAM188A|80013	542.3264	FAM188A|80013	559.4812
FAM188B|84182	96.3398	FAM188B|84182	224.4723
FAM189A1|23359	35.6273	removed	removed
FAM189A2|9413	37.7588	FAM189A2|9413	388.1932
FAM189B|10712	519.1839	FAM189B|10712	364.0429
FAM18A|780776	5.606	FAM18A|780776	18.788
FAM18B2|201158	211.8057	FAM18B2|201158	151.4043
FAM18B|51030	802.3752	FAM18B|51030	595.7066
FAM190A|401145	12.7893	FAM190A|401145	78.2648
FAM190B|54462	1683.922	FAM190B|54462	2155.1878
FAM192A|80011	1034.7138	FAM192A|80011	1046.0644
FAM193A|8603	721.9854	FAM193A|8603	762.9696
FAM193B|54540	361.4495	FAM193B|54540	480.32199999999995
FAM195A|84331	206.4555	FAM195A|84331	110.4651
FAM195B|348262	1141.9001	FAM195B|348262	1099.2844
FAM196A|642938	8.2217	FAM196A|642938	5.3667
removed	removed	FAM196B|100131897	35.3309
FAM198A|729085	28.9281	FAM198A|729085	152.0572
FAM198B|51313	8439.0987	FAM198B|51313	6412.7907
FAM199X|139231	587.3934	FAM199X|139231	449.4633
FAM19A2|338811	8.8307	FAM19A2|338811	22.3614
FAM19A5|25817	54.8112	FAM19A5|25817	47.4061
FAM200A|221786	271.9245	FAM200A|221786	147.1377
FAM200B|285550	382.1559	FAM200B|285550	470.483
FAM20A|54757	490.5603	FAM20A|54757	429.7853
FAM20B|9917	1491.7783	FAM20B|9917	2650.7156
FAM20C|56975	1408.3435	FAM20C|56975	1217.7996
FAM21A|387680	621.8027	FAM21A|387680	785.3309
FAM21B|55747	479.9026	FAM21B|55747	666.8157
FAM21C|253725	1747.8685	FAM21C|253725	2165.4741
FAM22A|728118	29.5371	FAM22A|728118	40.6977
FAM22D|728130	56.6382	FAM22D|728130	81.3953
FAM23A|653567	43.5445	FAM23A|653567	34.8837
FAM24B|196792	16.6078	FAM24B|196792	16.0868
FAM26E|254228	702.497	FAM26E|254228	466.458
FAM26F|441168	121.4982	FAM26F|441168	63.059
removed	removed	FAM27A|548321	5.3667
removed	removed	FAM27C|100132948	5.3667
FAM32A|26017	1216.5043	FAM32A|26017	1402.9517
FAM35A|54537	825.2132	FAM35A|54537	902.0572
FAM35B2|439965	80.6943	FAM35B2|439965	82.73700000000001
FAM35B|414241	295.067	FAM35B|414241	292.4866
FAM36A|116228	759.3027	FAM36A|116228	661.7174
FAM38A|9780	1928.0420000000001	FAM38A|9780	3726.3059
FAM38B|63895	152.8624	FAM38B|63895	224.9553
FAM3A|60343	485.9927	FAM3A|60343	583.1843
FAM3B|54097	21.3155	FAM3B|54097	42.4866
FAM3C|10447	1683.922	FAM3C|10447	1138.6404
removed	removed	FAM3D|131177	29.9642
FAM40A|85369	796.285	FAM40A|85369	681.127
FAM40B|57464	15.8343	FAM40B|57464	9.839
FAM41C|284593	11.2667	FAM41C|284593	14.7585
FAM43A|131583	387.63699999999994	FAM43A|131583	722.7191
FAM43B|163933	20.7065	FAM43B|163933	43.381
FAM45A|404636	570.341	FAM45A|404636	562.6118
FAM45B|55855	235.3837	FAM45B|55855	263.86400000000003
FAM46A|55603	685.4446	FAM46A|55603	691.8605
FAM46B|115572	349.5737	FAM46B|115572	262.0751
FAM46C|54855	608.0999	FAM46C|54855	296.0644
FAM47E|100129583	83.7333	FAM47E|100129583	128.0233
FAM48A|55578	987.7345	FAM48A|55578	673.9758
FAM49A|81553	225.94400000000002	FAM49A|81553	342.1288
FAM49B|51571	1794.4579999999999	FAM49B|51571	1199.0161
FAM50A|9130	1207.0646	FAM50A|9130	1077.3703
FAM50B|26240	207.6736	FAM50B|26240	179.3381
FAM53A|152877	14.9208	FAM53A|152877	17.4419
FAM53B|9679	257.905	FAM53B|9679	755.7469
FAM53C|51307	669.6102	FAM53C|51307	1335.8676
FAM54A|113115	27.4056	FAM54A|113115	9.3918
FAM54B|56181	878.0298	FAM54B|56181	1084.8971
FAM55C|91775	823.0816	FAM55C|91775	635.5501
FAM57A|79850	289.5859	FAM57A|79850	257.6029
FAM58A|92002	248.782	FAM58A|92002	239.2665
FAM59A|64762	164.4336	FAM59A|64762	242.8444
removed	removed	FAM5B|57795	38.0143
FAM60A|58516	751.5225	FAM60A|58516	744.186
FAM63A|55793	553.8977	FAM63A|55793	485.6887
FAM63B|54629	659.257	FAM63B|54629	450.805
FAM64A|54478	38.9769	removed	removed
FAM65A|79567	1322.1681	FAM65A|79567	1789.356
FAM65B|9750	273.1425	FAM65B|9750	166.3685
FAM65C|140876	29.8417	FAM65C|140876	159.2129
FAM66C|440078	18.2704	FAM66C|440078	30.8587
FAM69A|388650	534.7138	FAM69A|388650	1131.932
FAM69B|138311	102.8289	FAM69B|138311	166.5161
FAM69C|125704	15.8343	FAM69C|125704	17.8891
FAM70A|55026	64.2509	FAM70A|55026	180.6798
FAM70B|348013	82.2168	FAM70B|348013	66.6369
FAM71D|161142	15.8343	FAM71D|161142	8.9445
FAM71E1|112703	19.8873	FAM71E1|112703	8.0859
removed	removed	FAM71F2|346653	9.839
FAM72A|729533	7.9172	removed	removed
FAM72B|653820	38.6724	FAM72B|653820	33.9893
FAM72D|728833	13.0938	FAM72D|728833	14.3113
FAM73A|374986	629.4153	FAM73A|374986	810.8229
FAM73B|84895	184.5311	FAM73B|84895	321.1091
FAM76A|199870	261.8758	FAM76A|199870	459.3023
FAM76B|143684	183.6175	FAM76B|143684	275.9392
FAM78A|286336	213.7637	FAM78A|286336	129.6959
FAM78B|149297	35.0183	FAM78B|149297	18.7835
FAM7A2|100288380	6.0901	removed	removed
FAM7A3|89837	17.6614	FAM7A3|89837	18.3363
FAM81A|145773	32.5822	FAM81A|145773	15.652999999999999
FAM82A1|151393	146.7722	FAM82A1|151393	148.9267
FAM82A2|55177	973.8124	FAM82A2|55177	984.7943
FAM82B|51115	730.8161	FAM82B|51115	1456.619
FAM83A|84985	43.849	removed	removed
FAM83B|222584	151.9488	FAM83B|222584	44.2755
FAM83D|81610	71.2546	FAM83D|81610	11.6279
FAM83E|54854	190.0122	FAM83E|54854	13.4168
FAM83F|113828	55.7247	FAM83F|113828	71.1091
FAM83G|644815	80.3898	FAM83G|644815	72.898
FAM83H|286077	1354.7503	FAM83H|286077	368.9624
FAM84A|151354	162.6066	FAM84A|151354	72.0036
FAM84B|157638	1296.285	FAM84B|157638	936.4937
FAM86A|196483	388.4562	FAM86A|196483	227.8936
FAM86B1|85002	50.5481	FAM86B1|85002	69.7674
removed	removed	FAM86B2|653333	10.2862
FAM86C|55199	159.5615	FAM86C|55199	100.6261
FAM86D|692099	133.6784	FAM86D|692099	161.44899999999998
FAM89A|375061	111.75399999999999	FAM89A|375061	1016.1002
FAM89B|23625	895.5542	FAM89B|23625	693.6494
FAM8A1|51439	1245.7369	FAM8A1|51439	1846.6011
FAM90A1|55138	7.3082	FAM90A1|55138	6.2612
FAM91A1|157769	1210.1096	FAM91A1|157769	989.7138
FAM92A1|137392	102.3143	FAM92A1|137392	223.1664
removed	removed	FAM95B1|100133036	12.0751
FAM96A|84191	752.4361	FAM96A|84191	362.254
FAM96B|51647	406.2119	FAM96B|51647	440.966
FAM98A|25940	1306.9428	FAM98A|25940	1214.2218
FAM98B|283742	394.9452	FAM98B|283742	406.0823
FAM98C|147965	204.0195	FAM98C|147965	129.2487
FANCA|2175	99.1717	FANCA|2175	25.9973
FANCB|2187	24.055999999999997	FANCB|2187	14.3113
FANCC|2176	123.3252	FANCC|2176	183.3631
FANCD2|2177	231.1206	FANCD2|2177	83.1843
FANCE|2178	87.6979	FANCE|2178	81.8426
FANCF|2188	492.3873	FANCF|2188	156.0823
FANCG|2189	172.6553	FANCG|2189	140.8766
FANCI|55215	574.1322	FANCI|55215	212.3971
FANCL|55120	238.7759	FANCL|55120	163.9088
FANCM|57697	147.0767	FANCM|57697	176.6547
FANK1|92565	236.9062	FANK1|92565	47.8533
FAP|2191	3883.9829	FAP|2191	504.4723
FAR1|84188	1134.5919999999999	FAR1|84188	1507.1556
FAR2|55711	86.4403	FAR2|55711	155.6216
FARP1|10160	2661.0840000000003	FARP1|10160	1196.3327
FARP2|9855	231.7296	FARP2|9855	332.2898
FARS2|10667	260.9622	FARS2|10667	181.5742
FARSA|2193	705.5419999999999	FARSA|2193	586.3148
FARSB|10056	993.6054	FARSB|10056	884.1682
FASLG|356	7.6127	removed	removed
FASN|2194	6549.6346	FASN|2194	11558.5868
FASTKD1|79675	364.4945	FASTKD1|79675	209.7496
FASTKD2|22868	895.5542	FASTKD2|22868	1022.3614
FASTKD3|79072	192.4482	FASTKD3|79072	116.2791
FASTKD5|60493	337.3934	FASTKD5|60493	355.9928
FASTK|10922	754.2631	FASTK|10922	590.7871
FAS|355	497.2594	FAS|355	481.2165
FAT1|2195	7365.408	FAT1|2195	8682.9159
FAT2|2196	16.1389	FAT2|2196	627.4597
FAT3|120114	63.3374	FAT3|120114	10.7335
FAT4|79633	452.49699999999996	FAT4|79633	1067.0841
FATE1|89885	6.6991	removed	removed
FAU|2197	3771.62	FAU|2197	3939.1771
FBF1|85302	101.69	FBF1|85302	134.5886
FBLIM1|54751	1399.8173	FBLIM1|54751	771.0197
FBLL1|345630	15.2253	FBLL1|345630	12.9696
FBLN1|2192	11642.2046	FBLN1|2192	12677.9964
FBLN2|2199	4100.1827	FBLN2|2199	18110.0179
FBLN5|10516	936.3581	FBLN5|10516	5088.9982
FBLN7|129804	222.2899	FBLN7|129804	412.7907
FBL|2091	2048.4166	FBL|2091	1689.6243
FBN1|2200	23365.408	FBN1|2200	36200.805
FBN2|2201	182.704	FBN2|2201	9.839
FBP1|2203	724.1169	FBP1|2203	470.0358
FBRSL1|57666	325.2132	FBRSL1|57666	397.585
FBRS|64319	1312.7284	FBRS|64319	968.2469
FBXL12|54850	243.6054	FBXL12|54850	362.7013
FBXL13|222235	28.6236	FBXL13|222235	8.9445
FBXL14|144699	598.3557	FBXL14|144699	515.2057
FBXL15|79176	136.7235	FBXL15|79176	110.0179
FBXL16|146330	514.0073	FBXL16|146330	53.6673
FBXL17|64839	587.3934	FBXL17|64839	817.5313
FBXL18|80028	120.5847	FBXL18|80028	316.6369
FBXL19|54620	540.1949	FBXL19|54620	167.263
FBXL20|84961	201.2789	FBXL20|84961	165.0268
FBXL22|283807	24.9695	FBXL22|283807	21.0197
FBXL2|25827	210.4141	FBXL2|25827	128.3542
FBXL3|26224	1716.5043	FBXL3|26224	2173.0769
FBXL4|26235	335.8709	FBXL4|26235	353.7567
FBXL5|26234	3105.6638	FBXL5|26234	4696.78
FBXL6|26233	253.7089	FBXL6|26233	116.9633
FBXL7|23194	792.0219	FBXL7|23194	902.0572
FBXL8|55336	35.6821	FBXL8|55336	36.1225
FBXO10|26267	136.1236	FBXO10|26267	203.0635
FBXO11|80204	1821.5591	FBXO11|80204	1750.4472
FBXO15|201456	51.7661	FBXO15|201456	13.864
FBXO16|157574	69.732	FBXO16|157574	6.2612
FBXO17|115290	186.3581	FBXO17|115290	488.3721
FBXO18|84893	1760.0487	FBXO18|84893	1683.3855
FBXO21|23014	1144.9452	FBXO21|23014	944.5438
FBXO22OS|692224	68.3709	FBXO22OS|692224	33.9535
FBXO22|26263	515.0639	FBXO22|26263	318.0143
FBXO24|26261	5.6181	removed	removed
FBXO25|26260	506.3946	FBXO25|26260	576.4758
FBXO27|126433	90.743	FBXO27|126433	450.805
FBXO28|23219	1273.7515	FBXO28|23219	1331.3953
FBXO2|26232	93.4836	FBXO2|26232	252.2361
FBXO30|84085	455.8465	FBXO30|84085	535.3309
FBXO31|79791	474.7259	FBXO31|79791	877.9069999999999
FBXO32|114907	974.7259	FBXO32|114907	555.0089
FBXO33|254170	258.5262	FBXO33|254170	430.6798
FBXO34|55030	625.1523	FBXO34|55030	664.5796
FBXO36|130888	229.5981	FBXO36|130888	176.6547
FBXO38|81545	1074.9086	FBXO38|81545	896.2433
FBXO3|26273	802.3752	FBXO3|26273	868.068
FBXO41|150726	77.6492	FBXO41|150726	79.6064
FBXO42|54455	568.514	FBXO42|54455	534.4365
FBXO43|286151	7.6127	removed	removed
FBXO44|93611	212.2412	FBXO44|93611	223.6136
FBXO45|200933	564.5554	FBXO45|200933	410.5546
FBXO46|23403	538.3678	FBXO46|23403	233.8998
FBXO48|554251	31.9732	FBXO48|554251	48.7478
FBXO4|26272	259.1352	FBXO4|26272	254.9195
FBXO5|26271	170.8283	FBXO5|26271	122.9875
FBXO6|26270	168.6967	FBXO6|26270	184.7048
FBXO7|25793	1731.4251	FBXO7|25793	2266.5474
FBXO8|26269	516.2333	FBXO8|26269	648.144
FBXO9|26268	630.6334	FBXO9|26268	918.6047
FBXW11|23291	1321.8636	FBXW11|23291	1474.9553
FBXW2|26190	1846.2241	FBXW2|26190	2167.263
FBXW4|6468	947.6248	FBXW4|6468	1522.3614
FBXW5|54461	1494.5189	FBXW5|54461	1432.9159
FBXW7|55294	383.0694	FBXW7|55294	587.6565
FBXW8|26259	429.0499	FBXW8|26259	322.0036
FBXW9|84261	140.4507	FBXW9|84261	121.4356
FCAR|2204	5.1766	FCAR|2204	9.839
FCER1A|2205	119.0621	FCER1A|2205	144.4544
FCER1G|2207	1789.2814	FCER1G|2207	1066.1896
removed	removed	FCER2|2208	105.5456
FCF1|51077	1110.5359	FCF1|51077	910.5546
FCGBP|8857	8695.4933	FCGBP|8857	1102.415
FCGR1A|2209	469.8538	FCGR1A|2209	64.8479
FCGR1B|2210	419.0012	FCGR1B|2210	70.2147
FCGR1C|100132417	186.9671	FCGR1C|100132417	12.5224
FCGR2A|2212	5137.9415	FCGR2A|2212	1875.6708
FCGR2B|2213	1243.6054	FCGR2B|2213	1478.5331
FCGR2C|9103	307.5518	FCGR2C|9103	342.1288
FCGR3A|2214	8323.9951	FCGR3A|2214	1101.9678
FCGR3B|2215	45.067	FCGR3B|2215	28.6225
FCGRT|2217	2994.8234	FCGRT|2217	6266.9946
FCHO1|23149	160.475	FCHO1|23149	29.9642
FCHO2|115548	1061.5104	FCHO2|115548	1019.2308
FCHSD1|89848	320.2893	FCHSD1|89848	214.5796
FCHSD2|9873	1303.2552	FCHSD2|9873	1082.9472
FCN1|2219	35.6273	FCN1|2219	108.6762
FCN3|8547	9.7442	FCN3|8547	50.0894
removed	removed	FCRL5|83416	6.7084
FCRL6|343413	5.1766	FCRL6|343413	8.9445
FCRLB|127943	19.4884	FCRLB|127943	14.3113
FDFT1|2222	1759.7442	FDFT1|2222	2463.7746
FDPS|2224	1276.6931	FDPS|2224	1184.1547
FDX1L|112812	153.651	FDX1L|112812	140.0939
FDX1|2230	289.5859	FDX1|2230	458.4079
FDXACB1|91893	77.6827	FDXACB1|91893	56.7979
FDXR|2232	194.2753	FDXR|2232	88.9982
FECH|2235	757.9172	FECH|2235	622.5403
FEM1A|55527	570.9501	FEM1A|55527	784.4365
FEM1B|10116	2581.3033	FEM1B|10116	2296.5116
