gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
CCDC163P|126661	13.8588	CCDC163P|126661	40.9019
lowly_expressed	lowly_expressed	CCDC17|149483	10.4877
CCDC18|343099	116.9467	CCDC18|343099	41.9612
CCDC19|25790	28.1507	CCDC19|25790	8.9145
CCDC21|64793	534.8636	CCDC21|64793	327.7399
CCDC22|28952	464.7293	CCDC22|28952	440.0839
CCDC23|374969	282.8064	CCDC23|374969	263.7651
CCDC24|149473	58.8263	CCDC24|149473	161.5889
CCDC25|55246	560.4158	CCDC25|55246	948.6104
CCDC28A|25901	187.5271	CCDC28A|25901	390.666
CCDC28B|79140	46.3404	CCDC28B|79140	49.2921
CCDC30|728621	26.8515	CCDC30|728621	110.1206
CCDC34|91057	114.7683	CCDC34|91057	233.8752
CCDC36|339834	7.7956	CCDC36|339834	26.2192
CCDC39|339829	8.2287	CCDC39|339829	34.6093
CCDC3|83643	742.7458	CCDC3|83643	898.7939
CCDC40|55036	72.3257	CCDC40|55036	112.2181
CCDC41|51134	210.9138	CCDC41|51134	223.9119
lowly_expressed	lowly_expressed	CCDC42B|387885	5.0865
CCDC43|124808	336.0762	CCDC43|124808	372.8369
CCDC45|90799	310.524	CCDC45|90799	652.8579
CCDC46|201134	165.0065	CCDC46|201134	273.204
CCDC47|57003	3188.8263	CCDC47|57003	3087.5721
CCDC48|79825	30.7492	CCDC48|79825	54.5359
CCDC50|152137	1548.7224	CCDC50|152137	2775.0393
CCDC51|79714	227.3712	CCDC51|79714	184.0587
CCDC52|152185	279.3417	CCDC52|152185	513.3718
CCDC53|51019	211.78	CCDC53|51019	339.2764
CCDC55|84081	675.6172	CCDC55|84081	701.1012
CCDC56|28958	322.2174	CCDC56|28958	639.4232
CCDC57|284001	230.8359	CCDC57|284001	746.1982
CCDC58|131076	152.88	CCDC58|131076	116.4132
CCDC59|29080	332.1784	CCDC59|29080	359.7273
CCDC61|729440	93.54700000000001	CCDC61|729440	108.5475
lowly_expressed	lowly_expressed	CCDC62|84660	5.2438
CCDC64B|146439	317.0204	CCDC64B|146439	448.3482
CCDC64|92558	96.5786	CCDC64|92558	80.7551
CCDC65|85478	9.5279	CCDC65|85478	18.3534
CCDC66|285331	221.9359	CCDC66|285331	382.9523
CCDC68|80323	16.0243	CCDC68|80323	92.8159
CCDC69|26112	522.7371	CCDC69|26112	1509.7011
CCDC6|8030	4679.948	CCDC6|8030	2244.8873
CCDC71|64925	434.8203	CCDC71|64925	542.2129
CCDC72|51372	1075.3573	CCDC72|51372	669.1138
CCDC73|493860	16.9424	CCDC73|493860	29.9948
CCDC74A|90557	75.3573	CCDC74A|90557	370.7394
CCDC74B|91409	16.4573	CCDC74B|91409	112.7425
CCDC75|253635	77.9558	CCDC75|253635	138.9617
CCDC76|54482	210.0217	CCDC76|54482	359.1138
CCDC77|84318	154.1793	CCDC77|84318	168.8516
CCDC78|124093	13.8588	CCDC78|124093	13.634
CCDC7|221016	22.2521	CCDC7|221016	49.2921
CCDC80|151887	6383.2828	CCDC80|151887	6573.1515
CCDC81|60494	21.2213	CCDC81|60494	8.9145
CCDC82|79780	277.6094	CCDC82|79780	491.3477
CCDC84|338657	41.1434	CCDC84|338657	91.2428
CCDC85A|114800	43.7159	CCDC85A|114800	256.796
CCDC85B|11007	233.0013	CCDC85B|11007	249.6067
CCDC85C|317762	760.8402	CCDC85C|317762	660.7499
CCDC86|79080	697.6916	CCDC86|79080	477.6403
CCDC87|55231	9.5279	CCDC87|55231	17.8291
CCDC88A|55704	674.3179	CCDC88A|55704	787.1002
CCDC88B|283234	199.2204	CCDC88B|283234	209.2292
CCDC88C|440193	1623.6466	CCDC88C|440193	1131.096
CCDC89|220388	19.922	CCDC89|220388	50.8652
CCDC8|83987	527.9342	CCDC8|83987	2080.7551
CCDC90A|63933	543.5253	CCDC90A|63933	293.655
CCDC90B|60492	756.1542	CCDC90B|60492	633.9434
CCDC91|55297	330.8792	CCDC91|55297	468.2748
CCDC92|80212	704.6339999999999	CCDC92|80212	905.6109
CCDC93|54520	912.9493	CCDC93|54520	1372.8369
CCDC94|55702	202.6851	CCDC94|55702	381.2271
CCDC96|257236	28.5838	CCDC96|257236	82.8526
CCDC97|90324	900.3898	CCDC97|90324	1088.6209
CCDC99|54908	392.3777	CCDC99|54908	196.1196
CCDC9|26093	493.2871	CCDC9|26093	424.7509
CCHCR1|54535	300.1299	CCHCR1|54535	385.9465
CCIN|881	14.725	lowly_expressed	lowly_expressed
CCL11|6356	8.6618	lowly_expressed	lowly_expressed
CCL13|6357	12.5595	CCL13|6357	29.3655
CCL14|6358	558.2330000000001	CCL14|6358	1687.9339
lowly_expressed	lowly_expressed	CCL16|6360	5.2438
CCL17|6361	17.3235	lowly_expressed	lowly_expressed
CCL18|6362	163.2741	CCL18|6362	28.3167
CCL19|6363	1224.7726	CCL19|6363	178.2905
CCL20|6364	42.0095	lowly_expressed	lowly_expressed
CCL21|6366	853.1832	CCL21|6366	142.6324
CCL22|6367	294.0667	CCL22|6367	59.2554
CCL23|6368	5.6301	CCL23|6368	8.9145
CCL28|56477	325.249	CCL28|56477	975.3539999999999
CCL2|6347	871.3729	CCL2|6347	443.1044
CCL3L1|6349	25.2187	CCL3L1|6349	14.7247
lowly_expressed	lowly_expressed	CCL3L3|414062	5.2019
CCL3|6348	32.9147	CCL3|6348	47.1945
CCL4L2|388372	27.2845	CCL4L2|388372	25.6948
CCL4|6351	42.0095	CCL4|6351	47.1945
CCL5|6352	656.9944	CCL5|6352	508.6523
CCL8|6355	26.8515	CCL8|6355	86.5233
CCM2|83605	819.4023	CCM2|83605	722.0766
CCNA1|8900	11.6934	CCNA1|8900	13.1096
CCNA2|890	753.3478	CCNA2|890	43.7284
CCNB1IP1|57820	764.8333	CCNB1IP1|57820	730.4667
CCNB1|891	568.6444	CCNB1|891	165.7053
CCNB2|9133	710.2642	CCNB2|9133	23.5973
CCNB3|85417	8.2287	CCNB3|85417	12.5852
CCNC|892	1329.5799	CCNC|892	947.0372
CCND1|595	4579.1598	CCND1|595	3844.1689
CCND2|894	1101.7757	CCND2|894	1260.0944
CCND3|896	1243.8285	CCND3|896	1970.1101
CCNDBP1|23582	615.851	CCNDBP1|23582	984.7929
CCNE1|898	82.2867	CCNE1|898	13.1096
CCNE2|9134	447.0463	CCNE2|9134	35.1599
CCNF|899	543.9584	CCNF|899	231.7777
CCNG1|900	1755.7384	CCNG1|900	2054.5359
CCNG2|901	1843.2222	CCNG2|901	2526.4814
CCNH|902	303.4257	CCNH|902	512.0346
CCNI2|645121	6.0502	CCNI2|645121	6.4866
CCNI|10983	6676.4833	CCNI|10983	7039.3288
CCNJL|79616	312.6895	CCNJL|79616	144.7299
CCNJ|54619	581.2040000000001	CCNJ|54619	266.9114
CCNK|8812	1263.4127	CCNK|8812	872.0241
CCNL1|57018	675.6172	CCNL1|57018	2045.0970000000002
CCNL2|81669	986.1412	CCNL2|81669	2674.882
CCNO|10309	36.3794	CCNO|10309	58.2066
CCNT1|904	234.3006	CCNT1|904	432.0923
CCNT2|905	880.0346	CCNT2|905	1160.9858
CCNYL1|151195	725.4223	CCNYL1|151195	421.0802
CCNY|219771	2061.9316	CCNY|219771	1616.151
CCPG1|9236	2305.929	CCPG1|9236	2272.4594
CCR10|2826	13.8588	CCR10|2826	24.646
CCR1|1230	147.683	CCR1|1230	124.8034
CCR2|729230	207.016	CCR2|729230	124.8034
CCR4|1233	116.0676	CCR4|1233	17.3047
CCR5|1234	239.9307	CCR5|1234	159.4127
CCR6|1235	126.2451	CCR6|1235	85.2858
CCR7|1236	243.8285	CCR7|1236	57.6822
CCR8|1237	18.6228	lowly_expressed	lowly_expressed
CCRL1|51554	118.6661	CCRL1|51554	161.5102
CCRL2|9034	44.6081	CCRL2|9034	44.0482
CCRN4L|25819	210.0476	CCRN4L|25819	111.1694
CCS|9973	304.0277	CCS|9973	339.8007
CCT2|10576	3576.44	CCT2|10576	2303.6182
CCT3|7203	9321.3512	CCT3|7203	3733.0886
CCT4|10575	3862.7111	CCT4|10575	3397.4829999999997
CCT5|22948	3768.7311	CCT5|22948	2927.1106
CCT6A|908	5795.1494	CCT6A|908	2739.9056
CCT6B|10693	54.136	CCT6B|10693	56.1091
CCT6P1|643253	66.2625	CCT6P1|643253	102.2549
CCT7|10574	4331.3123	CCT7|10574	3399.0561
CCT8|10694	7255.955	CCT8|10694	3017.8291
CD101|9398	51.1044	CD101|9398	29.3655
CD109|135228	1020.3335	CD109|135228	1398.5003
CD14|929	607.1893	CD14|929	1114.8401
CD151|977	5630.576	CD151|977	4518.6156
CD160|11126	9.5279	CD160|11126	29.8899
CD163L1|283316	92.2477	CD163L1|283316	135.291
CD163|9332	520.5717	CD163|9332	506.0304
CD164L2|388611	18.1897	CD164L2|388611	83.37700000000001
CD164|8763	9178.8653	CD164|8763	8293.655
CD177|57126	16.8904	lowly_expressed	lowly_expressed
CD180|4064	188.8263	CD180|4064	101.2061
CD19|930	49.8051	lowly_expressed	lowly_expressed
CD1A|909	8.2287	lowly_expressed	lowly_expressed
CD1B|910	19.0559	lowly_expressed	lowly_expressed
CD1C|911	117.7999	CD1C|911	42.4751
CD1D|912	81.8536	CD1D|912	30.9386
CD1E|913	113.9021	CD1E|913	15.7315
CD200R1|131450	26.4184	CD200R1|131450	34.6093
CD200|4345	511.4768	CD200|4345	669.6382
CD207|50489	25.5522	CD207|50489	17.8291
CD209|30835	54.136	CD209|30835	229.1557
CD226|10666	48.5058	CD226|10666	25.6948
CD22|933	213.9454	CD22|933	77.0844
CD244|51744	13.8588	CD244|51744	13.1096
CD247|919	132.5249	CD247|919	88.0965
CD248|57124	1063.6639	CD248|57124	1349.2396
CD24|100133941	39171.9359	CD24|100133941	11503.9329
CD274|29126	32.9147	CD274|29126	54.0115
CD276|80381	4597.6613	CD276|80381	1604.0902
CD27|939	176.2191	CD27|939	93.6707
CD28|940	126.4617	CD28|940	60.8285
CD2AP|23607	2216.544	CD2AP|23607	1478.7625
CD2BP2|10421	1313.5557	CD2BP2|10421	1324.5936
CD2|914	394.5431	CD2|914	218.1437
CD300A|11314	142.0528	CD300A|11314	115.8888
CD300C|10871	27.2845	CD300C|10871	11.0121
CD300LB|124599	16.0243	CD300LB|124599	5.7682
CD300LF|146722	48.0728	CD300LF|146722	19.4022
CD300LG|146894	21.2213	CD300LG|146894	1000.5244
CD302|9936	990.039	CD302|9936	1753.5396
CD320|51293	385.4482	CD320|51293	455.6896
CD33|945	47.2066	CD33|945	45.6214
CD34|947	2035.5132	CD34|947	4537.4934
CD36|948	382.4166	CD36|948	12100.1573
CD37|951	548.7224	CD37|951	238.0703
CD38|952	58.0338	CD38|952	29.8899
CD3D|915	139.8874	CD3D|915	63.9748
CD3EAP|10849	470.7666	CD3EAP|10849	554.1426
CD3E|916	470.3335	CD3E|916	221.8144
CD3G|917	81.4205	CD3G|917	42.9995
CD40LG|959	60.1992	CD40LG|959	49.2921
CD40|958	301.8623	CD40|958	371.2638
CD44|960	8251.190999999999	CD44|960	7024.646
CD46|4179	4522.7371	CD46|4179	5180.9124
CD47|961	1442.1828	CD47|961	2887.2575
CD48|962	450.8445	CD48|962	189.827
CD4|920	1180.1646	CD4|920	757.2103
CD52|1043	436.9857	CD52|1043	160.4615
CD53|963	751.4075	CD53|963	382.8002
CD55|1604	2380.6843	CD55|1604	1074.4625
CD58|965	252.0572	CD58|965	170.4248
CD59|966	8125.5955	CD59|966	15504.9816
CD5|921	216.544	CD5|921	63.9748
CD63|967	6952.3603	CD63|967	7197.1683
CD68|968	1510.6107	CD68|968	1231.2533
CD69|969	95.2793	CD69|969	67.1211
CD6|923	228.2373	CD6|923	117.9864
CD72|971	62.7977	CD72|971	41.4263
CD74|972	21651.7973	CD74|972	23139.4861
CD79A|973	324.8159	CD79A|973	110.645
CD79B|974	226.0719	CD79B|974	113.7913
CD7|924	75.7904	CD7|924	59.7798
CD80|941	13.4257	CD80|941	7.8658
CD81|975	8951.0611	CD81|975	11125.3277
CD82|3732	1909.0515	CD82|3732	1366.0199
CD83|9308	343.4387	CD83|9308	223.3875
CD84|8832	153.7462	CD84|8832	94.3891
CD86|942	170.6366	CD86|942	75.5113
CD8A|925	194.4565	CD8A|925	241.2166
CD8B|926	38.1117	CD8B|926	45.097
CD93|22918	4811.6068	CD93|22918	4083.377
CD96|10225	228.2373	CD96|10225	147.3519
CD97|976	598.0944	CD97|976	527.5302
CD99L2|83692	850.5847	CD99L2|83692	1484.5307
CD99|4267	3989.1728	CD99|4267	902.4646
CD9|928	6262.8844	CD9|928	3754.0640000000003
CDADC1|81602	128.6271	CDADC1|81602	253.8018
CDAN1|146059	437.4188	CDAN1|146059	443.6287
CDA|978	32.9147	CDA|978	13.634
CDC123|8872	1376.8428	CDC123|8872	727.4672
CDC14A|8556	175.4006	CDC14A|8556	850.0262
CDC14B|8555	294.9329	CDC14B|8555	774.5149
CDC14C|168448	5.1971	CDC14C|168448	13.634
CDC16|8881	1014.725	CDC16|8881	1501.3110000000001
CDC20|991	897.7913	CDC20|991	37.7556
CDC23|8697	779.9913	CDC23|8697	809.6487
CDC25A|993	239.9307	CDC25A|993	43.5239
CDC25B|994	1750.1083	CDC25B|994	861.0383
CDC25C|995	60.6323	lowly_expressed	lowly_expressed
CDC26|246184	89.8831	CDC26|246184	79.6696
CDC27|996	1211.3469	CDC27|996	1542.7373
CDC34|997	533.9974	CDC34|997	421.6046
CDC37L1|55664	323.0836	CDC37L1|55664	427.3728
CDC37|11140	1955.3919	CDC37|11140	2570.0052
CDC40|51362	614.5518	CDC40|51362	846.8799
CDC42BPA|8476	2800.7796	CDC42BPA|8476	2065.0236
CDC42BPB|9578	4180.5977	CDC42BPB|9578	3990.5611
CDC42BPG|55561	914.6817	CDC42BPG|55561	1010.4877
CDC42EP1|11135	2559.9827	CDC42EP1|11135	1587.8343
CDC42EP2|10435	275.0108	CDC42EP2|10435	430.5191
CDC42EP3|10602	869.2074	CDC42EP3|10602	756.1615
CDC42EP4|23580	1904.7207	CDC42EP4|23580	2633.9801
CDC42EP5|148170	78.822	CDC42EP5|148170	106.9743
CDC42SE1|56882	4168.0641	CDC42SE1|56882	2552.6272
CDC42SE2|56990	1524.4695	CDC42SE2|56990	1378.0808
CDC42|998	7744.9112	CDC42|998	4373.8857
CDC45|8318	279.3417	lowly_expressed	lowly_expressed
CDC5L|988	1773.9281	CDC5L|988	1216.0461
CDC6|990	481.5938	CDC6|990	39.8532
CDC73|79577	1696.8385	CDC73|79577	1016.2559
CDC7|8317	220.0087	CDC7|8317	91.7672
CDCA2|157313	129.9264	CDCA2|157313	10.4877
CDCA3|83461	136.0243	CDCA3|83461	19.9423
CDCA4|55038	528.8003	CDCA4|55038	216.5705
CDCA5|113130	726.7215	CDCA5|113130	61.3529
CDCA7L|55536	562.9883	CDCA7L|55536	874.0902
CDCA7|83879	393.2438	CDCA7|83879	103.82799999999999
CDCA8|55143	609.7878	CDCA8|55143	48.2433
CDCP1|64866	1553.9194	CDCP1|64866	742.5275
CDH11|1009	5902.9883	CDH11|1009	1491.3477
CDH12|1010	8.6618	CDH12|1010	41.4263
CDH13|1012	549.5886	CDH13|1012	611.4316
CDH15|1013	21.6544	lowly_expressed	lowly_expressed
CDH1|999	13888.6964	CDH1|999	9596.7488
lowly_expressed	lowly_expressed	CDH20|28316	12.0608
lowly_expressed	lowly_expressed	CDH22|64405	7.8658
CDH23|64072	169.3374	CDH23|64072	474.5045
CDH24|64403	174.9675	CDH24|64403	134.2423
CDH26|60437	10.3941	CDH26|60437	13.634
CDH2|1000	429.6232	CDH2|1000	228.6314
CDH3|1001	5833.6942	CDH3|1001	2495.0184
lowly_expressed	lowly_expressed	CDH4|1002	35.1337
CDH5|1003	1612.3863	CDH5|1003	2372.3125
CDH6|1004	161.5418	CDH6|1004	107.4987
CDH8|1006	23.3867	CDH8|1006	23.5973
CDHR1|92211	25.1191	CDHR1|92211	37.2313
CDHR3|222256	13.2178	CDHR3|222256	43.6654
CDIPT|10423	1211.3469	CDIPT|10423	1694.2842
CDK10|8558	429.6232	CDK10|8558	652.8579
CDK11A|728642	571.7669999999999	CDK11A|728642	407.2942
CDK11B|984	647.8086	CDK11B|984	788.8254
CDK12|51755	2309.2248	CDK12|51755	1721.5522
CDK13|8621	1450.8445	CDK13|8621	1402.7268
CDK14|5218	619.3157	CDK14|5218	730.4667
lowly_expressed	lowly_expressed	CDK15|65061	11.0121
CDK16|5127	2486.7908	CDK16|5127	1418.4583
CDK17|5128	764.4002	CDK17|5128	855.2701
CDK18|5129	106.1065	CDK18|5129	335.0813
CDK19|23097	652.6505	CDK19|23097	971.6361
CDK1|983	885.6648	CDK1|983	58.731
CDK20|23552	91.8146	CDK20|23552	201.3634
CDK2AP1|8099	3123.4301	CDK2AP1|8099	1838.4898
CDK2AP2|10263	778.6921	CDK2AP2|10263	542.2129
CDK2|1017	507.14599999999996	CDK2|1017	555.3225
CDK3|1018	45.8943	CDK3|1018	158.2486
CDK4|1019	2202.6851	CDK4|1019	1647.6141
CDK5R1|8851	174.5344	CDK5R1|8851	55.5847
CDK5RAP1|51654	318.3196	CDK5RAP1|51654	428.94599999999997
CDK5RAP2|55755	1687.3105	CDK5RAP2|55755	1787.1002
CDK5RAP3|80279	639.6709	CDK5RAP3|80279	2022.0241
CDK5|1020	169.3374	CDK5|1020	131.096
CDK6|1021	573.4084	CDK6|1021	831.6728
CDK7|1022	246.8601	CDK7|1022	335.6057
CDK8|1024	263.3175	CDK8|1024	159.9371
CDK9|1025	979.6449	CDK9|1025	1071.3162
CDKAL1|54901	282.8064	CDKAL1|54901	307.2889
CDKL1|8814	26.8515	CDKL1|8814	26.7436
CDKL2|8999	12.5595	CDKL2|8999	48.7677
CDKL3|51265	14.4608	CDKL3|51265	25.526999999999997
CDKL5|6792	177.9991	CDKL5|6792	176.7174
CDKN1A|1026	1672.5855	CDKN1A|1026	1467.226
CDKN1B|1027	1010.3941	CDKN1B|1027	1733.6129999999998
CDKN1C|1028	204.4175	CDKN1C|1028	801.7829
CDKN2AIPNL|91368	202.2521	CDKN2AIPNL|91368	224.4363
CDKN2AIP|55602	501.5158	CDKN2AIP|55602	626.1143
CDKN2A|1029	121.2646	CDKN2A|1029	33.0362
CDKN2BAS|100048912	5.1971	lowly_expressed	lowly_expressed
CDKN2B|1030	1129.0602	CDKN2B|1030	362.3492
CDKN2C|1031	234.3006	CDKN2C|1031	615.6266
CDKN2D|1032	116.5006	CDKN2D|1032	82.8526
CDKN3|1033	201.3859	CDKN3|1033	12.5852
CDNF|441549	7.3625	CDNF|441549	64.4992
CDO1|1036	111.7367	CDO1|1036	731.5155
CDON|50937	360.7622	CDON|50937	887.7819
CDR1|1038	11.1997	CDR1|1038	27.9811
CDR2L|30850	1376.7865	CDR2L|30850	478.2381
CDR2|1039	1201.3859	CDR2|1039	615.6266
CDRT15P|94158	5.1971	lowly_expressed	lowly_expressed
CDRT4|284040	284.3915	CDRT4|284040	479.4127
CDS1|1040	888.6964	CDS1|1040	708.967
CDS2|8760	632.7414	CDS2|8760	908.2328
CDSN|1041	144.2183	CDSN|1041	57.1578
CDT1|81620	305.7601	CDT1|81620	33.0362
CDV3|55573	3515.8077	CDV3|55573	4067.1211
CDX1|1044	9.961	lowly_expressed	lowly_expressed
CDYL2|124359	156.3447	CDYL2|124359	147.8762
CDYL|9425	972.7155	CDYL|9425	677.5039
CEACAM19|56971	72.3257	CEACAM19|56971	51.3896
CEACAM1|634	365.5262	CEACAM1|634	863.1358
CEACAM21|90273	25.9853	CEACAM21|90273	21.4997
CEACAM5|1048	22.0875	lowly_expressed	lowly_expressed
CEACAM6|4680	2875.7038	CEACAM6|4680	113.2669
CEACAM7|1087	16.4573	lowly_expressed	lowly_expressed
CEBPA|1050	474.2313	CEBPA|1050	2271.1064
CEBPB|1051	1329.5799	CEBPB|1051	855.2701
CEBPD|1052	491.9879	CEBPD|1052	562.6639
CEBPG|1054	1339.1078	CEBPG|1054	1060.8285
CEBPZ|10153	1305.7601	CEBPZ|10153	1408.495
CECR1|51816	1000.0	CECR1|51816	568.9565
CECR2|27443	166.7388	CECR2|27443	40.3776
CECR5|27440	1161.5418	CECR5|27440	504.4573
CECR6|27439	29.45	CECR6|27439	20.9754
CECR7|100130418	35.5132	CECR7|100130418	216.5705
CELF1|10658	2626.2451	CELF1|10658	2222.3388
CELF2|10659	711.5634	CELF2|10659	1370.215
CELF4|56853	20.3551	CELF4|56853	10.4877
CELF5|60680	30.7492	CELF5|60680	45.6214
CELF6|60677	15.7168	CELF6|60677	107.0163
CELSR1|9620	2466.0026	CELSR1|9620	3650.236
CELSR2|1952	2214.3785	CELSR2|1952	5432.0923
CELSR3|1951	110.0043	CELSR3|1951	100.5663
CEL|1056	43.7419	CEL|1056	11.5364
CEMP1|752014	97.9991	CEMP1|752014	158.3482
CENPA|1058	130.7926	CENPA|1058	29.3655
CENPBD1|92806	504.5474	CENPBD1|92806	346.6177
CENPB|1059	2569.5106	CENPB|1059	1816.4657
CENPC1|1060	459.9394	CENPC1|1060	606.7121
CENPE|1062	686.8774	CENPE|1062	47.1945
CENPF|1063	3759.6362	CENPF|1063	192.9733
CENPH|64946	130.3595	CENPH|64946	98.0598
CENPI|2491	144.6514	CENPI|2491	10.4877
CENPJ|55835	187.9602	CENPJ|55835	262.7163
CENPK|64105	29.45	CENPK|64105	7.8658
CENPL|91687	383.2828	CENPL|91687	84.4258
CENPM|79019	142.4859	CENPM|79019	11.5364
CENPN|55839	586.8298	CENPN|55839	134.4625
CENPO|79172	202.9147	CENPO|79172	76.2402
CENPP|401541	53.3304	CENPP|401541	64.237
CENPQ|55166	89.6492	CENPQ|55166	126.9009
CENPT|80152	307.4924	CENPT|80152	608.8096
CENPV|201161	22.9537	CENPV|201161	110.645
CENPW|387103	165.8727	CENPW|387103	60.3041
CEP110|11064	398.4409	CEP110|11064	902.4646
CEP120|153241	477.2629	CEP120|153241	855.7944
CEP135|9662	279.7748	CEP135|9662	321.4473
CEP152|22995	101.3426	CEP152|22995	167.8028
CEP164|22897	543.0922	CEP164|22897	911.3791
CEP170L|645455	9.0948	CEP170L|645455	6.2926
CEP170|9859	1809.8744	CEP170|9859	964.3419
CEP192|55125	795.1494	CEP192|55125	888.8306
CEP250|11190	759.2031	CEP250|11190	840.0629
CEP290|80184	392.5812	CEP290|80184	714.0692
CEP350|9857	2651.3642	CEP350|9857	2052.9628
CEP55|55165	563.4474	CEP55|55165	16.2559
CEP57|9702	899.9567	CEP57|9702	959.0981
CEP63|80254	493.495	CEP63|80254	682.9942
CEP68|23177	764.8333	CEP68|23177	1786.0829
CEP70|80321	352.5336	CEP70|80321	275.8259
CEP72|55722	28.5838	CEP72|55722	85.999
CEP76|79959	255.5219	CEP76|79959	169.37599999999998
CEP78|84131	322.2174	CEP78|84131	359.2029
CEP97|79598	148.5492	CEP97|79598	229.6801
CEPT1|10390	660.4591	CEPT1|10390	657.053
CERCAM|51148	2280.2079	CERCAM|51148	898.7939
CERKL|375298	80.3898	CERKL|375298	32.538000000000004
CERK|64781	1275.877	CERK|64781	729.9423
CES1|1066	145.9506	CES1|1066	688.5160000000001
CES2|8824	1107.8389	CES2|8824	1286.838
CES3|23491	73.6249	CES3|23491	24.1217
CES8|283848	48.9389	CES8|283848	78.1332
CETN2|1069	785.1884	CETN2|1069	846.8799
CETN3|1070	203.9844	CETN3|1070	270.0577
CETP|1071	29.8831	CETP|1071	29.8899
CFB|629	1484.1273	CFB|629	1237.6036
CFDP1|10428	1103.9411	CFDP1|10428	712.1133
CFD|1675	68.4279	CFD|1675	1984.7929
CFHR1|3078	7.3625	CFHR1|3078	10.4877
CFH|3075	1912.9493	CFH|3075	2211.3267
CFI|3426	602.4253	CFI|3426	649.7116
CFL1|1072	21182.7631	CFL1|1072	7735.7105
CFL2|1073	320.9181	CFL2|1073	744.1007
CFLAR|8837	1094.4132	CFLAR|8837	1264.2895
lowly_expressed	lowly_expressed	CFLP1|142913	8.3901
CFP|5199	51.5375	CFP|5199	23.0729
lowly_expressed	lowly_expressed	CFTR|1080	14.6827
CG030|116828	22.5206	CG030|116828	69.7431
lowly_expressed	lowly_expressed	CGB7|94027	15.742
CGGBP1|8545	1882.6418	CGGBP1|8545	2459.9371
CGNL1|84952	557.8172	CGNL1|84952	1499.2134
CGN|57530	931.1389999999999	CGN|57530	1012.5852
CGREF1|10669	301.0307	CGREF1|10669	165.0655
CGRRF1|10668	180.1646	CGRRF1|10668	245.93599999999998
CH25H|9023	157.2109	CH25H|9023	135.291
CHAC1|79094	62.3647	CHAC1|79094	13.634
CHAC2|494143	51.5375	CHAC2|494143	24.1217
CHADL|150356	24.686	CHADL|150356	98.5947
CHAD|1101	81.4205	CHAD|1101	410.5926
CHAF1A|10036	281.0741	CHAF1A|10036	261.6675
CHAF1B|8208	326.5483	CHAF1B|8208	152.5957
CHCHD10|400916	394.5431	CHCHD10|400916	440.4824
CHCHD1|118487	507.579	CHCHD1|118487	303.6182
CHCHD2|51142	3953.2265	CHCHD2|51142	2169.376
CHCHD3|54927	747.0767	CHCHD3|54927	685.3697
CHCHD4|131474	207.016	CHCHD4|131474	201.8878
CHCHD5|84269	133.3911	CHCHD5|84269	205.0341
CHCHD6|84303	71.0264	CHCHD6|84303	126.3765
CHCHD7|79145	429.6232	CHCHD7|79145	404.2999
CHCHD8|51287	736.6825	CHCHD8|51287	480.3356
CHD1L|9557	1086.1845	CHD1L|9557	681.699
CHD1|1105	1107.8389	CHD1|1105	1425.7997
CHD2|1106	2732.7848	CHD2|1106	3694.8086
CHD3|1107	4009.961	CHD3|1107	5645.5165
CHD4|1108	6987.4578	CHD4|1108	5643.2984
CHD5|26038	5.1971	lowly_expressed	lowly_expressed
CHD6|84181	1417.9298	CHD6|84181	3317.7766
CHD7|55636	1770.4634	CHD7|55636	932.8789
CHD8|57680	3093.1139	CHD8|57680	2709.4913
CHD9|80205	1640.9701	CHD9|80205	2743.0519
CHDH|55349	478.1291	CHDH|55349	1121.6571
CHEK1|1111	443.48199999999997	CHEK1|1111	83.9014
CHEK2|11200	201.3859	CHEK2|11200	132.1447
CHERP|10523	836.7865	CHERP|10523	1375.5952
CHFR|55743	482.0269	CHFR|55743	348.1909
lowly_expressed	lowly_expressed	CHGA|1113	5.7682
CHGB|1114	6.0632	lowly_expressed	lowly_expressed
CHI3L1|1116	1515.3746	CHI3L1|1116	1082.3283
CHI3L2|1117	91.8146	CHI3L2|1117	218.6681
CHIC1|53344	169.7705	CHIC1|53344	371.2638
CHIC2|26511	265.916	CHIC2|26511	217.0949
CHID1|66005	1157.644	CHID1|66005	1164.6565
CHIT1|1118	51.1044	CHIT1|1118	102.2549
CHKA|1119	1162.4080000000001	CHKA|1119	620.3461
CHKB-CPT1B|386593	160.0433	CHKB-CPT1B|386593	653.3875
CHKB|1120	242.9796	CHKB|1120	212.0661
CHL1|10752	425.2923	CHL1|10752	1385.9465
CHML|1122	1038.1117	CHML|1122	656.0042
CHMP1A|5119	2217.8432	CHMP1A|5119	1645.5165
CHMP1B|57132	1825.0325	CHMP1B|57132	1423.7021
CHMP2A|27243	757.9039	CHMP2A|27243	1306.7646
CHMP2B|25978	1023.8198	CHMP2B|25978	955.9518
CHMP4A|29082	739.2118	CHMP4A|29082	725.957
CHMP4B|128866	2020.7882	CHMP4B|128866	2210.8023
CHMP4C|92421	427.0247	CHMP4C|92421	448.8726
CHMP5|51510	976.5656	CHMP5|51510	1093.8018
CHMP6|79643	328.7137	CHMP6|79643	404.8243
CHMP7|91782	1052.4036	CHMP7|91782	1175.6686
CHM|1121	608.9216	CHM|1121	707.9182
