gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
FAM118B|79607	226.2017	FAM118B|79607	164.7439
FAM119A|151194	222.4317	FAM119A|151194	149.5155
FAM119B|25895	284.8085	FAM119B|25895	308.2603
FAM120AOS|158293	1459.3265	FAM120AOS|158293	1072.5012
FAM120A|23196	5613.2465	FAM120A|23196	4043.7886
FAM120B|84498	1143.3468	FAM120B|84498	934.0102
FAM120C|54954	464.0562	FAM120C|54954	395.4776
FAM122A|116224	567.5606	FAM122A|116224	1098.754
FAM122B|159090	917.1451	FAM122B|159090	527.4573
FAM122C|159091	29.8175	FAM122C|159091	33.2257
FAM123B|139285	155.5993	lowly_expressed	lowly_expressed
FAM124A|220108	38.3857	FAM124A|220108	58.1449
FAM124B|79843	41.4703	FAM124B|79843	45.2238
FAM125A|93343	572.7016	FAM125A|93343	452.2381
FAM125B|89853	344.1008	FAM125B|89853	570.8353
FAM126A|84668	485.9909	FAM126A|84668	1621.5967
FAM126B|285172	694.0279	FAM126B|285172	696.3544
FAM127A|8933	487.0191	FAM127A|8933	1101.1537
FAM127B|26071	389.6838	FAM127B|26071	688.048
FAM127C|441518	159.7121	FAM127C|441518	433.31800000000004
FAM128A|653784	423.2714	FAM128A|653784	239.9631
FAM128B|80097	849.97	FAM128B|80097	657.5911
FAM129A|116496	6979.6933	FAM129A|116496	5268.5741
FAM129B|64855	3551.0239	FAM129B|64855	3343.3318
FAM129C|199786	5.1409	lowly_expressed	lowly_expressed
FAM131A|131408	235.4554	FAM131A|131408	317.0281
FAM131B|9715	56.8932	FAM131B|9715	112.1366
lowly_expressed	lowly_expressed	FAM131C|348487	5.5376
FAM133B|257415	116.8709	FAM133B|257415	76.6036
FAM134A|79137	2027.5898	FAM134A|79137	2992.6165
FAM134B|54463	1836.3465	FAM134B|54463	554.2224
FAM134C|162427	1877.1314	FAM134C|162427	2000.9229
FAM135A|57579	129.8946	FAM135A|57579	336.8713
FAM135B|51059	533.9731	FAM135B|51059	15.6899
FAM136A|84908	446.2343	FAM136A|84908	527.4573
FAM13AOS|285512	45.655	FAM13AOS|285512	55.3299
FAM13A|10144	394.4101	FAM13A|10144	2053.5764
FAM13B|51306	882.8309	FAM13B|51306	1329.2663
FAM13C|220965	94.0656	FAM13C|220965	260.3184
FAM149A|25854	37.7003	FAM149A|25854	193.3549
FAM149B1|317662	362.2654	FAM149B1|317662	436.0868
lowly_expressed	lowly_expressed	FAM150B|285016	78.9109
FAM151B|167555	46.95399999999999	FAM151B|167555	23.5348
FAM154B|283726	32.9021	FAM154B|283726	23.5348
FAM155A|728215	14.7374	FAM155A|728215	26.3036
FAM155B|27112	55.865	FAM155B|27112	24.9192
FAM156A|29057	544.5977	FAM156A|29057	403.784
FAM157A|728262	52.4377	FAM157A|728262	26.3036
FAM157B|100132403	8.5682	lowly_expressed	lowly_expressed
FAM158A|51016	108.3026	FAM158A|51016	87.2174
FAM159A|348378	10.2819	FAM159A|348378	14.767000000000001
FAM160A1|729830	178.2195	FAM160A1|729830	316.1052
FAM160A2|84067	550.4241	FAM160A2|84067	672.3581
FAM160B1|57700	779.7104	FAM160B1|57700	980.6184
FAM160B2|64760	1189.958	FAM160B2|64760	922.9349
FAM161A|84140	37.0148	FAM161A|84140	95.0623
FAM161B|145483	351.3941	FAM161B|145483	339.6216
FAM162A|26355	1417.5306	FAM162A|26355	474.85
FAM162B|221303	14.3947	FAM162B|221303	60.9137
FAM164A|51101	146.3456	FAM164A|51101	572.6811
FAM164C|79696	31.1884	FAM164C|79696	39.6862
FAM165B|54065	218.6616	FAM165B|54065	232.5796
FAM166B|730112	6.8546	FAM166B|730112	42.9165
FAM167A|83648	271.0993	FAM167A|83648	63.6825
FAM167B|84734	87.3961	FAM167B|84734	72.9119
FAM168A|23201	267.672	FAM168A|23201	395.9391
FAM168B|130074	1887.756	FAM168B|130074	3703.2764
FAM169A|26049	298.8604	FAM169A|26049	107.5219
FAM171A1|221061	275.5548	FAM171A1|221061	694.5085
FAM171A2|284069	18.5074	FAM171A2|284069	62.7596
FAM171B|165215	232.7136	FAM171B|165215	435.6253
FAM172A|83989	703.9671	FAM172A|83989	811.2598
FAM173A|65990	255.6765	FAM173A|65990	67.3743
FAM173B|134145	461.3144	FAM173B|134145	287.4942
FAM174A|345757	599.7772	FAM174A|345757	243.1934
FAM174B|400451	1258.1613	FAM174B|400451	976.9266
FAM175A|84142	230.5167	FAM175A|84142	383.1749
FAM175B|23172	472.2817	FAM175B|23172	492.3858
FAM176A|84141	44.8976	FAM176A|84141	65.9898
FAM176B|55194	194.8865	FAM176B|55194	168.3895
FAM177A1|283635	959.9863	FAM177A1|283635	778.0341
FAM177B|400823	691.9716	FAM177B|400823	5.5376
FAM178A|55719	966.4982	FAM178A|55719	814.9515
FAM178B|51252	8.2255	FAM178B|51252	17.5358
lowly_expressed	lowly_expressed	FAM179A|165186	14.767000000000001
FAM179B|23116	1387.0277	FAM179B|23116	724.9654
FAM180A|389558	57.2359	FAM180A|389558	97.3696
FAM180B|399888	10.6246	FAM180B|399888	22.6119
lowly_expressed	lowly_expressed	FAM181B|220382	19.3816
FAM182B|728882	24.3338	FAM182B|728882	42.9165
FAM184A|79632	56.2077	FAM184A|79632	173.9732
FAM184B|27146	17.1468	FAM184B|27146	15.6576
FAM185A|222234	131.2655	FAM185A|222234	86.7559
FAM186B|84070	11.3101	FAM186B|84070	22.1504
FAM188A|80013	535.6867	FAM188A|80013	531.1491
FAM188B|84182	159.0335	FAM188B|84182	205.2469
lowly_expressed	lowly_expressed	FAM189A1|23359	10.6138
FAM189A2|9413	164.1676	FAM189A2|9413	834.7946
FAM189B|10712	399.62300000000005	FAM189B|10712	535.3023
FAM18A|780776	16.3791	FAM18A|780776	30.7107
FAM18B2|201158	299.23400000000004	FAM18B2|201158	334.3932
FAM18B|51030	800.6169	FAM18B|51030	662.6673
FAM190A|401145	63.405	FAM190A|401145	116.2898
FAM190B|54462	1104.6183	FAM190B|54462	1831.1029
FAM192A|80011	945.9344	FAM192A|80011	983.8486
FAM193A|8603	595.6645	FAM193A|8603	772.4965
FAM193B|54540	645.3603	FAM193B|54540	497.4619
FAM195A|84331	581.6125	FAM195A|84331	164.2824
FAM195B|348262	451.7179	FAM195B|348262	1057.222
FAM196A|642938	17.4792	FAM196A|642938	5.0761
FAM196B|100131897	34.6157	FAM196B|100131897	398.7079
FAM198A|729085	46.2685	FAM198A|729085	133.8256
FAM198B|51313	6512.5525	FAM198B|51313	7437.4712
FAM199X|139231	906.8632	FAM199X|139231	727.2727
FAM19A2|338811	13.0237	FAM19A2|338811	29.5339
FAM19A5|25817	12.681	FAM19A5|25817	31.3798
FAM200A|221786	281.3812	FAM200A|221786	144.4393
FAM200B|285550	280.0103	FAM200B|285550	322.1043
FAM20A|54757	119.9554	FAM20A|54757	390.8629
FAM20B|9917	3350.1842	FAM20B|9917	1652.9765
FAM20C|56975	433.5533	FAM20C|56975	941.3936
FAM21A|387680	615.2001	FAM21A|387680	675.5884
FAM21B|55747	587.439	FAM21B|55747	408.3987
FAM21C|253725	1425.4134	FAM21C|253725	1463.3133
FAM22A|728118	80.8842	FAM22A|728118	53.9917
FAM22D|728130	93.2225	FAM22D|728130	147.2081
lowly_expressed	lowly_expressed	FAM22F|54754	5.5376
FAM23A|653567	5.8264	FAM23A|653567	17.9972
FAM24B|196792	9.5793	FAM24B|196792	11.1906
FAM26E|254228	134.6928	FAM26E|254228	245.5007
FAM26F|441168	75.4006	FAM26F|441168	59.9908
FAM27C|100132948	5.4837	FAM27C|100132948	20.766
FAM32A|26017	1731.8139	FAM32A|26017	1068.7587
FAM35A|54537	533.2876	FAM35A|54537	635.4407
FAM35B2|439965	51.4095	FAM35B2|439965	60.4522
FAM35B|414241	193.6424	FAM35B|414241	230.7337
FAM36A|116228	879.4756	FAM36A|116228	800.683
FAM38A|9780	1987.8879	FAM38A|9780	2925.8976
FAM38B|63895	107.9599	FAM38B|63895	246.4236
FAM3A|60343	664.5532	FAM3A|60343	628.5187
FAM3B|54097	193.9851	FAM3B|54097	306.8759
FAM3C|10447	952.1035	FAM3C|10447	924.7808
FAM3D|131177	134.6928	FAM3D|131177	80.7568
FAM40A|85369	567.2179	FAM40A|85369	755.4222
FAM40B|57464	305.0296	FAM40B|57464	19.8431
FAM41C|284593	10.6246	FAM41C|284593	6.4605
FAM43A|131583	248.1364	FAM43A|131583	325.796
FAM43B|163933	16.1083	FAM43B|163933	9.6908
FAM45A|404636	309.8278	FAM45A|404636	354.8685
FAM45B|55855	122.3546	FAM45B|55855	198.43099999999998
FAM46A|55603	800.9596	FAM46A|55603	1205.8145
FAM46B|115572	338.2744	FAM46B|115572	910.9368
FAM46C|54855	1179.6761	FAM46C|54855	2258.4218
FAM47E|100129583	84.4384	FAM47E|100129583	94.5316
FAM48A|55578	706.4759	FAM48A|55578	694.9792
FAM49A|81553	66.8323	FAM49A|81553	227.042
FAM49B|51571	930.8543	FAM49B|51571	895.7084
FAM50A|9130	817.4107	FAM50A|9130	593.4472
FAM50B|26240	171.3649	FAM50B|26240	235.3484
FAM53A|152877	12.3383	FAM53A|152877	18.4587
FAM53B|9679	686.6935	FAM53B|9679	879.2524
FAM53C|51307	803.7015	FAM53C|51307	1353.9455
FAM54A|113115	52.0949	FAM54A|113115	6.4605
FAM54B|56181	880.9322	FAM54B|56181	1124.3055
FAM55C|91775	442.80699999999996	FAM55C|91775	745.27
FAM55D|54827	5.8264	FAM55D|54827	7.3835
FAM57A|79850	79.5133	FAM57A|79850	241.80900000000003
FAM58A|92002	202.8961	FAM58A|92002	206.7374
FAM59A|64762	168.2804	FAM59A|64762	200.2769
FAM5B|57795	141.2047	FAM5B|57795	190.5861
FAM5C|339479	268.7002	lowly_expressed	lowly_expressed
FAM60A|58516	334.8471	FAM60A|58516	1201.1998
FAM63A|55793	962.7281	FAM63A|55793	806.1837
FAM63B|54629	360.8945	FAM63B|54629	616.982
FAM64A|54478	22.9629	FAM64A|54478	27.688000000000002
FAM65A|79567	871.9047	FAM65A|79567	1408.8602
FAM65B|9750	161.083	FAM65B|9750	325.796
FAM65C|140876	37.3576	FAM65C|140876	170.743
lowly_expressed	lowly_expressed	FAM66A|100133172	5.0761
FAM66C|440078	19.5356	FAM66C|440078	29.9954
FAM66D|100132923	5.1409	FAM66D|100132923	9.6908
FAM69A|388650	351.6545	FAM69A|388650	526.5344
FAM69B|138311	203.8454	FAM69B|138311	261.5459
FAM69C|125704	15.7656	FAM69C|125704	8.3064
FAM70A|55026	61.3486	FAM70A|55026	328.5648
FAM70B|348013	39.4139	FAM70B|348013	32.3027
FAM71D|161142	25.362	FAM71D|161142	11.9982
FAM71E1|112703	30.5132	FAM71E1|112703	41.68899999999999
FAM71F2|346653	5.4837	lowly_expressed	lowly_expressed
FAM72A|729533	23.3056	lowly_expressed	lowly_expressed
FAM72B|653820	83.9688	FAM72B|653820	25.3807
FAM72D|728833	63.0623	FAM72D|728833	12.9211
FAM73A|374986	1261.2458	FAM73A|374986	914.1671
FAM73B|84895	544.9405	FAM73B|84895	330.4107
FAM76A|199870	189.5296	FAM76A|199870	304.5685
FAM76B|143684	322.8515	FAM76B|143684	253.8071
FAM78A|286336	152.8575	FAM78A|286336	198.8925
FAM78B|149297	21.2493	FAM78B|149297	12.9211
FAM81A|145773	22.9629	FAM81A|145773	33.6871
FAM82A1|151393	83.6261	FAM82A1|151393	78.9109
FAM82A2|55177	1337.3318	FAM82A2|55177	842.1781
FAM82B|51115	687.1733	FAM82B|51115	827.4112
lowly_expressed	lowly_expressed	FAM83A|84985	121.3659
FAM83B|222584	21.9347	FAM83B|222584	129.2109
FAM83D|81610	295.4331	FAM83D|81610	51.6844
FAM83E|54854	548.7105	FAM83E|54854	56.299
FAM83F|113828	163.1394	FAM83F|113828	206.7374
FAM83G|644815	130.1791	FAM83G|644815	138.9017
FAM83H|286077	1563.1908	FAM83H|286077	1172.1274
FAM84A|151354	73.6869	FAM84A|151354	253.3456
FAM84B|157638	3005.0553	FAM84B|157638	1540.3784
FAM86A|196483	379.3163	FAM86A|196483	212.8473
FAM86B1|85002	47.9822	FAM86B1|85002	200.7383
lowly_expressed	lowly_expressed	FAM86B2|653333	10.1523
FAM86C|55199	110.359	FAM86C|55199	130.1338
FAM86D|692099	147.7166	FAM86D|692099	225.6576
FAM89A|375061	88.76700000000001	FAM89A|375061	317.4896
FAM89B|23625	388.3129	FAM89B|23625	690.8168
FAM8A1|51439	1505.6122	FAM8A1|51439	1678.8186
FAM90A1|55138	5.1409	FAM90A1|55138	17.9972
FAM91A1|157769	1709.8792	FAM91A1|157769	1141.2089999999998
FAM92A1|137392	34.9584	FAM92A1|137392	119.9815
lowly_expressed	lowly_expressed	FAM92B|339145	7.8449
FAM95B1|100133036	14.7374	FAM95B1|100133036	21.2275
FAM96A|84191	570.3025	FAM96A|84191	408.3987
FAM96B|51647	383.5147	FAM96B|51647	380.7107
FAM98A|25940	1006.2548	FAM98A|25940	844.0239999999999
FAM98B|283742	313.9405	FAM98B|283742	301.3383
FAM98C|147965	400.9939	FAM98C|147965	187.3558
FANCA|2175	185.1152	FANCA|2175	71.8043
FANCB|2187	54.8368	FANCB|2187	21.689
FANCC|2176	445.8915	FANCC|2176	215.0438
FANCD2|2177	683.4033	FANCD2|2177	158.7448
FANCE|2178	204.267	FANCE|2178	180.8952
FANCF|2188	312.5696	FANCF|2188	342.8703
FANCG|2189	400.3085	FANCG|2189	277.3419
FANCI|55215	995.7399	FANCI|55215	231.9982
FANCL|55120	224.2413	FANCL|55120	215.1823
FANCM|57697	448.9761	FANCM|57697	169.82
FANK1|92565	135.721	FANK1|92565	69.6816
FAP|2191	665.2386	FAP|2191	235.8099
FAR1|84188	1333.9045	FAR1|84188	1337.3327
FAR2|55711	1427.2402	FAR2|55711	117.2127
FARP1|10160	2307.2573	FARP1|10160	1913.2441
FARP2|9855	222.7744	FARP2|9855	352.0997
FARS2|10667	390.712	FARS2|10667	215.9668
FARSA|2193	982.6065	FARSA|2193	865.2515
FARSB|10056	697.4552	FARSB|10056	800.6461
FASLG|356	11.6528	FASLG|356	18.9202
FASN|2194	28715.2772	FASN|2194	30377.0189
FASTKD1|79675	269.0429	FASTKD1|79675	210.4292
FASTKD2|22868	905.1495	FASTKD2|22868	954.3147
FASTKD3|79072	287.5503	FASTKD3|79072	110.2907
FASTKD5|60493	755.0338	FASTKD5|60493	420.3969
FASTK|10922	1198.5263	FASTK|10922	706.9682
FAS|355	196.7269	FAS|355	449.0078
FAT1|2195	1524.8051	FAT1|2195	7950.6230000000005
FAT2|2196	297.1468	FAT2|2196	1775.7268
FAT3|120114	16.7938	FAT3|120114	101.0614
FAT4|79633	493.1882	FAT4|79633	1174.8962
FAU|2197	2984.1487	FAU|2197	6469.7739
FBF1|85302	134.9739	FBF1|85302	95.6299
FBLIM1|54751	496.6155	FBLIM1|54751	985.6945
lowly_expressed	lowly_expressed	FBLL1|345630	15.6899
FBLN1|2192	2347.6994	FBLN1|2192	12013.3826
FBLN2|2199	2880.6443	FBLN2|2199	6766.036
FBLN5|10516	1945.6773	FBLN5|10516	5546.8389
FBLN7|129804	144.2893	FBLN7|129804	476.2344
FBL|2091	1591.2947	FBL|2091	2684.8177
FBN1|2200	6007.3687	FBN1|2200	6506.2298
FBN2|2201	82.2552	FBN2|2201	16.1514
lowly_expressed	lowly_expressed	FBN3|84467	12.4596
FBP1|2203	2715.1058	FBP1|2203	905.8606
FBRSL1|57666	681.0042	FBRSL1|57666	402.8611
FBRS|64319	1781.1670000000001	FBRS|64319	1105.2146
FBXL12|54850	350.2699	FBXL12|54850	355.7914
FBXL13|222235	6.8546	FBXL13|222235	9.6908
FBXL14|144699	1204.3527	FBXL14|144699	696.8159
FBXL15|79176	116.5281	FBXL15|79176	124.1347
FBXL16|146330	1574.8436	FBXL16|146330	187.3558
FBXL17|64839	780.7386	FBXL17|64839	885.5561
FBXL18|80028	367.4064	FBXL18|80028	411.1675
FBXL19|54620	504.4983	FBXL19|54620	302.2612
FBXL20|84961	177.1913	FBXL20|84961	194.7393
FBXL22|283807	29.6221	FBXL22|283807	52.2197
FBXL2|25827	120.2982	FBXL2|25827	177.665
FBXL3|26224	1481.6211	FBXL3|26224	2129.2109
FBXL4|26235	224.488	FBXL4|26235	387.1712
FBXL5|26234	2347.6994	FBXL5|26234	3708.3526
FBXL6|26233	266.8289	FBXL6|26233	157.1112
FBXL7|23194	1519.6641	FBXL7|23194	712.0443
FBXL8|55336	55.3303	FBXL8|55336	40.5215
FBXO10|26267	130.2408	FBXO10|26267	176.74200000000002
FBXO11|80204	1091.5946	FBXO11|80204	1393.6317
FBXO15|201456	12.3383	FBXO15|201456	7.3835
FBXO16|157574	110.3419	FBXO16|157574	31.329
FBXO17|115290	100.4198	FBXO17|115290	369.6354
FBXO18|84893	1289.5587	FBXO18|84893	1574.9885
FBXO21|23014	1675.2635	FBXO21|23014	1421.7813
FBXO22OS|692224	61.9347	FBXO22OS|692224	52.5704
FBXO22|26263	464.4983	FBXO22|26263	401.9751
FBXO24|26261	8.5957	FBXO24|26261	9.257
FBXO25|26260	605.2609	FBXO25|26260	490.0784
FBXO27|126433	122.3546	FBXO27|126433	223.3503
FBXO28|23219	2395.6816	FBXO28|23219	1447.6234
FBXO2|26232	102.1335	FBXO2|26232	607.7527
FBXO30|84085	397.9093	FBXO30|84085	578.2187
FBXO31|79791	534.6586	FBXO31|79791	1036.4559
FBXO32|114907	1338.0173	FBXO32|114907	2293.9548
FBXO33|254170	273.1557	FBXO33|254170	438.3941
FBXO34|55030	1136.1494	FBXO34|55030	690.8168
FBXO36|130888	45.9258	FBXO36|130888	108.9063
FBXO38|81545	1420.2725	FBXO38|81545	852.7919
FBXO3|26273	650.844	FBXO3|26273	869.8662
FBXO41|150726	108.6454	FBXO41|150726	162.4365
FBXO42|54455	439.0369	FBXO42|54455	535.7637
FBXO43|286151	14.7374	lowly_expressed	lowly_expressed
FBXO44|93611	122.3546	FBXO44|93611	343.7933
FBXO45|200933	806.7861	FBXO45|200933	451.3152
FBXO46|23403	818.0961	FBXO46|23403	338.7171
FBXO48|554251	43.5267	FBXO48|554251	43.3779
FBXO4|26272	294.7477	FBXO4|26272	163.821
FBXO5|26271	129.2092	FBXO5|26271	122.2889
FBXO6|26270	173.764	FBXO6|26270	162.4365
FBXO7|25793	1149.8586	FBXO7|25793	2112.1366
FBXO8|26269	559.8766	FBXO8|26269	532.1827
FBXO9|26268	972.3246	FBXO9|26268	1015.2284
FBXW11|23291	1438.0944	FBXW11|23291	1458.6987
FBXW2|26190	4067.175	FBXW2|26190	2101.0614
FBXW4|6468	767.7148	FBXW4|6468	1128.288
FBXW5|54461	1321.5663	FBXW5|54461	1575.4499
FBXW7|55294	352.3263	FBXW7|55294	666.8205
FBXW8|26259	691.9716	FBXW8|26259	468.8509
FBXW9|84261	212.0847	FBXW9|84261	150.9645
FCER1A|2205	110.0163	FCER1A|2205	110.2907
FCER1G|2207	214.8916	FCER1G|2207	411.1675
FCER2|2208	8.2255	FCER2|2208	37.8403
FCF1|51077	1002.1421	FCF1|51077	762.3443
FCGBP|8857	313.5978	FCGBP|8857	2245.9622
FCGR1A|2209	22.5688	FCGR1A|2209	41.0706
FCGR1B|2210	32.2166	FCGR1B|2210	29.9954
FCGR1C|100132417	13.7092	FCGR1C|100132417	16.1514
FCGR2A|2212	623.4256	FCGR2A|2212	903.0918
FCGR2B|2213	140.1765	FCGR2B|2213	340.56300000000005
FCGR2C|9103	53.4659	FCGR2C|9103	90.9091
FCGR3A|2214	787.5932	FCGR3A|2214	868.4818
FCGR3B|2215	9.2537	FCGR3B|2215	29.5339
FCGRT|2217	1417.1879	FCGRT|2217	4022.6119
FCHO1|23149	39.4139	FCHO1|23149	100.5999
FCHO2|115548	1528.2324	FCHO2|115548	1234.8869
FCHSD1|89848	109.4816	FCHSD1|89848	276.4513
FCHSD2|9873	539.4225	FCHSD2|9873	832.3996
FCN1|2219	26.3902	FCN1|2219	57.222
FCN2|2220	101.448	lowly_expressed	lowly_expressed
FCN3|8547	38.3857	FCN3|8547	74.7577
FCRL1|115350	7.5401	FCRL1|115350	6.922000000000001
FCRL2|79368	14.0519	lowly_expressed	lowly_expressed
FCRL3|115352	13.7092	FCRL3|115352	11.5367
FCRL5|83416	161.083	FCRL5|83416	335.0254
FCRL6|343413	10.9674	FCRL6|343413	13.3826
FCRLA|84824	41.813	FCRLA|84824	63.6825
FCRLB|127943	19.8783	FCRLB|127943	12.9211
FDFT1|2222	7670.9794	FDFT1|2222	2334.5639
FDPSL2A|619190	11.6528	lowly_expressed	lowly_expressed
FDPS|2224	3447.8656	FDPS|2224	1455.2884
FDX1L|112812	141.2321	FDX1L|112812	151.6382
FDX1|2230	373.5755	FDX1|2230	365.4822
FDXACB1|91893	100.4198	FDXACB1|91893	73.8348
FDXR|2232	141.2047	FDXR|2232	173.0503
FECH|2235	541.8559	FECH|2235	618.3664
FEM1A|55527	1424.7279999999998	FEM1A|55527	1037.3789
FEM1B|10116	1983.3776	FEM1B|10116	3231.6567
FEM1C|56929	1621.1122	FEM1C|56929	1029.9954
FEN1|2237	507.2402	FEN1|2237	301.3383
FER1L4|80307	18.8501	FER1L4|80307	37.3789
lowly_expressed	lowly_expressed	FER1L5|90342	12.4596
lowly_expressed	lowly_expressed	FER1L6|654463	5.0761
FERMT1|55612	27.0757	FERMT1|55612	268.5741
FERMT2|10979	921.6005	FERMT2|10979	2834.3332
FERMT3|83706	211.4643	FERMT3|83706	365.0208
FER|2241	95.9644	FER|2241	122.2889
FES|2242	170.3367	FES|2242	502.0766
FEZ1|9638	62.7196	FEZ1|9638	166.1283
FEZ2|9637	553.1659999999999	FEZ2|9637	1013.3826
lowly_expressed	lowly_expressed	FEZF2|55079	19.8431
FFAR2|2867	13.3665	FFAR2|2867	8.7679
lowly_expressed	lowly_expressed	FFAR3|2865	10.1523
lowly_expressed	lowly_expressed	FGA|2243	421.3198
lowly_expressed	lowly_expressed	FGB|2244	1063.221
FGD1|2245	283.4376	FGD1|2245	246.4236
FGD2|221472	68.8887	FGD2|221472	133.3641
FGD3|89846	398.5948	FGD3|89846	199.8154
FGD4|121512	537.7431	FGD4|121512	707.4296
FGD5|152273	681.6897	FGD5|152273	1086.2944
FGD6|55785	719.7327	FGD6|55785	640.9783
FGF10|2255	7.5401	FGF10|2255	59.9908
FGF11|2256	43.184	FGF11|2256	159.8108
FGF12|2257	21.2493	FGF12|2257	44.3009
FGF13|2258	537.0577	FGF13|2258	243.1934
FGF14|2259	129.8946	FGF14|2259	132.9026
FGF18|8817	10.2819	FGF18|8817	5.0761
FGF1|2246	291.6631	FGF1|2246	1271.8043
FGF2|2247	326.0389	FGF2|2247	1286.7328
FGF7|2252	313.2551	FGF7|2252	936.3175
lowly_expressed	lowly_expressed	FGF9|2254	16.1514
lowly_expressed	lowly_expressed	FGFBP1|9982	39.6862
FGFBP2|83888	5.8264	FGFBP2|83888	19.8431
FGFBP3|143282	20.2211	FGFBP3|143282	28.611
FGFR1OP2|26127	610.7446	FGFR1OP2|26127	573.1426
FGFR1OP|11116	225.105	FGFR1OP|11116	140.2353
FGFR1|2260	2112.5868	FGFR1|2260	5105.2146
FGFR2|2263	810.2133	FGFR2|2263	1544.9931
FGFR3|2261	139.491	FGFR3|2261	89.5247
FGFR4|2264	1552.9089	FGFR4|2264	89.5247
FGFRL1|53834	258.76099999999997	FGFRL1|53834	781.7259
FGGY|55277	86.7107	FGGY|55277	149.9769
lowly_expressed	lowly_expressed	FGG|2266	172.5888
lowly_expressed	lowly_expressed	FGL1|2267	44.3009
FGL2|10875	945.2489	FGL2|10875	2596.6774
FGR|2268	102.819	FGR|2268	197.0466
FHAD1|114827	19.4122	FHAD1|114827	11.6751
FHDC1|85462	377.0028	FHDC1|85462	139.8246
FHIT|2272	68.546	FHIT|2272	20.766
FHL1|2273	1203.3245	FHL1|2273	8628.9802
FHL2|2274	683.4033	FHL2|2274	1930.7799
FHL3|2275	264.9302	FHL3|2275	403.3226
FHL5|9457	96.3071	FHL5|9457	88.1403
FHOD1|29109	646.0458	FHOD1|29109	482.2335
FHOD3|80206	107.6172	FHOD3|80206	389.4785
FH|2271	1756.4904	FH|2271	1067.8357
FIBCD1|84929	167.9376	FIBCD1|84929	7.8449
FIBIN|387758	359.8663	FIBIN|387758	1086.7559
FIBP|9158	470.9108	FIBP|9158	652.0535
FICD|11153	106.9317	FICD|11153	101.5228
FIG4|9896	877.0457	FIG4|9896	428.7033
FIGF|2277	113.1008	FIGF|2277	887.4019
FIGNL1|63979	561.3915	FIGNL1|63979	324.4116
FIGNL2|401720	13.0237	FIGNL2|401720	53.0688
FIGN|55137	38.3857	FIGN|55137	131.0568
FILIP1L|11259	807.4715	FILIP1L|11259	1617.9049
FILIP1|27145	140.862	FILIP1|27145	169.3586
FIP1L1|81608	502.0855	FIP1L1|81608	536.0498
FIS1|51024	1224.5532	FIS1|51024	1406.2021
FITM1|161247	5.8264	FITM1|161247	9.2293
FITM2|128486	160.0548	FITM2|128486	104.7531
FIZ1|84922	397.2239	FIZ1|84922	282.8796
FJX1|24147	61.0059	FJX1|24147	187.8173
FKBP10|60681	913.375	FKBP10|60681	2178.1264
FKBP11|51303	501.4138	FKBP11|51303	669.5893
FKBP14|55033	247.7937	FKBP14|55033	281.9566
FKBP15|23307	1510.4104	FKBP15|23307	1003.6917
FKBP1AP1|2282	21.9347	FKBP1AP1|2282	23.9963
FKBP1A|2280	3884.2019	FKBP1A|2280	3296.5528
FKBP1B|2281	41.1276	FKBP1B|2281	56.299
FKBP2|2286	614.5146	FKBP2|2286	607.2912
FKBP3|2287	1194.4135	FKBP3|2287	627.5958
FKBP4|2288	9799.3317	FKBP4|2288	2979.2340000000004
FKBP5|2289	8802.3306	FKBP5|2289	2894.324
FKBP7|51661	187.1305	FKBP7|51661	403.784
FKBP8|23770	2324.3938	FKBP8|23770	4086.2944
FKBP9L|360132	21.9347	FKBP9L|360132	39.6862
FKBP9|11328	1698.9118	FKBP9|11328	3466.0821
FKBPL|63943	246.7655	FKBPL|63943	87.6788
FKRP|79147	222.0889	FKRP|79147	252.4227
FKTN|2218	976.4373	FKTN|2218	578.2187
FLAD1|80308	1212.9209	FLAD1|80308	449.0078
FLCN|201163	534.6586	FLCN|201163	703.7379
FLG|2312	20.6426	FLG|2312	74.0748
FLI1|2313	498.3292	FLI1|2313	691.7397
FLII|2314	2367.5778	FLII|2314	3355.3299
FLJ10038|55056	166.0355	FLJ10038|55056	358.0341
FLJ10213|55096	23.3056	FLJ10213|55096	13.3826
FLJ10357|55701	1017.9076	FLJ10357|55701	1961.6982
FLJ10661|286042	8.5682	FLJ10661|286042	10.6138
FLJ11235|54508	38.043	FLJ11235|54508	19.3816
FLJ12825|440101	5.4837	FLJ12825|440101	5.5376
FLJ13197|79667	27.4869	FLJ13197|79667	60.4522
lowly_expressed	lowly_expressed	FLJ14107|80094	7.8449
FLJ22536|401237	28.4123	FLJ22536|401237	29.0725
FLJ23867|200058	1210.8645	FLJ23867|200058	855.0992
FLJ33630|644873	985.3483	FLJ33630|644873	461.006
lowly_expressed	lowly_expressed	FLJ34503|285759	7.3835
FLJ35024|401491	10.3025	FLJ35024|401491	28.1495
FLJ35220|284131	164.1676	FLJ35220|284131	245.0392
FLJ35390|255031	54.5557	FLJ35390|255031	76.5667
FLJ35776|649446	96.6498	FLJ35776|649446	88.6018
FLJ36031|168455	329.7061	FLJ36031|168455	635.4407
FLJ36777|730971	8.5682	FLJ36777|730971	17.0743
FLJ37201|283011	11.6528	FLJ37201|283011	8.3064
FLJ37307|283521	6.8546	FLJ37307|283521	7.3835
